restaurant;address;neighborhood
Fishtail by David Burke;135 E 62nd St btwn Park and Lexington...;Upper East Side
Five Guys Famous Burgers and Fries;296 Bleecker St at Seventh Ave So;Greenwich Village
Five Napkin Burger;;Midtown West
Fives;700 Fifth Ave at 55th St;Midtown West
Flea Market Cafe;;East Village
Flex Mussels;174 E 82nd St btwn Lexington and Third...;Upper East Side
Flip;;Midtown East
Flor de Mayo;;Upper West Side
Foley's Fish House;;Midtown West
Fragolino Trattoria;;Midtown West
Franchia;;Midtown East
Francisco's Centro Vasco;;Chelsea
Frank;88 Second Ave btwn 5th and 6th Sts;East Village
Frankie and Johnnie's Steakhouse;;Midtown West
Frankies 17 Clinton Street Spuntino;;Lower East Side
Fred's at Barneys;;Upper East Side
Frederick's Downtown;;Greenwich Village
Frederick's Madison;;Upper East Side
Freemans;191 Chrystie St btwn Stanton and...;Lower East Side
French Roast;2340 Broadway at 85th St;Upper West Side
French Roast;2340 Broadway at 85th St;Greenwich Village
Fresco by Scotto;34 E 52nd St btwn Madison and Park Aves;Midtown East
Fresco on the Go;40 E 52nd St btwn Madison and Park Aves;Midtown East
Friedman's Lunch;;Chelsea
Friend House;99 Third Ave btwn 12th and 13th Sts;East Village
Friend House 2;;East Village
Fulton;205 E 75th St btwn 2nd and 3rd Aves;Upper East Side
Funayama;24 Greenwich Ave btwn Charles and W...;Greenwich Village
Funky Diner;466 Columbus Ave btwn 82nd and 83rd Sts;Upper West Side
Gabriel's Bar and Restaurant;;Upper West Side
Gabriela's;688 Columbus Ave btwn 93rd and 94th Sts;Upper West Side
Gaby Restaurant;44 West 45th St btwn Fifth and Sixth...;Midtown West
Galanga;;Greenwich Village
Gallagher's Steakhouse;228 W 52nd St btwn Broadway and Eighth...;Midtown West
Gallo Nero;402 W 44th St at Ninth Ave;Midtown West
Garden Court Cafe;725 Park Ave at 70th St;Upper East Side
Gari;370 Columbus Ave btwn 77th and 78th Sts;Upper West Side
Gascogne;158 Eighth Ave btwn 17th and 18th Sts;Chelsea
Gavroche;;Greenwich Village
Gazala Place;709 Ninth Ave at 49th St;Midtown West
Geisha;33 E 61st St btwn Park and Madison Aves;Upper East Side
Gemma;355 Bowery btwn 2nd and 3rd Sts;East Village
Gene's;;Greenwich Village
Gennaro;665 Amsterdam Ave btwn 92nd and 93rd Sts;Upper West Side
Georgia's Eastside BBQ;92 Orchard St btwn Stanton and Houston...;Lower East Side
Giambelli 50th;46 E 50th St btwn Madison and Park Aves;Midtown East
Giano;126 E 7th St btwn 1st Ave and Ave A;East Village
Gilt;455 Madison Ave btwn 50th and 51st Sts;Midtown East
Gino;780 Lexington Ave btwn 60th and 61st Sts;Upper East Side
Giorgione;307 Spring St at Hudson St;SoHo
Girasole;151 E 82nd St btwn Lexington and Third...;Upper East Side
Gnocco Cucina and Tradizione;337 E 10th St btwn Aves A and B;East Village
Gobo;;Upper East Side
Gobo;;Greenwich Village
Gonzo;140 W 13th St btwn Sixth and Seventh...;Greenwich Village
Good;89 Greenwich Ave btwn Bank and W 12th...;Greenwich Village
Good Enough to Eat;483 Amsterdam Ave btwn 83rd and 84th Sts;Upper West Side
Goodburger;800 Second Ave at 43rd St;Midtown East
Gordon Ramsay at The London;151 W 54th St btwn 6th and 7th Aves;Midtown West
Gotham Bar and Grill;;Greenwich Village
Gottino;52 Greenwich Ave btwn Perry and Charles...;Greenwich Village
Grace's Trattoria;;Upper East Side
Gradisca;126 W 13th St btwn Sixth and Seventh...;Greenwich Village
Graffiti;224 East 10th St btwn 1st and 2nd Aves;East Village
Grand Central Oyster Bar;101 E 42nd St btwn Park and Vanderbilt...;Midtown East
Grand Sichuan;;Lower East Side
Grand Tier Restaurant;;Upper West Side
Grano Trattoria;21 Greenwich Ave at 10th St;Greenwich Village
Grom;;Upper West Side
Grotto;;Lower East Side
Guantanamera;;Midtown West
GustOrganics;;Greenwich Village
Gusto Ristorante e Bar Americano;;Greenwich Village
Gyu-Kaku;;East Village
Gyu-kaku;;Midtown East
HK;;Midtown West
Hacienda de Argentina;339 E 75th St btwn First and Second Aves;Upper East Side
Hakata Tonton;;Greenwich Village
Hallo Berlin;;Midtown West
Hampton Chutney Co.;68 Prince St btwn Crosby and Lafayette...;Upper West Side
Hampton Chutney Co.;68 Prince St btwn Crosby and Lafayette...;SoHo
Han Bat;53 W 35th St btwn Fifth and Sixth Aves;Midtown West
Hanci Turkish Cuisine;;Midtown West
Harry Cipriani;;Midtown East
Haru;;Midtown East
Haru;;Midtown West
Haru;;Upper West Side
Haru;;Upper East Side
Hasaki;210 E 9th St btwn Second and Third Aves;East Village
Hatsuhana;17 E.. 48th St btwn 5th and Madison Aves;Midtown East
Hatsuhana Park;237 Park Ave at 46th St;Midtown East
Havana Alma de Cuba;94 Christopher St btwn Hudson and...;Greenwich Village
Havana Central;151 W 46th St btwn Sixth and Seventh...;Midtown West
Havana Chelsea;;Chelsea
Haveli;;East Village
Haven;;Midtown East
Hawaiian Tropic Zone;;Midtown West
Hea;;East Village
Heartbeat;;Midtown East
Hearth;;East Village
Heidelberg;;Upper East Side
Hell's Kitchen;679 Ninth Ave btwn 46th and 47th Sts;Midtown West
Henry's;2745 Broadway at 105th St;Upper West Side
Hip Hop Chow (CLOSED);;East Village
Hiro;84 E 10th St at Fourth Ave;East Village
Holy Basil;149 Second Ave btwn 9th and 10th Sts;East Village
Home;;Greenwich Village
Hudson Cafeteria;;Midtown West
Hundred Acres;38 MacDougal St btwn Houston and Prince...;SoHo
I Coppi;432 E 9th St btwn First Ave and Ave A;East Village
I Sodi;105 Christopher St near Bleecker St;Greenwich Village
I Tre Merli;;SoHo
I Tre Merli Bistro;;Greenwich Village
Icon;;Midtown East
Ideya;349 West Broadway btwn Broome and Grand...;SoHo
Il Bagatto;;East Village
Il Bastardo;161 Seventh Ave;Chelsea
Il Cantinori;;Greenwich Village
Il Corso;19 W 55th St btwn Fifth and Sixth Aves;Midtown West
Il Gattopardo;33 W 54th St btwn Fifth and Sixth Aves;Midtown West
Il Laboratorio del Gelato;95 Orchard St btwn Broome and Delancey...;Lower East Side
Il Mulino;;Greenwich Village
Il Nido;251 E 53rd St btwn Second and Third Aves;Midtown East
Il Postino;337 E 49th St btwn First and Second Aves;Midtown East
Il Riccio;152 E 79th St at Lexington Ave;Upper East Side
Il Vagabondo;351 E 62nd St btwn First and Second Aves;Upper East Side
Il Valentino;;Midtown East
In Vino;215 E 4th St btwn Aves A and B;East Village
Inagiku;111 E 49th St btwn Park and Lexington...;Midtown East
Inakaya;;Midtown West
Indian Bread Co;194 Bleecker St btwn Sixth Ave and...;Greenwich Village
Indigo Indian Bistro;;Midtown East
Indochine;;Greenwich Village
Indus Valley;2636 Broadway at 100th St;Upper West Side
Inside Park at St. Bart's;;Midtown East
Inside Park at St. Bart’s;109 E 50th St at Park Ave;Midtown East
Insieme;;Midtown West
Ippudo;65 4th Ave at 10th St;East Village
Iron Sushi;355 E 78th St btwn First and Second...;Upper East Side
Isabella's;359 Columbus Ave at 77th St;Upper West Side
Isle of Capri;;Upper East Side
Islero;247 East 50th St btwn Second and Third...;Midtown East
It's a Dominican Thing;144 W 19th St btwn Sixth and Seventh...;Chelsea
Ithaka;;Upper East Side
Itzocan Bistro;1575 Lexington Ave at 101st St;Upper East Side
Itzocan Cafe;438 E 9th St btwn First Ave and Ave A;East Village
Ivy's Cafe;;Upper West Side
Izakaya Ten;207 10th Ave at 23rd St;Chelsea
JG Melon;;Upper East Side
Jack's Luxury Oyster Bar;;East Village
Jack's Restaurant and Bar;;Midtown West
Jacques Brasserie;;Upper East Side
Jacques Imo's;366 Columbus Ave at 77th St;Upper West Side
Jaipur's;1007 Second Ave btwn 53rd and 54th Sts;Midtown East
Jane;100 W Houston St btwn La Guardia Pl and...;Greenwich Village
Japonica;;Greenwich Village
Java;;Park Slope
Je'Bon Noodle House;15 St Marks Pl btwn 2nd and 3rd Aves;East Village
Jean Claude;137 Sullivan St btwn Houston and Prince...;SoHo
Jean Georges;;Upper West Side
Jeeb;154 Orchard St btwn Stanton and...;Lower East Side
Jeollado;116 E 4th St btwn First and Second Aves;East Village
Jewel Bako;239 E 5th St btwn 2nd and 3rd Aves;East Village
Jewel of India;15 W 44th St btwn Fifth and Sixth Aves;Midtown West
Jimmy's No. 43;43 E 7th St at 2nd Ave;East Village
Joe Allen;326 W 46th St btwn Eighth and Ninth Aves;Midtown West
Joe's Pizza;;Greenwich Village
JoeDoe;45 East 1st St btwn 1st and 2nd Aves;East Village
John's Pizzeria;;Upper East Side
John's Pizzeria;;Greenwich Village
John's Pizzeria;;Midtown West
John's of 12th Street;302 E 12th St btwn First and Second Aves;East Village
Johnny Mack's;1114 Eighth Ave at 12th St;Park Slope
Johnny Utah's;25 W 51st St btwn Fifth and Sixth Aves;Midtown West
Jojo;160 E 64th St btwn Lexington and 3rd...;Upper East Side
Josephina;;Upper West Side
Josie's;;Upper West Side
Joy Burger Bar;;Upper East Side
Jubilee;347 E 54th St at First Ave;Midtown East
Junior's Restaurant;1515 Broadway btwn 44th and 45th Sts;Midtown West
Kafana;116 Ave C btwn E 7th and 8th Sts;East Village
Kai;822 Madison Ave btwn 68th and 69th Sts;Upper East Side
Kambi Ramen House;;East Village
Kampuchea;;Lower East Side
Kanoyama;;East Village
Kasadela;;East Village
Kate's Joint;58 Ave B at 4th St;East Village
Katsu-Hama;;Midtown East
Katz's Delicatessen;;Lower East Side
Keens Steakhouse;72 W 36th St btwn 5th and 6th Aves;Midtown West
Kefi;505 Columbus Ave btwn 84th and 85th Sts;Upper West Side
Kellari Taverna;19 W 44th St btwn 5th and 6th Aves;Midtown West
Kelley and Ping;127 Greene St btwn Houston and Prince...;SoHo
Kelley and Ping East Village (CLOSED);325 Bowery at Second St;East Village
Khyber Pass;;East Village
Kinara;473 Fifth Ave btwn 10th and 11th Sts;Park Slope
Kings' Carriage House;251 E 82nd St btwn Second and Third Aves;Upper East Side
Kingswood;121 W 10th St btwn Greenwich and 6th...;Greenwich Village
KitchenBar;687 6th Ave btwn 19th and 20th Sts;Park Slope
Kittichai;60 Thompson St btwn Spring and Broome...;SoHo
Klee Brasserie;200 9th Ave btwn 22nd and 23rd Sts;Chelsea
Klong;7 St Marks Pl btwn Second and Third...;East Village
Knife and Fork;;East Village
Ko Sushi;1329 Second Ave at 70th St;Upper East Side
Kobe Club;;Midtown West
Kobma Thai;;Greenwich Village
Koi;40 W 40th St btwn Fifth and Sixth Aves;Midtown West
Korea Palace;127 E 54th St btwn Park and Lexington...;Midtown East
Kouzan;685 Amsterdam Ave btwn 93rd and 94th Sts;Upper West Side
Krunch Pizza Bar;980 Second Ave btwn 51st and 52nd Sts;Midtown East
Kum Gang San;49 W 32nd St at Broadway;Midtown West
Kuma Inn;113 Ludlow St btwn Rivington and...;Lower East Side
Kura Sushi;;East Village
Kurumazushi;;Midtown East
Kurve;;East Village
Kyo Ya;94 E 7th St at First Ave;East Village
Kyotofu;;Midtown West
L'Absinthe Brasserie;227 E 67th St;Upper East Side
L'Artusi;;Greenwich Village
L'Atelier de Joel Robuchon;57 E 57th St btwn Madison and Park Aves;Midtown East
L'Ecole;462 Broadway at Grand St;SoHo
L'Orange Bleue;;SoHo
L.E.S. Sandwicherie;;Lower East Side
La Barra;;Lower East Side
La Bonne Soupe;;Midtown West
La Bottega Caffe;;Chelsea
La Cantina;;Greenwich Village
La Carne Grill;340 Lexington Ave btwn 39th and 40th Sts;Midtown East
La Fonda Boricua;;Upper East Side
La Fonda Del Sol;;Midtown East
La Gioconda;;Midtown East
La Goulue;746 Madison Ave btwn 64th and 65th Sts;Upper East Side
La Grenouille;3 E 52nd St btwn 5th and Madison Aves;Midtown East
La Lanterna di Vittorio;129 MacDougal St btwn 3rd and 4th Sts;Greenwich Village
La Lunchonette;;Chelsea
La Mangeoire;1008 Second Ave btwn 53rd and 54th Sts;Midtown East
La Masseria;235 W 48th St btwn Broadway and Eighth...;Midtown West
La Mediterranee;947 2nd Ave btwn 50th and 51st Sts;Midtown East
La Nacional;;Greenwich Village
La Paella;;East Village
La Rural;;Upper West Side
La Sirene;;SoHo
La Sirène;;SoHo
La Taqueria;;Park Slope
La Taza de Oro;;Chelsea
La Vineria;737 Ninth Ave btwn 49th and 50th Sts;Midtown West
La Zarza;166 First Ave btwn 10th and 11th Sts;East Village
Lan;56 Third Ave btwn 10th and 11th Sts;East Village
Land Thai Kitchen;450 Amsterdam Ave at 82nd St;Upper West Side
Landmarc at the Time Warner Center;;Midtown West
Landmark Tavern;626 Eleventh Ave at 46th St;Midtown West
Las Chicas Locas;;Chelsea
Las Ramblas;170 W 4th St btwn Jones and Cornelia Sts;Greenwich Village
Lassi;28 Greenwich Ave at Charles St;Greenwich Village
Lavagna;545 E 5th St btwn Aves A and B;East Village
Lazzara's Pizza Cafe;221 W 38th St near 7th Ave;Midtown West
Le Bateau Ivre;;Midtown East
Le Bernardin;;Midtown West
Le Bilboquet;;Upper East Side
Le Charlot;19 E 69th St btwn Madison and Park Aves;Upper East Side
Le Cirque;151 E 58th St btwn Lexington and Third...;Midtown East
Le Colonial;149 E 57th St btwn Lexington and 3rd...;Midtown East
Le Gigot;18 Cornelia St btwn Bleecker and W 4th...;Greenwich Village
Le Lupanar;103 Essex St at Delancey St;Lower East Side
Le Marais;150 West 46th St btwn 6th and 7th Aves;Midtown West
Le Miu;107 Ave A btwn 6th and 7th Sts;East Village
Le Miu (CLOSED);;East Village
Le Monde;2885 Broadway btwn 112th and 113th Sts;Upper West Side
Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;Upper West Side
Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;SoHo
Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;Upper East Side
Le Pere Pinard;175 Ludlow St btwn Houston and Stanton...;Lower East Side
Le Perigord;405 E 52d St btwn 1st Ave and Sutton Pl;Midtown East
Le Refuge;;Upper East Side
Le Singe Vert;;Chelsea
Le Souk;;East Village
Le Tableau (CLOSED);511 E 5th St btwn Aves A and B;East Village
Le Veau d'Or;129 E 60th St btwn Park and Lexington...;Upper East Side
Le Zie 2000;172 Seventh Ave btwn 20th and 21st Sts;Chelsea
Leela Lounge;;Greenwich Village
Les Enfants Terribles;37 Canal St at Ludlow St;Lower East Side
Levain Bakery;;Upper West Side
Levana;;Upper West Side
Lever House;;Midtown East
Life Cafe;;East Village
Lil' Frankie's Pizza;;East Village
Lili's Noodle Shop and Grill;;Midtown West
Lili's Noodle Shop and Grill;;Upper East Side
Lima's Taste (CLOSED);;Greenwich Village
Lime Leaf;;Upper West Side
Lisca;;Upper West Side
Little D Eatery;434 7th Ave btwn 14th and 15th Sts;Park Slope
Little Giant;85 Orchard St at Broome St;Lower East Side
Lola;15 Watts St btwn Thompson St and West...;SoHo
Lollipop;27 E 61st St btwn Madison and Park Aves;Midtown East
Lomito (CLOSED);;SoHo
Long Tan;;Park Slope
Lookout Hill Smokehouse (CLOSED);;Park Slope
Loreley;7 Rivington St btwn Bowery and Chrystie...;Lower East Side
Los Pollitos II;;Park Slope
LuLu;235 Mulberry Street at Spring St;SoHo
Lucien;14 First Ave btwn 1st and 2nd Sts;East Village
Lucky Cheng's;24 First Ave at E 2nd St;East Village
Lucky Strike;;SoHo
Lucky's Famous;;Midtown West
Lugo Caffe;;Midtown West
Luke's Bar and Grill;;Upper East Side
Lumi;963 Lexington Ave at 70th St;Upper East Side
Lupa;;Greenwich Village
Lupe's East L.A. Kitchen;110 Sixth Ave at Watts St;SoHo
Lure Fishbar;;SoHo
Lusardi's;1494 Second Ave at 78th St;Upper East Side
Luscious Food;59 Fifth Ave btwn Bergen St and St...;Park Slope
Lusso;;SoHo
Luxee;;Lower East Side
Luzia's;429 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side
Luzzo's;211-213 First Ave at 13th St;East Village
Macaron;16 W 36 St btwn Broadway and 7th Aves;Midtown West
Macondo;157 E Houston St btwn Eldridge and...;Lower East Side
Madaleine Mae (CLOSED);461 Columbus Ave at 82nd St;Upper West Side
Madison and Vine;299 Madison Ave at 41st St;Midtown East
Maia;98 Ave B btwn 6th and 7th Sts;East Village
Maison;1700 Broadway btwn 53rd and 54th Sts;Midtown West
Malatesta Trattoria;;Greenwich Village
Maloney and Porcelli;;Midtown East
Mama Mexico;;Midtown East
Mama Mexico;;Upper West Side
Mama's Food Shop;200 E 3rd St btwn Aves A and B;East Village
Mamlouk;;East Village
Mamoun's Falafel;;Greenwich Village
Mamoun's Falafel;;East Village
Mandoo Bar;2 W 32nd St btwn Fifth Ave and Broadway;Midtown West
Mangia e Bevi;800 Ninth Ave at 53rd St;Midtown West
Mangiarini;;Upper East Side
Manhattan Bistro;129 Spring St btwn Greene and Wooster...;SoHo
Mara's Homemade;342 E 6th St btwn First and Second Aves;East Village
Maracas Mexican Bar and Grill;33 Greenwich Ave btwn Sixth and Seventh...;Greenwich Village
Mare;;Chelsea
Marfa;;East Village
Margon;136 W 46th St btwn Sixth and Seventh...;Midtown West
Maria's Mexican Bistro;669 Union St btwn Fourth and Fifth Aves...;Park Slope
Marinella;49 Carmine St at Bedford St;Greenwich Village
Marion's Continental Restaurant and Lounge (CLOSED);354 Bowery btwn Great Jones and E 4th...;East Village
Market Cafe;496 Ninth Ave btwn 37th and 38th Sts;Midtown West
Market Table;54 Carmine St at Bedford St;Greenwich Village
Markt;;Chelsea
Maroons;244 W 16th St btwn Seventh and Eighth...;Chelsea
Maroons (CLOSED);;Chelsea
Marseille;;Midtown West
Maruzzella;;Upper East Side
Mary's Fish Camp;64 Charles St at 4th St;Greenwich Village
Mas (Farmhouse);;Greenwich Village
Masa;10 Columbus Circle at 60th St;Midtown West
Matador;57 Greenwich Ave btwn Perry and Charles...;Greenwich Village
Matador (CLOSED);;Greenwich Village
Match 65;29 E 65th St btwn Madison and Park Aves;Upper East Side
Matilda;647 E 11th St btwn Aves B and C;East Village
Matsuri;369 W 16th St btwn 8th and 9th Aves;Chelsea
Max;;East Village
Maya;1191 First Ave btwn 64th and 65th Sts;Upper East Side
Maz Mezcal;316 E 86th St btwn First and Second A;Upper East Side
Maze;;Midtown West
McCormick and Schmick's;1285 Sixth Ave at 51st St;Midtown West
Medina;;Chelsea
Megu Midtown;845 United Nations Plaza at E 47th St;Midtown East
Mekong (CLOSED);16 King St at Sixth Ave;SoHo
Melt;440 Bergen St btwn Flatbush and Fifth...;Park Slope
Men Kui Tei;60 W 56th St btwn 5th and 6th Aves;Midtown East
Men Kui Tei;60 W 56th St btwn 5th and 6th Aves;East Village
Mercadito;;East Village
Mercadito Cantina;172 Ave B btwn 10th and 11th Sts;East Village
Mercadito Grove;100 Seventh Ave So at Grove St;Greenwich Village
Mercat;45 Bond St btwn Lafayette St and Bowery;East Village
Mercer Kitchen;147 Mercer St at Mercer St;SoHo
Meskel;199 E 3rd St btwn Aves A and B;East Village
Metisse;239 W 105th St btwn Amsterdam Ave and...;Upper West Side
Metrazur;404 Grand Central Terminal at Park Ave;Midtown East
Metro Marche;;Midtown West
Metsovo (CLOSED);65 W 70th St at Columbus Ave;Upper West Side
Mexicana Mama;;Greenwich Village
Mezzaluna;;Upper East Side
Mezzogiorno;;SoHo
Mi Cocina;57 Jane St at Hudson St;Greenwich Village
Mia Dona;;Midtown East
Michael Jordan's the Steakhouse N.Y.C.;23 Vanderbilt Ave at 42nd St;Midtown East
Michael's;24 West 55th St btwn 5th and 6th Aves;Midtown West
Minca;536 E 5th St btwn Aves A and B;East Village
Minetta Tavern;;Greenwich Village
Mingala Burmese;;Upper East Side
Mint;150 E 50th St btwn Lexington and Third...;Midtown East
Miracle Grill;222 Seventh Ave at 3rd St;Park Slope
Miracle Grill;222 Seventh Ave at 3rd St;Greenwich Village
Miriam;79 5th Ave at Prospect Place;Park Slope
Mishima;164 Lexington Ave btwn 30th and 31st Sts;Midtown East
Miss Mamie's Spoonbread Too;366 W 110th St btwn Manhattan and...;Upper West Side
Miss Saigon (CLOSED);1425 Third Ave btwn 80th and 81st Sts;Upper East Side
Miyagi;220 W 13th St btwn Seventh and...;Greenwich Village
Moim;;Park Slope
Molyvos;;Midtown West
Momofuku Bakery and Milk Bar;;East Village
Momofuku Ko;;East Village
Momofuku Noodle Bar;163 1st Ave btwn 10th and 11th Sts;East Village
Momofuku Ssam Bar;207 2nd Ave at E 13th St.;East Village
Momoya;187 7th Ave at 21st St;Chelsea
Monte's Trattoria;97 MacDougal St btwn W 3rd and Bleecker...;Greenwich Village
Montebello;120 E 56th St btwn Park and Lexington...;Midtown East
Montparnasse;;Midtown East
Mooncake Foods;28 Watts St btwn Sixth Ave and Thompson...;SoHo
Moran's Chelsea;146 Tenth Ave at 19th St;Chelsea
Morandi;;Greenwich Village
Morimoto;;Chelsea
Morrell Wine Bar and Cafe;1 Rockefeller Plaza btwn 5th and 6th...;Midtown West
Morton's of Chicago;551 Fifth Ave at 45th St;Midtown West
Moustache;265 E 10th St btwn First Ave and Ave A;East Village
Moustache;265 E 10th St btwn First Ave and Ave A;Greenwich Village
Moutarde;239 Fifth Ave at Carroll St;Park Slope
Mr Jones;;East Village
Mr. Chow;;Midtown East
Mr. Falafel;;Park Slope
Mr. K's;;Midtown East
Mr. Skewer and Company;;Greenwich Village
My Befana (CLOSED);116 West Houston St btwn Sullivan and...;SoHo
Naima;;Chelsea
Naka Naka;;Chelsea
Nana;;Park Slope
Naples 45;;Midtown East
Natsumi;226 W 50th St btwn 8th Ave and Broadway;Midtown West
Naya Mezze and Grill;1057 Second Ave btwn 55th and 56th St;Midtown East
Negril;362 W 23rd St btwn Eighth and Ninth Aves;Chelsea
Negril Village;70 W 3rd St btwn La Guardia Pl and...;Greenwich Village
Nello;;Upper East Side
Neo Sushi;;Upper West Side
Nice Matin;;Upper West Side
Nick and Stef's Steakhouse;9 Penn Plaza at 33rd St;Midtown West
Nick and Toni's;;Upper West Side
Nick's Pizza;1814 Second Ave at 94st St;Upper East Side
Nicky's Vietnamese Sandwiches;150 E 2nd St btwn Aves A and B;East Village
Nino's;1354 First Ave btwn 72nd and 73rd Sts;Upper East Side
Nino's 208;208 E 58th St btwn Second and Third Aves;Midtown East
Nino's Bellissima Pizza;;Midtown East
Nino's Positano (CLOSED);;Midtown East
Nino's Tuscany;;Midtown West
Nippon;;Midtown East
Nizza;;Midtown West
NoNO Kitchen;;Park Slope
Noah's Ark;;Lower East Side
Nobu 57;;Midtown West
Noche Mexicana;852 Amsterdam Ave btwn 101st and 102nd...;Upper West Side
Nomad;78 Second Ave btwn 4th and 5th Sts;East Village
Nonna;;Upper West Side
Noodle Bar;172 Orchard St at Stanton St;Lower East Side
Noodle Bar;172 Orchard St at Stanton St;Greenwich Village
Nook;;Midtown West
Norma's;;Midtown West
Notaro;;Midtown East
Nougatine;;Midtown West
Novecento;343 W Broadway btwn Broome and Grand Sts;SoHo
Novo (CLOSED);290 Hudson St btwn Dominick and Spring...;SoHo
O.G.;;East Village
Obika;;Midtown East
Ocean Grill;384 Columbus Ave btwn 78th and 79th Sts;Upper West Side
Oceana;;Midtown East
Old Devil Moon;511 E 12th St btwn Aves A and B;East Village
Old Devil Moon (CLOSED);;East Village
Old San Juan;;Midtown West
Oliva;161 E Houston St at Allen St;Lower East Side
Olive Vine Cafe;;Park Slope
Omai;;Chelsea
Omen;;SoHo
Omido;;Midtown West
Oms/b;156 E 45th St btwn Lexington and Third...;Midtown East
One If By Land, Two If By Sea;;Greenwich Village
Orsay;;Upper East Side
Orso;322 W 46th St btwn Eighth and Ninth Aves;Midtown West
Osteria Gelsi;;Midtown West
Osteria Laguna;;Midtown East
Osteria Serafina;38 E 58th St btwn Park and Madison Aves;Midtown East
Osteria al Doge;;Midtown West
Osteria del Circo;;Midtown West
Ostia;;Greenwich Village
Otafuku;;East Village
Otto Enoteca Pizzeria;;Greenwich Village
Ouest;;Upper West Side
Ozu;566 Amsterdam Ave btwn 87th and 88th Sts;Upper West Side
P*Ong;;Greenwich Village
PDT;113 St Marks Pl btwn First Ave and Ave A;East Village
PJ Clarke's;;Midtown East
PJ Clarkes at Lincoln Square;;Upper West Side
Padre Figlio;;Midtown East
Paladar;161 Ludlow St btwn Houston and Stanton...;Lower East Side
Palm Court;1 Central Park South;Midtown East
Palm Court (CLOSED);;Midtown East
Palma;;Greenwich Village
Palo Santo;;Park Slope
Pam Real Thai Food;404 W 49th St btwn Ninth and Tenth Aves;Midtown West
Pampano;;Midtown East
Pampano Taqueria;805 Third Ave btwn 49th and 50th Sts;Midtown East
Panca;;East Village
Panificio (CLOSED);175 Ave B at E 11th St;East Village
Paola's;245 E 84th St btwn Second and Third Aves;Upper East Side
Papatzul;;SoHo
Papillon Bistro;22 E 54th St btwn 5th and Madison Aves;Midtown East
Paradiso;;East Village
Paris Commune;99 Bank St at Greenwich St;Greenwich Village
Park Avenue Autumn;100 E 63rd St at Park Ave;Upper East Side
Park Blue;;Midtown West
Parlor Steakhouse;;Upper East Side
Parma;;Upper East Side
Pasha;70 W 71st St btwn Central Park West and...;Upper West Side
Pasita;;Greenwich Village
Pata Negra;345 East 12th St btwn 1st and 2nd Aves;East Village
Patisserie des Ambassades;161 W 22nd St btwn Sixth and Seventh...;Chelsea
Patsy's Italian Restaurant;;Midtown West
Patsy's Pizzeria;;Upper East Side
Patsy's Pizzeria;;Greenwich Village
Patsy's Pizzeria;;Midtown East
Patsy's Pizzeria;;Upper West Side
Payard Patisserie and Bistro;1032 Lexington Ave btwn 73rd and 74th...;Upper East Side
Peacock Alley;301 Park Ave at 49th St;Midtown East
Peanut Butter and Co.;240 Sullivan St btwn Bleecker and W 3rd...;Greenwich Village
Pearl Oyster Bar;18 Cornelia St btwn Bleecker and W 4th...;Greenwich Village
Peep;;SoHo
Pegu Club;77 W Houston St btwn W Broadway and...;SoHo
Pepe Rosso to Go;;SoHo
Peperoncino;72 Fifth Ave at St Marks Pl;Park Slope
Per Lei;;Upper East Side
Pera Mediterranean Brasserie;;Midtown East
Perbacco;234 E 4th St btwn Aves A and B;East Village
Perch;;Park Slope
Peri Ela;;Upper East Side
Perilla;9 Jones St btwn Bleecker and W 4th Sts;Greenwich Village
Perry Street;176 Perry St at West Side Highway;Greenwich Village
Persephone;115 E 60th St btwn Park and Lexington...;Upper East Side
Persepolis;1407 Second Ave btwn 73rd and 74th Sts;Upper East Side
Pershing Square;;Midtown East
Persimmon;277 E 10th St btwn 1st Ave and Ave A;East Village
Pescatore;;Midtown East
PetalBelle;158 Sullivan Street corner of Houston St;SoHo
Petite Abeille;466 Hudson St btwn Barrow and Grove Sts;Greenwich Village
Petite Abeille;466 Hudson St btwn Barrow and Grove Sts;Chelsea
Petrie Court Cafe and Wine Bar;;Upper East Side
Petrossian;;Midtown West
Philip Marie;569 Hudson St at 11th St;Greenwich Village
Philippe;35 E 60th St at Madison Ave;Upper East Side
Philly Slim's Cheesesteaks;789 Ninth Ave btwn 52nd and 53rd Sts;Midtown West
Phoenix Garden;242 E 40th St btwn Second and Third Aves;Midtown East
Piadina;57 W 10th St btwn Fifth and Sixth Aves;Greenwich Village
Piano Due;;Midtown West
PicNic Market and Cafe;2665 Broadway btwn 101st and 102nd Sts;Upper East Side
Picasso;303 E 56th St btwn First and Second Aves;Midtown East
Piccolo Angelo;621 Hudson St btwn Jane and W 12th Sts;Greenwich Village
Picholine;;Upper West Side
Pietrasanta;683 Ninth Ave at 47th St;Midtown West
Pietro's;242 E 43rd St btwn 2nd and 3rd Aves;Midtown East
Pig Heaven;;Upper East Side
Pigalle;790 Eighth Ave at 48th St;Midtown West
Pinch and S'MAC;474 Columbus Ave btwn 82nd and 83rd Sts;Upper West Side
Pinche Taqueria;;Greenwich Village
Pink Pony;176 Ludlow St btwn Houston and Stanton...;Lower East Side
Pio Maya (CLOSED);;Greenwich Village
