restaurant;address;country;country_code;neighborhood;type;cost
Franchia Teahouse & Restaurant;12 Park Ave;New York;NY;Murray Hill;Korean;$$
Francisco's Centro Vasco;159 W 23rd St;;;;;
Frank Restaurant;88 Second Ave;New York;NY;East Village;Italian;$
Frank's;410 W 16th St;New York;NY;Chelsea;Italian;$$$
Frankie & Johnnie's Steakhouse;32 W 37th St;New York;NY;Midtown West;Steakhouse;$$$
Frankie & Johnnie's Steakhouse;269 West 45th Street;New York;NY;Midtown West;Steakhouse;$$$
Fred's Restaurant;476 Amsterdam Ave;;;;;
Frederick's;8 West 58th Street;New York;NY;Midtown West;Asian;$$$
Frederick's Madison;768 Madison Ave;New York;NY;Upper East Side;Mediterranean;$$$$
Freeman;Freeman Alley;New York;NY;Lower East Side;American;$$
French Roast;2340 Broadway;New York;NY;Upper West Side;Breakfast;$
Fresco by Scotto;34 E 52nd St;New York;NY;Midtown East;Italian;$$$
Fresh;105 Reade St;New York;NY;TriBeCa;Seafood;$$$
Friend Of a Farmer;77 Irving Pl;New York;NY;Gramercy Park;American;$
Funky Diner;466 Columbus Ave.;New York;NY;Upper West Side;American;$
Gabriel's Bar & Restaurant;11 W 60th St;New York;NY;Upper West Side;Italian;$$$
Gabriela's;688 Columbus Avenue;New York;NY;Upper West Side;Mexican;$$
Gallaghers;228 W 52nd St;New York;NY;Midtown West;Steakhouse;$$$$
Gammeeok Restaurant;43 W 32nd St;New York;NY;Midtown West;Korean;$
Garage Restaurant and Cafe;99 7th Avenue;New York;NY;Chelsea;American;$$$
Gari;370 Columbus Ave;New York;NY;Upper West Side;Sushi;$$$$$
Gascogne;158 8th Avenue;New York;NY;Chelsea;French;$$$
Gaucho Steak Co.;752 10th Ave.;New York;NY;Argentinean;$$;
Gavroche;212 W 14th St;New York;NY;West Village;French;$$$
Geisha;33 E 61st St;New York;NY;Upper East Side;Japanese;$$$$
Gennaro;665 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$
Ghenet Restaurant;284 Mulberry St;New York;NY;NoLita;African;$
Ginger;1400 Fifth Ave;New York;NY;Upper East Side;Chinese;$
Giorgione 508;508 Greenwich St;New York;NY;SOHO;Continental;$$$
Gobo;1426 Third Ave.;New York;NY;Vegetarian;$$;
Golden Unicorn;18 E Broadway;;;;;
Gonzalez Y Gonzalez;625 Broadway;New York;NY;SOHO;Mexican;$$$
Good;89 Greenwich St;New York;NY;West Village;American;$$
Good Enough To Eat;483 West Amsterdam Avenue;New York;NY;Upper West Side;American;$
Goodies;1 E Broadway;New York;NY;Chinatown;Chinese;$
Gordon Ramsay;The London NYC;New York;NY;Midtown West;French;$$$$$
Gotham Bar & Grill;12 E 12th St;New York;NY;Greenwich Village;American;$$$$
Grace's Trattoria Cafe & Grill;201 E 71st St;New York;NY;Upper East Side;Italian;$$$
Gramercy Tavern;42 E 20th St;New York;NY;Union Square;American;$$$$
Grand Central Oyster Bar/Saloon;89 E 42nd Street, Grand Central Terminal (Lower L;New York;NY;Midtown West;Seafood;$$
Gray's Papaya;539 8th Avenue;New York;NY;Hell's Kitchen;Fast Food;$
Gray's Papaya;2090 Broadway;New York;NY;Upper West Side;American;$
Great Jones Cafe;54 Great Jones St;New York;NY;NoLita;Southern;$
Great N.Y. Noodle Town;28 Bowery;New York;NY;Chinatown;Chinese;$
Greenwich Grill;428 Greenwich St;New York;NY;TriBeCa;Californian;$$$
Grey Dog's Coffee Ltd;33 Carmine St;New York;NY;Greenwich Village;American;$
Grifone Restaurant;244 E 46th St;New York;NY;Midtown East;Italian;$$$
Grotto Azzurra;177 Mulberry St;New York;NY;Little Italy;Italian;$$$
Gus's Place;192 Bleecker Street;New York;NY;Greenwich Village;Greek;$
Gyu-Kaku;805 3rd Ave;New York;NY;Midtown East;Japanese;$$
Gyu-Kaku Japanese;34 Cooper Square;New York;NY;East Village;Japanese;$$
HQ;90 Thompson St;;;;;
Hallo Berlin;626 10th Ave.;New York;NY;German;$;
Hangawi;12 E 32nd Street;New York;NY;Murray Hill;Korean;$$$
Haru;433 Amsterdam Ave;New York;NY;Upper West Side;Japanese;$$
Haru Japanese;205 West 43rd St;New York;NY;Midtown West;Japanese;$$
Haru-Park Ave.;280 Park Ave;New York;NY;Flatiron;Sushi;$$
Hasaki;210 E Ninth St;New York;NY;East Village;Sushi;$$
Hatsuhana;237 Park Ave;New York;NY;Midtown East;Sushi;$$$$
Havana Alma De Cuba;94 Christopher St;New York;NY;West Village;Cuban;$$
Havana Central;151 W 46th Street;New York;NY;Midtown West;Cuban;$$
Havana Central - Union Square;22 E 17th St;New York;NY;Union Square;Cuban;$$
Haveli;100 Second Ave;New York;NY;East Village;Indian;$$
Hea;145 E. 13th St.;New York;NY;East Village;Pan-Asian;$$$
Hearth;403 E 12th St;New York;NY;East Village;American;$$$$
Heartland Brewery;1285 Sixth Ave;New York;NY;Midtown West;American;$$
Hedeh;57 Great Jones St;New York;NY;NoLita;Sushi;$$$
Heidelberg;1648 2nd Ave;New York;NY;Upper East Side;German;$$
Hell's Kitchen;679 Ninth Ave;New York;NY;Midtown West;Mexican;$$$
Highline;835 Washington St;New York;NY;Meatpacking District;Asian;$$
Hill Country;30 W. 26th St.;New York;NY;Chelsea;Barbecue;$$
Hispaniola;839 W 181st St;New York;NY;Harlem;Asian;$$
Holy Basil;149 Second Ave;New York;NY;East Village;Asian;$
Home;20 Cornelia St;New York;NY;Greenwich Village;American;$$
Houston's;378 Park Ave. S.;New York;NY;American;$$;
Houston's Restaurant;153 E 53rd St;New York;NY;Midtown East;American;$$
Hsf;46 Bowery;New York;NY;Chinatown;Chinese;$
Hudson Cafeteria;356 West 58th Street;New York;NY;Midtown West;American;$$$
Hudson River Café;697 West 133rd ST.;New York;NY;Harlem;American;$$
Hummus Place;109 St. Marks Pl.;;;;;
Hunan Park Restaurant;235 Columbus Ave;;;;;
I Coppi;432 E Ninth St;New York;NY;East Village;Italian;$$$
I Sodi;105 Christopher St;New York;NY;Greenwich Village;Italian;$$$
I Tre Merli;463 W Broadway;New York;NY;SOHO;Italian;$$$
I Trulli;122 E 27th St;New York;NY;Gramercy Park;Italian;$$$
Icon;130 E 39th Street;New York;NY;Midtown East;American;$$$
Ideya;349 W Broadway;New York;NY;SOHO;Caribbean;$$
Iguana;240 W 54th St;;;;;
Il Bagatto;192 E Second St;New York;NY;East Village;Italian;$$
Il Bastardo;191 Seventh Ave;New York;NY;Chelsea;Steakhouse;$$$
Il Brigante;214 Front St.;New York;NY;Financial District;Italian;$$
Il Buco;47 Bond St;New York;NY;NoLita;Italian;$$$
Il Cantinori;32 East 10th St;New York;NY;Greenwich Village;Italian;$$$$
Il Cortile;125 Mulberry St;New York;NY;Little Italy;Italian;$$$
Il Gattopardo;33 W 54th St;New York;NY;Midtown West;Italian;$$$
Il Giglio;81 Warren St;New York;NY;TriBeCa;Italian;$$$$
Il Mulino;86 W 3rd St;New York;NY;Greenwich Village;Italian;$$$$
Il Valentino;330 East 56th Street;New York;NY;Midtown East;Italian;$$$
Inagiku;111 East 49th Street;New York;NY;Midtown East;Sushi;$$$$
Indochine;430 Lafayette St;New York;NY;East Village;French;$$$
Indus Valley;2636 Broadway;New York;NY;Upper West Side;Indian;$$
Industria Argentina;329 Greenwich St.;New York;NY;Argentinean;$$$;
Inn LW12;7 Ninth Avenue;New York;NY;Meatpacking District;British;$$$
Insieme;777 Seventh Avenue;New York;NY;Midtown West;Italian;$$$$
Ippudo;65 4th Ave;New York;NY;East Village;Japanese;$$$
Isabella's;359 Columbus Ave;New York;NY;Upper West Side;American;$$
Island Burgers & Shakes;766 9th Ave;New York;NY;Midtown West;American;$
It's A Dominican Thing;144 W 19th St;New York;NY;Chelsea;Caribbean;$
Ithaka;308 E 86th St;New York;NY;Upper East Side;Greek;$$$
Ivo & Lulu;558 Broome St;New York;NY;SOHO;Caribbean;$
Jack's Luxury Oyster Bar;246 E Fifth St;New York;NY;East Village;Continental;$$$$
Jacks Bar and Restaurant;147West 40th Street;New York;NY;Theater;American;$$$
Jackson Hole;232 E 64th St;;;;;
Jacques-Imo's;366 Columbus Ave;New York;NY;Upper West Side;Creole-Cajun;$$
Jaipur's;1007 2nd Avenue;New York;NY;Midtown East;Indian;$
Jane;100 W Houston St;New York;NY;Greenwich Village;American;$$$
Japonica;100 University Pl;New York;NY;Greenwich Village;Sushi;$$$
Jarnac;328 W 12th St;New York;NY;West Village;French;$$$
Jean Georges;1 Central Park W;New York;NY;Upper West Side;French;$$$$$
Jekyll & Hyde Club;1409 Ave Of The Americas;New York;NY;Greenwich Village;American;$$
Jerry's;101 Prince St;New York;NY;SOHO;American;$$
Jewel Of India;15 W 44th St;New York;NY;Midtown West;Indian;$$
Jezebel;630 Ninth Ave;New York;NY;Midtown West;Southern;$$$
JoJo;160 E 64th St;New York;NY;Upper East Side;French;$$$$
Joe's Pizza;7 Carmine St;New York;NY;Greenwich Village;Pizza;$
Joe's Shanghai Restaurant;St Pell St Fl 1;New York;NY;Midtown West;Chinese;$
John's Of 12th Street;302 E 12th St;New York;NY;East Village;Italian;$$
John's Pizzeria;408 E 64th St;New York;NY;Upper East Side;Pizza;$
Johnny Utah's;25 W. 51st St.;;;;;
Joseph's Restaurant;St Hanover Sq;New York;NY;Wall Street;Italian;$$$
Josie's;300 Amsterdam Avenue;New York;NY;Upper West Side;International;$$
Jules;65 St Marks Pl;New York;NY;East Village;French;$$
Kabab Factory;101 Lexington Avenue;New York;NY;Murray Hill;Indian;$$
Kai;822 Madison Ave;New York;NY;Upper East Side;Japanese;$$$$
Kaijou;21 South End Street;New York;NY;Financial District;Japanese;$$
Kampuchea;78 Rivington St.;New York;NY;Cambodian;;
Kang Such Restaurant;1250 Broadway;New York;NY;Midtown West;Korean;$$
Kanoyama;175 Second Ave;New York;NY;East Village;Sushi;$$
Katz's Delicatessen;205 East Houston Street;New York;NY;Lower East Side;Deli;$
Keens Steakhouse;72 W 36th St;New York;NY;Midtown West;Steakhouse;$$$
Kefi;222 W. 79th St.;New York;NY;Upper West Side;Greek;$$$
Kellari Taverna;19 W 44th St;New York;NY;Midtown West;Greek;$$
Kelley & Ping;127 Greene St;New York;NY;SOHO;Asian;$
Kin Khao;171 Spring Street;New York;NY;SOHO;Asian;$$
Kings' Carriage House;251 E 82nd St;New York;NY;Upper East Side;Continental;$$$
Kinoko Japanese Restaurant;165 W 72nd Street;New York;NY;Japanese;$$;
Kittichai;60 Thompson St;New York;NY;SOHO;Thai;$$$$
Klee Brasserie;200 9th Avenue;New York;NY;Chelsea;American;$$$
Klong;7 St Marks Pl;New York;NY;East Village;Asian;$
Knickerbocker Bar & Grill;33 University Pl;New York;NY;Greenwich Village;American;$$$
Koi;40 W 40th St;New York;NY;Midtown West;Asian;$$$$
Kori;253 Church St;New York;NY;TriBeCa;Korean;$$
Kum Gang San;49 W 32nd St;New York;NY;Midtown West;Korean;$$
Kuma Inn;113 Ludlow St;New York;NY;Lower East Side;Southeast Asian;$$
Kuruma Zushi;7 E 47th St, 2nd Fl;New York;NY;Midtown East;Sushi;$$$$$
Kwik Meal;Food Cart;New York;NY;Theater;Middle Eastern;$
Kyma;300 W 46th St;New York;NY;Midtown West;Greek;$$$
Kyo Ya;94 E 7th St;New York;NY;East Village;Japanese;$$$$
L'Allegria;623 9th Ave;New York;NY;Theater;Italian;$$
L'Atelier de Joel Robuchon;57 E. 57th Street;New York;NY;Midtown East;French;$$$$$
L'Ecole;462 Broadway;New York;NY;SOHO;French;$$$
L'Entrecote;1057 First Ave.;;;;;
L'Impero - CLOSED;45 Tudor City Pl;New York;NY;Midtown East;Italian;$$$$
La Belle Vie;184 Eighth Ave;New York;NY;Chelsea;French;$$
La Bergamote;169 Ninth Ave;New York;NY;Chelsea;French;$
La Boite En Bois;75 W 68th St;New York;NY;Upper West Side;French;$$$
La Goulue;746 Madison Ave;New York;NY;Upper East Side;French;$$$
La Grenouille;3 E 52nd St;New York;NY;Midtown East;French;$$$$
La Grolla;413 Amsterdam Ave;;;;;
La Lunchonette;130 10th Ave;New York;NY;Chelsea;French;$$
La Mela Ristorante;167 Mulberry St;New York;NY;Little Italy;Italian;$$
La Paella;214 E Ninth St;New York;NY;East Village;Spanish;$$
La Palapa;77 St Marks Pl;New York;NY;Greenwich Village;Mexican;$$
La Pizza Fresca Ristorante;31 E 20th St;New York;NY;Union Square;Italian;$$
La Taza De Oro;96 Eighth Ave;New York;NY;Chelsea;Caribbean;$
La Tour;1319 3rd Ave.;New York;NY;French;$$$$;
La Vela;373 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$
La Vineria;737 9th Ave.;;;;;
Lan;56 Third Ave;New York;NY;East Village;Sushi;$$
Land;450 Amsterdam Ave;;;;;
Land Thai Kitchen;450 Amsterdam Ave;New York;NY;Upper West Side;Thai;$$
Land Thai Kitchen;1565 Second Avenue;;;;;
Landmarc;10 Columbus Circle, 3rd floor;New York;NY;Upper West Side;French;$$$
Landmarc;179 W Broadway;New York;NY;Gramercy Park;French;$$$
Lasagna Ristorante;785 9th ave;New York;NY;Hell's Kitchen;Italian;$$
Lavagna;545 E. Fifth St.;New York;NY;Italian;$$$;
Le Bernardin;155 W 51st St;New York;NY;Midtown West;Seafood;$$$$$
Le Bilboquet;25 E 63rd St;New York;NY;Upper East Side;French;$$$
Le Boeuf a La Mode;539 E 81st St;New York;NY;Upper East Side;French;$$$
Le Gamin;522 Hudson St;New York;NY;West Village;French;$
Le Gigot;18 Cornelia St;New York;NY;Greenwich Village;French;$$$
Le Jardin Bistro;25 Cleveland Pl;New York;NY;NoLita;French;$$$
Le Madeleine;403 W 43rd Street;New York;NY;Midtown West;French;$$$
Le Miu;107 Ave. A;New York;NY;Sushi;$$$;
Le Monde;2885 Broadway;New York;NY;Harlem;French;$$
Le Pere Pinard;175 Ludlow St;New York;NY;Lower East Side;French;$$
Le Perigord;405 E 52nd St (Between Fdr Dr & 1st Avenue);New York;NY;Midtown East;French;$$$
Le Souk;47 Ave B;New York;NY;Midtown East;African;$$
Le Zie 2000;172 Seventh Ave;New York;NY;Chelsea;Italian;$$
Leela Lounge;1 W. Third St.;New York;NY;Indian;$$;
Les Enfants Terribles;37 Canal St;New York;NY;Lower East Side;African;$$
Les Halles;411 Park Ave S;New York;NY;Gramercy Park;French;$$$
Les Halles;15 John St;New York;NY;Financial District;French;$$$
Lima's Taste;122 Christopher St;New York;NY;West Village;South American;$
Lime Leaf;2799 Broadway;;;;;
Lisca;660 Amsterdam Ave;;;;;
Little Giant;85 Orchard St;New York;NY;Lower East Side;American;$$$$
Little Owl;90 Bedford Street;New York;NY;West Village;American;$$$
Little Pie Company;Grand Central Station;New York;NY;Midtown East;Bakery;$
Loft;505 Columbus Ave;New York;NY;Upper West Side;Mediterranean;$$
Lombardi's;32 Spring St;New York;NY;NoLita;Pizza;$
Lomito;300 Spring St;New York;NY;SOHO;Argentinean;$$$
Londel's Supper Club;2620 Frederick Douglas Blvd;New York;NY;Harlem;Southern;$$
London Bar;151 W. 54th Street;New York;NY;Midtown West;French;$$$$
Loreley;7 Rivington St.;New York;NY;German;;
Los Dos Molinos;119 E 18th St;New York;NY;Gramercy Park;Southwestern;$$
Loside;157 E Houston Street;New York;NY;Lower East Side;American;$
LuLu;235 Mulberry Street;;;;;
Lucien;14 1st Ave;New York;NY;East Village;French;$$
Lucy Latin Kitchen;35 E 18th St;New York;NY;Flatiron;Nuevo Latino;$$$
Lupa;170 Thompson St;New York;NY;Greenwich Village;Italian;$$$$
Lure;142 Mercer St, Downstairs;New York;NY;SOHO;Seafood;$$$$
Lusardi's;1494 Second Ave;New York;NY;Upper East Side;Italian;$$$$
Luzia's;429 Amsterdam Ave.;;;;;
Macelleria;48 Gansevoort St;New York;NY;Meatpacking District;Italian;$$$
Madison Bistro;238 Madison Ave;New York;NY;Murray Hill;French;$$$
Mai House;186 Franklin Street;New York;NY;TriBeCa;Vietnamese;$$$
Malatesta Trattoria;649 Washington St;New York;NY;West Village;Italian;$$
Maloney & Porcelli;37 E 50th St;New York;NY;Midtown East;Steakhouse;$$$$
Mama Mexico;214 E. 49th St.;;;;;
Mama! Mexico;2672 Broadway;New York;NY;Midtown East;Mexican;$$
Mama's Food Shop;200 E Third St;New York;NY;East Village;American;$
Mamlouk;211 East 4th St;New York;NY;East Village;Middle Eastern;$$$
Mamoun's Falafel Restaurant;119 MacDougal St.;;;;;
Mandarin Court;61 Mott St;New York;NY;Chinatown;Chinese;$
Mandoo Bar;2 W 32nd St;New York;NY;Midtown West;Korean;$
Mangia;50 W 57th St Fl 1;New York;NY;Midtown East;Italian;$
Mara's Homemade;342 E Sixth St;New York;NY;East Village;Creole-Cajun;$$
Mare;198 Eighth Ave;New York;NY;Chelsea;Seafood;$$
Maremma;228 W 10th St;New York;NY;West Village;Italian;$$$
MarkJoseph Steakhouse;261 Water St;New York;NY;Financial District;Steakhouse;$$$$
Market Table;54 Carmine St;New York;NY;American;$$$$;
Markt;676 6th Avenue;New York;NY;Flatiron;Belgian;$$$
Maroons;244 W 16th St;New York;NY;Chelsea;Southern;$$
Marseille;630 Ninth Ave;New York;NY;Midtown West;French;$$$
Mary Anns Mexican Restaurant;1503 2nd Ave;;;;;
Mary's Fish Camp;64 Charles St;New York;NY;West Village;Seafood;$$
Mas (farmhouse);39 Downing St;New York;NY;Greenwich Village;American;$$$$
Masa;10 Columbus Circle;New York;NY;Upper West Side;Japanese;$$$$$
Matsuri;369 W 16th St;;;;;
Max;1274 Amsterdam Ave;New York;NY;East Village;Italian;$
Maya;1191 First Avenue;New York;NY;Midtown East;Mexican;$$$$
Mccormick & Schmick's;1285 Sixth Ave;New York;NY;Midtown West;Seafood;$$$
Mediterraneo;1260 Second Ave;New York;NY;Upper East Side;Italian;$$
Megu;62 Thomas St;New York;NY;TriBeCa;Japanese;$$$$$
Megu Midtown;845 United Nations Plaza;New York;NY;Midtown East;Japanese;$$$$$
Meltemi;905 First Ave;New York;NY;Midtown East;Greek;$$$
Mercadito;179 Ave B;New York;NY;East Village;Mexican;$$
Mercadito Grove;100 Seventh Ave S;New York;NY;West Village;Mexican;$$
Mercat;45 Bond Street;New York;NY;SOHO;Spanish;$$$$
Mercer Kitchen;99 Prince Street;New York;NY;SOHO;American;$$$$
Mermaid Inn;96 Second Ave;New York;NY;East Village;Seafood;$$$
Mesa Grill;102 5th Ave;New York;NY;Flatiron;Southwestern;$$$$
Meskerem;468 W. 47th St.;New York;NY;Ethiopian;;
Metisse;239 W 105th St;New York;NY;Upper West Side;French;$$$
Metropol;234 W Fourth St;New York;NY;Greenwich Village;French;$$$
Mexican Radio;250 Mulberry St;New York;NY;NoLita;Mexican;$$
Mexicana Mama;525 Hudson St;New York;NY;West Village;Mexican;$$
Mezzaluna;1295 3rd Ave;New York;NY;Upper East Side;American;$$
Mi Cocina;57 Jane St;New York;NY;West Village;Mexican;$$$
Michael Jordan's The Steakhouse N.Y.C.;23 Vanderbilt Ave - Grand Central Staion;New York;NY;Midtown East;Steakhouse;$$$
Michael's;24 W 55th St;New York;NY;Midtown West;Californian;$$$$
Mickey Mantle's;42 Central Park South;New York;NY;Midtown East;American;$$$
Midtown;155 E 55th Street;New York;NY;Midtown East;American;$
Mill Korean;2895 Broadway;New York;NY;Harlem;Korean;$
Minetta Tavern;113 Macdougal Street;New York;NY;Greenwich Village;Italian;$$$
Mingala Burmese;21-23 E Seventh St;New York;NY;East Village;Southeast Asian;$
Miracle Bar & Grill;415 Bleecker St;New York;NY;West Village;Southwestern;$$
Miss Maude's Spoonbread Too;547 Lenox Ave;New York;NY;Harlem;Southern;$
Mo Pitkin's;34 Ave A;New York;NY;East Village;Jewish;$$
Mobay Uptown Restaurant & Barbecue;17 W 125th St;New York;NY;Harlem;Caribbean;$
Mofongo Depot;931 Amsterdam Ave;New York;NY;Upper West Side;Nuevo Latino;$$
Molyvos;871 7th Avenue;New York;NY;Midtown West;Greek;$$$
Momofuku Ko;163 First Ave;New York;NY;East Village;Chinese;$$$$
Momofuku Noodle Bar;171 First Ave.;New York;NY;East Village;Chinese;$$$
Momofuku Ssam Bar;207 2nd Ave;New York;NY;East Village;Asian;$$$
Momoya;185 Seventh Ave;;;;;
Mon Petit Cafe;801 Lexington Ave;New York;NY;Upper East Side;French;$$
Monkey Bar;60 E 54th Street;New York;NY;Midtown East;American;$$$$
Monster Sushi;158 West 23rd St;;;;;
Montebello;120 E 56th St;New York;NY;Midtown East;Italian;$$$
Montrachet - CLOSED;239 W Broadway;New York;NY;West Village;French;$$$$
Moran's;146 Tenth Ave;New York;NY;Chelsea;Seafood;$$$
Morandi;211 Waverly Place;New York;NY;Greenwich Village;Italian;$$$
Morimoto;88 10th Ave;New York;NY;Chelsea;Japanese;$$$$
Morrell Wine Bar & Cafe;1 Rockefeller Plaza;New York;NY;Midtown West;American;$$$
Morton's;The Steakhouse, 551 Fifth Ave;New York;NY;Midtown East;Seafood;$$$$
Moustache;90 Bedford Street;New York;NY;West Village;Middle Eastern;$
Mr. Chow;324 E 57th St;New York;NY;Midtown East;Chinese;$$$$
Mr. K's;570 Lexington Ave;New York;NY;Midtown East;Chinese;$$$
Mrs Lee & Shabu Shabu Wok;121 University Pl;New York;NY;West Village;Asian;$
Mughlai;320 Columbus Ave;New York;NY;Upper West Side;Indian;$$
Mustang Sally's;324 Seventh Avenue;New York;NY;Chelsea;American;$$
Nebraska Beef;15 Stone St;New York;NY;Wall Street;Steakhouse;$$$$
Nelson Blue;233 Front Street;New York;NY;Financial District;British;$$
Neo Sushi;2298 Broadway;New York;NY;Upper West Side;Sushi;$$$$
Neptune Room;511 Amsterdam Ave;New York;NY;Upper West Side;Seafood;$$$$
Nero;46 Gansevoort St;New York;NY;Meatpacking District;Italian;$$$
New Bo-Ky;80 Bayard St;New York;NY;Chinatown;Asian;$
New York Noodle Town;28 Bowery at Bayard Street;New York;NY;SOHO;Asian;$
Nha Trang;87 Baxter St;New York;NY;Chinatown;Asian;$
Nice;35 E Broadway;New York;NY;Chinatown;Chinese;$
Nick's;1814 Second Ave;New York;NY;Upper East Side;Italian;$
Nicky's Vietnamese Sandwiches;150 E 2nd St;New York;NY;East Village;American;$
Nicole's;10 East 60th Street;New York;NY;Midtown East;British;$$
Niko's Mediterranean Grill;2161 Broadway;New York;NY;Upper West Side;Greek;$
Nino's Bellissima Pizza;890 Second Ave.;New York;NY;Midtown East;Italian;$$$
Noble Food & Wine;7 Spring Street;New York;NY;NoLita;American;$$$
Nobu Fifty Seven;40 W 57th St;New York;NY;Midtown West;Japanese;$$$$$
Nobu New York;105 Hudson St;New York;NY;TriBeCa;Japanese;$$$$
Nobu Next Door;105 Hudson St;New York;NY;TriBeCa;Sushi;$$$$
Nocello;257 West 55th St;New York;NY;Midtown West;Italian;$$$
Nocello;257 West 55th Street;New York;NY;Theater;Italian;$$$$
Nonna;520 Columbus Ave;;;;;
Norma's;118 West 57th Street;New York;NY;Midtown West;American;$$
North Square Restaurant and Lounge;103 Waverly Place;New York;NY;Greenwich Village;American;$$$$
Nougatine;1 Central Park West;New York;NY;American;$$$$;
Novecento;343 W Broadway;New York;NY;SOHO;South American;$$$
Novita;102 E 22nd Street;New York;NY;Gramercy Park;Italian;$$$
Nyonya;194 Grand Street;New York;NY;Little Italy;Malaysian;$
Ocean Grill;384 Columbus Ave;New York;NY;Upper West Side;Seafood;$$$
Oceana;55 E 54th St;New York;NY;Midtown East;Seafood;$$$$
Odeon;145 W Broadway;New York;NY;TriBeCa;French;$$$
Old Devil Moon;511 E 12th St;New York;NY;East Village;Southern;$
Old Homestead;56 9th Ave;New York;NY;Meatpacking District;Steakhouse;$$$$
Oliva;161 East Houston Street;New York;NY;Lower East Side;American;$$
Olives;201 Park Ave S - W Hotel;New York;NY;Union Square;Mediterranean;$$$
Ollie's Restaurant;1991 Broadway;New York;NY;Upper West Side;Chinese;$
Omen;113 Thompson Street;New York;NY;SOHO;Japanese;$$$
Once Upon a Tart;135 Sullivan Street;New York;NY;SOHO;American;$
One;1 Little West 12th St;New York;NY;Meatpacking District;American;$$$
One If by Land;Two If by Sea, 17 Barrow St;New York;NY;Greenwich Village;American;$$$$
One Little West 12;1 Little West 12th St.;New York;NY;Meatpacking District;American;$$
Onieal's Grand Street;174 Grand St;New York;NY;SOHO;American;$$$
Ono;18 Ninth Ave;New York;NY;Meatpacking District;Sushi;$$$$
Open the Sesame;198A Orchard St.;New York;NY;Lower East Side;Thai;$
Oriental Garden;14 Elizabeth St;New York;NY;Chinatown;Chinese;$
Osteria Al Doge;142 West 44th St;New York;NY;Midtown West;Italian;$$$
Osteria Del Circo;120 W 55th St;New York;NY;Midtown West;Italian;$$$$
Osteria Gelsi;507 Ninth Ave;New York;NY;Midtown West;Italian;$$$
Ostia Tapeo;113 Seventh Ave. S.;New York;NY;Greenwich Village;Small Plates;$$
Otto;1 Fifth Ave;New York;NY;Greenwich Village;Italian;$$$$
Ouest;2315 Broadway;New York;NY;Upper West Side;American;$$$$
Outback Steakhouse;60 W 23rd St;New York;NY;Flatiron;Steakhouse;$$
P.J. Clarke's;915 Third Ave;;;;;
P.J. Clarke's;44 W. 63rd Street;;;;;
Paladar;161 Ludlow St;New York;NY;Lower East Side;Nuevo Latino;$$
Pam Real Thai Food;404 W 49th St;New York;NY;Midtown West;Asian;$
Pampa;768 Amsterdam Avenue;New York;NY;Upper West Side;South American;$$
Pampano;209 E 49th St;New York;NY;Midtown East;Mexican;$$$
Paradou;8 Little W 12th St;New York;NY;Meatpacking District;French;$$
Paris Commune;99 Bank St;New York;NY;West Village;Continental;$$
Park;The, 118 10th Ave;New York;NY;Chelsea;Mediterranean;$$$
Park Avenue Cafe;100 East 63rd St (@ Park Avenue);New York;NY;Upper East Side;American;$$$$
Park Bistro;414 Park Ave South;New York;NY;SOHO;French;$$$
Park East Grill;1564 2nd Avenue;New York;NY;Upper East Side;Jewish;$
Parlor Steakhouse;1600 3rd Ave;New York;NY;Upper East Side;Steakhouse;$$$$
Pasha;70 W 71st St;New York;NY;Upper West Side;Middle Eastern;$$$
Pastis;9 Ninth Ave;New York;NY;Meatpacking District;French;$$$
Patsy's;236 W 56th St;New York;NY;Midtown West;Italian;$$$
Paul's Da Burger Joint;131 2nd avenue;New York;NY;East Village;American;$$
Payard Bistro;1032 Lexington Avenue;New York;NY;Upper East Side;French;$$$
Peanut Butter & Co.;240 Sullivan St;;;;;
Pearl Oyster Bar;18 Cornelia Street;New York;NY;Greenwich Village;Seafood;$$$
Peasant;194 Elizabeth St;New York;NY;NoLita;Italian;$$$
Peep;177 Prince St;New York;NY;SOHO;Asian;$$
Penelope;159 Lexington Ave;New York;NY;Murray Hill;American;$
Pepe Giallo;253 10th Ave;;;;;
Pepe Rosso;149 Sullivan St;New York;NY;SOHO;Italian;$
Per Se;10 Columbus Circle, 4th Fl (60th St);New York;NY;Upper West Side;American;$$$$$
Pera;303 Madison Avenue;New York;NY;Midtown East;Mediterranean;$$$$
Perbacco;234 E Fourth St;New York;NY;East Village;Italian;$$$
Peri Ela;1361 Lexington Avenue;New York;NY;Upper East Side;Turkish;$$
Perilla;9 Jones Street;New York;NY;Greenwich Village;American;$$$$
Periyali;35 W 20th St;New York;NY;Flatiron;Greek;$$$$
Perry St.;176 Perry St;New York;NY;West Village;French;$$$$
Persimmon;277 E 10th St;New York;NY;Korean;$$$$;
Pescatore;955-957 2nd Ave;New York;NY;Midtown East;Indian;$$$
Petite Abeille;400 West 14th St;New York;NY;Chelsea;Belgian;$
Petrossian;182 W 58th St;New York;NY;Midtown West;Continental;$$$$
Philip Marie;569 Hudson St;New York;NY;West Village;American;$$$
Pho Bang Restaurant Inc;St Pike St;New York;NY;Chinatown;Asian;$
Piadina;57 W 10th St;New York;NY;Greenwich Village;Italian;$$
