restaurant;address;neighborhood
Golden Crust;111 E 23rd St.;Flatiron
Golden Crust;715 Broadway;Greenwich Village
Golden Dragon;7 Eldridge St.;Chinatown
Golden Gate Restaurant;92-96 Elizabeth St.;Chinatown
Golden Krust;80 Nassau St.;Financial District
Golden Unicorn;18 E Broadway;Chinatown
Gonzo;140 W 13th St.;West Village
Good Burger;800 Second Ave.;East 40s
Good Enough to Eat;483 Amsterdam Ave.;West 80s
Good World Bar & Grill;3 Orchard St.;Chinatown
Gotham Bar & Grill;2 E. 12th St.;Greenwich Village
Gotham Bar and Grill;2 E. 12th St.;Greenwich Village
Gottino;52 Greenwich Ave.;West Village
Gourmet Brick Oven Pizza 33;489 Third Ave.;Murray Hill
Grand Sichuan;125 Canal St.;Lower East Side
Grand Sichuan;19-23 St. Marks Pl.;East Village
Grand Sichuan International Midtown;745 Ninth Ave.;West 40s
Grano;21 Greenwich Ave.;West Village
Great N.Y. Noodletown;28 Bowery;Chinatown
Grounded;28 Jane St.;West Village
Gyu Kaku;34 Cooper Sq;East Village
Haandi;113 Lexington Ave.;Murray Hill
Habib's Place;89 Ave. A;East Village
Hacienda de Argentina;339 E 75th St.;East 70s
Hakata Ippudo;65 Fourth Ave.;East Village
Hakata Tonton;61 Grove St.;West Village
Halal Indo-Pak Restaurant;1750 First Ave.;East 90s
Hanami;525 Sixth Ave.;West Village
Hanci Turkish Cuisine;854 10th Ave.;West 50s
Harlem Wing and Waffle;2394 Adam Clayton Powell Blvd.;Harlem
Haru;1 Wall St. Court;Financial District
Hasaki;210 East 9th St.;East Village
Hatsuhana;17 E 48th St.;East 40s
Havana Central;22 E 17th St.;Union Square
Hea;145 E 13th St.;East Village
Heartland Brewery;127 W 43rd St.;West 40s
Heartland Brewery;1285 Sixth Ave.;West 50s
Heartland Brewery;35 Union Square West;Union Square
Heartland Brewery;93 South St.;Financial District
Hill Country;30 W 26th St.;Chelsea
Hill Country Barbecue;30 W 26th St.;Chelsea
Hiroko’s Place;75 Thompson St.;Soho
Hong Kong Station;128 Hester St.;Lower East Side
House of Seafood;2349 Eighth Ave.;Harlem
Hsin Wong;72 Bayard St.;Chinatown
Hummus Place;99 Macdougal St.;Greenwich Village
Hummus Place;109 St. Marks Pl.;East Village
Hundred Acres;38 MacDougal St.;Soho
I Trulli;122 E 27th St.;Murray Hill
Il Brigante;214 Front St.;Financial District
Il Corallo Trattoria;176 Prince St.;Soho
Il Laboratorio del Gelato;95 Orchard St.;Lower East Side
Il Mulino;86 W. Third St.;Greenwich Village
In Vino;215 E 4th St.;East Village
Inakaya;231 West 40th Street;West 40s
Inatteso Pizzabar Casano;28 West St.;Financial District
Indian Bread Co.;194 Bleecker St.;Greenwich Village
Indian Express;18 Murray St.;Financial District
Indus Valley;2636 Broadway;West 100s
Ino Cafe & Wine Bar;21 Bedford St.;West Village
Insieme;777 Seventh Avenue;West 50s
Irving Mill;116 East 16th Street;East Village
Isabella’s;359 Columbus Ave.;West 70s
Ishikura Sushi;67 First Ave.;East Village
Ithaka;308 E 86th St.;East 80s
Ivo & Lulu;558 Broome St.;Soho
Izakaya Ten;207 10th Ave.;Chelsea
Jack's Luxury Oyster Bar;246 E. 5th St.;East Village
Jacques-Imo's;366 Columbus Ave.;West 70s
Jai-Ya;396 3rd Ave.;Murray Hill
Jaipur's Indian Cuisine;1007 2nd Ave.;East 50s
Jane;100 W Houston St.;Soho
Jarnac;328 W 12th St.;West Village
Jezebel;630 9th Ave.;West 40s
Jimmy's No. 43;43 E 7th St.;East Village
Jin;252 Broome St.;Lower East Side
Jing Fong Restaurant;20 Elizabeth St.;Chinatown
Joe Doe;45 E 1st St.;Noho
Joe's Pizza;7 Carmine St.;West Village
JoeDoe;45 E First St.;East Village
John's Pizzeria;278 Bleecker St.;West Village
John's Pizzeria;260 W 44th St.;West 40s
Joy Curry & Tandoor;148 E 46th St.;East 40s
Jumbo Hamburgers;274 W 145th St.;Harlem
Jumbo Hot Dogs;149 Canal St.;Chinatown
Junior's Times Square;1515 Broadway;West 40s
Justin's;31 W 21st St.;Flatiron
Kabab Factory;101 Lexington Ave.;Murray Hill
Kafana;116 Ave. C;East Village
Kai;822 Madison Ave. 2nd Fl;East 60s
Kaijou;21 South End Ave.;Financial District
Kaloum Restaurant;120 W 116th St.;Harlem
Kam Chueh;40 Bowery;Chinatown
Kambi Ramen House;351 E 14th St.;East Village
Kampuchea Noodle Bar;78 Rivington St.;Lower East Side
Kang Suh;1250 Broadway;Chelsea
Kanoyama;175 Second Ave.;East Village
Karavas Place;162 W 4th St.;West Village
Karen's on Astor;1 Astor Place;East Village
Kasadela;647 E 11th St.;East Village
Kate's Joint;58 Ave. B;East Village
Kati Roll Company;99 MacDougal St.;Greenwich Village
Katsuhama;11 E 47th St.;East 40s
Katz's Deli;205 E Houston St.;Lower East Side
Katz's Delicatessen;205 E Houston St.;Lower East Side
Kebab Garden;128 First Ave.;East Village
Kebab House #2;144 Orchard St.;Lower East Side
Keens Steakhouse;72 W 36th St.;Garment District
Kefi;505 Columbus Ave.;West 70s
Kellari Taverna;19 W. 44th St.;East 40s
Kelley & Ping;340 3rd Ave.;Flatiron
Kelley & Ping;127 Greene St.;Soho
Kenka;25 Saint Marks's Place;East Village
Keur Mame Diarra;2401 Frederick Douglass Blvd.;Harlem
Khushie;139 Essex St.;Lower East Side
Khyber Pass;34 Saint Marks Pl.;East Village
Kin Khao;171 Spring St.;Soho
King's Carriage House;251 E 82nd St.;East 80s
Kingswood;121 W 10th St.;Greenwich Village
Kion;509 E 6th;East Village
Kitchen Club;30 Prince St.;Nolita
Kitchenette;1272 Amsterdam Ave.;Morningside Heights
Kitchenette;156 Chambers St.;Tribeca
Kittichai;60 Thompson St. | Thompson Hotel;Soho
Klee Brasserie;200 9th Ave.;Chelsea
Klong;7 St. Marks Pl.;East Village
Knickerbocker Bar & Grill;33 University Pl.;Greenwich Village
Knife & Fork;108 E. Fourth St.;East Village
Ko Sushi;1329 Second Ave.;East 70s
Ko Sushi;1619 York Ave.;East 80s
Kobe Club;68 W 58th St.;West 50s
Kodama;301 W 45th St.;West 40s
Koi;40 W 40th St. | Bryant Park Hotel;West 40s
Kom Tang Soot Bull House;32 W 32nd St.;Chelsea
Kool Bloo;117 6th Ave.;Soho
Korean Temple Cuisine;81 St. Marks Pl.;East Village
Koronet Pizza;2848 Broadway;West 100s
Koronet Pizzeria;2848 Broadway;West 100s
Kosher Delight;1365 Broadway;Garment District
Krik Krak;844 Amsterdam Ave.;West 100s
Kum Gang San;49 W 32nd;Chelsea
Kum Ryong;30 W 32nd St.;Chelsea
Kuma Inn;113 Ludlow St. (2nd floor);Lower East Side
Kun Jip;9 W 32nd St.;Chelsea
Kunjip;9 W 32nd St.;Chelsea
Kuruma Zushi;7 E 47th St.;East 40s
Kuta;65 Rivington St.;Lower East Side
Kyoto Sushi;1240 Lexington Ave.;East 80s
Kyotofu;705 Ninth Ave.;West 40s
L&L Hawaiian Barbecue;64 Fulton St.;Financial District
L'Absinthe;227 E 67th St.;East 60s
L'Atelier de Joel Robuchon;57 E 57th St. | Four Seasons Hotel;East 50s
L'Ecole;462 Broadway;Soho
L'Express;249 Park Ave. South;Gramercy Park
L'Impero;45 Tudor City Pl.;East 40s
L'allegria Italian Restaurant;623 Ninth Ave.;West 40s
L.E.S. Sushi;515 Grand St.;Lower East Side
La Belle Vie;184 Eighth Ave.;Chelsea
La Bergamote;169 Ninth Ave.;Chelsea
La Bergamote;515 W 52nd St.;West 50s
La Boite en Bois;75 W 68th St.;West 60s
La Bonne Soupe;48 W 55th St.;West 50s
La Bottega;88 Ninth Ave. | Maritime Hotel;Chelsea
La Cabana Salvadoreña;4384 Broadway;Washington Heights
La Cantina Toscana;1109 First Ave.;East 60s
La Caridad 78;2199 Broadway;West 70s
La Casa Del Mofongo;1447 Saint Nicholas Avenue;Washington Heights
La Casa de Los Tacos;2277 First Ave.;East Harlem
La Esquina;106 Kenmare St.;Little Italy
La Fenice Caffe;2014 Broadway;West 60s
La Giara;501 Third Ave.;Murray Hill
La Gioconda;226 E 53rd St.;East 50s
La Goulue;746 Madison Ave.;East 60s
La Grolla;413 Amsterdam Ave.;West 70s
La Lunchonette;130 10th Ave.;Chelsea
La Masseria;235 W 48th St.;West 40s
La Mediterranee;947 Second Ave.;East 50s
La Palapa Cocina Mexicana;359 Sixth Ave.;West Village
La Palapa Rockola;359 6th Ave.;West Village
La Palette;94 Greenwich Ave.;West Village
La Paloma;359 W 45th St.;West 40s
La Pizza Fresca;31 E 20th St.;Flatiron
La Ripaille;605 Hudson St.;West Village
La Taza de Oro;1459 Eighth Ave.;Chelsea
Landmarc;179 W Broadway;Tribeca
Lansky’s Old World Deli;235 Columbus Ave.;West 70s
Las Ramblas;170 W. Fourth St.;Greenwich Village
Lasani;15 W 29th St.;Chelsea
Lassi;28 Greenwich Ave.;West Village
Le Jardin;25 Cleveland Pl.;Soho
Le Madeleine;403 W 43rd St.;West 40s
Le Marais;150 W 46th St.;West 40s
Le Miu;107 Ave. A;East Village
Le Monde;2885 Broadway;West 100s
Le Pain Quotidien;1131 Madison Ave.;East 80s
Le Pain Quotidien;38 E 19th;Flatiron
Le Pain Quotidien;1336 1st Ave.;East 70s
Le Pain Quotidien;100 Grand St.;Little Italy
Le Perigord;405 E 52nd St.;East 50s
Le Petit Bistro;258 W 15th St.;Chelsea
Le Soleil;877 10th Ave.;West 50s
Lechonera Sandy;2261 Second Ave.;East Harlem
Lederhosen;39 Grove St.;West Village
Lenny's;307 Columbus Ave.;West 70s
Leon Bakery;695 Ninth Ave.;West 40s
Les Ambassades;161 W. 22nd St.;Chelsea
Les Enfants Terribles;37 Canal St.;Lower East Side
Les Halles;411 Park Avenue South;Murray Hill
Les Halles;15 John St.;Financial District
Li Hua;171 Grand St.;Soho
Lil' Frankie's;19 1st Ave.;East Village
Lil' Frankie's Pizza;19-21 First Ave.;East Village
Lili's Noodle Shop & Grill;1500 Third Ave.;East 80s
Lili's Noodle Shop & Grill;200 W 57th St.;West 50s
Lima's Taste;122 Christopher St.;West Village
Lisca;600 Amsterdam Ave.;West 90s
Little Giant;85 Orchard St.;Lower East Side
Little Owl;90 Bedford;West Village
Lola is Soul;15 Watts St.;Soho
Lombardi's;32 Spring St.;Soho
Loreley Restaurant & Biergaerten;7 Rivington St.;Lower East Side
Los Dados;73 Gansevoort St.;Meatpacking District
Los Dos Molinos;119 E 18th St.;Flatiron
Lovely Day;196 Elizabeth St.;Nolita
Lovies Place;2190 Frederick Douglass Blvd.;Harlem
Luca Lounge;220 Ave. B;East Village
Lucien;14 1st Ave.;East Village
Lucky 11;11 Mott St.;Chinatown
Lucky Strike;59 Grand St.;Soho
Lucy;35 E 18th St. | ABC Carpet & Home;Flatiron
Lulu;235 Mulberry St.;Greenwich Village
Lumi;963 Lexington Ave.;East 70s
Lunch Box Buffet;195 Centre St.;Chinatown
Lunetta;920 Broadway;Flatiron
Lupe’s East L.A. Kitchen;110 Sixth Ave.;Tribeca
Lure Fishbar;142 Mercer St. | downstairs;Soho
Lusardi's;1494 Second Ave.;East 70s
Lusso;331 W. Broadway;Soho
Luxee;6 Clinton St.;Noho
Luzia's;429 Amsterdam Ave.;West 80s
L‘Artusi;228 W 10th St.;Greenwich Village
MIracle Grill;415 Bleecker St.;West Village
Macao Trading Company;311 Church St.;Tribeca
Macelleria;48 Gansevoort;Meatpacking District
Macondo;157 E. Houston;Lower East Side
Madaleine Mae;461 Columbus Ave.;West 80s
Madangsui;35 W 35th St.;Garment District
Madison & Vine;299 Madison Ave. | Library Hotel;East 40s
Madison Bistro;238 Madison Ave.;Murray Hill
Madras Café;79 2nd Ave.;East Village
Madras Mahal;104 Lexington Ave.;Murray Hill
Maffei Pizza;688 6th Ave.;Flatiron
Malatesta;649 Washington St.;West Village
Mama Mexico;2672 Broadway;West 100s
Mama's Food Shop;200 E 3rd St.;East Village
Mamajuana Cafe;247 Dyckman St.;Inwood
Mambi;4181 Broadway;Washington Heights
Mamlouk;211 E. Fourth St.;East Village
Mamoun's Falafel;119 MacDougal St.;Greenwich Village
Mandoo Bar;2 W 32nd St.;Chelsea
Mangia;22 W 23rd St.;Flatiron
Mangia;50 W 57th Sts;West 50s
Mangia;40 Wall St. | Trump Building;Financial District
Mangia;16 E 48th St.;East 40s
Manhattan Heroes;27th & 7th Ave.;Chelsea
Mantra 986;986 Second Ave.;East 50s
Maoz;38 Union Square East;Union Square
Mara's Homemade;342 E 6th St.;East Village
March;405 E 58th St.;East 50s
Marchi's;251 E 31st St.;Murray Hill
Maremma;228 W 10th St.;West Village
Marfa;101 E 2nd St.;East Village
Mark Joseph;261 Water St.;Financial District
Market Café;496 9th Ave.;Garment District
Market Table;54 Carmine St.;West Village
Markt;676 6th Ave.;Chelsea
Marquet Patisserie;15 E 12th St.;East Village
Marseille;630 9th Ave.;West 40s
Mary's Fish Camp;64 Charles St.;West Village
Matsugen;241 Church St.;Tribeca
Matsuri;396 W 16th St.;Chelsea
Max;1274 Amsterdam Ave.;Harlem
Max;51 Ave. B;East Village
Max Brenner;141 Second Ave.;East Village
Max Brenner;841 Broadway;Union Square
Max SoHa;1274 Amsterdam Ave.;Harlem
Maz Mezcal;316 E 86th St.;East 80s
Maze;151 W 54th St. | The London NYC;West 50s
McCormick & Schmick's;1285 Sixth Ave.;West 50s
Megu;62 Thomas St.;Tribeca
Megu;845 United Nations Plaza;East 40s
Menchanko-Tei;43-45 W 55th St.;West 50s
Menkui-Tei;63 Cooper Sq.;Noho
Mercadito;179 Ave. B;East Village
Mercat;45 Bond St.;Greenwich Village
Mercer Kitchen;99 Prince St. | Mercer Hotel;Soho
Mercury Dime;246 E 5th St.;East Village
Merkato 55;55 Gansevoort St.;Meatpacking District
Mermaid Inn;96 2nd Ave.;East Village
Mesa Grill;102 Fifth Ave.;Flatiron
Meskel;199 E 3rd St.;East Village
Meskerem;468 W 47th St.;West 40s
Metisse;230 W 105th St.;West 100s
Metro Marche;625 Eighth Ave.;West 40s
Mexican Radio;19 Cleveland Pl.;Soho
Mexicana Mama;525 Hudson St.;West Village
Mexico Lindo;459 2nd Ave.;Murray Hill
Mezzaluna;1295 Third Ave.;East 70s
Mi Cocina;57 Jane St.;West Village
Mi Mexico Lindo Panaderia;2267 Second Ave.;East Harlem
Mia Dona;206 E 58th St.;East 50s
Minar;138 W 46th St.;West 40s
Minca;536 E 5th St.;East Village
Mint;150 E 50th St. | San Carlos Hotel;East 50s
Mishima;164 Lexington Ave.;Murray Hill
Miss Mamie's Spoonbread Too;366 W 110th St.;Harlem
Miss Maude's;547 Lenox Ave.;Harlem
Mizu Sushi;29 E 20th St.;Flatiron
Mo-Bay;17 W 125th St.;Harlem
Moco Global Dining;516A Third Ave.;Murray Hill
Momofuku Ko;163 1st Ave.;East Village
Momofuku Milk Bar and Bakery;207 Second Ave.;East Village
Momofuku Noodle Bar;171 1st Ave.;East Village
Momofuku Ssam Bar;207 2nd Ave.;East Village
Momofuku Ssäm Bar;207 Second Ave.;East Village
Momoya;185 Seventh Ave.;Chelsea
Mon Petit Cafe;801 Lexington Ave.;East 60s
Monck's Corner;644 9th Ave.;West 40s
Mooncake Foods;28 Watts St.;Tribeca
Morandi;211 Waverly Pl.;West Village
Morimoto;88 10th Ave.;Chelsea
Morton's, The Steakhouse;Morton's, The Steakhouse;East 40s
Mott Pho Bang Restaurant;157 Mott St.;Chinatown
Mottsu;285 Mott St.;Soho
Moustache;1621 Lexington Ave.;East Harlem
Mr. Chow;324 E 57th St.;East 50s
Mr. Chow Tribeca;121 Hudson St.;Tribeca
Mr. Ginger;1572 2nd Ave.;East 80s
Mr. K's;570 Lexington Ave.;East 50s
Mr. Skewer & Co.;43 W 14th St.;Chelsea
Mr. Tang;50 Mott St.;Chinatown
Mughlai;320 Columbus Ave.;West 70s
Naima;513 W 27th St.;Chelsea
Nam;110 Reade St.;Tribeca
Nam Zhaou Hand Made Noodle and Dumpling Place;144 E Broadway;Chinatown
Nanni;146 E 46th St.;East 40s
Nanoosh Mediterranean Hummus Bar;1273 1st Avenue;East 60s
Native;161 Lenox Ave.;Harlem
Natsumi;226 W 50th St.;West 50s
Neary's;358 E 57th St.;East 50s
Nello;696 Madison Ave.;East 60s
Nelson Blue;233 Front St.;South Street Seaport
Neo Sushi;2298 Broadway;West 80s
Neptune Room;511 Amsterdam Ave.;West 80s
Nero;46 Gansevoort St.;Greenwich Village
New Bai Wei Gourmet Foods;51 Division St.;Chinatown
New Bo-Ky;82 Bayard St.;Chinatown
New Caporal;3772 Broadway;Washington Heights
New Chao Chow Restaurant;111 Mott St.;Chinatown
New Green Bo;66 Bayard St.;Chinatown
New Malaysia Restaurant;46-48 Bowery;Chinatown
New Naima Kada;124 Lexington Avenue;Murray Hill
New Pasteur Restaurant;85 Baxter St.;Chinatown
New York Burger Co.;303 Park Ave. S;Flatiron
Nha Trang;148 Centre St.;Chinatown
Nha Trang;87 Baxter St.;Chinatown
Nicky's Vietnamese Sandwiches;150 E 2nd St.;East Village
Nicola's;146 E 84th St.;East 80s
Nicole's;10 E 60th St.;East 60s
Niko's Mediterranean Grill & Bistro;2161 Broadway;West 70s
Nikoniko;80 Wall St.;Financial District
Niles Restrnt;371 7th Ave. Lbby;Garment District
Nina's Argentinean Pizzeria;1750 Second Ave.;East 90s
Nino's Tuscany;117 W 58th St.;West 50s
Nippon;155 E 52nd St.;East 50s
Nirvana;218 Third Ave.;Flatiron
No 1 Chinese Restaurant;825 W 181st St.;Washington Heights
Noah's Ark;399 Grand St.;Lower East Side
Noble Food & Wine;7 Spring St.;Little Italy
Nobu;105 Hudson St.;Tribeca
Nobu 57;40 W 57th St.;West 50s
Nobu Next Door;105 Hudson St.;Tribeca
Nocello;257 W 55th St.;West 50s
Noche Mexicana;852 Amsterdam Ave.;West 100s
Noho Star;330 Lafayette St.;Greenwich Village
Nolita House;47 E Houston St.;Little Italy
Nomad;78 Second Ave.;East Village
Noodle Bar;26 Carmine Street;West Village
Norma's;118 W 57th St. | Le Parker Meridian;West 50s
Novita;102 E 22nd St.;Flatiron
Nyonya;194 Grand St.;Chinatown
O.G.;507 E 6th St.;East Village
OK 218;218-220 Grand St.;Chinatown
Oak Room at the Plaza;768 5th Avenue;West 50s
Obika;590 Madison Ave.;East 50s
Ocean Grill;384 Columbus Ave.;West 70s
Oceana;55 E 54th St.;East 50s
Odeon;145 W Broadway;Tribeca
Oh! Taisho;9 St. Marks Pl.;East Village
Old Homestead Steak House;56 9th Ave.;Chelsea
Old Town Bar;45 E 18th St.;Flatiron
Olympic Pita;58 W 38th St.;Garment District
Omai;158 9th Ave.;Chelsea
Omen;113 Thompson St.;Soho
Omido;1695 Broadway;West 50s
Oms/B;156 E 45th St.;East 40s
Once Upon A Tart;135 Sullivan St.;Soho
Onda;229 Front St.;South Street Seaport
One 83;1608 1st Ave.;East 80s
One Fish, Two Fish;1399 Madison Ave.;East 90s
One if by Land, Two if by Sea;17 Barrow St.;Greenwich Village
Ono;18 Ninth Ave.;Meatpacking District
Oriental Food Restaurant;103-105 Mott St.;Chinatown
Oriental Garden;14 Elizabeth St.;Soho
Osaka Vibe;355 Bowery;East Village
Osterial Gelsi;507 9th Ave.;West 40s
Osterial Laguna Restaurant;209 E 42nd St. | Grand Central Station;East 40s
Ostia;113 7th Avenue S #15;East 50s
Otafuku;236 E 9th St.;East Village
Otto;1 Fifth Ave.;Greenwich Village
Otto Restaurant Enoteca Pizzeria;1 5th Ave.;Greenwich Village
Ottomanelli New York Grill;1424 Lexington Ave.;East 90s
Ouest;2315 Broadway;West 80s
Our Place;1444 3rd Ave.;East 80s
Overseas Asian Restaurant;49 Canal St.;Chinatown
Oyster Bar;89 E 42nd St.;East 40s
PJ Bernstein;1215 3rd Ave.;East 70s
PJ Clarke's;44 W 63rd St. | Lincoln Square;West 60s
PJ Clarke's;915 3rd Ave.;East 50s
Pad Thai;114 8th Ave.;Chelsea
Pak Punjab Deli and Grocery;50 E. 3rd St.;East Village
Pakistan Tea House;176 Church St.;Tribeca
Pala;198 Allen St.;Lower East Side
Palacinka;28 Grand St.;Soho
Paladar;161 Ludlow St. Frnt;Lower East Side
Palm Restaurant;837 2nd Ave.;East 40s
Pam Real Thai Food;404 W 49th St.;West 40s
Pampa;768 Amsterdam Ave.;West 90s
Pampano;209 E 49th St.;East 40s
Pampano Taqueria;805 Third Ave.;East 50s
Pancho Magico;213 Pearl St.;Financial District
Panino Sportivo Roma;1231 Amsterdam Ave.;Harlem
Paola's;245 E 84th St.;East 80s
Papatzul;55 Grand St.;Chinatown
Paradou;8 Little W 12th St.;Meatpacking District
Parigot;155 Grand St.;Soho
Paris Cafe;119 South St.;Financial District
Paris Commune;99 Bank St.;West Village
Paris Sandwich;113 Mott St.;Soho
Park Avenue Winter, Spring, Summer, Autumn;100 E 63rd St.;East 60s
Park Terrace Bistro;4959 Broadway;Inwood
Pars;249 West 26th St.;Chelsea
Pars Grill House and Bar;249 W 26th St.;Garment District
Pascalou;1308 Madison Ave.;East 80s
Pasha Restaurant;70 W 71st St. | Frnt 1;West 70s
Pasita;47 8th St.;West Village
Pasta Presto 51;959 2nd Ave. Frnt;East 40s
Pasticcio Restaurant;447 3rd Ave.;Murray Hill
Pastis;9 9th Ave.;Meatpacking District
Patroon;160 E 46th St.;East 40s
Patsy's Pizzeria;2287-91 1st Ave.;East Harlem
Paul's;131 2nd Ave.;East Village
Payard Patisserie & Bistro;1032 Lexington Ave.;East 70s
Peanut Butter & Co;221 Sullivan St.;Greenwich Village
Pearl Oyster Bar;18 Cornelia St.;West Village
Peep;177 Prince St.;Soho
Pellegrino's;138 Mulberry St.;Little Italy
Penelope;159 Lexington Ave.;West 50s
Pepe Giallo;253 10th Ave. Frnt;Chelsea
Pepe Rosso;149 Sullivan St.;Soho
Pepolino;281 W Broadway;Soho
Per Lei;1347 2nd Ave.;East 70s
Perbacco;234 E 4th St.;East Village
Pergola Des Artistes;252 W 46th St.;West 40s
Peri Ela;1361 Lexington Ave.;East 90s
Perilla;9 Jones St.;West Village
Periyali;35 W 20th St.;Chelsea
Perle;62 Pearl St.;Financial District
Perry Street;176 Perry St.;West Village
Persepolis;1423 Second Ave.;East 70s
Persimmon;277 E. 10th St.;East Village
Persimmon Kimchi House;277 E. 10th St.;East Village
Persphone;115 E. 60th St.;East 50s
Pesce e Pasta;262 Bleecker St.;West Village
Pete's Tavern;129 E 18th St.;Flatiron
Petite Abeille;134 W Broadway;Soho
Philip Marie;569 Hudson St.;West Village
Philippe;33 E 60th St.;East 60s
Philly Slim's;789 9th Ave.;West 50s
Pho Grand;277C Grand St.;Chinatown
Pho Saigon;52 Bowery;Chinatown
Pho Tu Do;119 Bowery;Chinatown
Pho Viet Huong;73 Mulberry St.;Chinatown
Phobang Restaurant;157 Mott St.;Little Italy
Phoenix Garden;242 E 40th St.;Murray Hill
Piadina;57 W 10th St.;West Village
Piano Due;151 W 51st St.;West 50s
Piccolo Angolo;621 Hudson St.;West Village
Pie;124 4th Ave.;East Village
Pig Heaven;1540 Second Ave.;East 80s
Pigalle;790 8th Ave.;West 40s
Pinche Taqueria;227 Mott St.;Soho
Ping's Seafood Restaurant;22 Mott St.;Chinatown
Pintxos;510 Greenwich St.;Tribeca
Piola;48 E 12th;East Village
Pipa;38 East 19th St.;Flatiron
Pisticci;124 La Salle;Morningside Heights
Pita Joe;2 W 14th St.;Chelsea
Pita Pocket;21 E 12th St.;Greenwich Village
Pizza Bar;48-50 9th Ave.;Chelsea
Planet Thailand 212;30 W 24th St.;Chelsea
Polonia;110 1st Ave.;East Village
Pomaire;371 W 46th St.;West 40s
Pommes Frites;123 2nd Ave.;East Village
Pongal;110 Lexington Ave.;Murray Hill
Pop Burger;58-60 9th Ave.;Chelsea
Popover Cafe;551 Amsterdam Ave.;West 80s
Porchetta;110 E 7th St.;East Village
Posto;310 Second Ave.;Gramercy Park
Pranna;79 Madison Avenue;Murray Hill
Presstoast;112 MacDougal St.;Greenwich Village
Prime Burger;5 E 51st St.;East 50s
Province;305 Church St.;Tribeca
Prune;54 E 1st St.;East Village
Public;210 Elizabeth St.;Little Italy
Public House;140 E 41st St.;West 40s
Puebla Mexican Food;47 1st Ave.;East Village
Puglia Ristorante;189 Hester St.;Little Italy
Pukk;71 1st Ave.;East Village
Punjabi Food Junction;301 Tenth Ave.;Chelsea
Pure Food and Wine;54 Irving Pl.;Gramercy Park
Puttanesca Italian Restaurant;859 9th Ave.;West 50s
Pylos;128 E 7th St.;East Village
Pão!;322 Spring St.;Soho
Qasim;338 Ninth Ave.;Chelsea
Quartino;11 Bleecker St.;Noho
Quatorze Bis;323 E 79th St.;East 70s
Queen Sheba;317 W 141st St.;Harlem
Quintessence;263 E 10th St.;East Village
R.U.B.;208 W 23rd St.;Chelsea
Rack & Soul;2818 Broadway;West 100s
Rai Rai Ken;214 E 10th St.;East Village
Rain;100 W 82nd St.;West 80s
Ramen Setagaya;141 First Ave.;East Village
Rare;303 Lexington Ave.;Murray Hill
Rare Bar & Grill;228 Bleecker St.;West Village
Red Bamboo;140 W 4th St.;Greenwich Village
Red Egg;202 Centre St.;Chinatown
Regate;198 Orchard St.;Lower East Side
Republic;37 Union Square West;Union Square
Restaurant Nippon;155 E 52nd St.;East 50s
Resto;111 E 29th St.;Murray Hill
Ricardo Steak House;2145 Second Ave.;East Harlem
Rice;227 Elizabeth St.;Nolita
Rice 'N Beans;744 9th Ave.;West 50s
Rice to Riches;37 Spring St.;Soho
Rickshaw Dumpling Bar;61 W 23rd St.;Flatiron
Riingo;205 E 45th St.;East 40s
Rinconcito;307 W 39th St.;West 40s
Roberto;741 Ninth Ave.;West 50s
Ronnybrook Milk Bar;75 9th Ave.;Chelsea
Room Service;166 8th Ave.;Chelsea
Roomali;97 Lexington Ave.;Murray Hill
Rosa Mexicano;61 Columbus Ave.;West 60s
Roti Plus;2345 Eighth Ave.;Harlem
Rouge Tomate;14 East 60th Street;East 60s
Royal Siam;240 8th Ave.;Chelsea
Rudy's Bar & Grill;627 9th Ave.;West 40s
S'mac;345 E 12th St.;East Village
Sahara East;184 1st Ave.;East Village
Sahara's Turkish Cuisine;513 Second Ave.;Murray Hill
Saigon Banh Mi Bakery;138 Mott St.;Chinatown
Saigon Grill;2381 Broadway;West 80s
Sakae Sushi;135 W. 3rd St.;Greenwich Village
Sakagura;211 E 43rd St.;East 40s
Sal's and Carmine's;2671 Broadway;West 100s
Salumeria Biellese;378 Eighth Ave.;Chelsea
Salumeria Rosi Parmacotto;283 Amsterdam Ave.;West 70s
Sammy's;453 6th Ave.;West Village
San Francisco de Asis;1779 Lexington Ave.;East Harlem
San Loco;124 2nd Ave.;East Village
San Loco;111 Stanton St.;Lower East Side
San Loco;151 Ave. A;East Village
Sangam;190 Bleecker St.;Greenwich Village
Sanmaroo;22 W 8 St.;West Village
Sapporo;152 W 49th St.;West 40s
Sapporo East;245 E 10th St.;East Village
Sarabeth's;423 Amsterdam Ave.;West 80s
Sarabeth's;75 Ninth Ave.;Flatiron
Sarabeth's;1295 Madison Ave.;East 90s
Sarge's;548 3rd Ave.;Murray Hill
Sassy's Sliders;1530 Third Ave.;East 80s
Savann;414 Amsterdam Ave.;West 80s
Savarona;420 E 59th St.;East 50s
Scarpetta;355 W. 14th St.;Meatpacking District
Schiller's Liquor Bar;131 Rivington St.;Lower East Side
Seasonal;132 W 58th St.;West 50s
Second Avenue Deli;162 E 33rd St.;Murray Hill
Seoul Station;81 St. Marks Place;East Village
Serafina;1022 Madison Ave.;East 70s
Serendipity 3;225 E 60th St.;East 60s
Servants of God/A Taste of Seafood;50 E 125th St.;East Harlem
Shabu-Tatsu Downtown;216 E 10th St.;East Village
