restaurant;address1;address2
Caffe Pepe Rosso;61 0Grand Central Terminal;
Caffe Pepe Rosso;127 Avenue C;At 8th St
Caffe Pepe Rosso;61 0grand central terminal;
Caffe Pepe Rosso;61 Grand Central Terminal;At 42nd St
Caffe Reggio;119 MacDougal St;Btwn Minetta Ln & W 3rd St
Caffe Sorrento;132 Mulberry St;Btwn Grand & Hester St
Caffe Swish;2953 Broadway;Btwn 115th & 116th St
Caffe Swish (CLOSED);2953 Broadway;
Caffe Vivaldi;32 Jones St;Btwn Bleecker & W 4th St
Caffe del Mare;89 MacDougal St;At Bleecker St
Calcutta;324 E 6th St;Btwn 1st & 2nd Ave
Calcutta Cafe;2735 Broadway;At 105th St
Calexico;0Wooster & Prince St;
CalexicoWooster & Prince St;0 Btwn W Broadway & W Houston St;
CalexicoWooster & Prince St;;Btwn W Broadway & W Houston St
CalexicoWooster & Prince St;1 Btwn W Broadway & W Houston St;
CalexicoWooster & Prince St;0;Btwn W Broadway & W Houston St
Calico Jack's Cantina;800 2nd Ave;At 42nd St
Calidad Latina;132 9th Ave;Btwn 18th & 19th St
Caliente Cab Co;488 3rd Ave;At 33rd St
Caliente Cab Co;61 7th Ave S;Btwn Morton & Bleecker St
California Pizza;122 University Pl;Btwn 13th & 14th St
California Pizza Kitchen;201 E 60th St;At 3rd Ave
California Pizza Kitchen;40 E 30th St;Btwn Madison & Park Ave
Call Cuisine Caterers;1032 1st Ave;Btwn 56th & 57th St
Calle Ocho;446 Columbus Ave;Btwn 81st & 82nd St
Camaradas el Barrio;2241 1st Ave;At 115th St
Cambodian Cuisine;1664 3rd Ave;At 93rd St
Camille's;1135 Amsterdam Ave;At 116th St
Campagnola;1382 1st Ave;At 74th St
Campanile;30 E 29th St;Btwn Park Ave & Madison Ave
Campo;2888 Broadway;Btwn 112th & 113th St
Campus Eatery;31 W 4th St;At Greene St
Canaan;154 W 29th St;Btwn 6th & 7th Ave
Canaan154 W;29th St;
Canaletto;208 E 60th St;Btwn 2nd & 3rd Ave
Cancun Restaurant;937 8th Ave;Btwn 55th & 56th St
Candela Candela;92 2nd Ave;Btwn 5th & 6th Sts
Candle;79154 E 79th St;Btwn Lexington & 3rd Ave
Candle 79;154 E 79th St;
Candle Cafe;1307 3rd Ave;At 75th St
Cannonau;0(fka Assenzio)205 E 4th St;
Cannonau (fka Assenzio);205 E 4th St;Btwn Ave A & Ave B
Canyon Road;1470 1st Ave;Btwn 76th & 77th St
Caprese Cafe;325 5th Ave;Btwn 32nd & 33rd St
Capri Cafe;165 Church St;Btwn Chambers & Reade St
Capri Ristorante Italiano;358 W 46th St;Btwn 8th & 9th Ave
Capsouto Freres;451 Washington St;At Watts St
Captain's Cafe;34 E 32nd St;Btwn Madison & Park Ave S
Capucine's Restaurant;327 2nd Ave;At 19th St
Cara Mia;654 9th Ave;Btwn 45th & 46th St
Caracas Arepa Bar;93 1/2 E 7th St;Btwn 1st Ave & Ave A
Caracas Arepa Bar To Go;91 E 7th St;Btwn 1st Ave & Ave A
Caracello Ristorante;108 Greenwich St;Btwn Rector & Carlisle St
Caravan of Dreams;405 E 6th St;Btwn Ave A & 1st Ave
Carbone Ristorante Italiano;331 W 38th St;Btwn 8th & 9th Ave
Caridad;3533 Broadway;
Caridad;4799 Broadway;Btwn Academy & Cumming St
Caridad;588 Amsterdam Ave;Btwn 88th & 89th St
Caridad Express;554 W 181st St;Btwn Audobon & St. Nicholas Ave
Caridad Restaurant;18 E 33rd St;Btwn 5th & Madison Ave
Caridad Restaurant;3533 Broadway;At 145th St
Caridad35;33 Broadway;
Caridad47;99 Broadway;
Caridad58;8 Amsterdam Ave;
Carino;1710 2nd Ave;Btwn 88th & 89th St
Carino171;0 2nd Ave;
Carl's Steaks;507 3rd Ave;Btwn 34th & 35th St
Carl's Steaks;79 Chambers St;Btwn Bway & Church St
Carmine's;2450 Broadway;Btwn 90th & 91st St
Carmine's;200 W 44th St;Btwn 7th & 8th Ave
Carmine's Italian Seafood;140 Beekman St;At Front St
Carnegie Deli;854 7th Ave;At 55th St
Carrot Top;3931 Broadway;Btwn 164th & 165th St
Carrot Top;5025 Broadway;At 214th St
Carrots;1000 3rd Ave;At 59th St
Carrots10;00 3rd Ave;
Caruso's;140 Fulton Street;Btwn Broadway & Nassau
Carve;760 8th Ave;At 47th St
Carve760;8th Ave;
Casa;72 Bedford St;At Commerce St
Casa Adela;66 Avenue C;Btwn 4th & 5th St
Casa Bella Restaurant;127 Mulberry St;At Hester St
Casa Fox;173 Orchard St;
Casa Havana;190 8th Ave;Btwn 19th & 20th St
Casa La Femme;140 Charles St;Btwn Washington & Greenwich St
Casa Mono;52 Irving Pl;Btwn 17th & 18th St
Casabianca;503 W 57th St;At 10th Ave
Casanis;81 Ludlow St;At Broome St
Casaville;633 2nd Ave;Btwn 34th & 35th St
Cascata Cafe Italiano;174 Bleecker St;Btwn MacDougal & Sullivan St
Cascina Ristorante;647 9th Ave;Btwn 45th & 46th St
Casellula;401 W 52nd St;At 9th Ave
Casimir;103 Avenue B;Btwn 6th & 7th St
Casimir10;3 Avenue B;
Cassidy's;65 W 55th St;Btwn 5th & 6th Ave
Catch de Fish;147 3rd Ave;At 15th St
Catch-;224 W 22nd St;Btwn 5th & 6th Ave
Catch-224 W;22nd St;
Caterina's;316 E 53rd St;Btwn 1st & 2nd Ave
Cavatappo Grill;1712 1st Ave;At 89th St
Cavatappo Wine Bar;1728 2nd Ave;At 90th St
Caviar Russe;538 Madison Ave;Btwn 54th & 55th St
Cavonberry's;12 E 46th St;Btwn Madison & 5th Ave
Cecel Crepe Cafe;135 1st Ave;Btwn St Marks Pl & 9th St
Cecel Crepe Cafe (CLOSED);135 1st Ave;Btwn St Marks Pl & 9th St
Ceci-Cela;55 Spring St;Btwn Mulberry & Lafayette St
Celeste;502 Amsterdam Ave;Btwn 84th & 85th St
Celeste50;2 Amsterdam Ave;
Cellini;65 E 54th St;Btwn Park & Madison Ave
Cellini65 E;54th St;
Cendrillon;45 Mercer St;Btwn Broome & Grand St
Cendrillon (CLOSED);45 Mercer St;
Cent Fresh Pizza;569 9th Ave;At 41st St
Cent Fresh Pizza;151 E 43rd St;Btwn 3rd & Lexington Ave
Center Cut;44 W 63rd St;Btwn Columbus Ave & Central Park W
CentoPizze;201 E 10th St;At 2nd Ave
Centolire;1167 Madison Ave;Btwn 85th & 86th St
Centolire Cafe & Panini;1167 Madison Ave;
Centovini;25 W Houston St;Btwn Mercer & Greene St
Central Bar;109 E 9th St;Btwn 3rd & 4th Ave
Central Cafe & Deli;16 Vanderbilt Ave;Corner of 43rd St
Central Park BoathouseE;72nd St & Park Dr N;Btwn Park & Lexington Ave
Centrico;211 W Broadway;At Franklin St
Centro Vinoteca;74 7th Ave S;Btwn Barrow & Bleeker St
Cercle Rouge;241 W Broadway;Btwn Beach & White St
Certe;20 W 55th St;Btwn 5th & 6th Ave
Certe20 W;55th St;
Cesca;164 W 75th St;At Amsterdam Ave
Cesca164 W;75th St;
Cha An Japanese Tea House;230 E 9th St;Btwn 2nd & 3rd Ave
Cha Cha's in Bocca al Lupo;113 Mulberry St;Btwn Canal & Hester St
Chada;637 2nd Ave;At 35th St
Chada637;2nd Ave;
Chai;930 8th Ave;At 55th St
Chairs Cafe;56 MacDougal St;Btwn Houston & Prince St
Champignon;200 7th Ave;Btwn 21st & 22nd St
Champignon Cafe;1389 Madison Ave;
Champignon On Madison;1389 Madison Ave;Btwn 96th & 97th St
Champs Gourmet Deli;71 Broadway;At Trinity & Rector St
Champs Gourmet Deli;70 Exchange Pl;At 30 Broad St
Channel;4 Bar58 W 48th St;Btwn 5th Ave & Rockefeller Plz
Channel;4 Irish Pub & Restaurant58 W 48th St;Btwn 5th & 6th Ave
Chanoodle;79 Mulberry St;Btwn Bayard & Canal St
Chanpen;761 9th Ave;Corner of 51st St
Chanpen76;1 9th Ave;
Chanterelle;2 Harrison St;At Hudson St
Charbonnel et Walker;611 5th Ave;Btwn 49th & 50th St
Charles;234 W 4th St;At 10th St
Charles23;4 W 4th St;
Charleston's Bistro;345 7th Ave;Btwn 29th & 30th St
Charlie Mom;464 6th Ave;Btwn 11th & 12th St
Charlie Mom;1580 York Ave;Btwn 83rd & 84th St
Charlie's Pizza;1501 St. Nicholas Ave;At 185th St
Charlie's Place;1960 Madison Ave;Btwn 125th & 126th St
Charlys;110 Trinity Pl;At Cedar St
Charlys11;0 Trinity Pl;
Charm Thai;722 Amsterdam Ave;Btwn 95th & 96th St
Chat 'n' Chew;10 E 16th St;Btwn Union Sq W & 5th Ave
Chatham Square Restaurant;6 Chatham Sq;Btwn Mott St & E Bdwy
Chatham Square Restaurant (CLOSED);6 Chatham Sq;
Che' Bella Pizza;1215 Amsterdam Ave;Btwn 119th & 120th St
Cheesy Pizza;2640 Broadway;At W 100th St
Chef;2829 E 28th St;Btwn Park & Madison Ave
Chef 2829 E;28th St;
Chef Ho's;1720 2nd Ave;Btwn 89th & 90th St
Chef Yu;520 8th Ave;At 36th St
Chef Yu52;0 8th Ave;
Chef's Kitchen;58 E 56th St;Btwn Madison & Park Ave
Chelsea Brewing CompanyPier;59, Chelsea Piers;At 18th St & Westside HW
Chelsea Cottage;206 9th Ave;Btwn 22nd & 23rd St
Chelsea Cottage's Viet Grill;206 9th Ave;Btwn 22nd & 23rd St
Chelsea Gallery;72 7th Ave;Btwn 14th & 15th St
Chelsea Golden Wok;209 8th Ave;Btwn 20th & 21st St
Chelsea Gourmet Deli;259 7th Ave;Btwn 24th & 25th St
Chelsea Grill of Hell's Kitchen;675 9th Ave;Btwn 46th & 47th St
Chelsea Ristorante;108 8th Ave;Btwn 15th & 16th St
Chelsea Square Restaurant;368 W 23rd St;Btwn 8th & 9th Ave
Chen's;4 E 28th St;Btwn 5th & Madison Ave
Chen's Express Kitchen;199 7th Ave;Btwn 21st & 22nd St
Chen's Garden;1902 7th Ave;Btwn 115th &116th St
Chen's Garden (CLOSED);1902 7th Ave;
Chen's Gourmet;1097 2nd Ave;Btwn 57th & 58th St
Chen's4 E;28th St;
Chennai;1663 1st Ave;Btwn 86th & 87th St
Chennai Garden;129 E 27th St;Btwn Park & Lexington Ave
Chennai16;63 1st Ave;
Cherin Sushi;306 E 6th St;Btwn 1st & 2nd Ave
Cheung Shing;452 Amsterdam Ave;Btwn 81st & 82nd St
Cheung Shing (CLOSED);452 Amsterdam Ave;Btwn 81st & 82nd St
Chevys;102 N End Ave;At Vesey St
Chez Betty Cafe;256 E 3rd St;Btwn Ave B & Ave C
Chez Gourmet;281 5th Ave;At 30th St
Chez Jacqueline;72 Macdougal St;Btwn Houston & Bleecker St
Chez Josephine;414 W 42nd St;Btwn 9th & 10th Ave
Chez Le Chef;127 Lexington Ave;Btwn 28th & 29th St
Chez Napoleon;365 W 50th St;Btwn 8th & 9th Ave
Chiam;160 E 48th St;Btwn Lexington & 3rd Ave
Chiam160 E;48th St;
Chibi's Bar;238 Mott St;Btwn Prince & Spring St
Chicken Deli;43 East 28th St;Btwn Madison & Park Aves
Chicken Festival Rotisserie;1584 1st Ave;
Chicken Gourmet;1217 2nd Ave;Btwn 63rd & 64th St
Chicken Kitchen;1177 2nd Ave;At 62nd St
Chicken Stop;1764 1st Ave;At 92nd St
ChickenBar Pizza;40-42 W. 8th St;Btwn MacDougal & 6th Ave
Chicky's on;86355 E 86th St;Btwn 1st & 2nd Ave
ChikaLicious;203 E 10th St;Btwn 1st & 2nd Ave
ChikaLicious Puddin';204 E 10th St;At 2nd Ave
Chili Thai;712 9th Ave;Btwn 49th & 48th St
Chill Lounge;329 Lexington Ave;Btwn 38th & 39th St
Chimichurri Grill;609 9th Ave;Btwn 43rd & 44th St
Chin Chin;216 E 49th St;Btwn 2nd & 3rd Ave
China;150 Avenue B;At 4th St
China Chalet;47 Broadway;At Exchange Pl
China Chalet;90 Broad St;At Stone St
China Chalet;47 Broadway;Btwn Morris St & Exchange Pl
China Fun;246 Columbus Ave;Btwn 71st & 72nd St
China Fun;1221 2nd Ave;At 64th St
China Gourmet;877 8th Ave;Btwn 52nd & 53rd St
China Gourmet;2014 2nd Ave;Btwn 103rd & 104th St
China Grill;60 W 53rd St;Btwn 5th & 6th Ave
China King;2026 Lexington Ave;Btwn 123rd & 124th St
China King;1759 Lexington Ave;Btwn 109th & 110th St
China Kitchen;1 W 125th St;At 5th Ave
China Moon;1946 1st Ave;At 100th St
China Moon;7 E 47th St;Btwn Madison & 5th Ave
China Place;3141 Broadway;At La Salle St
China Red;118 Chambers St;Btwn Church St & W Bway
China Regency;850 7th Ave;Btwn 54th & 55th St
China Sea;200 Dyckman St;Btwn Vermilyea & Broadway
China Sun;170A St. Nicholas Ave;Btwn 173rd & 174th St
China Town;250 E Houston St;Btwn Ave A & Ave B
China Wok;199 E 3rd St;At Ave B
China Wok;816 W 187th St;At Pinehurst Ave
Chinatown;2133 3rd Ave;Btwn 116th & 117th St
Chinatown;493 2nd Ave;Btwn 27th & 28th St
Chinatown Brasserie;380 Lafayette St;At Great Jones St
Chinatown East;1650 3rd Ave;Btwn 92nd & 93rd St
Chinatown Ice Cream Factory;65 Bayard St;Btwn Elizabeth & Mott St
Chinatown Restaurant;259 E Broadway;At Montgomery St
Chinese Banyan;435 Park Ave S;At E 30th St
Chinese Banyan (CLOSED);435 Park Ave S;
Chinese Fast Wok;230 7th Ave;Btwn 23rd & 24th St
Chinese Food;25B Henry St;Btwn Catherine & Market St
Chinese Mirch;120 Lexington Ave;At 28th St
Chinese New Hong Kong;527-09 Lenox Ave;Btwn 136th & 137th St
Chinese Restaurant;473 Malcolm X Blvd;At 134th St
Chino's;173 3rd Ave;Btwn 16th & 17th St
Chino's17;3 3rd Ave;
Chipotle;2 Broadway;Btwn Stone & Beaver St
Chipotle;304 W 34th St;At 8th Ave
Chipotle;350 5th Ave Ste 4-5;At 34th St
Chipotle;283 7th Ave;At 26th St
Chipotle;55 E 8th St;Btwn Bway & University Pl
Chipotle;510 6th Ave;At 13th St
Chipotle;864 Broadway;At 17th St
Chipotle;680 6th Ave;Btwn 21st & 22nd St
Chipotle;150 E 44th St;Btwn Lexington & 3rd Ave
Chipotle;100 Maiden Ln;Btwn Pearl & Gold St
Chipotle;200 Varick St;Btwn Houston & King St
Chipotle;620 9th Ave;At 44th St
Chipotle;129 W 48th St;At 6th Ave
Chipotle;9 W 42nd St;Btwn 5th & 6th Ave
Chipotle;150 E 52nd St;Btwn Lexington & 3rd Ave
Chipotle;19 Saint Marks Pl;Btwn 2nd & 3rd Ave
Chipotle;320 Park Ave;At 50th St
Chirping Chicken;1260 Lexington Ave;At 85th St
Chirping Chicken;1219 1st Ave;At 66th St
Chirping Chicken;355 Amsterdam Ave;Btwn 76th & 77th St
Chiyoda Sushi N.Y.;16 E 41st St;Btwn Madison Ave & 5th Ave
Chiyono;328 E 6th St;Btwn 1st & 2nd Ave
Chiyono32;8 E 6th St;
Chloe;8181 Ludlow St;Btwn Delancey & Broome St
Chloe 818;1 Ludlow St;
Cho Cho San;15 W 8th St;Btwn 5th & 6th Ave
Cho Dang Gol;55 W 35th St;Btwn 5th & 6th Ave
Chocolate Bar;127 E 7th St;Btwn 1st Ave & Ave A
Chocolate Bar (CLOSED);127 E 7th St;Btwn 1st Ave & Ave A
Chocolate Bar at Henri Bendel;712 5th Ave;Btwn 55th & 56th St
Choga;145 Bleecker St;Btwn Laguardia Pl & Thompson St
Choice;380 3rd Ave;Btwn 27th & 28th St
Choice380;3rd Ave;
Chola;232 E 58th St;Btwn 2nd & 3rd Ave
Chola232 E;58th St;
Chomp;250 E 14th St;Btwn 2nd & 3rd Ave
Chomp250 E;14th St;
Chop't;60 E 56th St;Btwn Park & Madison Ave
Chop't;24 E 17th St;Btwn 5th Ave & Bway
Chop't;165 E 52nd St;Btwn Lexington & 3rd Ave
Chop't165 E;52nd St;
Chop't24 E;17th St;
Chop't60 E;56th St;
Chopstick House;130 W 36th St;Btwn Bway & 7th Ave
Choshi;77 Irving Pl;At 19th St
Choux Factory;865 1st Ave;At 48th St
Choux Factory;1685 1st Ave;Btwn 87th & 88th St
Chow Bar;230 W 4th St;At 10th St
Christina's;606 2nd Ave;Btwn 33rd & 34th St
Christopher Golden Woks;159 Christopher St;At Washington St
Chul's Gourmet;117 W 58th St;Btwn 6th & 7th Ave
Chung Lan Garden;454A Lenox Ave;Btwn 132nd and 133rd St
Chung Moo;10 W 32nd St;Btwn Broadway & 5th Ave
Church Lounge;2 6th Ave;At 6th Ave
Churrascaria Plataforma;316 W 49th St;Btwn 8th & 9th Ave
Churrascaria Riodizio Tribeca;221 W Broadway;Btwn Franklin & White St
Ciao Bella Cafe;2 World Financial Center;Btwn West & Liberty St
Ciao Bella Gelateria;0Grand Central Terminal;At 42nd St
Ciao Bella Gelateria;Grand Central Terminal;At 42nd St
Ciao Bella Gelateria;1Grand Central Terminal 1 At 42nd St;
Ciao Bella Gelateria;0grand central terminal;
Ciao Bella Pizzeria;125 Allen St;Btwn Rivington & Delancey St
Ciao For Now;107 W 10th St;Btwn A & B Ave
Ciao For Now;504 E 12th St;Btwn Ave A & B
CiaoBella;1640 2nd Ave;At 85th St
Cibao Restaurant;72 Clinton St;At Rivington St
Cibo;767 2nd Ave;Btwn 41st & 42nd St
Cilantro;1712 2nd Ave;Btwn 88th & 89th St
Cilantro;1321 1st Ave;At 71st St
Cilantro;485 Columbus Ave;Btwn 83rd & 84th St
Cinco de Mayo;1711 2nd Ave;Btwn 88th & 89th St
Cinderella Falafel;129 2nd Ave;Btwn E 7th St & St Marks Pl
Cinema;2 E 45th St;At 5th Ave
Cinema at;60th St43 E 60th St;Btwn Madison & Park Ave
Cinema at;70th St1325 2nd Ave;At 70th St
Cinema at;34th St505 3rd Ave;At 34th St
Cinema2 E;45th St;
Cipolla Rossa;1762 1st Ave;Btwn 91st & 92nd St
Cipolla Rossa;1109 1st Ave;
Cipriani;110 E 42nd St;At Grand Central Terminal
Cipriani Dolci;89 E 42nd St;Btwn Park & Vanderbilt Ave
Cipriani Downtown;376 W Broadway;Btwn Spring & Broome St
Cipriani Le Specialita;110 E 42nd St;Btwn Lexington & Park Ave
Cipriani Wall Street;55 Wall St;Btwn William & Hanover St
Circa-NY;22 W 33rd St;Btwn Bway & 5th Ave
Circus;132 E 61st St;Btwn Lexington & Park Ave
Circus132 E;61st St;
Ciro;813 8th Ave;At 49th St
Citrus Bar & Grill;320 Amsterdam Ave;At 75th St
City;7575 Rockefeller Plaza;51st St Btwn 5th & 6th Ave
City Burger;1410 Broadway;At 39th St
City Cafe;35 W 43rd St;Btwn 5th & 6th Ave
City Crab & Seafood Co.;235 Park Ave S;At 19th St
City Diner;2441 Broadway;At 90th St
City Food Bar;11 Penn Plz;Btwn 6th & 7th Ave
City Food Bar;275 7th Ave;Btwn 25th & 26th St
City Girl Cafe;63 Thompson St;Btwn Spring & Broome St
City Gourmet;238 E 14th St;Btwn 2nd & 3rd Ave
City Hall;131 Duane St;Btwn W Bway & Church St
City Light Diner;764 10th Ave;At 52nd St
City Lobster & Crab Co.;121 W 49th St;Btwn 6th & 7th Ave
City Lobster & Steakhouse;121 W 49th St;Btwn 6th & 7th Ave
City Market Cafe;48 W 48th St;Btwn 5th & 6th Ave
City Market Cafe;178 5th Ave;Btwn W 22nd & W 23rd St
City Market Cafe;1100 Madison Ave;Btwn 82nd & 83rd Ave
City Pie;166 W 72nd St;Btwn Columbus & Amsterdam Ave
City Slickers;322 E 14th St;At 2nd Ave
City Winery;155 Varick St;
City Winery;55 Varick St;At Spring St
Clancy's;978 2nd Ave;At 52nd St
Classic Pizzeria;715 2nd Ave;Btwn 38th & 39th St
Claudio Pizzeria;598 10th Ave;Btwn 43rd & 44th St
Cleopatra Cafe;171 Avenue A;Btwn 10th & 11th St
Cleopatra Cafe (CLOSED);171 Avenue A;
Cleopatra's Needle;2485 Broadway;Btwn 92nd & 93rd St
Clinton Restaurant;293 E Houston St;At Clinton St
Clinton St;0 At Rivington St;
Clinton St;0;At Rivington St
Clinton St. Pizza;170 Rivington St;Btwn Clinton & Ridge St
Clinton Street Baking Company;4 Clinton St;Btwn Stanton & Houston St
Clo Wine Bar;10 Columbus Circle;
Cloister Cafe;238 E 9th St;Btwn 2nd & 3rd Ave
Clover Deli;621 2nd Ave;At 34th St
Club;21 W 52nd St;Btwn 5th & 6th Ave
Club A Steak House;240 E 58th St;Btwn 2nd & 3rd Ave
Club Bar & Grill;4 Penn Plaza;W 31st St btwn 7th & 8th Ave
Club Cafe;11 W 47th st;Btwn 5th & 6th Ave
Club Macanudo;26 E 63rd St;Btwn Madison & Park Ave
Club21 W;52nd St;
Clubhouse Cafe;155 W 46th St;Btwn 6th & 7th Ave
Co. (Company);230 9th Ave;
Cocoa Bar;21 Clinton St;Btwn Houston & Stanton St
Cody's Bar & Grill;282 Hudson St;At Dominick St
Coffee Shop;66 Madison Ave;Btwn 27th & 28th St
Coffee Shop;29 Union Sq W;At 16th St
Cola's;148 8th Ave;Btwn 17th & 18th St
Cola's148;8th Ave;
Colbeh;43 W 39th St;Btwn 5th & 6th Ave
Colbeh43 W;39th St;
Cold Stone Creamery;162 W 72nd St;At Bway
Cold Stone Creamery;750 9th Ave;Btwn 50th & 51st St
Cold Stone Creamery;253 W 42nd St;Btwn 7th & 8th Ave
Cold Stone Creamery;349 6th Ave;Btwn W 4th St & Washington Pl
Cold Stone Creamery;1651 2nd Ave;Btwn 85th & 86th St
Cold Stone Creamery;2 Astor Pl;Btwn Broadway & Lafayette St
Cold Stone Creamery (CLOSED);1651 2nd Ave;
Coleman's Deli;50 East End Ave;Btwn 81st & 82nd St
Colleen's Deli;152 W 31st St;Btwn 6th & 7th Ave
Colleen's Deli (CLOSED);152 W 31st St;Btwn 6th & 7th Ave
Colors;417 Lafayette St;Btwn Astor Pl & 4th St
Coluck;16 Elizabeth St;Btwn Canal & Bayard St
Columbia Cottage;1034 Amsterdam Ave;At 111th St
Columbus Bakery;2 World Financial Center;At Liberty & West St
Columbus Gourmet Food;261 Columbus Ave;Btwn 72nd & 73rd St
Comfort Diner;25 W 23rd St;Btwn 5th & 6th Ave
Comfort Diner;214 E 45th St;Btwn 2nd & 3rd Ave
Comix;353 W 14th St;Btwn 8th & 9th Ave
Comix353 W;14th St;
Commerce;50 Commerce St;Btwn Bedford & Barrow St
Commodore Grill;109 E 42nd St;Btwn Park & Lexington Ave
Common Ground;206 Avenue A;Btwn 12th & 13th St
Community Food & Juice;2893 Broadway;Btwn 112th & 113th St
Como Pizza;4035 Broadway;At 170th St
Compass;208 W 70th St;Btwn West End & Amsterdam Ave
Compass20;8 W 70th St;
Concord Garden;990 Amsterdam Ave;Btwn 108th & 109th St
Concrete Tapas Lounge;320 W 37th St;Btwn 8th & 9th Ave
Cones;272 Bleecker St;Btwn Morton & Jones St
Congee;98 Bowery;Btwn Grand & Hester St
Congee Bowery;207 Bowery;At Rivington St
Congee Village;100 Allen St;At Delancey St
Connolly's;43 W 54th St;Btwn 5th & 6th Ave
Connolly's;150 E 47th St;At 3rd Ave
Connolly's;14 E 47th St;Btwn 5th & Madison Ave
Connolly's;121 W 45th St;Btwn Bway & 6th Ave
Convivio;45 Tudor City Pl;Btwn 1st & 2nd Ave
Coogan's;4015 Broadway;Btwn 168th & 169th St
Cookshop;156 10th Ave;At 20th St
Cooper's Tavern;481 8th Ave;At 35th St
Coopertown Diner;339 1st Ave;Btwn 19th & 20th St
Copper Chimney;126 E 28th St;Btwn Park & Lexington Ave
Copper Door Tavern;272 3rd Ave;Btwn 21st & 22nd St
Coppersmith's;793 9th Ave;Btwn 52nd & 53rd St
Coppi432 E;9th St;
Coppola's;206 W 79th St;Btwn Bway & Amsterdam Ave
Coppola's;378 3rd Ave;Btwn 27th & 28th St
Coral;3801 Broadway;At 158th St
Corbet & Conley;132 Greenwich St;At Thames St
Corbet & Conley;333 E 23rd St;Btwn 1st & 2nd Ave
Corbet & Conley;145 E 17th St;Btwn Irving Pl & 3rd Ave
Cordato's New York;94 Greenwich St;Btwn Rector & Carlisle St
Corio;337 W Broadway;At Grand St
Cornelia Street Cafe;29 Cornelia St;Btwn Bleecker & W 4th St
Corner Bistro;331 W 4th St;At Jane St & 8th Ave
Corner Cafe & Bakery;1645 3rd Ave;At 92nd St
Corner Gourmet II;66 W Broadway;Corner Murray St
Corner Shop Cafe;643 Broadway;At Bleecker St
Cornerstone Grill;327 Greenwich St;Btwn Duane & Jay St
Cornerstone Tavern;961 2nd Ave;Btwn 51st & 52nd St
Corrado;960 Lexington Ave;At 70th St
Corrado;35 Christopher St;
Corrado96;0 Lexington Ave;
Cortina;1448 2nd Ave;Btwn 75th & 76th St
Cortina14;48 2nd Ave;
Corton;239 W Broadway;Btwn Walker & White St
Cosette;163 E 33rd St;Btwn Lexington & 3rd Ave
Cosette16;3 E 33rd St;
Cosi;11 W 42nd St;Btwn 5th & 6th Ave
Cosi;685 3rd Ave;Btwn 43rd & 44th
Cosi;841 Broadway;At 13th St
Cosi;700 6th Ave;At 23rd St
Cosi;257 Park Ave S;At 21st St
Cosi;461 Park Ave S;At 31st St
Cosi;55 Broad St;Btwn Beaver St & Exchange Pl
Cosi;200 Vesey St;At W Side Hway
Cosi;38 E 45th St;Btwn Madison & Vanderbilt Ave
Cosi;61 W 48th St;Btwn 5th & 6th Ave
Cosi;60 E 56th St;Btwn Madison & Park Ave
Cosi;1633 Broadway;At 51st St
Cosi;2160 Broadway;At 76th St
Cosi11 W;42nd St;
Cosi38 E;45th St;
Cosi60 E;56th St;
Cosi61 W;48th St;
Cosmic Cantina;105 3rd Ave;At 13th St
Cosmic Diner @;52888 8th Ave;At 52nd St
Cosmo Creperie;875 3rd Ave;At 53rd St
Cosmo Daily News;95 W Broadway;Btwn Chambers & Reade St
Cosmos Diner;395 2nd Ave;Btwn 22nd & 23rd St
Counter;105 1st Ave;At 6th St
Counter10;5 1st Ave;
Country;90 Madison Ave;At 29th St
Country Cafe;69 Thompson St;Btwn Spring & Broome St
Country Club;248 W 14th St;Btwn 7th & 8th Ave
Covo;701 W 135th St;At 12th Ave
Covo701 W;135th St;
Cowgirl;519 Hudson St;At W 10th St
Cowgirl51;9 Hudson St;
Coyi Cafe;42 Avenue B;
Cozy Corner Deli;1161 2nd Ave;
Cozy Soup 'n' Burger;739 Broadway;Btwn Astor Pl & Waverly Pl
Craft;43 E 19th St;Btwn Bway & Park Ave S
Craft43 E;19th St;
Craftbar;900 Broadway;At 20th St
Craftsteak;85 10th Ave;At 15th St
Cranberry Deli;115 W 45th St;Btwn 6th Ave & Bway
Crave on;42nd (CLOSED)650 W 42nd St;
Crave on;42nd650 W 42nd St;Btwn 11th & 12th Ave
Crazy Bananas;315 5th Ave;At 32nd St
Creator U.S.A.;666 6th Ave;Btwn 20th & 21st St
Crema;111 W 17th St;At 6th Ave
Crema111 W;17th St;
Creole;2167 3rd Ave;At 118th St
Creole216;7 3rd Ave;
Crepe Creations;31 Waverly Pl;At University Pl
Crepe Mania;533 3rd Ave;Btwn 35th & 36th St
Creperie;135 Ludlow St;Btwn Rivington & Stanton St
Creperie Cafe;112 MacDougal St;
Crepes on Columbus;990 Columbus Ave;Btwn 108th & 109th St
Crif Dogs;113 Saint Marks Pl;Btwn Ave A & 1st Ave
Crisp;684 3rd Ave;Btwn 43rd & 44th St
Crisp684;3rd Ave;
Crispo;240 W 14th St;Btwn 7th & 8th Ave
Crispo240 W;14th St;
Crispy Bamboo Village;2526 Frederick Douglass Blvd;Btwn 134th & 135th St
Crispy Pizza Cafe;114 7th Ave;Btwn 16th & 17th St
Crocodile Lounge;325 E 14th St;Btwn 1st & 2nd Ave
Crooked Tree Creperie;110 Saint Marks Pl;Btwn 1st Ave & Ave A
