restaurant;in;address1;address2;address3;neighborhood;phone;type
Cornelia Street Café;;29 Cornelia St;between Bleecker and W 4th Sts;;Greenwich Village;(212-989-9319);American
Corner Bistro;;331 W 4th St;at Jane St;;West Village;(212-242-9502);American
Cornershop;;643 Broadway;at Bleecker St;;Greenwich Village;(212-253-7467);American
Corrado Bread & Pastry;;1361 Lexington Ave;at 90th St;;Upper East Side;(212-348-8943);Food or Beverage Shop
Corton;;239 West Broadway;between Walker and White Sts;;Tribeca;(212-219-2777);French
Cosette;;163 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-889-5489);French
Counter;;105 First Ave;between 6th and 7th Sts;;East Village;(212-982-5870);Vegetarian & Organic
Country;Carlton Hotel;;90 Madison Ave;at 29th St;Gramercy/Flatiron;(212-889-7100);American Creative
Country Café;;69 Thompson St;between Broome and Spring Sts;;Soho;(212-966-5417);French
Covo;;701 W 135th St;at Twelfth Ave;;Harlem;(212-234-9573);Italian
Cowgirl;;519 Hudson St;at 10th St;;West Village;(212-633-1133);American Regional
Coyi Cafe;42 Ave B;;;;;;
Craft;;43 E 19th St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-780-0880);American
Craftbar;;900 Broadway;between 19th and 20th Sts;;Gramercy/Flatiron;(212-461-4300);American Creative
Craftsteak;;85 Tenth Ave;between 15th and 16th Sts;;Meatpacking District;(212-400-6699);Steakhouses
Crave Ceviche Bar;;946 Second Ave;between 50thand 51st Sts;;Midtown East;(212-355-6565);Peruvian
Crave on 42nd (CLOSED);;650 W 42nd St;between Eleventh and Twelfth Aves;;Midtown West;(212-564-9588);American
Crema;;111 W 17th St;between Sixth and Seventh Aves;;Chelsea;(212-691-4477);Mexican
Creole Jazz and Supper Club;;2167 Third Ave;at 118th St;;East Harlem;(212-876-8838);American Regional
Crif Dogs;;113 St. Marks Pl;between First Ave and Ave A;;East Village;(212-614-2728);American
Crispo;;240 W 14th St;between Seventh and Eighth Aves;;West Village;(212-229-1818);Italian
Cronkite Pizzeria and Wine Bar (CLOSED);;133 Norfolk St;between Rivington and Stanton Sts;;Lower East Side;(212-375-1500);Italian: Pizza
Crown Wines & Liquors;;1587 Second Ave;between 82nd and 83rd Sts;;Upper East Side;(212-472-8610);Food or Beverage Shop
Cru;;24 Fifth Ave;at 9th St;;Greenwich Village;(212-529-1700);American Creative
Crumbs Bakeshop;;37 E 8th St;between University Pl and Broadway;;Greenwich Village;(212-673-1500);Cafés
Cub Room;;131 Sullivan St;at Prince St;;Soho;(212-677-4100);American
Cub Room Café;;183 Prince St;at Sullivan St;;Soho;(212-777-0030);American
Cuba;;222 Thompson St;between Bleecker and W 4th St;;Greenwich Village;(212-420-7878);Caribbean: Cuban
Cuba Cafe;;200 Eighth Ave;between 20th and 21st Sts;;Chelsea;(212-633-1570);Caribbean: Cuban
Cubana Café;;110 Thompson St;between Prince and Spring Sts;;Soho;(212-966-5366);Caribbean: Cuban
Cube 63;;63 Clinton St;between Rivington and Stanton Sts;;Lower East Side;(212-228-6751);Japanese
Cupping Room Village;;496 Hudson St;between Christopher and Grove Sts;;West Village;(646-638-2800);American
Curly’s Vegetarian Lunch;;328 E 14th St;between First and Second Aves;;East Village;(212-598-9998);Vegetarian & Organic
Curry & Curry;;153 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-779-4953);Indian
Curry Leaf;;99 Lexington Ave;at 27th St;;Gramercy/Flatiron;(212-725-5558);Indian
Curry in a Hurry;;119 Lexington Ave;at 28th St;;Gramercy/Flatiron;(212-683-0900);Indian
Curry-Ya;;214 E 10th St;between First and Second Aves;;East Village;(866-602-8779);Japanese
Cyclo;;203 First Ave;between 12th and 13th Sts;;East Village;(212-673-3957);Vietnamese
DB Bistro Moderne;;55 W 44th St;between Fifth and Sixth Aves;;Midtown West;(212-391-2400);French
Da Andrea;35 W 13th St;;;;;;
Da Andrea (CLOSED);;557 Hudson St;between Perry and W 11th Sts;;West Village;(212-367-1979);Italian
Da Nico;;164 Mulberry St;between Broome and Grand Sts;;Chinatown/Little Italy;(212-343-1212);Italian
Da Silvano;;260 Sixth Ave;between Bleecker and Houston Sts;;Greenwich Village;(212-982-2343);Italian
Da Silvano Bistecca;;260 Sixth Ave;between Bleecker and W Houston Sts;;Greenwich Village;(212-844-0282);Steakhouses
Da Silvano Next Door;;260 Sixth Ave;between Bleecker and Houston Sts;;Greenwich Village;(212-844-0282);Italian
Da Tommaso;;903 Eighth Ave;between 53rd and 54th Sts;;Midtown West;(212-265-1890);Italian
Dae Dong Restaurant (CLOSED);;17 W 32nd St;between Fifth Ave and Broadway;;Midtown West;(212-967-1900);Korean
Dainobu;;129 E 47th St;between Lexington and Third Aves;;Midtown East;(212-755-7380);Japanese
Daisy May’s BBQ USA;;623 Eleventh Ave;at 46th St;;Midtown West;(212-977-1500);Barbeque
Dakshin Indian Bistro;;1713 First Ave;between 88th and 89th Sts;;Upper East Side;(212-987-9839);Indian
Dakshin Indian Bistro (CLOSED);;741 Ninth Ave;at 50th St;;Midtown West;(212-421-1919);Indian
Dallas Jones;178 W Houston St;;;;;;
Danal;;90 E 10th St;between Third and Fourth Aves;;East Village;(212-982-6930);French
Dani (CLOSED);;333 Hudson St;at Charlton St;;Soho;(212-633-9333);Mediterranean
Daniel;;60 E 65th St;between Madison and Park Aves;;Upper East Side;(212-288-0033);French
Danku;;47 W 57th St;between Fifth and Sixth Aves;;Midtown West;(212-888-3777);Eclectic
Danube (CLOSED);;30 Hudson St;at Duane St;;Tribeca;(212-791-3771);Austrian
Daphne’s Caribbean Express;;233 E 14th St;between Second and Third Aves;;Gramercy/Flatiron;(212-228-6144);Caribbean
Darbar;;152 E 46th St;between Lexington and Third Aves;;Midtown East;(212-681-4500);Indian
Darbar Grill;;157 E 55th St;between Lexington and Third Aves;;Midtown East;(212-751-4600);Indian
Dardanel;;1071 First Ave;between 58th and 59th Sts;;Midtown East;(212-888-0809);Mediterranean
Darna;;600 Columbus Ave;at 89th St;;Upper West Side;(212-721-9123);Kosher
Daruma;;227 Mott St;between Prince and Spring Sts;;Soho;(212-219-9288);Japanese
Dash Dogs;;127 Rivington St;between Essex and Norfolk Sts;;Lower East Side;(212-254-8885);American
Dave & Buster's;;234 W 42nd St;between Seventh and Eighth Aves;;Midtown West;;American
Dave & Buster’s;;234 W 42nd St;between Seventh and Eighth Aves;;Midtown West;(646-495-2015);American
Dawat;;210 E 58th St;between Second and Third Aves;;Midtown East;(212-355-7555);Indian
Day-O;;103 Greenwich Ave;at 12th St;;West Village;(212-924-3160);Caribbean: Jamaican
Day-O (CLOSED);103 Greenwich Ave;;;;;;
Daydream Frozen Yogurt;;110 Third Ave;at 13th St;;East Village;(212-228-4288);Food or Beverage Shop
De Santos;;139 W 10th St;between Greenwich Ave and Waverly Pl;;Greenwich Village;(212-206-9229);Italian
DeMarco’s Pizzeria and Restaurant;;146 W Houston St;at Macdougal St;;Greenwich Village;(212-253-2290);Italian: Pizza
DeMarco’s Pizzeria and Restaurant (CLOSED);;146 W Houston St;at Macdougal St;;Greenwich Village;(212-253-2290);Italian: Pizza
Dean & DeLuca;New York Times Building;;620 Eighth Ave;at 48th St;Midtown West;(212-221-0308);Food or Beverage Shop
Dean’s;;215 W 85th St;between Amsterdam Ave and Broadway;;Upper West Side;(212-875-1100);Italian: Pizza
Dean’s;;349 Greenwich St;between Harrison and Jay Sts;;Tribeca;(212-966-3200);Italian: Pizza
Deborah;;43 Carmine St;between Bedford and Bleecker Sts;;West Village;(212-242-2606);American
Deborah (CLOSED);;43 Carmine St;between Bedford and Bleecker Sts;;West Village;(212-242-2606);American
Deb’s;;200 Varick St;between Houston and King Sts;;Soho;(212-675-4550);American
Deepam;106 Lexington Ave;;;;;;
Defonte’s of Brooklyn;261 Third Ave;;;;;;
Degustation;;239 E 5th St;between Second and Third Aves;;East Village;(212-979-1012);Spanish
Del Frisco’s Double Eagle Steak House;;1221 Sixth Ave;at 49th St;;Midtown West;(212-575-5129);Steakhouses
Del Posto;;85 Tenth Ave;between 15th and 16th Sts;;Chelsea;(212-497-8090);Italian
Delicatessen;;54 Prince St;at Lafayette St;;Soho;(212-226-0211);Eclectic
Delicia Brazil;;322 W 11th St;at Hudson St;;West Village;(212-242-2002);Brazilian
Delmonico’s;;56 Beaver St;at South William St;;Financial District;(212-509-1144);American
Delta Grill;;700 Ninth Ave;at 48th St;;Midtown West;(212-956-0934);American Regional
Demarchelier;;50 E 86th St;between Madison and Park Aves;;Upper East Side;(212-249-6300);French
Demel;The Plaza Retail Collection;;1 W 58th St;at Fifth Ave;basement;Midtown West;(212-572-0989)
Dennis Foy;;313 Church St;between Lispenard and Walker Sts;;Tribeca;(212-625-1007);American
Dennis Foy (CLOSED);313 Church St;;;;;;
Desnuda;;122 E 7th St;between First Ave and Ave A;;East Village;(212-254-3515);Eclectic
DessertTruck;;8th St;at University Pl;;Greenwich Village;(no phone);Food or Beverage Shop
Devin Tavern (CLOSED);;363 Greenwich St;between Franklin and Harrison Sts;;Tribeca;(212-334-7337);American
Dhaba;;108 Lexington Ave;between 27th and 28th Sts;;Gramercy/Flatiron;(212-679-1284);Indian
DiPalo Fine Foods;;200 Grand St;at Mott St;;Chinatown/Little Italy;(212-226-1033);Food or Beverage Shop
Diablo Royale;;189 W 10th Street;between W 4th and Bleecker;;West Village;(212-620-0223);Mexican
Diablo’s Cantina;;180 West Broadway;at Leonard St;;Tribeca;(212-966-1800);Mexican
Dibiterie Cheikh;;231 West 116th St;between 7th and Lenox Aves;;Harlem;(212-663-0717);African: Senegalese
Dim Sum Go Go;;5 East Broadway;between Catherine and Oliver Sts;;Chinatown/Little Italy;(212-732-0797);Chinese
Diner 24 (CLOSED);;102 Eighth Ave;at 15th St;;Chelsea;(212-242-7773);American Creative
Dinosaur Bar-B-Que;;646 W 131st St;between Broadway and Riverside Dr;;Columbia University–City College;(212-694-1777);Barbeque
Dirt Candy;;430 E 9th St;between First Ave and Ave A;;East Village;(212-228-7732);Vegetarian & Organic
Dirty Bird to Go;;204 W 14th St;between Seventh and Eighth Aves;;Chelsea;(212-620-4836);American Regional
District;The Muse;;130 W 46th St;between Sixth and Seventh Aves;Midtown West;(212-485-2999);American
Ditch Plains;;29 Bedford St;at Downing St;;West Village;(212-633-0202);Seafood
Diva;;341 West Broadway;between Broome and Grand Sts;;Soho;(212-941-9024);Italian
Diwan Restaurant;;148 E 48th St;between Lexington and Third Aves;;Midtown East;(212-593-5425);Indian
Django (CLOSED);;480 Lexington Ave;at 46th St;;Midtown East;(212-871-6600);Mediterranean
Djerdan Burek;;221 W 38th St;between Seventh and Eighth Aves;;Midtown West;(212-921-1183);Eastern European
Do Hwa;;55 Carmine St;at Bedford St;;West Village;(212-414-1224);Korean
DoSirak;;30 E 13th St;between Fifth Ave and University Pl;;Greenwich Village;(646-336-1685);Korean
Docks Oyster Bar & Seafood Grill;;2427 Broadway;between 89th and 90th Sts;;Upper West Side;(212-724-5588);Seafood
Docks Oyster Bar & Seafood Grill;;633 Third Ave;at 40th St;;Midtown East;(212-986-8080);Seafood
Docks Oyster Bar & Seafood Grill (CLOSED);2427 Broadway;;;;;;
Doc’s;1902 Seventh Ave;;;;;;
Dogmatic;Bleecker Park;;Bleecker St;at Hudson St;West Village;;American
Dogmatic Gourmet Sausage System;;26 E 17th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-414-0600);American
Dojo West;;14 W 4th St;between Broadway and Mercer St;;Greenwich Village;(212-505-8934);American
Dok Suni’s;;119 First Ave;between St. Marks Pl and E 7th St;;East Village;(212-477-9506);Korean
DolceVita Restaurant;;181 Grand St;between Baxter and Mulberry Sts;;Chinatown/Little Italy;(646-688-4110);Italian
Dolcino;;517 Second Ave;between 28th and 29th Sts;;Gramercy/Flatiron;(212-448-9505);Italian
Doma Cafe and Gallery;;17 Perry St;at Seventh Ave South;;West Village;(212-929-4339);Cafés
Donguri;;309 E 83rd St;between First and Second Aves;;Upper East Side;(212-737-5656);Japanese
Donut Pub;;203 W 14th St;at Seventh Ave;;Chelsea;(212-929-0126);Cafés & diners
Don’s Bogam BBQ & Wine Bar;;17 E 32nd St;between Fifth and Madison Aves;;Midtown West;(212-683-2200);Korean
Dos Caminos;;373 Park Ave South;between 26th and 27th Sts;;Gramercy/Flatiron;(212-294-1000);Mexican
Dos Caminos;;825 Third Ave;at 50th St;;Midtown East;(212-336-5400);Mexican
Dos Caminos Soho;;475 West Broadway;at Houston St;;Soho;(212-277-4300);Mexican
Double Crown;;316 Bowery;at Bleecker St;;East Village;(212-254-0350);Australian & New Zealand
Doughnut Plant;;379 Grand St;at Norfolk St;;Lower East Side;(212-505-3700);Cafés & diners
Dousoeur de Paris;;652 Tenth Ave;at 46th St;;Midtown West;(212-315-4543);French
Dovetail;;103 W 77th St;at Columbus Ave;;Upper West Side;(212-362-3800);American
Downtown Cipriani;;376 West Broadway;between Broome and Spring Sts;;Soho;(212-343-0999);Italian
Doyers Vietnamese Restaurant;;11 Doyers St;between Bowery and Pell St;;Chinatown/Little Italy;(212-513-1521);Vietnamese
Dragonfly;;47-49 Seventh Ave South;at Morton St;;West Village;(212-255-2848);Vegetarian & Organic
Druids;;736 Tenth Ave;between 50th and 51st Sts;;Midtown West;(212-307-6410);American
Duane Park;;157 Duane St;between West Broadway and Hudson St;;West Village;;American Regional
Ducale;;392 Columbus Ave;at 79th St;;Upper West Side;(212-787-7150);Italian
Duke’s;;99 E 19th St;between Park Ave South and Irving Pl;;Gramercy/Flatiron;(212-260-2922);American Regional
Dumpling Man;;100 St Marks Pl;between First Ave and Ave A;;East Village;(212-505-2121);Asian: Pan-Asian
Duvet;;45 W 21st St;between Fifth and Sixth Aves;;Gramercy/Flatiron;(212-989-2121);American Creative
Dylan Prime;;62 Laight St;between Greenwich and Hudson Sts;;Tribeca;(212-334-4783);Steakhouses
Dylan's Candy Bar;1011 Third Ave;;;;;;
Dylan’s Candy Bar;;1011 Third Ave;at 60th St;;Upper East Side;(646-735-0078);Food or Beverage Shop
Dévi;;8 E 18th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-691-1300);Indian
EN Japanese Brasserie;;435 Hudson St;at Leroy St;;West Village;(212-647-9196);Japanese
Earl’s;;560 Third Ave;at 37th St;;Midtown East;(212-949-5400);American Regional
Earth NYC;;116A Tenth Ave;between 17th and 18th Sts;;Chelsea;(212-337-0016);Indian
Earthen Oven;;53 W 72nd St;at Columbus Ave;;Upper West Side;(212-579-8888);Indian
East Boat Lobster Restaurant;;72 Kenmare St;between Mott and Mulberry Sts;;Chinatown/Little Italy;(212-226-8881);Seafood
East Village Cheese;;40 Third Ave;between 9th and 10th Sts;;East Village;(212-477-2601);Food or Beverage Shop
East Village Ice Cream Factory;;218 Ave B;between 13th and 14th Sts;;East Village;(212-673-6030);Food or Beverage Shop
East Village Meat Market;;139 Second Ave;between St. Marks Pl and E 9th St;;East Village;(212-228-5590);Food or Beverage Shop
East of Eighth;;254 W 23rd St;between Seventh and Eighth Aves;;Chelsea;(212-352-0075);American
Eastern Noodles;;28 Forsyth St;at Canal St;;Lower East Side;(212-941-7678);Chinese
Eat-pisode;;123 Ludlow St;between Delancey and Rivington Sts;;Lower East Side;(212-677-7624);Thai
Eatery;;798 Ninth Ave;at 53rd St;;Midtown West;(212-765-7080);Eclectic
Ecco;;124 Chambers St;between Church St and West Broadway;;Tribeca;(212-227-7074);Italian
Economy Candy;;108 Rivington St;between Ludlow and Essex Sts;;Lower East Side;(800-352-4544);American
Eden Wok;;43 E 34th St;between Madison and Park Aves;;Midtown East;(212-725-8100);Kosher
Edward’s;;136 West Broadway;between Duane and Thomas Sts;;Tribeca;(212-233-6436);American
Eemo;;107 First Ave;between 6th and 7th Sts;;East Village;(212-505-7974);Korean
Egg Custard King Cafe;;271 Grand St;between Eldridge and Forsyth Sts;;Chinatown/Little Italy;(212-226-8882);Cafés
Eight Mile Creek;;240 Mulberry St;between Prince and Spring Sts;;Chinatown/Little Italy;(212-431-4635);Australian & New Zealand
Eisenberg’s Sandwich Shop;;174 Fifth Ave;at 22nd St;;Gramercy/Flatiron;(212-675-5096);Cafés & diners
El Atazcon;125 First Ave;;;;;;
El Atazcon (CLOSED);125 First Ave;;;;;;
El Castillo de Jagua;;113 Rivington St;between Essex and Ludlow Sts;;Lower East Side;(212-982-6412);Caribbean: Dominican
El Centro;;824 Ninth Ave;at 54th St;;Midtown West;(646-763-6585);Mexican
El Cocotero;;228 W 18th St;between Seventh and Eighth Aves;;Chelsea;(212-206-8930);Latin American: Venezuelan
El Dar Restaurant & Café;;171 Ave A;at 11th St;;East Village;(212-353-5327);Mediterranean
El Faro;;823 Greenwich St;at Horatio St;;Meatpacking District;(212-929-8210);Spanish
El Maguey y La Tuna;;321 E Houston St;between Attorney and Ridge Sts;;Lower East Side;(212-473-3744);Mexican
El Malecon No. 2;764 Amsterdam Ave;;;;;;
El Malecon Restaurant;4141 Broadway;;;;;;
El Parador Cafe;;325 E 34th St;between First and Second Aves;;Midtown East;(212-679-6812);Mexican
El Paso;;134 W Houston St;between MacDougal and Sullivan Sts;;Greenwich Village;(212-673-0828);Mexican
El Paso Taqueria;;64 E 97th St;between Madison and Park Aves;;Upper East Side;(212-996-1739);Mexican
El Portal Restaurant (CLOSED);;95 Allen St;between Broome and Delancey Sts;;Lower East Side;(212-226-2345);Mexican
El Quijote;;226 W 23rd St;between Seventh and Eighth Aves;;Chelsea;(212-929-1855);Spanish
El Quinto Pino;;401 W 24th St;at Ninth Ave;;Chelsea;(212-206-6900);Spanish
El Ranchito;;4129 Broadway;between 174th and 175th Sts;;Washington Heights;(212-928-0866);Latin American: El Salvadoran
El Rey del Sol;;232 W 14th St;between Seventh and Eighth Aves;;West Village;(212-229-0733);Mexican
El Toro Partido;;3431 Broadway;between 139th and 140th Sts;;Columbia University–City College;(212-281-1587);Mexican
Elaine’s;;1703 Second Ave;between 88th and 89th Sts;;Upper East Side;(212-534-8103);Italian
Elephant & Castle;;68 Greenwich Ave;between Sixth Ave and Seventh Ave South;;West Village;(212-243-1400);American
Elettaria;;33 W 8th St;between Fifth and Sixth Aves;;Greenwich Village;(212-677-3833);Eclectic
Eleven Madison Park;;11 Madison Ave;at 24th St;;Gramercy/Flatiron;(212-889-0905);American Creative
Elio’s;;1621 Second Ave;between 84th and 85th Sts;;Upper East Side;(212-772-2242);Italian
Elizabeth;;265 Elizabeth St;between E Houston and Prince Sts;;Chinatown/Little Italy;(212-334-2426);Eclectic
Elmo;;156 Seventh Ave;between 19th and 20th Sts;;Chelsea;(212-337-8000);American
Elvie’s Turo-Turo;;214 First Ave;between 12th and 13th Sts;;East Village;(212-473-7785);Asian: Filipino
Elyssa Dido;;85 Orchard St;between Broome and Grand Sts;;Lower East Side;(212-991-9880);Middle Eastern
Elyssa Dido (CLOSED);85 Orchard St;;;;;;
Emilio’s Ballato;;55 E Houston St;between Mott and Mulberry Sts;;Chinatown/Little Italy;(212-274-8881);Italian
Empanada Joe’s;;683 Eighth Ave;at 43rd St;;Midtown West;(212-977-2600);Latin American
Empanada Joe’s (CLOSED);683 Eighth Ave;;;;;;
Empanada Mama;;793 Ninth Ave;at 51st St;;Midtown West;(212-698-9008);Latin American
Empire Diner;;210 Tenth Ave;at 22nd St;;Chelsea;(212-243-2736);Cafés & diners
Empire Szechuan;;193 Columbus Ave;between 68th and 69th Sts;;Upper West Side;(212-496-8778);Chinese
Employees Only;;510 Hudson St;between Christopher and W 10th Sts;;West Village;(212-242-3021);American Creative
Energy Kitchen;;417 W 47th St;between Ninth and Tenth Aves;;Midtown West;(212-333-3500);American
Energy Kitchen;;764 Second Ave;between 40th and 41st Sts;;Midtown East;(212-687-4100);American
English is Italian (CLOSED);;622 Third Ave;at 40th St;;Midtown East;(212-404-1700);Italian
Ennio & Michael;;539 La Guardia Pl;between Bleecker and W 3rd Sts;;Greenwich Village;(212-677-8577);Italian
Ennju;;20 E 17th St;between Sixth Ave and Broadway;;Gramercy/Flatiron;(646-336-7004);Japanese
Enoteca DiPalo;;200 Grand St;at Mott St;;Lower East Side;(no phone yet);Food or Beverage Shop
Enoteca i Trulli;;124 E 27th St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-481-7372);Italian
Epicerie;;168–170 Orchard St;at Stanton St;;Lower East Side;(212-420-7520);French
Epices du Traiteur;;103 W 70th St;between Columbus Ave and Broadway;;Upper West Side;(212-579-5904);Mediterranean
Epistrophy;;200 Mott St;between Kenmare and Spring Sts;;Chinatown/Little Italy;(212-966-0904);Cafés & diners
Erminia;;250 E 83rd St;between Second and Third Aves;;Upper East Side;(212-879-4284);Italian
Esashi;;32 Ave A;between 2nd and 3rd Sts;;East Village;(212-505-8726);Japanese
Esca;;402 W 43rd St;at Ninth Ave;;Midtown West;(212-564-7272);Italian
Esperanto;;145 Ave C;at 9th St;;East Village;(212-505-6559);Latin American
Essex;;120 Essex St;at Rivington St;;Lower East Side;(212-533-9616);Eclectic
Estancia 460;;460 Greenwich St;between Desbrosses and Watts Sts;;Tribeca;(212-431-5093);Argentine
Estiatorio Milos;;125 W 55th St;between Sixth and Seventh Aves;;Midtown West;(212-245-7400);Greek
Etats-Unis;;242 E 81st St;between Second and Third Aves;;Upper East Side;(212-517-8826);American Creative
Etcetera Etcetera;;352 W 44th St;between Eighth and Ninth Aves;;Midtown West;(212-399-4141);Mediterranean
Ethiopian Restaurant;;1582 York Ave;between 83rd and 84th Sts;;Upper East Side;(212-717-7311);African: Ethiopian
Ethos;;495 Third Ave;between 33rd and 34th Sts;;Midtown East;(212-252-1972);Greek
Ethos;;905 First Ave;at 51st St;;Midtown East;(212-888-4060);Greek
Etrusca;Hilton Towers;;125 W 53rd St;between Sixth and Seventh Aves;Midtown West;(212-261-5750);Italian
Evergreen Shanghai;;10 E 38th St;between Fifth and Madison Aves;;Midtown East;(212-448-1199);Chinese
Excellent Pork Chop House;;3 Doyers St off Bowery;at Chatham Sq;;Chinatown/Little Italy;(212-791-7007);Chinese
Extra Virgin;;259 W 4th St;between Charles and Perry Sts;;West Village;(212-691-9359);Mediterranean
F&B;;269 W 23rd St;between Seventh and Eighth Aves;;Chelsea;(646-486-4441);Belgian
F&B;;150 E 52nd St;between Lexington and Third Aves;;Midtown East;(212-421-8600);Belgian
F.illi Ponte;;39 Desbrosses St;at West St;;Tribeca;(212-226-4621);Italian
FIKA Espresso Bar;;41 W 58th St;at Sixth Ave;;Midtown West;(212-832-0022);Cafés & diners
FIKA Espresso Bar;;407 Park Ave South;at 28th St;;Gramercy/Flatiron;(212-832-0022);Cafés & diners
Fabio Piccolo Fiore;;230 E. 44th St;at Second Ave;;Midtown East;(212-922-0581);Eclectic
Fairway Café and Steakhouse;2127 Broadway;;between 74th and 75th Sts;second floor;Upper West Side;(212-595-1888);American
Fake Orchid;;440 E 9th St;between First Ave and Ave A;;East Village;(646-654-1991);Thai
Falai;;68 Clinton St;between Rivington and Stanton Sts;;Lower East Side;(212-253-1960);Cafés & diners
Falai Panetteria;;79 Clinton St;at Rivington St;;Lower East Side;(212-777-8956);Cafés & diners
Fanelli’s Cafe;;94 Prince St;at Mercer St;;Soho;(212-226-9412);American
Farinella;90 Worth St;;;;;;
Fashion 40;;202 W 40th St;between Seventh and Eighth Aves;;Midtown West;(212-221-3628);Italian
Fashion Soup;;124 W 41st St;between Sixth Ave and Broadway;;Midtown West;(212-704-0909);Cafés & diners
Fat Annie’s Truck Stop;;131 W 33rd St;between Sixth and Seventh Aves;;Midtown West;(212-695-1122);American
Fatty Crab;;643 Hudson St;between Gansevoort and Horatio St;;Meatpacking District;(212-352-3590);Asian: Pan-Asian
Fatty Crab;2170 Broadway;;;;;;
Favela Cubana;543 La Guardia Pl;;;;;;
Felidia;;243 E 58th St;between Second and Third Aves;;Midtown East;(212-758-1479);Italian
Festival Mexicano;;120 Rivington St;between Essex and Norfolk Sts;;Lower East Side;(212-995-0154);Mexican
Fiamma (CLOSED);;206 Spring St;between Sixth Ave and Sullivan St;;Soho;(212-653-0100);Italian
Fig & Olive;;10 E 52nd St;between Fifth and Madison Aves;;Midtown East;(212-319-2002);Mediterranean
Fig & Olive Downtown;;420 W 13th St;between Ninth Ave and Washington St;;Meatpacking District;(212-924-1200);Mediterranean
Fig & Olive Kitchen and Bar;;808 Lexington Avenue;between 62nd and 63rd Sts;;Upper East Side;(212-207-4555);Mediterranean
Film Center Cafe;;635 Ninth Ave;between 44th and 45th Sts;;Midtown West;(212-262-2525);American
Financier Patisserie;3-4 World Financial Center;;;;;;
Financier Patisserie;35 Cedar St;;;;;;
Financier Patisserie;62 Stone St;;;;;;
Finnegans Wake;;1361 First Ave;at 73rd St;;Upper East Side;(212-737-3664);British & Irish
Fiorini;;209 E 56th St;between Second and Third Aves;;Midtown East;(212-308-0830);Italian
FireBird Russian;;365 W 46th St;between Eighth and Ninth Aves;;Midtown West;(212-586-0244);Russian
Fireside;;19 E 52nd St;at Madison Ave;;Midtown East;(212-754-5017);American Creative
First Hungarian Literary Society;323 E 79th St;;between First and Second Aves;second floor;Upper East Side;(212-288-5002);Eastern European
Fish;;280 Bleecker St;at Jones St;;West Village;(212-727-2879);Seafood
Fish Market;;111 South St;between Beekman Pl and Peck Slip;;Financial District;(212-233-3301);Seafood
Fishtail by David Burke;;135 E 62nd St;between Park and Lexington Aves;;Upper East Side;(212-754-1300);American Creative
Fitzer’s;Fitzpatrick Manhattan Hotel;;687 Lexington Ave;between 56th and 57th Sts;Midtown East;(212-355-0100);British & Irish
Five Guys Burgers and Fries;;43 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-459-9600);American
Five Guys Burgers and Fries;;296 Bleecker St;at Seventh Ave South;;West Village;(212-367-9200);American
Five Guys Burgers and Fries;;496 LaGuardia St;between Bleeker and W Houston Sts;;Soho;(212-228-6008);American
Five Points;;31 Great Jones St;between Bowery and Lafayette St;;East Village;(212-253-5700);American
Fives;Peninsula Hotel;;700 Fifth Ave;at 55th St;Midtown East;(212-903-3918);American Creative
Flash Inn;;107 Macombs Pl;between 154th and 155th Sts;;East Harlem;(212-283-8605);Italian
Flea Market Cafe;;131 Ave A;between St. Marks Pl and 9th St;;East Village;(212-358-9280);French
Fleur de Sel;;5 E 20th St;between Fifth Ave and Broadway;;Gramercy/Flatiron;(212-460-9100);French
Fleur de Sel (CLOSED);5 E 20th St;;;;;;
Flex Mussels;;174 E 82nd St;between Lexington and Third Aves;;Upper East Side;(212-717-7772);Eclectic
Flip;Bloomingdale’s;;;;;;
Flor de Mayo;;484 Amsterdam Ave;between 83rd and 84th Sts;;Upper West Side;(212-787-3388);Latin American
Flor de Mayo;;2651 Broadway;between 100th and 101st Sts;;Upper West Side;(212-663-5520);Latin American
Flor de Sol;;361 Greenwich St;between Franklin and Harrison Sts;;Tribeca;(212-334-8087);Spanish
Florence’s Restaurant;;2099 Frederick Douglass Blvd (Seventh Ave);between 113th and 114th Sts;;Harlem;(212-531-0387);African: West African
Florent (CLOSED);;69 Gansevoort St;between Greenwich and Washington Sts;;Meatpacking District;(212-989-5779);French
Flor’s Kitchen (CLOSED);;170 Waverly Pl;between Sixth and Seventh Aves;;West Village;(212-229-9926);Latin American: Venezuelan
Focolare;;115 Mulberry Street;between Canal and Hester Sts;;Chinatown/Little Italy;(212-993-5858);Italian
Food (CLOSED);;1569 Lexington Ave;at 100th St;;Upper East Side;(212-348-0200);Seafood
Foodbar (CLOSED);;149 Eighth Ave;between 17th and 18th Sts;;Chelsea;(212-243-2020);American
Forbidden City;;212 Ave A;between 13th and 14th Sts;;East Village;(212-598-0500);Asian: Pan-Asian
Forge;;134 Reade St;between Greenwich and Hudson Sts;;Tribeca;(212-941-9401);American
