restaurant;address;country
Bon 75 Restaurant;2140 Broadway;New York
Bon Jour Mon Ami Deli Inc;125 W 40th St;New York
Bon Vivant Diner;820 Broadway;New York
Bonafides Restaurant;60 2nd Avenue Apt 6;New York
Bonao Con Sabor Ii;84 Nagle Ave;New York
Bond 45 Italian Kitchen Steak & Seafood;154 West 45;New York
Bond Street;6 Bond Street;New York
Bongo;299 10 Av;
Bonnie & Norma;485 Fashion Avenue;New York
Bonnie-Five BWAY Corporation;517 Lexington Avenue;New York
Bono's Delicatessens;35 East 28th Street;New York
Boo Radleys;11 Waverly Pl;New York
Boom;152 Spring Street;New York
Boomers Sports Club;349 Amsterdam Ave;New York
Boonthai Restaurant;1393 2nd Ave # A;New York
Bora Restaurant;179 Madison Ave;New York
Borobudur Cafe;128 East 4th Street;New York
Bos Noodle Shop;930 8 Av;New York
Bossa Nova;1484 2nd Avenue Frnt;New York
Boston Market;948 2nd Ave;New York
Boston Market;2411 Broadway;New York
Boston Market - New York;271 West 23rd Street;New York
Bottino;248 10th Avenue;New York
Boucarou;64 E. 1st Street;New York
Boughalem Restaurant;14 Bedford Street;New York
Bouley Restaurant;120 W Broadway;New York
Bourbon Street;405 Amsterdam Avenue;New York
Bouterin Restaurant;420 East 59th Street;New York
Bowah Restaurant;3864 10th Ave;New York
Bowery Phobang Restaurant Inc;6 Chatham Square Frnt;New York
Box Tree;250 E 49th St;New York
Boxers;190 West 4th Street;New York
Boxers;190 W 4th St;New York
Bradleys;70 University Pl;New York
Brady Bunch Tavern Inc;67 Murray Street Frnt;New York
Bradys Tavern;67 Murray Street;
Brandy's Piano Bar;235 East 84th Street;New York
Branzini Restaurant;299 Madison Avenue;New York
Braque;775 Washington;New York
Brasero's;627 2nd Avenue Frnt;New York
Brasilia Restaurant;7 W 45th St;New York
Brasserie;100 East 53rd Street;New York
Brasserie 52;772 Ninth Avenue (51st & 52nd);New York
Brasserie 8 1 2;9 West 57th Street;New York
Brasserie Julien;1422 3rd Avenue Frnt;New York
Brasserie Montparnasse;44 Beaver Street;New York
Bravest;700 2nd Avenue;New York
Bravo Gianni Restaurant;230 East 63rd Street;New York
Bravo Pizza;1369 Broadway;New York
Bravo Pizza;6 East 42nd Street;New York
Brazil Brazil Grill;328 West 46th Street Frnt;New York
Brazil Grill;787 Eighth Ave;New York
Bread;20 Spring Street;New York
Bread & Butter;229 Elizabeth St;New York
Bread & Olive;24 West 45;New York
Bread Soul Inc;30 Lincoln Center Plaza;New York
Bread Tribeca;301 Church Street;New York
Breadsoul Cafe;200 Lexington Avenue;New York
Break;232 8th Avenue Frnt;New York
Breeze NYC;661 9 Av;New York
Brendans Bar and Grill;42 West 35th Street Lbby;New York
Brew & Bakery;293 Mercer Street;New York
Brewbakers;127 John Street;New York
Brews Restaurant;156 E 34th St;New York
Brewsky's;43 East 7th Street;New York
Bricco Restaurant;304 W 56th St;New York
Brick Lane Curry House;306 East 6 St;New York
Brick Lane Curry House;306-308 East 6th Street;New York
Brick NYC;22 Warren Street;New York
Bricks American Bistro & Bar;329 Lexington Avenue Frnt;New York
Bridge Cafe;279 Water St;New York
Bridgewaters;11 Fulton;New York
Bright Food Shop;218 8th Avenue;New York
Brio Restaurant;786 Lexington Av;New York
British Open;320 E 59th St;New York
Broadway 104 Street Cafe;2725 Broadway;New York
Broadway Au Lait;3070 Broadway;New York
Broadway Bagels;2658 Broadway;New York
Broadway Blimpie Inc;210 West 50;New York
Broadway Cafe;1123 Broadway Ph;New York
Broadway Cafe;401 Broadway;New York
Broadway Cafe Health Bar & Kosher Pizza;160 Broadway;New York
Broadway China Restaurant;4945 Broadway;New York
Broadway Cottage;2690 Broadway;New York
Broadway Cottage Ii;2492 Broadway # 1;New York
Broadway Deli;2675 Broadway;New York
Broadway Deli Inc;1026 Avenue Of The Americ;New York
Broadway Delights;2144 Broadway;New York
Broadway Diner;590 Lexington Ave;New York
Broadway Diner;1726 Broadway;New York
Broadway Dive Bar;2662 Broadway;New York
Broadway Express Food Corp;3379 Broadway;New York
Broadway Express Food Inc;3379 Broadway;New York
Broadway Fancy Foods Inc;351 Broadway;New York
Broadway Gourmet Deli;2068 Broadway;New York
Broadway Grill;1605 Broadway;New York
Broadway Joe Steakhouse;315 W 46th St. (Bet. 8th & 9th Ave's);New York
Broadway Lucky Corner Inc;381 Broadway;New York
Broadway Market;1709 Broadway;New York
Broadway Pizzeria & Coffee Shop;4312 Broadway;New York
Broadway Restaurant;2664 Broadway;New York
Broadway Restaurant Associates;1515 Broadway;New York
Broadway Restaurant Supply;21 East 17th Street;New York
Broncas Restaurant And Tapas Bar;91 Christopher Street;
Brookfish Market Co;709 2nd Ave;New York
Brooklyn Diner USA;212 West 57th Street;New York
Broome Street Bar;363 W Broadway;New York
Brother Barbeque;225 Varick Street;New York
Brother Fish Market;3845 Broadway;New York
Brother Jimmy's BBQ;1485 2nd Avenue;New York
Brother Jimmy's Bait Shack;1644 3rd Ave;New York
Brother Jimmy's Bait Shack;1644 3 Av;New York
Brother Jimmy's Nyc Restaurant Holdings;1745 1st Avenue;New York
Brother Jimmy's To Go;109 E 42nd St;New York
Brother Jimmy's West;428 Amsterdam Avenue Frnt;New York
Brother Jimmys Bar B Que;1485 Second Ave;
Brothers Deli Grocery Inc;127 4th Avenue;New York
Brothers Hallal Food The;691 10 Av;New York
Brothers Pizza;1302 Amsterdam Avenue;New York
Brouwers;45 Stone Street;New York
Brown Bag;28 East 33rd Street;New York
Brownies;169 Avenue A Frnt;New York
Bruce's Burger;1 Pennsylvania Plz;New York
Bruculino;225 Columbus Avenue;New York
Brunelli;1409 York Avenue;New York
Brunelli;1409 York Ave;New York
Brunettas Restaurant;190 1 Av;New York
Bruno Restaurant;240 E 58th St;New York
Bruxelles;118 Greenwich Ave # 118;New York
Bryant Park Grill;25 West 40th Street;New York
Bua;126 St Marks Pl;New York
Bubble Lounge;228 W Broadway;New York
Bubby's Restaurant Bar & Bakery;118 Hudson Street;New York
Buddakan;75 9 Ave;New York
Buddha House;65 Carmine Street;New York
Budding Restaurant Assoc;30 Rockefeller Plz;New York
Buffalo Roadhouse Grill;57 7th Avenue South;New York
Buffas Delicatessen;54 Prince Street;New York
Bugatti Restaurant;1382 2nd Ave;New York
Bukhara Grill;217 E 49th St;New York
Bulgarian Restaurant & Mehanata;416 Broadway;New York
Bull & Bear Restaurant Pub;49 Lexington Ave;New York
Bull McCabes;29 Saint Marks Place;New York
Bull Moose Saloon;354 West 44th Street;New York
Bull Run Grill;204 West 23rd St;New York
Bull Run Restaurant;52 William Street;New York
Bulldog Pizza;1760 1 Av;New York
Bulls Head Tavern;295 3rd Ave;New York
Bully's Deli;759 Broadway;New York
Bully's Of New York;150 East 44th Street;New York
Bully's of New York;759 Broadway;New York
Bun & Burger Intl Inc;370 Lexington Ave;New York
Bunga Raya Restaurant Inc;157 Mott St;New York
Bungalow 8;515 West 27th Street;New York
Buon Amici;40 Peck Slip Street;New York
Buona Notte;120 Mulberry Street Frnt;New York
Buona Sera Restaurant;94 University Place;New York
Burger Heaven;20 E 49th St # 1;New York
Burger Heaven;291 Madison Avenue;New York
Burger Heaven;804 Lexington Avenue;New York
Burger Inc.;1546 Madison Ave;New York
Burger Joint The;241 3 Av;New York
Burger Joint The;190 Bleecker;New York
Burger King;1251 Avenue Of The Americ;New York
Burger King;226 East 86th Street;New York
Burger King;80 Delancey St;New York
Burger King;182 Broadway;New York
Burger King;777 8th Avenue Bsmt;New York
Burger King;146 Delancey Street;New York
Burger King;55 Fulton Street;New York
Burger King;561 Fashion Avenue;New York
Burger King;115 E 23rd St;New York
Burger King;474 7 Av;New York
Burger King;130 West 125th Street;New York
Burger King;1419 Saint Nicholas Avenue;New York
Burger King;615 8th Ave;New York
Burger King;16 Beaver St;New York
Burger King;622 W 168th St;New York
Burger King;458 9th Ave;New York
Burger King;154 E 116th St;New York
Burger King Corporation;106 Liberty Street;New York
Burger King Corporation;174 Amsterdam Avenue;New York
Burger King Restaurant;55 West 46th Street Frnt;New York
Burger King Restaurant;5 East 41st Street;New York
Burger King Restaurant;129 East 47th Street;New York
Burger King Restaurant Corporation;83 Maiden Lane;New York
Burger Kng Restaurant;401 5th Ave;New York
Burger at Its Best;66 Madison Avenue Ph;New York
Burrito Bar;305 Church Street;New York
Burrito Box Inc;885 9th Avenue;New York
Burrito Deli Corp;1504 Lexington Av;New York
Burrito Loco Restaurant;166 West 4th Street Frnt;New York
Burrito World;885 9th Avenue;New York
Burritoville;264 West 23rd Street Frnt;New York
Burritoville;666 3 Av;New York
Burritoville;352 West 39th Street;New York
Burritoville;80 Nassau Street;New York
Burritoville;866 3rd Avenue Lbby;New York
Burritoville;298 Bleecker Street;New York
Burritoville;36 Water Street;New York
Burritoville;1606 3rd Ave;New York
Burritoville;20 John Street;New York
Burritoville;116 Chambers;New York
Burritoville;625 9th Avenue Frnt;New York
Burritoville;141 2nd Avenue Frnt;New York
Burritoville;166 West 72nd Street Ph;New York
Burritoville Inc;1487 2nd Avenue;New York
Bus Stop;597 Hudson Street;New York
Bus Stop Luncheonette;2082 Lexington Avenue;New York
Bus Stop Restaurant;3341 Broadway;New York
Business Center at the Pierre;2 East 61st Street;New York
Bussola Bar & Grill;65 4th Avenue Frnt;New York
Butai Restaurant;115 East 18;New York
Butcher Block Coffee Shop;258 West 31st Street;New York
Butler Restaurant;145 Fulton St;New York
Butter Restaurant;415 Lafayette Street;New York
Buttercup Bake Shop;973 2 Av;
Butterfield 8;170 E 81st St;New York
Butterfield 8;5 Eeast 38th Street;New York
Butterfly Grill Inc;189 Bleecker;New York
Buzina Pop;1022 Lexington A Avenue @ 73rd St;New York
Byblos Restaurant Inc;200 E 39th St # 1;New York
C & F Restaurant;171 Hester Street Frnt;New York
C 3 Restaurant & Lounge;103 Waverly Pl;New York
C B G B Pizza;315 Bowery Frnt;New York
C Js Bar Grill;390 8th Ave;New York
C T Cafe;201 Clinton;New York
C'Est Bon Cafe;11 East 55th Street;New York
C-Note Corporation;157 Avenue Centre;New York
CARA MIA;654 9th Avenue;New York
CBGB;315 Bowery;New York
CECI Restaurant;78 Sherman Avenue;New York
CHA Cha's in Bocca AL LUPO;113 Mulberry Street;New York
CHO GA Restaurant;145 Bleecker Street;New York
CHOY GUNN Heung Vegetarian Restaurant;48 Bowery;New York
COSI Sandwich Bar Inc;257 Park Avenue South;New York
COSI Sandwich Shop;165 East 52nd Street;New York
Cabana;1022 Third Avenue;New York
Cabana;89 South St;New York
Cabana Carioca;123 West 45th Street;New York
Cabrini Grocery;71 Cabrini Blvd;New York
Cacique Jamaican Restaurant Inc;94 Greenwich Street;New York
Cactus Cafe;1 W 3rd St;New York
Caesar's;58 E 34th St;New York
Caeser's Palace Pizza;493 Amstrdm Av;New York
Cafe 114 Mac Dougal Inc;114 Macdougal Street Frnt;New York
Cafe 18 Giovi;8 E 18th St;New York
Cafe 2000;204 West 79th Street;New York
Cafe 201;201 Varick Street;New York
Cafe 21;21 W 58th St;New York
Cafe 22;2309 Adam Clayton Powell;New York
Cafe 27;250 West 27th Street;New York
Cafe 34;250 West 34th Street;New York
Cafe 39 Gourmet Deli;62 West 39th Street;New York
Cafe 50 West;50 West 22nd Street;New York
Cafe 79;1514 1st Avenue;New York
Cafe 900;900 1st Avenue;New York
Cafe Alrgo;3387 Broadway;New York
Cafe Alyss;222 Thompson St;New York
Cafe Ametller;35 Christopher;New York
Cafe Amore Pizza Restaurant;104 East 14th Street;New York
Cafe Angelique;68 Bleecker Street;New York
Cafe Asean;117 West 10th Street;New York
Cafe Atomico;225 5th Ave;New York
Cafe Barbizon;140 E 63rd St;New York
Cafe Basil;762 3 Av;New York
Cafe Biondo;141 Mulberry St;New York
Cafe Bistro;15 Penn Plz;New York
Cafe Bonjour;20 East 39th Street;New York
Cafe Bonjour Deli & Pizza;18 West 38;New York
Cafe Bonjour Too;2 East 39th Street;New York
Cafe Borgia;185 Bleecker St;New York
Cafe Borgia II;161 Prince Street;New York
Cafe Botanica;160 Central Park S;New York
Cafe Boulud;20 East 76th Street;New York
Cafe Brasil;746 9th Ave;New York
Cafe Bravo;52 Broadway;New York
Cafe Bubuline Inc;115 East 57th Street;New York
Cafe Buon Gusto Due Inc;249 West 26;New York
Cafe Buon Gusto Due Inc;249 W 26th St;New York
Cafe Cafe;470 Broome Street;New York
Cafe Carlyle;35 East 76th Street;New York
Cafe Centosette;160 2nd Avenue;New York
Cafe Centro;200 Park Ave Metlife Bldg;New York
Cafe Centro;200 Park Ave # 1;New York
Cafe Centro at MetLife BLDG - Party Info;888 7th Avenue Floor 25;New York
Cafe Charbon-Epicerie;170 Orchard Street;New York
Cafe Chin Chin;936 2nd Ave;New York
Cafe Classico;35 West 57th Street Frnt;New York
Cafe Colonial;73 East Houston Street;New York
Cafe Con Leche;726 Amsterdam Avenue Frnt;New York
Cafe Con Leche;424 Amsterdam Avenue;New York
Cafe Concepts;888 7th Avenue Suite 203;New York
Cafe Cosenza;126 W 32nd St;New York
Cafe Creative;100 Park Avenue Lbby;New York
Cafe Creole Inc;99 Macdougal St;New York
Cafe Crocodile;354 E 74th St;New York
Cafe Daniello's Pizzeria Restaurant;Italian;
Cafe Daniello's Pizzeria Restaurant;1072 2 Av;New York
Cafe Del Mar;89 Macdougal;New York
Cafe Delbar;945 Columbus Avenue;New York
Cafe Des Artistes;1 West 67th Street;New York
Cafe Des Sports;329 W 51st St;New York
Cafe Deville;103 3rd Ave;New York
Cafe Dixie Rose;388 Broome Street;New York
Cafe Du Soleil;245 West 104;New York
Cafe DuPont;1038 1st Avenue;New York
Cafe Dunkin Donuts;210 E 14th St;New York
Cafe Eighty Two;2282 Broadway;New York
Cafe El Portal;174 Elizabeth Street;New York
Cafe Espanol;172 Bleecker St;New York
Cafe Espanol On Carmine;78 Carmine Street;New York
Cafe Europa;205 West 57th Street;New York
Cafe Europa;1177 Avenue Of The Americ;New York
Cafe Europa of 57th St Inc;205 West 57th Street;New York
Cafe Express;348 7th Avenue;New York
Cafe Fes;246 W 4th St;New York
Cafe Fonduta;120 E 57th St;New York
Cafe Fonduta Pasta;32 Water Street;New York
Cafe Fresh;1241 Amsterdam Av;New York
Cafe GIGI;417 East 9th Street Frnt;New York
Cafe Giardinetto;735 2nd Avenue;New York
Cafe Gitane;242 Mott St;New York
Cafe Grand Marnier;211 W 56th St;New York
Cafe Greco;1390 2 Av;New York
Cafe Habana;229 Elizabeth Street;New York
Cafe Hanover;5 Hanover Square;New York
Cafe Health Exchange;2 Maiden Lane;New York
Cafe Hoggar;73 Second Ave;New York
Cafe I Ii Iii;2 Park Ave # 1;New York
Cafe Iguana;240 West 54;New York
Cafe International;1518 1st Ave # 1;New York
Cafe Journal;47 E 29th St;New York
Cafe Jupiter;228 W 10th St;New York
Cafe K;8 East 48th Street Frnt;New York
Cafe LA Palette;50 Macdougal Street Frnt;New York
Cafe LALO;201 West 83rd Street Frnt;New York
Cafe LUKA;1319 1st Avenue;New York
Cafe La Fontaine;36 E 4th St;New York
Cafe Lin Inc;106 Delancey Street;New York
Cafe Loon Loon;160 East 25th Street;New York
Cafe Loup;105 West 13th Street;New York
Cafe Luxembourg;200 West 70th Street;New York
Cafe M;995 5th Ave;New York
Cafe Margaux;175 Avenue B;New York
Cafe Mark;125 East 23rd Street;New York
Cafe Mauriya Garden;129 East 27th Street Frnt;New York
Cafe Medina;9 East 17th Street;New York
Cafe Metro;75 Rockefeller Plz;New York
Cafe Metro;127 East 60th Street Frnt;New York
Cafe Metro;466 Lexington Avenue;New York
Cafe Metro;530 Fashion Avenue;New York
Cafe Metro;1221 Avenue Of The Americ;New York
Cafe Metro Express;400 Madison Avenue;New York
Cafe Metropolitian;14 E 53rd St;New York
Cafe Mingala;1393B 2nd Avenue;New York
Cafe Mogador;101 Saint Marks Place;New York
Cafe Mona Lisa;122 Christopher;New York
Cafe Monas Place;344 Lexington Ave;New York
Cafe Monte;58 2 Av;New York
Cafe Mozart;154 W 70th St Off Broadway;New York
Cafe Napoleon;365 West 50th Street Frnt;New York
Cafe Napoli;191 Hester Street;New York
Cafe Napoli;191 Hester St;New York
Cafe Nicholson Inc;323 East 58th Street;New York
Cafe Noir;32 Grand St;New York
Cafe Nosidam;768 Madison Avenue;New York
Cafe Ole;453 West 54th Street;New York
Cafe On Broadway;2350 Broadway;New York
Cafe Opaline;580 Madison Av;New York
Cafe Orlin;41 St Marks Pl;New York
Cafe Pappagallo;891 8th Ave;New York
Cafe Rakka;(212) 982-9166;
Cafe Rakka;81 Saint Marks Place;New York
Cafe Restaurant Du Cervin;13 S William St;New York
Cafe Restaurant El International Inc;616 Amsterdam Avenue;New York
Cafe Risque;2 Bank Street Frnt;New York
Cafe Roma;175 West 90th Street Apt 3K;New York
Cafe Roma Pizzeria;459 Park Ave S;New York
Cafe Ronda;249 Columbus Avenue;New York
Cafe Rustico East Trattoria Pizza & Past;230 East 29;New York
Cafe Sabarsky;1048 5th Avenue;New York
Cafe Sage;108 John;New York
Cafe San Martin;143 East 49th Street;New York
Cafe Sorrento;132 Mulberry St;New York
Cafe Spice;109 East 42nd Street;New York
Cafe Spice Inc;72 University Pl;New York
Cafe St John;1018 Amsterdam Ave;New York
Cafe St. Bart's;109 E 50th St;New York
Cafe Stromboli;30 E 13th St;New York
Cafe Tal;11 W 47th St;New York
Cafe Tartufo;1081 3rd Ave;New York
Cafe Thirty-First;220 West 31st Street;New York
Cafe Tina;184 Prince Street Apt 1;New York
Cafe Tina;287 Bleecker St;New York
Cafe Topsy;575 Hudson Street;New York
Cafe Trend Inc;596 3rd Avenue;New York
Cafe Trevi;1570 1st Avenue;New York
Cafe Un Deux Trois;123 W 44th St;New York
Cafe Usa;220 E 42nd St # 16;New York
Cafe Variety;118 3rd Ave;New York
Cafe Venezia;56 E 41st St;New York
Cafe Viva Natural Pizza;179 2nd Ave;New York
Cafe WHA;115 Macdougal Street;New York
Cafe Wall St;80 Wall Street Ph;New York
Cafe Word Of Mouth;1012 Lexington Ave;New York
Cafe Yola;337 E 10th St # 1;New York
Cafe de Milan;54 East 59th Street;New York
Cafe de Paris;924 Second Avenue;New York
Cafe'o;622 3rd Avenue;New York
Cafecito;185 Avenue Centre;New York
Cafeteria;119 7th Avenue;
Cafeteria Corporate Office;54 West 21st Street;New York
Caffe Bacio;1223 3rd Avenue;New York
Caffe Bianco Inc;1486 2nd Avenue;New York
Caffe Buon Giorno Inc;162 E 55th St;New York
Caffe Buon Gusto;1009 Second Ave;New York
Caffe Buon Gusto;236 E. 77th Street;New York
Caffe Cielo;881 8th Avenue;New York
Caffe Dante Inc;79 Macdougal Street Frnt;New York
Caffe Del Corso;19 West 55;New York
Caffe Del Corso;19 W 55th St;New York
Caffe Dell'artista;46 Greenwich Avenue;New York
Caffe Della Pace;48 East 7th Street Frnt;New York
Caffe Forte Inc;754 9th Ave;New York
Caffe Grazie;26 East 84th Street Frnt;New York
Caffe Linda;145 East 49th Street;New York
Caffe Medical;1268 2nd Avenue;New York
Caffe Palermo;148 Mulberry St;New York
Caffe Popolo;351 Columbus Ave;New York
Caffe Reggio;119 Macdougal Street;New York
Caffe Rellini;206 Thompson Street;New York
Caffe Rosso;284 West 12;New York
Caffe Torino;139 W. 10th St;New York
Caffe Tosca;260 E 72nd St;New York
Caffe Valdino Inc;225 Sullivan Street Frnt;New York
Caffe Vivaldi;32 Jones Street Frnt;New York
Caffe Vivaldi;32 Jones St;New York
Caffe' Rafaella;134 7th Avenue South;New York
Cajun Cafe;901 Avenue Of The Americ;New York
Cajun Cafe & Grill;901 Avenue Of The Americas;New York
Cajun Restaurant;129 8th Ave;New York
Cal's;55 W 21st St;New York
Calcutta Cafe;2735 Broadway;New York
Calcutta Cuisine Of India;175 East 83;New York
Calcutta Restaurant Inc;324 East 6th Street Frnt;New York
Caliban;360 3rd Avenue Frnt;New York
Calico Jack's Cantina;800 2nd Avenue;New York
Calidad Latina Restaurant;132 9 Av;New York
Caliente Cab CO;61 7th Avenue South Frnt;New York
Caliente Cab CO;21 Waverly Place;New York
California Burrito;750 7th Ave;New York
California Burrito;100 W 33rd St # 7;New York
California Burrito;172 7th Ave;New York
California Burrito CO;250 Vesey Street;New York
California Burrito Co;295 Park Ave S;New York
California Lovers Corporation;38 Union Square East;New York
California Pizza Kitchen;201 E 60th St;New York
California Pizza Oven;122 University Place;New York
Calle OCHO;446 Columbus Av;New York
Calo & Co;18 E 41stst Grround;New York
Camaje;85 Macdougal;New York
Camaradas El Barrio;2241 1 Av;New York
Camba Lache;406 East 64;New York
Camel Cafe;28 West 33rd Street;New York
Camel Cafe;5 E 19th St;New York
Camilles Restaurants;1135 Amsterdam Av;New York
Camino Sur;336 West 37;New York
Campagna;24 East 21st Street;New York
Campagnola Restaurant;1382 1st Avenue Frnt;New York
Campanile Restaurant Inc;30 East 29th Street;New York
Campus Eatery;31 West 4th Street;New York
Campus Eatery;31 W 4th St # 1;New York
Can Restaurant;482 W Broadway;New York
Canaan Japanese Restaurant;154 West 29th Street;New York
Canal House;310 W Broadway;New York
Canaletto;208 East 60th Street Frnt;New York
Cancun Restaurant;937 Eighth Avenue;New York
Candela Candela;92 Second Ave;New York
Candela Restaurant;116 E 16th St;New York
Candido;1606 1st Ave;New York
Candle Cafe;1307 3rd Ave # 1;
Candlewood Oaks Corporation;708 3rd Avenue;New York
Canteen;142 Mercer St;New York
Cantinetta;260 Sixth Ave;New York
Canton Restaurant;45 Division Street;New York
Canyon Road Bar & Grill;1470 1st Avenue;New York
Capellini Pasta Group;26 Carmine St;New York
Capital Grill;155 East 42;New York
Capital Grille;155 East 42;New York
Capitale Restaurant;130 Bowery;New York
Capitol Restaurant;4933 Broadway;New York
Capitol Sushi Restaurant;29 2nd Ave;New York
Capo Verde;589 Fort Washington Avenue;New York
Capri Bakery Corporation;186 East 116th Street;New York
Capri Restaurant;1342 Saint Nicholas Avenue;New York
Capri Restaurant & Pizzeria;532 Main Street;New York
Caprice Cafe;199 Columbus Ave # 1;New York
Capsouto Freres Bistro Restaurant;451 Washington Street;New York
Captain Cafe;196 Orchard Street;New York
Captain's Ketch Restaurant;181 Pearl Street;New York
Captains Table Restaurant & Fish Market;860 2 Av;New York
Capucine's Restaurant;327 2nd Avenue;New York
Caracas Arepa Bar;91 East 7;New York
Caracello;108 Greenwich Street;New York
Caravan of Dreams Restaurant;405 East 6th Street Apt 1;New York
Caravelle La Restaurant;33 W 55th St # 1;New York
Cardamomm Fine Indian Cuisine;100 Lexington Avenue;New York
Cardpro Inc;1776 2nd Avenue;New York
Caribbean American Restaurant;64 West 116th Street;New York
Caribbean Kitchen;901 Avenue Of The Americ;New York
Caribbean Spice Restaurant;402 West 44th Street Frnt;New York
Caribe;117 Perry St;New York
Caribe Ocean Restaurant Corp;2153 Amsterdam Av;New York
Caribe On The Hudson Restaurant;348 Dyckman;New York
Caribiner Producers;16 West 61st Street;New York
Caridad;554 W 181st St;New York
Caridad Restaurant;4799 Broadway;New York
Caridad Restaurant;1004 Saint Nicholas Avenue;New York
Caridad Restaurant;565 West 207th Street;New York
Caridad Restaurant;455 E 116th St;New York
Caridad Restaurant;3533 Broadway;New York
Carino Ristorante Italiano;1710 2nd Avenue;New York
Carlitos Cafe Ey Galeria;1701 Lexington Av;New York
Carlow East;1254 Lexington Avenue Frnt;New York
Carlton New York;22 East 29th Street;New York
Carmine's;200 West 44th Street;New York
Carmine's Italian Seafood Restaurant;140 Beekman Street Frnt;New York
Carmine's Restrnt;2450 Broadway;
Carmine's Takeout;2450 Broadway;New York
Carne;2737 Broadway;New York
Carnegie Delicatessen & Restaurant;854 7th Avenue Frnt;New York
Carnegie Delicatessen & Restaurant;854 7 Avenue;New York
Carnegie Hall Restaurants;154 W 57th St;New York
Carnegie Restaurant;1361 Lex Av;New York
Carnevale;410 Amsterdam Ave;New York
Carousel Cafe Inc;75 Clarkson St;New York
Carpos Cafe;189 Bleecker St;New York
Carribean Restaurant;166 East 118th Street;New York
Carrols Corp;635 Madison Ave # 400;New York
Carryhot;511 West 33 Street;New York
Carter Joseph H Inc;33 Fulton Street;New York
Caruso's;162 West 34th Street;New York
Caruso's Pizza;42 Broadway;New York
Caruso's Pizza;204 Broadway Frnt;New York
Carusso Pizza I;1 Penn Plz;New York
Casa Bella Restaurant;127 Mulberry Street;
Casa Di Meglio;235 W 48th St;New York
Casa Di Pre Restrnt;283 West 12;New York
Casa La Femme;150 Wooster St # 1;New York
Casa MIA;225 East 24th Street;New York
Casa Mexicana Nyc;133 Ludlow Street;New York
Casa Pacifico;4247 Broadway;New York
Casa Restaurant;72 Bedford Street;New York
Casa Victoria Cafe;271 Bleecker St;New York
Casa de Los Tacos Restaurant;2277 1st Avenue;New York
Casabianca Pizzeria;503 West 57th Street Frnt;New York
Casablanca Cafe;235 East 53rd Street;New York
CasablancaTea Room;164 Mercer;New York
Casanis;81 Ludlow;New York
Casanova Pizzeria Restaurant;664 9th Avenue;New York
Casaville;(212) 685-8558;
Casaville;633 2nd Avenue;New York
Casbah Rouge;2841 Broadway;New York
Cascina;647 9th Ave;New York
Cascina Downtown;281 Bleecker St;New York
Casimir Restaurant;103 Avenue B;
Casserola Cafe Restaurant Inc;944 Columbus Avenue;New York
Cassina USA Inc;155 East 56th Street Ph;New York
Cassis On Stone;52 Stone Street;New York
Cast Iron Cafe;641 Avenue Of The Americ;New York
Castellano Restaurant;138 West 55th Street;New York
Castillo de Jagua Restaurant;125 Avenue D Frnt;New York
Castle Village Owners Corporation;120 Cabrini Boulevard;New York
Catania Imports;105 Mulberry Street;New York
Caterina's Restaurant;316 East 53rd Street Frnt;New York
Caterinas Restaurant Corp;213 E 38th St # 1;New York
Cathy's MKT;790 Lexington Avenue Frnt;New York
Catwalk Bar & Cafe;2 West 35th Street;New York
Cavaliere;192 3rd Avenue;New York
Cavatappo Wine Bar;1728 2 Av;New York
Cazuelas Restaurant;559 Hudson St;New York
Cbb Restaurant;314 W 36th St;New York
Cbr Restaurant Inc;244 E 53rd St;New York
Ceasar's Falafel;32 Saint Marks Place;New York
Ceasars Pizza;861 Broadway;New York
Cecil's Restaurant;304 East 42nd Street;New York
Cedar Tavern;82 University Place;New York
Cedar Tavern;82 University Pl;New York
Cedars Of Lebanon;8 W 38th St;New York
Celebrity Delicatessen;700 8th Avenue;New York
Celeste Restaurant;502 Amsterdam Av;
Cellini;65 E 54th St;New York
Cendrillon;45 Mercer Street Frnt;New York
Cent'Anni Restaurant;50 Carmine St;New York
Centolire;1167 Madison Ave;New York
Central Bar;109 East 9th Street Frnt;New York
Central Buffet Inc;195 Centre Street;New York
Central Fish Market;527 9th Avenue;New York
Central Harlem Deli Grocery;187 West 135th Street;New York
Central Market;52 Vanderbilt Avenue;New York
Central Market;202 West 34th Street;New York
Central Market;30 Rockefeller Plaza;New York
Central Market Grill;412 Lexington Avenue;New York
Central Park Cafe;760 Columbus Ave;New York
Central Park Super Deli;50 West 72nd Street Apt 812;New York
Central Tavern;101 West Street;New York
Centre Seafood Inc;206 Centre Street;New York
Ceramies Corporation;145 East 60th Street Frnt;New York
Cercle Rouge;241 West Broadway;New York
Cerutti & Miller;40 West 17th Street;New York
Cesar Place;1229 Saint Nicholas Avenue;New York
Cesca;164 West 75;New York
Cestbon Deli;17 W 20th St # 1;New York
Cevicheria Grove Inc;100 7 Av;New York
Cfn Of New York Inc;370 Lexington Ave # 11;New York
Cha Kuan Restaurant;34 E 8th St;New York
Cham Dubu;55 West 35;New York
Chambord Deli;1377 Avenue Of The Americ;New York
Champ Gourmet Croissant Shop;30 Broad Street;New York
Champagnes;20 W 55th St # 1;New York
Champions Sports Bar;525 Lexington Avenue;New York
Champs Gourmet Deli;71 Broadway;New York
Chan's Kitchen;4421 Broadway;New York
