restaurant;neighborhood
Ess-a-Bagel;Midtown East
Ess-a-Bagel;Flatiron/U. Sq.
Essen West Inc;Upper W. Side
Est Est Est;W. Village
Estia Greek Restaurant;Upper E. Side
Estiatorio Milos;Midtown West
Estihana;Upper W. Side
Estoril Sol Restaurant;Midtown West
Etats-Unis;Upper E. Side
Etcetera Etcetera;Midtown West
Eureka Luncheonette;TriBeCa/SoHo
Euzkadi;E. Village
Eva's Restaurant Corp;W. Village
Evergreen Coffee Shop Rstrnt;Midtown West
Evergreen Shanghai;Murray Hill
Excellent Dumpling House;TriBeCa/SoHo
Extra Virgin;W. Village
F&B;Chelsea
F.Illi Ponte;TriBeCa/SoHo
Fa Choy Inc;E. Village
Factory Cafe;W. Village
Fagiolini Restaurant Inc;Murray Hill
Falafel Express;Harlem
Falafel House;Upper E. Side
Falafel Hudson Restaurant;W. Village
Falai;Lower E. Side
Falai Panetteria;Lower E. Side
Family Garden Restaurant;Flatiron/U. Sq.
Famous Original Ray's Pizza;Upper W. Side
Famous Original Ray's Pizza;Upper E. Side
Famous Ray's Pizza-greenwich;W. Village
Fanelli's;TriBeCa/SoHo
Fantasia;Lower Manhattan
Fantastic;Harlem
Fast Wok;Chelsea
Fat Ming Restaurant;Upper W. Side
Fatty Crab;W. Village
Favia Lite Cafe;Upper E. Side
Federico's;Upper W. Side
Felidia;Midtown East
Felix;TriBeCa/SoHo
Feng Shui;Midtown East
Ferrara Pastries;Chinatown
Fiamma (CLOSED);TriBeCa/SoHo
Fiddlers Green;Midtown West
Figaro Pizza;Midtown West
Figaro Pizzeria & Bar;Midtown West
Filli Pointe Ristorante;TriBeCa/SoHo
Film Center Cafe;Midtown West
Fine & Schapiro;Upper W. Side
Fino Restaurant;Murray Hill
Fiona's Bar & Restaurant;Upper E. Side
Fiori;Murray Hill
Firebird;Midtown West
Firenze Ristorante;Upper E. Side
First Ave. Pierogi and Deli Co.;E. Village
First Avenue Coffee Shop;Upper E. Side
First Avenue Pub;Flatiron/U. Sq.
First Punjabi Dhabha Inc;Chelsea
First Taste;Chinatown
First Wok;Upper E. Side
Fish;W. Village
Fitzer's;Midtown East
Fitzgerald Edibles;Midtown West
Five Luck Restaurant;Upper E. Side
Five Points;E. Village
Flea Market Cafe;E. Village
Fleur de Sel;Flatiron/U. Sq.
Fleur de Sel (CLOSED);Flatiron/U. Sq.
Fleur de Sel (CLOSING FEBRUARY 2009);Flatiron/U. Sq.
Flor De Sol;TriBeCa/SoHo
Flor de Mayo;Upper W. Side
Flor's Kitchen;E. Village
Florida Fried Chicken;Harlem
Floridita Restaurant Inc;Harlem
Florio's Pizzeria & Restaurant;Chinatown
Flute;Midtown West
Flying Burrito Brothers;W. Village
Focacceria;W. Village
Focaccia Fiorentina;Midtown East
Foley's Fish House;Midtown West
Food King Chinese Restaurant;Harlem
Forlini's Restaurant;Chinatown
Foro-italico Restaurant;Chelsea
Four Seasons;Midtown East
Four Winds Japanese Restaurant;Midtown East
France Croissant Ltd;Midtown West
Franchia;Murray Hill
Francisco's Centro Vasco;Chelsea
Frank;E. Village
Frankie & Johnnie's;Midtown West
Frankie & Johnnie's Steakhouse;Midtown West
Franklin Station Cafe;TriBeCa/SoHo
Franks Papaya Inc;Lower Manhattan
Franks Trattoria;Flatiron/U. Sq.
Fratelli Ristorante;Chinatown
Fraunces Tavern;Lower Manhattan
Fred's At Barneys NY;Upper E. Side
Fred's Restaurant;Upper W. Side
Freddie & Pepper's;Upper W. Side
Frederick's Madison;Upper E. Side
Freemans;Lower E. Side
French Roast;W. Village
Fresco Tortilla;Chelsea
Fresco Tortilla;Flatiron/U. Sq.
Fresco Tortillas;Midtown West
Fresco by Scotto Restaurant;Midtown East
Fresh;TriBeCa/SoHo
Fresh & Fat Tortillas;E. Village
Fresh Tortillas;E. Village
Fresh Tortillas;Upper E. Side
Fresh Tortillas Express;W. Village
Friar's Coffee Shop;Midtown East
Fried Dumplings;Lower E. Side
Friend of a Farmer;Flatiron/U. Sq.
Frutti di Mare;E. Village
Fu Wah Restaurants;Upper W. Side
Fuji Restaurant;Midtown West
Fujii;W. Village
Fujiyama-mama Restaurant;Upper W. Side
Fuleen Seafood Restaurant;Chinatown
Fumei;Harlem
GRANVILLE RESTAURANT & LOUNGE;Flatiron/U. Sq.
Gabriel's Bar And Restaurant;Upper W. Side
Gabriela's;Upper W. Side
Gaby;Midtown West
Galaxy;Flatiron/U. Sq.
Galaxy Cafe;Chelsea
Galaxy Cafe;Midtown West
Galaxy Deli Restaurant;Upper W. Side
Galicia;W. Village
Galil Restaurant Inc;Upper E. Side
Gallagher's Steak House;Midtown West
Gam Mee Oak;Midtown West
Gandhi Restaurant Inc;E. Village
Garage Restaurant and Cafe;W. Village
Garden Cafe;Midtown East
Garden Court Cafe at the Asia Society;Upper E. Side
Garden Tavern Restaurant;Midtown West
Gardenia Restaurant;Upper E. Side
Gari;Upper W. Side
Garlic Bob's Brick Oven Pizza;Upper W. Side
Garlic Bob's Pizza Bar;Upper E. Side
Gascogne;Chelsea
Gavroche;Chelsea
Geba Pavilion;Murray Hill
Gee Whiz Restaurant;Lower Manhattan
Geisha;Upper E. Side
Gemini Restaurant;Murray Hill
Gene's;W. Village
Gene's Coffee Shop;Midtown East
Genia Deli Coffee Shop Inc;TriBeCa/SoHo
Gennaro;Upper W. Side
George O'Neill's;Midtown East
Ghandi Cafe;W. Village
Ghenet;TriBeCa/SoHo
Ghion Ethiopian Restaurant;Upper W. Side
Giambelli;Midtown East
Giambone Restaurant Inc;Chinatown
Giggles Restaurant;Midtown West
Gigino;TriBeCa/SoHo
Gilt;Midtown East
Ginga Chinese Restaurant;Chelsea
Ginger;Harlem
Ginger House;Chelsea
Gingertoon;W. Village
Gino;Upper E. Side
Gino's Village Pizza;Lower Manhattan
Giorgione;TriBeCa/SoHo
Giorgione 508;TriBeCa/SoHo
Giovanni;Midtown West
Giovanni Venti Cinque;Upper E. Side
Giovanni's Atrium;Lower Manhattan
Girasole;Upper E. Side
Gobo;Upper E. Side
Gobo;W. Village
Gold Dish;Upper E. Side
Gold Vin Cafe;Lower Manhattan
Golden Chopstick Chinese Rstnt;Lower Manhattan
Golden Garden;E. Village
Golden Unicorn;Lower Manhattan
Golden Wok;Upper E. Side
Gonzalez Y Gonzalez;E. Village
Gonzo;W. Village
Good Enough To Eat;Upper W. Side
Good Noodle Shop;Murray Hill
Good World Bar and Grill;Lower E. Side
Good and Plenty to Go;Midtown West
Goodburger;Midtown East
Goodies;Lower Manhattan
Gordon Ramsay at the London;Midtown West
Gotham Bar & Grill;E. Village
Gourmet Taste;Upper E. Side
Gourmet Wok;Midtown West
Grace;TriBeCa/SoHo
Grace's Trattoria;Upper E. Side
Gracie Mews Restaurant Corp;Upper E. Side
Gracies Corner Restaurant;Upper E. Side
Gradisca;W. Village
Gramercy Restaurant;Flatiron/U. Sq.
Gramercy Tavern;Flatiron/U. Sq.
Grand Saloon;Flatiron/U. Sq.
Grand Sichuan;Chinatown
Grand Sichuan Eastern;Midtown East
Grand Sichuan International;Chelsea
Grand Sichuan St. Marks;E. Village
Grano Trattoria;W. Village
Gray's Papaya;Upper W. Side
Gray's Papaya;W. Village
Great American Health Bar;Midtown West
Great American Health Bar;Midtown East
Great Burrito;Upper W. Side
Great India Restaurant;Upper E. Side
Great Jones Cafe;E. Village
Great Steak & Fry;Midtown West
Greek Corner;Chelsea
Green Garden Chinese;Murray Hill
Green Kitchen Restaurant;Upper E. Side
Green Table;Chelsea
Greenwich Cafe;W. Village
Greenwich Market;TriBeCa/SoHo
Grey Dog's Coffee;W. Village
Grifone;Midtown East
Grill 53;Midtown West
Grove St. Brasserie;W. Village
Gulshan Restaurant;E. Village
Gusto Ristorante e Bar Americano;W. Village
HSF (CLOSED);Chinatown
Hacienda de Argentina;Upper E. Side
Haikara Grill;Midtown East
Hakata Grill;Midtown West
Halal Indo Pak Restaurant;Upper E. Side
Half King;Chelsea
Hallo Berlin;Midtown West
Hamachi;Flatiron/U. Sq.
Hamaya;Midtown East
Hampton Chutney Company;TriBeCa/SoHo
Han Bat;Midtown West
Hanami Restaurant;Midtown East
Hang Cheng Restaurant;Harlem
Hangawi;Murray Hill
Hanratty's Restaurant;Harlem
Happy Burger Ii Inc;Upper W. Side
Happy Garden Chinese Restrnt;Harlem
Happy Wok Restaurant;Lower E. Side
Harbour Lights;Lower Manhattan
Hard Rock Cafe;Midtown West
Harlem Fried Chicken;Harlem
Harlem Tea Room;Harlem
Harmony Palace Restaurant;Chinatown
Harries Cafe;Midtown West
Harriets Kitchen;Upper W. Side
Harry Cipriani;Midtown West
Harry's Burrito Junction;Upper W. Side
Harry's Burritos;W. Village
Harry's Cafe and Steak;Lower Manhattan
Haru;Midtown West
Haru;Upper E. Side
Haru Restaurant;Upper W. Side
Hasaki Restaurant;E. Village
Hasta La Pasta Restaurant;W. Village
Hatsuhana;Midtown East
Hatsune Inc;Upper E. Side
Havana Central;Midtown West
Havana Central;Flatiron/U. Sq.
Havana Chelsea;Chelsea
Havana NY;Midtown West
Haveli Restaurant;E. Village
Health Exchange;Lower Manhattan
Health Stop;Midtown East
Healthy Bagel & Things Inc;Upper E. Side
Heartbeat;Midtown West
Hearth;E. Village
Hedeh;E. Village
Heidelberg;Upper E. Side
Helianthus Inc;TriBeCa/SoHo
Hell's Kitchen;Midtown West
Henry's;Upper W. Side
Hero Boy Restaurant & Catering;Midtown West
Heroes Plus;Midtown West
Highline;W. Village
Ho Yip Restaurant;Lower Manhattan
Hog Pit;W. Village
Hollywood Coffee Shop;Chelsea
Holy Basil;E. Village
Home;W. Village
Honey Bee Cafe;Midtown West
Hong Kong Kitchen;E. Village
Hong Kong Noodle Inc;Chelsea
Hoomoos Asli;TriBeCa/SoHo
Hooters;Midtown West
Horizon Diner;E. Village
Horng Bin Won Restaurant;Midtown West
Hosteria Fiorella Italian;Upper E. Side
Houlans;Midtown West
Hourglass Tavern;Midtown West
Houston's;Midtown East
Huan's Restaurant;Upper W. Side
Hudson Beach Cafe;Upper W. Side
Hudson Cafeteria;Midtown West
Hudson Caterers Cafe;TriBeCa/SoHo
Hudson Place Restaurant & Bar;Murray Hill
Hummus Place;W. Village
Hunan Balcony Gourmet;Upper E. Side
Hunan Chef;Midtown West
Hunan Cottage;Upper W. Side
Hunan Delight;Upper E. Side
Hunan K Restaurant;Upper E. Side
Hunan Lake Restaurant;Flatiron/U. Sq.
Hunan Park Ii;Upper W. Side
Hunan Park Restaurant;Upper W. Side
Hunan Royal;Lower Manhattan
Hunan Wok;Flatiron/U. Sq.
Hurricane Island;Upper E. Side
Huxley's Cafe;Midtown West
I;TriBeCa/SoHo
I Coppi;E. Village
I Tre Merli;TriBeCa/SoHo
I Trulli;Murray Hill
Icon;Murray Hill
Ideya;TriBeCa/SoHo
Ikeno Hana;Upper E. Side
Il Bagatto;E. Village
Il Bastardo;Chelsea
Il Brunello Ristorante;Midtown West
Il Buco;E. Village
Il Campanello Restorante;Midtown West
Il Cantinori;E. Village
Il Corallo;TriBeCa/SoHo
Il Cortile;Chinatown
Il Foro Ristorante-bar;Upper E. Side
Il Gattopardo;Midtown West
Il Gelatone;Murray Hill
Il Giglio;TriBeCa/SoHo
Il Menestrello;Midtown East
Il Monello Restaurant;Upper E. Side
Il Mulino;W. Village
Il Nido;Midtown East
Il Palazzo;Chinatown
Il Pellicano;Midtown East
Il Postino;Midtown West
Il Posto Accanto;E. Village
Il Riccio;Upper E. Side
Il Tinello Ristorante;Midtown West
Il Vagabondo Restaurant;Midtown East
Il Valentino;Midtown East
Il Violino;Upper W. Side
Il-bocconcino Italian Rstrnt;W. Village
Il-postino Inc;Midtown East
Ilmattone Corp;TriBeCa/SoHo
Imperial China;Lower Manhattan
Imperial Dragon Restaurant;Midtown West
Imperial Pizza I;Murray Hill
In Padella;E. Village
Inagiku;Midtown East
India Garden Restaurant;Upper W. Side
India Pavilion Restaurant;W. Village
India Valley;Upper E. Side
India Village;E. Village
Indian Delhi;Upper W. Side
Indian Oven;Upper W. Side
Indian Tandoor-oven Restaurant;Upper E. Side
Indochine;E. Village
Insieme;Midtown West
Intermezzo;Chelsea
International Cafe;Midtown East
Ipanema;Midtown West
Ipoh Garden;Chinatown
Irish Punt;Lower Manhattan
Iroha Japanese Restaurant;Midtown West
Isabella's Restaurant;Upper W. Side
Isadora's 53;Midtown East
Isadoras Cafe;Midtown East
Island;Upper E. Side
Island Burgers & Shakes;Midtown West
Island Spice;Midtown West
Isle of Capri;Upper E. Side
Iso Restaurant;E. Village
Istana;Midtown East
Istana;TriBeCa/SoHo
It's a Dominican Thing;Chelsea
Ithaka;Upper E. Side
Itzocan Bistro;Upper E. Side
Ivy Bistro;TriBeCa/SoHo
Ivy's Cafe;Upper W. Side
J P Lofland's Ny Grill;Flatiron/U. Sq.
J R Restaurant;Midtown West
J. Sung Dynasty;Midtown East
J.G. Melon;Upper E. Side
Jack & Jill Coffee Shop;W. Village
Jack Dempsey's Public House;E. Village
Jack's Luxury Oyster Bar;E. Village
Jackson Hole;Upper E. Side
Jackson Hole;Murray Hill
Jackson Hole Hamburgers;Upper W. Side
Jacques's Bistro;Upper E. Side
Jade Kitchen;E. Village
Jade Mountain Restaurant;E. Village
Jaiya;Murray Hill
James Bistro;Chelsea
Jane;W. Village
Japonais;Flatiron/U. Sq.
Japonica;E. Village
Jarnac;W. Village
Jasmine Persian Cuisine;Murray Hill
Java Shop;Midtown West
Javier;W. Village
Jb's;Chelsea
Jean Claude;TriBeCa/SoHo
Jean Georges;Upper W. Side
Jekyll & Hyde Club;Midtown West
Jennifers Restaurant;Midtown West
Jerusalem Restaurant;Upper W. Side
Jewel Bako;E. Village
Jewel of India;Midtown West
Jim Brady's Restaurant;Lower Manhattan
Jimbo's Coffee Shop;Harlem
Jimbos Hamburger Place;Midtown East
Jimmy Armstrong's Saloon;Midtown West
Jimmy Walkers Restaurant;Midtown East
Jin Dal Lae;Upper W. Side
Jing Fong;Chinatown
Jo Jo;Upper E. Side
Joanna's;Upper E. Side
Joe Allen;Midtown West
Joe Broadway Steak House;Midtown West
Joe Eureka Restaurant;Flatiron/U. Sq.
Joe Franklin's Memory Lane;Midtown West
Joe Jr;W. Village
Joe Mayo's Pub;Flatiron/U. Sq.
Joe's Ginger;Chinatown
Joe's Pizza;W. Village
Joe's Shanghai;Midtown West
Joe's Shanghai;Chinatown
Joes Pizza;W. Village
Joey's Paesano;Chinatown
John Barry's;Midtown West
John Shanghai Restaurant Inc;Midtown West
John's Gyro & Souvlaki;Midtown West
John's Pizzeria;Midtown West
John's Pizzeria;W. Village
John's Pizzeria;Upper E. Side
John's Restaurant;Midtown East
John's of 12th Street;E. Village
Johnney's Fish Grill Inc;Lower Manhattan
Johnnies Italian Restaurant;Midtown West
Johnny Tejano's;Upper E. Side
Joseph's;Lower Manhattan
Josephina Restaurant;Upper W. Side
Josephs;Midtown West
Josephs Kosher Cafe;Upper W. Side
Josie's;Upper W. Side
Joy Luck;E. Village
Joy Of India;Murray Hill
Jubilee;Midtown East
Jules;E. Village
Julian's Mediterranean Cuisine;Midtown West
Julius Restaurant;W. Village
Jun Yung Restaurant;Midtown West
Junior's;Midtown East
K & K Restaurant;E. Village
K Dee's;Murray Hill
KPNY;W. Village
Kai;Upper E. Side
Kaiking Restaurant;Upper E. Side
Kalustyan's;Murray Hill
Kam Chueh Restaurant Inc (CLOSED);Chinatown
Kam Hong Garden;Midtown West
Kam-wei Kitchen;Midtown West
Kan Pai;Flatiron/U. Sq.
Kana;TriBeCa/SoHo
Kang Suh Restaurant;Midtown West
Kar Restautant;Lower Manhattan
Karahi;TriBeCa/SoHo
Karavas Place;W. Village
Kasadela;E. Village
Kashiwa Japanese Restaurant;Chelsea
Kashkaval;Midtown West
Kashmir;Midtown West
Katch;Upper E. Side
Kate Kearney's Inc;Midtown East
Katen;Midtown West
Katsu-Hama;Midtown East
Katz's Deli;Lower E. Side
Katz's Delicatessen;Lower Manhattan
Kava Lounge;W. Village
Keats Restaurant;Midtown East
Keens Steakhouse;Midtown West
Kefi;Upper W. Side
Kelley & Ping;TriBeCa/SoHo
Kelley and Ping Gramercy;Murray Hill
Kennedy Fried Chicken Inc;Upper W. Side
Kennedy's Restaurant;Midtown West
Kenny Roger's Roasters;Upper W. Side
Kensu Inc;Midtown West
Key West Diner & Cafe;Upper W. Side
Kfc;Upper W. Side
Khondoker Luncheonette;Chinatown
Khyber Kabob House Inc;Chelsea
Khyber Pass;E. Village
Kikyoya;Murray Hill
Killarney Rose;Lower Manhattan
Kim Hua Chinese Restaurant;Chelsea
Kin Khao;TriBeCa/SoHo
Kin Yip Restaurant Inc;Murray Hill
King Express Restaurant;W. Village
King Food Restaurant Inc;Upper W. Side
King Hudson Restaurant Inc;TriBeCa/SoHo
King's Carriage House;Upper E. Side
Kinsale Restaurant;Upper E. Side
Kiraku;Midtown East
Kishi Japanese Restaurant;Midtown West
Kitaro Inc;Upper E. Side
Kitchen Club;TriBeCa/SoHo
Kitchen/Market;Chelsea
Kitchenette;TriBeCa/SoHo
Kitsch;Upper E. Side
Kittichai;TriBeCa/SoHo
Kloe;W. Village
Knickerbocker Bar & Grill;E. Village
Kodama Japanese Restaurant;Midtown West
Kohinoor Indian Cuisine;E. Village
Koi;Midtown West
Komodo;E. Village
Kong Kee Food;Chinatown
Korea Palace;Midtown East
Kori;TriBeCa/SoHo
Kosher Delight;Midtown West
Kosher Delight Inc;Midtown West
Koyote Kate's;Midtown West
Kraft Restaurant;Midtown West
Krik Krak;Upper W. Side
Krispy Kreme;Midtown West
Krispy Kreme;Upper W. Side
Krispy Kreme;Chelsea
Krour Thai Restaurant;Chelsea
Kum Gang San;Midtown West
Kuma Inn;Lower E. Side
Kumquat;E. Village
Kun Paw Thai;W. Village
Kura Sushi Japanese Restaurant;E. Village
Kuruma Zushi Restaurant;Midtown West
Kwong Pek Garden;TriBeCa/SoHo
Kyma;Midtown West
L A Cafe;Flatiron/U. Sq.
L'Absinthe;Upper E. Side
L'Atelier de Joël Robuchon;Midtown East
L'Ecole;TriBeCa/SoHo
L'Express;Flatiron/U. Sq.
L'Impero;Midtown East
L'Orange Bleue;TriBeCa/SoHo
L'Oursin;Lower Manhattan
L'Ulivo Focacceria;TriBeCa/SoHo
L'asso;TriBeCa/SoHo
L'oro Di Napoli;W. Village
LX;Upper E. Side
La Balconata Restaurant;E. Village
La Belle Epoque;E. Village
La Belle Vie;Chelsea
La Boite en Boise;Upper W. Side
La Bonne Soup;Midtown West
La Borsa Di Roma Restaurant;Lower Manhattan
La Bottega;Chelsea
La Boulangere;Flatiron/U. Sq.
La Boulangere;TriBeCa/SoHo
La Cantina;W. Village
La Caridad 78;Upper W. Side
La Caridad Restaurant;Upper W. Side
La Chandelle Cafe;Upper W. Side
La Chinita Linda Restaurant;Chelsea
La Cocina;Midtown West
La Conquita;TriBeCa/SoHo
La Corniche;Upper E. Side
La Crepe de Bretagne;Midtown West
La Dolce Vita Ristorante;W. Village
La Esquina;TriBeCa/SoHo
La Fenice;Upper W. Side
La Focaccia;W. Village
La Foccaceria;E. Village
La Fonda Boricua;Harlem
La Giara;Murray Hill
La Gioconda;Midtown East
La Goulue;Upper E. Side
La Goulue (CLOSING APRIL 2009);Upper E. Side
La Granita;Upper E. Side
La Grenouille;Midtown West
La Griglia;Flatiron/U. Sq.
La Grolla;Upper W. Side
La Jumelle Inc;TriBeCa/SoHo
La Lanterna di Vittorio;W. Village
La Laterna di Vittorio;W. Village
La Linea;E. Village
La Luncheonette;Chelsea
La Maganette Restaurant;Midtown East
La Maison Du Chocolat;Midtown East
La Maison Japonaise;Murray Hill
La Mangeoire;Midtown East
La Masseria;Midtown West
La Mediterran‚e;Upper E. Side
La Mela Ristorante;Chinatown
La Mia Pizza;Chelsea
La Nacional;Chelsea
La Nueva Rampa Inc;W. Village
La Paella;E. Village
La Palapa;E. Village
La Palapa Rockola;W. Village
La Paloma Burritos;Midtown West
La Parisienne Coffee House;Midtown West
La Petite Auberge;Murray Hill
La Pizza Fresca;Flatiron/U. Sq.
La Prima Donna;Midtown West
La Ripaille;W. Village
La Rivista;Midtown West
La Rocca;Murray Hill
La Rosita;Upper W. Side
La Stanza Verde;Midtown West
La Strada;Midtown West
La Strada Downtown;E. Village
La Taza de Oro;Chelsea
La Truffe Du Perigord;Midtown East
La Vela;Upper W. Side
La Veranda West;Midtown West
La Villa;Midtown West
La Vineria;Midtown West
Lady Mendl's Tea Parlour;Flatiron/U. Sq.
Lafayette Grill & Bar;TriBeCa/SoHo
Lahore Deli;TriBeCa/SoHo
Lamarca;Flatiron/U. Sq.
Lan;E. Village
Lancer's;Midtown East
Land Thai Kitchen;Upper W. Side
Landmarc;TriBeCa/SoHo
Landmark Cafe & Restaurant;Chinatown
Landmark Tavern;Midtown West
Langan's Bar & Restaurant;Midtown West
Lanza;E. Village
Laredo Grille;Midtown East
Larry Forgione's Signature Cafe;Midtown West
Las Ramblas;W. Village
Lasagna Restaurant;Midtown East
Latin America Cafe;Harlem
Lattanzi Ristorante;Midtown West
Lavagna;E. Village
Le Bateau Ivre;Midtown East
Le Beaujolais;Midtown West
Le Bernardin;Midtown West
Le Biarritz Restaurant;Midtown West
Le Bilboquet;Upper E. Side
Le Bistrot de Maxim's;Midtown East
Le Boeuf A La Mode;Upper E. Side
Le Cafe;Midtown West
Le Charlog;Upper E. Side
Le Cirque;Midtown East
Le Clown;Upper E. Side
Le Colonial;Midtown East
Le Croissant;Midtown West
Le Croissant;Murray Hill
Le Figaro Cafe;W. Village
Le Frite Kot;W. Village
Le Gigot;W. Village
Le Jardin Bistro;TriBeCa/SoHo
Le Marais;Midtown West
Le Monde;Upper W. Side
Le Pain Quotidien;Upper E. Side
Le Pere Pinard;Lower E. Side
Le Perigord;Midtown East
Le Poeme Bakeries;TriBeCa/SoHo
Le Refuge;Upper E. Side
Le Rivage;Midtown West
Le Singe Vert;Chelsea
Le Souk;E. Village
Le Streghe;TriBeCa/SoHo
Le Totof Bistro;Murray Hill
Le Train Blue Restaurant;Midtown East
Le Tre Venezie Restaurant;Midtown West
Le Veau d'Or;Midtown East
Le Zie;Chelsea
Lea;Midtown East
Lederhosen;W. Village
Lemon Lime Restaurant;Chelsea
Lemon Restaurant;Flatiron/U. Sq.
Lemongrass Grill;W. Village
Lemongrass Grill;Upper W. Side
Lemongrass Grill;E. Village
Lenge 83 Restaurant;Upper E. Side
Lenge Japanese Restaurant;Upper W. Side
Lenox Hill Grill;Upper E. Side
Lenox Room;Upper E. Side
Lentini;Upper E. Side
Les Deux Lapins;E. Village
Les Friandises East;Upper E. Side
Les Halles;Murray Hill
Les Halles Downtown;Lower Manhattan
Les Sans Culottes;Midtown West
Les Sans Culottes West;Midtown West
Les Sans-culottes Restaurant;Midtown East
Lespyrenes;Midtown West
Levana;Upper W. Side
Lever House Restaurant;Midtown East
Lexington Avenue Grill;Midtown East
Lexington Restaurant;Harlem
Lexington Rib Company;Upper E. Side
Li Hua;Chinatown
Liberta Restaurant;Upper E. Side
Life Cafe;E. Village
Light Bar and Restaurant;E. Village
Light De Light;Upper W. Side
Lil' Frankie's Pizza;E. Village
Lima's Taste;W. Village
Lin's Chinese;Flatiron/U. Sq.
Lin's Dumpling House;Chinatown
Lincoln Fried Chicken;Upper W. Side
Lincoln Park Grill;Midtown West
Lindy's;Midtown West
Lisca;Upper W. Side
Little Dove;Midtown East
Little Giant;Lower E. Side
Little Havana;W. Village
Little Italy Pizza;Midtown West
Little Pie Company;Midtown East
Little Saigon;Midtown West
Little Tokyo;Midtown West
Live Bait;Flatiron/U. Sq.
Lizards Tortilla;TriBeCa/SoHo
Lobster Club;Upper E. Side
Lobster Place;Chelsea
Loft;Upper W. Side
Lola;Flatiron/U. Sq.
Lombardi's;TriBeCa/SoHo
Long Fat Corp;Flatiron/U. Sq.
Long Shine Restaurant;Lower Manhattan
Lord's Coffee Shop;Midtown East
Loreley;Lower E. Side
Lorenzo and Maria's Kitchen;Upper E. Side
Los Dos Molinos;Flatiron/U. Sq.
Lotus;W. Village
Lotus Eaters;Flatiron/U. Sq.
Lou's Cafe Inc;Midtown West
Lowe's Caribbean Restaurant;Harlem
Lowla Bowla;Flatiron/U. Sq.
Luahn;W. Village
Luca;Upper E. Side
Luca Lounge;E. Village
Lucien;E. Village
Lucky Cheng's;E. Village
Lucky Land Chinese Restaurant;TriBeCa/SoHo
Lucky Strike;TriBeCa/SoHo
Lucy of Gramercy;Flatiron/U. Sq.
Luke's Bar and Grill;Upper E. Side
Lumi;Upper E. Side
Luna's Restaurant;Chinatown
Lunch;TriBeCa/SoHo
Lunch Boy Inc;Midtown West
Lung Sheng Restaurant;Upper W. Side
Lupa;W. Village
Lupe's East La Kitchen;TriBeCa/SoHo
Lure;Upper E. Side
Lure Fishbar;TriBeCa/SoHo
Lusardi's;Upper E. Side
Luzia's;Upper W. Side
Lyn's Cafe;Midtown West
Lyric Diner;Flatiron/U. Sq.
M & R Bar - Dining Room;TriBeCa/SoHo
Ma's Food;TriBeCa/SoHo
Mac Dougal's Restaurant;W. Village
Macelleria;W. Village
Mad 28;Flatiron/U. Sq.
Madison Avenue Burger Corp;Upper E. Side
Madison Avenue Cafe;Upper E. Side
Madison Bistro;Murray Hill
Madras Cafe;E. Village
Madras Mahal Restaurant;Murray Hill
Maggie's Place;Midtown East
Mai House;TriBeCa/SoHo
Maison;Midtown West
Maison;Upper E. Side
Majestic Pizza Corp;Lower Manhattan
Makita Restaurant;Midtown East
Malachy's Donegal Inn;Upper W. Side
Malaga;Upper E. Side
Malatesta Trattoria;W. Village
Malaysia & Indonesia;Chinatown
Malaysia Restaurant Inc;Chinatown
Malevo;E. Village
Malika Indian;Midtown West
Maloney & Porcelli;Midtown East
Mama Mexico;Upper W. Side
Mama's Famous Restaurant;Upper W. Side
Mama's Food Shop;E. Village
Mama's Fresh Tortillas;Midtown West
Mamlouk;E. Village
Man Hoi Chan Restaurant;Flatiron/U. Sq.
Mana;Upper W. Side
Manatus Restaurant;W. Village
Mancora;E. Village
Mandarin Court;Chinatown
Mandoo;E. Village
Mandoo Bar;Midtown West
Manganaro;Midtown West
Mangez Avec Moi;TriBeCa/SoHo
Mangia;Midtown West
Mangia;Midtown East
Mangia;Lower Manhattan
Mangia e Bevi;Midtown West
Mangiarini;Upper E. Side
Manhattan Bistro Inc;TriBeCa/SoHo
Manhattan Chili Co.;Midtown West
Manhattan Heroes Corp;Chelsea
Manhattan Indian Restaurant;Upper W. Side
Manila Gardens Restaurant;E. Village
Mannas;Harlem
Mansion Restaurant;Upper E. Side
Mao Mao Restaurant;TriBeCa/SoHo
Maple Garden Duckhouse Rstrnt;Midtown East
Mappamondo;W. Village
Mappamondo Due;W. Village
Marbo;Midtown East
March;Midtown East
Marchi;Murray Hill
Marco Polo Cafe;Flatiron/U. Sq.
Margon;Midtown West
Mariella Pizza;Flatiron/U. Sq.
Marinella;W. Village
Mario's Seafood;Murray Hill
Marion's Continental;E. Village
MarkJoseph Steakhouse;Lower Manhattan
Market;TriBeCa/SoHo
Market Cafe;Midtown West
Market Diner;Midtown West
Markt;Chelsea
Marlowe Restaurant;Midtown West
Maroons;Chelsea
Maroons (CLOSED);Chelsea
Marseille;Midtown West
Martell's Restaurant;Upper E. Side
Martha Frances Mississippi Cheesecakes;Upper E. Side
Maru Sushi;Murray Hill
Marumi;W. Village
Mary Ann's;E. Village
Mary Ann's;Chelsea
Mary's;W. Village
Mary's Fish Camp;W. Village
Maryum Kitchen;Upper E. Side
Mas;W. Village
Masa;Upper W. Side
Masa's;Midtown East
Masala Bollywood;Murray Hill
Masala Restaurant & Bar;Flatiron/U. Sq.
Massawa;Upper W. Side
Massimo Al Ponte Vecchio;W. Village
