restaurant;address;country;addressGoogle
Dean's;215 West 85th Street;New York, NY, 10024;215 W 85th St
Death & Company;433 East 6th Street;New York, NY, 10009;433 E 6th St
Deborah;43 Carmine Street;New York, NY, 10014;43 Carmine St
Degrezia;231 East 50th Street;New York, NY, 10022;231 E 50th St
Degustation;239 East 5th Street;New York, NY, 10003;239 E 5th St
Dekk;241 Church Street;New York, NY, 10013;241 Church St
Dekk;134 Reade Street;New York, NY, 10013;134 Reade St
Del Frisco's;1221 5th Avenue;New York, NY, 10020;1221 5th Ave
Del Posto;85 10th Avenue;New York, NY, 10011;US-NYC-8510
Delectica Catering;564 3rd Avenue;New York, NY, 10016;564 3rd Ave
Delegates' Diner;United Nations, 4th fl.;New York, NY, 10017;United Nations, 4th fl.
Deli on Madison;420 Madison Avenue;New York, NY, 10017;420 Madison Ave
Delicia;322 West 11th Street;New York, NY, 10014;322 W 11th St
Delivery Com;110 East 59th Street;New York, NY, 10022;110 E 59th St
Delizia Pizzeria Restaurant;1374 1ST Avenue;New York, NY, 10021;1374 1st Avenue
Delmonico's;56 Beaver Street;New York, NY, 10004;56 Beaver St
Delphi Restaurant (CLOSED);109 West Broadway;New York, NY, 10013;109 W Broadway
Delta Grill;700 9th Avenue;New York, NY, 10036;700 9th Ave
Dennis Foy;313 Church Street;New York, NY, 10013;313 Church St
Dervish Restaurant;146 West 47TH Street;New York, NY, 10036;146 W 47th St
Dervish Turkish;146 West 47th Street;New York, NY, 10036;146 W 47th St
Desi Deli;724 10th Avenue;New York, NY, 10019;724 10th Ave
Destino;891 1st Avenue;New York, NY, 10022;891 1st Avenue
Deux Amis;356 East 5th Street;New York, NY, 10022;356 E 5th St
Devin Tavern;363 Greenwich Street;New York, NY, 10013;363 Greenwich St
Di Palo's Fine Foods;200 Grand Street at Mott Street;New York, NY, 10013;200 Grand St
Diablo Royale;189 West 10th Street;New York, NY, 10014;189 W 10th St
Diamond Dairy Restaurant;4 West 47th Street;New York, NY, 10036;4 W 47th St
Dil-E-Punjab Deli;164 9th Avenue;New York, NY, 10011;164 9th Ave
Dim Sum Go Go;5 East Broadway;New York, NY, 10002;5 E Broadway
Dimple Indian Fast Food;11 West 30TH Street;New York, NY, 10001;11 W 30th St
Diner 24 (CLOSED);102 8th Avenue;New York, NY, 10011;102 8th Ave
Dinosaur Bar-B-Que;646 West 131st Street;New York, NY, 10027;646 W 131st St
Dishes;6 East 45th Street;New York, NY, 10017;6 E 45th St
Dishes;Grand Central lower level;New York, NY, 10017;89 E 42nd St
District;Muse Hotel 130 West 46th Street;New York, NY, 10036;130 W 46th St
Ditch Plains;29 Bedford Street;New York, NY, 10014;29 Bedford St
Divertimento Bistro;432 East 13th Street;New York, NY, 10009;432 E 13th St
Divino;1556 2nd Avenue;New York, NY, 10028;1556 2nd Ave
Diwan;148 East 48th Street;New York, NY, 10017;148 E 48th St
Diwan-E-Khaas;26 South William Street;New York, NY, 10004;26 S William St
Dizzy's Club Coca-Cola;Frederick P. Rose Hall, Home of Jazz at Lincoln Center;New York, NY, 10019;10 Columbus Cir
Django;480 Lexington Avenue;New York, NY, 10167;480 Lexington Ave
Djerdan Burek;221 West 38th Street;New York, NY, 10018;221 W 38th St
Do Hwa;55 Carmine Street;New York, NY, 10014;55 Carmine St
Doc Watson's Restaurant And Pub;1150 Lexington Avenue;New York, NY, 10021;1150 Lexington Ave
Docks Oyster Bar;633 3rd Avenue;New York, NY, 10017;633 3rd Ave
Docks Oyster Bar;2427 Broadway;New York, NY, 10024;2427 Broadway
Dodo Cafe;45 Peck Slip;New York, NY, 10038;45 Peck Slip
Dojo;14 West 4th Street;New York, NY, 10012;14 West 4th Street
Dojo;24-26 St. Mark's Place;New York, NY, 10012;24 St Marks Pl
Dok Suni;119 1st Avenue;New York, NY, 10003;119 1st Avenue
Dolcino Ristorante;517 2nd Avenue;New York, NY, 10016;517 2nd Ave
Dom's Fine Foods;202 Lafayette Street;New York, NY, 10012;202 Lafayette St
Domenico's;120 East 40th Street;New York, NY, 10016;120 E 40th St
Dominic;349 Greenwich Street;New York, NY, 10013;349 Greenwich St
Dominick's Deli;1109 1st Avenue;New York, NY, 10021;1109 1st Avenue
Don Giovanni;214 10th Avenue;New York, NY, 10009;214 10th Ave
Don Pedro's;1865 2nd Avenue;New York, NY, 10029;1865 2nd Ave
Don Veitia;860 2nd Avenue;New York, NY, 10017;860 2nd Ave
Don's Bogam Bbq & Wine Bar;17 East 32nd Street;New York, NY, 10016;17 E 32nd St
Dona (CLOSED);208 East 52nd Street;New York, NY, 10022;208 E 52nd St
Donguri;309 East 83rd Street;New York, NY, 10028;309 E 83rd St
Doozo Japanese Restaurant;216 Thompson Street;New York, NY, 10012;216 Thompson St
Dos Caminos;373 Park Avenue South;New York, NY, 10016;373 Park Ave S
Dos Caminos;475 West Broadway;New York, NY, 10012;475 W Broadway
Dos Caminos;825 3rd Avenue;New York, NY, 10022;825 3rd Ave
Dosirak;30 East 13th Street;New York, NY, 10003;30 E 13th St
Dovetail;103 West 77th Street;New York, NY, 10024;103 W 77th St
Down The Hatch;179 West 4th Street;New York, NY, 10014;179 West 4th Street
Downtown Cipriani;376 West Broadway;New York, NY, 10012;376 W Broadway
Doyers Vietnamese;11-13 Doyers Street;New York, NY, 10013;11 Doyers St #13
Dragon Gate;92-96 Elizabeth Street;New York, NY, 10013;92 Elizabeth St #96
Dragon Land Bakery;125 Walker Street;New York, NY, 10013;125 Walker St
Dragon Palace Restaurant;202 Centre Street;New York, NY, 10013;202 Centre St
Dragonfly (CLOSED);47-49 7th Avenue South;New York, NY, 10014;47 7th Ave
Duane Park;157 Duane St;New York, NY, 10013;157 Duane St
Duane Park Cafe;157 Duane Street;New York, NY, 10013;157 Duane St
Duane Park Patisserie;179 Duane Street;New York, NY, 10013;179 Duane St
Dublin 6 Wine & Dine;575 Hudson Street;New York, NY, 10014;575 Hudson St
Due;1396 3rd Avenue;New York, NY, 10021;1396 3rd Ave
Duke's - Gramercy Park;99 East 19th Street;New York, NY, 10003;99 E 19th St
Duke's - Murray Hill;560 3rd Avenue;New York, NY, 10016;560 3rd Ave
Dumonet At The Carlyle;35 East 76th Street at Madison Avenue;New York, NY, 10021;35 E 76th St
Dumpling House;118 A Eldridge Street south of Broom Street;New York, NY, 10002;118A Eldridge St
Dumpling Man;100 St. Marks Place;New York, NY, 10009;100 St Marks Pl
Dunkin Donuts;761 7TH Avenue;New York, NY, 10019;761 7th Ave
Dylan Prime;62 Laight Street;New York, NY, 10013;62 Laight St
Dévi;8 East 18th Street;New York, NY, 10003;8 E 18th St
E La Nave Va;119 St. Mark's Place;New York, NY, 10009;119 St Marks Pl
E.A.T.;1064 Madison Avenue;New York, NY, 10028;1064 Madison Ave
ESPN Sports Zone;1472 Broadway;New York, NY, 10036;1472 Broadway
Ear Inn;326 Spring Street;New York, NY, 10013;326 Spring St
Earl's;560 3rd Avenue;New York, NY, 10016;560 3rd Ave
Earth;116A 10th Avenue;New York, NY, 10011;116A 10th Ave
Earthen Oven;53 West 72nd Street;New York, NY, 10023;53 W 72nd St
East;366 3rd Avenue;New York, NY, 10016;366 3rd Ave
East;253 West 55th Street;New York, NY, 10019;253 W 55th St
East;354 East 66th Street;New York, NY, 10021;354 E 66th St
East;210 East 44th Street;New York, NY, 10017;210 E 44th St
East 53 Teriyaki House;220 East 53rd Street;New York, NY, 10022;220 E 53rd St
East Bay;491 1st Avenue;New York, NY, 10016;491 1st Avenue
East Broadway Gourmet;40 East Broadway,;New York, NY, 10002;40 E Broadway
East Corner Wonton;70 East Broadway at Division Street;New York, NY, 10002;70 E Broadway
East River Cafe;1111 1st Avenue;New York, NY, 10021;1111 1st Avenue
East Side Bagel;1496 1st Avenue;New York, NY, 10021;1496 1st Avenue
East Village Meat Market;139 2nd Avenue;New York, NY, 10003;139 2nd Ave
East Village Pizzeria;145 1St Avenue;New York, NY, 10003;145 1st Avenue
East Village Sushi Park;121 2nd Avenue;New York, NY, 10003;121 2nd Ave
East Village Thai;32 East 7th Street;New York, NY, 10003;32 E 7th St
East Village Yacht Club;42 East 1st Street;New York, NY, 10003;42 E 1st St
East of Eighth;254 West 23rd Street;New York, NY, 10011;254 W 23rd St
Eastanah;212 Lafayette Street;New York, NY, 10012;212 Lafayette St
Eastern King;1395 2nd Avenue;New York, NY, 10021;1395 2nd Ave
Eat Inn;42 Bowery;New York, NY, 10013;42 Bowery
Eatery;798 9th Avenue;New York, NY, 10019;798 9th Ave
Ebisu Corporation;414 East 9TH Street;New York, NY, 10009;414 E 9th St
Ecco La;1660 3RD Avenue;New York, NY, 10128;1660 3rd Ave
Ecco, the Italian Saloon;124 Chambers Street;New York, NY, 10007;124 Chambers St
Ed's Lobster Bar;222 Lafayette Street;New York, NY, 10012;222 Lafayette St
Eden Wok;127 West 72nd Street;New York, NY, 10023;127 W 72nd St
Edgar's Cafe;255 West 84th Street;New York, NY, 10024;255 W 84th St
Edison Cafe;228 West 47th Street;New York, NY, 10036;228 W 47th St
Edo Japanese Restaurant;9 East 17th Street;New York, NY, 10003;9 E 17th St
Edward's;136 West Broadway;New York, NY, 10013;136 W Broadway
Eight Mile Creek;240 Mulberry Street;New York, NY, 10012;240 Mulberry St
Eighty One;45 W 81st St;New York, NY, 10024;45 W 81st St
Eileen's Special Cheesecake;17 Cleveland Place;New York, NY, 10012;17 Cleveland Pl
Eisenberg's Sandwich Shop;174 5th Avenue;New York, NY, 10010;174 5th Ave
Ej's Luncheonette;447 Amsterdam Avenue;New York, NY, 10024;447 Amsterdam Ave
Ej's Luncheonette;1271 3rd Avenue;New York, NY, 10021;1271 3rd Ave
Ej's Luncheonette;432 6th Avenue;New York, NY, 10011;432 6th Ave
El Azteca;783 9th Avenue;New York, NY, 10019;783 9th Ave
El Bocadito;79 Orchard Street;New York, NY, 10002;79 Orchard St
El Cantinero;86 University Place;New York, NY, 10003;86 University Pl
El Castillo De Jagua;113 Rivington Street Streete 1;New York, NY, 10002;113 Rivington St
El Castillo De Jagua Restaurant;113 Rivington Street,;New York, NY, 10002;113 Rivington St
El Centro;824 9th Avenue;New York, NY, 10019;824 9th Ave
El Charro Espanol;4 Charles Street;New York, NY, 10014;4 Charles St
El Charro Restaurant;4 Charles Street;New York, NY, 10014;4 Charles St
El Cid;322 West 15th Street;New York, NY, 10011;322 W 15th St
El Cocotero;228 West 18th Street;New York, NY, 10011;228 W 18th St
El Deportivo;701 9th Avenue at 48th Street;New York, NY,;701 9th Ave
El Deportivo Restaurant;701 9TH Avenue;New York, NY, 10019;701 9th Ave
El Despertar;1875 Lexington Avenue;New York, NY, 10035;1875 Lexington Ave
El Faro;823 Greenwich Sreet;New York, NY, 10014;823 Greenwich St
El Maguey Y La Tuna;321 East Houston Street;New ork, NY, 10002;321 E Houston St
El Maguey Y La Tuna;321 East Houston Street;New York, NY, 10002;321 E Houston St
El Malecon;764 Amsterdam Avenue;New York, NY, 10025;764 Amsterdam Ave
El Nuevo Castillo;125 Avenue D;New York, NY,;125 Avenue D
El Papasito;370 West 52ND ST;New York, NY, 10019;370 W 52nd St
El Parador;325 East 34th Street;New York, NY, 10016;325 E 34th St
El Paso Taqueria;1642 Lexington Avenue;New York, NY, 10029;1642 Lexington Ave
El Paso Taqueria;64 East 97th Street;New York, NY, 10029;64 E 97th St
El Pote;718 2nd Avenue;New York, NY, 10016;718 2nd Ave
El Quijote;226 West 23rd Street;New York, NY, 10011;226 W 23rd St
El Quinto Pino;401 West 24th Street;New York, NY, 10011;401 W 24th St
El Rey De La Caridad Restaurant;973 Amsterdam Avenue;New York, NY, 10025;973 Amsterdam Ave
El Rey Del Sol;232 West 14th Street;New York, NY, 10011;232 W 14th St
El Rinconcito;408 East 10th Street;New York, NY, 10009;408 E 10th St
El Rio Grande;160 East 38th Street;New York, NY, 10012;160 E 38th St
El Sombrero;108 Stanton Street;New York, NY, 10002;108 Stanton St
Elaine's;1703 2nd Avenue;New York, NY, 10128;1703 2nd Ave
Eleni's Cookies;75 Ninth Avenue (in the Chelsea Market);New York, NY, 11101;75 9th Ave
Elephant & Castle;68 Greenwich Avenue;New York, NY, 10011;68 Greenwich Ave
Eleven Madison Park;11 Madison Avenue;New York, NY, 10010;11 Madison Ave
Eli's Manhattan;1411 3rd Avenue;New York, NY, 10028;1411 3rd Ave
Elio's;1621 2nd Avenue;New York, NY, 10028;1621 2nd Ave
Elmo;156 7th Avenue;New York, NY, 10011;156 7th Ave
Elvie's Turo-Turo;214 1St Avenue;New York, NY, 10009;214 1st Avenue
Elyssa Dido;85 Orchard Street;New York, NY, 10002;85 Orchard St
Emack & Bolio's;73 West Houston Street;New York, NY, 10012;73 W Houston St
Embassy Wines & Spirits;796 Lexington Avenue;New York, NY, 10021;796 Lexington Ave
Emerald Inn;205 Columbus Avenue;New York, NY, 10023;205 Columbus Ave
Emilio's Ballato;55 East Houston Street;New York, NY, 10003;55 E Houston St
Emma's Dilemma;270 Park Avenue South;New York, NY, 10010;270 Park Ave S
Empanada Mama;763 9th Avenue;New York, NY, 10019;763 9th Ave
Empire Diner;210 10th Avenue;New York, NY, 10011;210 10th Ave
Empire Gourmet Deli;245 9th Avenue;New York, NY, 10001;245 9th Ave
Empire Szechuan;193 Columbus Avenue;New York, NY, 10023;193 Columbus Ave
Empire Szechuan;15 Greenwich Avenue;New York, NY, 10014;15 Greenwich Ave
Empire Szechuan;173 7th Avenue South;New York, NY, 10014;173 7th Ave S
Empire Szechuan;2642 Broadway;New York, NY, 10025;2642 Broadway
Empire Szechuan;251 West 72nd Street;New York, NY, 10023;251 W 72nd St
Empire Szechuan;2574 Broadway,;New York, NY, 10025;2574 Broadway
Empire Szechuan 4 (CLOSED);381 3rd Avenue;New York, NY, 10016;381 3rd Ave
En Japanese Brasserie;435 Hudson Street;New York, NY, 10014;435 Hudson St
Energy Kitchen;1089 2nd Avenue;New York, NY, 10022;1089 2nd Ave
English Is Italian;622 3rd Avenue;New York, NY, 10017;622 3rd Ave
Ennio & Michael;539 La Guardia Place;New York, NY, 10012;539 LaGuardia Pl
Enoteca Barbone;186 Avenue B;New York, NY, 10009;186 Avenue B
Enoteca I Trulli;124 East 27th Street;New York, NY, 10016;27th and lex
Epicerie;170 Orchard Street;New York, NY, 10002;170 Orchard St
Epices Du Traiteur;103 West 70th Street;New York, NY, 10023;103 W 70th St
Erminia;250 East 83rd Street;New York, NY, 10028;250 E 83rd St
Esashi;32 Avenue A;New York, NY, 10009;32 Avenue A
Esperanto;145 Avenue C;New York, NY, 10009;145 Loisaida Ave
Espinal's Caribbean Deli;411 East 70th Street;New York, NY, 10021;411 E 70th St
Ess-A-Bagel;359 1st Avenue;New York, NY, 10010;359 1st Avenue
Ess-A-Bagel;831 3rd Avenue;New York, NY, 10022;831 3rd Ave
Essex;120 Essex Street;New York, NY, 10002;120 Essex St
Essex Street Bar Lounge;49 Essex Street;New York, NY, 10002;49 Essex St
Estancia 460;460 Greenwich Street;New York, NY, 10013;460 Greenwich St
Estiatorio Milos;125 West 55th Street;New York, NY, 10019;125 W 55th St
Estoril Sol Restaurant;382 8TH Avenue;New York, NY, 10001;382 8th Ave
Ethiopian Restaurant;1582 York Avenue;New York, NY, 10028;1582 York Ave
Ethos;495 3rd Avenue;New York, NY, 10016;495 3rd Ave
Europan Cafe;672 8th Avenue;New York, NY, 10036;672 8th Ave
Euzkadi;108 East 4th Street;New York, NY, 10003;108 E 4th St
Eva's;11 West 8th Street;New York, NY, 10011;11 W 8th St
Eva`s Health Food;11 W. 8TH STREET;;11 W 8th St
Evergreen Shanghai;10 East 38th Street;New York, NY, 10016;10 E 38th St
Excellent Dumpling House;111 Lafayette Street;New York, NY, 10013;111 Lafayette St
Extra Virgin;259 West 4th Street;New York, NY, 10014;259 West 4th Street
Extreme Pita;119 East 23rd Street;New York, NY, 10010;119 E 23rd St
F & B;150 East 52nd;New York, NY, 10022;150 E 52nd St
F&B;269 West 23rd Street;New York, NY, 10011;269 W 23rd St
F. Illi Ponte;39 Desbrosses Street;New York, NY, 10013;39 Desbrosses St
Fabio Piccolo Fiore;230 East 44th Street;New York, NY, 10017;230 E 44th St
Fagiolini;334 Lexington Avenue;New York, NY, 10016;334 Lexington Ave
Faicco's Pork Store;260 Bleecker Street;New York, NY, 10014;260 Bleecker St
Fairway;2328 12th Avenue;New York, NY, 10027;2328 12th Ave
Fairway Cafe;2127 Broadway;New York, NY, 10023;2127 Broadway
Fake Orchid;440 East 9TH;New York, NY, 10009;440 E 9th St
Falai;68 Clinton;New York, NY, 10002;68 Clinton St
Falai Panetteria;79 Clinton Street;New York, NY, 10002;79 Clinton St
Family Noodle;19 Henry Street,;New York, NY, 10002;19 Henry St
Famous Famiglia;1630 Broadway;New York, NY, 10019;1630 Broadway
Famous Famiglia;1398 Madison Avenue;New York, NY, 10029;1398 Madison Ave
Famous Famiglia;1284 1st Avenue;New York, NY, 10021;1284 1st Avenue
Famous Famiglia;2859 Broadway;New York, NY, 10025;2859 Broadway
Famous Famiglia;734 Amsterdam Avenue;New York, NY, 10025;734 Amsterdam Ave
Famous Famiglia;61 Chelsea Piers;New York, NY, 10011;111C 11th Ave
Famous Famiglia;686 8th Avenue;New York, NY, 10036;686 8th Ave
Famous Fish Market;684 Saint Nicholas Avenue;New York, NY, 10030;684 Saint Nicholas Avenue
Famous Original Rays Pizza;204 9th ave;new york, NY, 10011;204 9th Ave
Fanelli's Cafe;94 Prince Street at Mercer Street;New York, NY, 10012;94 Prince St
Fast Wok;70 7th Avenue;New York, NY, 10011;70 7th Ave
Fatty Crab;643 Hudson;New York, NY, 10014;643 Hudson St
Fauchon;442 Park Avenue at 56th Street;New York, NY, 10022;442 Park Ave
Fedora;239 West 4th Street;New York, NY, 10014;239 West 4th Street
Felidia;243 East 58th Street;New York, NY, 10022;243 E 58th St
Ferrara;195 Grand Street;New York, NY, 10013;195 Grand St
Ferro's Restaurant;145 East 50th Street;New York, NY, 10022;145 E 50th St
Festival Mexicano;120 Rivington Street;New York, NY, 10002;120 Rivington St
Fetch Bar Grill;1649 3RD Avenue;New York, NY, 10128;1649 3rd Ave
Fiamma Osteria;206 Spring Street;New York, NY, 10012;206 Spring St
Fig & Olive;808 Lexington Avenue;New York, NY, 10021;808 Lexington Ave
Fig & Olive;420 West 13th Street;New York, NY, 10014;420 W 13th St
Figaro Pizza;1469 2nd Avenue Streete 1;New York, NY, 10021;1469 2nd Avenue Streete 1
Fillip's;202 7th Avenue;New York, NY, 10011;202 7th Ave
Financier Patisserie;62 Stone Street;New York, NY, 10004;62 Stone St
Fine & Schapiro;138 W 72nd Street;New York, NY, 10023;138 W 72nd St
Fine Food Deli;411 2nd Avenue;New York, NY, 10010;411 2nd Ave
Finestra;1370 York Avenue;New York, NY, 10021;1370 York Ave
Finnerty's Irish Pub;221 2nd Avenue;New York, NY, 10003;221 2nd Ave
Fino;1 Wall Street Ct.;New York, NY, 10005;1 Wall St
Fino;4 East 36th Street;New York, NY, 10016;4 E 36th St
Fiorini;209 East 56th Street;New York, NY, 10022;209 E 56th St
Firefly;54 Spring Street;New York, NY, 10012;54 Spring St
Firehouse;522 Columbus Avenue;New York, NY, 10024;522 Columbus Ave
First Avenue Fish Market;141 1st Avenue;New York, NY, 10003;141 1st Avenue
First Avenue Pierogi And Deli Co.;130 1st Avenue;New York, NY, 10009;130 1st Avenue
First Wok;1374 3rd Avenue at 78th Street;New York, NY, 10021;1374 3rd Ave
Fish;87 1st Avenue;New York, NY, 10014;87 1st Avenue
Fish;280 Bleecker Street;New York, NY, 10014;280 Bleecker St
Five Roses Pizza;173 1ST Avenue Streete 11;New York, NY, 10003;173 1ST Avenue Streete 11
Fives;Peninsula Hotel 700 5th Avenue;New York, NY, 10019;700 5th Ave
Flames Steakhouse;5 Gold Street;New York, NY, 10038;5 Gold St
Flamingo Room;470 West 23rd Street;New York, NY, 10011;470 W 23rd St
Flavored With One Love (CLOSED);1941 Madison Avenue;New York, NY, 10035;1941 Madison Ave
Flea Market Cafe;131 Avenue A;New York, NY, 10009;131 Avenue A
Flor De Mayo;2651 Broadway;New York, NY, 10025;2651 Broadway
Flor De Mayo;484 Amsterdam Avenue;New York, NY, 10024;484 Amsterdam Ave
Flor De Sol;361 Greenwich Street;New York, NY, 10014;361 Greenwich St
Flor's Kitchen;149 1st Avenue;New York, NY, 10003;149 1st Avenue
Flor's Kitchen;170 Waverly Place;New York, NY, 10014;170 Waverly Pl
Florence Prime Meat Market;5 Jones Street;New York, NY, 10014;5 Jones St
Florencia 13;185 Sullivan Street;New York, NY, 10012;185 Sullivan St
Florent (CLOSED);69 Gansevoort Street;New York, NY, 10014;69 Gansevoort St
Flurt;284 3rd Avenue;New York, NY, 10010;284 3rd Ave
Focolare Bistro;115 Mulberry Street;New York, NY, 10013;115 Mulberry St
Fong Da Bakery, Inc.;83 Essex Street;New York, NY, 10013;83 Essex St
Fong Inn Too Inc.;46 Mott Street;New York, NY, 10013;46 Mott St
Fontana Di Trevi;151 West 57th Street;New York, NY, 10019;151 W 57th St
Food;1569 Lexington Avenue;New York, NY, 10029;1569 Lexington Ave
Food Exchange;120 East 59th Street;New York, NY, 10022;120 E 59th St
Food Mart Deli;12321 York Street;New York, NY, 10021;York St
Food World Cafe;793 6th Avenue;New York, NY, 10001;793 6th Ave
Food bar;149 8th Avenue;New York, NY, 10003;149 8th Ave
Foods Of India;121 Lexington Avenue;New York, NY, 10016;121 Lexington Ave
Forge;134 Reade St. nr. Hudson St.;New York, NY, 10013;134 Reade St
Forum;127 4th Avenue;New York, NY, 10003;127 4th Ave
Four Seasons;99 East 52nd Street;New York, NY, 10022;99 E 52nd St
Four Seasons Food Market;271 1st Avenue;New York, NY, 10003;271 1st Avenue
Francisco's Centro Vasco;159 West 23rd Street;New York, NY, 10011;159 W 23rd St
Frank;88 2nd Avenue;New York, NY, 10003;88 2nd Ave
Frank's;410 West 16th Street;New York, NY, 10011;410 W 16th St
Frankies Spuntino;17 Clinton Street;New York, NY, 10002;17 Clinton St
Franklin Station Cafe;222 West Broadway;New York, NY, 10013;222 W Broadway
Fraunces Tavern;54 Pearl Street;New York, NY, 10004;54 Pearl St
Fred's;476 Amsterdam Avenue;New York, NY, 10024;476 Amsterdam Ave
Fred's At Barneys NY;Barneys NY 660 Madison Avenue, 9th fl.;New York, NY, 10021;660 Madison Ave
Frederick's Bar & Lounge;8 West 58th Street;New York, NY, 10019;8 W 58th St
Frederick's Downtown;673 Hudson Street;New York, NY, 10014;673 Hudson St
Frederick's Madison;768 Madison Avenue;New York, NY, 10021;768 Madison Ave
Freemans;Freeman Alley;New York, NY, 10002;Freeman Alley
French Roast;458 5th Avenue;New York, NY, 10011;458 5th Ave
French Roast;78 West 11th Street;New York, NY, 10028;78 W 11th St
Fresco By Scotto;34 East 52nd Street;New York, NY, 10022;34 E 52nd St
Fresco On The Go;40 East 52nd Street;New York, NY, 10022;40 E 52nd St
Fresco Tortilla Grill;215 West 14th Street;New York, NY, 10001;215 W 14th St
Fresco Tortilla Grill;769 5th Avenue;New York, NY, 10001;769 5th Ave
Fresco Tortilla Grill;253 8th Avenue;New York, NY, 10011;253 8th Ave
Fresco Tortilla Grill;36 Lexington Avenue;New York, NY, 10010;36 Lexington Ave
Fresh Thyme;350 5th Avenue;New York, NY, 10018;350 5th Ave
Fried Dumpling;99 Allen Street;New York, NY, 10002;99 Allen St
Fried Dumpling;106 Mosco Street at Mott Street;New York, NY, 10013;106 Mosco St
Fried Rice Balls! Rosario's Pizza;173 Orchard Street;New York, NY, 10002;173 Orchard St
Friedman's Delicatessen;75 Ninth Ave at 16th St;New York, NY, 10011;75 9th Ave
Friend House;99 3rd Avenue #105;New York, NY, 10003;99 3rd Ave #105
Friend Of A Farmer;77 Irving Place;New York, NY, 10003;77 Irving Pl
Fruit Loops;456 West 45th Street;New York, NY, 10036;456 W 45th St
Frutti di Mare;84 East 4th Street;New York, NY, 10003;84 E 4th St
Frère Jacques;13 East 37th Street;New York, NY, 10016;13 E 37th St
Fu Wong;100 Bowery;New York, NY, 10013;100 Bowery
Fukumatsu;212 East 52nd Street;New York, NY, 10022;212 E 52nd St
Fuleen Seafood;11 Division Street;New York, NY, 10002;11 Division St
Full City Coffee;409 Grand Street;New York, NY, 10002;409 Grand St
Fulton Fish Market;South Street;New York, NY, 10004;South St
Funayama;24 Greenwich Avenue;New York, NY, 10011;24 Greenwich Ave
Funky Broome;176 Mott st at Broome Street;New York, NY,;176 Mott St
Funky Diner (CLOSED);466 Columbus Avenue;New York, NY, 10024;466 Columbus Ave
Fusha Asian Cuisine;1065 1st Avenue;New York, NY, 10022;1065 1st Avenue
Fusia Asian Cuisine;677C Lexington Avenue on 56th Street;New York, NY, 10022;677C Lexington Avenue on 56th Street
Félix;340 West Broadway;New York, NY, 10013;340 W Broadway
Gabriel's;11 West 60th Street;New York, NY, 10023;11 W 60th St
Gabriela's;688 Columbus Avenue;New York, NY, 10025;688 Columbus Ave
Gahm Mi Oak;43 West 32nd Street;New York, NY, 10001;43 W 32nd St
Gajyumaru Japanese Restaurant;1659 1st Avenue;New York, NY, 10028;1659 1st Avenue
Galanga;149 West 4th Street;New York, NY, 10012;149 West 4th Street
Gama;12 St. Marks Place;New York, NY, 10003;12 St Marks Pl
Gandhi;345 East 6TH Street;New York, NY, 10003;345 E 6th St
Garden Cafe At The Kitano New York;66 Park Avenue;New York, NY, 10016;66 Park Ave
Gari;370 Columbus Avenue;New York, NY, 10024;370 Columbus Ave
Garnet Wine & Liquors;929 Lexington Avenue;New York, NY, 10021;929 Lexington Ave
Garrison Confections Inc.;The Chocolate Loft 119 West 23rd Street;New York, NY,;20 W 23rd St
Gascogne;158 8th Avenue;New York, NY, 10011;158 8th Ave
Gatehouse;301 South End Avenue;New York, AL, 10280;301 South End Ave
Gauchas Empanadas;1748 1st Avenue;New York, NY, 10128;1748 1st Avenue
Geisha;33 East 61st Street;New York, NY, 10021;33 E 61st St
Gena's Grill;210 1st Avenue;New York, NY, 10009;210 1st Avenue
Gennaro;665 Amsterdam Avenue;New York, NY, 10025;665 Amsterdam Ave
Gente;153 East 45th Street;New York, NY, 10017;153 E 45th St
Gentile's Market;1041 Madison Avenue;New York, NY, 10021;1041 Madison Ave
George's Restaurant;89 Greenwich Street;New York, NY, 10006;89 Greenwich St
Georgio'S Country Grill;801 9th Avenue at 53rd Street;New York, NY, 10019;801 9th Ave
Ghandi Cafe;283 Bleecker Street Streete 1;New York, NY, 10014;283 Bleecker St
Ghenet;284 Mulberry Street;New York, NY, 10012;284 Mulberry St
Giambelli;46 East 50th Street;New York, NY, 10022;46 E 50th St
Gibraltar;20 Princes Street;New York, NY, 10012;20 Prince St
Gigino At Wagner Park;20 Battery Place;New York, NY, 10004;20 Battery Pl
Gigino Trattoria;323 Greenwich Street;New York, NY, 10013;323 Greenwich St
Gilileo;176 West 94th Street;New York, NY, 10025;176 W 94th St
Gilt;NY Palace Hotel 455 Madison Avenue;New York, NY, 10022;455 Madison Ave
Gin Lane;355 West 14th Street;New York, NY, 10011;355 W 14th St
Ginger;1400 5th Avenue;New York, NY, 10026;1400 5th Ave
Ginger;146 East 55th Street;New York, NY, 10022;146 E 55th St
Ginger;109 1st Avenue;New York, NY, 10003;109 1st Avenue
Ginger House;330 7th Avenue;New York, NY, 10011;330 7th Ave
Ginger Ty;363 Greenwich Street;New York, NY, 10013;363 Greenwich St
Gino;780 Lexington Avenue;New York, NY, 10021;780 Lexington Ave
Ginza Japanese Restaurant;800 Lexington Avenue;New York, NY, 10021;800 Lexington Ave
Giorgione;307 Spring Street;New York, NY, 10013;307 Spring St
Giorgione 508;508 Greenwich Street;New York, NY, 10013;508 Greenwich St
Giovanni Venticinque;25 East 83rd Street;New York, NY, 10028;25 E 83rd St
