restaurant;in;address1;address2;address3;neighborhood;phone;type;addressGoogle
Cafe Ronda;;249 Columbus Ave;between 71st and 72nd Sts;;Upper West Side;(212-579-9929);Argentine;249 Columbus Ave
Cafe con Leche;;726 Amsterdam Ave;between 95th and 96th Sts;;Upper West Side;(212-678-7000);Caribbean;726 Amsterdam Ave
Cafe con Leche;;424 Amsterdam Ave;between 80th and 81st Sts;;Upper West Side;(212-595-7000);Caribbean;424 Amsterdam Ave
Cafetasia;;38 E 8th St;between Greene St and University Pl;;Greenwich Village;(212-529-2363);Asian: Pan-Asian;38 E 8th St
Cafeteria;;119 Seventh Ave;at 17th St;;Chelsea;(212-414-1717);American;119 7th Ave
Caffe Emilia;;139 First Ave;between St. Marks Pl and E 9th St;;East Village;(212-388-1234);Italian;139 1st Avenue
Caffe Falai;;265 Lafayette St;between Prince and Spring Sts;;Chinatown/Little Italy;(917-338-6207);Cafés & diners;265 Lafayette St
Caffe Rafaella;;134 Seventh Ave South;between Charles and W 10th Sts;;West Village;(212-929-7247);Cafés;134 7th Ave S
Caffe Vivaldi;32 Jones St;;;;;;;
Caffè Rosso;;284 W 12th St;at Hudson St;;Meatpacking District;(212-633-9277);Italian;284 W 12th St
Caffè Vivaldi;;32 Jones St;at Bleecker St;;West Village;(212-691-7538);Cafés;32 Jones St
Caffé Swish;;2953–55 Broadway;between 115th and 116th Sts;;Columbia University–City College;(212-222-3568);Asian: Pan-Asian;55 Broadway
Café Blossom;;466 Columbus Ave;between 82nd and 83rd Sts;;Upper West Side;(212-875-2600);Vegetarian & Organic;466 Columbus Ave
Café Boulud;;20 E 76th St;between Fifth and Madison Aves;;Upper East Side;(212-772-2600);French;20 E 76th St
Café Cluny;;284 W 12th St;at 4th St;;West Village;(212-255-6900);French;284 W 12th St
Café Condesa;;183 W 10th St;at W 4th St;;West Village;(212-352-0050);American Creative;183 W 10th St
Café Deville;;103 Third Ave;at 13th St;;East Village;(212-477-4500);French;103 3rd Ave
Café Fuego (CLOSED);;9 St. Marks Pl;between Second and Third Aves;;East Village;(212-677-7300);Caribbean: Cuban;9 St Marks Pl
Café Gray (CLOSED);Time Warner Center;;10 Columbus Circle;at Broadway;third floor;Upper West Side;(212-823-6338);
Café Grumpy;;224 W 20th St;between Seventh and Eighth Aves;;Chelsea;(212-255-5511);Cafés & diners;224 W 20th St
Café Himalaya;;78 E 1st St;;;Lower East Side;(212-358-0160);Asian: Tibetan;78 E 1st St
Café Joul;;1070 First Ave;between 58th and 59th Sts;;Upper East Side;(212-759-3131);French;1070 1st Avenue
Café Lalo;;201 W 83rd St;between Amsterdam Ave and Broadway;;Upper West Side;(212-496-6031);Cafés & diners;201 W 83rd St
Café Luxembourg;;200 W 70th St;between Amsterdam and West End Aves;;Upper West Side;(212-873-7411);French;200 W 70th St
Café Medina;;9 E 17th St;between Fifth Ave and Broadway;;Chelsea;(212-242-2777);Middle Eastern;9 E 17th St
Café Mogador;;101 St. Marks Pl;between First Ave and Ave A;;East Village;(212-677-2226);Moroccan;101 St Marks Pl
Café Noir;;32 Grand St;at Thompson St;;Soho;(212-431-7910);Mediterranean;32 Grand St
Café Pierre (CLOSED;;2 E 61st St;at Fifth Ave;;Upper East Side;(212-940-8195);slated to reopen in 2009);2 E 61st St
Café Pierre (CLOSED;slated to reopen in 2009);;Pierre Hotel;2 E 61st St;at Fifth Ave;Upper East Side;(212-940-8195);
Café SFA;;12 E 49th St;at Fifth Ave;;Midtown West;(212-940-4080);Eclectic;Tower 49
Café Sabarsky;Neue Galerie New York;;1048 Fifth Ave;at 86th St;Upper East Side;(212-288-0665);Austrian;
Café Sabarsky;Mon;;;;;;;
Café Select;;212 Lafayette St;between Broome and Spring Sts;;Soho;(212-925-9322);Eclectic;212 Lafayette St
Café Society (CLOSED);;9 E 16th St;between Fifth Ave and Union Sq West;;Gramercy/Flatiron;(212-675-4700);Eclectic;9 E 16th St
Café Soleil;;1016 Second Ave;between 53rd and 54th Sts;;Midtown East;(212-758-1351);French;1016 2nd Ave
Café Spice;;54 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-489-7444);Indian;54 W 55th St
Café Spice;;72 University Pl;at 11th St;;Greenwich Village;(212-253-6999);Indian;72 University Pl
Café Spice Express;Grand Central Terminal;;Lower Concourse;109 E 42nd St;at Lexington Ave;Midtown East;(646-227-1300);
Café Un Deux Trois;;123 W 44th St;between Sixth and Seventh Aves;;Midtown West;(212-354-4148);French;123 W 44th St
Café at Country;Carlton Hotel;;90 Madison Ave;at 29th St;Gramercy/Flatiron;(212-889-7100);American Creative;
Café d'Alsace;;1695 Second Ave;at 88th St;;Upper East Side;(212-722-5133);French;1695 2nd Ave
Café de Bruxelles;;118 Greenwich Ave;at 13th St;;West Village;(212-206-1830);Belgian;118 Greenwich Ave
Café des Artistes;;1 W 67th St;between Central Park West and Columbus Ave;;Upper West Side;(212-877-3500);French;1 W 67th St
Café du Soleil;;2723 Broadway;between 104th and 105th Sts;;Upper West Side;(212-316-5000);French;2723 Broadway
Café el Portal;;174 Elizabeth St;between Kenmare and Spring Sts;;Chinatown/Little Italy;(212-226-4642);Mexican;174 Elizabeth St
Cafécito;;185 Ave C;at 12th St;;East Village;(212-253-9966);Caribbean: Cuban;185 Loisaida Ave
Cake Shop;;152 Ludlow St;between Rivington and Stanton Sts;;Lower East Side;(212-253-0036);Food or Beverage Shop;152 Ludlow St
Calexico;;Wooster St;at Prince St;;Soho;;Mexican;Wooster St
Calle Ocho;;446 Columbus Ave;between 81st and 82nd Sts;;Upper West Side;(212-873-5025);Caribbean;446 Columbus Ave
Camaje;;85 MacDougal St;between Bleecker and Houston Sts;;Greenwich Village;(212-673-8184);French;85 MacDougal St
Camaradas el Barrio Bar & Restaurant;;2241 First Ave;at 115th St;;East Harlem;(212-348-2703);Caribbean: Puerto Rican;2241 1st Avenue
Campagnola;;1382 First Ave;between 73rd and 74th Sts;;Upper East Side;(212-861-1102);Italian;1382 1st Avenue
Campo;;2888 Broadway;between 112th and 113th Sts;;Upper West Side;(212-864-1143);Italian;2888 Broadway
Candle 79;;154 E. 79th St;at Lexington Ave;;Upper East Side;(212-537-7179);Vegetarian & Organic;154 E 79th St
Candle Café;;1307 Third Ave;between 74th and 75th Sts;;Upper East Side;(212-472-0970);Vegetarian & Organic;1307 3rd Ave
Canyon Road;;1470 First Ave;between 76th and 77th Sts;;Upper East Side;(212-734-1600);American Regional;1470 1st Avenue
Capital Grille;;155 E 42nd St;between Lexington and Third Aves;;Midtown East;(212-953-2000);Steakhouses;155 E 42nd St
Capri Caffe;;165 Church St;between Chambers and Reade Sts;;Tribeca;(212-513-1358);Italian;165 Church St
Capsouto Frères;;451 Washington St;at Watts St;;Tribeca;(212-966-4900);French;451 Washington St
Caracas Arepa Bar;;91 E 7th St;between First Ave and Ave A;;East Village;(212-228-5062);Latin American: Venezuelan;91 E 7th St
Caravan of Dreams;;405 E 6th St;between First Ave and Ave A;;East Village;(212-254-1613);Vegetarian & Organic;405 E 6th St
Carbone;;331 W 38th St;between Eight and Ninth Aves;;Midtown West;(212-290-2625);Italian;331 W 38th St
Caribbean Spice;;402 W 44th St;between Ninth and Tenth Aves;;Midtown West;(212-765-1737);Caribbean: Jamaican;402 W 44th St
Carl’s Steaks;;507 Third Ave;between 34th and 35th Sts;;Midtown East;(212-696-5336);American;507 3rd Ave
Carmine’s;;2450 Broadway;between 90th and 91st Sts;;Upper West Side;(212-362-2200);Italian;2450 Broadway
Carmine’s;;200 W 44th St;between Seventh Ave and Eighth Ave;;Midtown West;(212-221-3800);Italian;200 W 44th St
Carne Vale;;46 Ave B;between 3rd and 4th Sts;;East Village;(212-777-4686);Brazilian;46 Avenue B
Carnegie Deli;;854 Seventh Ave;at 55th St;;Midtown West;(212-757-2245);American;854 7th Ave
Carnegie John’s;;W 56th St;at Seventh Ave;;Midtown West;;Eclectic;W 56th St
Casa;;72 Bedford St;at Commerce St;;West Village;(212-366-9410);Brazilian;72 Bedford St
Casa Adela;;66 Ave C;between 4th and 5th Sts;;East Village;(212-473-1882);Caribbean: Puerto Rican;66 Loisaida Ave
Casa Havana;;188 Eighth Ave;between 19th and 20th Sts;;Chelsea;(212-243-9421);Caribbean: Cuban;188 8th Ave
Casa Mono/Bar Jamón;Casa Mono;;"52 Irving Pl at 17th St; Bar Jamón";125 E 17th St;at Irving Pl;Gramercy/Flatiron;(212-253-2773);
Casa la Femme;;140 Charles St;between Greenwich and Washington Sts;;West Village;(212-505-0005);Middle Eastern: Egyptian;140 Charles St
Casa la Femme North;;1076 First Ave;between 58th and 59th Sts;;Midtown East;(212-505-0005);Middle Eastern: Egyptian;1076 1st Avenue
Casa la Femme North (CLOSED);;1076 First Ave;between 58th and 59th Sts;;Midtown East;(212-505-0005);Middle Eastern: Egyptian;1076 1st Avenue
Casablanca Tea Room;;164 Mercer St;between Houston and Prince Sts;;Soho;(212-219-8441);Moroccan;164 Mercer St
Casanis;;81 Ludlow St;at Broome St;;Lower East Side;(212-677-9383);French;81 Ludlow St
Casaville;;633 Second Ave;between 34th and 35th Sts;;Midtown East;(212-685-8558);Moroccan;633 2nd Ave
Casbah Rouge (CLOSED);;2841 Broadway;between 110th and 111th Sts;;Upper West Side;(212-932-2222);Moroccan;2841 Broadway
Cascina;;647 Ninth Ave;between 45th and 46th Sts;;Midtown West;(212-245-4422);Italian;647 9th Ave
Casimir;;103–105 Ave B;between 6th and 7th Sts;;East Village;(212-358-9683);French;103 Avenue B
Cast-Iron Cafe;;641 Sixth Ave;between 19th and 20th Sts;;Chelsea;(212-462-2244);Cafés;641 6th Ave
Cava Wine Bar;185 W 80th St;;;;;;;
Cavatappo Grill;;1712 First Ave;between 88th and 89th Sts;;Upper East Side;(212-987-9260);Italian;1712 1st Avenue
Cavatappo Wine Bar;;1728 Second Ave;between 89th and 90th Sts;;Upper East Side;(212-426-0919);Italian;1728 2nd Ave
Caviar Bar at Emperor’s Roe;;200 Lenox Ave;at 120th St;;Harlem;(212-866-3700);American Creative;200 Lenox Ave
Caviar Russe;;538 Madison Ave;between 54th and 55th Sts;;Midtown East;(212-980-5908);Russian;538 Madison Ave
Cecel Crepe Cafe;;135 First Ave;between St. Marks Pl and 9th St;;East Village;(212-460-5102);French;135 1st Avenue
Celeste;;502 Amsterdam Ave;between 84th and 85th Sts;;Upper West Side;(212-874-4559);Italian;502 Amsterdam Ave
Cellini;;65 E 54th St;between Madison and Park Aves;;Midtown East;(212-751-1555);Italian;65 E 54th St
Celsius: A Canadian Lounge;The Pond at Bryant Park;;42nd St;at Sixth Ave;Midtown West;(866-221-5157);American;
Cendrillon;;45 Mercer St;between Broome and Grand Sts;;Soho;(212-343-9012);Asian: Filipino;45 Mercer St
Cendrillon (CLOSED);45 Mercer St;;;;;;;
Center Cut Steaks & Chops;Empire Hotel;;44 W 63rd St;at Broadway;Upper West Side;(212-956-1288);Steakhouses;
CentoPizze;;201 E 10th St;between First and Second Aves;;East Village;(212-420-5933);Italian;201 E 10th St
Centolire;;1167 Madison Ave;between 85th and 86th Sts;;Upper East Side;(212-734-7711);Italian;1167 Madison Ave
Centovini;;25 W Houston St;at Greene St;;Greenwich Village;(212-219-2113);Italian;25 W Houston St
Central Park Boathouse Restaurant;Central Park Lake;;park entrance on Fifth Ave;at 72nd St;Upper East Side;(212-517-2233);Seafood;
Centrico;;211 West Broadway;at Franklin St;;Tribeca;(212-431-0700);Latin American;211 W Broadway
Centro Vinoteca;;74 Seventh Ave South;at Barrow St;;West Village;(212-367-7470);Italian;74 7th Ave S
Cercle Rouge;;241 West Broadway;between Beach and White Sts;;Tribeca;(212-226-6252);French;241 W Broadway
Certé;;20 W 55th St;between Fifth and Sixth Aves;;Midtown West;(212-397-2020);Cafés & diners;20 W 55th St
Cha-An Tea Room;;230 East 9th St;between Second and Third Aves;;East Village;(212-228-8030);Cafés & diners;230 E 9th St
Chai Home Kitchen;;930 Eighth Ave;at 55th St;;Midtown West;(212-707-8778);Asian: Pan-Asian;930 8th Ave
Chambers Street Wines;;148 Chambers St;between West Broadway and Greenwich St;;Tribeca;(212-227-1434);Food or Beverage Shop;148 Chambers St
Chanoodle;;79 Mulberry St;between Bayard and Canal Sts;;Chinatown/Little Italy;(212-349-1495);Chinese;79 Mulberry St
Chanterelle;;2 Harrison St;at Hudson St;;Tribeca;(212-966-6960);French;2 Harrison St
Charles;;243 W 4th St;at 10th St;;West Village;"(no phone; reservations@restaurantcharles.com)";Mediterranean;243 West 4th Street
Charles’ Southern Style Kitchen (CLOSED);;2837-2841 Frederick Douglass Blvd (Eighth Ave);between 151st and 152nd Sts;;Harlem;(212-926-4313);American Regional;2837 Frederick Douglass Blvd
Charles’ Southern Style Kitchen (CLOSED);;308 Lenox Ave;between 125th and 126th Sts;;Harlem;(212-722-7727);American Regional;308 Lenox Ave
Chat Noir;;22 E 66th St;between Fifth and Madison Aves;;Upper East Side;(212-794-2428);French;22 E 66th St
Chat ’n’ Chew;;10 E 16th St;between Fifth Ave and Union Sq West;;Gramercy/Flatiron;(212-243-1616);American Regional;10 E 16th St
Chatham Restaurant;;9 Chatham Square;between Doyers and Mott Sts;;Chinatown/Little Italy;(212-267-0220);Chinese;9 Chatham Square
Chelsea Market;;75 Ninth Ave;at 16th St;;Chelsea;;Food or Beverage Shop;75 9th Ave
Chennai Garden;;129 E 27th St;between Park Ave South and Lexington Ave;;Gramercy/Flatiron;(212-689-1999);Indian;129 E 27th St
Chez Jacqueline;;72 MacDougal St;between Bleecker and Houston Sts;;Greenwich Village;(212-505-0727);French;72 MacDougal St
Chez Josephine;;414 W 42nd St;between Ninth and Tenth Aves;;Midtown West;(212-594-1925);French;414 W 42nd St
Chez Lucienne;Malcolm X Blvd (Lenox Ave);;;;;;;
Chez Napoléon;;365 W 50th St;between Eighth and Ninth Aves;;Midtown West;(212-265-6980);French;365 W 50th St
Chez le Chef;;127 Lexington Ave;between 28th and 29th Sts;;Gramercy/Flatiron;(212-685-1888);Eclectic;127 Lexington Ave
Chickie Pig’s;;121 Ludlow St;between Delancey and Rivington Sts;;Lower East Side;(212-982-9822);Italian: Pizza;121 Ludlow St
Chickpea;;23 Third Ave;at St. Mark?s Pl;;East Village;(212-254-9500);Kosher;23 3rd Ave
Chickpea;;210 14th St;between Second and Third Aves;;East Village;(212-254-9500);Kosher;210 E 14th St
ChikaLicious;;203 E 10th St;between First and Second Aves;;East Village;(212-995-9511);Cafés & diners;203 E 10th St
ChikaLicious Puddin’;;204 E 10th St;between First and Second Aves;;East Village;(212-475-0929);Food or Beverage Shop;204 E 10th St
Chili Thai;;712 Ninth Ave;between 48th and 49th Sts;;Midtown West;(212-265-5054);Thai;712 9th Ave
Chimichurri Grill;;606 Ninth Ave;between 43rd and 44th Sts;;Midtown West;(212-586-8655);Argentine;606 9th Ave
Chin Chin;;216 E 49th St;between Second and Third Aves;;Midtown East;(212-888-4555);Chinese;216 E 49th St
China 1;;50 Ave B;between 3rd and 4th Sts;;East Village;(212-375-0665);Chinese;50 Avenue B
China Fun;;1221 Second Ave;at 64th St;;Upper East Side;(212-752-0810);Chinese;1221 2nd Ave
China Fun;;246 Columbus Ave;between 71st and 72nd Sts;;Upper West Side;(212-333-2622);Chinese;246 Columbus Ave
China Grill;;60 W 53rd St;between Fifth and Sixth Aves;;Midtown West;(212-333-7788);Asian: Pan-Asian;60 W 53rd St
Chinatown Brasserie;;380 Lafayette St;at Great Jones St;;Greenwich Village;(212-533-7000);Chinese;380 Lafayette St
Chinese Mirch;;120 Lexington Ave;at 28th St;;Gramercy/Flatiron;(212-532-3663);Chinese;120 Lexington Ave
Chino’s;;173 Third Ave;between 16th and 17th Sts;;Gramercy/Flatiron;(212-598-1200);Asian: Pan-Asian;173 3rd Ave
Chiyono;;328 E Sixth Street;between 1st and 2nd Aves;;East Village;(212-673-3984);Japanese;328 E 6th St
Cho Cho San;;15 W 8th St;between Fifth and Sixth Aves;;Greenwich Village;(212-473-3333);Japanese;15 W 8th St
Cho Dang Gol;;55 W 35th St;between Fifth and Sixth Aves;;Midtown West;(212-695-8222);Korean;55 W 35th St
Chocolat Michel Cluizel;ABCCarpet & Home;;888 Broadway;at 19th St;Gramercy/Flatiron;(212-477-7355);Cafés;
Chocolat Moderne;27 West 20th St;;;;;;;
Chocolate Bar (CLOSED);;127 E 7th St;between First Ave and Ave A;;East Village;(212-366-1541);Cafés & diners;127 E 7th St
Chocolate Bar at Henri Bendel;Henri Bendel;;712 Fifth Ave between55th and 56th Sts;third-floor atrium;Midtown West;(212-582-8283);Cafés & diners;
Chocolate Haven;;350 Hudson St;at King St;;West Village;(212-414-2462);Cafés & diners;350 Hudson St
Choga;145 Bleecker St;;between La Guardia Pl and Thompson St;second floor;Greenwich Village;(212-598-5946);Korean;
Chola;;232 E 58th St;between Second and Third Aves;;Midtown East;(212-688-4619);Indian;232 E 58th St
Chomp;;196 Second Ave;at 12th St;;East Village;(212-353-3211);American;196 2nd Ave
Chop Suey (CLOSED);;714 Seventh Ave;between 47th and 48th Sts;;Midtown West;(212-261-5200);Korean;714 7th Ave
Chop’t;;60 E 56th St;between Madison and Park Aves;;Midtown East;(212-750-2467);Cafés;60 E 56th St
Chop’t;;145 W 51st St;between Sixth and Seventh Aves;;Midtown West;(212-974-8140);Cafés;145 W 51st St
Chop’t;;165 E 52nd St;between Lexington and Third Aves;;Midtown East;(212-421-2300);Cafés;165 E 52nd St
Chop’t;;24 E 17th St;between Broadway and Fifth Ave;;Gramercy/Flatiron;(646-336-5523);Cafés;24 E 17th St
Choshi;;77 Irving Pl;at 19th St;;Gramercy/Flatiron;(212-420-1419);Japanese;77 Irving Pl
Chow Bar;;230 W 4th St;at 10th St;;West Village;(212-633-2212);Asian: Pan-Asian;230 West 4th Street
Churrascaria Plataforma;Belvedere Hotel;;316 W 49th St;between Eighth and Ninth Aves;Midtown West;(212-245-0505);Brazilian;
Churrascaria Tribeca;;221 W Broadway;between Franklin and White Sts;;Tribeca;(212-925-6969);Brazilian;221 W Broadway
Churrascarria Plataforma;;221 West Broadway;between Franklin and White Sts;;Tribeca;(212-925-6969);Brazilian;221 W Broadway
Ciao;;185 Bleecker St;at MacDougal St;;Greenwich Village;(212-673-8901);Italian;185 Bleecker St
Ciao Soho;;150 Spring St;between West Broadway and Wooster St;;Soho;(212-219-7606);Italian;150 Spring St
Ciao for Now;;504 E 12th St;at Ave A;;East Village;(212-677-2616);Cafés;504 E 12th St
Ciaobella;;1640 Second Ave;at 85th St;;Upper East Side;(212-794-8560);Italian;1640 2nd Ave
Cilantro;;485 Columbus Ave;between 83rd and 84th Sts;;Upper West Side;(212-712-9090);Mexican;485 Columbus Ave
Cipolla Rossa;;1762 First Ave;between 91st and 92nd Sts;;Upper East Side;(212-996-9426);Italian;1762 1st Avenue
Cipriani Club 55;;55 Wall St;between Hanover and William Sts;;Financial District;(212-699-4096);Italian;55 Wall St
Cipriani Dolci;Grand Central Terminal;;West Balcony;15 Vanderbilt Ave;at 42nd St;Midtown East;(212-973-0999);
Cipriani Le Specialità;;110 E 42nd St;between Park and Lexington Aves;;Midtown East;(212-557-5088);Italian;110 E 42nd St
Circus;;132 E 61st St;between Lexington and Park Aves;;Upper East Side;(212-223-2965);Brazilian;132 E 61st St
Citrus Bar & Grill;;320 Amsterdam Ave;at 75th St;;Upper West Side;(212-595-0500);Eclectic;320 Amsterdam Ave
City Bakery;;3 W 18th St;between Fifth and Sixth Aves;;Chelsea;(212-366-1414);Cafés & diners;3 W 18th St
City Burger;;1410 Broadway;at 39th St;;Midtown West;(212-997-7770);American;1410 Broadway
City Crab and Seafood Company;;235 Park Ave South;at 19th St;;Gramercy/Flatiron;(212-529-3800);Seafood;235 Park Ave S
City Girl Café;;63 Thompson St;between Broome and Spring Sts;;Soho;(212-343-0110);Cafés & diners;63 Thompson St
City Hall;;131 Duane St;between Church St and West Broadway;;Tribeca;(212-227-7777);American;131 Duane St
City Lobster & Steakhouse;121 W 49th St;;;;;;;
City Lobster and Crab Company;;121 W 49th St;between Sixth and Seventh Aves;;Midtown West;(212-354-1717);Seafood;121 W 49th St
Clinton Street Baking Company & Restaurant;;4 Clinton St;between Houston and Stanton Sts;;Lower East Side;(646-602-6263);Cafés & diners;4 Clinton St
Clubhouse Cafe;;155 W 46th St;between Sixth and Seventh Aves;;Midtown West;(212-354-3838);Kosher;155 W 46th St
Co.;;230 Ninth Ave;at 24th St;;Chelsea;(212-243-1105);Italian;230 9th Ave
Cocoa Bar;;21 Clinton St;between Houston and Stanton Sts;;Lower East Side;(212-677-7417);Cafés & diners;21 Clinton St
Coffee Shop;;29 Union Sq West;at 16th St;;Gramercy/Flatiron;(212-243-7969);Cafés & diners;29 Union Square W
Col Legno;;231 E 9th St;between Second and Third Aves;;East Village;(212-777-4650);Italian;231 E 9th St
Colors;;417 Lafayette St;between Astor Pl and E 4th St;;East Village;(212-777-8443);Eclectic;417 Lafayette St
Columbine;;229 W Broadway;at White St;;Tribeca;(212-965-0909);American;229 W Broadway
Columbus Bakery;;2 World Financial Center;between Liberty and West Sts;;Financial District;(212-945-9404);American;Two World Trade Center
Comix;;353 W 14th St;between Eighth and Ninth Aves;;Meatpacking District;(212-524-2500);American;353 W 14th St
Commerce;;50 Commerce St;at Barrow St;;West Village;(212-524-2301);American;50 Commerce St
Commodities Natural Market;;165 First Ave;between 10th and 11th Sts;;East Village;(212-260-2600);Food or Beverage Shop;165 1st Avenue
Community Food & Juice;;2893 Broadway;between 112th and 113th Sts;;Upper West Side;(212-665-2800);American;2893 Broadway
Compass;;208 W 70th St;between Amsterdam and West End Aves;;Upper West Side;(212-875-8600);American Creative;208 W 70th St
Cong Ly;;124 Hester St;at Chrystie St;;Lower East Side;(212-343-1111);Vietnamese;124 Hester St
Congee;;98 Bowery;between Grand and Hester Sts;;Lower East Side;(212-965-5028);Chinese;98 Bowery
Congee Village;;100 Allen St;between Broome and Delancey Sts;;Lower East Side;(212-941-1818);Chinese;100 Allen St
Convivio;;45 Tudor City Pl;at 43rd St;;Midtown East;(212-599-5045);Italian;45 Tudor City Pl
Cookshop;;156 Tenth Ave;at 20th St;;Chelsea;(212-924-4440);American;156 Amsterdam Ave
Cooper’s Tavern;New Yorker Hotel;;481 Eighth Ave;at 35th St;Midtown West;(212-268-8460);American;
Copeland’s (CLOSED);;547 W 145th St;between Amsterdam Ave and Broadway;;Harlem;(212-234-2357);American Regional;547 W 145th St
Copeland’s Cafeteria (CLOSED);;549 W 145th St;between Amsterdam Ave and Broadway;;Columbia University–City College;(212-234-2357);American Regional;549 W 145th St
Copper Chimney;;126 E 28th St;between Park and Lexington Aves;;Gramercy/Flatiron;(212-213-5742);Indian;126 E 28th St
Coppola’s;;206 W 79th St;between Amsterdam Ave and Broadway;;Upper West Side;(212-877-3840);Italian;206 W 79th St
Coppola’s;;378 Third Ave;at 27th St;;Gramercy/Flatiron;(212-679-0070);Italian;378 3rd Ave
Core One Nine One (CLOSED);;191 Orchard St;between Houston and Stanton Sts;;Lower East Side;(212-228-9888);American Creative;191 Orchard St
Corio;;337A West Broadway;at Grand St;;Soho;(212-966-3901);Mediterranean;337 W Broadway
Cork & Fin;;1374 York Ave;between 73rd and 74th Sts;;Upper East Side;(212-879-3805);Seafood;1374 York Ave
Cornelia Street Cafe;;29 Cornelia St;between Bleecker and W 4th Sts;;West Village;(212-989-9319);American;29 Cornelia St
Cornelia Street Café;;29 Cornelia St;between Bleecker and W 4th Sts;;Greenwich Village;(212-989-9319);American;29 Cornelia St
Corner Bistro;;331 W 4th St;at Jane St;;West Village;(212-242-9502);American;331 West 4th Street
Cornershop;;643 Broadway;at Bleecker St;;Greenwich Village;(212-253-7467);American;643 Broadway
Corrado Bread & Pastry;;1361 Lexington Ave;at 90th St;;Upper East Side;(212-348-8943);Food or Beverage Shop;1361 Lexington Ave
Corton;;239 West Broadway;between Walker and White Sts;;Tribeca;(212-219-2777);French;239 W Broadway
Cosette;;163 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-889-5489);French;163 E 33rd St
Counter;;105 First Ave;between 6th and 7th Sts;;East Village;(212-982-5870);Vegetarian & Organic;105 1st Avenue
Country;Carlton Hotel;;90 Madison Ave;at 29th St;Gramercy/Flatiron;(212-889-7100);American Creative;
Country Café;;69 Thompson St;between Broome and Spring Sts;;Soho;(212-966-5417);French;69 Thompson St
Covo;;701 W 135th St;at Twelfth Ave;;Harlem;(212-234-9573);Italian;701 W 135th St
Cowgirl;;519 Hudson St;at 10th St;;West Village;(212-633-1133);American Regional;519 Hudson St
Coyi Cafe;42 Ave B;;;;;;;
Craft;;43 E 19th St;between Broadway and Park Ave South;;Gramercy/Flatiron;(212-780-0880);American;43 E 19th St
Craftbar;;900 Broadway;between 19th and 20th Sts;;Gramercy/Flatiron;(212-461-4300);American Creative;900 Broadway
Craftsteak;;85 Tenth Ave;between 15th and 16th Sts;;Meatpacking District;(212-400-6699);Steakhouses;US-NYC-8510
Crave Ceviche Bar;;946 Second Ave;between 50thand 51st Sts;;Midtown East;(212-355-6565);Peruvian;946 2nd Ave
Crave on 42nd (CLOSED);;650 W 42nd St;between Eleventh and Twelfth Aves;;Midtown West;(212-564-9588);American;650 W 42nd St
Crema;;111 W 17th St;between Sixth and Seventh Aves;;Chelsea;(212-691-4477);Mexican;111 W 17th St
Creole Jazz and Supper Club;;2167 Third Ave;at 118th St;;East Harlem;(212-876-8838);American Regional;2167 3rd Ave
Crif Dogs;;113 St. Marks Pl;between First Ave and Ave A;;East Village;(212-614-2728);American;113 St Marks Pl
Crispo;;240 W 14th St;between Seventh and Eighth Aves;;West Village;(212-229-1818);Italian;240 W 14th St
Cronkite Pizzeria and Wine Bar (CLOSED);;133 Norfolk St;between Rivington and Stanton Sts;;Lower East Side;(212-375-1500);Italian: Pizza;133 Norfolk St
Crown Wines & Liquors;;1587 Second Ave;between 82nd and 83rd Sts;;Upper East Side;(212-472-8610);Food or Beverage Shop;1587 2nd Ave
Cru;;24 Fifth Ave;at 9th St;;Greenwich Village;(212-529-1700);American Creative;24 5th Ave
Crumbs Bakeshop;;37 E 8th St;between University Pl and Broadway;;Greenwich Village;(212-673-1500);Cafés;37 E 8th St
Cub Room;;131 Sullivan St;at Prince St;;Soho;(212-677-4100);American;131 Sullivan St
Cub Room Café;;183 Prince St;at Sullivan St;;Soho;(212-777-0030);American;183 Prince St
Cuba;;222 Thompson St;between Bleecker and W 4th St;;Greenwich Village;(212-420-7878);Caribbean: Cuban;222 Thompson St
Cuba Cafe;;200 Eighth Ave;between 20th and 21st Sts;;Chelsea;(212-633-1570);Caribbean: Cuban;200 8th Ave
Cubana Café;;110 Thompson St;between Prince and Spring Sts;;Soho;(212-966-5366);Caribbean: Cuban;110 Thompson St
Cube 63;;63 Clinton St;between Rivington and Stanton Sts;;Lower East Side;(212-228-6751);Japanese;63 Clinton St
Cupping Room Village;;496 Hudson St;between Christopher and Grove Sts;;West Village;(646-638-2800);American;496 Hudson St
Curly’s Vegetarian Lunch;;328 E 14th St;between First and Second Aves;;East Village;(212-598-9998);Vegetarian & Organic;328 E 14th St
Curry & Curry;;153 E 33rd St;between Lexington and Third Aves;;Midtown East;(212-779-4953);Indian;153 E 33rd St
Curry Leaf;;99 Lexington Ave;at 27th St;;Gramercy/Flatiron;(212-725-5558);Indian;99 Lexington Ave
Curry in a Hurry;;119 Lexington Ave;at 28th St;;Gramercy/Flatiron;(212-683-0900);Indian;119 Lexington Ave
Curry-Ya;;214 E 10th St;between First and Second Aves;;East Village;(866-602-8779);Japanese;214 E 10th St
Cyclo;;203 First Ave;between 12th and 13th Sts;;East Village;(212-673-3957);Vietnamese;203 1st Avenue
