restaurant;address1;address2;addressGoogle1
Dovetail;103 W 77th St;At Columbus Ave;103 W 77th St
Downing;10 Downing St;At 6th Ave;10 Downing St
Downtown Bakery;69 1st Ave;Btwn 4th & 5th St;69 1st Avenue
Downtown Deli;27 Park Pl;At Church St;27 Park Pl
Doyers;11 Doyers St;Btwn Pell St & Bowery;11 Doyers St
Dragon Gate Restaurant;94 Elizabeth St;Btwn Hester & Grand St;94 Elizabeth St
Dreamer's Pizza;1850 3rd Ave;At 102nd St;1850 3rd Ave
Dresner's Restaurant;1479 York Ave;Btwn 78th & 79th St;1479 York Ave
Drom;85 Ave A;Btwn 5th & 6th St;85 Avenue A
Druids;736 10th Ave;Btwn 50th & 51st St;736 10th Ave
Druids736;10th Ave;;10th Ave
Duane Park;157 Duane St;Btwn W Bway & Hudson St;157 Duane St
Duck River;64 Fulton St;At Gold St;64 Fulton St
Due;1396 3rd Ave;Btwn 79th & 80th St;1396 3rd Ave
Due Amici;304 W 14th St;Btwn 8th & 9th Ave;304 W 14th St
Due Amici;88 3rd Ave;At 12th St;88 3rd Ave
Duke's;99 E 19th St;At Park Ave S;99 E 19th St
Duke's;560 3rd Ave;At 37th St;560 3rd Ave
Duke's (fka Earl's);560 3rd Ave;At 37th St;560 3rd Ave
Duke's560;3rd Ave;;3rd Ave
Duke's99 E;19th St;;W 19th St
Dumpling House;118 Eldridge St;Btwn Grand & Broome St;118 Eldridge St
Dumpling King;1580 1st Ave;Btwn 82nd & 83rd St;1580 1st Avenue
Dumpling Man;100 Saint Marks Pl;Btwn 1st Ave & Ave A;100 St Marks Pl
Dyckman;9St;;E 9th St
Dyckman St;0 Btwn Nagle & Post Ave;;Post Ave
Dyckman St;;Btwn Nagle & Post Ave;
Dylan Prime;62 Laight St;At Greenwich St;62 Laight St
Dynasty's Cafe;600 E 14th St;At Ave B;600 E 14th St
Dynasty's Cafe (CLOSED);600 E 14th St;At Ave B;600 E 14th St
E;57th St;Btwn Madison & Park Ave;W 57th St
E;65th St;;E 65th St
E.A.T.;1064 Madison Ave;Btwn 80th & 81st St;1064 Madison Ave
E.A.T.106;4 Madison Ave;;4 Madison Ave
EJ's Luncheonette;447 Amsterdam Ave;Btwn 81st & 82nd St;447 Amsterdam Ave
EJ's Luncheonette;1271 3rd Ave;At 73rd St;1271 3rd Ave
EN Japanese Brasserie;435 Hudson St;Btwn Leroy & Morton St;435 Hudson St
ESPN Zone;1472 Broadway;At 42nd St;1472 Broadway
Eamonn's Bar & Grill;9 E 45th St;Btwn 5th & Madison Ave;9 E 45th St
Earth NYC;116A 10th Ave;Btwn 17th & 18th St;116A 10th Ave
Earth NYC (CLOSED);116A 10th Ave;;116A 10th Ave
Earthen Oven;53 W 72nd St;At Columbus Ave;53 W 72nd St
Earthmatters;177 Ludlow St;Btwn Houston & Stanton St;177 Ludlow St
East;53 Teriyaki House220 E 53rd St;Btwn 2nd & 3rd Ave;53 Teriyaki House220 E 53rd St
East;15 E 15th St;Btwn 5th Ave & Union Sq W;E 15th St
East Bay;491 1st Ave;At E 29th St;491 1st Avenue
East Boat Lobster Restaurant;72 Kenmare St;Btwn Mulberry & Mott St;72 Kenmare St
East Broadway;40 E Broadway;Btwn Catherine & Market St;40 E Broadway
East End Bar & Grill;1664 1st Ave;At 87th St;1664 1st Avenue
East Japanese;253 W 55th St;Btwn 8th Ave & B'way;253 W 55th St
East Japanese Restaurant;354 E 66th St;Btwn 1st & 2nd Ave;354 E 66th St
East Japanese Restaurant;210 E 44th St;Btwn 2nd & 3rd Ave;210 E 44th St
East Japanese Restaurant;366 3rd Ave;Btwn 26th & 27th St;366 3rd Ave
East Kitchen & Bar;365 1st Ave;Btwn 21st & 22nd St;365 1st Avenue
East Palace;819 2nd Ave;Btwn 43rd & 44th St;819 2nd Ave
East River Cafe;1111 1st Ave;At 61st St;1111 1st Avenue
East Seafood Restaurant;17 Division St;Btwn Catherine & Market St;17 Division St
East Side Bagel And Appetizing;1496 1st Ave;At 78th St;1496 1st Avenue
East Side Cafe;352 E 23rd St;Btwn 1st & 2nd Ave;352 E 23rd St
East Side Poultry;1522 1st Ave;Btwn 79th & 80th St;1522 1st Avenue
East Village Pizza & Kebabs;145 1st Ave;At 9th St;145 1st Avenue
East Village Tavern;158 Avenue C;At 10th St;158 Loisaida Ave
East Village Thai;32 E 7th St;Btwn 2nd & 3rd Ave;32 E 7th St
East of Eighth;254 W 23rd St;Btwn 7th & 8th Ave;254 W 23rd St
East15 E;15th St;;W 15th St
Eastern;4740 Broadway;Btwn Broadway & Thayer;4740 Broadway
Eastern47;40 Broadway;;40 Broadway
Eat;1429 3rd Avenue;At 81st St;1429 3rd Ave
Eat;1429 3rd Ave;;1429 3rd Ave
Eat Here Now;839 Lexington Ave;At 64th St;839 Lexington Ave
Eat-pisode;123 Ludlow St;Btwn Rivington & Delancey St;123 Ludlow St
Eat@Saks;611 5th Ave;Btwn 49th & 50th St;611 5th Ave
Eata Pita;0Grand Central Terminal;At 42nd St;89 E 42nd St
Eata Pita;0grand central terminal;;89 E 42nd St
Eata PitaGrand Central Terminal;1 At 42nd St;;1 At 42nd St
Eatery;798 9th Ave;At 53rd St;798 9th Ave
Eatery798;9th Ave;;9th Ave
Ecco Restaurant;124 Chambers St;Btwn Church St & W Bway;124 Chambers St
Ecco-La;1660 3rd Ave;At 93rd St;1660 3rd Ave
Ecco-La16;60 3rd Ave;;60 3rd Ave
Ecuatoriana Restaurant;1685 Amsterdam Ave;Btwn 143rd & 144th St;1685 Amsterdam Ave
Ed's Lobster Bar;222 Lafayette St;At Spring St;222 Lafayette St
Eden Wok;43 E 34th St;Btwn Park & Madison Ave;43 E 34th St
Edgar's Cafe;255 W 84th St.;Btwn Bway & W End Ave;255 W 84th St
Edmonds' Cafe;286 Lenox Ave;Btwn 124th & 125th St;286 Lenox Ave
Edward's;136 W Broadway;Btwn Thomas & Duane St;136 W Broadway
Effy's Cafe;1638 3rd Ave;Btwn 91st & 92nd St;1638 3rd Ave
Eight Mile Creek;240 Mulberry St;Btwn Prince & Spring St;240 Mulberry St
Eighty Madison Deli;80 Madison Ave;Btwn 28th St & 29th St;80 Madison Ave
Eighty One;0(81)45 W 81st St;;45 W 81st St
Eighty One (;81)45 W 81st St;Btwn Columbus Ave & CPW;45 W 81st St #81
Eileen's Cheesecake;17 Cleveland Pl;At Kenmare & Centre St;17 Cleveland Pl
Eisenberg's Sandwich Shop;174 5th Ave;Btwn 22nd & 23rd St;174 5th Ave
El Bacan Restaurant;2112 Amsterdam Ave;At 165th St;2112 Amsterdam Ave
El Barrio Juice Bar;308 E 116th St;Btwn 1st & 2nd Ave;308 E 116th St
El Cantinero;86 University Pl;Btwn 11th & 12th St;86 University Pl
El Capri;1342 St Nicholas Ave;At 172nd St;1342 St Nicholas Ave
El Caribeno;1675 Lexington Ave;At 105th St;1675 Lexington Ave
El Castillo De Jagua;113 Rivington St;Corner of Essex St;113 Rivington St
El Centro;824 9th Ave;At W 54th St;824 9th Ave
El Charro Espanol;4 Charles St;Btwn 7th Ave & Greenwich Ave;4 Charles St
El Cocotero;228 W 18th St;Btwn 7th & 8th Ave;228 W 18th St
El Conde;4139 Broadway Ave;At 175th St;4139 Broadway
El Conde;4311 Broadway;At 184th St;4311 Broadway
El Conde;4139 Broadway;At 175th St;4139 Broadway
El Deportivo;701 9th Ave;At 48th St;701 9th Ave
El Faro;823 Greenwich St;Btwn Horatio & Jane St;823 Greenwich St
El Faro82;3 Greenwich St;;3 Greenwich St
El Garden;2026 2nd Ave;Btwn 104th & 105th St;2026 2nd Ave
El Maguey Y La Tuna;321 E Houston St;Btwn Ridge & Attorney St;321 E Houston St
El Monte;2153 Amsterdam Ave;Btwn 166th & 167th St;2153 Amsterdam Ave
El Nido's;314 W 52nd St;Btwn 8th & 9th Ave;314 W 52nd St
El Nuevo Amanecer;117 Stanton St;At Essex St;117 Stanton St
El Nuevo Caridad;2257-59 2nd Ave;At 116th St;2257 2nd Ave
El Nuevo Caridad;4073 Broadway;Btwn 172nd & 173rd St;4073 Broadway
El Nuevo Castillo;125 Avenue D;Btwn 8th & 9th St;125 Avenue D
El Nuevo Harlem;1794 Amsterdam Ave;At 149th St;1794 Amsterdam Ave
El Papasito;346 W 53rd St;Btwn 8th & 9th Ave;346 W 53rd St
El Parador;325 E 34th St;Btwn 1st & 2nd Ave;325 E 34th St
El Paso;1642 Lexington Ave;Btwn 103rd &104th St;1642 Lexington Ave
El Paso;134 W Houston St;Btwn MacDougal & Sullivan St;134 W Houston St
El Paso Taqueria;237 E 116th St;;237 E 116th St
El Paso Taqueria;64 E 97th St;Btwn Park & Madison Ave;64 E 97th St
El Paso13;4 W Houston St;;4 W Houston St
El Paso16;42 Lexington Ave;;42 Lexington Ave
El Pique Pizza;3887 Broadway;Btwn 162nd & 163rd St;3887 Broadway
El Pollo Dorado;1497 St Nicholas Ave;At 185th St;1497 St Nicholas Ave
El Pote Espanol;718 2nd Ave;Btwn 38th & 39th St;718 2nd Ave
El Presidente;3938 Broadway;At W 165th St;3938 Broadway
El Quijote;226 W 23rd St;Btwn 7th & 8th Ave;226 W 23rd St
El Quinto Pino;401 W 24th St;At 9th Ave;401 W 24th St
El Rancho Jubilee;10 Hillside Ave;Btwn Nagle Ave & Bogardus Pl;10 Hillside Ave
El Rey de la Caridad;973 Amsterdam Ave;At 108th St;973 Amsterdam Ave
El Rey del Sol;232 W 14th St;Btwn 7th & 8th Ave;232 W 14th St
El Rinconcito;408 E 10th St;Btwn Ave C & Ave D;408 E 10th St
El Rio Grande;160 E 38th St;Btwn Lexington & 3rd Ave;160 E 38th St
El Sabroso Restaurant;265 W 37th St;;265 W 37th St
El Salvadoreno;1229 St Nicholas Ave;Btwn 171st & 172nd St;1229 St Nicholas Ave
El Sombrero;108 Stanton St;Corner of Ludlow St;108 Stanton St
El Tapatio;209 E 116th St;Btwn 2nd & 3rd Ave;209 E 116th St
El Tequilazo;43 W 46th St;Btwn 5th & 6th Ave;43 W 46th St
El Tina;511 W 125th St;Btwn Amsterdam & Broadway;511 W 125th St
El Tina51;1 W 125th St;;1 W 125th St
El Toro Partido;3431 Broadway;Btwn 139th & 140th St;3431 Broadway
Elaine's;1703 2nd Ave;Btwn 88th & 89th St;1703 2nd Ave
Eldridge Coffee Shop;3 Eldridge St;At Division St;1-3 Eldridge St
Elephant & Castle;68 Greenwich Ave;At 7th Ave & 11th St;68 Greenwich Ave
Elettaria;33 W 8th St;At MacDougal St;33 W 8th St
Eleven Madison Park;11 Madison Ave;At 24th St;11 Madison Ave
Eleven b;174 Avenue B;At 11th St;174 Avenue B
Eli's New York Deli;153 E 53rd St;Lex Ave Btwn E 53rd & E 54th St;153 E 53rd St
Eli's Vinegar Factory;431 E 91st St;Btwn 1st & York Ave;431 E 91st St
Elio's;1621 2nd Ave;At 84th St;1621 2nd Ave
Elio's162;1 2nd Ave;;1 2nd Ave
Elite Cafe;185 Columbus Ave;Btwn 68th & 69th St;185 Columbus Ave
Elite Food Bar;325 E 48th St;Btwn 1st & 2nd Ave;325 E 48th St
Elixir Juice;225 Liberty St;At Liberty & West St;225 Liberty St
Elizabeth;265 Elizabeth St;Btwn Houston & Prince St;265 Elizabeth St
Ella;9 Avenue A;Btwn 1st & 2nd St;9 Avenue A
Ellen's Stardust Diner;1650 Broadway;At 51st St;1650 Broadway
Elmo;156 7th Ave;Btwn 19th & 20th St;156 7th Ave
Elsa;217 E. 3rd St;Btwn Ave B & Ave C;217 E 3rd St
Elsa217 E.;3rd St;;E 3rd St
Elvalle;3340 Broadway;At 135th St;3340 Broadway
Elvalle33;40 Broadway;;40 Broadway
Elvie's turo-turo;214 1st Ave;Btwn 12th & 13th St;214 1st Avenue
Emack & Bolio's;1562 1st Ave;At E 81st St;1562 1st Avenue
Emack & Bolio's;389 Amsterdam Ave;Btwn 78th & 79th St;389 Amsterdam Ave
Emack & Bolio's;73 W Houston St;At W Broadway;73 W Houston St
Emerald Pub;308 Spring St;Btwn Greenwich & Renwick St;308 Spring St
Emilou's Cafe;827 W 181st St;Btwn Cabrini Blvd & Pinehurst Ave;827 W 181st St
Emma's Dilemma;270 Park Ave S;Btwn 21st & 22nd St;270 Park Ave S
Emmett O'Lunney's Harmony View Bar & Grill;210 W 50th St;Btwn Bway & 8th Ave;210 W 50th St
Emmett O'Lunney's Harmony View Bar & Grill;210 W 50th St 1 Btwn Bway & 8th Ave;;210 W 50th St 1 Btwn Bway & 8th Ave
Empanada Joe's;683 8th Ave;Btwn 43rd & 44th St;683 8th Ave
Empanada Joe's;668 6th Ave;At 21st St;668 6th Ave
Empanada Joe's;2857 Broadway;At 111th St;2857 Broadway
Empanada Joe's (CLOSED);683 8th Ave;;683 8th Ave
Empanada Mama;763 9th Ave;Btwn 51st & 52nd St;763 9th Ave
Emperor Japanese Tapas Shabu;96 Bowery;Btwn Hester & Grand St;96 Bowery
Empire;4041 Broadway;At 170th St;4041 Broadway
Empire City Bagel;729 6th Ave;At 24th St;729 6th Ave
Empire Corner;935 Amsterdam Ave;At 106th St;935 Amsterdam Ave
Empire Corner;1415 5th Ave;At 116th St;1415 5th Ave
Empire Diner;210 10th Ave;At 22nd St;210 10th Ave
Empire Gourmet Deli;245 9th Ave;Corner of 25th St;245 9th Ave
Empire Pizza;314 5th Ave;Btwn 31st & 32nd St;314 5th Ave
Empire Szechuan Gourmet;2642 Broadway;At 100th St;2642 Broadway
Empire Szechuan Kyoto;193 Columbus Ave;Btwn 68th & 69th St;193 Columbus Ave
Empire Szechuan Village;173 7th Ave S;At Perry St;173 7th Ave S
Empire Wok;1567 2nd Ave;Btwn 81st & 82nd St;1567 2nd Ave
Empire404;1 Broadway;;1 Broadway
Employees Only;510 Hudson St;Btwn 10th & Christopher St;510 Hudson St
Emporium Brasil;15 W 46th St;Btwn 5th & 6th Ave;15 W 46th St
Energy Kitchen;71 Nassau St;Btwn John & Fulton St;71 Nassau St
Energy Kitchen;300 E 41st St;At 2nd Ave;300 E 41st St
Energy Kitchen;1089 2nd Ave;Btwn 57th & 58th St;1089 2nd Ave
Energy Kitchen;82 Christopher St;Btwn 7th Ave S & Bleecker St;82 Christopher St
Energy Kitchen;307 W 17th St;Btwn 8th & 9th Ave;307 W 17th St
Enfin Cafe;61 Lexington Ave;At 25th St;61 Lexington Ave
Ennio & Michael Ristorante;539 Laguardia Pl;Btwn Bleecker & W 3rd St;539 LaGuardia Pl
Ennju;20 E 17th St;Btwn 5th Ave & Bway;20 E 17th St
Ennju20 E;17th St;;E 17th St
Enoteca Barbone;186 Avenue B;Btwn 11th & 12th St;186 Avenue B
Enzo's;50 2nd Ave;Btwn 2nd & 3rd St;50 2nd Ave
Enzo's50;2nd Ave;;2nd Ave
Epicerie Cafe Charbon;170 Orchard St;At Stanton St;170 Orchard St
Epices;103 W 70th St;Btwn Broadway & Columbus Ave;103 W 70th St
Epices103 W;70th St;;W 70th St
Epistrophy;200 Mott St;;200 Mott St
Erawan;316 W 36th St;;316 W 36th St
Erawan316 W;36th St;;W 36th St
Eretz;692 Columbus Ave;At 94th St;692 Columbus Ave
Erminia;250 E 83rd St;Btwn 2nd & 3rd Ave;250 E 83rd St
Erminia25;0 E 83rd St;;0 E 83rd St
Eros Cafe;190 7th Ave;Btwn 21st & 22nd St;190 7th Ave
Esca;402 W 43rd St;At 9th Ave;402 W 43rd St
Esca402 W;43rd St;;W 43rd St
Eskimix;318 Bleecker St;Btwn Christopher & Grove St;318 Bleecker St
Eskimix31;8 Bleecker St;;8 Bleecker St
Esperanto;145 Avenue C;At 9th St;145 Loisaida Ave
Espinal's Caribbean Deli;411 E 70th St;Btwn 1st & York Ave;411 E 70th St
Ess-a-Bagel;359 1st Ave;At 21st St;359 1st Avenue
Ess-a-Bagel;831 3rd Ave;At 51st St;831 3rd Ave
Essex;120 Essex St;At Rivington St;120 Essex St
Essex World Cafe;112 Liberty St;Btwn Trinity Pl & Greenwich St;112 Liberty St
Essex on Coney Downtown;17 Trinity Pl;At Edgar St;17 Trinity Pl
Essex on Coney Downtown (CLOSED);17 Trinity Pl;At Edgar St;17 Trinity Pl
Estancia;460 (fka Sosa Borella)460 Greenwich St;Btwn Watts & Desbro;460 Greenwich St
Estancia;460460 Greenwich St;Btwn Watts & Desbrosses St;Greenwich St
Estiatorio Milos;125 W 55th St;Btwn 6th & 7th Ave;125 W 55th St
Estihana;221 W 79th St;Btwn Bway & Amsterdam Ave;221 W 79th St
Etats-Unis;242 E 81st St;Btwn 2nd & 3rd Ave;242 E 81st St
Etcetera Etcetera;352 W 44th St;Btwn 8th & 9th Ave;352 W 44th St
Ethos;495 3rd Ave;Btwn 33rd & 34th St;495 3rd Ave
Ethos;905 1st Ave;At 51st St;905 1st Avenue
Ethos495;3rd Ave;;3rd Ave
Ethos905;1st Ave;;1st Avenue
Etrusca;125 W 53rd St;At 6th Ave;125 W 53rd St
Etrusca12;5 W 53rd St;;5 W 53rd St
Euro Diner;542 3rd Ave;At 36th St;542 3rd Ave
EuroPan Cafe;672 8th Ave;Btwn 42nd & 43rd St;672 8th Ave
Europa Cafe;205 W 57th St;At 7th Ave;205 W 57th St
Europa Cafe;717 5th Ave;At 55th St btwn Madison & 5th Ave;717 5th Ave
Europa Cafe;787 7th Ave;At 51st St btwn 6th & 7th Ave;787 7th Ave
Europa Cafe;520 5th Ave;Btwn 43rd & 44th St;520 5th Ave
Europa Cafe;1700 Broadway;At 53rd St;1700 Broadway
Europa Cafe;317 Madison Ave;At 42nd St;317 Madison Ave
Europa Cafe;3 Times Sq;At 43rd St & 7th Ave;3 Times Square
Europa Cafe;515 Madison Ave;At 53rd St;DuMont Building
Europa Cafe;1412 Broadway;Btwn 39th & 40th St;1412 Broadway
Europa Cafe;11 Penn Plaza;Btwn 31st & 32nd St;11 Pennsylvania Plaza
Europa Cafe;350 5th Ave;At 33rd St;350 5th Ave
Europa Cafe;1177 6th Ave;At 46th St;1177 6th Ave
Europa Cafe;199 Water St;At John St;199 Water St
Europa Cafe;599 Lexington Ave;At 53rd St;599 Lexington Avenue
Europan;2197 Broadway;At 78th St;2197 Broadway
Europan Bakery Cafe;135 Columbus Ave;At 66th St;135 Columbus Ave
Europan21;97 Broadway;;97 Broadway
European Union (The E.U.);235 E 4th St;Btwn Ave B & Ave A;235 E 4th St
European Union (The E.U.) (CLOSED);235 E 4th St;Btwn Ave B & Ave A;235 E 4th St
Euzkadi;108 E 4th St;Btwn 1st & 2nd Ave;108 E 4th St
Euzkadi10;8 E 4th St;;8 E 4th St
Eva's;11 W 8th St;Btwn 5th & 6th Ave;11 W 8th St
Eva's11 W;8th St;;E 8th St
Everest;22 Chatham Sq;At E Bway;22 Chatham Square
Evergreen;10 E 38th St;Btwn Madison & 5th Ave;10 E 38th St
Evergreen;145 W 47th St;Btwn 6th & 7th Ave;145 W 47th St
Everyman Espresso;136 E 13th St;Btwn 3rd & 4th Ave;136 E 13th St
Excellent Dumpling House;111 Lafayette St;Btwn Walker & Canal St;111 Lafayette St
Excellent Pork Chop House;3 Doyers St;At Chatham Sq;3 Doyers St
Exchange Sports Bar & Lounge;90 Fulton St;;90 Fulton St
Exclusive Pizza;810 W 181st St;Btwn Pinehurst & Fort Washington Ave;810 W 181st St
Express;370 8th Ave;Btwn 28th & 29th St;370 8th Ave
Express Manna Kitchen;28 E 18th St;Btwn Broadway and Park Ave;28 E 18th St
Express17;4 Ave B;;4 Avenue B
Express37;0 8th Ave;;0 8th Ave
Extra Virgin;259 W 4th St;Btwn Charles & Perry St;259 West 4th Street
F&B gudt food;269 W 23rd St;Btwn 7th & 8th Ave;269 W 23rd St
F&B gudt food;150 E 52nd St;Btwn Lexington & 3rd Ave;150 E 52nd St
F&B gudt food (CLOSED);150 E 52nd St;Btwn Lexington & 3rd Ave;150 E 52nd St
F. Illi Ponte Ristorante;39 Desbrosses St;At Washington St;39 Desbrosses St
FIKA;41 W 58th St;Btwn 5th & 6th Ave;41 W 58th St
FIKA41 W;58th St;;W 58th St
FROG;71 Spring St;Btwn Crosby & Lafayette St;71 Spring St
Fa Shing;2107 3rd Ave;Btwn 115th St & 116th St;2107 3rd Ave
Fabio Piccolo Fiore;230 E 44th St;Btwn 2nd & 3rd Ave;230 E 44th St
Fabulous Cafe;291 7th Ave;Btwn 26th & 27th St;291 7th Ave
Faces & Names;159 W 54th St;Btwn 6th & 7th Ave;159 W 54th St
Fagiolini;334 Lexington Ave;At 39th St;334 Lexington Ave
Fairway Cafe;2127 Broadway;Btwn 74th & 75th St;2127 Broadway
Falafel Express;1406 Madison Ave;Btwn 97th & 98th St;1406 Madison Ave
Falai;68 Clinton St;At Rivington St;68 Clinton St
Falai Panetteria;79 Clinton St;At Rivington St;79 Clinton St
Famous Ben's Pizza;177 Spring St;At Thompson St;177 Spring St
Famous Chicken Place;592 3rd Ave;At 39th St;592 3rd Ave
Famous Deli;2817 Broadway;At 109th St;2817 Broadway
Famous Famiglia;2859 Broadway;At 111th St;2859 Broadway
Famous Famiglia;734 Amsterdam Ave;At 96th St;734 Amsterdam Ave
Famous Famiglia;686 8th Ave;At 43rd St;686 8th Ave
Famous Famiglia;1630 Broadway;At 50th St;1630 Broadway
Famous Famiglia;1284 1st Ave;At 69th St;1284 1st Avenue
Famous Famiglia Pizza;1398 Madison Ave;At 97th St;1398 Madison Ave
Famous Famiglia Pizzeria;4007 Broadway #168;Btwn 168th & 169th St;4007 Broadway #168
Famous Fish Market;684 St Nicholas Ave;At 145th St;684 St Nicholas Ave
Famous Italian Mexican;886 Amsterdam Ave;At 103rd St;886 Amsterdam Ave
Famous Original Ray's Pizza;77 Lexington Ave;Corner of 26th St;77 Lexington Ave
Famous Original Ray's Pizza;462 Columbus Ave;Btwn 82nd & 83rd St;462 Columbus Ave
Famous Original Ray's Pizza;831 7th Ave;Btwn 53rd & 54th St;831 7th Ave
Famous Original Ray's Pizza;736 7th Ave;Btwn 48th & 49th St;736 7th Ave
Famous Original Ray's Pizza;811 Lexington Ave;Btwn 62nd & 63rd St;811 Lexington Ave
Famous Original Ray's Pizza;1827 2nd Ave;Btwn 94th & 95th St;1827 2nd Ave
Famous Original Ray's Pizza;204 9th Ave;Btwn 22nd & 23rd St;204 9th Ave
Famous Original Ray's Pizza;195 E Houston St;Btwn Ludlow & Orchard St;195 E Houston St
Famous Original Ray's Pizza;250 E Houston St;Near Ave A;250 E Houston St
Famous Oyster Bar;842 7th Ave;At 54th St;842 7th Ave
Famous Ray's;465 6th Ave;At 11th St;465 6th Ave
Famous Sichuan;10 Pell St;Btwn Doyers St & Confucius Plaza;10 Pell St
Fanelli Cafe;94 Prince St;At Mercer St;94 Prince St
Fashion;40 Lounge202 W 40th St;Btwn 7th & 8th Ave;W 40th St
Fashion Soup;124 W 41st St;Btwn 6th Ave & Broadway;124 W 41st St
Fat Annie's Truck Stop;121 W 33rd St;Btwn 6th & 7th Ave;121 W 33rd St
Fat Black Pussycat;130 W 3rd St;Btwn 6th Ave & MacDougal St;130 W 3rd St
Fat Hippo;71 Clinton St;;71 Clinton St
Fat Sal's;1603 2nd Ave;Btwn 83rd & 84th St;1603 2nd Ave
Fat Sal's Pizza;730 10th Ave;At 50th St;730 10th Ave
Fat Sal's Pizza;510 9th Ave;Btwn 38th & 39th St;510 9th Ave
Fat Sal's Pizza;217 W 14th St;Btwn 7th & 8th Ave;217 W 14th St
Fat Sal's Pizza;1603 2nd Ave;;1603 2nd Ave
Fat Witch Bakery;75 9th Ave;At 16th St;75 9th Ave
Fatty Crab;2170 Broadway;;2170 Broadway
Fatty Crab;643 Hudson St;Btwn Horatio & Gansevoort St;643 Hudson St
Fava;77 Lexington Ave;At 26th St;77 Lexington Ave
Favela Cubana;543 Laguardia Pl;;543 LaGuardia Pl
Favorite Cafe and Deli;500 8th Ave;At 35th St;500 8th Ave
Fay Da Bakery;191 Centre St;At Hester St;191 Centre St
Fay Da Bakery;83 Mott St;At Canal St;83 Mott St
Fay Da Bakery;327 Canal St;Btwn Greene & Mercer St;327 Canal St
Fay Da Bakery;82 Elizabeth St;Btwn Hester & Grand St;82 Elizabeth St
Fei Ma;79 Avenue A;Btwn 5th & 6th St;79 Avenue A
Felice Wine Bar;1166 1st Ave;At 64th St;1166 1st Avenue
Felidia;243 E 58th St;Btwn 2nd & 3rd Ave;243 E 58th St
Felidia24;3 E 58th St;;3 E 58th St
Felix;340 W Broadway;At Grand St;340 W Broadway
Feng Shui;0Grand Central Terminal 0;;89 E 42nd St
Feng Shui;1Grand Central Terminal;;89 E 42nd St
Feng Shui;0grand central terminal 0;;89 E 42nd St
Feng Shui;0Grand Central Terminal;;89 E 42nd St
Ferrara Cafe;195 Grand St;At Mulberry St;195 Grand St
Ferro's;145 E 50th St;Btwn Lexington & 3rd Ave;145 E 50th St
Ferro's14;5 E 50th St;;5 E 50th St
Festival Mexicano;120 Rivington St;Btwn Essex & Norfolk St;120 Rivington St
Fetch;1649 3rd Ave;Btwn 92nd & 93rd St;1649 3rd Ave
Fetch1649;3rd Ave;;3rd Ave
Fiamma;206 Spring St;Btwn 6th Ave & Sullivan St;206 Spring St
Fiamma (CLOSED);206 Spring St;Btwn 6th Ave & Sullivan St;206 Spring St
Fibe Bistro;4055 Broadway;At 171st St;4055 Broadway
Fiddlesticks;56 Greenwich Ave;Btwn 6th & 7th Ave;56 Greenwich Ave
Fifth;230 5th Ave;Btwn 26th & 27th St;230 5th Ave
Fifth Ave Coffee - Bar Restaurant;389 5th Ave;At 36th St;389 5th Ave
Fifth Avenue Epicure;144 5th Ave;Btwn 19th & 20th St;144 5th Ave
Fifth230;5th Ave;;5th Ave
Fig & Olive;10 E 52nd St;Btwn 5th & Madison Ave;10 E 52nd St
Fig & Olive;808 Lexington Ave;Btwn 62nd & 63rd St;808 Lexington Ave
Fig & Olive;420 W 13th St;Btwn 9th Ave & Washington St;420 W 13th St
Figaro;26 W 44th St;Btwn 5th & 6th Ave;26 W 44th St
Figaro Pizza;1469 2nd Ave;Btwn 76th & 77th St;1469 2nd Ave
Figaro26 W;44th St;;W 44th St
Film Center Cafe;635 9th Ave;Btwn 44th & 45th St;635 9th Ave
Financier;3-4 World Financial Center;At Vesey St;230 Vesey St
Financier;35 Cedar St at 10 Liberty Plz;Btwn Pearl & William St;35 Cedar St
Financier;62 Stone St;Btwn Mill Ln & Hanover Sq;62 Stone St
Fine & Schapiro;138 W 72nd St;Btwn Bway & Columbus Ave;138 W 72nd St
Fine Food Deli;411 2nd Ave;Btwn 23rd & 24th St;411 2nd Ave
Finest Pizzeria & Deli;151 E 103rd St;At Lexington Ave;151 E 103rd St
Finestra;1370 York Ave;At 73rd St;1370 York Ave
Finnegan's Wake;1361 1st Ave;At 73rd St;1361 1st Avenue
Fino Ristorante Italiano;4 E 36th St;Btwn 5th & Madison Ave;4 E 36th St
Fino Wall Street Ristorante;1 Wall Street Ct;At Pine & Pearl St;1 Wall St
Fiorini;209 E 56th St;Btwn 2nd & 3rd Ave;209 E 56th St
Fiorini20;9 E 56th St;;9 E 56th St
FireBird;365 W 46th St;Btwn 8th & 9th Ave;365 W 46th St
Firefly;54 Spring St;Btwn Lafayette & Mulberry St;54 Spring St
Firehouse;522 Columbus Ave;Btwn 85th & 86th St;522 Columbus Ave
Firenze Ristorante;1594 2nd Ave;Btwn 82nd & 83rd St;1594 2nd Ave
Fireside;21 E 52nd St;Btwn 5th & Madison Ave;21 E 52nd St
First Ave Pizza Bucks;1976 1st Ave;At 102nd;1976 1st Avenue
First Avenue Coffee Shop;1433 1st Ave;Btwn 74th & 75th St;1433 1st Avenue
First Choice;3893A Broadway;At 163rd St;3893A Broadway
Fish;280 Bleecker St;Btwn Jones St & 7th Ave S;280 Bleecker St
