restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
Davidburke & Donatella;133 E 61st St;New York;NY;Upper East Side;American;$$$$;133 E 61st St
Dawat;210 E 58th St;New York;NY;Midtown East;Indian;$$$;210 E 58th St
DeGrezia;231 E 50th St;New York;NY;Midtown East;Italian;$$$;231 E 50th St
Degustation;239 E Fifth St;New York;NY;East Village;Spanish;$$$;239 E 5th St
Del Frisco's;1221 Sixth Ave;New York;NY;Midtown West;Steakhouse;$$$$;1221 6th Ave
Del Posto;85 10th Ave;New York;NY;Chelsea;Italian;$$$$$;85 10th Ave
Delmonico's;56 Beaver Street;New York;NY;Financial District;American;$$$$$;56 Beaver St
Delta Grill;700 Ninth Ave;New York;NY;Midtown West;Creole-Cajun;$$;700 9th Ave
Demarchelier;50 E. 86th St.;New York;NY;;;;50 East 86th St
Dervish Turkish;146 West 47th Street;New York;NY;Midtown West;Middle Eastern;$$;146 W 47th St
Desnuda;122 E 7th St;New York;NY;East Village;Seafood;$$$;122 E 7th St
Devi;8 E 18th St;New York;NY;Flatiron;Indian;$$$$;8 E 18th St
Dim Sum Go Go;5 E Broadway;New York;NY;Chinatown;Chinese;$;5 E Broadway
Dinosaur Bar-B-Que;646 W 131st St;New York;NY;Harlem;American;$;646 W 131st St
Ditch Plains;29 Bedford St.;New York;NY;;;;29 Bedford St
Diva;341 W Broadway;New York;NY;SOHO;Italian;$$$;341 W Broadway
Django;480 Lexington Avenue;New York;NY;Midtown East;French;$$$;480 Lexington Ave
Do Hwa;55 Carmine St;New York;NY;Greenwich Village;Korean;$$;55 Carmine St
Dok Suni;119 First Ave;New York;NY;East Village;Korean;$$;119 1st Avenue
Dolce Vita;181 Grand Street;New York;NY;;;;181 Grand St
Don Giovanni Ristorante;214 Tenth Avenue;New York;NY;Chelsea;Italian;$;214 Amsterdam Ave
Don Pedro's;1865 Second Ave;New York;NY;Upper East Side;Caribbean;$$;1865 2nd Ave
Donguri;309 E 83rd St;New York;NY;Upper East Side;Japanese;$$$;309 E 83rd St
Dos Caminos;825 Third Ave.;New York;NY;;Mexican;$$$;825 3rd Ave
Dos Caminos Park;373 Park Ave South;New York;NY;Gramercy Park;Mexican;$$;373 Park Ave S
Dos Caminos Soho;475 West Broadway;New York;NY;SOHO;Mexican;$$$;475 W Broadway
Doyers Vietnamese;11-13 Doyers St;New York;NY;Chinatown;Asian;$;11 Doyers St #13
Duane Park Cafe;157 Duane St;New York;NY;TriBeCa;American;$$$;157 Duane St
Duke's;99 E. 19th St.;New York;NY;;Barbecue;$$$;99 E 19th St
Dylan Prime;62 Laight St;New York;NY;TriBeCa;Steakhouse;$$$$$;62 Laight St
E.A.T.;1064 Madison Avenue;New York;NY;Upper East Side;American;$$;1064 Madison Ave
East Of Eighth;254 West 23rd St;New York;NY;;;;254 W 23rd St
Eatery;798 9th Ave;New York;NY;Midtown West;American;$;798 9th Ave
Eight Mile Creek;240 Mulberry St;New York;NY;Little Italy;Australian;$$;240 Mulberry St
El Charro Espanol;4 Charles St;New York;NY;Greenwich Village;Spanish;$$$;4 Charles St
El Faro;823 Greenwich St;New York;NY;West Village;Spanish;$$;823 Greenwich St
El Malecon;4141 Broadway;New York;NY;Harlem;Caribbean;$;4141 Broadway
El Parador Cafe;325 E 34th St;New York;NY;Murray Hill;Mexican;$$;325 E 34th St
El Pote;718 2nd Ave;New York;NY;Murray Hill;Spanish;$$;718 2nd Ave
El Quijote;226 W 23rd St;New York;NY;Chelsea;Spanish;$$;226 W 23rd St
El Rio Grande;160 East 38th Street;New York;NY;Midtown East;Southwestern;$$$;160 E 38th St
Elaine's Restaurant;1703 Second Ave;New York;NY;Upper East Side;American;$$$;1703 2nd Ave
Elephant;The, 58 E First St;New York;NY;East Village;French;$$;58 E 1st St
Eleven Madison Park;11 Madison Ave;New York;NY;Gramercy Park;American;$$$$$;11 Madison Ave
Elmo;156 Seventh Ave;New York;NY;Chelsea;American;$$;156 7th Ave
Emack & Bolio's;389 Amsterdam Ave;New York;NY;Upper West Side;American;$;389 Amsterdam Ave
Employees Only;510 Hudson St;New York;NY;West Village;European;$$$;510 Hudson St
En Japanese Brasserie;435 Hudson St;New York;NY;West Village;Japanese;$$$;435 Hudson St
Epicerie;170 Orchard St;New York;NY;East Village;French;$$;170 Orchard St
Epices Inc;103 W 70th St;New York;NY;Upper West Side;Mediterranean;$$;103 W 70th St
Erminia;250 E 83rd St;New York;NY;Upper East Side;Italian;$$$;250 E 83rd St
Esca;402 W 43rd St;New York;NY;Midtown West;Italian;$$$$;402 W 43rd St
Esperanto;145 Ave C;New York;NY;East Village;Nuevo Latino;$$;145 Loisaida Ave
Espn Zone;1472 Broadway;New York;NY;Midtown West;American;$;1472 Broadway
Essex;120 Essex St;New York;NY;Lower East Side;American;$;120 Essex St
Estancia 460;460 Greenwich St;New York;NY;Midtown West;Argentinean;$$;460 Greenwich St
Estiatorio Milos;125 West 55th Street;New York;NY;Midtown West;Greek;$$$$;125 W 55th St
Etats-Unis;242 E 81st St;New York;NY;Upper East Side;American;$$$;242 E 81st St
Etcetera Etcetera;352 W 44th St;New York;NY;Theater;Italian;$;352 W 44th St
Ethiopian Restaurant;The, 1582 York Ave;New York;NY;Upper East Side;African;$;1582 York Ave
Eva's Health Food;11 W. 8th Street;New York;NY;;;;11 W 8th St
Extra Virgin;259 W 4th St;New York;NY;West Village;Mediterranean;$$;259 West 4th Street
F.illi Ponte;39 Desbrosses St.;New York;NY;;Italian;$$$$;39 Desbrosses St
FR.OG;71 Spring Street;New York;NY;SOHO;French;$$$;71 Spring St
Falai;68 Clinton St;New York;NY;Lower East Side;Italian;$$$;68 Clinton St
Fat Hippo;71 Clinto St.;New York;NY;;;;71 Clinton St
Fatty Crab;643 Hudson Street;New York;NY;Meatpacking District;Indonesian;$$;643 Hudson St
Felidia;243 East 58th Street;New York;NY;Midtown East;Italian;$$$$;243 E 58th St
Felix;340 W Broadway;New York;NY;SOHO;French;$$;340 W Broadway
Fiamma Osteria;206 Spring Street;New York;NY;SOHO;Italian;$$$;206 Spring St
Fig & Olive Kitchen & Tasting Bar;808 Lexington Ave;New York;NY;Upper East Side;Mediterranean;$$;808 Lexington Ave
Fig and Olive Downton;420 W. 13th Street;New York;NY;Meatpacking District;Mediterranean;$$$;420 W 13th St
Film Center Cafe;635 9th Avenue;New York;NY;Midtown West;American;$$;635 9th Ave
Fish;280 Bleecker St;New York;NY;Greenwich Village;Seafood;$$;280 Bleecker St
Five Points;31 Great Jones Street;New York;NY;NoLita;American;$$$;31 Great Jones St
Flea Market Cafe;131 Ave A;New York;NY;East Village;French;$;131 Avenue A
Fleur De Sel;5 E 20th St;New York;NY;Flatiron;French;$$$$$;5 E 20th St
Flor De Mayo;484 Amsterdam Ave;New York;NY;Upper West Side;Chinese;$;484 Amsterdam Ave
Florent;69 Gansevoort St;New York;NY;Meatpacking District;American;$;69 Gansevoort St
Forge;134 Reade St;New York;NY;TriBeCa;American;$$$$;134 Reade St
Franchia Teahouse & Restaurant;12 Park Ave;New York;NY;Murray Hill;Korean;$$;12 Park Ave
Francisco's Centro Vasco;159 W 23rd St;New York;NY;;;;159 W 23rd St
Frank Restaurant;88 Second Ave;New York;NY;East Village;Italian;$;88 2nd Ave
Frank's;410 W 16th St;New York;NY;Chelsea;Italian;$$$;410 W 16th St
Frankie & Johnnie's Steakhouse;32 W 37th St;New York;NY;Midtown West;Steakhouse;$$$;32 W 37th St
Frankie & Johnnie's Steakhouse;269 West 45th Street;New York;NY;Midtown West;Steakhouse;$$$;269 W 45th St
Fred's Restaurant;476 Amsterdam Ave;New York;NY;;;;476 Amsterdam Ave
Frederick's;8 West 58th Street;New York;NY;Midtown West;Asian;$$$;8 W 58th St
Frederick's Madison;768 Madison Ave;New York;NY;Upper East Side;Mediterranean;$$$$;768 Madison Ave
Freeman;Freeman Alley;New York;NY;Lower East Side;American;$$;Freeman Alley
French Roast;2340 Broadway;New York;NY;Upper West Side;Breakfast;$;2340 Broadway
Fresco by Scotto;34 E 52nd St;New York;NY;Midtown East;Italian;$$$;34 E 52nd St
Fresh;105 Reade St;New York;NY;TriBeCa;Seafood;$$$;105 Reade St
Friend Of a Farmer;77 Irving Pl;New York;NY;Gramercy Park;American;$;77 Irving Pl
Funky Diner;466 Columbus Ave.;New York;NY;Upper West Side;American;$;466 Columbus Ave
Gabriel's Bar & Restaurant;11 W 60th St;New York;NY;Upper West Side;Italian;$$$;11 W 60th St
Gabriela's;688 Columbus Avenue;New York;NY;Upper West Side;Mexican;$$;688 Columbus Ave
Gallaghers;228 W 52nd St;New York;NY;Midtown West;Steakhouse;$$$$;228 W 52nd St
Gammeeok Restaurant;43 W 32nd St;New York;NY;Midtown West;Korean;$;43 W 32nd St
Garage Restaurant and Cafe;99 7th Avenue;New York;NY;Chelsea;American;$$$;99 7th Ave
Gari;370 Columbus Ave;New York;NY;Upper West Side;Sushi;$$$$$;370 Columbus Ave
Gascogne;158 8th Avenue;New York;NY;Chelsea;French;$$$;158 8th Ave
Gaucho Steak Co.;752 10th Ave.;New York;NY;;Argentinean;$$;752 10th Ave
Gavroche;212 W 14th St;New York;NY;West Village;French;$$$;212 W 14th St
Geisha;33 E 61st St;New York;NY;Upper East Side;Japanese;$$$$;33 E 61st St
Gennaro;665 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;665 Amsterdam Ave
Ghenet Restaurant;284 Mulberry St;New York;NY;NoLita;African;$;284 Mulberry St
Ginger;1400 Fifth Ave;New York;NY;Upper East Side;Chinese;$;1400 5th Ave
Giorgione 508;508 Greenwich St;New York;NY;SOHO;Continental;$$$;508 Greenwich St
Gobo;1426 Third Ave.;New York;NY;;Vegetarian;$$;1426 3rd Ave
Golden Unicorn;18 E Broadway;New York;NY;;;;18 E Broadway
Gonzalez Y Gonzalez;625 Broadway;New York;NY;SOHO;Mexican;$$$;625 Broadway
Good;89 Greenwich St;New York;NY;West Village;American;$$;89 Greenwich St
Good Enough To Eat;483 West Amsterdam Avenue;New York;NY;Upper West Side;American;$;483 Amsterdam Ave
Goodies;1 E Broadway;New York;NY;Chinatown;Chinese;$;1 E Broadway
Gordon Ramsay;The London NYC;New York;NY;Midtown West;French;$$$$$;151 W 54th St
Gotham Bar & Grill;12 E 12th St;New York;NY;Greenwich Village;American;$$$$;12 E 12th St
Grace's Trattoria Cafe & Grill;201 E 71st St;New York;NY;Upper East Side;Italian;$$$;201 E 71st St
Gramercy Tavern;42 E 20th St;New York;NY;Union Square;American;$$$$;42 E 20th St
Grand Central Oyster Bar/Saloon;89 E 42nd Street, Grand Central Terminal (Lower L;New York;NY;Midtown West;Seafood;$$;89 E 42nd St
Gray's Papaya;539 8th Avenue;New York;NY;Hell's Kitchen;Fast Food;$;539 8th Ave
Gray's Papaya;2090 Broadway;New York;NY;Upper West Side;American;$;2090 Broadway
Great Jones Cafe;54 Great Jones St;New York;NY;NoLita;Southern;$;54 Great Jones St
Great N.Y. Noodle Town;28 Bowery;New York;NY;Chinatown;Chinese;$;28 Bowery
Greenwich Grill;428 Greenwich St;New York;NY;TriBeCa;Californian;$$$;428 Greenwich St
Grey Dog's Coffee Ltd;33 Carmine St;New York;NY;Greenwich Village;American;$;33 Carmine St
Grifone Restaurant;244 E 46th St;New York;NY;Midtown East;Italian;$$$;244 E 46th St
Grotto Azzurra;177 Mulberry St;New York;NY;Little Italy;Italian;$$$;177 Mulberry St
Gus's Place;192 Bleecker Street;New York;NY;Greenwich Village;Greek;$;192 Bleecker St
Gyu-Kaku;805 3rd Ave;New York;NY;Midtown East;Japanese;$$;805 3rd Ave
Gyu-Kaku Japanese;34 Cooper Square;New York;NY;East Village;Japanese;$$;34 Cooper Sq
HQ;90 Thompson St;New York;NY;;;;90 Thompson St
Hallo Berlin;626 10th Ave.;New York;NY;;German;$;626 10th Ave
Hangawi;12 E 32nd Street;New York;NY;Murray Hill;Korean;$$$;12 E 32nd St
Haru;433 Amsterdam Ave;New York;NY;Upper West Side;Japanese;$$;433 Amsterdam Ave
Haru Japanese;205 West 43rd St;New York;NY;Midtown West;Japanese;$$;205 W 43rd St
Haru-Park Ave.;280 Park Ave;New York;NY;Flatiron;Sushi;$$;280 Park Ave
Hasaki;210 E Ninth St;New York;NY;East Village;Sushi;$$;210 E 9th St
Hatsuhana;237 Park Ave;New York;NY;Midtown East;Sushi;$$$$;237 Park Ave
Havana Alma De Cuba;94 Christopher St;New York;NY;West Village;Cuban;$$;94 Christopher St
Havana Central;151 W 46th Street;New York;NY;Midtown West;Cuban;$$;151 W 46th St
Havana Central - Union Square;22 E 17th St;New York;NY;Union Square;Cuban;$$;22 E 17th St
Haveli;100 Second Ave;New York;NY;East Village;Indian;$$;100 2nd Ave
Hea;145 E. 13th St.;New York;NY;East Village;Pan-Asian;$$$;145 E 13th St
Hearth;403 E 12th St;New York;NY;East Village;American;$$$$;403 E 12th St
Heartland Brewery;1285 Sixth Ave;New York;NY;Midtown West;American;$$;1285 6th Ave
Hedeh;57 Great Jones St;New York;NY;NoLita;Sushi;$$$;57 Great Jones St
Heidelberg;1648 2nd Ave;New York;NY;Upper East Side;German;$$;1648 2nd Ave
Hell's Kitchen;679 Ninth Ave;New York;NY;Midtown West;Mexican;$$$;679 9th Ave
Highline;835 Washington St;New York;NY;Meatpacking District;Asian;$$;835 Washington St
Hill Country;30 W. 26th St.;New York;NY;Chelsea;Barbecue;$$;30 W 26th St
Hispaniola;839 W 181st St;New York;NY;Harlem;Asian;$$;839 W 181st St
Holy Basil;149 Second Ave;New York;NY;East Village;Asian;$;149 2nd Ave
Home;20 Cornelia St;New York;NY;Greenwich Village;American;$$;20 Cornelia St
Houston's;378 Park Ave. S.;New York;NY;;American;$$;378 Park Ave S
Houston's Restaurant;153 E 53rd St;New York;NY;Midtown East;American;$$;153 E 53rd St
Hsf;46 Bowery;New York;NY;Chinatown;Chinese;$;46 Bowery
Hudson Cafeteria;356 West 58th Street;New York;NY;Midtown West;American;$$$;356 W 58th St
Hudson River Café;697 West 133rd ST.;New York;NY;Harlem;American;$$;697 W 133rd St
Hummus Place;109 St. Marks Pl.;New York;NY;;;;109 St Marks Pl
Hunan Park Restaurant;235 Columbus Ave;New York;NY;;;;235 Columbus Ave
I Coppi;432 E Ninth St;New York;NY;East Village;Italian;$$$;432 E 9th St
I Sodi;105 Christopher St;New York;NY;Greenwich Village;Italian;$$$;105 Christopher St
I Tre Merli;463 W Broadway;New York;NY;SOHO;Italian;$$$;463 W Broadway
I Trulli;122 E 27th St;New York;NY;Gramercy Park;Italian;$$$;122 E 27th St
Icon;130 E 39th Street;New York;NY;Midtown East;American;$$$;130 E 39th St
Ideya;349 W Broadway;New York;NY;SOHO;Caribbean;$$;349 W Broadway
Iguana;240 W 54th St;New York;NY;;;;240 W 54th St
Il Bagatto;192 E Second St;New York;NY;East Village;Italian;$$;192 E 2nd St
Il Bastardo;191 Seventh Ave;New York;NY;Chelsea;Steakhouse;$$$;191 7th Ave
Il Brigante;214 Front St.;New York;NY;Financial District;Italian;$$;214 Front St
Il Buco;47 Bond St;New York;NY;NoLita;Italian;$$$;47 Bond St
Il Cantinori;32 East 10th St;New York;NY;Greenwich Village;Italian;$$$$;32 E 10th St
Il Cortile;125 Mulberry St;New York;NY;Little Italy;Italian;$$$;125 Mulberry St
Il Gattopardo;33 W 54th St;New York;NY;Midtown West;Italian;$$$;33 W 54th St
Il Giglio;81 Warren St;New York;NY;TriBeCa;Italian;$$$$;81 Warren St
Il Mulino;86 W 3rd St;New York;NY;Greenwich Village;Italian;$$$$;86 W 3rd St
Il Valentino;330 East 56th Street;New York;NY;Midtown East;Italian;$$$;330 E 56th St
Inagiku;111 East 49th Street;New York;NY;Midtown East;Sushi;$$$$;111 E 49th St
Indochine;430 Lafayette St;New York;NY;East Village;French;$$$;430 Lafayette St
Indus Valley;2636 Broadway;New York;NY;Upper West Side;Indian;$$;2636 Broadway
Industria Argentina;329 Greenwich St.;New York;NY;;Argentinean;$$$;329 Greenwich St
Inn LW12;7 Ninth Avenue;New York;NY;Meatpacking District;British;$$$;7 9th Ave
Insieme;777 Seventh Avenue;New York;NY;Midtown West;Italian;$$$$;777 7th Ave
Ippudo;65 4th Ave;New York;NY;East Village;Japanese;$$$;65 4th Ave
Isabella's;359 Columbus Ave;New York;NY;Upper West Side;American;$$;359 Columbus Ave
Island Burgers & Shakes;766 9th Ave;New York;NY;Midtown West;American;$;766 9th Ave
It's A Dominican Thing;144 W 19th St;New York;NY;Chelsea;Caribbean;$;144 W 19th St
Ithaka;308 E 86th St;New York;NY;Upper East Side;Greek;$$$;308 East 86th St
Ivo & Lulu;558 Broome St;New York;NY;SOHO;Caribbean;$;558 Broome St
Jack's Luxury Oyster Bar;246 E Fifth St;New York;NY;East Village;Continental;$$$$;246 E 5th St
Jacks Bar and Restaurant;147West 40th Street;New York;NY;Theater;American;$$$;147 W 40th St
Jackson Hole;232 E 64th St;New York;NY;;;;232 E 64th St
Jacques-Imo's;366 Columbus Ave;New York;NY;Upper West Side;Creole-Cajun;$$;366 Columbus Ave
Jaipur's;1007 2nd Avenue;New York;NY;Midtown East;Indian;$;1007 2nd Ave
Jane;100 W Houston St;New York;NY;Greenwich Village;American;$$$;100 W Houston St
Japonica;100 University Pl;New York;NY;Greenwich Village;Sushi;$$$;100 University Pl
Jarnac;328 W 12th St;New York;NY;West Village;French;$$$;328 W 12th St
Jean Georges;1 Central Park W;New York;NY;Upper West Side;French;$$$$$;1 Central Park West
Jekyll & Hyde Club;1409 Ave Of The Americas;New York;NY;Greenwich Village;American;$$;1409 6th Ave
Jerry's;101 Prince St;New York;NY;SOHO;American;$$;101 Prince St
Jewel Of India;15 W 44th St;New York;NY;Midtown West;Indian;$$;15 W 44th St
Jezebel;630 Ninth Ave;New York;NY;Midtown West;Southern;$$$;630 9th Ave
JoJo;160 E 64th St;New York;NY;Upper East Side;French;$$$$;160 E 64th St
Joe's Pizza;7 Carmine St;New York;NY;Greenwich Village;Pizza;$;7 Carmine St
Joe's Shanghai Restaurant;St Pell St Fl 1;New York;NY;Midtown West;Chinese;$;St Pell St Fl 1
John's Of 12th Street;302 E 12th St;New York;NY;East Village;Italian;$$;302 E 12th St
John's Pizzeria;408 E 64th St;New York;NY;Upper East Side;Pizza;$;408 E 64th St
Johnny Utah's;25 W. 51st St.;New York;NY;;;;25 W 51st St
Joseph's Restaurant;St Hanover Sq;New York;NY;Wall Street;Italian;$$$;Hanover Square
Josie's;300 Amsterdam Avenue;New York;NY;Upper West Side;International;$$;300 Amsterdam Ave
Jules;65 St Marks Pl;New York;NY;East Village;French;$$;65 St Marks Pl
Kabab Factory;101 Lexington Avenue;New York;NY;Murray Hill;Indian;$$;101 Lexington Ave
Kai;822 Madison Ave;New York;NY;Upper East Side;Japanese;$$$$;822 Madison Ave
Kaijou;21 South End Street;New York;NY;Financial District;Japanese;$$;21 South End Ave
Kampuchea;78 Rivington St.;New York;NY;;Cambodian;;78 Rivington St
Kang Such Restaurant;1250 Broadway;New York;NY;Midtown West;Korean;$$;1250 Broadway
Kanoyama;175 Second Ave;New York;NY;East Village;Sushi;$$;175 2nd Ave
Katz's Delicatessen;205 East Houston Street;New York;NY;Lower East Side;Deli;$;205 E Houston St
Keens Steakhouse;72 W 36th St;New York;NY;Midtown West;Steakhouse;$$$;72 W 36th St
Kefi;222 W. 79th St.;New York;NY;Upper West Side;Greek;$$$;222 W 79th St
Kellari Taverna;19 W 44th St;New York;NY;Midtown West;Greek;$$;19 W 44th St
Kelley & Ping;127 Greene St;New York;NY;SOHO;Asian;$;127 Greene St
Kin Khao;171 Spring Street;New York;NY;SOHO;Asian;$$;171 Spring St
Kings' Carriage House;251 E 82nd St;New York;NY;Upper East Side;Continental;$$$;251 E 82nd St
Kinoko Japanese Restaurant;165 W 72nd Street;New York;NY;;Japanese;$$;165 W 72nd St
Kittichai;60 Thompson St;New York;NY;SOHO;Thai;$$$$;60 Thompson St
Klee Brasserie;200 9th Avenue;New York;NY;Chelsea;American;$$$;200 9th Ave
Klong;7 St Marks Pl;New York;NY;East Village;Asian;$;7 St Marks Pl
Knickerbocker Bar & Grill;33 University Pl;New York;NY;Greenwich Village;American;$$$;33 University Pl
Koi;40 W 40th St;New York;NY;Midtown West;Asian;$$$$;40 W 40th St
Kori;253 Church St;New York;NY;TriBeCa;Korean;$$;253 Church St
Kum Gang San;49 W 32nd St;New York;NY;Midtown West;Korean;$$;49 W 32nd St
Kuma Inn;113 Ludlow St;New York;NY;Lower East Side;Southeast Asian;$$;113 Ludlow St
Kuruma Zushi;7 E 47th St, 2nd Fl;New York;NY;Midtown East;Sushi;$$$$$;7 E 47th St 2nd Fl
Kwik Meal;Food Cart;New York;NY;Theater;Middle Eastern;$;Food Cart
Kyma;300 W 46th St;New York;NY;Midtown West;Greek;$$$;300 W 46th St
Kyo Ya;94 E 7th St;New York;NY;East Village;Japanese;$$$$;94 E 7th St
L'Allegria;623 9th Ave;New York;NY;Theater;Italian;$$;623 9th Ave
L'Atelier de Joel Robuchon;57 E. 57th Street;New York;NY;Midtown East;French;$$$$$;57 E 57th St
L'Ecole;462 Broadway;New York;NY;SOHO;French;$$$;462 Broadway
L'Entrecote;1057 First Ave.;New York;NY;;;;1057 1st Avenue
L'Impero - CLOSED;45 Tudor City Pl;New York;NY;Midtown East;Italian;$$$$;45 Tudor City Pl
La Belle Vie;184 Eighth Ave;New York;NY;Chelsea;French;$$;184 8th Ave
La Bergamote;169 Ninth Ave;New York;NY;Chelsea;French;$;169 9th Ave
La Boite En Bois;75 W 68th St;New York;NY;Upper West Side;French;$$$;75 W 68th St
La Goulue;746 Madison Ave;New York;NY;Upper East Side;French;$$$;746 Madison Ave
La Grenouille;3 E 52nd St;New York;NY;Midtown East;French;$$$$;3 E 52nd St
La Grolla;413 Amsterdam Ave;New York;NY;;;;413 Amsterdam Ave
La Lunchonette;130 10th Ave;New York;NY;Chelsea;French;$$;130 10th Ave
La Mela Ristorante;167 Mulberry St;New York;NY;Little Italy;Italian;$$;167 Mulberry St
La Paella;214 E Ninth St;New York;NY;East Village;Spanish;$$;214 E 9th St
La Palapa;77 St Marks Pl;New York;NY;Greenwich Village;Mexican;$$;77 St Marks Pl
La Pizza Fresca Ristorante;31 E 20th St;New York;NY;Union Square;Italian;$$;31 E 20th St
La Taza De Oro;96 Eighth Ave;New York;NY;Chelsea;Caribbean;$;96 8th Ave
La Tour;1319 3rd Ave.;New York;NY;;French;$$$$;1319 3rd Ave
La Vela;373 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;373 Amsterdam Ave
La Vineria;737 9th Ave.;New York;NY;;;;737 9th Ave
Lan;56 Third Ave;New York;NY;East Village;Sushi;$$;56 3rd Ave
Land;450 Amsterdam Ave;New York;NY;;;;450 Amsterdam Ave
Land Thai Kitchen;450 Amsterdam Ave;New York;NY;Upper West Side;Thai;$$;450 Amsterdam Ave
Land Thai Kitchen;1565 Second Avenue;New York;NY;;;;1565 2nd Ave
Landmarc;10 Columbus Circle, 3rd floor;New York;NY;Upper West Side;French;$$$;10 Columbus Cir 3rd floor
Landmarc;179 W Broadway;New York;NY;Gramercy Park;French;$$$;179 W Broadway
Lasagna Ristorante;785 9th ave;New York;NY;Hell's Kitchen;Italian;$$;785 9th Ave
Lavagna;545 E. Fifth St.;New York;NY;;Italian;$$$;545 E 5th St
Le Bernardin;155 W 51st St;New York;NY;Midtown West;Seafood;$$$$$;155 W 51st St
Le Bilboquet;25 E 63rd St;New York;NY;Upper East Side;French;$$$;25 E 63rd St
Le Boeuf a La Mode;539 E 81st St;New York;NY;Upper East Side;French;$$$;539 E 81st St
Le Gamin;522 Hudson St;New York;NY;West Village;French;$;522 Hudson St
Le Gigot;18 Cornelia St;New York;NY;Greenwich Village;French;$$$;18 Cornelia St
Le Jardin Bistro;25 Cleveland Pl;New York;NY;NoLita;French;$$$;25 Cleveland Pl
Le Madeleine;403 W 43rd Street;New York;NY;Midtown West;French;$$$;403 W 43rd St
Le Miu;107 Ave. A;New York;NY;;Sushi;$$$;107 Avenue A
Le Monde;2885 Broadway;New York;NY;Harlem;French;$$;2885 Broadway
Le Pere Pinard;175 Ludlow St;New York;NY;Lower East Side;French;$$;175 Ludlow St
Le Perigord;405 E 52nd St (Between Fdr Dr & 1st Avenue);New York;NY;Midtown East;French;$$$;405 E 52nd St
Le Souk;47 Ave B;New York;NY;Midtown East;African;$$;47 Avenue B
Le Zie 2000;172 Seventh Ave;New York;NY;Chelsea;Italian;$$;172 7th Ave
Leela Lounge;1 W. Third St.;New York;NY;;Indian;$$;1 W 3rd St
Les Enfants Terribles;37 Canal St;New York;NY;Lower East Side;African;$$;37 Canal St
Les Halles;411 Park Ave S;New York;NY;Gramercy Park;French;$$$;411 Park Ave S
Les Halles;15 John St;New York;NY;Financial District;French;$$$;15 John St
Lima's Taste;122 Christopher St;New York;NY;West Village;South American;$;122 Christopher St
Lime Leaf;2799 Broadway;New York;NY;;;;2799 Broadway
Lisca;660 Amsterdam Ave;New York;NY;;;;660 Amsterdam Ave
Little Giant;85 Orchard St;New York;NY;Lower East Side;American;$$$$;85 Orchard St
Little Owl;90 Bedford Street;New York;NY;West Village;American;$$$;90 Bedford St
Little Pie Company;Grand Central Station;New York;NY;Midtown East;Bakery;$;89 E 42nd St
Loft;505 Columbus Ave;New York;NY;Upper West Side;Mediterranean;$$;505 Columbus Ave
Lombardi's;32 Spring St;New York;NY;NoLita;Pizza;$;32 Spring St
Lomito;300 Spring St;New York;NY;SOHO;Argentinean;$$$;300 Spring St
Londel's Supper Club;2620 Frederick Douglas Blvd;New York;NY;Harlem;Southern;$$;2620 Frederick Douglass Blvd
London Bar;151 W. 54th Street;New York;NY;Midtown West;French;$$$$;151 W 54th St
Loreley;7 Rivington St.;New York;NY;;German;;7 Rivington St
Los Dos Molinos;119 E 18th St;New York;NY;Gramercy Park;Southwestern;$$;119 E 18th St
Loside;157 E Houston Street;New York;NY;Lower East Side;American;$;157 E Houston St
LuLu;235 Mulberry Street;New York;NY;;;;235 Mulberry St
Lucien;14 1st Ave;New York;NY;East Village;French;$$;14 1st Avenue
Lucy Latin Kitchen;35 E 18th St;New York;NY;Flatiron;Nuevo Latino;$$$;35 E 18th St
Lupa;170 Thompson St;New York;NY;Greenwich Village;Italian;$$$$;170 Thompson St
Lure;142 Mercer St, Downstairs;New York;NY;SOHO;Seafood;$$$$;142 Mercer St
Lusardi's;1494 Second Ave;New York;NY;Upper East Side;Italian;$$$$;1494 2nd Ave
Luzia's;429 Amsterdam Ave.;New York;NY;;;;429 Amsterdam Ave
Macelleria;48 Gansevoort St;New York;NY;Meatpacking District;Italian;$$$;48 Gansevoort St
Madison Bistro;238 Madison Ave;New York;NY;Murray Hill;French;$$$;238 Madison Ave
Mai House;186 Franklin Street;New York;NY;TriBeCa;Vietnamese;$$$;186 Franklin St
Malatesta Trattoria;649 Washington St;New York;NY;West Village;Italian;$$;649 Washington St
Maloney & Porcelli;37 E 50th St;New York;NY;Midtown East;Steakhouse;$$$$;37 E 50th St
Mama Mexico;214 E. 49th St.;New York;NY;;;;214 E 49th St
Mama! Mexico;2672 Broadway;New York;NY;Midtown East;Mexican;$$;2672 Broadway
Mama's Food Shop;200 E Third St;New York;NY;East Village;American;$;200 E 3rd St
Mamlouk;211 East 4th St;New York;NY;East Village;Middle Eastern;$$$;211 E 4th St
Mamoun's Falafel Restaurant;119 MacDougal St.;New York;NY;;;;119 MacDougal St
Mandarin Court;61 Mott St;New York;NY;Chinatown;Chinese;$;61 Mott St
Mandoo Bar;2 W 32nd St;New York;NY;Midtown West;Korean;$;2 W 32nd St
Mangia;50 W 57th St Fl 1;New York;NY;Midtown East;Italian;$;50 W 57th St Fl 1
