restaurant;address;neighborhood;addressGoogle
Da Andrea;557 Hudson St btwn Perry and W 11th Sts;Greenwich Village;557 Hudson St
Da Antonio;157 E 55th St btwn Lexington and Third...;Midtown East;157 E 55th St
Da Silvano;;Greenwich Village;
Da Silvano Bistecca;;Greenwich Village;
Da Tommaso;903 Eighth Ave btwn 53rd and 54th Sts;Midtown West;54th St
Da Umberto;;Chelsea;
Daisy May's BBQ USA;623 11th Ave at 46th St;Midtown West;623 11th Ave
Dakshin Indian Bistro;;Upper East Side;
Danal;;East Village;
Daniel;;Upper East Side;
Dardanel;1071 1st Ave btwn 58th and 59th Sts;Midtown East;1071 1st Ave btwn 58th and 59th Sts
David Burke Townhouse;;Upper East Side;
Dawat;210 E 58th St btwn 2nd and 3rd Aves;Midtown East;3rd Ave
De Santos;139 W 10th St btwn 5th and 6th Aves;Greenwich Village;6th Ave
Dean's;215 W 85th St btwn Amsterdam Ave and...;Upper West Side;215 W 85th St
Dean's;215 W 85th St btwn Amsterdam Ave and...;Midtown East;215 W 85th St
Death and Company;;East Village;
Deborah;43 Carmine St btwn Bedford and Bleecker...;Greenwich Village;43 Carmine St
Deborah (CLOSED);;Greenwich Village;
Degustation;239 E 5th St btwn 2nd and 3rd Aves;East Village;239 E 5th St btwn 2nd and 3rd Aves
Del Frisco's Double Eagle Steakhouse;1221 Sixth Ave at 49th St;Midtown West;1221 6th Ave
Del Posto;85 10th Ave btwn 15th and 16th Sts;Chelsea;85 10th Ave btwn 15th and 16th Sts
Delicatessen;54 Prince St at Lafayette St;SoHo;54 Prince St at Lafayette St
Delicia Brazil;;Greenwich Village;
Dell'Anima;38 Eighth Ave btwn Jane and W 12th Sts;Greenwich Village;38 Eighth Ave btwn Jane and W 12th Sts
Delta Grill;700 Ninth Ave at 48th St;Midtown West;700 9th Ave
Demarchelier;50 E 86th St btwn Madison and Park Aves;Upper East Side;49 East 86th St
Desnuda;;East Village;
Diablo Royale;189 W 10th Street btwn W 4th and...;Greenwich Village;189 W 10th St
Dirt Candy;430 E 9th St btwn 1st Ave and Ave A;East Village;430 E 9th St btwn 1st Ave and Ave A
Dirty Bird to Go;204 W 14th St btwn Seventh and Eighth...;Chelsea;204 W 14th St
District;130 W 46th St btwn Sixth and Seventh...;Midtown West;130 W 46th St
Ditch Plains;29 Bedford St at Downing St;Greenwich Village;29 Bedford St
Diwan Restaurant;;Midtown East;
Django (CLOSED);;Midtown East;
Do Hwa;55 Carmine St at Bedford St;Greenwich Village;55 Carmine St
DoSirak;30 E 13th St btwn Fifth Ave and...;Greenwich Village;30 E 13th St
Docks Oyster Bar and Seafood Grill;2427 Broadway btwn 89th and 90th Sts;Midtown East;2441 Broadway
Docks Oyster Bar and Seafood Grill;2427 Broadway btwn 89th and 90th Sts;Upper West Side;2441 Broadway
Docks Oyster Bar and Seafood Grill (CLOSED);;Upper West Side;
Dolce Vita;181 Grand St btwn Baxter and Mulberry...;SoHo;181 Grand St
Domenico;120 E. 40th St btwn Lexington and Park...;Midtown East;120 E 40th St
Don's Bogam BBQ and Wine Bar;;Midtown West;
Donguri;;Upper East Side;
Dos Caminos Soho;475 West Broadway at Houston St;SoHo;475 W Broadway
Double Crown;;East Village;
Dovetail;;Upper West Side;
Downtown Cipriani;376 West Broadway btwn Broome and...;SoHo;376 W Broadway
Druids;;Midtown West;
Ducale;392 Columbus Ave at 79th St;Upper West Side;392 Columbus Ave
Due;;Upper East Side;
Dumpling House;;Lower East Side;
Dumpling Man;;East Village;
EJ's Luncheonette;;Upper East Side;
EJ's Luncheonette;;Upper West Side;
EJ's Luncheonette (CLOSED);;Greenwich Village;
EN Japanese Brasserie;435 Hudson St at Leroy St;Greenwich Village;435 Hudson St
Earth NYC;116A 10th Avenue btwn 17th and 18th Sts;Chelsea;116A 10th Avenue btwn 17th and 18th Sts
Earthen Oven;;Upper West Side;
East Village Yacht Club (CLOSED);42 E 1st St btwn First and Second Aves;East Village;42 E 1st St btwn First and Second Aves
East of Eighth;;Chelsea;
Eatery;;Midtown West;
Ed's Lobster Bar;;SoHo;
Eighty One;45 W 81st St btwn Columbus Ave and...;Upper West Side;45 W 81st St
El Centro;824 Ninth Ave at 54th St;Midtown West;824 9th Ave
El Cid (CLOSED);322 W 15th St btwn Eighth and Ninth Aves;Chelsea;10W W 15th St
El Cocotero;228 W 18th St btwn Seventh and Eighth...;Chelsea;228 W 18th St
El Maguey y La Tuna;321 E Houston St btwn Attorney and...;Lower East Side;321 E Houston St
El Parador Cafe;;Midtown East;
El Paso;134 W Houston St btwn MacDougal and...;Greenwich Village;134 W Houston St
El Paso Taqueria;1642 Lexington Ave btwn 103rd and 104th...;Upper East Side;W 104th St
El Quijote;226 W 23rd St btwn Seventh and Eighth...;Chelsea;204 W 23rd St
El Quinto Pino;;Chelsea;
El Rey del Sol;232 W 14th St btwn Seventh and Eighth...;Greenwich Village;232 W 14th St
Elaine's;;Upper East Side;
Elementi;;Park Slope;
Elephant and Castle;68 Greenwich Ave btwn Sixth Ave and...;Greenwich Village;68 Greenwich Ave
Elettaria;33 W 8th St at MacDougal St;Greenwich Village;33 W 8th St
Elio's;;Upper East Side;
Ellis Bar;627 5th Ave btwn 17th and 18th Sts;Park Slope;627 5th Ave btwn 17th and 18th Sts
Elmo;;Chelsea;
Elyssa Dido;85 Orchard St at Broome St;Lower East Side;85 Orchard St
Employees Only;510 Hudson St btwn Christopher and West...;Greenwich Village;510 Hudson St
Ennio and Michael;539 La Guardia Pl btwn Bleecker and W...;Greenwich Village;539 LaGuardia Pl
Epices du Traiteur;103 W 70th St btwn Columbus Ave and...;Upper West Side;103 W 70th St
Erminia;;Upper East Side;
Esashi;;East Village;
Esca;;Midtown West;
Esperanto;145 Ave C at 9th St;East Village;145 Loisaida Ave
Essex;;Lower East Side;
Estiatorio Milos;125 W 55th St btwn 6th and 7th Aves;Midtown West;125 W 55th St
Etats-Unis;242 E 81st St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
Etcetera Etcetera;352 W 44th St btwn Eighth and Ninth Aves;Midtown West;352 W 44th St
Ethos;495 Third Ave btwn 33rd and 34th Sts;Midtown East;W 34th St
Etrusca;125 W 53rd St btwn Sixth and Seventh...;Midtown West;125 W 53rd St
Euzkadi;;East Village;
Evergreen Shanghai;10 E 38th St btwn Fifth and Madison Aves;Midtown East;10 E 38th St
Extra Virgin;;Greenwich Village;
Fabio Piccolo Fiore;230 E 44th St at Second Ave;Midtown East;230 E 44th St # 1
Fairway Cafe and Steakhouse;2127 Broadway btwn 74th and 75th Sts;Upper West Side;2127 Broadway btwn 74th and 75th Sts
Falai;68 Clinton St btwn Stanton and...;Lower East Side;68 Clinton St btwn Stanton and...
Falai Panetteria;79 Clinton St at Rivington St;Lower East Side;79 Clinton St
Fanelli's Cafe;;SoHo;
Fat Hippo;;Lower East Side;
Fatty Crab UWS;;Upper West Side;
Favela Cubana;;Greenwich Village;
Felice Wine Bar;1166 First Ave at First Ave;Upper East Side;1166 1st Avenue
Felidia;243 E 58th St btwn 2nd and 3rd Aves;Midtown East;3rd Ave
Felix;;SoHo;
Fiamma (CLOSED);;SoHo;
Fig and Olive;;Upper East Side;
Fig and Olive Midtown;10 E 52nd St btwn Fifth and Madison...;Midtown East;10 E 52nd St
Film Center Cafe;;Midtown West;
Firebird Russian Restaurant;365 W 46th St btwn 8th and 9th Aves;Midtown West;365 W 46th St btwn 8th and 9th Aves
Fireside;;Midtown East;
First Hungarian Literary Society;;Upper East Side;
Fish;;Greenwich Village;
Fishtail by David Burke;135 E 62nd St btwn Park and Lexington...;Upper East Side;135 E 62nd St
Five Guys Famous Burgers and Fries;296 Bleecker St at Seventh Ave So;Greenwich Village;296 Bleecker St
Five Napkin Burger;;Midtown West;
Fives;700 Fifth Ave at 55th St;Midtown West;700 5th Ave
Flea Market Cafe;;East Village;
Flex Mussels;174 E 82nd St btwn Lexington and Third...;Upper East Side;174 E 82nd St
Flip;;Midtown East;
Flor de Mayo;;Upper West Side;
Foley's Fish House;;Midtown West;
Fragolino Trattoria;;Midtown West;
Franchia;;Midtown East;
Francisco's Centro Vasco;;Chelsea;
Frank;88 Second Ave btwn 5th and 6th Sts;East Village;6th Ave
Frankie and Johnnie's Steakhouse;;Midtown West;
Frankies 17 Clinton Street Spuntino;;Lower East Side;
Fred's at Barneys;;Upper East Side;
Frederick's Downtown;;Greenwich Village;
Frederick's Madison;;Upper East Side;
Freemans;191 Chrystie St btwn Stanton and...;Lower East Side;191 Chrystie St
French Roast;2340 Broadway at 85th St;Upper West Side;2340 Broadway
French Roast;2340 Broadway at 85th St;Greenwich Village;2340 Broadway
Fresco by Scotto;34 E 52nd St btwn Madison and Park Aves;Midtown East;34 E 52nd St
Fresco on the Go;40 E 52nd St btwn Madison and Park Aves;Midtown East;40 E 52nd St
Friedman's Lunch;;Chelsea;
Friend House;99 Third Ave btwn 12th and 13th Sts;East Village;99 Third Ave btwn 12th and 13th Sts
Friend House 2;;East Village;
Fulton;205 E 75th St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
Funayama;24 Greenwich Ave btwn Charles and W...;Greenwich Village;24 Greenwich Ave btwn Charles and W...
Funky Diner;466 Columbus Ave btwn 82nd and 83rd Sts;Upper West Side;466 Columbus Ave btwn 82nd and 83rd Sts
Gabriel's Bar and Restaurant;;Upper West Side;
Gabriela's;688 Columbus Ave btwn 93rd and 94th Sts;Upper West Side;688 Columbus Ave btwn 93rd and 94th Sts
Gaby Restaurant;44 West 45th St btwn Fifth and Sixth...;Midtown West;44 W 45th St
Galanga;;Greenwich Village;
Gallagher's Steakhouse;228 W 52nd St btwn Broadway and Eighth...;Midtown West;228 W 52nd St
Gallo Nero;402 W 44th St at Ninth Ave;Midtown West;402 W 44th St
Garden Court Cafe;725 Park Ave at 70th St;Upper East Side;725 Park Ave
Gari;370 Columbus Ave btwn 77th and 78th Sts;Upper West Side;370 Columbus Ave btwn 77th and 78th Sts
Gascogne;158 Eighth Ave btwn 17th and 18th Sts;Chelsea;158 Eighth Ave btwn 17th and 18th Sts
Gavroche;;Greenwich Village;
Gazala Place;709 Ninth Ave at 49th St;Midtown West;709 9th Ave
Geisha;33 E 61st St btwn Park and Madison Aves;Upper East Side;33 E 61st St
Gemma;355 Bowery btwn 2nd and 3rd Sts;East Village;355 Bowery btwn 2nd and 3rd Sts
Gene's;;Greenwich Village;
Gennaro;665 Amsterdam Ave btwn 92nd and 93rd Sts;Upper West Side;E 93rd St
Georgia's Eastside BBQ;92 Orchard St btwn Stanton and Houston...;Lower East Side;163 Orchard St
Giambelli 50th;46 E 50th St btwn Madison and Park Aves;Midtown East;46 E 50th St btwn Madison and Park Aves
Giano;126 E 7th St btwn 1st Ave and Ave A;East Village;126 E 7th St
Gilt;455 Madison Ave btwn 50th and 51st Sts;Midtown East;455 Madison Ave
Gino;780 Lexington Ave btwn 60th and 61st Sts;Upper East Side;780 Lexington Ave
Giorgione;307 Spring St at Hudson St;SoHo;307 Spring St
Girasole;151 E 82nd St btwn Lexington and Third...;Upper East Side;151 E 82nd St
Gnocco Cucina and Tradizione;337 E 10th St btwn Aves A and B;East Village;337 E 10th St
Gobo;;Upper East Side;
Gobo;;Greenwich Village;
Gonzo;140 W 13th St btwn Sixth and Seventh...;Greenwich Village;140 W 13th St
Good;89 Greenwich Ave btwn Bank and W 12th...;Greenwich Village;89 Greenwich Ave btwn Bank and W 12th...
Good Enough to Eat;483 Amsterdam Ave btwn 83rd and 84th Sts;Upper West Side;E 84th St
Goodburger;800 Second Ave at 43rd St;Midtown East;800 2nd Ave 7th floor
Gordon Ramsay at The London;151 W 54th St btwn 6th and 7th Aves;Midtown West;151 W 54th St
Gotham Bar and Grill;;Greenwich Village;
Gottino;52 Greenwich Ave btwn Perry and Charles...;Greenwich Village;52 Greenwich Ave btwn Perry and Charles...
Grace's Trattoria;;Upper East Side;106 W 145th St
Gradisca;126 W 13th St btwn Sixth and Seventh...;Greenwich Village;126 W 13th St
Graffiti;224 East 10th St btwn 1st and 2nd Aves;East Village;224 East 10th St btwn 1st and 2nd Aves
Grand Central Oyster Bar;101 E 42nd St btwn Park and Vanderbilt...;Midtown East;101 E 42nd St
Grand Sichuan;;Lower East Side;
Grand Tier Restaurant;;Upper West Side;
Grano Trattoria;21 Greenwich Ave at 10th St;Greenwich Village;21 Greenwich Ave
Grom;;Upper West Side;
Grotto;;Lower East Side;
Guantanamera;;Midtown West;
GustOrganics;;Greenwich Village;
Gusto Ristorante e Bar Americano;;Greenwich Village;
Gyu-Kaku;;East Village;
Gyu-kaku;;Midtown East;
HK;;Midtown West;
Hacienda de Argentina;339 E 75th St btwn First and Second Aves;Upper East Side;339 E 75th St
Hakata Tonton;;Greenwich Village;
Hallo Berlin;;Midtown West;
Hampton Chutney Co.;68 Prince St btwn Crosby and Lafayette...;Upper West Side;68 Prince St
Hampton Chutney Co.;68 Prince St btwn Crosby and Lafayette...;SoHo;68 Prince St
Han Bat;53 W 35th St btwn Fifth and Sixth Aves;Midtown West;53 W 35th St
Hanci Turkish Cuisine;;Midtown West;
Harry Cipriani;;Midtown East;
Haru;;Midtown East;
Haru;;Midtown West;
Haru;;Upper West Side;
Haru;;Upper East Side;
Hasaki;210 E 9th St btwn Second and Third Aves;East Village;60E W 9th St
Hatsuhana;17 E.. 48th St btwn 5th and Madison Aves;Midtown East;17 E 48th St
Hatsuhana Park;237 Park Ave at 46th St;Midtown East;237 Park Ave
Havana Alma de Cuba;94 Christopher St btwn Hudson and...;Greenwich Village;94 Christopher St btwn Hudson and...
Havana Central;151 W 46th St btwn Sixth and Seventh...;Midtown West;151 W 46th St
Havana Chelsea;;Chelsea;
Haveli;;East Village;
Haven;;Midtown East;
Hawaiian Tropic Zone;;Midtown West;
Hea;;East Village;
Heartbeat;;Midtown East;
Hearth;;East Village;
Heidelberg;;Upper East Side;
Hell's Kitchen;679 Ninth Ave btwn 46th and 47th Sts;Midtown West;679 Ninth Ave btwn 46th and 47th Sts
Henry's;2745 Broadway at 105th St;Upper West Side;2745 Broadway
Hip Hop Chow (CLOSED);;East Village;
Hiro;84 E 10th St at Fourth Ave;East Village;84 E 10th St
Holy Basil;149 Second Ave btwn 9th and 10th Sts;East Village;149 Second Ave btwn 9th and 10th Sts
Home;;Greenwich Village;
Hudson Cafeteria;;Midtown West;
Hundred Acres;38 MacDougal St btwn Houston and Prince...;SoHo;38 MacDougal St btwn Houston and Prince...
I Coppi;432 E 9th St btwn First Ave and Ave A;East Village;432 E 9th St btwn First Ave and Ave A
I Sodi;105 Christopher St near Bleecker St;Greenwich Village;105 Christopher St
I Tre Merli;;SoHo;
I Tre Merli Bistro;;Greenwich Village;
Icon;;Midtown East;
Ideya;349 West Broadway btwn Broome and Grand...;SoHo;349 W Broadway
Il Bagatto;;East Village;
Il Bastardo;161 Seventh Ave;Chelsea;161 7th Ave
Il Cantinori;;Greenwich Village;
Il Corso;19 W 55th St btwn Fifth and Sixth Aves;Midtown West;19 W 55th St
Il Gattopardo;33 W 54th St btwn Fifth and Sixth Aves;Midtown West;65 W 54th St
Il Laboratorio del Gelato;95 Orchard St btwn Broome and Delancey...;Lower East Side;95 Orchard St btwn Broome and Delancey...
Il Mulino;;Greenwich Village;
Il Nido;251 E 53rd St btwn Second and Third Aves;Midtown East;251 E 53rd St
Il Postino;337 E 49th St btwn First and Second Aves;Midtown East;337 E 49th St
Il Riccio;152 E 79th St at Lexington Ave;Upper East Side;152 E 79th St at Lexington Ave
Il Vagabondo;351 E 62nd St btwn First and Second Aves;Upper East Side;351 E 62nd St
Il Valentino;;Midtown East;
In Vino;215 E 4th St btwn Aves A and B;East Village;215 E 4th St btwn Aves A and B
Inagiku;111 E 49th St btwn Park and Lexington...;Midtown East;111 E 48th St
Inakaya;;Midtown West;
Indian Bread Co;194 Bleecker St btwn Sixth Ave and...;Greenwich Village;194 Bleecker St
Indigo Indian Bistro;;Midtown East;
Indochine;;Greenwich Village;
Indus Valley;2636 Broadway at 100th St;Upper West Side;2636 Broadway
Inside Park at St. Bart's;;Midtown East;
Inside Park at St. Bart’s;109 E 50th St at Park Ave;Midtown East;109 E 50th St
Insieme;;Midtown West;
Ippudo;65 4th Ave at 10th St;East Village;65 4th Ave
Iron Sushi;355 E 78th St btwn First and Second...;Upper East Side;355 E 78th St
Isabella's;359 Columbus Ave at 77th St;Upper West Side;359 Columbus Ave
Isle of Capri;;Upper East Side;
Islero;247 East 50th St btwn Second and Third...;Midtown East;247 East 50th St btwn Second and Third...
It's a Dominican Thing;144 W 19th St btwn Sixth and Seventh...;Chelsea;144 W 19th St
Ithaka;;Upper East Side;
Itzocan Bistro;1575 Lexington Ave at 101st St;Upper East Side;1575 Lexington Ave
Itzocan Cafe;438 E 9th St btwn First Ave and Ave A;East Village;438 E 9th St btwn First Ave and Ave A
Ivy's Cafe;;Upper West Side;
Izakaya Ten;207 10th Ave at 23rd St;Chelsea;207 10th Ave
JG Melon;;Upper East Side;
Jack's Luxury Oyster Bar;;East Village;
Jack's Restaurant and Bar;;Midtown West;
Jacques Brasserie;;Upper East Side;
Jacques Imo's;366 Columbus Ave at 77th St;Upper West Side;366 Columbus Ave
Jaipur's;1007 Second Ave btwn 53rd and 54th Sts;Midtown East;54th St
Jane;100 W Houston St btwn La Guardia Pl and...;Greenwich Village;100 W Houston St btwn La Guardia Pl and...
Japonica;;Greenwich Village;
Java;;Park Slope;
Je'Bon Noodle House;15 St Marks Pl btwn 2nd and 3rd Aves;East Village;15 St Marks Pl btwn 2nd and 3rd Aves
Jean Claude;137 Sullivan St btwn Houston and Prince...;SoHo;137 Sullivan St btwn Houston and Prince...
Jean Georges;;Upper West Side;
Jeeb;154 Orchard St btwn Stanton and...;Lower East Side;154 Orchard St btwn Stanton and...
Jeollado;116 E 4th St btwn First and Second Aves;East Village;New York
Jewel Bako;239 E 5th St btwn 2nd and 3rd Aves;East Village;239 E 5th St btwn 2nd and 3rd Aves
Jewel of India;15 W 44th St btwn Fifth and Sixth Aves;Midtown West;15 W 44th St
Jimmy's No. 43;43 E 7th St at 2nd Ave;East Village;43 E 7th St
Joe Allen;326 W 46th St btwn Eighth and Ninth Aves;Midtown West;326 W 46th St
Joe's Pizza;;Greenwich Village;
JoeDoe;45 East 1st St btwn 1st and 2nd Aves;East Village;45 East 1st St btwn 1st and 2nd Aves
John's Pizzeria;;Upper East Side;
John's Pizzeria;;Greenwich Village;
John's Pizzeria;;Midtown West;
John's of 12th Street;302 E 12th St btwn First and Second Aves;East Village;302 E 12th St btwn First and Second Aves
Johnny Mack's;1114 Eighth Ave at 12th St;Park Slope;1114 Frederick Douglass Blvd
Johnny Utah's;25 W 51st St btwn Fifth and Sixth Aves;Midtown West;25 W 51st St
Jojo;160 E 64th St btwn Lexington and 3rd...;Upper East Side;160 E 64th St
Josephina;;Upper West Side;
Josie's;;Upper West Side;
Joy Burger Bar;;Upper East Side;
Jubilee;347 E 54th St at First Ave;Midtown East;415 E 54th St
Junior's Restaurant;1515 Broadway btwn 44th and 45th Sts;Midtown West;1515 Broadway btwn 44th and 45th Sts
Kafana;116 Ave C btwn E 7th and 8th Sts;East Village;116 Loisaida Ave
Kai;822 Madison Ave btwn 68th and 69th Sts;Upper East Side;822 Madison Ave btwn 68th and 69th Sts
Kambi Ramen House;;East Village;
Kampuchea;;Lower East Side;
Kanoyama;;East Village;
Kasadela;;East Village;
Kate's Joint;58 Ave B at 4th St;East Village;58 Avenue B
Katsu-Hama;;Midtown East;
Katz's Delicatessen;;Lower East Side;
Keens Steakhouse;72 W 36th St btwn 5th and 6th Aves;Midtown West;6th Ave
Kefi;505 Columbus Ave btwn 84th and 85th Sts;Upper West Side;E 85th St
Kellari Taverna;19 W 44th St btwn 5th and 6th Aves;Midtown West;49 W 44th St
Kelley and Ping;127 Greene St btwn Houston and Prince...;SoHo;127 Greene St btwn Houston and Prince...
Kelley and Ping East Village (CLOSED);325 Bowery at Second St;East Village;325 Bowery
Khyber Pass;;East Village;
Kinara;473 Fifth Ave btwn 10th and 11th Sts;Park Slope;473 5th Ave
Kings' Carriage House;251 E 82nd St btwn Second and Third Aves;Upper East Side;251 E 82nd St
Kingswood;121 W 10th St btwn Greenwich and 6th...;Greenwich Village;121 W 10th St
KitchenBar;687 6th Ave btwn 19th and 20th Sts;Park Slope;687 6th Ave btwn 19th and 20th Sts
Kittichai;60 Thompson St btwn Spring and Broome...;SoHo;60 Thompson St
Klee Brasserie;200 9th Ave btwn 22nd and 23rd Sts;Chelsea;200 9th Ave btwn 22nd and 23rd Sts
Klong;7 St Marks Pl btwn Second and Third...;East Village;7 St Marks Pl
Knife and Fork;;East Village;
Ko Sushi;1329 Second Ave at 70th St;Upper East Side;1329 2nd Ave
Kobe Club;;Midtown West;
Kobma Thai;;Greenwich Village;
Koi;40 W 40th St btwn Fifth and Sixth Aves;Midtown West;W 40th St
Korea Palace;127 E 54th St btwn Park and Lexington...;Midtown East;127 E 54th St
Kouzan;685 Amsterdam Ave btwn 93rd and 94th Sts;Upper West Side;685 Amsterdam Ave btwn 93rd and 94th Sts
Krunch Pizza Bar;980 Second Ave btwn 51st and 52nd Sts;Midtown East;980 Second Ave btwn 51st and 52nd Sts
Kum Gang San;49 W 32nd St at Broadway;Midtown West;49 W 32nd St
Kuma Inn;113 Ludlow St btwn Rivington and...;Lower East Side;113 Ludlow St
Kura Sushi;;East Village;
Kurumazushi;;Midtown East;
Kurve;;East Village;
Kyo Ya;94 E 7th St at First Ave;East Village;94 E 7th St
Kyotofu;;Midtown West;
L'Absinthe Brasserie;227 E 67th St;Upper East Side;227 E 67th St
L'Artusi;;Greenwich Village;
L'Atelier de Joel Robuchon;57 E 57th St btwn Madison and Park Aves;Midtown East;252 E 57th St
L'Ecole;462 Broadway at Grand St;SoHo;462 Broadway at Grand St
L'Orange Bleue;;SoHo;
L.E.S. Sandwicherie;;Lower East Side;
La Barra;;Lower East Side;
La Bonne Soupe;;Midtown West;
La Bottega Caffe;;Chelsea;
La Cantina;;Greenwich Village;
La Carne Grill;340 Lexington Ave btwn 39th and 40th Sts;Midtown East;340 Lexington Ave
La Fonda Boricua;;Upper East Side;
La Fonda Del Sol;;Midtown East;
La Gioconda;;Midtown East;
La Goulue;746 Madison Ave btwn 64th and 65th Sts;Upper East Side;746 Madison Ave btwn 64th and 65th Sts
La Grenouille;3 E 52nd St btwn 5th and Madison Aves;Midtown East;3 E 52nd St
La Lanterna di Vittorio;129 MacDougal St btwn 3rd and 4th Sts;Greenwich Village;129 MacDougal St btwn 3rd and 4th Sts
La Lunchonette;;Chelsea;
La Mangeoire;1008 Second Ave btwn 53rd and 54th Sts;Midtown East;54th St
La Masseria;235 W 48th St btwn Broadway and Eighth...;Midtown West;235 W 48th St
La Mediterranee;947 2nd Ave btwn 50th and 51st Sts;Midtown East;947 2nd Ave btwn 50th and 51st Sts
La Nacional;;Greenwich Village;
La Paella;;East Village;
La Rural;;Upper West Side;
La Sirene;;SoHo;
La Sirène;;SoHo;
La Taqueria;;Park Slope;
La Taza de Oro;;Chelsea;
La Vineria;737 Ninth Ave btwn 49th and 50th Sts;Midtown West;50th Ave
La Zarza;166 First Ave btwn 10th and 11th Sts;East Village;166 First Ave btwn 10th and 11th Sts
Lan;56 Third Ave btwn 10th and 11th Sts;East Village;56 Third Ave btwn 10th and 11th Sts
Land Thai Kitchen;450 Amsterdam Ave at 82nd St;Upper West Side;450 Amsterdam Ave
Landmarc at the Time Warner Center;;Midtown West;
Landmark Tavern;626 Eleventh Ave at 46th St;Midtown West;626 11th Ave
Las Chicas Locas;;Chelsea;
Las Ramblas;170 W 4th St btwn Jones and Cornelia Sts;Greenwich Village;170 W 4th St btwn Jones and Cornelia Sts
Lassi;28 Greenwich Ave at Charles St;Greenwich Village;28 Greenwich Ave
Lavagna;545 E 5th St btwn Aves A and B;East Village;545 E 5th St btwn Aves A and B
Lazzara's Pizza Cafe;221 W 38th St near 7th Ave;Midtown West;221 W 38th St #7th
Le Bateau Ivre;;Midtown East;
Le Bernardin;;Midtown West;
Le Bilboquet;;Upper East Side;
Le Charlot;19 E 69th St btwn Madison and Park Aves;Upper East Side;19 E 69th St btwn Madison and Park Aves
Le Cirque;151 E 58th St btwn Lexington and Third...;Midtown East;151 E 58th St
Le Colonial;149 E 57th St btwn Lexington and 3rd...;Midtown East;149 E 57th St btwn Lexington and 3rd...
Le Gigot;18 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;18-20 Cornelia St
Le Lupanar;103 Essex St at Delancey St;Lower East Side;103 Essex St
Le Marais;150 West 46th St btwn 6th and 7th Aves;Midtown West;150 W 46th St 6th floor
Le Miu;107 Ave A btwn 6th and 7th Sts;East Village;107 Ave A btwn 6th and 7th Sts
Le Miu (CLOSED);;East Village;
Le Monde;2885 Broadway btwn 112th and 113th Sts;Upper West Side;2885 Broadway
Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;Upper West Side;50 W 72nd St btwn Central Park West and...
Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;SoHo;50 W 72nd St btwn Central Park West and...
Le Pain Quotidien;50 W 72nd St btwn Central Park West and...;Upper East Side;50 W 72nd St btwn Central Park West and...
Le Pere Pinard;175 Ludlow St btwn Houston and Stanton...;Lower East Side;175 Ludlow St btwn Houston and Stanton...
Le Perigord;405 E 52d St btwn 1st Ave and Sutton Pl;Midtown East;1st Avenue
Le Refuge;;Upper East Side;
Le Singe Vert;;Chelsea;
Le Souk;;East Village;
Le Tableau (CLOSED);511 E 5th St btwn Aves A and B;East Village;511 E 5th St btwn Aves A and B
Le Veau d'Or;129 E 60th St btwn Park and Lexington...;Upper East Side;129 E 60th St btwn Park and Lexington...
Le Zie 2000;172 Seventh Ave btwn 20th and 21st Sts;Chelsea;172 Seventh Ave btwn 20th and 21st Sts
Leela Lounge;;Greenwich Village;
Les Enfants Terribles;37 Canal St at Ludlow St;Lower East Side;37 Canal St
Levain Bakery;;Upper West Side;
Levana;;Upper West Side;
Lever House;;Midtown East;
Life Cafe;;East Village;
Lil' Frankie's Pizza;;East Village;
Lili's Noodle Shop and Grill;;Midtown West;
Lili's Noodle Shop and Grill;;Upper East Side;
Lima's Taste (CLOSED);;Greenwich Village;
Lime Leaf;;Upper West Side;
Lisca;;Upper West Side;
Little D Eatery;434 7th Ave btwn 14th and 15th Sts;Park Slope;434 7th Ave
Little Giant;85 Orchard St at Broome St;Lower East Side;85 Orchard St
Lola;15 Watts St btwn Thompson St and West...;SoHo;Thompson St
Lollipop;27 E 61st St btwn Madison and Park Aves;Midtown East;27 E 61st St btwn Madison and Park Aves
Lomito (CLOSED);;SoHo;
Long Tan;;Park Slope;
Lookout Hill Smokehouse (CLOSED);;Park Slope;
Loreley;7 Rivington St btwn Bowery and Chrystie...;Lower East Side;7 Rivington St
Los Pollitos II;;Park Slope;
LuLu;235 Mulberry Street at Spring St;SoHo;235 Mulberry St
Lucien;14 First Ave btwn 1st and 2nd Sts;East Village;2nd Ave
Lucky Cheng's;24 First Ave at E 2nd St;East Village;24 1st Avenue
Lucky Strike;;SoHo;
Lucky's Famous;;Midtown West;
Lugo Caffe;;Midtown West;
Luke's Bar and Grill;;Upper East Side;
Lumi;963 Lexington Ave at 70th St;Upper East Side;963 Lexington Ave
Lupa;;Greenwich Village;
Lupe's East L.A. Kitchen;110 Sixth Ave at Watts St;SoHo;110 6th Ave
Lure Fishbar;;SoHo;
Lusardi's;1494 Second Ave at 78th St;Upper East Side;1494 2nd Ave
Luscious Food;59 Fifth Ave btwn Bergen St and St...;Park Slope;59 5th Ave
Lusso;;SoHo;
Luxee;;Lower East Side;
Luzia's;429 Amsterdam Ave btwn 80th and 81st Sts;Upper West Side;412 Amsterdam Ave
