0_restaurant;0_neighborhood;0_address;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_address;1_country;1_neighborhood;1_type;1_phone;1_type_r
Craftbar;Gramercy / Flatiron;;;;;;;Craftbar; 900 Broadway-between 19th and 20th Sts;New York;Gramercy/Flatiron;American Creative;(212-461-4300);
Crema Restaurante;Chelsea;111 West 17th Street;New York;NY;Mexican;$$$;;Crema Restaurante;111 West 17th Street;;;;;
Crispo;West Village;240 W 14th St;New York;NY;Italian;$$$;;Crispo; 240 W 14th St-between Seventh and Eighth Aves;New York;West Village;Italian;(212-229-1818);
Crispo;W. Village;;;;;;;Crispo; 240 W 14th St-between Seventh and Eighth Aves;New York;West Village;Italian;(212-229-1818);
Crispo;Greenwich Village;240 W 14th St btwn 7th and 8th Aves;;;;;;Crispo; 240 W 14th St-between Seventh and Eighth Aves;New York;West Village;Italian;(212-229-1818);
Cru;Greenwich Village;24 Fifth Ave;New York;NY;Mediterranean;$$$$;;Cru; 24 Fifth Ave-at 9th St;New York;Greenwich Village;American Creative;(212-529-1700);
Cru;West Village;;;;;;;Cru; 24 Fifth Ave-at 9th St;New York;Greenwich Village;American Creative;(212-529-1700);
Cuba;Greenwich Village;222 Thompson Street;New York;NY;Cuban;$$;;Cuba; 222 Thompson St-between Bleecker and W 4th St;New York;Greenwich Village;Caribbean: Cuban;(212-420-7878);
Cuba;West Village;;;;;;;Cuba; 222 Thompson St-between Bleecker and W 4th St;New York;Greenwich Village;Caribbean: Cuban;(212-420-7878);
Cuba Cafe;Chelsea;200 Eighth Ave;New York;NY;Cuban;$;;Cuba Cafe; 200 Eighth Ave-between 20th and 21st Sts;New York;Chelsea;Caribbean: Cuban;(212-633-1570);
Cubana Cafe;SoHo;;;;;;;Cubana Cafe;110 Thompson St-Btwn Prince & Spring St;New York;Soho;;(212-966-5366);Caribbean: Cuban
Cube 63;Lower East Side;63 Clinton St;New York;NY;Japanese;$$;;Cube 63; 63 Clinton St-between Rivington and Stanton Sts;New York;Lower East Side;Japanese;(212-228-6751);
Cucina Di Pesce;East Village;87 E 4th St;New York;NY;Italian;$;;Cucina Di Pesce;87 E 4th St;New York;;;;
Da Antonio;Midtown East;157 E 55th St;New York;NY;Italian;$$$$;;Da Antonio;157 East 55th Street;New York, NY, 10022;;;;
Da Nico;Little Italy;;;;;;;Da Nico; 164 Mulberry St-between Broome and Grand Sts;New York;Chinatown/Little Italy;Italian;(212-343-1212);
Da Silvano;Greenwich Village;260 6th Avenue;New York;NY;Italian;$$$;;Da Silvano; 260 Sixth Ave-between Bleecker and Houston Sts;New York;Greenwich Village;Italian;(212-982-2343);
Da Silvano;West Village;;;;;;;Da Silvano; 260 Sixth Ave-between Bleecker and Houston Sts;New York;Greenwich Village;Italian;(212-982-2343);
Danal;East Village;90 E 10th St;New York;NY;French;$$;;Danal; 90 E 10th St-between Third and Fourth Aves;New York;East Village;French;(212-982-6930);
Daniel;Upper East Side;60 E 65th St;New York;NY;French;$$$$$;;Daniel; 60 E 65th St-between Madison and Park Aves;New York;Upper East Side;French;(212-288-0033);
Daniel;Upper E. Side;;;;;;;Daniel; 60 E 65th St-between Madison and Park Aves;New York;Upper East Side;French;(212-288-0033);
Davidburke & Donatella;Upper East Side;133 E 61st St;New York;NY;American;$$$$;;Davidburke & Donatella;133 East 61st Street;;;;;
Dawat;Midtown East;210 E 58th St;New York;NY;Indian;$$$;;Dawat; 210 E 58th St-between Second and Third Aves;New York;Midtown East;Indian;(212-355-7555);
Degustation;East Village;239 E Fifth St;New York;NY;Spanish;$$$;;Degustation; 239 E 5th St-between Second and Third Aves;New York;East Village;Spanish;(212-979-1012);
Del Posto;Chelsea;85 10th Ave;New York;NY;Italian;$$$$$;;Del Posto; 85 Tenth Ave-between 15th and 16th Sts;New York;Chelsea;Italian;(212-497-8090);
Delmonico's;Financial District;56 Beaver Street;New York;NY;American;$$$$$;;Delmonico's;56 Beaver Street;;;;;
Delta Grill;Midtown West;700 Ninth Ave;New York;NY;Creole-Cajun;$$;;Delta Grill; 700 Ninth Ave-at 48th St;New York;Midtown West;American Regional;(212-956-0934);
Demarchelier;Upper East Side;;;;;;;Demarchelier; 50 E 86th St-between Madison and Park Aves;New York;Upper East Side;French;(212-249-6300);
Dervish Turkish;Midtown West;146 West 47th Street;New York;NY;Middle Eastern;$$;;Dervish Turkish;146 West 47th Street;New York, NY, 10036;;;;
Desnuda;East Village;122 E 7th St;New York;NY;Seafood;$$$;;Desnuda; 122 E 7th St-between First Ave and Ave A;New York;East Village;Eclectic;(212-254-3515);
Ditch Plains;West Village;;;;;;;Ditch Plains; 29 Bedford St-at Downing St;New York;West Village;Seafood;(212-633-0202);
Ditch Plains;W. Village;;;;;;;Ditch Plains; 29 Bedford St-at Downing St;New York;West Village;Seafood;(212-633-0202);
Ditch Plains;Greenwich Village;29 Bedford St at Downing St;;;;;;Ditch Plains; 29 Bedford St-at Downing St;New York;West Village;Seafood;(212-633-0202);
Diva;SoHo;;;;;;;Diva; 341 West Broadway-between Broome and Grand Sts;New York;Soho;Italian;(212-941-9024);
Django;Midtown East;480 Lexington Avenue;New York;NY;French;$$$;;Django;480 Lexington Avenue;New York, NY, 10167;;;;
Do Hwa;Greenwich Village;55 Carmine St;New York;NY;Korean;$$;;Do Hwa; 55 Carmine St-at Bedford St;New York;West Village;Korean;(212-414-1224);
Do Hwa;West Village;;;;;;;Do Hwa; 55 Carmine St-at Bedford St;New York;West Village;Korean;(212-414-1224);
Do Hwa;W. Village;;;;;;;Do Hwa; 55 Carmine St-at Bedford St;New York;West Village;Korean;(212-414-1224);
Dolce Vita;SoHo;181 Grand St btwn Baxter and Mulberry...;;;;;;Dolce Vita;181 Grand St-Btwn Mulberry & Baxter St;;;;;
Donguri;Upper East Side;309 E 83rd St;New York;NY;Japanese;$$$;;Donguri; 309 E 83rd St-between First and Second Aves;New York;Upper East Side;Japanese;(212-737-5656);
Donguri;Upper E. Side;;;;;;;Donguri; 309 E 83rd St-between First and Second Aves;New York;Upper East Side;Japanese;(212-737-5656);
Dos Caminos Soho;SOHO;475 West Broadway;New York;NY;Mexican;$$$;;Dos Caminos Soho; 475 West Broadway-at Houston St;New York;Soho;Mexican;(212-277-4300);
Dos Caminos Soho;SoHo;475 West Broadway at Houston St;;;;;;Dos Caminos Soho; 475 West Broadway-at Houston St;New York;Soho;Mexican;(212-277-4300);
Doyers Vietnamese;Chinatown;11-13 Doyers St;New York;NY;Asian;$;;Doyers Vietnamese;11-13 Doyers Street;New York, NY, 10013;;;;
Duane Park Cafe;TriBeCa;157 Duane St;New York;NY;American;$$$;;Duane Park Cafe;157 Duane St;New York;;;;
Dylan Prime;TriBeCa;62 Laight St;New York;NY;Steakhouse;$$$$$;;Dylan Prime; 62 Laight St-between Greenwich and Hudson Sts;New York;Tribeca;Steakhouses;(212-334-4783);
Dylan Prime;Tribeca;;;;;;;Dylan Prime; 62 Laight St-between Greenwich and Hudson Sts;New York;Tribeca;Steakhouses;(212-334-4783);
East Of Eighth;;254 West 23rd St;New York;NY;;;;East Of Eighth;254 W 23rd St;New York;;;;
Eatery;Midtown West;798 9th Ave;New York;NY;American;$;;Eatery; 798 Ninth Ave-at 53rd St;New York;Midtown West;Eclectic;(212-765-7080);
Eight Mile Creek;Little Italy;240 Mulberry St;New York;NY;Australian;$$;;Eight Mile Creek; 240 Mulberry St-between Prince and Spring Sts;New York;Chinatown/Little Italy;Australian & New Zealand;(212-431-4635);
El Charro Espanol;Greenwich Village;4 Charles St;New York;NY;Spanish;$$$;;El Charro Espanol;4 Charles St;New York;;;;
El Faro;West Village;823 Greenwich St;New York;NY;Spanish;$$;;El Faro; 823 Greenwich St-at Horatio St;New York;Meatpacking District;Spanish;(212-929-8210);
El Parador Cafe;Midtown East;;;;;;;El Parador Cafe; 325 E 34th St-between First and Second Aves;New York;Midtown East;Mexican;(212-679-6812);
El Pote;Murray Hill;718 2nd Ave;New York;NY;Spanish;$$;;El Pote;718 2nd Avenue;New York, NY, 10016;;;;
El Quijote;Chelsea;226 W 23rd St;New York;NY;Spanish;$$;;El Quijote; 226 W 23rd St-between Seventh and Eighth Aves;New York;Chelsea;Spanish;(212-929-1855);
El Rio Grande;Midtown East;160 East 38th Street;New York;NY;Southwestern;$$$;;El Rio Grande;160 East 38th Street;;;;;
Eleven Madison Park;Gramercy Park;11 Madison Ave;New York;NY;American;$$$$$;;Eleven Madison Park; 11 Madison Ave-at 24th St;New York;Gramercy/Flatiron;American Creative;(212-889-0905);
Eleven Madison Park;Gramercy / Flatiron;;;;;;;Eleven Madison Park; 11 Madison Ave-at 24th St;New York;Gramercy/Flatiron;American Creative;(212-889-0905);
Elmo;Chelsea;156 Seventh Ave;New York;NY;American;$$;;Elmo; 156 Seventh Ave-between 19th and 20th Sts;New York;Chelsea;American;(212-337-8000);
Employees Only;West Village;510 Hudson St;New York;NY;European;$$$;;Employees Only; 510 Hudson St-between Christopher and W 10th Sts;New York;West Village;American Creative;(212-242-3021);
Employees Only;Greenwich Village;510 Hudson St btwn Christopher and West...;;;;;;Employees Only; 510 Hudson St-between Christopher and W 10th Sts;New York;West Village;American Creative;(212-242-3021);
En Japanese Brasserie;West Village;435 Hudson St;New York;NY;Japanese;$$$;;En Japanese Brasserie;435 Hudson Street;New York, NY, 10014;;;;
Epices Inc;Upper West Side;103 W 70th St;New York;NY;Mediterranean;$$;;Epices Inc;103 W 70th St;New York;;;;
Erminia;Upper East Side;250 E 83rd St;New York;NY;Italian;$$$;;Erminia; 250 E 83rd St-between Second and Third Aves;New York;Upper East Side;Italian;(212-879-4284);
Esca;Midtown West;402 W 43rd St;New York;NY;Italian;$$$$;;Esca; 402 W 43rd St-at Ninth Ave;New York;Midtown West;Italian;(212-564-7272);
Esperanto;East Village;145 Ave C;New York;NY;Nuevo Latino;$$;;Esperanto; 145 Ave C-at 9th St;New York;East Village;Latin American;(212-505-6559);
Esperanto;E. Village;;;;;;;Esperanto; 145 Ave C-at 9th St;New York;East Village;Latin American;(212-505-6559);
Essex;Lower East Side;120 Essex St;New York;NY;American;$;;Essex; 120 Essex St-at Rivington St;New York;Lower East Side;Eclectic;(212-533-9616);
Estancia 460;Tribeca;;;;;;;Estancia 460; 460 Greenwich St-between Desbrosses and Watts Sts;New York;Tribeca;Argentine;(212-431-5093);
Estiatorio Milos;Midtown West;125 West 55th Street;New York;NY;Greek;$$$$;;Estiatorio Milos; 125 W 55th St-between Sixth and Seventh Aves;New York;Midtown West;Greek;(212-245-7400);
Etats-Unis;Upper East Side;242 E 81st St;New York;NY;American;$$$;;Etats-Unis; 242 E 81st St-between Second and Third Aves;New York;Upper East Side;American Creative;(212-517-8826);
Etats-Unis;Upper E. Side;;;;;;;Etats-Unis; 242 E 81st St-between Second and Third Aves;New York;Upper East Side;American Creative;(212-517-8826);
Etcetera Etcetera;Midtown West;;;;;;;Etcetera Etcetera; 352 W 44th St-between Eighth and Ninth Aves;New York;Midtown West;Mediterranean;(212-399-4141);
Ethiopian Restaurant;Upper East Side;The, 1582 York Ave;New York;NY;African;$;;Ethiopian Restaurant; 1582 York Ave-between 83rd and 84th Sts;New York;Upper East Side;African: Ethiopian;(212-717-7311);
Extra Virgin;West Village;259 W 4th St;New York;NY;Mediterranean;$$;;Extra Virgin; 259 W 4th St-between Charles and Perry Sts;New York;West Village;Mediterranean;(212-691-9359);
Extra Virgin;W. Village;;;;;;;Extra Virgin; 259 W 4th St-between Charles and Perry Sts;New York;West Village;Mediterranean;(212-691-9359);
Extra Virgin;Greenwich Village;;;;;;;Extra Virgin; 259 W 4th St-between Charles and Perry Sts;New York;West Village;Mediterranean;(212-691-9359);
F.illi Ponte;;39 Desbrosses St.;New York;NY;Italian;$$$$;;F.illi Ponte; 39 Desbrosses St-at West St;New York;Tribeca;Italian;(212-226-4621);
FR.OG;SOHO;71 Spring Street;New York;NY;French;$$$;;FR.OG;71 Spring Street;New York;;;;
Falai;Lower East Side;68 Clinton St;New York;NY;Italian;$$$;;Falai; 68 Clinton St-between Rivington and Stanton Sts;New York;Lower East Side;Cafés & diners;(212-253-1960);
Falai;Lower E. Side;;;;;;;Falai; 68 Clinton St-between Rivington and Stanton Sts;New York;Lower East Side;Cafés & diners;(212-253-1960);
Fat Hippo;;71 Clinto St.;New York;NY;;;;Fat Hippo;71 Clinton St-;;;;;
Fatty Crab;Meatpacking District;643 Hudson Street;New York;NY;Indonesian;$$;;Fatty Crab; 643 Hudson St-between Gansevoort and Horatio St;New York;Meatpacking District;Asian: Pan-Asian;(212-352-3590);
Felidia;Midtown East;243 East 58th Street;New York;NY;Italian;$$$$;;Felidia; 243 E 58th St-between Second and Third Aves;New York;Midtown East;Italian;(212-758-1479);
Fiamma Osteria;SOHO;206 Spring Street;New York;NY;Italian;$$$;;Fiamma Osteria;206 Spring Street;New York, NY, 10012;;;;
Film Center Cafe;Midtown West;635 9th Avenue;New York;NY;American;$$;;Film Center Cafe; 635 Ninth Ave-between 44th and 45th Sts;New York;Midtown West;American;(212-262-2525);
Fish;Greenwich Village;280 Bleecker St;New York;NY;Seafood;$$;;Fish; 280 Bleecker St-at Jones St;New York;West Village;Seafood;(212-727-2879);
Fish;West Village;;;;;;;Fish; 280 Bleecker St-at Jones St;New York;West Village;Seafood;(212-727-2879);
Fish;W. Village;;;;;;;Fish; 280 Bleecker St-at Jones St;New York;West Village;Seafood;(212-727-2879);
Five Points;East Village;;;;;;;Five Points; 31 Great Jones St-between Bowery and Lafayette St;New York;East Village;American;(212-253-5700);
Five Points;E. Village;;;;;;;Five Points; 31 Great Jones St-between Bowery and Lafayette St;New York;East Village;American;(212-253-5700);
Forge;TriBeCa;134 Reade St;New York;NY;American;$$$$;;Forge; 134 Reade St-between Greenwich and Hudson Sts;New York;Tribeca;American;(212-941-9401);
Frank's;Chelsea;410 W 16th St;New York;NY;Italian;$$$;;Frank's;410 West 12th Street;;;;;
Frankie & Johnnie's Steakhouse;Midtown West;32 W 37th St;New York;NY;Steakhouse;$$$;;Frankie & Johnnie's Steakhouse;32 West 37th Street;;;;;
Frederick's Madison;Upper East Side;768 Madison Ave;New York;NY;Mediterranean;$$$$;;Frederick's Madison;768 Madison Avenue;;;;;
French Roast;Upper West Side;2340 Broadway;New York;NY;Breakfast;$;;French Roast; 2340 Broadway-at 85th St;New York;Upper West Side;Cafés;(212-799-1533);
French Roast;Greenwich Village;2340 Broadway at 85th St;;;;;;French Roast; 2340 Broadway-at 85th St;New York;Upper West Side;Cafés;(212-799-1533);
Fresco by Scotto;Midtown East;34 E 52nd St;New York;NY;Italian;$$$;;Fresco by Scotto; 34 E 52nd St-between Madison and Park Aves;New York;Midtown East;Italian;(212-935-3434);
Fresh;TriBeCa;105 Reade St;New York;NY;Seafood;$$$;;Fresh; 105 Reade St-at West Broadway;New York;Tribeca;Seafood;(212-406-1900);
Gabriela's;Upper West Side;688 Columbus Avenue;New York;NY;Mexican;$$;;Gabriela's;688 Columbus Avenue;;;;;
Gammeeok Restaurant;Midtown West;43 W 32nd St;New York;NY;Korean;$;;Gammeeok Restaurant;43 W 32nd St # 1;New York;;;;
Garage Restaurant and Cafe;Chelsea;99 7th Avenue;New York;NY;American;$$$;;Garage Restaurant and Cafe;99 Seventh Avenue South;;;;;
Gari;Upper West Side;370 Columbus Ave;New York;NY;Sushi;$$$$$;;Gari; 370 Columbus Ave-between 77th and 78th Sts;New York;Upper West Side;Japanese;(212-362-4816);
Gari;Upper W. Side;;;;;;;Gari; 370 Columbus Ave-between 77th and 78th Sts;New York;Upper West Side;Japanese;(212-362-4816);
Gascogne;Chelsea;158 8th Avenue;New York;NY;French;$$$;;Gascogne; 158 Eighth Ave-between 17th and 18th Sts;New York;Chelsea;French;(212-675-6564);
Gavroche;West Village;212 W 14th St;New York;NY;French;$$$;;Gavroche; 212 W 14th St-between Seventh and Eighth Aves;New York;West Village;French;(212-647-8553);
Gavroche;Greenwich Village;;;;;;;Gavroche; 212 W 14th St-between Seventh and Eighth Aves;New York;West Village;French;(212-647-8553);
Geisha;Upper East Side;33 E 61st St;New York;NY;Japanese;$$$$;;Geisha; 33 E 61st St-between Madison and Park Aves;New York;Upper East Side;Asian: Pan-Asian;(212-813-1112);
Geisha;Upper E. Side;;;;;;;Geisha; 33 E 61st St-between Madison and Park Aves;New York;Upper East Side;Asian: Pan-Asian;(212-813-1112);
Gennaro;Upper West Side;665 Amsterdam Ave;New York;NY;Italian;$$;;Gennaro; 665 Amsterdam Ave-between 92nd and 93rd Sts;New York;Upper West Side;Italian;(212-665-5348);
Gennaro;Upper W. Side;;;;;;;Gennaro; 665 Amsterdam Ave-between 92nd and 93rd Sts;New York;Upper West Side;Italian;(212-665-5348);
Ghenet Restaurant;NoLita;284 Mulberry St;New York;NY;African;$;;Ghenet Restaurant;284 Mulberry St;New York;;;;
Giorgione 508;SOHO;508 Greenwich St;New York;NY;Continental;$$$;;Giorgione 508;508 Greenwich Street;New York, NY, 10013;;;;
Gobo;;1426 Third Ave.;New York;NY;Vegetarian;$$;;Gobo; 1426 Third Ave-at 81st St;New York;Upper East Side;Vegetarian & Organic;(212-288-4686);
Gobo;Upper East Side;;;;;;;Gobo; 1426 Third Ave-at 81st St;New York;Upper East Side;Vegetarian & Organic;(212-288-4686);
Gobo;Upper E. Side;;;;;;;Gobo; 1426 Third Ave-at 81st St;New York;Upper East Side;Vegetarian & Organic;(212-288-4686);
Good;West Village;89 Greenwich St;New York;NY;American;$$;;Good; 89 Greenwich Ave-between Bank and W 12th Sts;New York;West Village;American;(212-691-8080);
Good;Greenwich Village;89 Greenwich Ave btwn Bank and W 12th...;;;;;;Good; 89 Greenwich Ave-between Bank and W 12th Sts;New York;West Village;American;(212-691-8080);
Goodies;Chinatown;1 E Broadway;New York;NY;Chinese;$;;Goodies;1 East Broadway;New York, NY, 10038;;;;
Gramercy Tavern;Gramercy / Flatiron;;;;;;;Gramercy Tavern; 42 E 20th St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;American Creative;(212-477-0777);
Gray's Papaya;Hell's Kitchen;539 8th Avenue;New York;NY;Fast Food;$;;Gray's Papaya;539 8th Ave-At 37th St;;;;;
Greenwich Grill;TriBeCa;428 Greenwich St;New York;NY;Californian;$$$;;Greenwich Grill; 428 Greenwich St-between Vestry and Laight Sts;New York;Tribeca;Eclectic;(212-274-0428);
Greenwich Grill;Tribeca;;;;;;;Greenwich Grill; 428 Greenwich St-between Vestry and Laight Sts;New York;Tribeca;Eclectic;(212-274-0428);
HQ;;90 Thompson St;New York;NY;;;;HQ;90 Thompson Street;New York, NY, 10012;;;;
Hallo Berlin;Midtown West;;;;;;;Hallo Berlin; 626 Tenth Ave-at 44th St;New York;Midtown West;German;(212-977-1944);
Hasaki;East Village;210 E Ninth St;New York;NY;Sushi;$$;;Hasaki; 210 E 9th St-between Second and Third Aves;New York;East Village;Japanese;(212-473-3327);
Hatsuhana;Midtown East;237 Park Ave;New York;NY;Sushi;$$$$;;Hatsuhana; 17 E 48th St-between Fifth and Madison Aves;New York;Midtown East;Japanese;(212-355-3345);
Havana Central;Midtown West;151 W 46th Street;New York;NY;Cuban;$$;;Havana Central; 151 W 46th St-between Sixth and Seventh Aves;New York;Midtown West;Caribbean: Cuban;(212-398-7440);
Haveli;East Village;100 Second Ave;New York;NY;Indian;$$;;Haveli; 100 Second Ave-between 5th and 6th Sts;New York;East Village;Indian;(212-982-0533);
Hea;East Village;145 E. 13th St.;New York;NY;Pan-Asian;$$$;;Hea; 145 E 13th St-at Third Ave;New York;East Village;Japanese;(212-982-1688);
Hearth;East Village;403 E 12th St;New York;NY;American;$$$$;;Hearth; 403 E 12th St-at First Ave;New York;East Village;American;(646-602-1300);
Hearth;E. Village;;;;;;;Hearth; 403 E 12th St-at First Ave;New York;East Village;American;(646-602-1300);
Hedeh;E. Village;;;;;;;Hedeh; 57 Great Jones Street-at Bowery St;New York;East Village;Japanese;(212-473-8458);
Heidelberg;Upper East Side;1648 2nd Ave;New York;NY;German;$$;;Heidelberg; 1648 Second Ave-between 85th and 86th Sts;New York;Upper East Side;German;(212-628-2332);
Heidelberg;Upper E. Side;;;;;;;Heidelberg; 1648 Second Ave-between 85th and 86th Sts;New York;Upper East Side;German;(212-628-2332);
Highline;Meatpacking District;835 Washington St;New York;NY;Asian;$$;;Highline; 835 Washington St-at Little West 12th St;New York;Meatpacking District;Thai;(212-243-3339);
Hill Country;Chelsea;30 W. 26th St.;New York;NY;Barbecue;$$;;Hill Country; 30 W 26th St-between Broadway and Sixth Ave;New York;Chelsea;Barbeque;(212-255-4544);
Holy Basil;East Village;149 Second Ave;New York;NY;Asian;$;;Holy Basil;149 Second Ave -between 9th and 10th Stssecond floor;New York;East Village;Thai;(212-460-5557);
Holy Basil;E. Village;;;;;;;Holy Basil;149 Second Ave -between 9th and 10th Stssecond floor;New York;East Village;Thai;(212-460-5557);
Home;Greenwich Village;20 Cornelia St;New York;NY;American;$$;;Home; 20 Cornelia St-between Bleecker and W 4th Sts;New York;West Village;American;(212-243-9579);
Home;W. Village;;;;;;;Home; 20 Cornelia St-between Bleecker and W 4th Sts;New York;West Village;American;(212-243-9579);
Hudson Cafeteria;Midtown West;356 West 58th Street;New York;NY;American;$$$;;Hudson Cafeteria;Hudson Hotel -356 W 58th Stbetween Eighth and Ninth Aves;New York;Midtown West;American;(212-554-6500);
Hunan Park Restaurant;;235 Columbus Ave;New York;NY;;;;Hunan Park Restaurant;235 Columbus Ave;New York;;;;
I Coppi;East Village;432 E Ninth St;New York;NY;Italian;$$$;;I Coppi; 432 E 9th St-between First Ave and Ave A;New York;East Village;Italian;(212-254-2263);
I Coppi;E. Village;;;;;;;I Coppi; 432 E 9th St-between First Ave and Ave A;New York;East Village;Italian;(212-254-2263);
I Sodi;Greenwich Village;105 Christopher St;New York;NY;Italian;$$$;;I Sodi; 105 Christopher St-between Bleecker and Hudson Sts;New York;West Village;Italian;(212-414-5774);
I Sodi;West Village;;;;;;;I Sodi; 105 Christopher St-between Bleecker and Hudson Sts;New York;West Village;Italian;(212-414-5774);
I Tre Merli;Soho;;;;;;;I Tre Merli; 463 West Broadway-between Houston and Prince Sts;New York;Soho;Italian;(212-254-8699);
I Tre Merli;SoHo;;;;;;;I Tre Merli; 463 West Broadway-between Houston and Prince Sts;New York;Soho;Italian;(212-254-8699);
I Trulli;Gramercy Park;122 E 27th St;New York;NY;Italian;$$$;;I Trulli;122 E 27th St;New York;;;;
Icon;Midtown East;130 E 39th Street;New York;NY;American;$$$;;Icon;W Court Hotel -130 E 39th Stbetween Park and Lexington Aves;New York;Midtown East;American;(212-592-8888);
Ideya;Soho;;;;;;;Ideya; 349 West Broadway-between Broome and Grand Sts;New York;Soho;Latin American;(212-625-1441);
Ideya;SoHo;349 West Broadway btwn Broome and Grand...;;;;;;Ideya; 349 West Broadway-between Broome and Grand Sts;New York;Soho;Latin American;(212-625-1441);
Iguana;;240 W 54th St;New York;NY;;;;Iguana;240 West 54th Street;;;;;
Il Bagatto;East Village;192 E Second St;New York;NY;Italian;$$;;Il Bagatto; 192 E 2nd St-between Aves A and B;New York;East Village;Italian;(212-228-0977);
Il Bagatto;E. Village;;;;;;;Il Bagatto; 192 E 2nd St-between Aves A and B;New York;East Village;Italian;(212-228-0977);
Il Bastardo;Chelsea;191 Seventh Ave;New York;NY;Steakhouse;$$$;;Il Bastardo; 161 Seventh Ave 21st St-;New York;Chelsea;Italian;(212-675-5980);
Il Buco;NoLita;47 Bond St;New York;NY;Italian;$$$;;Il Buco;47 Bond St;New York;;;;
Il Cantinori;Greenwich Village;32 East 10th St;New York;NY;Italian;$$$$;;Il Cantinori; 32 E 10th St-between University Pl and Broadway;New York;Greenwich Village;Italian;(212-673-6044);
Il Cantinori;West Village;;;;;;;Il Cantinori; 32 E 10th St-between University Pl and Broadway;New York;Greenwich Village;Italian;(212-673-6044);
Il Gattopardo;Midtown West;33 W 54th St;New York;NY;Italian;$$$;;Il Gattopardo; 33 W 54th St-between Fifth and Sixth Aves;New York;Midtown West;Italian;(212-246-0412);
Il Giglio;Financial/Battery Pk;;;;;;;Il Giglio; 81 Warren St-between Greenwich St and West Broadway;New York;Financial District;Italian;(212-571-5555);
Il Mulino;Greenwich Village;86 W 3rd St;New York;NY;Italian;$$$$;;Il Mulino; 86 W 3rd St-between Sullivan and Thompson Sts;New York;Greenwich Village;Italian;(212-673-3783);
Il Mulino;West Village;;;;;;;Il Mulino; 86 W 3rd St-between Sullivan and Thompson Sts;New York;Greenwich Village;Italian;(212-673-3783);
Il Valentino;Midtown East;330 East 56th Street;New York;NY;Italian;$$$;;Il Valentino;Sutton Hotel -330 E 56th Stbetween First and Second Aves;New York;Midtown East;Italian;(212-355-0001);
Inagiku;Midtown East;111 East 49th Street;New York;NY;Sushi;$$$$;;Inagiku;The Waldorf-Astoria -111 E 49th Stbetween Park and Lexington Aves;New York;Midtown East;Japanese;(212-355-0440);
Indochine;Greenwich Village;;;;;;;Indochine; 430 Lafayette St-between Astor Pl and E 4th St;New York;Greenwich Village;Vietnamese;(212-505-5111);
Indus Valley;Upper West Side;2636 Broadway;New York;NY;Indian;$$;;Indus Valley; 2636 Broadway-at 100th St;New York;Upper West Side;Indian;(212-222-9222);
Industria Argentina;Tribeca;;;;;;;Industria Argentina; 329 Greenwich St-between Duane and Jay Sts;New York;Tribeca;Argentine;(212-965-8560);
Insieme;Midtown West;777 Seventh Avenue;New York;NY;Italian;$$$$;;Insieme;Michelangelo Hotel -777 Seventh Aveat 51st St;New York;Midtown West;Italian;(212-582-1310);
Isabella's;Upper West Side;359 Columbus Ave;New York;NY;American;$$;;Isabella's;359 Columbus Ave-At 77th St;;;;;
Ithaka;Upper East Side;308 E 86th St;New York;NY;Greek;$$$;;Ithaka; 308 E 86th St-between First and Second Aves;New York;Upper East Side;Greek;(212-628-9100);
Ithaka;Upper E. Side;;;;;;;Ithaka; 308 E 86th St-between First and Second Aves;New York;Upper East Side;Greek;(212-628-9100);
Ivo & Lulu;Soho;;;;;;;Ivo & Lulu; 558 Broome St-at Varick St;New York;Soho;French;(212-226-4399);
Jackson Hole;Upper E. Side;;;;;;;Jackson Hole; 1611 Second Ave-between 83rd and 84th Sts;New York;Upper East Side;American;(212-737-8788);
Jacques-Imo's;Upper West Side;366 Columbus Ave;New York;NY;Creole-Cajun;$$;;Jacques-Imo's;366 Columbus Ave.;New York;West 70s;;;
Jane;Greenwich Village;100 W Houston St;New York;NY;American;$$$;;Jane; 100 W Houston St-between La Guardia Pl and Thompson St;New York;Greenwich Village;American;(212-254-7000);
Jane;West Village;;;;;;;Jane; 100 W Houston St-between La Guardia Pl and Thompson St;New York;Greenwich Village;American;(212-254-7000);
Japonica;Greenwich Village;100 University Pl;New York;NY;Sushi;$$$;;Japonica; 100 University Pl-at 12th St;New York;Greenwich Village;Japanese;(212-243-7752);
Japonica;West Village;;;;;;;Japonica; 100 University Pl-at 12th St;New York;Greenwich Village;Japanese;(212-243-7752);
Jean Georges;Upper West Side;1 Central Park W;New York;NY;French;$$$$$;;Jean Georges;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;New York;Upper West Side;French;(212-299-3900);
Jean Georges;Upper W. Side;;;;;;;Jean Georges;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;New York;Upper West Side;French;(212-299-3900);
Jezebel;Midtown West;630 Ninth Ave;New York;NY;Southern;$$$;;Jezebel;630 9th Ave;New York;;;;
JoJo;Upper East Side;160 E 64th St;New York;NY;French;$$$$;;JoJo; 160 E 64th St-between Lexington and Third Aves;New York;Upper East Side;French;(212-223-5656);
Joe's Pizza;Greenwich Village;7 Carmine St;New York;NY;Pizza;$;;Joe's Pizza;7 Carmine St-At 6th Ave;;;;;
