restaurant;neighborhood;address;addressGoogle;country;country_code;type;cost;type_r
Vintage Irving;Union Square;118A E. 15th St.;118A E 15th St;New York;NY;Small Plates;$$$;
Vong;Midtown East;200 East 54th St;200 E 54th St;New York;NY;Thai;$$$$;
Waikiki Wally's;East Village;101 East 2nd Street;101 E 2nd St;New York;NY;Hawaiian;$$$;
Walker's;TriBeCa;16 N Moore St;16 N Moore St;New York;NY;American;$;
Wallse;West Village;344 W 11th St;344 W 11th St;New York;NY;Austrian;$$$$;
Wd-50;Murray Hill;50 Clinton St;50 Clinton St;New York;NY;American;$$$$;
Westville;West Village;210 W 10th St;210 W 10th St;New York;NY;American;$;
Westville East;East Village;173 Ave. A;173 Avenue A;New York;NY;American;$;
Whym;;889 Ninth Ave.;889 9th Ave;New York;NY;;;
Wichcraft;TriBeCa;397 Greenwich St;397 Greenwich St;New York;NY;American;$;
Wild Ginger;;51 Grove St.;51 Grove St;New York;NY;Thai;$$$;
Wildwood BBQ;Gramercy Park;225 Park Avenue South;225 Park Ave S;New York;NY;Barbecue;$$$;
Wo Hop Restaurant;;17 Mott St;17 Mott St;New York;NY;;;
Wogies Restaurant;West Village;39 Greenwich Ave;39 Greenwich Ave;New York;NY;American;$;
Wolfgang's Steakhouse;Murray Hill;4 Park Avenue;4 Park Ave;New York;NY;Steakhouse;$$$$;
Wollensky's Grill;Midtown East;205 East 49th Street;205 E 49th St;New York;NY;American;$$$;
Won Jo;Midtown West;23 W 32nd St;23 W 32nd St;New York;NY;Korean;$$;
Woo Lae Oak;SOHO;148 Mercer St;148 Mercer St;New York;NY;Korean;$$$;
Xing;Midtown West;785 Ninth Ave;785 9th Ave;New York;NY;Asian;$$$;
Xunta;East Village;174 First Ave;174 1st Avenue;New York;NY;Spanish;$;
Yakitori Totto;Midtown West;251 W. 55th St., 2nd fl;251 W 55th St 2nd fl;New York;NY;Japanese;$$$;
Yama;Midtown East;38-40 Carmine St;38-40 Carmine St;New York;NY;Sushi;$$;
Yozakura Kushiyaki Bar;Lower East Side;168 Ludlow St;168 Ludlow St;New York;NY;Japanese;$;
Yuca Bar;East Village;111 Ave A;111 Avenue A;New York;NY;Nuevo Latino;$;
Yuka;;1557 2nd Ave;1557 2nd Ave;New York;NY;;;
Yuki Sushi;Upper West Side;656 Amsterdam Ave;656 Amsterdam Ave;New York;NY;Sushi;$;
Za3calo;Upper East Side;174 E 82nd St;174 E 82nd St;New York;NY;Mexican;$$;
Zarela's;Midtown East;953 Second Ave;953 2nd Ave;New York;NY;Mexican;$$$;
Zen Palate;Union Square;34 East Union Sq;34 Union Square E;New York;NY;Vegetarian;$;
Zerza;East Village;304 E Sixth St;304 E 6th St;New York;NY;Moroccan;$$;
Zeytin;Upper West Side;519 Columbus Ave;519 Columbus Ave;New York;NY;Turkish;$$;
Zoe;SOHO;90 Prince St;90 Prince St;New York;NY;American;$$$;
Zoma;Harlem;2084 Frederick Douglass Blvd.;2084 Frederick Douglass Blvd;New York;NY;Ethiopian;$$;
Zona Rosa;;40 W 56th St;40 W 56th St;New York;NY;;;
Zum Schneider;East Village;107 Ave C;107 Loisaida Ave;New York;NY;German;$;
Zuni;Theater;598 Ninth Ave;598 9th Ave;New York;NY;American;$$;
Zutto;TriBeCa;77 Hudson Street;77 Hudson St;New York;NY;Sushi;$$;
db Bistro Moderne;Midtown West;55 W 44th Street;55 W 44th St;New York;NY;French;$$$$;
earth NYC;Chelsea;116a 10th Avenue;116A 10th Ave;New York;NY;Asian;$$;
p*ong;Greenwich Village;150 W. 10th Street;150 W 10th St;New York;NY;Dessert;$$;
'sNice;West Village;;;;;;;
(Le) Poisson Rouge;;;;;;;;
1 Dominick;Soho;;;;;;;
10 Downing Food & Wine;West Village;;;;;;;
10 Hudson Square;;;;;;;;
107 West;Wash Hts/Inwood;;;;;;;
107 West;Upper West Side;;;;;;;
123 Burger Shot Beer;;;;;;;;
1492 Food;Lower East Side;;;;;;;
17 Bleecker;East Village;;;;;;;
2 Bros. Pizza;East Village;;;;;;;
2 West;Battery Park City;;;;;;;
202;Chelsea;;;;;;;
24 Prince;Nolita;;;;;;;
2Eat@Saks;Midtown East;;;;;;;
2nd Avenue Deli;Murray Hill/Kips Bay;;;;;;;
40 Carrots;Upper East Side;;;;;;;
41 Greenwich Avenue;West Village;;;;;;;
44 & X Hell's Kitchen;Hell's Kitchen;;;;;;;
508;;;;;;;;
71 Irving Place Coffee & Tea Bar;Gramercy;;;;;;;
77493;Times Square;;;;;;;
7A;East Village;;;;;;;
809 Sangria Bar & Grill;Wash Hts/Inwood;;;;;;;
88 Orchard;Lower East Side;;;;;;;
88 Palace;Lower East Side;;;;;;;
99 miles to philly;West Village;;;;;;;
99¢ Fresh Pizza;Midtown East;;;;;;;
A;;;;;;;;
A Casa Fox;Lower East Side;;;;;;;
A La Turka;Upper East Side;;;;;;;
A Salt & Battery;West Village;;;;;;;
A Voce;Flatiron;;;;;;;
A.O.C. Bedford;West Village;;;;;;;
A.O.C., (l’Ail ou la Cuisse);West Village;;;;;;;
ACME Bar & Grill;East Village;;;;;;;
AJ Maxwell's;Midtown West;;;;;;;
AQ Café;Murray Hill/Kips Bay;;;;;;;
AQ Kafé;Upper West Side;;;;;;;
Abbondanza's;West Village;;;;;;;
Above;Times Square;;;;;;;
Abraço;East Village;;;;;;;
Aburiya Kinnosuke;Midtown East;;;;;;;
Acappella;Tribeca;;;;;;;
Aceluck;Hell's Kitchen;;;;;;;
Acqua;Upper West Side;;;;;;;
Adour Alain Ducasse;Midtown East;;;;;;;
Adriatic;;;;;;;;
Adrienne's Pizza Bar;Financial/Battery Pk;;;;;;;
Adä;Midtown East;;;;;;;
Afghan Kebab House II;;;;;;;;
Africa Kine Restaurant;Harlem;;;;;;;
Agave;West Village;;;;;;;
Ago;Tribeca;;;;;;;
Ah! Chihuahua's;Midtown East;;;;;;;
Aja Asian Bistro & Lounge;Midtown East;;;;;;;
Aji Sushi;Murray Hill/Kips Bay;;;;;;;
Ajisen Noodle;Chinatown;;;;;;;
Akane;;;;;;;;
Akdeniz Turkish Cuisine;Midtown West;;;;;;;
Aki;West Village;;;;;;;
Aki Sushi;Upper East Side;;;;;;;
Al Baraka;Upper East Side;;;;;;;
Al Bustan;Midtown East;;;;;;;
Al Forno Pizzeria;Upper East Side;;;;;;;
Alan's Falafel;Financial/Battery Pk;;;;;;;
Alcala;Midtown East;;;;;;;
Aldea;;;;;;;;
Aleo;Flatiron;;;;;;;
Alfama;West Village;;;;;;;
Alfanoose;Financial/Battery Pk;;;;;;;
Alias Restaurant;Lower East Side;;;;;;;
Alibaba;Upper West Side;;;;;;;
Alidoro;Soho;;;;;;;
All Natural Hot Mini Cakes;Lower East Side;;;;;;;
Alloro;Upper East Side;;;;;;;
Aloe;East Village;;;;;;;
Alta;West Village;;;;;;;
Ama;Soho;;;;;;;
Amalia;Midtown East;;;;;;;
Amaranth;Upper East Side;;;;;;;
Amarone Ristorante;Hell's Kitchen;;;;;;;
Ambassador Grill;Midtown East;;;;;;;
Amelia's Diner;Soho;;;;;;;
American Grill;East Village;;;;;;;
Amir's Falafel;;;;;;;;
Amsterdam Restaurant and Tapas Lounge;Morningside Hts;;;;;;;
Amy Ruth's Home-Style Southern Cuisine;Harlem;;;;;;;
An American Place;Murray Hill/Kips Bay;;;;;;;
Ancora;;;;;;;;
Andreas' Brick Oven Ristorante;Gramercy;;;;;;;
Angelo & Maxie's Steakhouse;Gramercy;;;;;;;
Angelo of Mulberry St.;Little Italy;;;;;;;
Angelo's Coal Oven Pizza;Midtown East;;;;;;;
Angelo's Coal Oven Pizza;Midtown West;;;;;;;
Angelo's Pizzeria;Midtown West;;;;;;;
Angus McIndoe;Times Square;;;;;;;
Annisa;West Village;;;;;;;
Antica Venezia Ristorante;Chelsea;;;;;;;
Antique Garage;Soho;;;;;;;
Antonucci;Upper East Side;;;;;;;
Aperitivo;;;;;;;;
Appetito Ristorante;Midtown West;;;;;;;
Apple Restaurant;West Village;;;;;;;
Aquagrill;Soho;;;;;;;
Aquamarine;;;;;;;;
Aquavit;Midtown East;;;;;;;
Arabelle Restaurant;Upper East Side;;;;;;;
Ariana Afghan Kebab House;Hell's Kitchen;;;;;;;
Arium;Meatpacking District;;;;;;;
Ariyoshi;Midtown East;;;;;;;
Arno Ristorante;Midtown West;;;;;;;
Aroma;East Village;;;;;;;
Arqua;Tribeca;;;;;;;
Arriba Arriba;Hell's Kitchen;;;;;;;
Artepasta;West Village;;;;;;;
Artie's Delicatessen;Upper West Side;;;;;;;
Artisanal;Murray Hill/Kips Bay;;;;;;;
Arturo's;West Village;;;;;;;
Arté;West Village;;;;;;;
Ashkara;Lower East Side;;;;;;;
Asia Kan;;;;;;;;
Asia Roma;Chinatown;;;;;;;
Asia de Cuba;Murray Hill/Kips Bay;;;;;;;
Asiana;;;;;;;;
Aspen;Flatiron;;;;;;;
Astor Court;Midtown East;;;;;;;
Astra;Midtown East;;;;;;;
At Vermilion;Midtown East;;;;;;;
Atrium Cafe;Midtown East;;;;;;;
Au Mandarin;Financial/Battery Pk;;;;;;;
Aura;Hell's Kitchen;;;;;;;
Aureole;Upper East Side;;;;;;;
Aurora Soho;Soho;;;;;;;
Avenue A Sushi;East Village;;;;;;;
Avon Bistro;Midtown East;;;;;;;
Awash;Upper West Side;;;;;;;
Awash;East Village;;;;;;;
Azalea;Times Square;;;;;;;
Azuki Sushi;Gramercy;;;;;;;
Azul;Lower East Side;;;;;;;
Azuri Cafe;Hell's Kitchen;;;;;;;
B&H;East Village;;;;;;;
B-Bap Fusion Rice Bar;;;;;;;;
B. Smith's;Hell's Kitchen;;;;;;;
B.B. King Blues Club & Grill;Times Square;;;;;;;
BB Sandwich Bar;West Village;;;;;;;
BBQ Chicken;East Village;;;;;;;
BG;Midtown East;;;;;;;
BLT Burger;West Village;;;;;;;
BLT Fish;Union Square;;;;;;;
BLT Market;Midtown West;;;;;;;
BLT Prime;Gramercy;;;;;;;
BONDST;East Village;;;;;;;
BXL Cafe;Times Square;;;;;;;
Babbo;West Village;;;;;;;
Baby Buddha;West Village;;;;;;;
Bacaro;Lower East Side;;;;;;;
Back Forty;East Village;;;;;;;
Bagel Bob's;West Village;;;;;;;
Bagel Buffet;West Village;;;;;;;
Bagicha;;;;;;;;
Baldoria;Times Square;;;;;;;
Bali Nusa Indah;Hell's Kitchen;;;;;;;
Ballato;East Village;;;;;;;
Balthazar;Soho;;;;;;;
Bamboleo;West Village;;;;;;;
Bamboo 52;Hell's Kitchen;;;;;;;
Bamiyan;Gramercy;;;;;;;
Bamn!;East Village;;;;;;;
Banc Café;Murray Hill/Kips Bay;;;;;;;
Bann;Hell's Kitchen;;;;;;;
Bao Noodles;Gramercy;;;;;;;
Baoguette;Gramercy;;;;;;;
Bar 515;Murray Hill/Kips Bay;;;;;;;
Bar 6;West Village;;;;;;;
Bar 89;Soho;;;;;;;
Bar Americain;Times Square;;;;;;;
Bar Bao;;;;;;;;
Bar Blanc;West Village;;;;;;;
Bar Boulud;Upper West Side;;;;;;;
Bar Breton;Murray Hill/Kips Bay;;;;;;;
Bar Centrale;Hell's Kitchen;;;;;;;
Bar Jamón;Gramercy;;;;;;;
Bar Martignetti;Little Italy;;;;;;;
Bar Masa;Upper West Side;;;;;;;
Bar Milano;Gramercy;;;;;;;
Bar Pitti;West Village;;;;;;;
Bar Stuzzichini;Flatiron;;;;;;;
Bar Veloce;East Village;;;;;;;
Bar Veloce;Chelsea;;;;;;;
Bar-K;West Village;;;;;;;
BarBossa;Nolita;;;;;;;
Baraonda;Upper East Side;;;;;;;
Barbarini Alimentari;Financial/Battery Pk;;;;;;;
Barbetta;Hell's Kitchen;;;;;;;
Barbuto;West Village;;;;;;;
Barbès;Murray Hill/Kips Bay;;;;;;;
Barking Dog;Upper East Side;;;;;;;
Barking Dog;Murray Hill/Kips Bay;;;;;;;
Barna;Gramercy;;;;;;;
Barolo;Soho;;;;;;;
Basera;Hell's Kitchen;;;;;;;
Basta Pasta;Union Square;;;;;;;
Bateaux New York;Chelsea;;;;;;;
Battery Gardens;Financial/Battery Pk;;;;;;;
Bayan Café;Midtown East;;;;;;;
Beach Street Eatery;Tribeca;;;;;;;
Becco;Hell's Kitchen;;;;;;;
Beer Bar;Midtown East;;;;;;;
Belcourt;East Village;;;;;;;
Bella Blu;Upper East Side;;;;;;;
Bella Luna;Upper West Side;;;;;;;
Bellavitae;West Village;;;;;;;
Bello;Hell's Kitchen;;;;;;;
Bello Giardino;Upper West Side;;;;;;;
Ben Benson's Steak House;Times Square;;;;;;;
Ben's Kosher Delicatessen Restaurant;Midtown West;;;;;;;
Ben's Pizza;;;;;;;;
Bengal Cafe;Morningside Hts;;;;;;;
Benihana;Midtown West;;;;;;;
Benny's Burritos;East Village;;;;;;;
Benny's Burritos (West);West Village;;;;;;;
Benoit;Midtown West;;;;;;;
Bereket;Lower East Side;;;;;;;
Berger's On The Go;Murray Hill/Kips Bay;;;;;;;
Berrywild;Murray Hill/Kips Bay;;;;;;;
Better Burger;Chelsea;;;;;;;
Better Burger;Murray Hill/Kips Bay;;;;;;;
BiCE;Midtown East;;;;;;;
Bianca;East Village;;;;;;;
Big Daddy's Diner;Gramercy;;;;;;;
Big Enchilada;West Village;;;;;;;
Big Nick's Burger and Pizza Joint;Upper West Side;;;;;;;
Big Wong King;Chinatown;;;;;;;
Bin 71;Upper West Side;;;;;;;
Biricchino;W. 20s;;;;;;;
Bis.Co.Latte;Hell's Kitchen;;;;;;;
Bistecca Fiorentina;Hell's Kitchen;;;;;;;
Bistro Bagatelle;Meatpacking District;;;;;;;
Bistro Desaret;Midtown East;;;;;;;
Bistro Le Steak;Upper East Side;;;;;;;
Bistro Les Amis;Soho;;;;;;;
Bistro Ten 18;Morningside Hts;;;;;;;
Bistro du Nord;Upper East Side;;;;;;;
Bistrouge;East Village;;;;;;;
Black Pearl;East Village;;;;;;;
BlackFinn Bar & Restaurant;Midtown East;;;;;;;
Blake & Todd;Midtown West;;;;;;;
Blaue Gans;Tribeca;;;;;;;
Bleecker Street Pizza;West Village;;;;;;;
Bloomingdale Road;Upper West Side;;;;;;;
Bloom’s Delicatessen;Murray Hill/Kips Bay;;;;;;;
Blossom;Chelsea;;;;;;;
Blue Fin;Times Square;;;;;;;
Blue Hill;West Village;;;;;;;
Blue Note;West Village;;;;;;;
Blue Ribbon Bakery;West Village;;;;;;;
Blue Ribbon Bakery Market;West Village;;;;;;;
Blue Ribbon Bar;West Village;;;;;;;
Blue Ribbon Brasserie;Soho;;;;;;;
Blue Ribbon Sushi;Soho;;;;;;;
Blue Ribbon Sushi Bar & Grill;Hell's Kitchen;;;;;;;
Blue Smoke;Gramercy;;;;;;;
Bo Ky;Chinatown;;;;;;;
Bobo;West Village;;;;;;;
Bocca;Flatiron;;;;;;;
Bocca di Bacco;Hell's Kitchen;;;;;;;
Bodrum;Upper West Side;;;;;;;
Bodum Cafe;Chelsea;;;;;;;
Bombay Grill;Murray Hill/Kips Bay;;;;;;;
Bon Chon Chicken;Murray Hill/Kips Bay;;;;;;;
Bond 45;Times Square;;;;;;;
Bondi Road;Lower East Side;;;;;;;
Bone Lick Park;West Village;;;;;;;
Bongo;Chelsea;;;;;;;
Bonjoo Restaurant;East Village;;;;;;;
Bonobo's Vegetarian;Flatiron;;;;;;;
Bonsignour;West Village;;;;;;;
Boom;Soho;;;;;;;
Boqueria;Soho;;;;;;;
Boqueria;Flatiron;;;;;;;
Borgo Antico;West Village;;;;;;;
Boucarou;East Village;;;;;;;
Bouchon Bakery;Upper West Side;;;;;;;
Bouley;Tribeca;;;;;;;
Bourbon Street Bar and Grill;Hell's Kitchen;;;;;;;
Bourbon Street Southern Gourmet Pantry;West Village;;;;;;;
Boyd Thai;West Village;;;;;;;
Brasserie 360;Upper East Side;;;;;;;
Brasserie 44;Midtown West;;;;;;;
Brasserie 52;Hell's Kitchen;;;;;;;
Brasserie Les Halles;Murray Hill/Kips Bay;;;;;;;
Brasserie Les Halles Downtown;Financial/Battery Pk;;;;;;;
Brasserie Maison;Midtown West;;;;;;;
Brasserie Ruhlmann;Midtown West;;;;;;;
Bravo Gianni;Upper East Side;;;;;;;
Bread;Nolita;;;;;;;
Bread & Pastry Café;West Village;;;;;;;
Bread Bar;Flatiron;;;;;;;
Bread Market Cafe;Midtown West;;;;;;;
Bread Tribeca;Tribeca;;;;;;;
Bricco;Hell's Kitchen;;;;;;;
Brick Lane Curry House;East Village;;;;;;;
Bridge Café;Financial/Battery Pk;;;;;;;
Brio;Upper East Side;;;;;;;
Broadway's Jerusalem II;Midtown West;;;;;;;
Brooklyn Diner U.S.A.;Times Square;;;;;;;
Brother Jimmy's BBQ;Midtown West;;;;;;;
Bruno Jamais Restaurant Club;Upper East Side;;;;;;;
Bruschetteria;Lower East Side;;;;;;;
BrushStroke;;;;;;;;
Bryant Park Grill;Midtown West;;;;;;;
Bubba Gump Shrimp Co.;Times Square;;;;;;;
Bubby's;;;;;;;;
Bubby’s;Tribeca;;;;;;;
Bull & Bear;Midtown East;;;;;;;
Bull Run;Financial/Battery Pk;;;;;;;
Bully's;West Village;;;;;;;
Bun;Soho;;;;;;;
Bunchberries;Midtown East;;;;;;;
Buona Sera Restaurant;West Village;;;;;;;
Burger Joint;Midtown West;;;;;;;
Burger Shoppe;Financial/Battery Pk;;;;;;;
Burgers & Cupcakes;Hell's Kitchen;;;;;;;
Burrito Loco;West Village;;;;;;;
Bus Stop Cafe;West Village;;;;;;;
Butai;Gramercy;;;;;;;
Butcher Bay;;;;;;;;
Buzina Pop;Upper East Side;;;;;;;
Byblos;Murray Hill/Kips Bay;;;;;;;
Bánh Mì Saigon Bakery;Little Italy;;;;;;;
Bôi;Midtown East;;;;;;;
Bôi to Go;Midtown East;;;;;;;
Cabo Rojo;Chelsea;;;;;;;
Cacio e Vino;East Village;;;;;;;
Cafe Amore's;;;;;;;;
Cafe Asean;West Village;;;;;;;
Cafe Bari;Soho;;;;;;;
Cafe Brama;East Village;;;;;;;
Cafe Cluny;West Village;;;;;;;
Cafe Colonial;Nolita;;;;;;;
Cafe Edison;Times Square;;;;;;;
Cafe Gitane;Nolita;;;;;;;
Cafe Himalaya;East Village;;;;;;;
Cafe Luka;Upper East Side;;;;;;;
Cafe Rakka;East Village;;;;;;;
Cafe Socialista;West Village;;;;;;;
Cafe Viva;Upper West Side;;;;;;;
Cafe el Portal;Nolita;;;;;;;
Cafecito;East Village;;;;;;;
Cafetasia;West Village;;;;;;;
Caffe Buon Gusto;Upper East Side;;;;;;;
Caffe Cielo;Hell's Kitchen;;;;;;;
Caffe Dante;West Village;;;;;;;
Caffe Falai;Nolita;;;;;;;
Caffe Grazie;Upper East Side;;;;;;;
Caffe Reggio;West Village;;;;;;;
Caffe Swish;Morningside Hts;;;;;;;
Caffe Torino;West Village;;;;;;;
Caffè Emilia;East Village;;;;;;;
Caffè Pane e Cioccolato;West Village;;;;;;;
Caffè del Mare;West Village;;;;;;;
Caffé Linda;Midtown East;;;;;;;
Café 2;Midtown West;;;;;;;
Café Andalucia;Hell's Kitchen;;;;;;;
Café Angelique;;;;;;;;
Café Café;Soho;;;;;;;
Café Cello;Midtown West;;;;;;;
Café Centosette;East Village;;;;;;;
Café Condesa;West Village;;;;;;;
Café Cortadito;East Village;;;;;;;
Café Deville;East Village;;;;;;;
Café Español;West Village;;;;;;;
Café Evergreen;Upper East Side;;;;;;;
Café Fiorello;Upper West Side;;;;;;;
Café Frida;Upper West Side;;;;;;;
Café Greco;Upper East Side;;;;;;;
Café Grumpy;Chelsea;;;;;;;
Café Habana;Nolita;;;;;;;
Café Henri;West Village;;;;;;;
Café Joul;Midtown East;;;;;;;
Café K;Midtown East;;;;;;;
Café Katja;Lower East Side;;;;;;;
Café Largo;Harlem;;;;;;;
Café Loup;West Village;;;;;;;
Café Luxembourg;Upper West Side;;;;;;;
Café Mingala;Upper East Side;;;;;;;
Café Noir;Soho;;;;;;;
Café Orlin;East Village;;;;;;;
Café Pick Me Up;East Village;;;;;;;
Café Pierre;Upper East Side;;;;;;;
Café Select;Soho;;;;;;;
Café Spice;West Village;;;;;;;
Café Spice;Midtown East;;;;;;;
Café Un Deux Trois;Times Square;;;;;;;
Café con Leche;Upper West Side;;;;;;;
Café d'Alsace;Upper East Side;;;;;;;
Café de Bruxelles;West Village;;;;;;;
Café des Artistes;Upper West Side;;;;;;;
Café du Soleil;Upper West Side;;;;;;;
Calcutta;East Village;;;;;;;
Calexico;Soho;;;;;;;
Caliente Cab Co.;Murray Hill/Kips Bay;;;;;;;
Caliente Cab Co.;West Village;;;;;;;
California Pizza Deli Falafel;West Village;;;;;;;
California Pizza Kitchen;Upper East Side;;;;;;;
California Pizza Kitchen;Murray Hill/Kips Bay;;;;;;;
Camaje Bistro and Lounge;West Village;;;;;;;
Camaradas El Barrio;Spanish Harlem;;;;;;;
Campo;Morningside Hts;;;;;;;
Campus Eatery;West Village;;;;;;;
Canaletto;Upper East Side;;;;;;;
Cannonau;East Village;;;;;;;
Capri Caffé;Tribeca;;;;;;;
Capsouto Frères;Tribeca;;;;;;;
Capucine's Restaurant;Gramercy;;;;;;;
Cara Mia;Hell's Kitchen;;;;;;;
Caravan of Dreams;East Village;;;;;;;
Carl's Steaks;Tribeca;;;;;;;
Carl's Steaks;Murray Hill/Kips Bay;;;;;;;
Carlyle Restaurant;Upper East Side;;;;;;;
Carmine's;Times Square;;;;;;;
Carmine's;Upper West Side;;;;;;;
Carmine's;Financial/Battery Pk;;;;;;;
Carnegie John's;Midtown West;;;;;;;
Carve Unique Sandwiches;Times Square;;;;;;;
Casa Adela;East Village;;;;;;;
Casa Havana;Chelsea;;;;;;;
Casa Mono;Gramercy;;;;;;;
Casanis;Lower East Side;;;;;;;
Casaville;Murray Hill/Kips Bay;;;;;;;
Cascina;Hell's Kitchen;;;;;;;
Casellula Cheese & Wine Café;Hell's Kitchen;;;;;;;
Catch de Fish;Gramercy;;;;;;;
Caviar Russe;Midtown East;;;;;;;
Cendrillon;Soho;;;;;;;
Center Stage Café;Times Square;;;;;;;
Centolire;Upper East Side;;;;;;;
Centovini;Soho;;;;;;;
Central Park Boathouse;Upper East Side;;;;;;;
Centrico;Tribeca;;;;;;;
Centro Vinoteca;West Village;;;;;;;
Cercle Rouge;Tribeca;;;;;;;
Chanoodle Express;Chinatown;;;;;;;
Chanpen Thai;Hell's Kitchen;;;;;;;
Chanterelle;Tribeca;;;;;;;
Chanto;West Village;;;;;;;
Charles St. Food;West Village;;;;;;;
Charles' Southern Style Kitchen;;;;;;;;
Charley O's;Times Square;;;;;;;
Charley O's;Hell's Kitchen;;;;;;;
Charlie Mom;West Village;;;;;;;
Charlys;Financial/Battery Pk;;;;;;;
Charm Thai;Upper West Side;;;;;;;
Chatham Square Restaurant;Chinatown;;;;;;;
Chelsea Ristorante;Chelsea;;;;;;;
Chelsea Square Restaurant;Chelsea;;;;;;;
Chennai Garden;Gramercy;;;;;;;
Cherin Sushi;East Village;;;;;;;
Chez Brigitte;West Village;;;;;;;
Chez Jacqueline;West Village;;;;;;;
Chez Josephine;Hell's Kitchen;;;;;;;
Chez Le Chef;Murray Hill/Kips Bay;;;;;;;
Chez Napoléon;Hell's Kitchen;;;;;;;
Chiam;Midtown East;;;;;;;
Chicken Bar Pizza;West Village;;;;;;;
Chickie Pig's;Lower East Side;;;;;;;
Chickpea;East Village;;;;;;;
ChikaLicious;East Village;;;;;;;
Chimichurri Grill;Hell's Kitchen;;;;;;;
China 1;East Village;;;;;;;
China Regency;Midtown West;;;;;;;
Chinatown Brasserie;East Village;;;;;;;
Chinese Mirch;Murray Hill/Kips Bay;;;;;;;
Chino’s;Gramercy;;;;;;;
Chipotle;Union Square;;;;;;;
Chipotle;Times Square;;;;;;;
Chipotle;Murray Hill/Kips Bay;;;;;;;
Chiyono;East Village;;;;;;;
Cho Cho San Japanese Restaurant;West Village;;;;;;;
Chocolate Bar;Midtown East;;;;;;;
Choga;West Village;;;;;;;
Choshi Japanese Restaurant;Gramercy;;;;;;;
Christopher Norman Chocolates;Financial/Battery Pk;;;;;;;
Churrascaria Plataforma;Hell's Kitchen;;;;;;;
Churrascaria Tribeca;Tribeca;;;;;;;
Ciao Bella;Upper East Side;;;;;;;
Ciao For Now;East Village;;;;;;;
Cinema Café;Upper East Side;;;;;;;
Cipriani Dolci;Midtown East;;;;;;;
Cipriani Le Specialita;Midtown East;;;;;;;
Cipriani Wall Street;Financial/Battery Pk;;;;;;;
Citrus;Upper West Side;;;;;;;
City Crab & Seafood Company;Gramercy;;;;;;;
City Diner;Upper West Side;;;;;;;
City Girl Café;Soho;;;;;;;
City Hall Restaurant;Tribeca;;;;;;;
City Lobster & Crab Company;Times Square;;;;;;;
Classic Coffee Shop;Lower East Side;;;;;;;
Clinton St. Baking Co. & Restaurant;Lower East Side;;;;;;;
Co.;;;;;;;;
Cocktail Terrace;Midtown East;;;;;;;
Coco Pazzo;Upper East Side;;;;;;;
Col Legno;East Village;;;;;;;
Columbia Cottage;Morningside Hts;;;;;;;
Comfort Diner;Flatiron;;;;;;;
Commerce;West Village;;;;;;;
Community Food & Juice;Morningside Hts;;;;;;;
Concrete Tapas Bar & Lounge;;;;;;;;
Cones;West Village;;;;;;;
Cong Ly;Lower East Side;;;;;;;
Congee;Lower East Side;;;;;;;
Congee Village Restaurant & Bar;Lower East Side;;;;;;;
Coogan's Restaurant;Wash Hts/Inwood;;;;;;;
Cooper's Tavern;Hell's Kitchen;;;;;;;
Copper Chimney;Gramercy;;;;;;;
Coppola's;Upper West Side;;;;;;;
Coppola's East;Gramercy;;;;;;;
Corio;Soho;;;;;;;
Corner Shop Cafe;East Village;;;;;;;
Cortina;Upper East Side;;;;;;;
Corton;Tribeca;;;;;;;
Cosette;Murray Hill/Kips Bay;;;;;;;
Cosmic Cantina;East Village;;;;;;;
Cosmic Diner;Times Square;;;;;;;
Cosmopolitan Café;Tribeca;;;;;;;
Cosmos Diner;Gramercy;;;;;;;
Country;Murray Hill/Kips Bay;;;;;;;
Country Café;Soho;;;;;;;
Cozy Soup 'n Burger;West Village;;;;;;;
Craft;Flatiron;;;;;;;
Crave Ceviche Bar;Midtown East;;;;;;;
Crepe Creations;West Village;;;;;;;
Crif Dogs;East Village;;;;;;;
Croton Reservoir Tavern;Midtown West;;;;;;;
Cru;West Village;;;;;;;
Crumbs;West Village;;;;;;;
Crêpe Mania;Murray Hill/Kips Bay;;;;;;;
Cuba;West Village;;;;;;;
Cubana Café;0;;;;;;;
Cucina & Co.;Midtown East;;;;;;;
Cucina Stagionale;West Village;;;;;;;
Cucina di Pesce;East Village;;;;;;;
Cup & Saucer;Lower East Side;;;;;;;
Cupping Room Cafe;Soho;;;;;;;
Curly's Vegetarian Lunch;East Village;;;;;;;
Curry Leaf;Gramercy;;;;;;;
Curry in a Hurry;Murray Hill/Kips Bay;;;;;;;
Curry-Ya;;;;;;;;
DB Bistro Moderne;Midtown West;;;;;;;
Da Antonio Ristorante;Midtown East;;;;;;;
Da Ciro;Murray Hill/Kips Bay;;;;;;;
Da Filippo;Upper East Side;;;;;;;
Da Nico;Little Italy;;;;;;;
Da Rosina;Hell's Kitchen;;;;;;;
Da Silvano;West Village;;;;;;;
Da Silvano Cantinetta;West Village;;;;;;;
Da Umberto;Chelsea;;;;;;;
Daisy May's BBQ USA;Hell's Kitchen;;;;;;;
Dalga Seafood Grill;Upper East Side;;;;;;;
Dallas Jones Bar-B-Q;West Village;;;;;;;
Dan Japanese Restaurant;Upper West Side;;;;;;;
Danku;Midtown West;;;;;;;
Darbar;Midtown East;;;;;;;
Darbar Grill;;;;;;;;
Dave & Buster's;;;;;;;;
David Burke Townhouse;;;;;;;;
