0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r
Nick & Toni's Café;Upper West Side;;;;;;;
Nick + Stef's Steakhouse & Bar;Midtown West;;;;;;;
Nick's Pizza;Upper East Side;;;;;;;
Nina's Argentinian Pizzeria;Upper East Side;;;;;;;
Nino's Bellissima Pizza;;;;;;;;
Nino’s Pizzeria;East Village;;;;;;;
Nippon;Midtown East;;;;;;;
Noah's Ark;Lower East Side;;;;;;;
Nobu 57;Midtown West;;;;;;;
Noho Star;East Village;;;;;;;
Nooch;Chelsea;;;;;;;
Noodle Bar;West Village;;;;;;;
Noodle Village;Chinatown;;;;;;;
Nori;East Village;;;;;;;
Nougatine;Upper West Side;;;;;;;
Num Pang;;;;;;;;
Nussbaum & Wu;Morningside Hts;;;;;;;
O'Hara's Restaurant;Financial/Battery Pk;;;;;;;
O'Neals;Upper West Side;;;;;;;
O-I-Shi-I Sushi at Ivy's Café;Upper West Side;;;;;;;
OTTO Enoteca Pizzeria;West Village;;;;;;;
Oklahoma Smoke BBQ;Harlem;;;;;;;
Olana;Flatiron;;;;;;;
Old Homestead Steakhouse;Chelsea;;;;;;;
Old San Juan;Hell's Kitchen;;;;;;;
Olive Garden;Times Square;;;;;;;
Olive Tree Cafe;West Village;;;;;;;
Olive's;Soho;;;;;;;
Ollie's Noodle Shop;Morningside Hts;;;;;;;
Ollie's Noodle Shop;Times Square;;;;;;;
Olympic Diner;Hell's Kitchen;;;;;;;
Olé Restaurant;Gramercy;;;;;;;
Omai;Chelsea;;;;;;;
Omido;Midtown West;;;;;;;
Oms/b;Midtown East;;;;;;;
One If by Land, Two If by Sea;West Village;;;;;;;
One83;Upper East Side;;;;;;;
Ooki Sushi;Upper East Side;;;;;;;
Open the Sesame;;;;;;;;
Opia;Midtown East;;;;;;;
Opus;;;;;;;;
Orbit East Harlem;Spanish Harlem;;;;;;;
Orchid Caribbean/Soul Cuisine;Hell's Kitchen;;;;;;;
Oro Bakery and Bar;Little Italy;;;;;;;
Orso;Hell's Kitchen;;;;;;;
Osteria Gelsi;Hell's Kitchen;;;;;;;
Osteria al Doge;Times Square;;;;;;;
Ottimo;Flatiron;;;;;;;
Our Place Shanghai Tea Garden;Midtown East;;;;;;;
Ozu;Upper West Side;;;;;;;
P*ONG;West Village;;;;;;;
P.J. Moran’s Irish Pub and Restaurant;Midtown East;;;;;;;
Pacific Grill;Financial/Battery Pk;;;;;;;
Pad Thai;Chelsea;;;;;;;
Padre Figlio;Midtown East;;;;;;;
Palm Too;Midtown East;;;;;;;
Palma;West Village;;;;;;;
Pam Real Thai Food;Hell's Kitchen;;;;;;;
Pamplona;Murray Hill/Kips Bay;;;;;;;
Pan Latin Cafe;Battery Park City;;;;;;;
Panino Sportivo Roma;Morningside Hts;;;;;;;
Panna II;East Village;;;;;;;
Papaya King;West Village;;;;;;;
Paprika;East Village;;;;;;;
Paquitos;East Village;;;;;;;
Paradou Marché;Lower East Side;;;;;;;
Park Avenue Bistro;Murray Hill/Kips Bay;;;;;;;
Park Avenue Winter;Upper East Side;;;;;;;
Park Terrace Bistro;Wash Hts/Inwood;;;;;;;
Pasita;West Village;;;;;;;
Pata Negra;East Village;;;;;;;
Patroon;Midtown East;;;;;;;
Patsy’s Pizzeria;Spanish Harlem;;;;;;;
Paul & Jimmy's;Gramercy;;;;;;;
Pazza Notte;Midtown West;;;;;;;
Peace & Love;Tribeca;;;;;;;
Peacock Alley;Midtown East;;;;;;;
Peanut Butter & Co.;West Village;;;;;;;
Pearls;Upper West Side;;;;;;;
Peking Duck House;Midtown East;;;;;;;
Peking Duck House;Chinatown;;;;;;;
Peking Park;Midtown East;;;;;;;
Pellegrino's;Little Italy;;;;;;;
Pepe Giallo;Chelsea;;;;;;;
Perilla;West Village;;;;;;;
Permanent Brunch;;;;;;;;
Persimmon;East Village;;;;;;;
Phil's Pizza;West Village;;;;;;;
Philippe;Upper East Side;;;;;;;
Philly Slim's Cheesesteak;Hell's Kitchen;;;;;;;
Pho Grand;Lower East Side;;;;;;;
Phoenix Garden;Midtown East;;;;;;;
Piano Due;Times Square;;;;;;;
Piatto d'Oro;Spanish Harlem;;;;;;;
Piccolo Ristorante;Gramercy;;;;;;;
Picnick;Financial/Battery Pk;;;;;;;
Pie by the Pound;East Village;;;;;;;
Pie by the Pound;Upper East Side;;;;;;;
Piece of Chicken;Hell's Kitchen;;;;;;;
Pig 'n' Whistle;Times Square;;;;;;;
Pig 'n' Whistle on Third;Midtown East;;;;;;;
Pigalle;Times Square;;;;;;;
Pinche Taqueria;Nolita;;;;;;;
Pink Pony;Lower East Side;;;;;;;
Pinkberry;Midtown West;;;;;;;
Pinkberry;West Village;;;;;;;
Pinocchio Ristorante;Upper East Side;;;;;;;
Pintxos;Soho;;;;;;;
Pio Maya;West Village;;;;;;;
Pistahan;East Village;;;;;;;
Pisticci;Morningside Hts;;;;;;;
Pita Joe;West Village;;;;;;;
Pizzeria 28;West Village;;;;;;;
Pluck U.;0;;;;;;;
Plump Dumpling;East Village;;;;;;;
Podunk;East Village;;;;;;;
Polonia;East Village;;;;;;;
Pom Pom Diner;Hell's Kitchen;;;;;;;
Pomaire;Hell's Kitchen;;;;;;;
Pomodoro;Nolita;;;;;;;
Pongal;Gramercy;;;;;;;
Pongal;Upper East Side;;;;;;;
Pop Burger;Midtown East;;;;;;;
Pop Burger;Chelsea;;;;;;;
Poppy's Terminal Restaurant;W. 20s;;;;;;;
Porcão;Murray Hill/Kips Bay;;;;;;;
Portofino Grille;Upper East Side;;;;;;;
Posto;Gramercy;;;;;;;
Potluck;Chelsea;;;;;;;
Pranna;Murray Hill/Kips Bay;;;;;;;
Primavera;Upper East Side;;;;;;;
Prime Burger;Midtown East;;;;;;;
Prime Burger Café;Chelsea;;;;;;;
Primehouse New York;Flatiron;;;;;;;
Prosperity Dumpling;Lower East Side;;;;;;;
Puebla;East Village;;;;;;;
Puglia;Little Italy;;;;;;;
Pulse;Midtown West;;;;;;;
Punjabi Deli;East Village;;;;;;;
Purnima;;;;;;;;
Puttanesca;Hell's Kitchen;;;;;;;
Pão!;Soho;;;;;;;
Pécan;Tribeca;;;;;;;
Quartino Bottega Organica;East Village;;;;;;;
Queen of Sheba;Hell's Kitchen;;;;;;;
Quickly;Lower East Side;;;;;;;
Rachel's American Bistro;Hell's Kitchen;;;;;;;
Rai Rai Ken;East Village;;;;;;;
Rainbow Falafel & Shawarma;Union Square;;;;;;;
Ramen Setagaya;East Village;;;;;;;
Randolph's;Midtown West;;;;;;;
Rao's;Spanish Harlem;;;;;;;
Rare Bar & Grill;West Village;;;;;;;
Rare Bar & Grill;Murray Hill/Kips Bay;;;;;;;
Ravagh Persian Grill;Murray Hill/Kips Bay;;;;;;;
Ravagh Persian Grill;Upper East Side;;;;;;;
Ray's Super Deli;West Village;;;;;;;
Rayuela;Lower East Side;;;;;;;
Rectangles;Upper East Side;;;;;;;
Red Bamboo Vegetarian Soul Café;West Village;;;;;;;
Red Mango;West Village;;;;;;;
Regional Thai;Chelsea;;;;;;;
Regional Thai Sa-Woy;Upper East Side;;;;;;;
Renaissance Diner;Hell's Kitchen;;;;;;;
Restaurant Charlotte;Times Square;;;;;;;
Restaurant La Fenice;Upper West Side;;;;;;;
Restivo Ristorante;Chelsea;;;;;;;
Resto Leon;East Village;;;;;;;
Rheon Café;Soho;;;;;;;
Rhong-Tiam;West Village;;;;;;;
Rice 'n Beans;Hell's Kitchen;;;;;;;
Rice to Riches;Nolita;;;;;;;
Rickshaw Dumpling Bar;Flatiron;;;;;;;
Rive Gauche;Upper East Side;;;;;;;
Rivoli Pizza;West Village;;;;;;;
Robongi Sushi;West Village;;;;;;;
Roc;Tribeca;;;;;;;
Rocco's Pastry Shop;;;;;;;;
Rocket Joe's East;Lower East Side;;;;;;;
Rohm;Flatiron;;;;;;;
Rolf's;Gramercy;;;;;;;
Roomali;Gramercy;;;;;;;
Rosario's Pizza;Lower East Side;;;;;;;
Rossetti’s Pizza;Soho;;;;;;;
Roti Plus;Harlem;;;;;;;
Roti Roll Bombay Frankie;Upper West Side;;;;;;;
Rouge Tomate;Upper East Side;;;;;;;
Route 66 Cafe;Hell's Kitchen;;;;;;;
Roxy Delicatessen;Times Square;;;;;;;
Royale Cafe + Pastry;West Village;;;;;;;
Ruby Foo's;Times Square;;;;;;;
Ruby’s Café;Nolita;;;;;;;
Rue 57;Midtown West;;;;;;;
Russian Samovar;Times Square;;;;;;;
Ruth's Chris Steakhouse;Times Square;;;;;;;
SEA;East Village;;;;;;;
STK;Meatpacking District;;;;;;;
Saburi;Murray Hill/Kips Bay;;;;;;;
Sacred Chow;West Village;;;;;;;
Safran;Chelsea;;;;;;;
Sahara Grill;Midtown West;;;;;;;
Sahara's Turkish Cuisine;Gramercy;;;;;;;
Saigon Grill;West Village;;;;;;;
Saint’s Alp Teahouse;East Village;;;;;;;
Saju;Times Square;;;;;;;
Sake Bar Hagi;Times Square;;;;;;;
Sake Bar Satsko;East Village;;;;;;;
Sakura Hana;West Village;;;;;;;
Sal's & Carmine's Pizza;Upper West Side;;;;;;;
Salam Café;West Village;;;;;;;
Salon de Tapas;West Village;;;;;;;
Salsa y Salsa;Chelsea;;;;;;;
Salud! Restaurant & Bar;Financial/Battery Pk;;;;;;;
Salumeria Rosi;;;;;;;;
Salute!;Midtown West;;;;;;;
Samad's;Morningside Hts;;;;;;;
Sandwich Planet;Hell's Kitchen;;;;;;;
Sangam;West Village;;;;;;;
Sanur Restaurant;Chinatown;;;;;;;
Sapporo;Times Square;;;;;;;
Sapporo East;East Village;;;;;;;
Saravanaas;Gramercy;;;;;;;
Sardi's;Times Square;;;;;;;
Sau Voi Corp.;Chinatown;;;;;;;
Savarona;Midtown East;;;;;;;
Sawa Sushi;West Village;;;;;;;
Scarlatto;Times Square;;;;;;;
Scarpetta;Chelsea;;;;;;;
Scuderia;;;;;;;;
Secession;;;;;;;;
Selena;Midtown West;;;;;;;
Seoul Garden;Midtown West;;;;;;;
Sequoia;Financial/Battery Pk;;;;;;;
Serafina;Upper East Side;;;;;;;
Serafina on Lafayette;East Village;;;;;;;
Sette;Chelsea;;;;;;;
Seven Bar & Grill;Midtown West;;;;;;;
Seymour Burton;East Village;;;;;;;
Sezz Medì;Morningside Hts;;;;;;;
Shabu-Shabu 70;Upper East Side;;;;;;;
Shalizar;Upper East Side;;;;;;;
Shang;Lower East Side;;;;;;;
Shanghai Cuisine;Chinatown;;;;;;;
Sharaku;East Village;;;;;;;
Shelly's Tradizionale;Midtown West;;;;;;;
Sheng Wang;Lower East Side;;;;;;;
Shimizu;Hell's Kitchen;;;;;;;
Shinbashi;Midtown East;;;;;;;
Shopsin's;Lower East Side;;;;;;;
Shorty's;Hell's Kitchen;;;;;;;
Shula’s;Times Square;;;;;;;
Sicaffé;Upper East Side;;;;;;;
Sidewalk Cafe;East Village;;;;;;;
Simply Pasta;Times Square;;;;;;;
Sisters Caribbean Cuisine;Spanish Harlem;;;;;;;
Skylight Diner;Hell's Kitchen;;;;;;;
Smith & Mills;Tribeca;;;;;;;
Smith's;West Village;;;;;;;
Smokin’ Q;Midtown West;;;;;;;
SnAKS;Midtown East;;;;;;;
Snack Dragon Taco Shack;East Village;;;;;;;
Socarrat Paella Bar;Chelsea;;;;;;;
Society Coffee Lounge;Harlem;;;;;;;
Sofrito;Midtown East;;;;;;;
Soho House;Meatpacking District;;;;;;;
Sokhna Restaurant;Harlem;;;;;;;
Solex;East Village;;;;;;;
Solo Pizza;East Village;;;;;;;
Son Cubano;Chelsea;;;;;;;
Song Chu Mei;West Village;;;;;;;
Sookk;Upper West Side;;;;;;;
Sorella;;;;;;;;
Soto;West Village;;;;;;;
Soul Fixins;Hell's Kitchen;;;;;;;
Sounkyo Sushi;Midtown East;;;;;;;
South Gate;Midtown West;;;;;;;
SouthWest NY;Battery Park City;;;;;;;
Southern Hospitality;Upper East Side;;;;;;;
Souths;Tribeca;;;;;;;
Southside Café;Times Square;;;;;;;
Soy;Lower East Side;;;;;;;
Soy Luck Club;West Village;;;;;;;
Spanky’s BBQ;Times Square;;;;;;;
Spitzer's Corner;Lower East Side;;;;;;;
Spoon;Flatiron;;;;;;;
Spotlight Live;Times Square;;;;;;;
Spunto;;;;;;;;
Square Diner;Tribeca;;;;;;;
St. Andrews;Times Square;;;;;;;
Stand;West Village;;;;;;;
Starwich;Hell's Kitchen;;;;;;;
Steak Frites;West Village;;;;;;;
Steamers Landing;Battery Park City;;;;;;;
Stone Street Tavern;Financial/Battery Pk;;;;;;;
Strictly Roots;Harlem;;;;;;;
Strip House;West Village;;;;;;;
Stromboli Pizzeria;West Village;;;;;;;
Su Ra;East Village;;;;;;;
Sukhadia’s;Midtown West;;;;;;;
Sullivan Diner;West Village;;;;;;;
Sundaes and Cones;East Village;;;;;;;
Super Taste Restaurant;Lower East Side;;;;;;;
Supermac;Midtown West;;;;;;;
Surf City Squeeze;West Village;;;;;;;
Sushi Azabu;Tribeca;;;;;;;
Sushi Damo * Damo;Hell's Kitchen;;;;;;;
Sushi Mambo;West Village;;;;;;;
Sushi Sen-nin @ 33rd;Murray Hill/Kips Bay;;;;;;;
Sushi Twist;Flatiron;;;;;;;
Sushi Zen;Times Square;;;;;;;
Sushi on Hudson;West Village;;;;;;;
Sushi-Ann;Midtown East;;;;;;;
SushiSamba;Gramercy;;;;;;;
SushiSamba 7;West Village;;;;;;;
Sushiden;Times Square;;;;;;;
Sushiya;Midtown West;;;;;;;
Suzie's;West Village;;;;;;;
Sweetiepie;;;;;;;;
Swing 46;Hell's Kitchen;;;;;;;
Swish Cafe & Shabu Shabu;West Village;;;;;;;
Swizz Restaurant & Wine Bar;Hell's Kitchen;;;;;;;
Sylvia’s;Harlem;;;;;;;
Szechuan Gourmet;Midtown West;;;;;;;
Sòlo;Midtown East;;;;;;;
S’MAC;East Village;;;;;;;
T Salon;Chelsea;;;;;;;
T.G.I. Friday's;Times Square;;;;;;;
T.S. Ma;Hell's Kitchen;;;;;;;
TOM: Tuesday Dinner;Flatiron;;;;;;;
TOWN;Midtown West;;;;;;;
Table 8;East Village;;;;;;;
Table Tales Café;Financial/Battery Pk;;;;;;;
Taboon;Hell's Kitchen;;;;;;;
Tafu;Midtown East;;;;;;;
Tagine Dining Gallery;Hell's Kitchen;;;;;;;
Tai Thai;East Village;;;;;;;
Taksim;Midtown East;;;;;;;
Tanaka Sushi;Midtown East;;;;;;;
Tang Tang;Upper East Side;;;;;;;
Tao Asian Bistro;Midtown East;;;;;;;
Tarallucci e Vino;;;;;;;;
Taste Restaurant & Wine Bar;Upper East Side;;;;;;;
Tataki;Tribeca;;;;;;;
Tavern on Jane;West Village;;;;;;;
Taïm;West Village;;;;;;;
Tebaya;Chelsea;;;;;;;
Ted's Montana Grill;Times Square;;;;;;;
Tehuitzingo Mexican Deli;Hell's Kitchen;;;;;;;
Telegraph;Chelsea;;;;;;;
Teodora;Midtown East;;;;;;;
Terrace 5;Midtown West;;;;;;;
Terrace in the Sky;Morningside Hts;;;;;;;
Terroir;East Village;;;;;;;
Thai Angel;Soho;;;;;;;
Thai Market;Upper West Side;;;;;;;
Thai Me Up;East Village;;;;;;;
Thai Terminal;East Village;;;;;;;
ThaiNY;Gramercy;;;;;;;
Thalassa;Tribeca;;;;;;;
Thalia;Times Square;;;;;;;
The Atrium Cafe;Midtown East;;;;;;;
The Bagel Café and Ray's Pizza;East Village;;;;;;;
The Bar @ Etats-Unis;Upper East Side;;;;;;;
The Bar Room;Midtown West;;;;;;;
The Barclay Restaurant & Terrace;Midtown East;;;;;;;
The Beach Café;Upper East Side;;;;;;;
The Bigger Place;Financial/Battery Pk;;;;;;;
The Black Duck;Gramercy;;;;;;;
The Blue Seats;Lower East Side;;;;;;;
The Cafe at Country;Murray Hill/Kips Bay;;;;;;;
The Capital Grille;Midtown East;;;;;;;
The City Bakery;Flatiron;;;;;;;
The City Grill;Upper West Side;;;;;;;
The Coffee Pot;Hell's Kitchen;;;;;;;
The Coffee Shop;Union Square;;;;;;;
The Coliseum Bar & Restaurant;Hell's Kitchen;;;;;;;
The Commodore Grill;Midtown East;;;;;;;
The Cotton Club;Morningside Hts;;;;;;;
The Country Kebab;Financial/Battery Pk;;;;;;;
The Cub Room;Soho;;;;;;;
The Delta Grill;Hell's Kitchen;;;;;;;
The Diner;Chelsea;;;;;;;
The Elephant;East Village;;;;;;;
The Fitz;Midtown East;;;;;;;
The Great Burrito;Upper West Side;;;;;;;
The Green Table;Chelsea;;;;;;;
The Half Pint;West Village;;;;;;;
The Harlem Tea Room;Spanish Harlem;;;;;;;
The Hog Pit;Meatpacking District;;;;;;;
The House;Union Square;;;;;;;
The Jamaican Dutchy;Times Square;;;;;;;
The John Dory;Chelsea;;;;;;;
The London Bar;Midtown West;;;;;;;
The Madras Cafe;East Village;;;;;;;
The Mercer Kitchen;Soho;;;;;;;
The Mercury Dime;;;;;;;;
The Neptune Room;Upper West Side;;;;;;;
The New French;West Village;;;;;;;
The Odeon;Tribeca;;;;;;;
The Organic Grill;East Village;;;;;;;
The Original Chinatown Ice Cream Factory;Chinatown;;;;;;;
The Original Sandwich Shoppe;West Village;;;;;;;
The Palm West;Times Square;;;;;;;
The Park;Chelsea;;;;;;;
The Park Room;Midtown West;;;;;;;
The Post House;Upper East Side;;;;;;;
The Prime Grill;Midtown East;;;;;;;
The Red Cat;Chelsea;;;;;;;
The Restaurant at Splashlight Studios;Hell's Kitchen;;;;;;;
The River Room;Harlem;;;;;;;
The Russian Tea Room;Midtown West;;;;;;;
The Sea Grill;Midtown West;;;;;;;
The Shark Bar;Upper West Side;;;;;;;
The Smith;East Village;;;;;;;
The Soda Shop;Tribeca;;;;;;;
The Stanton Social;Lower East Side;;;;;;;
The Symposium Restaurant;Morningside Hts;;;;;;;
The Trie Café;Wash Hts/Inwood;;;;;;;
The Wicked Wolf;Upper East Side;;;;;;;
The Yoghurt Place II;Soho;;;;;;;
Thompson Café;Soho;;;;;;;
Thé Adoré;West Village;;;;;;;
Tick Tock Diner;Hell's Kitchen;;;;;;;
Tiengarden;Lower East Side;;;;;;;
Tiffin Wallah;Murray Hill/Kips Bay;;;;;;;
Tiny's Giant Sandwich Shop;Lower East Side;;;;;;;
Tiramisu;Upper East Side;;;;;;;
Tisserie;Union Square;;;;;;;
Ti­­pico Dominicano Restaurant;Wash Hts/Inwood;;;;;;;
Tkettle;East Village;;;;;;;
Toast;Morningside Hts;;;;;;;
Toasties East;Midtown East;;;;;;;
Toasties Union Square;Union Square;;;;;;;
Todai;Murray Hill/Kips Bay;;;;;;;
Todd English's Olives New York;Union Square;;;;;;;
Tokyo Bar;Tribeca;;;;;;;
Toloache;Times Square;;;;;;;
Tomo Sushi and Sake Bar;Morningside Hts;;;;;;;
"Tony ""the Dragon"" Dragonas";Upper East Side;;;;;;;
Tony's Di Napoli;Times Square;;;;;;;
Toons;West Village;;;;;;;
Topaz Thai;Midtown West;;;;;;;
Tora Ido Sushi;West Village;;;;;;;
Tossed;Midtown West;;;;;;;
Tossed;Gramercy;;;;;;;
Totonno's;Gramercy;;;;;;;
Tout Va Bien;Hell's Kitchen;;;;;;;
Tracy Stern SALONTEA TeaBar;;;;;;;;
Trailer Park Lounge & Grill;Chelsea;;;;;;;
Tramway Diner;Upper East Side;;;;;;;
Trattoria Dopo Teatro;Times Square;;;;;;;
Tree;East Village;;;;;;;
Tres Pasos;Harlem;;;;;;;
Trestle on Tenth;Chelsea;;;;;;;
Tribal Spears Gallery and Café;Harlem;;;;;;;
Tropica;Midtown East;;;;;;;
Tuck Shop;East Village;;;;;;;
Tulcingo Del Valle;Hell's Kitchen;;;;;;;
Turkish Cuisine;Hell's Kitchen;;;;;;;
Turkish Kitchen;Gramercy;;;;;;;
Turks & Frogs Tribeca;Tribeca;;;;;;;
Tutto Bene;West Village;;;;;;;
Tía Pol;Chelsea;;;;;;;
Ulysses’;Financial/Battery Pk;;;;;;;
Umberto's Clam House;Little Italy;;;;;;;
Uncle Jack's Steakhouse;Hell's Kitchen;;;;;;;
Uncle Marky's Organics;Midtown East;;;;;;;
Uncle Nick's;Hell's Kitchen;;;;;;;
University Restaurant;West Village;;;;;;;
Upstairs at '21';Midtown West;;;;;;;
Upstairs at Bouley Bakery;Tribeca;;;;;;;
Upstairs at Eli's Vinegar Factory;Upper East Side;;;;;;;
Uptown Juice Bar;Harlem;;;;;;;
Ushiwakamaru;West Village;;;;;;;
Utsav Festive India;Times Square;;;;;;;
V & T Pizzeria;Morningside Hts;;;;;;;
Vai;Upper West Side;;;;;;;
Valbella;Meatpacking District;;;;;;;
Valdino West;West Village;;;;;;;
Vandam Diner;Soho;;;;;;;
Vanessa’s Dumplings;East Village;;;;;;;
Vegetarian Dim Sum House;Chinatown;;;;;;;
Vegetarian's Paradise 2;West Village;;;;;;;
Vero Panini & Wine Bar;Upper East Side;;;;;;;
Via Delle Zoccolette;East Village;;;;;;;
Viang Ping;Gramercy;;;;;;;
Vice Versa;Hell's Kitchen;;;;;;;
Viceroy;Chelsea;;;;;;;
Victor's Café;Times Square;;;;;;;
Viet Café;Tribeca;;;;;;;
Viet-Nam Banh Mi So 1;Little Italy;;;;;;;
Village Pizza;West Village;;;;;;;
Village Tart;;;;;;;;
Vinny Vincenz;East Village;;;;;;;
Vintage New York Wine Bar;Soho;;;;;;;
Virgil's Real Barbecue;Times Square;;;;;;;
Volare;West Village;;;;;;;
Vox Pop;East Village;;;;;;;
Voza Restaurant;Upper West Side;;;;;;;
Vynl;Hell's Kitchen;;;;;;;
WaWa Canteen;West Village;;;;;;;
Wai? Cafe;Chelsea;;;;;;;
Wai? Cafe;East Village;;;;;;;
Waldy's Wood-Fired Pizza & Penne;Flatiron;;;;;;;
Water Moon;Upper West Side;;;;;;;
Waterfront Ale House;Murray Hill/Kips Bay;;;;;;;
Waterstone Grill;Financial/Battery Pk;;;;;;;
Waverly Restaurant;West Village;;;;;;;
Wechsler’s Currywurst & Bratwurst;;;;;;;;
West Bank Cafe;Hell's Kitchen;;;;;;;
Westway Diner;Hell's Kitchen;;;;;;;
White Slab Palace;;;;;;;;
Whym;Hell's Kitchen;;;;;;;
Wild Ginger;Little Italy;;;;;;;
Wild Ginger;West Village;;;;;;;
Wild Salmon;Midtown East;;;;;;;
Wildgreen Cafe;Upper East Side;;;;;;;
Wilfie & Nell;West Village;;;;;;;
Winner's Circle Restaurant;Midtown West;;;;;;;
Wogie's Bar & Grill;West Village;;;;;;;
Wok to Walk;West Village;;;;;;;
Wolfgang's Steakhouse;Tribeca;;;;;;;
Wonjo Korean Restaurant;Midtown West;;;;;;;
Woo Chon;Midtown West;;;;;;;
World Yacht Dining Cruises;Hell's Kitchen;;;;;;;
Xai Xai;;;;;;;;
Xe Lua;Chinatown;;;;;;;
Xinjiang Kebabs;Lower East Side;;;;;;;
Yaffa's Tea Room;Tribeca;;;;;;;
Yakiniku West;East Village;;;;;;;
Yama;Union Square;;;;;;;
Yoláto;West Village;;;;;;;
Yoshinoya;Times Square;;;;;;;
Yozakura Kushiyaki Bar;;;;;;;;
Yum Yum Bangkok;Hell's Kitchen;;;;;;;
Yummy House;East Village;;;;;;;
Yummy Noodles;Chinatown;;;;;;;
Yummy Shawarmy;Chelsea;;;;;;;
Yummy Sushi;Midtown West;;;;;;;
Yummy Village;West Village;;;;;;;
Zabb City;East Village;;;;;;;
Zaitzeff;East Village;;;;;;;
Zaitzeff;Financial/Battery Pk;;;;;;;
Zen Palate;Hell's Kitchen;;;;;;;
Zenith;Hell's Kitchen;;;;;;;
Zeppelin;;;;;;;;
Zereoué;Murray Hill/Kips Bay;;;;;;;
Zeytuna;Financial/Battery Pk;;;;;;;
Zibetto Espresso Bar;Financial/Battery Pk;;;;;;;
Zibetto Espresso Bar;Midtown West;;;;;;;
Ziggiz;Gramercy;;;;;;;
Zipper Tavern;Hell's Kitchen;;;;;;;
Zoë;Soho;;;;;;;
Zuni;Hell's Kitchen;;;;;;;
Zócalo;Midtown East;;;;;;;
bar Q;West Village;;;;;;;
barmarché;Nolita;;;;;;;
bluechili;Times Square;;;;;;;
bonbon chicken;Tribeca;;;;;;;
bread & olive;Financial/Battery Pk;;;;;;;
bread & olive;Midtown West;;;;;;;
brgr;Chelsea;;;;;;;
brown café;Lower East Side;;;;;;;
bär-bo-ne;East Village;;;;;;;
cc's cafe;West Village;;;;;;;
david burke townhouse;Upper East Side;;;;;;;
elmo;Chelsea;;;;;;;
fetch;Upper East Side;;;;;;;
fresh.;Tribeca;;;;;;;
i Trulli;Gramercy;;;;;;;
il laboratorio del gelato;Lower East Side;;;;;;;
ilili;Flatiron;;;;;;;
isle;West Village;;;;;;;
local;Soho;;;;;;;
one fish two fish;Spanish Harlem;;;;;;;
salt;Soho;;;;;;;
subtle tea;Murray Hill/Kips Bay;;;;;;;
teany;Lower East Side;;;;;;;
the little owl;West Village;;;;;;;
unWINEd;Upper West Side;;;;;;;
¡Vamos!;Gramercy;;;;;;;
ápizz;Lower East Side;;;;;;;
‘21’ Club;Midtown West;;;;;;;
’Inoteca and Liquiri Bar;;;;;;;;
’beca Restaurant;Tribeca;;;;;;;
’ino;West Village;;;;;;;
’inoteca;Lower East Side;;;;;;;
'Wichcraft;TriBeCa/SoHo;;;;;;;
103 Oriental Pearl Restaurant;Chinatown;;;;;;;
12 Chairs;TriBeCa/SoHo;;;;;;;
17 Murray Street Restaurant;TriBeCa/SoHo;;;;;;;
2 West;Lower Manhattan;;;;;;;
22 West Restaurant And Lounge;Harlem;;;;;;;
24 Prince;TriBeCa/SoHo;;;;;;;
36 Bar and Barbecue;Midtown West;;;;;;;
5 Ninth;W. Village;;;;;;;
500 Cafe;Midtown West;;;;;;;
535 Eat & Drink;W. Village;;;;;;;
66;TriBeCa/SoHo;;;;;;;
75 Nassau Street Restaurant;Lower Manhattan;;;;;;;
81 Pearl Chinese Restaurant;Lower Manhattan;;;;;;;
A;Upper W. Side;;;;;;;
A & N Falfel;Upper W. Side;;;;;;;
A & R West Indian Restaurant;Harlem;;;;;;;
A J Kelly;Lower Manhattan;;;;;;;
A Taste Of Seafood;Harlem;;;;;;;
A Taste Of Siam;E. Village;;;;;;;
Abigael's;Murray Hill;;;;;;;
Above;Midtown West;;;;;;;
Abruzzi;Midtown West;;;;;;;
Acme Bar & Grill;E. Village;;;;;;;
Adriatic;Flatiron/U. Sq.;;;;;;;
Adrienne;Midtown West;;;;;;;
Adrienne's Pizza Bar;Lower Manhattan;;;;;;;
Aegean Restaurant;Upper W. Side;;;;;;;
Afghan Kebab House;Midtown West;;;;;;;
Afghan Kebab House;Upper E. Side;;;;;;;
Agra Restaurant;Upper E. Side;;;;;;;
Aiello's Pizza Emporium;Flatiron/U. Sq.;;;;;;;
Ajanta;Upper W. Side;;;;;;;
Al Dente;Upper W. Side;;;;;;;
Ama;TriBeCa/SoHo;;;;;;;
Amamika Resturant;Lower Manhattan;;;;;;;
Amarone;Midtown West;;;;;;;
Ambrosia Restaurant;Flatiron/U. Sq.;;;;;;;
Amin Indian Cuisine;Chelsea;;;;;;;
Amir's Falafel;Upper W. Side;;;;;;;
Amity Restaurant;Upper E. Side;;;;;;;
Amy's Bread;Chelsea;;;;;;;
Andrew's Coffee Shop;Murray Hill;;;;;;;
Andrew's Coffee Shop;Lower Manhattan;;;;;;;
Andrew's Coffee Shop;Flatiron/U. Sq.;;;;;;;
Angel's;Upper E. Side;;;;;;;
Angelo & Maxie's;Flatiron/U. Sq.;;;;;;;
Angelo Of Mulberry St.;Chinatown;;;;;;;
Angus McIndoe;Midtown West;;;;;;;
Annie Moore's Bar & Restaurant;Midtown East;;;;;;;
Antica Roma;Chinatown;;;;;;;
