restaurant;address;addressGoogle;country;neighborhood;type;phone;type_r
Earthen Oven; 53 W 72nd St-at Columbus Ave;53 W 72nd St;New York;Upper West Side;Indian;(212-579-8888);
East Village Cheese; 40 Third Ave-between 9th and 10th Sts;40 3rd Ave;New York;East Village;Food or Beverage Shop;(212-477-2601);
East Village Ice Cream Factory; 218 Ave B-between 13th and 14th Sts;218 Avenue B;New York;East Village;Food or Beverage Shop;(212-673-6030);
East Village Meat Market; 139 Second Ave-between St. Marks Pl and E 9th St;139 2nd Ave;New York;East Village;Food or Beverage Shop;(212-228-5590);
Eastern Noodles; 28 Forsyth St-at Canal St;28 Forsyth St;New York;Lower East Side;Chinese;(212-941-7678);
Eat-pisode; 123 Ludlow St-between Delancey and Rivington Sts;123 Ludlow St;New York;Lower East Side;Thai;(212-677-7624);
Eatery; 798 Ninth Ave-at 53rd St;798 9th Ave;New York;Midtown West;Eclectic;(212-765-7080);
Ecco; 124 Chambers St-between Church St and West Broadway;124 Chambers St;New York;Tribeca;Italian;(212-227-7074);
Economy Candy; 108 Rivington St-between Ludlow and Essex Sts;108 Rivington St;New York;Lower East Side;American;(800-352-4544);
Eden Wok; 43 E 34th St-between Madison and Park Aves;43 E 34th St;New York;Midtown East;Kosher;(212-725-8100);
Eemo; 107 First Ave-between 6th and 7th Sts;107 1st Avenue;New York;East Village;Korean;(212-505-7974);
Egg Custard King Cafe; 271 Grand St-between Eldridge and Forsyth Sts;271 Grand St;New York;Chinatown/Little Italy;Cafés;(212-226-8882);
Eight Mile Creek; 240 Mulberry St-between Prince and Spring Sts;240 Mulberry St;New York;Chinatown/Little Italy;Australian & New Zealand;(212-431-4635);
El Atazcon;125 First Ave -;;New York;;;;
El Atazcon (CLOSED);125 First Ave -;;New York;;;;
El Centro; 824 Ninth Ave-at 54th St;824 9th Ave;New York;Midtown West;Mexican;(646-763-6585);
El Cocotero; 228 W 18th St-between Seventh and Eighth Aves;228 W 18th St;New York;Chelsea;Latin American: Venezuelan;(212-206-8930);
El Dar Restaurant & Café; 171 Ave A-at 11th St;171 Avenue A;New York;East Village;Mediterranean;(212-353-5327);
El Faro; 823 Greenwich St-at Horatio St;823 Greenwich St;New York;Meatpacking District;Spanish;(212-929-8210);
El Malecon No. 2;764 Amsterdam Ave -;;New York;;;;
El Malecon Restaurant;4141 Broadway -;;New York;;;;
El Paso; 134 W Houston St-between MacDougal and Sullivan Sts;134 W Houston St;New York;Greenwich Village;Mexican;(212-673-0828);
El Paso Taqueria; 64 E 97th St-between Madison and Park Aves;64 E 97th St;New York;Upper East Side;Mexican;(212-996-1739);
El Portal Restaurant (CLOSED); 95 Allen St-between Broome and Delancey Sts;95 Allen St;New York;Lower East Side;Mexican;(212-226-2345);
El Quijote; 226 W 23rd St-between Seventh and Eighth Aves;226 W 23rd St;New York;Chelsea;Spanish;(212-929-1855);
El Quinto Pino; 401 W 24th St-at Ninth Ave;401 W 24th St;New York;Chelsea;Spanish;(212-206-6900);
El Ranchito; 4129 Broadway-between 174th and 175th Sts;4129 Broadway;New York;Washington Heights;Latin American: El Salvadoran;(212-928-0866);
El Rey del Sol; 232 W 14th St-between Seventh and Eighth Aves;232 W 14th St;New York;West Village;Mexican;(212-229-0733);
El Toro Partido; 3431 Broadway-between 139th and 140th Sts;3431 Broadway;New York;Columbia University–City College;Mexican;(212-281-1587);
Elettaria; 33 W 8th St-between Fifth and Sixth Aves;33 W 8th St;New York;Greenwich Village;Eclectic;(212-677-3833);
Eleven Madison Park; 11 Madison Ave-at 24th St;11 Madison Ave;New York;Gramercy/Flatiron;American Creative;(212-889-0905);
Elio’s; 1621 Second Ave-between 84th and 85th Sts;1621 2nd Ave;New York;Upper East Side;Italian;(212-772-2242);
Elizabeth; 265 Elizabeth St-between E Houston and Prince Sts;265 Elizabeth St;New York;Chinatown/Little Italy;Eclectic;(212-334-2426);
Elmo; 156 Seventh Ave-between 19th and 20th Sts;156 7th Ave;New York;Chelsea;American;(212-337-8000);
Elyssa Dido; 85 Orchard St-between Broome and Grand Sts;85 Orchard St;New York;Lower East Side;Middle Eastern;(212-991-9880);
Elyssa Dido (CLOSED);85 Orchard St -;;New York;;;;
Empanada Joe’s (CLOSED);683 Eighth Ave -;;New York;;;;
Empanada Mama; 793 Ninth Ave-at 51st St;793 9th Ave;New York;Midtown West;Latin American;(212-698-9008);
Empire Diner; 210 Tenth Ave-at 22nd St;210 Amsterdam Ave;New York;Chelsea;Cafés & diners;(212-243-2736);
Empire Szechuan; 193 Columbus Ave-between 68th and 69th Sts;193 Columbus Ave;New York;Upper West Side;Chinese;(212-496-8778);
Employees Only; 510 Hudson St-between Christopher and W 10th Sts;510 Hudson St;New York;West Village;American Creative;(212-242-3021);
Energy Kitchen; 417 W 47th St-between Ninth and Tenth Aves;417 W 47th St;New York;Midtown West;American;(212-333-3500);
Ennio & Michael; 539 La Guardia Pl-between Bleecker and W 3rd Sts;539 LaGuardia Pl;New York;Greenwich Village;Italian;(212-677-8577);
Ennju; 20 E 17th St-between Sixth Ave and Broadway;20 E 17th St;New York;Gramercy/Flatiron;Japanese;(646-336-7004);
Enoteca DiPalo; 200 Grand St-at Mott St;200 Grand St;New York;Lower East Side;Food or Beverage Shop;(no phone yet);
Epicerie; 168–170 Orchard St-at Stanton St;168 Orchard St;New York;Lower East Side;French;(212-420-7520);
Epices du Traiteur; 103 W 70th St-between Columbus Ave and Broadway;103 W 70th St;New York;Upper West Side;Mediterranean;(212-579-5904);
Epistrophy; 200 Mott St-between Kenmare and Spring Sts;200 Mott St;New York;Chinatown/Little Italy;Cafés & diners;(212-966-0904);
Erminia; 250 E 83rd St-between Second and Third Aves;250 E 83rd St;New York;Upper East Side;Italian;(212-879-4284);
Esashi; 32 Ave A-between 2nd and 3rd Sts;32 Avenue A;New York;East Village;Japanese;(212-505-8726);
Esca; 402 W 43rd St-at Ninth Ave;402 W 43rd St;New York;Midtown West;Italian;(212-564-7272);
Esperanto; 145 Ave C-at 9th St;145 Loisaida Ave;New York;East Village;Latin American;(212-505-6559);
Essex; 120 Essex St-at Rivington St;120 Essex St;New York;Lower East Side;Eclectic;(212-533-9616);
Etats-Unis; 242 E 81st St-between Second and Third Aves;242 E 81st St;New York;Upper East Side;American Creative;(212-517-8826);
Etcetera Etcetera; 352 W 44th St-between Eighth and Ninth Aves;352 W 44th St;New York;Midtown West;Mediterranean;(212-399-4141);
Ethiopian Restaurant; 1582 York Ave-between 83rd and 84th Sts;1582 York Ave;New York;Upper East Side;African: Ethiopian;(212-717-7311);
Ethos; 495 Third Ave-between 33rd and 34th Sts;495 3rd Ave;New York;Midtown East;Greek;(212-252-1972);
Etrusca;Hilton Towers -125 W 53rd Stbetween Sixth and Seventh Aves;;New York;Midtown West;Italian;(212-261-5750);
Evergreen Shanghai; 10 E 38th St-between Fifth and Madison Aves;10 E 38th St;New York;Midtown East;Chinese;(212-448-1199);
Excellent Pork Chop House; 3 Doyers St off Bowery-at Chatham Sq;3 Doyers St;New York;Chinatown/Little Italy;Chinese;(212-791-7007);
Extra Virgin; 259 W 4th St-between Charles and Perry Sts;259 West 4th Street;New York;West Village;Mediterranean;(212-691-9359);
F&B; 269 W 23rd St-between Seventh and Eighth Aves;269 W 23rd St;New York;Chelsea;Belgian;(646-486-4441);
F.illi Ponte; 39 Desbrosses St-at West St;39 Desbrosses St;New York;Tribeca;Italian;(212-226-4621);
FIKA Espresso Bar; 41 W 58th St-at Sixth Ave;41 W 58th St;New York;Midtown West;Cafés & diners;(212-832-0022);
Fabio Piccolo Fiore; 230 E. 44th St-at Second Ave;230 E 44th St;New York;Midtown East;Eclectic;(212-922-0581);
Fairway Café and Steakhouse;2127 Broadway -between 74th and 75th Stssecond floor;;New York;Upper West Side;American;(212-595-1888);
Fake Orchid; 440 E 9th St-between First Ave and Ave A;440 E 9th St;New York;East Village;Thai;(646-654-1991);
Falai; 68 Clinton St-between Rivington and Stanton Sts;68 Clinton St;New York;Lower East Side;Cafés & diners;(212-253-1960);
Falai Panetteria; 79 Clinton St-at Rivington St;79 Clinton St;New York;Lower East Side;Cafés & diners;(212-777-8956);
Farinella;90 Worth St -;;New York;;;;
Fashion Soup; 124 W 41st St-between Sixth Ave and Broadway;124 W 41st St;New York;Midtown West;Cafés & diners;(212-704-0909);
Fat Annie’s Truck Stop; 131 W 33rd St-between Sixth and Seventh Aves;131 W 33rd St;New York;Midtown West;American;(212-695-1122);
Fatty Crab; 643 Hudson St-between Gansevoort and Horatio St;643 Hudson St;New York;Meatpacking District;Asian: Pan-Asian;(212-352-3590);
Favela Cubana;543 La Guardia Pl -;;New York;;;;
Felidia; 243 E 58th St-between Second and Third Aves;243 E 58th St;New York;Midtown East;Italian;(212-758-1479);
Fiamma (CLOSED); 206 Spring St-between Sixth Ave and Sullivan St;206 Spring St;New York;Soho;Italian;(212-653-0100);
Fig & Olive; 10 E 52nd St-between Fifth and Madison Aves;10 E 52nd St;New York;Midtown East;Mediterranean;(212-319-2002);
Fig & Olive Downtown; 420 W 13th St-between Ninth Ave and Washington St;420 W 13th St;New York;Meatpacking District;Mediterranean;(212-924-1200);
Fig & Olive Kitchen and Bar; 808 Lexington Avenue-between 62nd and 63rd Sts;808 Lexington Ave;New York;Upper East Side;Mediterranean;(212-207-4555);
Film Center Cafe; 635 Ninth Ave-between 44th and 45th Sts;635 9th Ave;New York;Midtown West;American;(212-262-2525);
Financier Patisserie;3-4 World Ficial Center -;;New York;;;;
Fiorini; 209 E 56th St-between Second and Third Aves;209 E 56th St;New York;Midtown East;Italian;(212-308-0830);
FireBird Russian; 365 W 46th St-between Eighth and Ninth Aves;365 W 46th St;New York;Midtown West;Russian;(212-586-0244);
Fireside; 19 E 52nd St-at Madison Ave;19 E 52nd St;New York;Midtown East;American Creative;(212-754-5017);
First Hungarian Literary Society;323 E 79th St -between First and Second Avessecond floor;;New York;Upper East Side;Eastern European;(212-288-5002);
Fish; 280 Bleecker St-at Jones St;280 Bleecker St;New York;West Village;Seafood;(212-727-2879);
Fish Market; 111 South St-between Beekman Pl and Peck Slip;111 South St;New York;Financial District;Seafood;(212-233-3301);
Fishtail by David Burke; 135 E 62nd St-between Park and Lexington Aves;135 E 62nd St;New York;Upper East Side;American Creative;(212-754-1300);
Fitzer’s;Fitzpatrick Manhattan Hotel -687 Lexington Avebetween 56th and 57th Sts;;New York;Midtown East;British & Irish;(212-355-0100);
Five Guys Burgers and Fries; 43 W 55th St-between Fifth and Sixth Aves;43 W 55th St;New York;Midtown West;American;(212-459-9600);
Five Points; 31 Great Jones St-between Bowery and Lafayette St;31 Great Jones St;New York;East Village;American;(212-253-5700);
Fives;Peninsula Hotel -700 Fifth Aveat 55th St;;New York;Midtown East;American Creative;(212-903-3918);
Flash Inn; 107 Macombs Pl-between 154th and 155th Sts;107 Macombs Pl;New York;East Harlem;Italian;(212-283-8605);
Fleur de Sel; 5 E 20th St-between Fifth Ave and Broadway;5 E 20th St;New York;Gramercy/Flatiron;French;(212-460-9100);
Fleur de Sel (CLOSED);5 E 20th St -;;New York;;;;
Flex Mussels; 174 E 82nd St-between Lexington and Third Aves;174 E 82nd St;New York;Upper East Side;Eclectic;(212-717-7772);
Flip;Bloomingdale’s -;;New York;;;;
Flor de Mayo; 484 Amsterdam Ave-between 83rd and 84th Sts;484 Amsterdam Ave;New York;Upper West Side;Latin American;(212-787-3388);
Flor de Sol; 361 Greenwich St-between Franklin and Harrison Sts;361 Greenwich St;New York;Tribeca;Spanish;(212-334-8087);
Florence’s Restaurant; 2099 Frederick Douglass Blvd (Seventh Ave)-between 113th and 114th Sts;2099 Frederick Douglass Blvd (Seventh Ave);New York;Harlem;African: West African;(212-531-0387);
Florent (CLOSED); 69 Gansevoort St-between Greenwich and Washington Sts;69 Gansevoort St;New York;Meatpacking District;French;(212-989-5779);
Flor’s Kitchen (CLOSED); 170 Waverly Pl-between Sixth and Seventh Aves;170 Waverly Pl;New York;West Village;Latin American: Venezuelan;(212-229-9926);
Food (CLOSED); 1569 Lexington Ave-at 100th St;1569 Lexington Ave;New York;Upper East Side;Seafood;(212-348-0200);
Foodbar (CLOSED); 149 Eighth Ave-between 17th and 18th Sts;149 8th Ave;New York;Chelsea;American;(212-243-2020);
Forbidden City; 212 Ave A-between 13th and 14th Sts;212 Avenue A;New York;East Village;Asian: Pan-Asian;(212-598-0500);
Forge; 134 Reade St-between Greenwich and Hudson Sts;134 Reade St;New York;Tribeca;American;(212-941-9401);
Formaggio Essex; 120 Essex St-at Delancey St;120 Essex St;New York;Lower East Side;Food or Beverage Shop;(212-982-8200);
Forte Baden Baden; 28 W 32nd St-between Fifth Ave and Broadway;28 W 32nd St;New York;Midtown West;Korean;(212-714-2266);
Franchia; 12 Park Ave-between 34th and 35th Sts;12 Park Ave;New York;Midtown East;Korean;(212-213-1001);
Frank; 88 Second Ave-between 5th and 6th Sts;88 2nd Ave;New York;East Village;Italian;(212-420-0202);
Frankie & Johnnie’s Steakhouse;269 W 45th St -between Broadway and Eighth Avesecond floor;;New York;Midtown West;Steakhouses;(212-997-9494);
Frankie's; 176 Second Ave-between 11th and 12th Sts;176 2nd Ave;New York;East Village;Indian;(212-253-7300);
Frankies Spuntino 17 Clinton Street; 17 Clinton St-between Houston and Stanton Sts;17 Clinton St;New York;Lower East Side;Italian;(212-253-2303);
Frank’s Restaurant (CLOSED); 410 W 16th St-between Ninth and Tenth Aves;410 W 16th St;New York;Chelsea;Steakhouses;(212-243-1349);
Fraunces Tavern; 54 Pearl St-at Broad St;54 Pearl St;New York;Financial District;American;(212-968-1776);
Frederick’s; 8 W 58th St-between Fifth and Sixth Aves;8 W 58th St;New York;Midtown West;Mediterranean;(212-752-6200);
Frederick’s Downtown; 637 Hudson St-at Horatio St;637 Hudson St;New York;West Village;Mediterranean;(212-488-4200);
Fred’s at Barneys;660 Madison Ave -at 61st Stninth floor;;New York;Upper East Side;Italian;(212-833-2200);
FreeFoods NYC; 18 W 45th St-between Fifth and Sixth Aves;18 W 45th St;New York;Midtown West;Cafés & diners;(212-249-4529);
Freemans; Freeman Alley off Rivington St-between Bowery and Chrystie St;Freeman Alley;New York;Lower East Side;American;(212-420-0012);
Fresco by Scotto; 34 E 52nd St-between Madison and Park Aves;34 E 52nd St;New York;Midtown East;Italian;(212-935-3434);
Fresco by Scotto on the Go; 114 Pearl St-at Hanover Sq;114 Pearl St;New York;Financial District;Italian;(212-635-5000);
Fresh; 105 Reade St-at West Broadway;105 Reade St;New York;Tribeca;Seafood;(212-406-1900);
Friedman’s Delicatessen; 75 Ninth Ave-at 16th St;75 9th Ave;New York;Chelsea;American;(212-929-7100);
Friedman’s Lunch;75 Ninth Ave -;;New York;;;;
Friend House; 99 Third Ave-between 12th and 13th Sts;99 3rd Ave;New York;East Village;Thai;(212-388-1838);
Friend House 2; 225 E 14th St-between Second and Third Aves;225 E 14th St;New York;East Village;Thai;(212-614-8814);
Friends 2 Sushi (CLOSED); 132 St. Marks Pl-at Ave A;132 St Marks Pl;New York;East Village;Thai;(212-598-1188);
Frog; 71 Spring St-between Crosby and Lafayette Sts;71 Spring St;New York;Chinatown/Little Italy;Eclectic;(212-966-5050);
Frog (CLOSED);71 Spring St -;;New York;;;;
From Atlantis with Love; -;;New York;;;;
Fulton; 205 E 75th St-between Second and Third Aves;205 E 75th St;New York;Upper East Side;Seafood;(212-288-6600);
Funayama; 24 Greenwich Ave-between Charles and W 10th Sts;24 Greenwich Ave;New York;West Village;Japanese;(212-989-2500);
Fusia; 972 Second Ave-between 51st and 52nd Sts;972 2nd Ave;New York;Midtown East;Asian: Pan-Asian;(212-421-2294);
Félix; 340 West Broadway-at Grand St;340 W Broadway;New York;Soho;French;(212-431-0021);
Gaam (CLOSED); 11 W 30th St-between Fifth Ave and Broadway;11 W 30th St;New York;Midtown West;Indian;(212-239-0666);
Gabriela’s Restaurante and Tequila Bar; 688 Columbus Ave-between 93rd and 94th Sts;688 Columbus Ave;New York;Upper West Side;Mexican;(212-961-9600);
Gaby;Sofitel -44 W 45th Stbetween Fifth and Sixth Aves;;New York;Midtown West;French;(212-782-3040);
Galanga; 149 W 4th St-between Sixth Ave and MacDougal St;149 West 4th Street;New York;Greenwich Village;Thai;(212-228-4267);
Galaxy Global Eatery; 15 Irving Pl-at 15th St;15 Irving Pl;New York;Gramercy/Flatiron;Eclectic;(212-777-3631);
Gallo Nero; 404 W 44th St-at Ninth Ave;404 W 44th St;New York;Midtown West;Italian;(212-265-6660);
Gari; 370 Columbus Ave-between 77th and 78th Sts;370 Columbus Ave;New York;Upper West Side;Japanese;(212-362-4816);
Gascogne; 158 Eighth Ave-between 17th and 18th Sts;158 8th Ave;New York;Chelsea;French;(212-675-6564);
Gasparino’s (CLOSED); 308 E 6th St-between First and Second Aves;308 E 6th St;New York;East Village;Italian;(212-677-2499);
Gavroche; 212 W 14th St-between Seventh and Eighth Aves;212 W 14th St;New York;West Village;French;(212-647-8553);
Geisha; 33 E 61st St-between Madison and Park Aves;33 E 61st St;New York;Upper East Side;Asian: Pan-Asian;(212-813-1112);
Gemma;The Bowery Hotel -335 Boweryat 3rd St;;New York;East Village;Italian;(212-505-9100);
General Store; 29 Ave B-between 2nd and 3rd Sts;29 Avenue B;New York;East Village;American;(212-254-0055);
Gene’s; 73 W 11th St-between Fifth and Sixth Aves;73 W 11th St;New York;Greenwich Village;Italian;(212-675-2048);
Gennaro; 665 Amsterdam Ave-between 92nd and 93rd Sts;665 Amsterdam Ave;New York;Upper West Side;Italian;(212-665-5348);
George O’Neill’s; 145 E 50th St-between Lexington and Third Aves;145 E 50th St;New York;Midtown East;Steakhouses;(212-888-1220);
Ghenet; 284 Mulberry St-between Houston and Prince Sts;284 Mulberry St;New York;Chinatown/Little Italy;African: Ethiopian;(212-343-1888);
Giano; 126 E 7th St-between First Ave and Ave A;126 E 7th St;New York;East Village;Italian;(212-673-7200);
Gigi Cafe & Grill; 2067 Broadway-between 71st and 72nd Sts;2067 Broadway;New York;Upper West Side;Cafés;(212-501-7500);
Gilileo; 176 W 94th St-at Amsterdam Ave;176 W 94th St;New York;Upper West Side;Cafés;(646-403-3215);
Gilt; 455 Madison Ave-between 50th and 51st Sts;455 Madison Ave;New York;Midtown East;Eclectic;(212-891-8100);
Gimme! Coffee; 228 Mott St-between Prince and Spring Sts;228 Mott St;New York;Chinatown/Little Italy;Cafés & diners;(212-226-4011);
Gin Lane (CLOSED); 355 W 14th St-at Ninth Ave;355 W 14th St;New York;Meatpacking District;American;(212-691-0555);
Ginger (CLOSED); 1400 Fifth Ave-at 116th St;1400 5th Ave;New York;Harlem;Chinese;(212-423-1111);
Gino; 780 Lexington Ave-between 60th and 61st Sts;780 Lexington Ave;New York;Upper East Side;Italian;(212-758-4466);
Giorgione; 307 Spring St-at Hudson St;307 Spring St;New York;Soho;Italian;(212-352-2269);
Giorgio’s of Gramercy; For a restaurant with all the finery of a members-only spot (velvet curtains-hushed lighting and an army of silent;For a restaurant with all the finery of a members-only spot (velvet curtains;New York;uniformed waitstaff);American;Giorgio’s is one of...;
Girasole; 151 E 82nd St-between Lexington and Third Aves;151 E 82nd St;New York;Upper East Side;Italian;(212-772-6690);
Gnocco Cucina & Tradizione; 337 E 10th St-between Aves A and B;337 E 10th St;New York;East Village;Italian;(212-677-1913);
Goblin Market (CLOSED); 199 Prince St-at Sullivan St;199 Prince St;New York;Soho;American Creative;(212-375-8275);
Gobo; 1426 Third Ave-at 81st St;1426 3rd Ave;New York;Upper East Side;Vegetarian & Organic;(212-288-4686);
Gonzo; 140 W 13th St-between Sixth and Seventh Aves;140 W 13th St;New York;West Village;Italian;(212-645-4606);
Good; 89 Greenwich Ave-between Bank and W 12th Sts;89 Greenwich Ave;New York;West Village;American;(212-691-8080);
Good Enough to Eat; 483 Amsterdam Ave-between 83rd and 84th Sts;483 Amsterdam Ave;New York;Upper West Side;American;(212-496-0163);
Good Stuff Diner; 109 W 14th St-between Sixth and Seventh Aves;109 W 14th St;New York;West Village;Cafés & diners;(212-929-2555);
Goodburger; 800 Second Ave-at 43rd St;800 2nd Ave;New York;Midtown East;American;(212-922-1700);
Goody’s; 1 East Broadway-at Chatham Sq;1 E Broadway;New York;Chinatown/Little Italy;Chinese;(212-577-2922);
Gordon Ramsay at The London;The London NYC Hotel -151 W 54th Stbetween Sixth and Seventh Aves;;New York;Midtown West;Eclectic;(212-468-8888);
Gossip Bar & Restaurant;733 Ninth Ave -;;New York;;;;
Gottino; 52 Greenwich Ave-between Charles and Perry Sts;52 Greenwich Ave;New York;West Village;Italian;(212-633-2590);
Gourmet 53; 875 Third Ave-at 53rd St;875 3rd Ave;New York;Midtown East;Cafés & diners;(212-207-8888);
Grace’s Marketplace; 1237 Third Ave-at 71st St;1237 3rd Ave;New York;Upper East Side;Food or Beverage Shop;(212-737-0600);
Grace’s Trattoria; 201 E 71st St-between Second and Third Aves;201 E 71st St;New York;Upper East Side;Italian;(212-452-2323);
Gradisca; 126 W 13th St-between Sixth and Seventh Aves;126 W 13th St;New York;West Village;Italian;(212-691-4886);
Graffiti; 224 E 10th St-between First and Second Aves;224 E 10th St;New York;East Village;Eclectic;(212-464-7743);
Gramstand; 214 Ave A-between 13th and 14th Sts;214 Avenue A;New York;East Village;Cafés;(917-915-3102);
Gran Piatto d’Oro; 1429 Fifth Ave-between 116th and 117th Sts;1429 5th Ave;New York;Harlem;Italian;(212-722-2161);
Grand Central Oyster Bar & Restaurant;Grand Central Terminal -Lower Concourse42nd St;;New York;at Park Ave;(212-490-6650);Midtown East;
Grand Sichuan; 125 Canal St-between Bowery and Chrystie St;125 Canal St;New York;Chinatown/Little Italy;Chinese;(212-625-9212);
Grandaisy Bakery; 176 W 72nd St-at Broadway;176 W 72nd St;New York;Upper West Side;Cafés;(212-334-9435);
Grano Trattoria; 21 Greenwich Ave-at 10th St;21 Greenwich Ave;New York;West Village;Italian;(212-645-2121);
Grayz; 13–15 W 54th St-between Fifth and Sixth Aves;13 W 54th St;New York;Midtown East;Eclectic;(212-262-4600);
Gray’s Papaya; 539 Eighth Ave-at 37th St;539 8th Ave;New York;Midtown West;American;(212-904-1588);
Green Papaya; 185 Sullivan St-between Bleecker and Houston Sts;185 Sullivan St;New York;Greenwich Village;Thai;(212-253-5469);
Green Symphony; 255 W 43rd St-between 7th & 8th Aves;255 W 43rd St;New York;Midtown West;Vegetarian & Organic;(212-391-4747);
Greenwich Steak & Burger (CLOSED); 369 Greenwich St-at Franklin St;369 Greenwich St;New York;Tribeca;Steakhouses;(212-625-1010);
Greenwich Village Bistro; 13 Carmine St-between Sixth Ave and Bleecker St;13 Carmine St;New York;West Village;American;(212-206-9777);
Grom; 2165 Broadway-between 76th and 77th Sts;2165 Broadway;New York;Upper West Side;Italian;(646-290-7233);
Grotto; 100 Forsyth St-between Broome and Grand Sts;100 Forsyth St;New York;Lower East Side;Italian;(212-625-3444);
Guadalupe; 597 W 207th St-at Broadway;597 W 207th St;New York;Inwood;Latin American;(212-304-1083);
Guantanamera; 939 Eighth Ave-between 55th and 56 Sts;939 8th Ave;New York;Midtown West;Latin American;(212-262-5354);
Gusto Grilled Organics; 519 Sixth Ave-between 13th and 14th Sts;519 6th Ave;New York;West Village;Argentine;(212-242-5800);
Gusto Ristorante e Bar Americano; 60 Greenwich Ave-at Perry St;60 Greenwich Ave;New York;West Village;Italian;(212-924-8000);
Gus’ Place; 192 Bleecker St-between MacDougal St and Sixth Ave;192 Bleecker St;New York;West Village;Greek;(212-777-1660);
Gyu–kaku;805 Third Ave -between 49th and 50th Stssecond floor;;New York;Midtown East;Japanese;(212-702-8816);
H.K.; 523 Ninth Ave-at 39th St;523 9th Ave;New York;Midtown West;American;(212-947-4208);
HQ (CLOSED); 90 Thompson St-between Prince and Spring Sts;90 Thompson St;New York;Soho;American;(212-966-2755);
Hacienda de Argentina; 339 E 75th St-between First and Second Aves;339 E 75th St;New York;Upper East Side;Argentine;(212-472-5300);
Hakata Tonton; 61 Grove St-between Bleecker St and Seventh Ave South;61 Grove St;New York;West Village;Japanese;(212-242-3699);
Haku; 2425 Broadway-between 89th and 90th Sts;2425 Broadway;New York;Upper West Side;Japanese;(212-580-2566);
Haku Sushi;2850 Broadway -;;New York;;;;
Hakubai;The Kitano Hotel -66 Park Aveat 38th St;;New York;Midtown East;Japanese;(212-885-7111);
Hala Pita;440 E 9th St -;;New York;;;;
Hallo Berlin; 626 Tenth Ave-at 44th St;626 10th Ave;New York;Midtown West;German;(212-977-1944);
Hallo Berlin Express; 744 Ninth Ave-between 50th and 51st Sts;744 9th Ave;New York;Midtown West;German;(212-333-2372);
Han Bat; 53 W 35th St-between Fifth and Sixth Aves;53 W 35th St;New York;Midtown West;Korean;(212-629-5588);
Hanci Turkish Cuisine;854 Tenth Ave -;;New York;;;;
Hangawi; 12 E 32nd St-between Fifth and Madison Aves;12 E 32nd St;New York;Midtown West;Korean;(212-213-0077);
Harlem Grill; 2247–49 Adam Clayton Powell Jr. Blvd (Seventh Ave)-between 132nd and 133rd Sts;2247 Adam Clayton Powell Jr Blvd;New York;Harlem;American Regional;(212-491-0493);
Harry Cipriani;Sherry Netherland -781 Fifth Avebetween 59th and 60th Sts;;New York;Midtown East;Italian;(212-753-5566);
Harry’s Steak & Cafe; 1 Hanover Square-at Pearl St;1 Hanover Square;New York;Financial District;Steakhouses;(212-785-9200);
Haru; 1329 Third Ave-at 76th St;1329 3rd Ave;New York;Upper East Side;Japanese;(212-452-2230);
Hasaki; 210 E 9th St-between Second and Third Aves;210 E 9th St;New York;East Village;Japanese;(212-473-3327);
Hatsuhana; 17 E 48th St-between Fifth and Madison Aves;17 E 48th St;New York;Midtown East;Japanese;(212-355-3345);
Havana New York; 27 W 38th St-between Fifth and Sixth Aves;27 W 38th St;New York;Midtown West;Caribbean: Cuban;(212-944-0990);
Haveli; 100 Second Ave-between 5th and 6th Sts;100 2nd Ave;New York;East Village;Indian;(212-982-0533);
Hea; 145 E 13th St-at Third Ave;145 E 13th St;New York;East Village;Japanese;(212-982-1688);
Heartbeat;W New York -149 E 49th Stbetween Lexington and Third Aves;;New York;Midtown East;Vegetarian & Organic;(212-407-2900);
Hearth; 403 E 12th St-at First Ave;403 E 12th St;New York;East Village;American;(646-602-1300);
Heartland Brewery & Rotisserie;Empire State Building -350 Fifth Aveat 34th St;;New York;Midtown East;American;(212-563-3433);
Hedeh; 57 Great Jones Street-at Bowery St;57 Great Jones St;New York;East Village;Japanese;(212-473-8458);
Heidelberg; 1648 Second Ave-between 85th and 86th Sts;1648 2nd Ave;New York;Upper East Side;German;(212-628-2332);
Hell’s Kitchen; 679 Ninth Ave-between 46th and 47th Sts;679 9th Ave;New York;Midtown West;Mexican;(212-977-1588);
Henry’s; 2745 Broadway-at 105th St;2745 Broadway;New York;Upper West Side;American;(212-866-0600);
Hi-Life Restaurant & Lounge; 1503 Second Ave-at 78th St;1503 2nd Ave;New York;Upper East Side;American;(212-628-5433);
Highline; 835 Washington St-at Little West 12th St;835 Washington St;New York;Meatpacking District;Thai;(212-243-3339);
Hillstone Manhattan; 153 E 53rd St-at Third Ave;153 E 53rd St;New York;Midtown East;American;(212-888-3828);
Hing Won; 48 W 48th St-between Fifth and Sixth Aves;48 W 48th St;New York;Midtown West;Chinese;(212-719-1451);
Hispaniola; 839 W 181st St-at Cabrini Blvd;839 W 181st St;New York;Washington Heights;Caribbean;(212-740-5222);
Hog Pit New York City; 37B W 26th St-between Broadway and Sixth Ave;37 W 26th St;New York;Chelsea;American Regional;(212-213-4871);
Hoi An; 135 West Broadway-between Duane and Thomas Sts;135 W Broadway;New York;Tribeca;Vietnamese;(212-233-1339);
Holy Basil;149 Second Ave -between 9th and 10th Stssecond floor;;New York;East Village;Thai;(212-460-5557);
