0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r
Bello;;863 Ninth Ave;863 9th Ave;New York;NY;;;;Bello;;863 9th Ave-At 56th St;863 9th Ave;;NY;;;
Bistro Citron;;473 Columbus Ave.;473 Columbus Ave;New York;NY;;;;Bistro Citron;Upper West Side; 473 Columbus Ave-between 82nd and 83rd Sts;473 Columbus Ave;New York;NY;French;;
Bistro Citron;Upper West Side;;nan;;;;;;Bistro Citron;Upper West Side; 473 Columbus Ave-between 82nd and 83rd Sts;473 Columbus Ave;New York;NY;French;;
Bistro Les Amis;SOHO;180 Spring St/Thompson;180 Spring St;New York;NY;French;$$;;Bistro Les Amis;nan;180 Spring Street;180 Spring St;New York;NY;;;nan
Bloomingdale Road;;2398 Broadway;2398 Broadway;New York;NY;American;$$$;;Bloomingdale Road;Upper West Side; 2398 Broadway-at 88th St;2398 Broadway;New York;NY;American;;
Blue Fin;Midtown West;1567 Broadway at 47th;1567 Broadway;New York;NY;Seafood;$$$;;Blue Fin;Midtown West;W Times Square Hotel -1567 Broadwayat 47th St;;New York;NY;Seafood;;
Blue Hill;Greenwich Village;75 Washington Place;75 Washington Pl;New York;NY;American;$$$$;;Blue Hill;Greenwich Village; 75 Washington Pl-between Washington Sq West and Sixth Ave;75 Washington Pl;New York;NY;American;;
Blue Ribbon;SOHO;97 Sullivan Street;97 Sullivan St;New York;NY;American;$$$;;Blue Ribbon;Soho; 97 Sullivan St-between Prince and Spring Sts;97 Sullivan St;New York;NY;American Creative;;
Blue Ribbon Bakery;Greenwich Village;33 Downing Street;33 Downing St;New York;NY;American;$$;;Blue Ribbon Bakery;West Village; 33 Downing St-at Bedford St;33 Downing St;New York;NY;Eclectic;;
Blue Ribbon Bakery;W. Village;;nan;;;;;;Blue Ribbon Bakery;West Village; 33 Downing St-at Bedford St;33 Downing St;New York;NY;Eclectic;;
Blue Ribbon Bakery;W. Village;;nan;;;;;;Blue Ribbon Bakery;West Village; 33 Downing St-at Bedford St;33 Downing St;New York;NY;Eclectic;;
Blue Ribbon Sushi;SOHO;119 Sullivan St;119 Sullivan St;New York;NY;Sushi;$$$;;Blue Ribbon Sushi;Soho; 119 Sullivan St-between Prince and Spring Sts;119 Sullivan St;New York;NY;Japanese;;
Blue Ribbon Sushi;Soho;;;;;;;;Blue Ribbon Sushi;Soho; 119 Sullivan St-between Prince and Spring Sts;119 Sullivan St;New York;NY;Japanese;;
Blue Water Grill;Union Square;31 Union Square West;31 Union Square W;New York;NY;Seafood;$$$;;Blue Water Grill;Gramercy/Flatiron; 31 Union Sq West-at 16th St;31 Union Square W;New York;NY;Seafood;;
Bluechili;Midtown West;251 W 51st St;251 W 51st St;New York;NY;Asian;$$;;Bluechili;Midtown West; 251 W 51st St-between Broadway and Eighth Ave;251 W 51st St;New York;NY;Asian: Pan-Asian;;
Bobo;Greenwich Village;181 W. 10th St.;181 W 10th St;New York;NY;European;$$$$;;Bobo;West Village; 181 W 10th St-at Seventh Ave South;181 W 10th St;New York;NY;Eclectic;;
Bombay Grill;;344 Lexington Ave;344 Lexington Ave;New York;NY;Indian;$$;;Bombay Grill;;344 Lexington Avenue;344 Lexington Ave;New York;NY;;;
Bombay Palace;Midtown West;30 W 52nd St;30 W 52nd St;New York;NY;Indian;$$;;Bombay Palace;Midtown West; 30 W 52nd St-between Fifth and Sixth Aves;30 W 52nd St;New York;NY;Indian;;
Bombay Talkie;Chelsea;189 Ninth Ave;189 9th Ave;New York;NY;Indian;$$;;Bombay Talkie;Chelsea; 189 Ninth Ave-between 21st and 22nd Sts;189 9th Ave;New York;NY;Indian;;
Boqueria;Soho;;;;;;;;Boqueria;Soho; 171 Spring St-between West Broadway and Thompson St;171 Spring St;New York;NY;Spanish;;
Bourbon Street Bar & Grille;;346 W 46th Street;346 W 46th St;New York;NY;Creole-Cajun;$$$$;;Bourbon Street Bar & Grille;Midtown West; 346 W 46th St-between Eighth and Ninth Aves;346 W 46th St;New York;NY;American Regional;;
Brasserie;Midtown East;100 East 53rd St;100 E 53rd St;New York;NY;French;$$$;;Brasserie;Midtown East; 100 E 53rd St-between Park and Lexington Aves;100 E 53rd St;New York;NY;French;;
Bright Food Shop;Chelsea;218 Eighth Ave;218 8th Ave;New York;NY;Asian;$;;Bright Food Shop;;218 8th Avenue;218 8th Ave;New York;NY;;;
Broadway East;Lower East Side;171 East Broadway;171 E Broadway;New York;NY;American;$$$;;Broadway East;Lower East Side; 171 East Broadway-between Jefferson and Rutgers Sts;171 E Broadway;New York;NY;Vegetarian & Organic;;
Bubba Gump Shrimp Co.;Midtown West;1501 Broadway;1501 Broadway;New York;NY;American;$;;Bubba Gump Shrimp Co.;Midtown West;1501 Broadway-At 44th St;1501 Broadway;New York;NY;;;Seafood
Buddakan;Chelsea;75 Ninth Ave;75 9th Ave;New York;NY;Fusion;$$$$;;Buddakan;Meatpacking District; 75 Ninth Ave-between 15th and 16th Sts;75 9th Ave;New York;NY;Chinese;;
Buddha BBeeQ;Upper East Side;1750 Second Ave.;1750 2nd Ave;New York;NY;Korean;$;;Buddha BBeeQ;Upper East Side; 1750 Second Ave-between 91st and 92nd Sts;1750 2nd Ave;New York;NY;Korean;;
Buenos Aires;East Village;513 E Sixth St;513 E 6th St;New York;NY;Argentinean;$$;;Buenos Aires;East Village; 513 E 6th St-between Aves A and B;513 E 6th St;New York;NY;Argentine;;
Bukhara Grill;Midtown East;217 E 49th St;217 E 49th St;New York;NY;Indian;$$;;Bukhara Grill;;217 E 49th St;217 E 49th St;New York;NY;;;
Cabrito;;50 Carmine St.;50 Carmine St;New York;NY;Fusion;;;Cabrito;West Village; 50 Carmine St-between Bedford and Bleecker Sts;50 Carmine St;New York;NY;Mexican;;
Cafe Asean;;117 West 10th Street;117 W 10th St;New York;NY;;;;Cafe Asean;West Village; 117 W 10th St-between Sixth and Greenwich Aves;117 W 10th St;New York;NY;Asian: Pan-Asian;;
Cafe Asean;W. Village;;nan;;;;;;Cafe Asean;West Village; 117 W 10th St-between Sixth and Greenwich Aves;117 W 10th St;New York;NY;Asian: Pan-Asian;;
Cafe Con Leche;Upper West Side;726 Amsterdam Ave;726 Amsterdam Ave;New York;NY;Cuban;$;;Cafe Con Leche;;726 Amsterdam Avenue Frnt;726 Amsterdam Ave;New York;NY;;;
Cafe De Bruxelles;West Village;118 Greenwich Ave;118 Greenwich Ave;New York;NY;Belgian;$$;;Cafe De Bruxelles;;118 Greenwich Ave-At 13th St;118 Greenwich Ave;;NY;;;
Cafe Des Artistes;Upper West Side;1 W 67th Street;1 W 67th St;New York;NY;French;$$$;;Cafe Des Artistes;;1 West 67th Street;1 W 67th St;New York;NY;;;
Cafe Espanol;Greenwich Village;172 Bleecker Street;172 Bleecker St;New York;NY;American;$;;Cafe Espanol;;172 Bleecker St;172 Bleecker St;New York;NY;;;
Cafe Joul;Midtown East;1070 First Avenue;1070 1st Avenue;New York;NY;French;$$;;Cafe Joul;;1070 1st Ave-Btwn 58th & 59th St;1070 1st Avenue;;NY;;;
Cafe Loup;Greenwich Village;105 W 13th St;105 W 13th St;New York;NY;French;$$$;;Cafe Loup;West Village; 105 W 13th St-between Sixth and Seventh Aves;105 W 13th St;New York;NY;French;;
Cafe Mogador;East Village;101 St Marks Pl;101 St Marks Pl;New York;NY;Moroccan;$;;Cafe Mogador;;101 Saint Marks Place;101 St Marks Pl;New York;NY;;;
Cafe Select;;212 Lafayette Street;212 Lafayette St;New York;NY;International;$$$;;Cafe Select;;212 Lafayette St-Btwn Spring & Broome St;212 Lafayette St;;NY;;;
Cafe Un Deux Trois;Midtown West;123 W 44th St;123 W 44th St;New York;NY;French;$$$;;Cafe Un Deux Trois;;123 W 44th St;123 W 44th St;New York;NY;;;
Cafeteria;Chelsea;119 Seventh Avenue;119 7th Ave;New York;NY;American;$;;Cafeteria;Chelsea; 119 Seventh Ave-at 17th St;119 7th Ave;New York;NY;American;;
Caffe Falai;SoHo;265 Lafayette St at Prince St;265 Lafayette St;;;;;;Caffe Falai;Chinatown/Little Italy; 265 Lafayette St-between Prince and Spring Sts;265 Lafayette St;New York;NY;Cafés & diners;;
Café Boulud;Upper East Side;20 East 76th St;20 E 76th St;New York;NY;French;$$$$;;Café Boulud;Upper East Side; 20 E 76th St-between Fifth and Madison Aves;20 E 76th St;New York;NY;French;;
Café Sabarsky;Upper East Side;1048 Fifth Ave;1048 5th Ave;New York;NY;Austrian;$$;;Café Sabarsky;Upper East Side;Neue Galerie New York -1048 Fifth Aveat 86th St;;New York;NY;Austrian;;
Camino Sur;Midtown West;336 W 37th St;336 W 37th St;New York;NY;South American;$$$;;Camino Sur;;336 West 37;336 W 37th St;New York;NY;;;
Caterina's;Midtown East;316 East 53rd Street;316 E 53rd St;New York;NY;Hungarian;$$$;;Caterina's;nan;316 E 53rd St-Btwn 1st & 2nd Ave;316 E 53rd St;New York;NY;;;nan
Cendrillon;SOHO;45 Mercer St;45 Mercer St;New York;NY;Southeast Asian;$$;;Cendrillon;Soho; 45 Mercer St-between Broome and Grand Sts;45 Mercer St;New York;NY;Asian: Filipino;;
Cendrillon;SoHo;;nan;;;;;;Cendrillon;Soho; 45 Mercer St-between Broome and Grand Sts;45 Mercer St;New York;NY;Asian: Filipino;;
Charlie Palmer's Metrazur;Midtown East;East Balcony #4, 404 Grand Central Terminal, 42nd Street;89 E 42nd St;New York;NY;American;$$$;;Charlie Palmer's Metrazur;;404 Grand Central Terminal, 42nd St.;89 E 42nd St;;NY;;;
Chez Jacqueline;Greenwich Village;72 Macdougal St;72 MacDougal St;New York;NY;French;$$$;;Chez Jacqueline;Greenwich Village; 72 MacDougal St-between Bleecker and Houston Sts;72 MacDougal St;New York;NY;French;;
Chimichurri Grill;Midtown West;606 9th Avenue;606 9th Ave;New York;NY;South American;$$$;;Chimichurri Grill;Midtown West; 606 Ninth Ave-between 43rd and 44th Sts;606 9th Ave;New York;NY;Argentine;;
China de Puebla;Harlem;3143 Broadway;3143 Broadway;New York;NY;Asian;;;China de Puebla;;3143 Broadway;3143 Broadway;New York, NY, 10027;NY;;;
Chinatown Brasserie;NoLita;380 Lafayette St;380 Lafayette St;New York;NY;Chinese;$$$;;Chinatown Brasserie;Greenwich Village; 380 Lafayette St-at Great Jones St;380 Lafayette St;New York;NY;Chinese;;
Chiyono;;328 E. Sixth St.;328 E 6th St;New York;NY;Japanese;$$;;Chiyono;East Village; 328 E Sixth Street-between 1st and 2nd Aves;328 E 6th St;New York;NY;Japanese;;
Chiyono;E. Village;;nan;;;;;;Chiyono;East Village; 328 E Sixth Street-between 1st and 2nd Aves;328 E 6th St;New York;NY;Japanese;;
Cho Dang Gol;Midtown West;55 W 35th St;55 W 35th St;New York;NY;Korean;$;;Cho Dang Gol;Midtown West; 55 W 35th St-between Fifth and Sixth Aves;55 W 35th St;New York;NY;Korean;;
Cibo;Midtown East;767 Second Avenue;767 2nd Ave;New York;NY;American;$$$;;Cibo;;767 Second Avenue;767 2nd Ave;New York;NY;;;
Cinema Cafe On 34th;;505 3rd Ave;505 3rd Ave;New York;NY;;;;Cinema Cafe On 34th;;505 3rd Avenue;505 3rd Ave;New York;NY;;;
Circus;Upper East Side;132 E 61st St;132 E 61st St;New York;NY;South American;$$$;;Circus;Upper East Side; 132 E 61st St-between Lexington and Park Aves;132 E 61st St;New York;NY;Brazilian;;
City Burger;Midtown West;1410 Broadway;1410 Broadway;New York;NY;American;$$;;City Burger;Midtown West; 1410 Broadway-at 39th St;1410 Broadway;New York;NY;American;;
Coffee Shop;Union Square;29 Union Square West;29 Union Square W;New York;NY;American;$;;Coffee Shop;Gramercy/Flatiron; 29 Union Sq West-at 16th St;29 Union Square W;New York;NY;Cafés & diners;;
Convivio;Midtown East;45 Tudor City Pl;45 Tudor City Pl;New York;NY;Italian;$$$$$;;Convivio;Midtown East; 45 Tudor City Pl-at 43rd St;45 Tudor City Pl;New York;NY;Italian;;
Cookshop;Chelsea;156 10th Ave;156 10th Ave;New York;NY;American;$$$$;;Cookshop;Chelsea; 156 Tenth Ave-at 20th St;156 Amsterdam Ave;New York;NY;American;;
Creole;Harlem;2167 Third Ave;2167 3rd Ave;New York;NY;Creole-Cajun;$$;;Creole;East Harlem;2167 3rd Ave-At 118th St;2167 3rd Ave;New York;NY;;;American Regional
Crisp;Midtown East;684 3rd Ave;684 3rd Ave;New York;NY;Middle Eastern;$$;;Crisp;;684 3rd Ave-Btwn 43rd & 44th St;684 3rd Ave;;NY;;;
Cru;Greenwich Village;24 Fifth Ave;24 5th Ave;New York;NY;Mediterranean;$$$$;;Cru;Greenwich Village; 24 Fifth Ave-at 9th St;24 5th Ave;New York;NY;American Creative;;
Cuba;Greenwich Village;222 Thompson Street;222 Thompson St;New York;NY;Cuban;$$;;Cuba;Greenwich Village; 222 Thompson St-between Bleecker and W 4th St;222 Thompson St;New York;NY;Caribbean: Cuban;;
Cuba Cafe;Chelsea;200 Eighth Ave;200 8th Ave;New York;NY;Cuban;$;;Cuba Cafe;Chelsea; 200 Eighth Ave-between 20th and 21st Sts;200 8th Ave;New York;NY;Caribbean: Cuban;;
Cubana Cafe;Greenwich Village;110 Thompson St;110 Thompson St;New York;NY;Cuban;$;;Cubana Cafe;Soho;110 Thompson St-Btwn Prince & Spring St;110 Thompson St;New York;NY;;;Caribbean: Cuban
Cubana Cafe;SoHo;;;;;;;;Cubana Cafe;Soho;110 Thompson St-Btwn Prince & Spring St;110 Thompson St;New York;NY;;;Caribbean: Cuban
Cube 63;Lower East Side;63 Clinton St;63 Clinton St;New York;NY;Japanese;$$;;Cube 63;Lower East Side; 63 Clinton St-between Rivington and Stanton Sts;63 Clinton St;New York;NY;Japanese;;
Cucina Di Pesce;East Village;87 E 4th St;87 E 4th St;New York;NY;Italian;$;;Cucina Di Pesce;;87 E 4th St;87 E 4th St;New York;NY;;;
Da Umberto;;107 West 17th Street;107 W 17th St;New York;NY;Italian;$$$;;Da Umberto;nan;107 W 17th St-At 6th Ave;107 W 17th St;New York;NY;;;nan
Danal;East Village;90 E 10th St;90 E 10th St;New York;NY;French;$$;;Danal;East Village; 90 E 10th St-between Third and Fourth Aves;90 E 10th St;New York;NY;French;;
Davidburke & Donatella;Upper East Side;133 E 61st St;133 E 61st St;New York;NY;American;$$$$;;Davidburke & Donatella;;133 East 61st Street;133 E 61st St;;NY;;;
Del Posto;Chelsea;85 10th Ave;85 10th Ave;New York;NY;Italian;$$$$$;;Del Posto;Chelsea; 85 Tenth Ave-between 15th and 16th Sts;US-NYC-8510;New York;NY;Italian;;
Delta Grill;Midtown West;700 Ninth Ave;700 9th Ave;New York;NY;Creole-Cajun;$$;;Delta Grill;Midtown West; 700 Ninth Ave-at 48th St;700 9th Ave;New York;NY;American Regional;;
Dervish Turkish;Midtown West;146 West 47th Street;146 W 47th St;New York;NY;Middle Eastern;$$;;Dervish Turkish;nan;146 West 47th Street;146 W 47th St;New York;NY;;;nan
Desnuda;East Village;122 E 7th St;122 E 7th St;New York;NY;Seafood;$$$;;Desnuda;East Village; 122 E 7th St-between First Ave and Ave A;122 E 7th St;New York;NY;Eclectic;;
Ditch Plains;;29 Bedford St.;29 Bedford St;New York;NY;;;;Ditch Plains;West Village; 29 Bedford St-at Downing St;29 Bedford St;New York;NY;Seafood;;
Ditch Plains;Greenwich Village;29 Bedford St at Downing St;29 Bedford St;;;;;;Ditch Plains;West Village; 29 Bedford St-at Downing St;29 Bedford St;New York;NY;Seafood;;
Ditch Plains;W. Village;;nan;;;;;;Ditch Plains;West Village; 29 Bedford St-at Downing St;29 Bedford St;New York;NY;Seafood;;
Do Hwa;Greenwich Village;55 Carmine St;55 Carmine St;New York;NY;Korean;$$;;Do Hwa;West Village; 55 Carmine St-at Bedford St;55 Carmine St;New York;NY;Korean;;
Do Hwa;W. Village;;nan;;;;;;Do Hwa;West Village; 55 Carmine St-at Bedford St;55 Carmine St;New York;NY;Korean;;
Don Pedro's;Upper East Side;1865 Second Ave;1865 2nd Ave;New York;NY;Caribbean;$$;;Don Pedro's;;1865 2nd Ave-At 96th St;1865 2nd Ave;;NY;;;
Dos Caminos Park;Gramercy Park;373 Park Ave South;373 Park Ave S;New York;NY;Mexican;$$;;Dos Caminos Park;Gramercy/Flatiron;373 Park Ave S-Btwn 26th & 27th St;373 Park Ave S;New York;NY;;;Mexican
Dos Caminos Soho;SOHO;475 West Broadway;475 W Broadway;New York;NY;Mexican;$$$;;Dos Caminos Soho;Soho; 475 West Broadway-at Houston St;475 W Broadway;New York;NY;Mexican;;
Dos Caminos Soho;SoHo;475 West Broadway at Houston St;475 W Broadway;;;;;;Dos Caminos Soho;Soho; 475 West Broadway-at Houston St;475 W Broadway;New York;NY;Mexican;;
East Of Eighth;;254 West 23rd St;254 W 23rd St;New York;NY;;;;East Of Eighth;;254 W 23rd St;254 W 23rd St;New York;NY;;;
Eatery;Midtown West;798 9th Ave;798 9th Ave;New York;NY;American;$;;Eatery;Midtown West; 798 Ninth Ave-at 53rd St;798 9th Ave;New York;NY;Eclectic;;
Eight Mile Creek;Little Italy;240 Mulberry St;240 Mulberry St;New York;NY;Australian;$$;;Eight Mile Creek;Chinatown/Little Italy; 240 Mulberry St-between Prince and Spring Sts;240 Mulberry St;New York;NY;Australian & New Zealand;;
El Rio Grande;Midtown East;160 East 38th Street;160 E 38th St;New York;NY;Southwestern;$$$;;El Rio Grande;nan;160 East 38th Street;160 E 38th St;New York;NY;;;nan
Elmo;Chelsea;156 Seventh Ave;156 7th Ave;New York;NY;American;$$;;Elmo;Chelsea; 156 Seventh Ave-between 19th and 20th Sts;156 7th Ave;New York;NY;American;;
Employees Only;West Village;510 Hudson St;510 Hudson St;New York;NY;European;$$$;;Employees Only;West Village; 510 Hudson St-between Christopher and W 10th Sts;510 Hudson St;New York;NY;American Creative;;
Employees Only;Greenwich Village;510 Hudson St btwn Christopher and West...;510 Hudson St;;;;;;Employees Only;West Village; 510 Hudson St-between Christopher and W 10th Sts;510 Hudson St;New York;NY;American Creative;;
Epices Inc;Upper West Side;103 W 70th St;103 W 70th St;New York;NY;Mediterranean;$$;;Epices Inc;;103 W 70th St;103 W 70th St;New York;NY;;;
Esca;Midtown West;402 W 43rd St;402 W 43rd St;New York;NY;Italian;$$$$;;Esca;Midtown West; 402 W 43rd St-at Ninth Ave;402 W 43rd St;New York;NY;Italian;;
Ethiopian Restaurant;Upper East Side;The, 1582 York Ave;1582 York Ave;New York;NY;African;$;;Ethiopian Restaurant;Upper East Side; 1582 York Ave-between 83rd and 84th Sts;1582 York Ave;New York;NY;African: Ethiopian;;
Fat Hippo;;71 Clinto St.;71 Clinton St;New York;NY;;;;Fat Hippo;;71 Clinton St-;71 Clinton St;;NY;;;
Fatty Crab;Meatpacking District;643 Hudson Street;643 Hudson St;New York;NY;Indonesian;$$;;Fatty Crab;Meatpacking District; 643 Hudson St-between Gansevoort and Horatio St;643 Hudson St;New York;NY;Asian: Pan-Asian;;
Fiamma Osteria;SOHO;206 Spring Street;206 Spring St;New York;NY;Italian;$$$;;Fiamma Osteria;;206 Spring Street;206 Spring St;New York, NY, 10012;NY;;;
Film Center Cafe;Midtown West;635 9th Avenue;635 9th Ave;New York;NY;American;$$;;Film Center Cafe;Midtown West; 635 Ninth Ave-between 44th and 45th Sts;635 9th Ave;New York;NY;American;;
Fish;Greenwich Village;280 Bleecker St;280 Bleecker St;New York;NY;Seafood;$$;;Fish;West Village; 280 Bleecker St-at Jones St;280 Bleecker St;New York;NY;Seafood;;
Fish;W. Village;;nan;;;;;;Fish;West Village; 280 Bleecker St-at Jones St;280 Bleecker St;New York;NY;Seafood;;
Five Points;NoLita;31 Great Jones Street;31 Great Jones St;New York;NY;American;$$$;;Five Points;East Village; 31 Great Jones St-between Bowery and Lafayette St;31 Great Jones St;New York;NY;American;;
Five Points;E. Village;;nan;;;;;;Five Points;East Village; 31 Great Jones St-between Bowery and Lafayette St;31 Great Jones St;New York;NY;American;;
Forge;TriBeCa;134 Reade St;134 Reade St;New York;NY;American;$$$$;;Forge;Tribeca; 134 Reade St-between Greenwich and Hudson Sts;134 Reade St;New York;NY;American;;
Francisco's Centro Vasco;;159 W 23rd St;159 W 23rd St;New York;NY;;;;Francisco's Centro Vasco;Chelsea;159 W 23rd St-Btwn 6th & 7th Ave;159 W 23rd St;New York;NY;;;Seafood
Francisco's Centro Vasco;;159 W 23rd St;159 W 23rd St;New York;NY;;;;Francisco's Centro Vasco;nan;159 W 23rd St-Btwn 6th & 7th Ave;159 W 23rd St;New York;NY;;;nan
Francisco's Centro Vasco;Chelsea;;;;;;;;Francisco's Centro Vasco;Chelsea;159 W 23rd St-Btwn 6th & 7th Ave;159 W 23rd St;New York;NY;;;Seafood
Gascogne;Chelsea;158 8th Avenue;158 8th Ave;New York;NY;French;$$$;;Gascogne;Chelsea; 158 Eighth Ave-between 17th and 18th Sts;158 8th Ave;New York;NY;French;;
Gavroche;West Village;212 W 14th St;212 W 14th St;New York;NY;French;$$$;;Gavroche;West Village; 212 W 14th St-between Seventh and Eighth Aves;212 W 14th St;New York;NY;French;;
Giorgione 508;SOHO;508 Greenwich St;508 Greenwich St;New York;NY;Continental;$$$;;Giorgione 508;Soho;508 Greenwich Street;508 Greenwich St;New York;NY;;;Italian
Golden Unicorn;;18 E Broadway;18 E Broadway;New York;NY;;;;Golden Unicorn;Chinatown/Little Italy;18 E Broadway-At Catherine St;18 E Broadway;New York;NY;;;Chinese
Good;West Village;89 Greenwich St;89 Greenwich St;New York;NY;American;$$;;Good;West Village; 89 Greenwich Ave-between Bank and W 12th Sts;89 Greenwich Ave;New York;NY;American;;
Goodies;Chinatown;1 E Broadway;1 E Broadway;New York;NY;Chinese;$;;Goodies;;1 East Broadway;1 E Broadway;New York, NY, 10038;NY;;;
Gray's Papaya;Hell's Kitchen;539 8th Avenue;539 8th Ave;New York;NY;Fast Food;$;;Gray's Papaya;;539 8th Ave-At 37th St;539 8th Ave;;NY;;;
HQ;;90 Thompson St;90 Thompson St;New York;NY;;;;HQ;;90 Thompson Street;90 Thompson St;New York, NY, 10012;NY;;;
Hallo Berlin;;626 10th Ave.;626 10th Ave;New York;NY;German;$;;Hallo Berlin;Midtown West; 626 Tenth Ave-at 44th St;626 10th Ave;New York;NY;German;;
Hallo Berlin;Midtown West;;;;;;;;Hallo Berlin;Midtown West; 626 Tenth Ave-at 44th St;626 10th Ave;New York;NY;German;;
Hangawi;Murray Hill;12 E 32nd Street;12 E 32nd St;New York;NY;Korean;$$$;;Hangawi;Midtown West; 12 E 32nd St-between Fifth and Madison Aves;12 E 32nd St;New York;NY;Korean;;
Hea;East Village;145 E. 13th St.;145 E 13th St;New York;NY;Pan-Asian;$$$;;Hea;East Village; 145 E 13th St-at Third Ave;145 E 13th St;New York;NY;Japanese;;
Hedeh;NoLita;57 Great Jones St;57 Great Jones St;New York;NY;Sushi;$$$;;Hedeh;East Village; 57 Great Jones Street-at Bowery St;57 Great Jones St;New York;NY;Japanese;;
Hedeh;E. Village;;;;;;;;Hedeh;East Village; 57 Great Jones Street-at Bowery St;57 Great Jones St;New York;NY;Japanese;;
Highline;Meatpacking District;835 Washington St;835 Washington St;New York;NY;Asian;$$;;Highline;Meatpacking District; 835 Washington St-at Little West 12th St;835 Washington St;New York;NY;Thai;;
Hispaniola;Harlem;839 W 181st St;839 W 181st St;New York;NY;Asian;$$;;Hispaniola;Washington Heights; 839 W 181st St-at Cabrini Blvd;839 W 181st St;New York;NY;Caribbean;;
Home;Greenwich Village;20 Cornelia St;20 Cornelia St;New York;NY;American;$$;;Home;West Village; 20 Cornelia St-between Bleecker and W 4th Sts;20 Cornelia St;New York;NY;American;;
Home;W. Village;;;;;;;;Home;West Village; 20 Cornelia St-between Bleecker and W 4th Sts;20 Cornelia St;New York;NY;American;;
Houston's;Midtown East;153 E 53rd St;153 E 53rd St;New York;NY;;$$;American;Houston's;;153 E 53rd St-At 3rd Ave;153 E 53rd St;;NY;;;
Hudson Cafeteria;Midtown West;356 West 58th Street;356 W 58th St;New York;NY;American;$$$;;Hudson Cafeteria;Midtown West;Hudson Hotel -356 W 58th Stbetween Eighth and Ninth Aves;;New York;NY;American;;
Hunan Park Restaurant;;235 Columbus Ave;235 Columbus Ave;New York;NY;;;;Hunan Park Restaurant;;235 Columbus Ave;235 Columbus Ave;New York;NY;;;
I Sodi;Greenwich Village;105 Christopher St;105 Christopher St;New York;NY;Italian;$$$;;I Sodi;West Village; 105 Christopher St-between Bleecker and Hudson Sts;105 Christopher St;New York;NY;Italian;;
I Sodi;West Village;;;;;;;;I Sodi;West Village; 105 Christopher St-between Bleecker and Hudson Sts;105 Christopher St;New York;NY;Italian;;
I Tre Merli;SOHO;463 W Broadway;463 W Broadway;New York;NY;Italian;$$$;;I Tre Merli;Soho; 463 West Broadway-between Houston and Prince Sts;463 W Broadway;New York;NY;Italian;;
I Tre Merli;SoHo;;nan;;;;;;I Tre Merli;Soho; 463 West Broadway-between Houston and Prince Sts;463 W Broadway;New York;NY;Italian;;
I Trulli;Gramercy Park;122 E 27th St;122 E 27th St;New York;NY;Italian;$$$;;I Trulli;;122 E 27th St;122 E 27th St;New York;NY;;;
Icon;Midtown East;130 E 39th Street;130 E 39th St;New York;NY;American;$$$;;Icon;Midtown East;W Court Hotel -130 E 39th Stbetween Park and Lexington Aves;;New York;NY;American;;
Ideya;SOHO;349 W Broadway;349 W Broadway;New York;NY;Caribbean;$$;;Ideya;Soho; 349 West Broadway-between Broome and Grand Sts;349 W Broadway;New York;NY;Latin American;;
Ideya;SoHo;;349 W Broadway;;;;;;Ideya;Soho; 349 West Broadway-between Broome and Grand Sts;349 W Broadway;New York;NY;Latin American;;
Iguana;;240 W 54th St;240 W 54th St;New York;NY;;;;Iguana;;240 West 54th Street;240 W 54th St;;NY;;;
Il Gattopardo;Midtown West;33 W 54th St;33 W 54th St;New York;NY;Italian;$$$;;Il Gattopardo;Midtown West; 33 W 54th St-between Fifth and Sixth Aves;33 W 54th St;New York;NY;Italian;;
Il Mulino;Greenwich Village;86 W 3rd St;86 W 3rd St;New York;NY;Italian;$$$$;;Il Mulino;Greenwich Village; 86 W 3rd St-between Sullivan and Thompson Sts;86 W 3rd St;New York;NY;Italian;;
Il Valentino;Midtown East;330 East 56th Street;330 E 56th St;New York;NY;Italian;$$$;;Il Valentino;Midtown East;Sutton Hotel -330 E 56th Stbetween First and Second Aves;;New York;NY;Italian;;
Inagiku;Midtown East;111 East 49th Street;111 E 49th St;New York;NY;Sushi;$$$$;;Inagiku;Midtown East;The Waldorf-Astoria -111 E 49th Stbetween Park and Lexington Aves;;New York;NY;Japanese;;
Indus Valley;Upper West Side;2636 Broadway;2636 Broadway;New York;NY;Indian;$$;;Indus Valley;Upper West Side; 2636 Broadway-at 100th St;2636 Broadway;New York;NY;Indian;;
Industria Argentina;;329 Greenwich St.;329 Greenwich St;New York;NY;Argentinean;$$$;;Industria Argentina;Tribeca; 329 Greenwich St-between Duane and Jay Sts;329 Greenwich St;New York;NY;Argentine;;
Industria Argentina;Tribeca;;;;;;;;Industria Argentina;Tribeca; 329 Greenwich St-between Duane and Jay Sts;329 Greenwich St;New York;NY;Argentine;;
Insieme;Midtown West;777 Seventh Avenue;777 7th Ave;New York;NY;Italian;$$$$;;Insieme;Midtown West;Michelangelo Hotel -777 Seventh Aveat 51st St;;New York;NY;Italian;;
Island Burgers & Shakes;Midtown West;766 9th Ave;766 9th Ave;New York;NY;American;$;;Island Burgers & Shakes;Midtown West;766 9th Ave-Btwn 51st & 52nd St;766 9th Ave;New York;NY;;;American
