level_0;level_1;ristorante;indirizzo;Score;restaurant_x;address_x;addressGoogle_x;country_x;neighborhood_x;type_x;phone_x;restaurant_y;address_y;addressGoogle_y;country_y;neighborhood_y;type_y;phone_y
10705;1574;0,985;1;1,985;Miss Mamie's Spoonbread Too;366 W 110th St-Btwn Columbus & Manhattan Ave;366 W 110th St;;;;;Miss Mamie’s Spoonbread Too; 366 W 110th St-between Manhattan and Columbus Aves;366 W 110th St;New York;Columbia University–City College;American Regional;(212-865-6744)
10705;6242;0,959;1;1,959;Miss Mamie's Spoonbread Too;366 W 110th St-Btwn Columbus & Manhattan Ave;366 W 110th St;;;;;Miss Mamie's Spoon Bread Too;366 West 110th Street;366 W 110th St;New York;;;
13381;6242;0,886;1;1,886;Miss Mamie's;366 West 110th Street;366 W 110th St;New York, NY, 10025;;;;Miss Mamie's Spoon Bread Too;366 West 110th Street;366 W 110th St;New York;;;
10716;6258;0,823;1;1,823;Mobay New York;17 W 125th St-Btwn Lenox & 5th Ave;17 W 125th St;;;;;Mobay Uptown;17 West 125th Street;17 W 125th St;New York;;;
10730;1590;0,951;1;1,951;Momofuku Ssam Bar;207 2nd Ave-At 13th St;207 2nd Ave;;;;;Momofuku Ssäm Bar; 207 Second Ave-at 13th St;207 2nd Ave;New York;East Village;Korean;(212-254-3500)
10732;6270;0,956;1;1,956;Mon Petit Cafe;801 Lexington Ave-At 62nd St;801 Lexington Ave;;;;;Mon Petit Cafe Inc;801 Lexington Ave;801 Lexington Ave;New York;;;
10753;1609;0,983;1;1,983;Morrell Wine Bar & Cafe;1 Rockefeller Plaza-Btwn 5th & 6th Ave at 49th St;1 Rockefeller Plaza 48Th and;;;;;Morrell Wine Bar & Café; 1 Rockefeller Plaza-at 49th St;1 Rockefeller Plaza 48Th and;New York;Midtown West;Italian;(212-262-7700)
10754;8232;0,962;1;1,962;Morton's, The Steakhouse;551 5th Ave-At 45th St;551 5th Ave;;;;;Morton's, the Steakhouse;551 5th Avenue;551 5th Ave;;;;
10768;6321;0,864;1;1,864;Mughlai;320 Columbus Ave-At 75th St;320 Columbus Ave;;;;;Mughlai Indian Cuisine;320 Columbus Ave;320 Columbus Ave;New York;;;
10770;6326;0,867;1;1,867;Muldoon's;692 3rd Ave-Btwn 43rd & 44th St;692 3rd Ave;;;;;Muldoons Irish Pub;692 3rd Ave;692 3rd Ave;New York;;;
10772;6329;0,878;1;1,878;Mumbles;179 3rd Ave-At 17th St;179 3rd Ave;;;;;Mumbles Restaurant;179 3rd Ave;179 3rd Ave;New York;;;
10792;6355;0,880;1;1,880;Nada Sushi;135 E 50th St-At Lexington Ave;135 E 50th St;;;;;Nada Sushi Restaurant Inc;135 E 50th St;135 E 50th St;New York;;;
10799;6363;0,863;1;1,863;Naniwa;4 E 46th St-At 5th Ave;4 E 46th St;;;;;Naniwa Of Japan Inc;4 E 46th St;4 E 46th St;New York;;;
10803;6364;0,856;1;1,856;Nanni;146 E 46th St-Btwn Lexington & 3rd Ave;146 E 46th St;;;;;Nanni's Restaurant;146 E 46th St;146 E 46th St;New York;;;
10811;6372;0,852;1;1,852;Nation;12 W 45th St-Btwn 5th & 6th Ave;12 W 45th St;;;;;Nation Restaurant & Bar;12 W 45th St;12 W 45th St;New York;;;
10813;8237;0,878;1;1,878;Natsumi;226 W 50th St-Btwn 8th Ave & Bway;226 W 50th St;;;;;Natsumi Restaurant;226 West 50th Street;226 W 50th St;;;;
13416;8237;0,924;1;1,924;Natsumi Restaurant and Lounge;226 West 50th Street;226 W 50th St;New York, NY, 10019;;;;Natsumi Restaurant;226 West 50th Street;226 W 50th St;;;;
10820;6384;0,989;1;1,989;Neil's Coffee Shop;961 Lexington Ave-At 70th St;961 Lexington Ave;;;;;Neils Coffee Shop;961 Lexington Ave;961 Lexington Ave;New York;;;
10831;6396;0,921;1;1,921;New Double Dragon;37 1st Ave-Btwn 2nd & 3rd St;37 1st Avenue;;;;;New Double Dragon Restaurant;37 1st Ave;37 1st Avenue;New York;;;
10852;6411;0,908;1;1,908;New South Wind (CLOSED);21 Division St-Btwn Catherine & Market St;21 Division St;;;;;New South Winds;21 Division St;21 Division St;New York;;;
10852;10851;0,922;1;1,922;New South Wind (CLOSED);21 Division St-Btwn Catherine & Market St;21 Division St;;;;;New South Wind;21 Division St-Btwn Catherine & Market St;21 Division St;;;;
10858;6416;0,843;1;1,843;New Time;1571 Lexington Ave-at 100th St;1571 Lexington Ave;;;;;New Time Chinese & Mexican Restaurant;1571 Lexington Avenue;1571 Lexington Ave;New York;;;
10864;6418;0,955;1;1,955;New Wonton Garden;56 Mott St-At Bayard St;56 Mott St;;;;;New Wonton Garden Corp;56 Mott St;56 Mott St;New York;;;
10877;6434;0,885;1;1,885;Niamat Kada;124 Lexington Ave-Btwn 28th & 29th St;124 Lexington Ave;;;;;Niamatkada Inc;124 Lexington Ave;124 Lexington Ave;New York;;;
10883;6436;0,989;1;1,989;Nick & Toni's Cafe;100 W 67th St-At Columbus Ave;100 W 67th St;;;;;Nick & Tonis Cafe;100 W 67th St;100 W 67th St;New York;;;
10886;1666;0,986;1;1,986;Nicky's Vietnamese Sandwiches;150 E 2nd St-At Ave A;150 E 2nd St;;;;;Nicky’s Vietnamese Sandwiches; 150 E 2nd St-between Aves A and B;150 E 2nd St;New York;East Village;Vietnamese;(212-388-1088)
10891;6443;0,863;1;1,863;Niles;371 7th Ave-Btwn 30th & 31st St;371 7th Ave;;;;;Niles Restaurant;371 7th Ave;371 7th Ave;New York;;;
14177;6443;0,963;1;1,962;Niles Restrnt;371 7th Ave. Lbby;371 7th Ave;New York;Garment District;;;Niles Restaurant;371 7th Ave;371 7th Ave;New York;;;
10912;1682;0,960;1;1,960;Noah's Ark;399 Grand St-Btwn Clinton & Suffolk St;399 Grand St;;;;;Noah’s Ark; 399 Grand St-between Clinton and Suffolk Sts;399 Grand St;New York;Lower East Side;Kosher;(212-674-2200)
10920;6467;0,896;1;1,896;Noodle 36;305 W 36th St-;305 W 36th St;;;;;Noodle A A;305 W 36th St;305 W 36th St;New York;;;
10937;6492;0,841;1;1,841;O'Neals;49 W 64th St-Btwn Broadway & Central Park West;49 W 64th St;;;;;O'Neals' Lincoln Center Restaurant;49 West 64th Street;49 W 64th St;New York;;;
10945;1708;0,917;1;1,917;Obika Mozzarella Bar;590 Madison Ave-At 57th St;590 Madison Ave;;;;;Obikà Mozzarella Bar; 590 Madison Ave-at 56th St;590 Madison Ave;New York;Midtown East;Italian;(212-355-2217)
10960;6525;0,900;1;1,900;Old Homestead;56 9th Ave-Btwn 14th & 15th St;56 9th Ave;;;;;Old Homestead Gourmet Shop;56 9th Ave;56 9th Ave;New York;;;
6526;6525;0,861;1;1,861;Old Homestead Restaurant Inc;56 9th Ave;56 9th Ave;New York;;;;Old Homestead Gourmet Shop;56 9th Ave;56 9th Ave;New York;;;
10963;6528;0,967;1;1,967;Old Town Bar & Restaurant;45 E 18th St-Btwn Bway & Park Ave;45 E 18th St;;;;;Old Town Bar & Restaurant Corp;45 E 18th St;45 E 18th St;New York;;;
10963;1719;0,888;1;1,888;Old Town Bar & Restaurant;45 E 18th St-Btwn Bway & Park Ave;45 E 18th St;;;;;Old Town Bar & Grill; 45 E 18th St-between Broadway and Park Ave South;45 E 18th St;New York;Gramercy/Flatiron;American;(212-529-6732)
13455;1719;0,920;1;1,920;Old Town Bar;45 East 18th Street;45 E 18th St;New York, NY, 10003;;;;Old Town Bar & Grill; 45 E 18th St-between Broadway and Park Ave South;45 E 18th St;New York;Gramercy/Flatiron;American;(212-529-6732)
10985;6550;0,921;1;1,921;One Fish Two Fish;1399 Madison Ave-At 97th St;1399 Madison Ave;;;;;One Fish Two Fish Restaurant;1399 Madison Ave;1399 Madison Ave;New York;;;
14185;6550;0,910;1;1,910;One Fish, Two Fish;1399 Madison Ave.;1399 Madison Ave;New York;East 90s;;;One Fish Two Fish Restaurant;1399 Madison Ave;1399 Madison Ave;New York;;;
10986;8245;0,965;1;1,965;One If By Land, Two If By Sea;17 Barrow St-Btwn 7th Ave S & W 4th St;17 Barrow St;;;;;One If by Land Two If by Sea;17 Barrow Street;17 Barrow St;;;;
10986;6551;0,993;1;1,993;One If By Land, Two If By Sea;17 Barrow St-Btwn 7th Ave S & W 4th St;17 Barrow St;;;;;One If By Land Two If By Sea;17 Barrow St;17 Barrow St;New York;;;
11013;6580;0,890;1;1,890;Osso Buco;88 University Pl-Btwn 11th & 12th St;88 University Pl;;;;;Osso Buco Restaurant;88 University Pl;88 University Pl;New York;;;
11039;1756;0,874;1;1,874;P.J. Clarke's on the Hudson;4 World Ficial Center-At Vesey St;Four World Trade Center;;;;;P.J. Clarke’s; 4 World Ficial Center-at Vesey St;Four World Trade Center;New York;Financial District;American;(212-285-1500)
11053;1775;0,971;1;1,971;Pan Latin Cafe;400 Chambers St-At River Ter & Rockefeller Pk;400 Chambers St;;;;;Pan Latin Café; 400 Chambers St-at River Terr;400 Chambers St;New York;Tribeca;Latin American;(212-571-3860)
11093;6656;0,967;1;1,967;Park Italian Gourmet;60 W 45th St-Btwn 5th & 6th Ave;60 W 45th St;;;;;Park Italian Gourmet Inc;60 W 45th St;60 W 45th St;New York;;;
11094;6660;0,875;1;1,875;Park View Cafe;219 Dyckman St-At Broadway;219 Dyckman St;;;;;Park View Restaurant;219 Dyckman St;219 Dyckman St;New York;;;
11098;6663;0,869;1;1,869;Parnell's;350 E 53rd St-At 1st Ave;350 E 53rd St;;;;;Parnell's Bar & Restaurant;350 E 53rd St;350 E 53rd St;New York;;;
11104;6675;0,960;1;1,960;Pasta Presto;959 2nd Ave-At 51st St;959 2nd Ave;;;;;Pasta Presto #5;959 2nd Ave;959 2nd Ave;New York;;;
14199;6675;0,973;1;1,973;Pasta Presto 51;959 2nd Ave. Frnt;959 2nd Ave;New York;East 40s;;;Pasta Presto #5;959 2nd Ave;959 2nd Ave;New York;;;
11115;6691;0,927;1;1,927;Paul & Jimmy's;123 E 18th St-Btwn Park Ave S & Irving Pl;123 E 18th St;;;;;Paul & Jimmy's Restrnt;123 E 18th St;123 E 18th St;New York;;;
11119;8253;0,827;1;1,827;Payard Bistro;1032 Lexington Ave-Btwn 73rd & 74th St;1032 Lexington Ave;;;;;Payard Patisserie & Bistro;1032 Lexington Avenue;1032 Lexington Ave;;;;
11123;1810;0,989;1;1,989;Peanut Butter & Co;240 Sullivan St-Btwn Bleecker St & W 3rd St;D'Agostino Hall;;;;;Peanut Butter & Co.; 240 Sullivan St-between Bleecker and W 3rd Sts;D'Agostino Hall;New York;Greenwich Village;American;(212-677-3995)
11124;6703;0,916;1;1,916;Pearl River;22 Elizabeth St-Btwn Bayard & Canal St;22 Elizabeth St;;;;;Pearl River Cuisine;22 Elizabeth St;22 Elizabeth St;New York;;;
11132;6709;0,873;1;1,873;Peking Park;100 Park Ave-At 40th St;100 Park Ave;;;;;Peking Park Ave Restaurant Inc;100 Park Ave;100 Park Ave;New York;;;
11133;1816;0,967;1;1,967;Pellegrino's;138 Mulberry St-Btwn Hester & Grand St;138 Mulberry St;;;;;Pellegrino’s; 138 Mulberry St-between Grand and Hester Sts;138 Mulberry St;New York;Chinatown/Little Italy;Italian;(212-226-3177)
11139;1820;0,976;1;1,976;Pepe Giallo To Go;253 10th Ave-At 25th St;253 10th Ave;;;;;Pepe Giallo to Go; 253 Tenth Ave-between 24th and 25th Sts;253 10th Ave;New York;Chelsea;Italian;(212-242-6055)
11140;1821;0,975;1;1,975;Pepe Rosso To Go;149 Sullivan St-Btwn Prince & Houston St;149 Sullivan St;;;;;Pepe Rosso to Go; 149 Sullivan St-between Houston and Prince Sts;149 Sullivan St;New York;Soho;Italian;(212-677-4555)
11140;6719;0,925;1;1,925;Pepe Rosso To Go;149 Sullivan St-Btwn Prince & Houston St;149 Sullivan St;;;;;Pepe Rosso;149 Sullivan St;149 Sullivan St;New York;;;
11143;1826;0,829;1;1,829;Pera;303 Madison Ave-Btwn 41st & 42nd St;303 Madison Ave;;;;;Pera Mediterranean Brasserie; 303 Madison Ave-between 41st and 42nd Sts;303 Madison Ave;New York;Midtown East;Mediterranean;(212-878-6301)
11149;6724;0,989;1;1,989;Perk's Fine Cuisine;553 Manhattan Ave-At 123rd St;553 Manhattan Ave;;;;;Perks Fine Cuisine;553 Manhattan Ave;553 Manhattan Ave;New York;;;
11150;1833;0,978;1;1,978;Perry St;176 Perry St-At West St;176 Perry St;;;;;Perry St.; 176 Perry St-at West St;176 Perry St;New York;West Village;American;(212-352-1900)
13515;1833;0,911;1;1,911;Perry Street;176 Perry Street;176 Perry St;New York, NY, 10014;;;;Perry St.; 176 Perry St-at West St;176 Perry St;New York;West Village;American;(212-352-1900)
11153;6733;0,884;1;1,884;Petaluma;1356 1st Ave-At 73rd St;1356 1st Avenue;;;;;Petaluma Restaurant;1356 1st Ave;1356 1st Avenue;New York;;;
11162;1843;0,985;1;1,985;Petrossian Boutique & Cafe;911 7th Ave-Btwn 57th & 58th St;911 7th Ave;;;;;Petrossian Boutique & Café; 911 Seventh Ave-between 57th and 58th Sts;911 7th Ave;New York;Midtown West;Russian;(212-245-2217)
13519;1843;0,857;1;1,857;Petrossian Patisserie & Cafe;911 7th Avenue;911 7th Ave;New York, NY, 10019;;;;Petrossian Boutique & Café; 911 Seventh Ave-between 57th and 58th Sts;911 7th Ave;New York;Midtown West;Russian;(212-245-2217)
11166;1847;0,952;1;1,952;Philippe Chow Express;469 6th Ave-Btwn 11th & 12th St;469 6th Ave;;;;;Philippe Express; 469 Sixth Ave-between 11th and 12th Sts;469 6th Ave;New York;Greenwich Village;Eclectic;(212-929-8949)
11167;1848;0,985;1;1,985;Philly Slim's Cheesesteaks;789 9th Ave-Btwn 52nd & 53rd St;789 9th Ave;;;;;Philly Slim’s Cheesesteaks; 789 Ninth Ave-between 52nd and 53rd Sts;789 9th Ave;New York;Midtown West;American;(212-333-3042)
11197;6753;0,853;1;1,853;Pietro's;232 E 43rd St-Btwn 2nd & 3rd Ave;232 E 43rd St;;;;;Pietros Restaurant;232 E 43rd St;232 E 43rd St;New York;;;
11200;1865;0,908;1;1,908;Pinch & S'Mac;474 Columbus Ave-At 83rd St;474 Columbus Ave;;;;;Pinch & S’MAC; 474 Columbus Ave-between 82nd and 83rd Sts;474 Columbus Ave;New York;Upper West Side;American;(212-686-5222)
11207;6759;0,903;1;1,903;Pink Tea Cup;42 Grove St-Btwn Bedford & Bleeker St;42 Grove St;;;;;Pink Teacup Inc;42 Grove St;42 Grove St;New York;;;
11221;6772;0,933;1;1,933;Pita Hut;225 W 23rd St-Btwn 7th & 8th Ave;225 W 23rd St;;;;;Pita Hut Inc;225 W 23rd St;225 W 23rd St;New York;;;
11256;6789;0,834;1;1,834;Playwright Act II;732 8th Ave-Btwn 45th & 46th St;732 8th Ave;;;;;Playwright Bar & Restaurant;732 8th Ave;732 8th Ave;New York;;;
11266;6803;0,878;1;1,878;Polonia;110 1st Ave-Btwn 6th & 7th St;110 1st Avenue;;;;;Polonia Restaurant;110 1st Ave;110 1st Avenue;New York;;;
11278;6820;0,933;1;1,933;Portfolio Restaurant;4 W 19th St-At 5th Ave;4 W 19th St;;;;;Portfolio Restaurant & Gallery;4 W 19th St;4 W 19th St;New York;;;
11283;1890;0,867;1;1,867;Potluck;255 W 26th St-Btwn 7th & 8th Ave;255 W 26th St;;;;;Potluck Asian Cuisine; 255 W 26th St-between Seventh and Eighth Aves;255 W 26th St;New York;Chelsea;Asian: Pan-Asian;(212-929-3848)
11289;1893;0,967;1;1,967;Prem-On Thai;138 W Houston St-Btwn MacDougal & Sullivan St;138 W Houston St;;;;;Prem-on Thai; 138 W Houston St-between Sullivan and MacDougal Sts;138 W Houston St;New York;Greenwich Village;Thai;(212-353-2338)
11300;6835;0,878;1;1,878;Primola;1226 2nd Ave-Btwn 64th & 65th St;1226 2nd Ave;;;;;Primola Restaurant;1226 2nd Ave;1226 2nd Ave;New York;;;
11305;1900;0,906;1;1,906;Prince Street Cafe & Catering;26 Prince St-At Elizabeth St;26 Prince St;;;;;Prince Street Café; 26 Prince St-between Elizabeth and Mott Sts;26 Prince St;New York;Chinatown/Little Italy;Cafés & diners;(212-343-7310)
11311;6838;0,900;1;1,900;Prohibition;503 Columbus Ave-At 84th St;503 Columbus Ave;;;;;Prohibition Restaurant;503 Columbus Ave;503 Columbus Ave;New York;;;
11342;6862;0,893;1;1,893;Quattro Gatti;205 E 81st St-Btwn 2nd & 3rd Ave;205 E 81st St;;;;;Quattro Gatti Restaurant Inc;205 E 81st St;205 E 81st St;New York;;;
11351;6871;0,975;1;1,975;Rachel's;608 9th Ave-Btwn 43rd & 44th St;608 9th Ave;;;;;Rachels;608 9th Ave;608 9th Ave;New York;;;
11354;6876;0,899;1;1,899;Raffles Cafe;511 Lexington Ave-At 48th St;511 Lexington Ave;;;;;Raffles Coffee Shop;511 Lexington Ave;511 Lexington Ave;New York;;;
11357;6883;0,914;1;1,914;Raku;57 W 76th St-At Columbus Ave;57 W 76th St;;;;;Raku II;57 West 76th;57 W 76th St;New York;;;
11365;6891;0,870;1;1,870;Rathbone's;1702 2nd Ave-At 88th St;1702 2nd Ave;;;;;Rathbones Restaurant;1702 2nd Ave;1702 2nd Ave;New York;;;
11375;1944;0,921;1;1,921;Ready To Eat;525 Hudson St-At W 10th St;525 Hudson St;;;;;Ready to Eat; 525 Hudson St-between Charles and W 10th Sts;525 Hudson St;New York;West Village;American;(212-229-1013)
11385;6908;0,861;1;1,861;Redemption;1003 2nd Ave-At 53rd St;1003 2nd Ave;;;;;Redemption Cocktail Lounge & Cafe;1003 Second Ave;1003 2nd Ave;New York;;;
11387;6912;0,969;1;1,969;Regional Thai Sa-Woy;1479 1st Ave-At 77th St;1479 1st Avenue;;;;;Regional Thai Sawoy;1479 1st Ave;1479 1st Avenue;New York;;;
11389;6916;0,862;1;1,862;Reme;4021 Broadway-At 169th St;4021 Broadway;;;;;Reme Food Inc;4021 Broadway;4021 Broadway;New York;;;
11391;6922;0,938;1;1,938;Reservoir;70 University Pl-Btwn 10th & 11th St;70 University Pl;;;;;Reservoir Bar;70 University Pl;70 University Pl;New York;;;
11399;1957;0,960;1;1,960;Resto Leon;351 E 12th St-Btwn 1st & 2nd Ave;351 E 12th St;;;;;Resto Léon; 351 E 12th St-between First and Second Aves;351 E 12th St;New York;East Village;French;(212-375-8483)
11439;1988;0,906;1;1,906;Rodeo Bar;375 3rd Ave-At 27th St;375 3rd Ave;;;;;Rodeo Bar & Grill; 375 Third Ave-at 27th St;375 3rd Ave;New York;Gramercy/Flatiron;American Regional;(212-683-6500)
6978;1988;0,931;1;1,931;Rodeo Bar & Grill 27th St.;375 3rd Avenue;375 3rd Ave;New York;;;;Rodeo Bar & Grill; 375 Third Ave-at 27th St;375 3rd Ave;New York;Gramercy/Flatiron;American Regional;(212-683-6500)
11461;6996;0,883;1;1,883;Rosie & Ting;85 4th Ave-At 11th St;85 4th Ave;;;;;Rosie & Ting Noodles & Grille;85 4th Ave;85 4th Ave;New York;;;
11463;7000;0,862;1;1,862;Rossini's;108 E 38th St-Btwn Park & Lexington Ave;108 E 38th St;;;;;Rossinis Restaurant;108 E 38th St;108 E 38th St;New York;;;
11464;2002;0,986;1;1,986;Rothmann's Steakhouse & Grill;3 E 54th St-At 5th Ave;3 E 54th St;;;;;Rothmann’s Steakhouse & Grill; 3 E 54th St-between Fifth and Madison Aves;3 E 54th St;New York;Midtown East;Steakhouses;(212-319-5500)
11476;2006;0,980;1;1,980;Royale Cafe & Pastry;461 6th Ave-;461 6th Ave;;;;;Royale Cafe + Pastry; 461 Sixth Ave-at 11th St;461 6th Ave;New York;West Village;Cafés & diners;(212-255-5236)
11506;2022;0,980;1;1,980;Sachiko's on Clinton;25 Clinton St-Btwn Houston & Stanton St;25 Clinton St;;;;;Sachiko’s on Clinton; 25 Clinton St-between Houston and Stanton Sts;25 Clinton St;New York;Lower East Side;Japanese;(212-253-2900)
11506;7035;0,938;1;1,938;Sachiko's on Clinton;25 Clinton St-Btwn Houston & Stanton St;25 Clinton St;;;;;Sachiko's On Clinton;25 Clinton Street;25 Clinton St;New York;;;
11517;2030;0,910;1;1,910;Sakae Sushi;135 W 3rd St-Btwn Macdougal St & 6th Ave;135 W 3rd St;;;;;Sakae Sushi (CLOSED); 135 W 3rd St-between Sixth Ave and MacDougal St;135 W 3rd St;New York;West Village;Japanese;(212-228-9839)
11530;7053;0,890;1;1,890;Sala Thai;1718 2nd Ave-Btwn 89th & 90th St;1718 2nd Ave;;;;;Sala Thai Restaurant;1718 2nd Ave;1718 2nd Ave;New York;;;
11532;7058;0,900;1;1,900;Sale & Pepe;1 Exchange Plz-Btwn Trinity Pl & Bway;1 Exchange Alley;;;;;Sale & Pepe Fine Foods;1 Exchange Plz;1 Exchange Alley;New York;;;
11536;2040;0,969;1;1,969;Salsa Y Salsa;206 7th Ave-At 22nd St;206 7th Ave;;;;;Salsa y Salsa; 206 Seventh Ave-between 21st and 22nd Sts;206 7th Ave;New York;Chelsea;Mexican;(212-929-2678)
11539;7065;0,845;1;1,845;Salud;142 Beekman St-Btwn Front & South St;142 Beekman St;;;;;Salud Restaurant & Bar;142 Beekman Street;142 Beekman St;New York;;;
13644;7065;0,982;1;1,982;Salud Restaurant Bar;142 Beekman Street;142 Beekman St;New York, NY, 10038;;;;Salud Restaurant & Bar;142 Beekman Street;142 Beekman St;New York;;;
11554;2045;0,917;1;1,917;Sammy's Roumanian;157 Chrystie St-At Delancey St;157 Chrystie St;;;;;Sammy's Roumanian Steak House; 157 Chrystie St-;157 Chrystie St;New York;Lower East Side;Eastern European;(212-673-0330)
11563;2053;0,950;1;1,950;Sandro's;306 E 81st St-At 2nd Ave;306 E 81st St;;;;;Sandro’s; 306 E 81st St-between First and Second Aves;306 E 81st St;New York;Upper East Side;Italian;(212-288-7374)
11581;2070;0,945;1;1,945;Sasabune;401 E 73rd St-Bten 73rd & 74th St;401 E 73rd St;;;;;Sasabune NY; 401 E 73rd St-at First Ave;401 E 73rd St;New York;Upper East Side;Japanese;(212-249-8583)
11588;8276;0,884;1;1,884;Scaletta;50 W 77th St-Btwn Columbus Ave & CPW;50 W 77th St;;;;;Scaletta Restaurant;50 West 77th Street;50 W 77th St;;;;
11589;2085;0,981;1;1,981;Schiller's Liquor Bar;131 Rivington St-At Norfolk St;131 Rivington St;;;;;Schiller’s Liquor Bar; 131 Rivington St-at Norfolk St;131 Rivington St;New York;Lower East Side;Eclectic;(212-260-4555)
11604;7140;0,857;1;1,857;Selena;252 W 38th St-Btwn 7th & 8th Ave;252 W 38th St;;;;;Selena Restaurant Inc;252 W 38th St;252 W 38th St;New York;;;
11606;7142;0,856;1;1,856;Senor Swanky's;513 Columbus Ave-Btwn 84th & 85th St;513 Columbus Ave;;;;;Senor Swanky's Speak Easy Lounge & Celebrity Hango;513 Columbus Ave.;513 Columbus Ave;New York;;;
11612;2097;0,866;1;1,866;Serafina Osteria;38 E 58th St-Btwn Madison & Park Ave;38 E 58th St;;;;;Serafina Sandro; 38 E 58th St-between Madison and Park Aves;38 E 58th St;New York;Midtown East;Italian;(212-832-8888)
11627;7160;0,904;1;1,904;Shaffer City;5 W 21st St-Btwn 5th & 6th Ave;5 W 21st St;;;;;Shaffer City Oyster Bar;5 W 21st St;5 W 21st St;New York;;;
11652;2127;0,956;1;1,956;Shopsin's;120 Essex St-Btwn Rivington & Delancey St;120 Essex St;;;;;Shopsin’s; 120 Essex St-between Delancey and Rivington Sts;120 Essex St;New York;Lower East Side;Cafés & diners;(no phone)
11655;2131;0,923;1;1,923;Shun Lee;43 W 65th St-Btwn Columbus Ave & CPW;43 W 65th St;;;;;Shun Lee Cafe; 43 W 65th St-between Central Park West and Columbus Ave;43 W 65th St;New York;Upper West Side;Chinese;(212-769-3888)
11670;7212;0,904;1;1,904;Silver Spurs;771 Broadway-At 9th St;771 Broadway;;;;;Silver Spurs Restaurant;771 Broadway;771 Broadway;New York;;;
11674;7217;0,843;1;1,843;Simla;304 E 78th St-Btwn 1st & 2nd Ave;304 E 78th St;;;;;Simla Indian Restaurant;304 E 78th St;304 E 78th St;New York;;;
11686;2148;0,856;1;1,856;Sisters;47 E 124th St-Btwn Madison & Park Ave;47 E 124th St;;;;;Sisters Caribbean Cuisine; 47 E 124th St-between Madison and Park Aves;47 E 124th St;New York;East Harlem;Caribbean;(212-410-3000)
11704;7241;0,869;1;1,869;Smith's Bar;701 8th Ave-At 44th St;701 8th Ave;;;;;Smiths Bar & Restaurant;701 8th Ave;701 8th Ave;New York;;;
11705;8284;0,867;1;1,867;Smoke;2751 Broadway-Btwn 105th & 106th St;2751 Broadway;;;;;Smoke Jazz Club;2751 Broadway;2751 Broadway;;;;
11707;2157;0,867;1;1,867;Smokin' Q (CLOSED);206 E 63rd St-;206 E 63rd St;;;;;Smokin’ Q; 206 E 63rd St-between Second and Third Aves;206 E 63rd St;New York;Upper East Side;Barbeque;(212-355-7000)
11707;11706;0,900;1;1,900;Smokin' Q (CLOSED);206 E 63rd St-;206 E 63rd St;;;;;Smokin' Q;206 E 63rd St-Btwn 2nd & 3rd Ave;206 E 63rd St;;;;
11733;2169;0,865;1;1,865;Sol y Sombra;462 Amsterdam Ave-At 82nd St;462 Amsterdam Ave;;;;;Sol y Sombra Tapas Bar and Restaurant; 462 Amsterdam Ave-between 82nd and 83rd Sts;462 Amsterdam Ave;New York;Upper West Side;Spanish;(212-400-4036)
11733;7254;0,967;1;1,967;Sol y Sombra;462 Amsterdam Ave-At 82nd St;462 Amsterdam Ave;;;;;Sol Y Sombra;462 Amsterdam Avenue;462 Amsterdam Ave;New York;;;
11734;2170;0,880;1;1,880;Solace;406 E 64th St-At 1st Ave;406 E 64th St;;;;;Solace (CLOSED); 406 E 64th St-between First and York Aves;406 E 64th St;New York;Upper East Side;Eclectic;(212-750-0434)
11739;7259;0,843;1;1,843;Sonar Gaow;328 E 6th St-Btwn 1st & 2nd Ave;328 E 6th St;;;;;Sonar Goan Restaurant;328 E 6th St;328 E 6th St;New York;;;
11773;2205;0,975;1;1,975;Spitzer's Corner;101 Rivington St-At Ludlow St;101 Rivington St;;;;;Spitzer’s Corner; 101 Rivington St-at Ludlow St;101 Rivington St;New York;Lower East Side;American;(212-228-0027)
11775;8290;0,900;1;1,900;St. Andrews;120 W 44th St-Btwn Bway & Sixth Ave;120 W 44th St;;;;;St. Andrews Restaurant;120 West 44th Street;120 W 44th St;;;;
13733;8290;0,947;1;1,947;St. Andrews Restaurant and Bar;120 West 44th Street;120 W 44th St;New York, NY, 10036;;;;St. Andrews Restaurant;120 West 44th Street;120 W 44th St;;;;
11776;2213;0,969;1;1,969;St. Dymphna's;118 St Marks Pl-Btwn Ave A & 1st Av;118 St Marks Pl;;;;;St. Dymphna’s; 118 St Marks Pl-between Ave A and First Ave;118 St Marks Pl;New York;East Village;British & Irish;(212-254-6636)
11795;2220;0,888;1;1,888;Sticky Rice;85 Orchard St-At Broome St;85 Orchard St;;;;;Sticky Rice Thai Barbecue; 85 Orchard St-between Broome and Grand Sts;85 Orchard St;New York;Lower East Side;Thai;(212-274-8208)
11816;2226;0,960;1;1,960;Sugar Cafe;200 Allen St-Btwn Houston & Stanton St;200 Allen St;;;;;Sugar Café; 200 Allen St-at Houston St;200 Allen St;New York;Lower East Side;Cafés;(212-260-1122)
11818;7343;0,960;1;1,960;Sukhadia;17 W 45th St-Btwn 5th & 6th Ave;17 W 45th St;;;;;Sukhadia's;17 West 45th Street;17 W 45th St;New York;;;
14234;7343;0,865;1;1,865;Sukhadia's Gokul Indian Gourmet;17 W 45th St.;17 W 45th St;New York;West 40s;;;Sukhadia's;17 West 45th Street;17 W 45th St;New York;;;
