0_restaurant;0_neighborhood;0_address;0_addressGoogle;0_country;0_country_code;0_type;0_cost;0_type_r;1_restaurant;1_neighborhood;1_address;1_addressGoogle;1_country;1_country_code;1_type;1_cost;1_type_r;1_phone
;;;;;;;;;Sistina;Upper East Side; 1555 Second Ave-between 80th and 81st Sts;1555 2nd Ave;New York;NY;Italian;;;(212-861-7660)
;;;;;;;;;Sitar;Midtown West; 58 W 56th St-between Fifth and Sixth Aves;58 W 56th St;New York;NY;Indian;;;(212-581-1155)
;;;;;;;;;Slice;Upper East Side; 1413 Second Ave-between 73rd and 74th Sts;1413 2nd Ave;New York;NY;Italian: Pizza;;;(212-249-4353)
;;;;;;;;;Smith & Mills;Tribeca; 71 North Moore St-between Greenwich and Hudson Sts;71 N Moore St;New York;NY;Eclectic;;;(no phone)
;;;;;;;;;Smith & Wollensky;Midtown East; 797 Third Ave-at 49th St;797 3rd Ave;New York;NY;Steakhouses;;;(212-753-1530)
;;;;;;;;;Smith’s;West Village; 79 MacDougal St-between Bleecker and W Houston Sts;79 MacDougal St;New York;NY;American;;;(212-260-0100)
;;;;;;;;;Smith’s Bar & Restaurant;Midtown West; 701 Eighth Ave-at 44th St;701 8th Ave;New York;NY;American;;;(212-246-3268)
;;;;;;;;;Smorgas Chef;Midtown East; 924 Second Ave-at 49th St;924 2nd Ave;New York;NY;Scandinavian;;;(212-486-1411)
;;;;;;;;;Snack;Soho; 105 Thompson St-between Prince and Spring Sts;105 Thompson St;New York;NY;Greek;;;(212-925-1040)
;;;;;;;;;Snack Taverna;West Village; 63 Bedford St-at Morton St;63 Bedford St;New York;NY;Greek;;;(212-929-3499)
;;;;;;;;;Soba Totto;Midtown East; 211 E 43rd St-between Second and Third Aves;211 E 43rd St;New York;NY;Japanese;;;(212-557-8200)
;;;;;;;;;Socarrat Paella Bar;Chelsea; 259 W 19th St-between Seventh and Eighth Aves;259 W 19th St;New York;NY;Spanish;;;(212-462-1000)
;;;;;;;;;Sofrito;Midtown East; 400 E 57th St-between First Ave and Sutton Pl;400 E 57th St;New York;NY;Caribbean: Puerto Rican;;;(212-754-5999)
;;;;;;;;;Soho Cantina East (CLOSED);Chinatown/Little Italy; 264 Elizabeth St-between Houston and Prince Sts;264 Elizabeth St;New York;NY;Mexican;;;(212-219-9212)
;;;;;;;;;Soho Park;Soho; 62 Prince St-at Lafayette St;62 Prince St;New York;NY;Cafés;;;(212-219-2129)
;;;;;;;;;Sokobolie;; -;;New York;NY;;;;
;;;;;;;;;Solera;Midtown East; 216 E 53rd St-between Second and Third Aves;216 E 53rd St;New York;NY;Spanish;;;(212-644-1166)
;;;;;;;;;Solo;Midtown East; 550 Madison Ave-between 55th and 56th Sts;550 Madison Ave;New York;NY;Kosher;;;(212-833-7800)
;;;;;;;;;Song 7.2;East Village; 117 Second Ave-at 7th St;117 2nd Ave;New York;NY;Asian: Pan-Asian;;;(212-777-1286)
;;;;;;;;;Sonia Rose;Lower East Side; 74 Orchard St-at Grand St;74 Orchard St;New York;NY;French;;;(212-260-5317)
;;;;;;;;;Sookk;Upper West Side; 2686 Broadway-between 102nd and 103rd Sts;2686 Broadway;New York;NY;Asian: Pan-Asian;;;(212-870-0253)
;;;;;;;;;Sophie’s Restaurant;Tribeca; 96 Chambers St-between Broadway and Church St;96 Chambers St;New York;NY;Caribbean: Cuban;;;(212-608-9900)
;;;;;;;;;Sorella;Lower East Side; 95 Allen St-between Broome and Delancey Sts;95 Allen St;New York;NY;Italian;;;(212-274-9595)
;;;;;;;;;Sortie;Midtown West; 329 51st St-between Eighth and Ninth Aves;329 W 51st St;New York;NY;Eclectic;;;(212-265-0650)
;;;;;;;;;Sosa Borella;Midtown West; 832 Eighth Ave-between 50th and 51st Sts;832 8th Ave;New York;NY;Italian;;;(212-262-8282)
;;;;;;;;;Sosa Borella (CLOSED);Tribeca; 460 Greenwich St-between Desbrosses and Watts Sts;460 Greenwich St;New York;NY;Italian;;;(212-431-5093)
;;;;;;;;;Soto;West Village; 357 Sixth Ave-at Washington Pl;357 6th Ave;New York;NY;Japanese;;;(212-414-3088)
;;;;;;;;;Souen;Soho; 210 Sixth Ave-at Prince St;210 6th Ave;New York;NY;Vegetarian & Organic;;;(212-807-7421)
;;;;;;;;;Souen Organic Ramen;;326 E 6th St -;;New York;NY;;;;
;;;;;;;;;Soul;Chelsea;Spirit Nightclub -530 W 27th Stbetween Tenth and Eleventh Aves;;New York;NY;Vegetarian & Organic;;;(212-268-9477)
;;;;;;;;;Soul Cafe;Midtown West; 444 W 42nd St-between Ninth and Tenth Aves;444 W 42nd St;New York;NY;American Regional;;;(212-244-7685)
;;;;;;;;;Soup Man;Midtown East; 501 Fifth Ave-at 42nd St;501 5th Ave;New York;NY;American;;;(212-599-5900)
;;;;;;;;;Soupman Café;Harlem; 2046 Adam Clayton Powell Jr. Blvd (Seventh Ave)-between 122nd and 123rd Sts;2046 Adam Clayton Powell Jr Blvd;New York;NY;American;;;(212-666-7551)
;;;;;;;;;South Gate;Midtown West; 154 Central Park South-between Sixth and Seventh Aves;154 Central Park S;New York;NY;American;;;(212-484-5120)
;;;;;;;;;SouthWestNY;Financial District; 2 World Ficial Center-between Liberty and Vesey Sts;Two World Trade Center;New York;NY;American Regional;;;(212-945-0528)
;;;;;;;;;Soy;Lower East Side; 102 Suffolk St-between Delancey and Rivington Sts;102 Suffolk St;New York;NY;Japanese;;;(212-253-1158)
;;;;;;;;;Soy Luck Club;West Village; 115 Greenwich Ave-at Jane St;115 Greenwich Ave;New York;NY;Vegetarian & Organic;;;(212-229-9191)
;;;;;;;;;SpaHa Café;;1872 Lexington Ave -;;New York;NY;;;;
;;;;;;;;;Spanky’s BBQ (CLOSED);;127 W 43rd St -;;New York;NY;;;;
;;;;;;;;;Spice;Greenwich Village; 60 University Pl-between 10th and 11th Sts;60 University Pl;New York;NY;Thai;;;(212-982-3758)
;;;;;;;;;Spice Cove;East Village; 326 E 6th St-between First and Second Aves;326 E 6th St;New York;NY;Indian;;;(212-674-8884)
;;;;;;;;;Spice Market;Meatpacking District; 403 W 13th St-at Ninth Ave;403 W 13th St;New York;NY;Indian;;;(212-675-2322)
;;;;;;;;;Spiga;Upper West Side; 200 W 84th St-at Amsterdam Ave;200 W 84th St;New York;NY;Italian;;;(212-362-5506)
;;;;;;;;;Spigolo;Upper East Side; 1561 Second Ave-at 81st St;1561 2nd Ave;New York;NY;Italian;;;(212-744-1100)
;;;;;;;;;Spotlight Live;Midtown West; 1604 Broadway-between 48th and 49th Sts;1604 Broadway;New York;NY;American;;;(212-262-1111)
;;;;;;;;;Spotlight Live (CLOSED);;1604 Broadway -;;New York;NY;;;;
;;;;;;;;;Spunto;;65 Carmine St -;;New York;NY;;;;
;;;;;;;;;Square Meal;Upper East Side; 30 E 92nd St-between Fifth and Madison Aves;30 E 92nd St;New York;NY;American;;;(212-860-9872)
;;;;;;;;;Staghorn Steakhouse;Midtown West; 315 W 36th St-between Eighth and Ninth Aves;315 W 36th St;New York;NY;Steakhouses;;;(212-239-0923)
;;;;;;;;;Stand;Greenwich Village; 24 E 12th St-between Fifth Ave and University Pl;24 E 12th St;New York;NY;American;;;(212-488-5900)
;;;;;;;;;Stanton;Upper East Side; 244 E 79th St-between Second and Third Aves;244 E 79th St;New York;NY;Eclectic;;;(212-537-7745)
;;;;;;;;;Steak Frites;Soho; 225 Varick St-at Clarkson St;225 Varick St;New York;NY;Steakhouses;;;(212-463-7101)
;;;;;;;;;Stella Maris;Financial District; 213 Front St-between Beekman St and Peck Slip;213 Front St;New York;NY;French;;;(212-233-2417)
;;;;;;;;;Stogo;East Village; 159 Second Ave-at 10th St;159 2nd Ave;New York;NY;Food or Beverage Shop;;;(212-677-2301)
;;;;;;;;;Sueños;Chelsea; 311 W 17th St-between Eighth and Ninth Aves;311 W 17th St;New York;NY;Mexican;;;(212-243-1333)
;;;;;;;;;Sugar Bar;Upper West Side; 254 W 72nd St-between Broadway and West End Ave;254 W 72nd St;New York;NY;Caribbean;;;(212-579-0222)
;;;;;;;;;Sugar Hill Bistro (CLOSED);Columbia University–City College; 458 W 145th St-between Convent and Amsterdam Aves;458 W 145th St;New York;NY;American Regional;;;(212-491-5505)
;;;;;;;;;Sugiyama;Midtown West; 251 W 55th St-between Broadway and Eighth Ave;251 W 55th St;New York;NY;Japanese;;;(212-956-0670)
;;;;;;;;;Sullivan Diner;Greenwich Village; 169 Sullivan St-at W Houston St;169 Sullivan St;New York;NY;Cafés & diners;;;(212-228-6091)
;;;;;;;;;Sullivan Street Bakery;Midtown West; 533 W 47th St-between Tenth and Eleventh Aves;533 W 47th St;New York;NY;Food or Beverage Shop;;;(212-265-5580)
;;;;;;;;;Sundaes and Cones;East Village; 95 E 10th St-at Third Ave;95 E 10th St;New York;NY;Cafés;;;(212-979-9398)
;;;;;;;;;Sunrise Mart;East Village;4 Stuyvesant St -between Third Ave and E 9th Stsecond floor;;New York;NY;Food or Beverage Shop;;;(212-598-3040)
;;;;;;;;;Sunshine Restaurant;Chinatown/Little Italy; 46 Bowery-between Bayard and Canal Sts;46 Bowery;New York;NY;Chinese;;;(212-374-1319)
;;;;;;;;;Super Taste;Chinatown/Little Italy; 26 Eldridge St-at Canal St;26 Eldridge St;New York;NY;Chinese;;;(212-625-1198)
;;;;;;;;;Supermac;Chelsea; 348 Seventh Ave-between 29th and 30th Sts;348 7th Ave;New York;NY;American;;;(212-760-1900)
;;;;;;;;;Supper;East Village; 156 E 2nd St-between Aves A and B;156 E 2nd St;New York;NY;Italian;;;(212-477-7600)
;;;;;;;;;Surf City Squeeze;West Village; 266 Bleecker St-between Sixth and Seventh Aves;266 Bleecker St;New York;NY;American;;;(212-627-2431)
;;;;;;;;;Surya;West Village; 302 Bleecker St-between Seventh Ave South and Grove St;302 Bleecker St;New York;NY;Indian;;;(212-807-7770)
;;;;;;;;;Sushi A-Go-Go;Upper West Side; 1900 Broadway-between 63rd and 64th Sts;1900 Broadway;New York;NY;Japanese;;;(212-724-7340)
;;;;;;;;;Sushi Azabu;Tribeca; 428 Greenwich St-between Laightand Vestry Sts;428 Greenwich St;New York;NY;Japanese;;;(212-274-0428)
;;;;;;;;;Sushi Hana;Upper East Side; 1501 Second Ave-at 78th St;1501 2nd Ave;New York;NY;Japanese;;;(212-327-0582)
;;;;;;;;;Sushi Masa;Midtown East; 141 E 47th St-between Lexington and Third Aves;141 E 47th St;New York;NY;Japanese;;;(212-715-0837)
;;;;;;;;;Sushi Samba;Gramercy/Flatiron; 245 Park Ave South-between 19th and 20th Sts;245 Park Ave S;New York;NY;Japanese;;;(212-475-9377)
;;;;;;;;;Sushi Seki;Upper East Side; 1143 First Ave-between 62nd and 63rd Sts;1143 1st Avenue;New York;NY;Japanese;;;(212-371-0238)
;;;;;;;;;Sushi Yasuda;Midtown East; 204 E 43rd St-between Second and Third Aves;204 E 43rd St;New York;NY;Japanese;;;(212-972-1001)
;;;;;;;;;Sushi Yawa;Greenwich Village; 25 W 8th St-at MacDougal St;25 W 8th St;New York;NY;Japanese;;;(212-253-9888)
;;;;;;;;;Sushi Zen;Midtown West; 108 W 44th St-between Sixth Ave and Broadway;108 W 44th St;New York;NY;Japanese;;;(212-302-0707)
;;;;;;;;;Sushi of Gari;Upper East Side; 402 E 78th St-between First and York Aves;402 E 78th St;New York;NY;Japanese;;;(212-517-5340)
;;;;;;;;;Sushi of Gari 46;Midtown West; 347 W 46th St-between Eighth and Ninth Aves;347 W 46th St;New York;NY;Japanese;;;(212-957-0046)
;;;;;;;;;SushiAnn;Midtown East; 38 E 51st St-between Madison and Park Aves;38 E 51st St;New York;NY;Japanese;;;(212-755-1780)
;;;;;;;;;Svenningsen’s;Midtown East; 292 Fifth Ave-between 30th and 31st Sts;292 5th Ave;New York;NY;Seafood;;;(212-465-1888)
;;;;;;;;;Sweet Emily’s;;321 W 51st St -;;New York;NY;;;;
;;;;;;;;;Sweet Revenge;West Village; 62 Carmine St-between Bedford St and Seventh Ave;62 Carmine St;New York;NY;American;;;(212-242-2240)
;;;;;;;;;Sweet-n-Tart Cafe (CLOSED);Chinatown/Little Italy; 76 Mott St-at Canal St;76 Mott St;New York;NY;Chinese;;;(212-334-8088)
;;;;;;;;;Sweetiepie;West Village; 19 Greenwich Ave-at 10th St;19 Greenwich Ave;New York;NY;American;;;(212-337-3333)
;;;;;;;;;Swish;Greenwich Village; 88 W 3rd St-between Sullivan and Thompson Sts;88 W 3rd St;New York;NY;Japanese;;;(212-777-8808)
;;;;;;;;;Sylvia’s;Harlem; 328 Malcolm X Blvd (Lenox Ave)-between 126th and 127th Sts;328 Malcolm X Blvd;New York;NY;American Regional;;;(212-996-0660)
;;;;;;;;;Szechuan Gourmet;Midtown West; 21 West 39th St-between Fifth and Sixth Ave;21 W 39th St;New York;NY;Chinese;;;(212-921-0233)
;;;;;;;;;S’Mac;East Village; 345 E 12th St-between First and Second Aves;345 E 12th St;New York;NY;American;;;(212-358-7912)
;;;;;;;;;T Salon;Chelsea;Chelsea Market -459 W 15th Stbetween Ninth and Tenth Aves;;New York;NY;Cafés & diners;;;(212-243-2259)
;;;;;;;;;TOM: Tuesday Dinner;Gramercy/Flatiron; 47 E 19th St-between Broadway and Park Ave;47 E 19th St;New York;NY;American Creative;;;(212-400-6495)
;;;;;;;;;Taam Tov;Midtown West;41 W 47th St -between Fifth and Sixth Avessecond floor;;New York;NY;Kosher;;;(212-768-8001)
;;;;;;;;;Taboon;Midtown West; 773 Tenth Ave-at 52nd St;773 10th Ave;New York;NY;Middle Eastern;;;(212-713-0271)
;;;;;;;;;Tadka;Midtown East; 229 E. 53rd St-between Second and Third Aves;229 E 53rd St;New York;NY;Indian;;;(212-355-9660)
;;;;;;;;;Tafu;Midtown East; 569 Lexington Ave-at 51st St;Double tree Metropolitan;New York;NY;Cafés & diners;;;(212-980-1310)
;;;;;;;;;Tai;Chinatown/Little Italy; 223 Mulberry St-between Prince and Spring Sts;223 Mulberry St;New York;NY;Thai;;;(212-965-0439)
;;;;;;;;;Tailor;Soho; 525 Broome St-between Thompson and Sullivan Sts;525 Broome St;New York;NY;Cafés & diners;;;(212-334-5182)
;;;;;;;;;Taj Mahal;East Village; 318 E 6th St-between First and Second Aves;318 E 6th St;New York;NY;Indian;;;(212-529-2217)
;;;;;;;;;Taja;Upper East Side; 1425 Second Ave-between 74th and 75th Sts;1425 2nd Ave;New York;NY;Moroccan;;;(212-734-9940)
;;;;;;;;;Takahachi;East Village; 85 Ave A-between 5th and 6th Sts;85 Avenue A;New York;NY;Japanese;;;(212-505-6524)
;;;;;;;;;Taksim;East Village; 99 Second Ave-between 5th and 6th Sts;99 2nd Ave;New York;NY;Turkish;;;(212-979-5400)
;;;;;;;;;Talia’s Steakhouse & Bar;Upper West Side; 668 Amsterdam Ave-between 92nd and 93rd Sts;668 Amsterdam Ave;New York;NY;Kosher;;;(212-580-3770)
;;;;;;;;;Tamarind;Upper West Side; 424 Amsterdam Ave-between 80th and 81st Sts;424 Amsterdam Ave;New York;NY;Indian;;;(212-712-1900)
;;;;;;;;;Tamarind Tea Room;Gramercy/Flatiron; 43 E 22nd St-between Broadway and Park Ave South;43 E 22nd St;New York;NY;Indian;;;(212-674-7400)
;;;;;;;;;Tang Pavilion;Midtown West; 65 W 55th St-between Fifth and Sixth Aves;65 W 55th St;New York;NY;Chinese;;;(212-956-6888)
;;;;;;;;;Tanti Baci Flower Room;West Village; 135 Seventh Ave South-between Charles and W 10th Sts;135 7th Ave S;New York;NY;Italian;;;(212-727-8333)
;;;;;;;;;Tao;Midtown East; 42 E 58th St-between Madison and Park Aves;42 E 58th St;New York;NY;Asian: Pan-Asian;;;(212-888-2288)
;;;;;;;;;Tapeo 29;Lower East Side; 29 Clinton St-at Stanton St;29 Clinton St;New York;NY;Spanish;;;(212-979-0002)
;;;;;;;;;Taperia Madrid;Upper East Side; 1471 Second Ave-between 76th and 77th Sts;1471 2nd Ave;New York;NY;Spanish;;;(212-794-2923)
;;;;;;;;;Taqueria California;Columbia University–City College; 3151 Broadway-between LaSalle St and Tiemann Pl;3151 Broadway;New York;NY;Mexican;;;(212-665-7338)
;;;;;;;;;Tarallucci e Vino;Gramercy/Flatiron; 15 E 18th St-between Fifth Ave and Broadway;15 E 18th St;New York;NY;Cafés;;;(212-228-5400)
;;;;;;;;;Tartine;West Village; 253 W 11th St-at 4th St;253 W 11th St;New York;NY;French;;;(212-229-2611)
;;;;;;;;;Taste;Upper East Side; 1413 Third Ave-at 80th St;1413 3rd Ave;New York;NY;American;;;(212-717-9798)
;;;;;;;;;Taste Good II;Chinatown/Little Italy; 53 Bayard St-between Bowery and Elizabeth St;53 Bayard St;New York;NY;Asian: Malaysian;;;(212-513-0818)
;;;;;;;;;Tavern on the Green;Upper West Side; Central Park West-at 67th St;Central Park West;New York;NY;American;;;(212-873-3200)
;;;;;;;;;Taïm;West Village; 222 Waverly Pl-at W 11th St and Seventh Ave;222 Waverly Pl;New York;NY;Middle Eastern;;;(212-691-1287)
;;;;;;;;;Tea & Sympathy;West Village; 108–110 Greenwich Ave-between 12th and 13th Sts;108 Greenwich Ave;New York;NY;British & Irish;;;(212-989-9735)
;;;;;;;;;Tebaya;Chelsea; 144 W 19th St-between Sixth and Seventh Aves;144 W 19th St;New York;NY;Japanese;;;(212-924-3335)
;;;;;;;;;Telepan;Upper West Side; 72 W 69th St-at Columbus Ave;72 W 69th St;New York;NY;American;;;(212-580-4300)
;;;;;;;;;Tello’s;Chelsea; 263 W 19th St-between Seventh and Eighth Aves;263 W 19th St;New York;NY;Italian;;;(212-691-8696)
;;;;;;;;;Temple;East Village; 81 St. Marks Pl-at First Ave;81 St Marks Pl;New York;NY;Korean;;;(212-979-9300)
;;;;;;;;;Tenement;Lower East Side; 157 Ludlow St-between Rivington and Stanton Sts;157 Ludlow St;New York;NY;Eclectic;;;(212-598-2130)
;;;;;;;;;Teodora;Midtown East; 141 E 57th St-between Lexington and Third Aves;141 E 57th St;New York;NY;Italian;;;(212-826-7101)
;;;;;;;;;Terra Cafe;Washington Heights; 7 Henshaw St-between Dyckman Ave and Riverside Dr;7 Henshaw St;New York;NY;Latin American;;;(212-567-6500)
;;;;;;;;;Terrace in the Sky;Columbia University–City College; 400 W 119th St-between Morningside Dr and Amsterdam Ave;Butler Hall;New York;NY;French;;;(212-666-9490)
;;;;;;;;;Terroir;East Village; 413 E 12th St-between First Ave and Ave A;413 E 12th St;New York;NY;Eclectic;;;(no phone)
;;;;;;;;;Tet;East Village; 83 Ave A-between 5th and 6th Sts;83 Avenue A;New York;NY;Vietnamese;;;(212-253-0800)
;;;;;;;;;Thai Select;Midtown West; 472 Ninth Ave-between 36th and 37th Sts;472 9th Ave;New York;NY;Thai;;;(212-695-9920)
;;;;;;;;;Thai on Clinton;Lower East Side; 6 Clinton St-between Houston and Stanton Sts;6 Clinton St;New York;NY;Thai;;;(212-228-9388)
;;;;;;;;;Thalia;Midtown West; 828 Eighth Ave-at 50th St;828 8th Ave;New York;NY;American;;;(212-399-4444)
;;;;;;;;;The Basil (CLOSED);Chelsea; 206 W 23rd St-between Seventh and Eighth Aves;206 W 23rd St;New York;NY;Thai;;;(212-242-1014)
;;;;;;;;;The Bean;Greenwich Village; 446 Sixth Ave-between 10th and 11th Sts;446 6th Ave;New York;NY;Cafés;;;(212-777-0402)
;;;;;;;;;The Bean Café;Lower East Side; 118 Orchard St-at Delancey St;118 Orchard St;New York;NY;Cafés;;;(212-253-2075)
;;;;;;;;;The Bourgeois Pig;East Village; 111 E 7th St-between First Ave and Ave A;111 E 7th St;New York;NY;Cafés & diners;;;(212-475-2246)
;;;;;;;;;The Bourgeois Pig West;Greenwich Village; 124 MacDougal St-between W 3rd and Bleecker Sts;124 MacDougal St;New York;NY;Cafés & diners;;;(212-254-0575)
;;;;;;;;;The Burger Joint;Gramercy/Flatiron; 241 Third Ave-at 20th St;241 3rd Ave;New York;NY;American;;;(212-228-1219)
;;;;;;;;;The Burger Joint (CLOSED);Greenwich Village; 190 Bleecker St near MacDougal St-;190 Bleecker St;New York;NY;American;;;(212-254-2380)
;;;;;;;;;The Cottage;Gramercy/Flatiron; 33 Irving Pl-between 15th and 16th Sts;33 Irving Pl;New York;NY;Chinese;;;(212-505-8600)
;;;;;;;;;The Diner;Meatpacking District; 44 Ninth Ave-at 14th St;44 9th Ave;New York;NY;American;;;(212-627-2230)
;;;;;;;;;The E.U.;East Village; 235 E 4th St-between Aves A and B;235 E 4th St;New York;NY;Eclectic;;;(212-254-2900)
;;;;;;;;;The E.U. (CLOSED);;235 E 4th St -;;New York;NY;;;;
;;;;;;;;;The Ear Inn;Soho; 326 Spring St-between Greenwich and Wash-ington Sts;326 Spring St;New York;NY;American;;;(212-226-9060)
;;;;;;;;;The Elephant;East Village; 58 E 1st St-between First and Second Aves;58 E 1st St;New York;NY;Thai;;;(212-505-7739)
;;;;;;;;;The Gallery;Soho;SoHo Grand Hotel -310 West Broadwaybetween Canal and Grand Sts;;New York;NY;American;;;(212-965-3000)
;;;;;;;;;The Grand Tier;Upper West Side;Lincoln Center -132 W 65th Stbetween Amsterdam and ColumbusAves;;New York;NY;American;;;(212-799-3400)
;;;;;;;;;The Great Burrito;Upper West Side; 405 Amsterdam Ave-at 79th St;405 Amsterdam Ave;New York;NY;Mexican;;;(212-724-5151)
;;;;;;;;;The Green Table;Chelsea;Chelsea Market -75 Ninth Aveat 16th St;;New York;NY;Vegetarian & Organic;;;(212-741-9174)
;;;;;;;;;The Half King;Chelsea; 505 W 23rd St-between Tenth and Eleventh Aves;505 W 23rd St;New York;NY;American;;;(212-462-4300)
;;;;;;;;;The Harrison;Tribeca; 355 Greenwich St-at Harrison St;355 Greenwich St;New York;NY;American;;;(212-274-9310)
;;;;;;;;;The Heights Bar & Grill;Upper West Side;2867 Broadway -between 111th and 112th Stssecond floor;;New York;NY;American;;;(212-866-7035)
;;;;;;;;;The Hideaway;Tribeca; 185 Duane St near Greenwich St-;185 Duane St;New York;NY;American Creative;;;(212-334-5775)
;;;;;;;;;The House;Gramercy/Flatiron; 121 E 17th St-between Park Ave South and Irving Pl;121 E 17th St;New York;NY;Eclectic;;;(212-353-2121)
;;;;;;;;;The Inn LW12;Meatpacking District; 7 Ninth Ave-at Little W 12th St;7 9th Ave;New York;NY;Eclectic;;;(212-206-0300)
;;;;;;;;;The Jamaican Dutchy;Midtown West; W 51st St-at Seventh Ave;W 51st St;New York;NY;Caribbean: Jamaican;;;
;;;;;;;;;The John Dory;Chelsea; 85 Tenth Ave-between 15th and 16th Sts;US-NYC-8510;New York;NY;British & Irish;;;(212-929-4948)
;;;;;;;;;The Kitchen Club;Chinatown/Little Italy; 30 Prince St-at Mott St;Little Cupcake Bakeshop (Meeting Place);New York;NY;Eclectic;;;(212-274-0025)
;;;;;;;;;The Libertine;Financial District; 15 Gold St-at Platt St;15 Gold St;New York;NY;American;;;(212-785-5950)
;;;;;;;;;The Little Bigger Place;Financial District; 61 Warren St-at West Broadway;61 Warren St;New York;NY;Mexican;;;(212-528-3175)
;;;;;;;;;The Little Owl;West Village; 90 Bedford St-at Grove St;Apartment Building from the TV Show Friends;New York;NY;Mediterranean;;;(212-741-4695)
;;;;;;;;;The Mad Hatter Saloon;Gramercy/Flatiron; 360 Third Ave-between 26th and 27th Sts;360 3rd Ave;New York;NY;British & Irish;;;(212-696-2122)
;;;;;;;;;The Mambo Lounge;Midtown West; 323–327 W 44th St-between Eighth and Ninth Aves;323 W 44th St;New York;NY;Latin American;;;(212-262-1111)
;;;;;;;;;The Manhattan Ocean Club (CLOSED);Midtown West; 57 W 58th St-between Fifth and Sixth Aves;57 W 58th St;New York;NY;Seafood;;;(212-371-7777)
;;;;;;;;;The Mercer Kitchen;Soho;The Mercer -99 Prince Stat Mercer St;;New York;NY;American Creative;;;(212-966-5454)
;;;;;;;;;The Mermaid Inn;East Village; 96 Second Ave-between 5th and 6th Sts;96 2nd Ave;New York;NY;Seafood;;;(212-674-5870)
;;;;;;;;;The New French;West Village; 522 Hudson St-at 10th St;522 Hudson St;New York;NY;Eclectic;;;(212-807-7357)
;;;;;;;;;The Noho Star;East Village; 330 Lafayette St-at Bleecker St;330 Lafayette St;New York;NY;American;;;(212-925-0070)
;;;;;;;;;The Oak Room;; -;;New York;NY;American;;;
;;;;;;;;;The Orchard;Lower East Side; 162 Orchard-between Rivington and Stanton Sts;WASSAIL;New York;NY;Italian;;;(212-353-3570)
;;;;;;;;;The Organic Grill;East Village; 123 First Ave-between St. Marks Pl and E 7th St;123 1st Avenue;New York;NY;Vegetarian & Organic;;;(212-477-7177)
;;;;;;;;;The Palm;Midtown East; 837 Second Ave-between 44th and 45th Sts;837 2nd Ave;New York;NY;Steakhouses;;;(212-687-2953)
;;;;;;;;;The Palm Court (CLOSED);Midtown West;The Plaza Hotel -768 Fifth Aveat Central Park South;;New York;NY;French;;;(212-759-3000)
;;;;;;;;;The Palm Too;Midtown East; 840 Second Ave-between 44th and 45th Sts;840 2nd Ave;New York;NY;Steakhouses;;;(212-697-5198)
;;;;;;;;;The Palm Tribeca;Tribeca; 206 West St-between Chambers and Warren Sts;206 West St;New York;NY;Steakhouses;;;(646-395-6393)
;;;;;;;;;The Park;Chelsea; 118 10th Ave-at 18th St;118 10th Ave;New York;NY;American;;;(212-352-3313)
;;;;;;;;;The Park Room;second floor;The Helmsley Park Lane Hotel -36 Central Park Southbetween Fifth and Sixth Aves;;New York;NY;(212-521-6655);;;Midtown West
;;;;;;;;;The Pink Tea Cup;West Village; 42 Grove St-between Bedford and Bleecker Sts;42 Grove St;New York;NY;American Regional;;;(212-807-6755)
;;;;;;;;;The Place;West Village; 310 W 4th St-between Bank and W 12th Sts;310 West 4th Street;New York;NY;Mediterranean;;;(212-924-2711)
;;;;;;;;;The Prime Grill;Midtown East; 60 E 49th St-between Madison and Park Aves;60 E 49th St;New York;NY;Kosher;;;(212-692-9292)
;;;;;;;;;The Red Cat;Chelsea; 227 Tenth Ave-between 23rd and 24th Sts;227 Amsterdam Ave;New York;NY;American;;;(212-242-1122)
;;;;;;;;;The Redhead;East Village; 349 E 13th St-between First and Second Aves;349 E 13th St;New York;NY;American;;;(212-533-6212)
;;;;;;;;;The River Room (formerly Earl Monroe’s);Columbia University–City College; 145th St-in Riverside Drive;W 145th St;New York;NY;American Creative;;;(212-491-1500)
;;;;;;;;;The Russian Tea Room;Midtown West; 150 W 57th St-between Sixth and Seventh Aves;150 W 57th St;New York;NY;Russian;;;(212-581-7100)
;;;;;;;;;The Shark Bar Restaurant;Upper West Side; 307 Amsterdam Ave-between 74th and 75th Sts;307 Amsterdam Ave;New York;NY;American Regional;;;(212-874-8500)
;;;;;;;;;The Sheep Meadow Cafe;Upper West Side; Entrance on Central Park West-at 69th St;Entrance on Central Park West;New York;NY;American;;;(212-396-4100)
;;;;;;;;;The Smith;East Village; 55 Third Ave-between 10th and 11th Sts;55 3rd Ave;New York;NY;American;;;(212-420-9800)
;;;;;;;;;The Soda Shop;Tribeca; 125 Chambers St-at West Broadway;125 Chambers St;New York;NY;Cafés & diners;;;(212-571-1100)
;;;;;;;;;The Spotted Pig;West Village; 314 W 11th St-at Greenwich St;314 W 11th St;New York;NY;Eclectic;;;(212-620-0393)
;;;;;;;;;The Stanton Social;Lower East Side; 99 Stanton St-at Ludlow St;99 Stanton St;New York;NY;Eclectic;;;(212-995-0099)
;;;;;;;;;The Sunburnt Cow;East Village; 137 Ave C-between 8th and 9th Sts;137 Loisaida Ave;New York;NY;Australian & New Zealand;;;(212-529-0005)
;;;;;;;;;The Townhouse;Midtown East; 206 E 58th St-between Second and Third Aves;206 E 58th St;New York;NY;American;;;(212-826-6241)
