;0_restaurant;0_address;0_country
3236;International Food House Inc;217 Dyckman St;New York
3237;International Food House Restaurant & Buffet;240 West 35th Street;New York
3238;International House of NY;500 Riverside Drive;New York
3239;International Poultry Co;1133 Madison Ave;New York
3240;International Poultry Co Inc;983 1st Ave;New York
3241;Ipanema Restaurant;13 W 46th St;New York
3242;Ipoh Garden Malaysian Chinese;13 Eldridge St # 1;New York
3243;Ireland Inn;71 W 23rd St;New York
3244;Iridium Banquet Office;1600 Broadway # 500;New York
3245;Iridium Jazz Club;44 W 63rd St;New York
3246;Irish Eyes;5008 Broadway;New York
3247;Irish Punt The;40 Exchange Pl;New York
3248;Iroha Japanese Restaurant;152 W 49th St;New York
3249;Isabellas Restaurant;359 Columbus Ave;New York
3250;Isadoras Cafe;16 E 52ndst Frrnt;
3251;Ise Japanese Restaurant;58 W 56th St # 1;New York
3252;Ise Restaurant Inc;151 E 49th St;New York
3253;Isk Manhattan Inc;1271 Avenue Of The Americas;New York
3254;Island;1305 Madison Ave;New York
3255;Island Grill;2 Lafayette St;New York
3256;Island Sun Restaurant & Bakery;547 Malcolm X Blvd;New York
3257;Isle Of Capri Inc;1028 3rd Ave;New York
3258;Iso Restaurant;175 2nd Ave;New York
3259;Isohama Japanese Restaurant;1666 3rd Ave;New York
3260;Isola Restaurant;485 Columbus Ave;New York
3261;Istanbul Turkish Cuisine;413 Amsterdam Ave;New York
3262;It's A Dominican Thing;144 West 19th Street;New York
3263;Italia CIAO Pizzeria Ristorante Corporat;153 Chambers Street;New York
3264;Italianissimo Ristorante;307 East 84th Street;New York
3265;Italy On The Hudson;305 W 10th St;New York
3266;Ithaka Restaurant;48 Barrow St # 1014;New York
3267;Ithaka Restaurant;308 East 86th Street;New York
3268;Its A Wrap;2012 Broadway # 1;New York
3269;Ivoire Restaurant;76 E 119th St # 1;New York
3270;Ivy Bistro;385 Greenwich St;New York
3271;J & C Deli Restaurant;315 W 39th St;New York
3272;J & J Coffee Shop;442 E 14th St # 1;New York
3273;J & W Fish & Chips;101 Lenox Ave;New York
3274;J D French Grill Inc;200 Church St # 1;New York
3275;J D Restaurant;206 E 52nd St;New York
3276;J D Rushs Restauant & Bar;32 Cliff St # 1;New York
3277;J G Melon Restaurant;1291 3rd Ave;New York
3278;J L Segull Chinese Restaurant;133 Ludlow St;New York
3279;J P Loflands New York Grill;15 John St;New York
3280;J R Cafe;250 E 58th St;New York
3281;J R Restaurant;264 W 46th St;New York
3282;J Ts American Italian Grill;American;
3283;J Ts American Italian Grill;301 Madison Ave # 1;New York
3284;J Ws Steakhouse;1535 Broadway;New York
3285;Jab Foods Inc;250 W 34th St # C;New York
3286;Jabrell Il Food Market;764 Columbus Ave;New York
3287;Jack;80 University Pl.;New York
3288;Jack Dempsey Restaurant;61 2nd Ave;New York
3289;Jack The Ripper;228 W 4th St;New York
3290;Jack's Restaurant And Bar;147 W40th Street;
3291;Jacks Restaurant & Bar;Family/Casual;
3292;Jacks Restaurant & Bar;147 West 40th Street;New York
3293;Jackson Hole Burgers;232 E 64th St;
3294;Jackson Hole Burgers;521 3rd Ave;New York
3295;Jackson Hole Burgers;517 Columbus Ave;New York
3296;Jackson Hole Burgers;1611 2nd Ave # 1;New York
3297;Jackson Hole Burgers;1270 Madison Ave # 1;New York
3298;Jacques Cafe;200 E 85th St;New York
3299;Jad Food Svc Inc;115 E 57th St # 410;New York
3300;Jade House;4028 Broadway;New York
3301;Jade Kitchen;534 E 14th St;New York
3302;Jade Mountain Restaurant;197 2nd Ave;New York
3303;Jai Ya Thai Restaurant;396 3rd Ave;New York
3304;Jamaican Hot Pot Restrnt;2260 7th Ave;New York
3305;Jamesons Bar Restrnt;975 2nd Ave;New York
3306;Jams Restaurant & Deli;Jamaican;
3307;Jams Restaurant & Deli;518 9th Avenue Frnt;New York
3308;Jane's;736 Broadway;New York
3309;Japanese Restaurant;56 3rd Ave;New York
3310;Japas;11 Saint Marks Pl;New York
3311;Japonica Restaurant;100 University Pl;New York
3312;Jasmine;1619 2nd Avenue;New York
3313;Jat Restaurant;1333 Broadway;New York
3314;Jat Restaurant;302 W 38th St;New York
3315;Java Shop;1611 Broadway;New York
3316;Jaya Malaysian Restaurant;90 Baxter St;New York
3317;Jazz Standard;116 E 27th St;New York
3318;Jct Coffee Shop Inc;5009 Broadway # 1;New York
3319;Jean Claude Restaurant;137 Sullivan St;New York
3320;Jean Georges Restaurant;1 Central Park W;New York
3321;Jean Lafitte Restaurant;68 W 58th St;New York
3322;Jeeb;154 Orchard Street;New York
3323;Jennifers Restaurant;117 W 58th St;New York
3324;Jeremys Ale House Also Inc;254 Front St;New York
3325;Jerrys Restaurant;101 Prince St;New York
3326;Jerusalem Pita Inc;212 E 45th St;New York
3327;Jewel Of India Restaurant;15 W 44th St;New York
3328;Jewelers Restaurant;27 W 47th St;New York
3329;Jezebel;630 9th Ave;New York
3330;Jim Bradys Restaurant;75 Maiden Ln;New York
3331;Jimbos Coffee Shop;1345 Amsterdam Ave;New York
3332;Jimbos Hamburger Place;991 1st Ave;New York
3333;Jimmy Oro Restaurant;711 W 181st St # 1;New York
3334;Jimmy Sung Restaurant;219 East 44th;New York
3335;Jimmy Walkers Restaurant;245 E 55th St;New York
3336;Jimmys Bronx Cafe;2207 7th Ave;New York
3337;Jimmys Coffee Shop;1151 Madison Ave;New York
3338;Jimmys Food Restaurant;1544 Madison Ave # 1043;New York
3339;Jin Lian Foo Chow Restaurant Inc;68 E Broadway;New York
3340;Jing Fong Restaurant;20 Elizabeth St;New York
3341;Jing Hua;580 Amsterdam Ave;New York
3342;Jo Jo Restaurant;160 E 64th St;New York
3343;Jo-an Japanese Restaurant;2707 Broadway # 1;New York
3344;Joanies Restaurant;126 E 28th St;New York
3345;Joannas Restaurant;30 E 92nd St;New York
3346;Joe Allen Restaurant;326 W 46th St;New York
3347;Joe Eureka;168 5th Ave # 1;New York
3348;Joe Jr. Restaurant;482 Avenue Of The Americas;New York
3349;Joe Jr. Restaurant;American;
3350;Joe Ls Restaurant;200 Bennett Ave # 3h;New York
3351;Joe O's;136 West 33rd Street;New York
3352;Joes Again;230 W 4th St;New York
3353;Joes Jr Restaurant;167 3rd Ave;New York
3354;Joes Pizza Francisca Salce;1121 Saint Nicholas Ave;New York
3355;Joes Shanghai Restaurant;9 Pell St # 1;New York
3356;Joeys Paesano;205 W 43rd St;New York
3357;John & Jack;2130 2nd Ave;New York
3358;John Barry's;38 West 39th St;New York
3359;John Street Bar & Grill;17 John St;New York
3360;Johnneys Fish Grill Inc;250 Vesey St;New York
3361;Johnnies Italian Restaurant;135 W 45th St;New York
3362;Johnny Rocket;University And 8th Avenue;New York
3363;Johns Fried Chicken;512 W 207th St;New York
3364;Johns Gyro & Souvlaki;370 W 58th St;New York
3365;Johns Pizzeria;48 W 65th St;New York
3366;Johns Pizzeria;408 E 64th St;New York
3367;Johns Pizzeria;278 Bleecker St;New York
3368;Johns Restaurant;823 2nd Ave;New York
3369;Johns Restaurant;302 E 12th St;New York
3370;Johnys;124 W 25th St;New York
3371;Jolly King Inc;44 Bowery;New York
3372;Jonathans Restaurant;42 W 58th St;New York
3373;Jones Diner;371 Lafayette St;New York
3374;Jonesie Coffee Shop;400 Manhattan Ave;New York
3375;Josephine Restaurant;1900 Broadway # 1;New York
3376;Josephs;50 W 72nd St;New York
3377;Josephs Restaurant;3 Hanover Sq;New York
3378;Joshua Tree;366 W. 46th Street;New York
3379;Joshua Tree Inc;513 3rd Ave;New York
3380;Jou Jou Inc;603 W 168th St;New York
3381;Joy Curry & Tandoor;Indian;
3382;Joy Curry & Tandoor;148 East 46th Street;New York
3383;Joy Garden;103 Avenue A;New York
3384;Joy Sung Restaurant Inc;40 Rivington St;New York
3385;Joy of India;127 East 28th Street;New York
3386;Joys Gourmet;887 8th Ave;New York
3387;Juan Y Anna Basement;3891 Broadway;New York
3388;Jubilee Inc;347 E 54th St;New York
3389;Judson Grill;152 W 52nd St;New York
3390;Judys;1 Christopher St # 8h;New York
3391;Juice & Joe;357 Avenue Of The Americas;New York
3392;Jules Restaurant;65 Saint Marks Pl;New York
3393;Jun Yung Restaurant;598 8th Ave;New York
3394;Justin's Restaurant;31 W 21st;New York
3395;K & K Restaurant;192 1st Ave;New York
3396;K P N Y Cafe;557 Hudson Street;New York
3397;K S Kitchen Inc;153 Amsterdam Ave # 1;New York
3398;KANG SUH Restaurant;1250 Broadway;New York
3399;KENNEDY FRIED CHICKEN;2409 SECOND AVENUE STORE;New York
3400;KFC;3205 Broadway;New York
3401;KFC;800 Lexington Avenue;New York
3402;Kabuki Restaurant;1315 1st Ave;New York
3403;Kabul Cafe;265 W 54th St;New York
3404;Kabul Cafe;Afghan;
3405;Kai Yue Coffee Shop Corp;26 Eldridge St;New York
3406;Kaiking Restaurant;117 E 60th St;New York
3407;Kalesmeno Corp;893 9th Ave;New York
3408;Kam Chueh Restaurant Inc;40 Bowery # 1;New York
3409;Kam Hing Coffee Shop;119 Baxter St;New York
3410;Kam Hong Garden;485 9th Ave;New York
3411;Kam Lai Chinese Restaurant;708 Amsterdam Ave;New York
3412;Kam Luang Restaurant;1557 Lexington Ave;New York
3413;Kam Wah Chinese Kitchen;301 E 116th St;New York
3414;Kam-wei Kitchen;617 9th Ave # 1;New York
3415;Kameda;University Place;New York
3416;Kamnin Kitchen;9 Nagle Ave;New York
3417;Kan Pai Yakitori Sushi;1482 2nd Ave;New York
3418;Kana Restaurant;324 Spring St;New York
3419;Kang Kee Restaurant;124 Hester St;New York
3420;Kang Tai Food Corp;15 W 45th St;New York
3421;Kaoru Restaurant;310 E 46th St;New York
3422;Kaplans At The Delmonico;59 E 59th St;New York
3423;Kar Restautant;45 Nassau St Bsmt;New York
3424;Karahi Indian Cuisine;508 Broome Street;New York
3425;Karani Bar & Grill;591 1st Avenue;New York
3426;Karavas Place;108 7th Ave S;New York
3427;Karavas Place;162 W 4th St;New York
3428;Kary Restaurant Inc;864 Avenue Of The Americas;New York
3429;Kashmir 9;478 9th Ave;New York
3430;Kashmir Restaurant;601 8th Ave;New York
3431;Kastro Bar Lounge;237 E 5th St;New York
3432;Katch & Restaurant Bar;339 E 75th St;New York
3433;Kate Kearneys Inc;251 E 50th St # 53;New York
3434;Kate's Joint;Vegetarian;
3435;Kate's Joint;58 Avenue B;New York
3436;Katra;217 Bowery;New York
3437;Katsuhama;11 E 47th St;New York
3438;Katy Gallaghers Inc;1267 1st Ave;New York
3439;Katzs Delicatessen Inc;Deli/Sandwich/Subs;
3440;Katzs Delicatessen Inc;205 E Houston St;New York
3441;Kava Lounge;605 Hudson St;New York
3442;Kawa Inc;18 Maiden Ln;New York
3443;Keats Restaurant;842 2nd Ave;New York
3444;Kebab House;399 Grand Street;New York
3445;Kee-wah-yen;50 W 56th St;New York
3446;Keenans Bar & Grill;4878 Broadway;New York
3447;Keens Steak House;72 W 36th St;New York
3448;Keewah Annex;48 W 56th St;New York
3449;Kellari Taverna;19 West 44th Street;New York
3450;Kellari's Parea;36th East 20th Street;New York
3451;Kennedy Chicken;220 Varick St;New York
3452;Kennedy Fried Chicken;158 Nagle Ave;New York
3453;Kennedy Fried Chicken;300 W 145th St;New York
3454;Kennedy Fried Chicken;1270 Saint Nicholas Avenue;New York
3455;Kennedy Fried Chicken;American;
3456;Kennedy Fried Chicken;1774 Lexington Ave;New York
3457;Kennedy Fried Chicken Inc;912 Columbus Ave;New York
3458;Kennedys;327 W 57th St;New York
3459;Kenny Cafe;345 Hudson St;New York
3460;Kensu Inc;732 7th Ave;New York
3461;Kentucky Fried Chicken;50 Broad Street;New York
3462;Kentucky Fried Chicken;301 West 125th Street;New York
3463;Kentucky Fried Chicken;2755 Broadway;New York
3464;Kentucky Fried Chicken;242 East 14th Street;New York
3465;Kentucky Fried Chicken;4076 Broadway;New York
3466;Kentucky Fried Chicken;116 West 125th Street;New York
3467;Kentucky Fried Chicken;108 Delancey Street;New York
3468;Kentucky Fried Chicken;1922 3rd Avenue;New York
3469;Kettle Restaurant;130 W 3rd St;New York
3470;Key West Diner & Cafe;2532 Broadway;New York
3471;Kfc;103 Broadway;New York
3472;Kfc;3595 Broadway;New York
3473;Kfc;48 New St;New York
3474;Kfc;359 2nd Ave;New York
3475;Kfc;707 Lenox Ave;New York
3476;Kfc;800 2nd Ave;New York
3477;Kfc;484 Lenox Ave;New York
3478;Khondoker Luncheonette;58 Kenmare St # 1;New York
3479;Khyber Kabob House Inc;207 10th Ave;New York
3480;Kiev Restaurant Ltd;117 2nd Ave;New York
3481;Kiiroihana Restaurant;23 W 56th St;New York
3482;Kikyoya Restaurant;234 5th Ave;New York
3483;Killarney Rose;80 Beaver St;New York
3484;Kim Long Kitchen;217 Avenue A;New York
3485;Kim Restaurant;657 Lenox Ave;New York
3486;Kim Tont Restaurant;1722 Amsterdam Ave;New York
3487;Kin Khao Restaurant;171 Spring St;New York
3488;Kin Yip Restaurant Inc;11 E 31st St;New York
3489;King David Restaurant;1239 1st Ave;New York
3490;King Deli;221 W 38th St;New York
3491;King Dragon Two Inc;107 Dyckman St;New York
3492;King Express Rest;40 W 8th St # 42;New York
3493;King Foo Chinese Food;2030 2nd Ave;New York
3494;King Food Restaurant Inc;422 Amsterdam Ave;New York
3495;King Garden;1 W 137th St;New York
3496;King Garden Restaurant;231 8th Ave;New York
3497;King Garden Restaurant;4316 Broadway;New York
3498;King Hwa Chinese Food;1272 Amsterdam Ave;New York
3499;King Wok;222 Varick St;New York
3500;King Wok Kitchen;1967 7th Ave;New York
3501;Kings Carriage House Rstrnt;251 E 82nd St;New York
3502;Kings Deli;221 W 38th St # 2;New York
3503;Kings Delight;45 E 34th St;New York
3504;Kings Wok Chinese Restaurant;1744 1st Ave;New York
3505;Kinsale Restaurant;1672 3rd Ave;New York
3506;Kiosk;1007 Lexington Ave;New York
3507;Kiran Continental Indian Cuisine;94 Chambers Street;
3508;Kiran Indian Cuisine;401 W 53rd Street;
3509;Kiran Indian Cuisine;53 9th Ave;New York
3510;Kishi Japanese Restaurant;137 E 45th St;New York
3511;Kismat Indian Restaurant;603 Fort Washington Ave;New York
3512;Kismoth;326 E 6th St;New York
3513;Kitaro Japanese Restaurant Inc;1164 1st Ave;New York
3514;Kitchen Club Inc;30 Prince St # 1;New York
3515;Kitchen Provance;68 W 45th St;New York
3516;Kitchenette;80 W Broadway;New York
3517;Km Wah Chinese Restaurant;301 E 116th St;New York
3518;Knickerbocker Bar & Grill;33 University Pl;New York
3519;Knicks Diner;1732 2nd Ave;New York
3520;Knot Just Pretzels;1 Penn Plz;New York
3521;Ko Sushi;1619 York Avenue;New York
3522;Kob Ma Thai;9 Doyers St;New York
3523;Kobe Inc;208 3rd Ave;New York
3524;Kobma;611 Hudson St;New York
3525;Kodama Japanese Restaurant;301 W 45th St;New York
3526;Kohinoor Indian Cuisine;342 E 6th St;New York
3527;Kokachin Restaurant;21 E 52nd St;New York
3528;Kokura Japanese Restaurant;19 S William St;New York
3529;Kong Kee Food;240 Grand St;New York
3530;Korea Palace;127 E 54th St;New York
3531;Korean Town Club Enterprises;400 2nd Ave;New York
3532;Kosher Delight;1365 Broadway;New York
3533;Kosher Delight Inc;1156 Ave Of Americas Ground;New York
3534;Kosher Tea Room;Kosher;
3535;Kosher Tea Room;193 2nd Ave;New York
3536;Kostas & Angelo Coffee Shop;44 E 32nd St;New York
3537;Koyote Kates;307 W 47th St;New York
3538;Kraft Restaurant;460 W 42nd St;New York
3539;Krik Krak;845 Amsterdam Ave;New York
3540;Krour Thai Restaurant;362 8th Ave;New York
3541;Kum Gang Inc;49 W 32nd St;New York
3542;Kun Paw Thai Cuisine;39 Greenwich Ave;New York
3543;Kura Sushi Japanese Restaurant;67 1st Ave;New York
3544;Kuruma-zushi;7 E 47th St # 2;New York
3545;Kwoks Food King;56 Market St;New York
3546;Kwong Ming Restaurant;1764 1st Ave;New York
3547;Kwong Pek Garden;71 Sullivan St;New York
3548;Kwong Yiu Chu No 1 Chin Restaurant;265 1st Ave;New York
3549;L A Cafe;200 5th Ave;New York
3550;L C Harden Restaurant;43 Canal St;New York
3551;L Cena Corp;12 E 22nd St;New York
3552;L Express;French Bistro;
3553;L Express;249 Park Avenue;New York
3554;L'Espresso;590 Madison Ave;New York
3555;LA Cocina On Third Avenue Inc;158 East 30th Street;New York
3556;LA Hacienda;219 East 116th Street;New York
3557;La Barca Restaurant;3892 Broadway;New York
3558;La Barca Restaurant;40 Fletcher St;New York
3559;La Bella China Restaurant Inc;2816 Broadway;New York
3560;La Belle Epoque;827 Broadway # 2;New York
3561;La Bellezza Pizza;1331 2nd Ave;New York
3562;La Boheme Restaurant;24 Minetta Ln;New York
3563;La Bonne Soupe;48 W 55th St;New York
3564;La Borsa Di Roma Restaurant;215 Pearl St;New York
3565;La Boulangere French Bakery;49 E 21st St;New York
3566;La Cabana Fried Chicken;1302 Saint Nicholas Ave;New York
3567;La Cabana Restaurant;331 W 38th St;New York
3568;La Cabana Salvadorena Restaurant;187 Broadway;New York
3569;La Caboa Restaurant Ii Inc;3180 Broadway;New York
3570;La Cafe;17 W 45thst Frrnt;New York
3571;La Cafe Creme Madison Ltd;165 Madison Ave;New York
3572;La Caridad #2 Restaurant;2092 Amsterdam Ave;New York
3573;La Caridad Restrnt;2184 Amsterdam Ave;New York
3574;La Casalinga;120 1st Ave;New York
3575;La Ceiba Restaurant;173 Avenue A;New York
3576;La Chandelle Cafe;2231 Broadway;New York
3577;La Chinita Linda Restaurant;166 8th Ave;New York
3578;La Cigale Restaurant;231 Mott St # 1;New York
3579;La Cocina;762 8th Ave;New York
3580;La Cocina Mexican Cuisine;2608 Broadway;New York
3581;La Cocina Mexicana;217 W 85th St;New York
3582;La Cote Basque;60 W 55th St;New York
3583;La Crepe De Bretagne;46 W 56th St;New York
3584;La Destinguida Cueva;304 W 38th St;New York
3585;La Dinastia Ii;4059 Broadway;New York
3586;La Dinastia Restaurant;145 W 72nd St;New York
3587;La Dolce Vita;195 Spring St;New York
3588;La Dolce Vita Ristorante;54 W 13th St;New York
3589;La Embajada;953 Amsterdam Ave;New York
3590;La Famille Inc;2017 5th Ave;New York
3591;La Famille Restaurant & Jazz Club;485 Central Park W # 6g;New York
3592;La Flor De Broadway;3401 Broadway;New York
3593;La Focaccia;51 Bank St;New York
3594;La Foccaceria;128 1st Ave # 1;New York
3595;La Giara;501 3rd Ave;New York
3596;La Gioconda;226 E 53rd St;New York
3597;La Goulue Restaurant Inc;746 Madison Ave # 1;New York
3598;La Granita;1470 2nd Ave # 1;New York
3599;La Grenouille Restaurant;3 E 52nd St;New York
3600;La Grolla Risoranti;413 Amsterdam Ave;New York
3601;La Isla Restaurant;1883 3rd Ave;New York
3602;La Linea;15 1st Ave;New York
3603;La Luncheonette-jean Francois;130 10th Ave;New York
3604;La Maganette Restaurant;825 3rd Ave;New York
3605;La Maison Dindochine;156 E 64th St;New York
3606;La Mangeoite Restaurant;1008 2nd Ave;New York
3607;La Margarita Restaurant;184 Thompson St;New York
3608;La Mediterranee Restaurant Corp;947 2nd Ave;New York
3609;La Mela Ristorante;167 Mulberry St;New York
3610;La Mensa Pizzeria & Restaurant;460 W 34th St;New York
3611;La Metairie;189 W 10th St;New York
3612;La Mezquita Restaurant;4448 Broadway;New York
3613;La Mia Pizza;268 W 23rd St;New York
3614;La Mia Pizza;1568 3rd Ave;New York
3615;La Mia Pizza Restaurant;44 E 8th St;New York
3616;La Mirabelle Restaurant;102 W 86th St;New York
3617;La Mola Inc D B A Cambio;108 John St;New York
3618;La Nueva Rampa Inc;149 W 14th St;New York
3619;La Nueva Victoria Restaurant;2536 Broadway;New York
3620;La Paella East;214 E 9th St;New York
3621;La Paloma Burritos;359 W 45th St # 1;New York
3622;La Perla Cafe;16 E 58;New York
3623;La Petit Cafe Ltd;96 Orchard St # 1;New York
3624;La Petite Auberge Inc;116 Lexington Ave;New York
3625;La Piccola Fontaina Restaurant;511 Lexington Ave;New York
3626;La Plaza;416 Audubon Ave;New York
3627;La Preciosa;163 E 116th St;New York
3628;La Primavera;234 W 48th St # 1;New York
3629;La Reserve;4 W 49th St;New York
3630;La Ribolita;260 Park Ave S;New York
3631;La Ripaille;605 Hudson St;New York
3632;La Rivista Palatine Restaurant;313 W 46th St;New York
3633;La Rocca Restaurant Inc;710 2nd Ave;New York
3634;La Rosita Restaurant;2809 Broadway;New York
3635;La Simpatia Restaurant;1685 Amsterdam Ave;New York
3636;La Stanza Verde;338 W 46th St;New York
3637;La Strada;134 W 46th St;New York
3638;La Tacita De Oro Restaurant;2625 Broadway;New York
3639;La Taza Deoro Inc;96 8 Av;New York
3640;La Traviata;461 W 23rd St # 1;New York
3641;La Unica Restaurant;4311 Broadway;New York
3642;La Vega Restaurant;452 Greenwich St;New York
3643;La Vela Ristorante;373 Amsterdam Ave;New York
3644;La Veranda West;163 W 47th St;New York
3645;La Vigna Restaurant Bar;481 8th Ave;New York
3646;La Villa;1330 Broadway;New York
3647;La Vineria;19 W 55th St;New York
3648;La-boite-en-bois;75 W 68th St;New York
3649;Lacajou Bar Restaurant;53 W 19th St;New York
3650;Lafayette Bar & Grill;5456 Franklin St;New York
3651;Lagares No 1 Restaurant & Bar Inc;434 2nd Ave;New York
3652;Lais Village Natural Rstrnt;46 Greenwich Ave # 6;New York
3653;Lallegria Italian Restaurant;623 9th Ave # 44;New York
3654;Lamarca Pasta Restaurant;161 E 22nd St;New York
3655;Lan Japanese Restaurant;56 3rd Ave;New York
3656;Landmarc Restaurant;179 W Broadway;New York
3657;Landmark Cafe And Restaurant;158 Grand St;New York
3658;Landmark Tavern;626 11th Ave;New York
3659;Langans Bar & Restaurant;150 W 47th St;New York
3660;Lansky Lounge;138 Delancey St;New York
3661;Lanza Restaurant;168 1st Ave;New York
3662;Lar-dan Enterprises;225 Liberty St # B;New York
3663;Lardoise;1207 1st Ave;New York
3664;Lareb Enterprises Inc;313 Columbus Ave;New York
3665;Laredo Grille;684 Lexington Ave;New York
3666;Las Delicias Restaurant;1004 Saint Nicholas Ave;New York
3667;Lasagna Restaurant;941 2nd Ave # 1;New York
3668;Latakia Restaurant;143 1st Ave;New York
3669;Latin American Restaurant Corp;29 W 25th St;New York
3670;Lattanzi Ristorante;361 W 46th St;New York
3671;Lau Ching Kwong;36 E Broadway;New York
3672;Lava;28 W 20th St # 1;New York
3673;Lavo Thai Restaurant Corp;90 3rd Ave;New York
3674;Layaly;98 Avenue B;New York
3675;Layla Restaurant;211 West Broadway;New York
3676;Le Beaujolais;364 W 46th St # 1;New York
3677;Le Bernardin;155 W 51st St;New York
3678;Le Biarritz Restaurant;325 W 57th St;New York
3679;Le Boeuf A La Mode;539 E 81st St;New York
3680;Le Bouchon Inc;319 W 51st St;New York
3681;Le Cafe;1271 Avenue Of The Americas;New York
3682;Le Cafe Catering Deli Bread And Bakery I;1 Pennsylvania Plz;New York
3683;Le Caire Lounge;189 East 3rd Street;New York
3684;Le Cirque Restaurant;58 E 65th St;New York
3685;Le Colonial;149 East 57th St;New York
3686;Le Croissant;7 Park Ave # 156;New York
3687;Le Croissant;210 W 50th St;New York
3688;Le Croissant Shop;404 Park Ave S;New York
3689;Le Croissant Shop;599 Lexington Ave;New York
3690;Le Croissant Shop;227 W 40th St;New York
3691;Le Croissant Shop;8 W 40th St;New York
3692;Le Croissant Shop;1501 Broadway;New York
3693;Le Frite Kot;148 W 4th St;New York
3694;Le Gigot;18 Cornelia St;New York
3695;Le Glacier;60 Wall St;New York
3696;Le Grenier Restaurant Inc;2264 8th Ave # 122;New York
3697;Le Jardin Bistro;25 Cleveland Pl;New York
3698;Le Madri;168 W 18th St;New York
3699;Le Marais;150 W 46thst Grround;New York
3700;Le Marais II;Kosher;
3701;Le Marais II;15 John Street;New York
3702;Le Max Restaurant Inc;147 W 43rd St;New York
3703;Le Mirage Gourmet Inc;20 W 43rd St;New York
3704;Le Monde Gourmet Deli;38 W 48th St;New York
3705;Le Pain Quotidien;1131 Madison Ave;New York
3706;Le Perigord;405 E 52nd St # 405;New York
3707;Le Petit Chateau;1374 Madison Avenue;New York
3708;Le Petit Hulot Restaurant;973 Lexington Ave;New York
3709;Le Poeme Bakeries;14 Prince St;New York
3710;Le Quercy;52 W 55th St;New York
3711;Le Refuge Restaurant;166 E 82nd St # 1;New York
3712;Le Rendez-Vous Cafe;739 8th Ave;New York
3713;Le Rivage;340 W 46th;New York
3714;Le Singe Vert;160 7th Ave;New York
3715;Le Soleil Restaurant;877 10th Ave;New York
3716;Le Souk;47 Avenue B;New York
3717;Le Streghe;331 W Broadway;New York
3718;Le Tableau;511 E 5th St;New York
3719;Le Taxi;37 E 60th St;New York
3720;Le Totof Inc;163 E 33rd St;New York
3721;Le Train Blue Restaurant;1000 3rd Ave;New York
3722;Le Tre Venezie Restaurant;142 W 46th St;New York
3723;Le Veau Dor;129 E 60th St;New York
3724;Le Zoo;314 W 11th St # 1;New York
3725;LeRendez-Vous Cafe;178 Lexington Avenue;New York
3726;Lecole The French Culinary;462 Broadway;New York
3727;Lees Chinese Fast Food;1204 Saint Nicholas Ave;New York
3728;Lees Lobby Coffee Shop;150 W 28th St;New York
3729;Lemon Lime Restaurant;664 6th Ave;New York
3730;Lemon Restaurant;230 Park Ave S;New York
3731;Lemon Tree Cafe;769 9th Ave;New York
3732;Lemongrass;80 University Pl;New York
3733;Lemongrass Grill;200 W 84th St;New York
3734;Lemongrass Grill;37 Barrow Street;New York
3735;Lemongrass Grill;110 Liberty St;New York
3736;Lemongrass Grill;2534 Broadway Frnt;New York
3737;Lenge 83 Restaurant;1465 3rd Ave;New York
3738;Lenge Japanese Restaurant;202 Columbus Ave;New York
3739;Lennys Bagels;2601 Broadway;New York
3740;Lenox Chinese Restaurant;2180 5th Ave;New York
3741;Lenox Hill Restaurant;1105 Lexington Ave;New York
3742;Lenox Public Luncheonette;471 Lenox Ave;New York
3743;Lenox Room Restaurant;1278 3rd Ave;New York
3744;Lentrecote Inc;1057 1st Ave;New York
3745;Leopard Restaurant Inc;253 E 50th St # 1;New York
3746;Les Deux Gamins Le Gamin;170 Waverly Pl;New York
3747;Les Friandises East;972 Lexington Ave # 1;New York
3748;Les Routiers;568 Amsterdam Ave # 1;New York
3749;Les Sans Culottes Restaurant Inc;1085 2nd Ave;New York
3750;Les Sans Culottes West;347 W 46th St;New York
3751;Lespinasse;2 E 55th St;New York
3752;Lespresso Svc Inc;767 5th Ave;New York
3753;Levana Restaurant;Continental;
3754;Levana Restaurant;141 W 69th St;New York
3755;Lexington Avenue Grill;569 Lexington Ave;New York
3756;Lexington Bar And Books;1020 Lexington Ave;New York
3757;Lexington Candy Shop;1226 Lexington Avenue;New York
3758;Lexington Fast Food Restaurant;339 Lexington Ave;New York
3759;Lexington Restaurant;1869 Lexington Ave;New York
3760;Lexington Rib Co;1364 Lexington Ave;New York
3761;Lhasa Restaurant;96 2nd Ave;New York
3762;Li Cheun Corp;17 Catherine St;New York
3763;Liam Restaurant;170 Thompson St;New York
3764;Liberta Restaurant;1574 2nd Ave;New York
3765;Liberty Bell Coffee Shop;1 Dag Hammarskjold Plz;New York
3766;Liberty Gourmet;32 Broadway # 1;New York
3767;Life Cafe;343 E 10th St;New York
3768;Light Touch On A;151 Avenue B/w 9th & 10th Street;New York
3769;Lilys Restaurant And Bar;501 Lexington Ave;New York
3770;Limerick House;69 W 23rd St;New York
3771;Limoncello Restaurant;777 7th Ave;New York
3772;Lin & Lin;918 8th Ave;New York
3773;Lincoln Fried Chicken;American;
3774;Lincoln Fried Chicken;576 W 125th St;New York
3775;Lincoln Fried Chicken;3666 Broadway;New York
3776;Lindys;74 W 50th St;New York
3777;Lindys;401 7th Ave;New York
3778;Lindys;825 7th Ave;New York
3779;Lindys;1525 Broadway;New York
