;restaurant;address;neighborhood;addressGoogle
429;Cornelia Street Cafe;29 Cornelia St btwn Bleecker and W 4th...;Greenwich Village;18-20 Cornelia St
430;Corner Bistro;;Greenwich Village;
431;Cosette;163 E 33rd St btwn Lexington and Third...;Midtown East;163 E 33rd St
432;Counter;105 First Ave btwn 6th and 7th Sts;East Village;105 First Ave btwn 6th and 7th Sts
433;Country Cafe;69 Thompson St btwn Broome and Spring...;SoHo;69 Thompson St
434;Cowgirl;519 Hudson St at 10th St;Greenwich Village;519 Hudson St
435;Craftsteak;85 10th Ave at 15th St;Chelsea;85 10th Ave
436;Crave Ceviche and Wine Bar (CLOSED);946 Second Ave btwn 50th and 51st Sts;Midtown East;W 51st St
437;Crave on 42nd Street;650 W 42nd St at 11th Ave;Midtown West;650 W 42nd St
438;Crema Restaurante;111 W 17th St btwn 6th and 7th Aves;Chelsea;111 W 17th St btwn 6th and 7th Aves
439;Crif Dogs;113 St Marks Pl btwn First Ave and Ave A;East Village;113 St Marks Pl
440;Crispo;240 W 14th St btwn 7th and 8th Aves;Greenwich Village;240 W 14th St
441;Cru;24 5th Ave at 9th St;Greenwich Village;24 5th Ave
442;Cub Room;131 Sullivan St at Prince St;SoHo;131 Sullivan St
443;Cub Room Cafe;;SoHo;
444;Cuba;;Greenwich Village;
445;Cuba Cafe;200 Eighth Ave btwn 20th and 21st Sts;Chelsea;200 Eighth Ave btwn 20th and 21st Sts
446;Cubana Cafe;;SoHo;
447;Cube 63;;Lower East Side;
448;Cucina di Pesce;87 E 4th St btwn Second and Third Aves;East Village;87 E 4th St btwn Second and Third Aves
449;Curry-Ya;214 East 10th St btwn 1st and 2nd Aves;East Village;214 East 10th St btwn 1st and 2nd Aves
450;DB Bistro Moderne;55 W 44th St btwn 5th and 6th Aves;Midtown West;55 W 44th St btwn 5th and 6th Aves
451;Da Andrea;557 Hudson St btwn Perry and W 11th Sts;Greenwich Village;557 Hudson St
452;Da Antonio;157 E 55th St btwn Lexington and Third...;Midtown East;157 E 55th St
453;Da Silvano;;Greenwich Village;
454;Da Silvano Bistecca;;Greenwich Village;
455;Da Tommaso;903 Eighth Ave btwn 53rd and 54th Sts;Midtown West;54th St
456;Da Umberto;;Chelsea;
457;Daisy May's BBQ USA;623 11th Ave at 46th St;Midtown West;623 11th Ave
458;Dakshin Indian Bistro;;Upper East Side;
459;Danal;;East Village;
460;Daniel;;Upper East Side;
461;Dardanel;1071 1st Ave btwn 58th and 59th Sts;Midtown East;1071 1st Ave btwn 58th and 59th Sts
462;David Burke Townhouse;;Upper East Side;
463;Dawat;210 E 58th St btwn 2nd and 3rd Aves;Midtown East;3rd Ave
464;De Santos;139 W 10th St btwn 5th and 6th Aves;Greenwich Village;6th Ave
465;Dean's;215 W 85th St btwn Amsterdam Ave and...;Upper West Side;215 W 85th St
466;Dean's;215 W 85th St btwn Amsterdam Ave and...;Midtown East;215 W 85th St
467;Death and Company;;East Village;
468;Deborah;43 Carmine St btwn Bedford and Bleecker...;Greenwich Village;43 Carmine St
469;Deborah (CLOSED);;Greenwich Village;
470;Degustation;239 E 5th St btwn 2nd and 3rd Aves;East Village;239 E 5th St btwn 2nd and 3rd Aves
471;Del Frisco's Double Eagle Steakhouse;1221 Sixth Ave at 49th St;Midtown West;1221 6th Ave
472;Del Posto;85 10th Ave btwn 15th and 16th Sts;Chelsea;85 10th Ave btwn 15th and 16th Sts
473;Delicatessen;54 Prince St at Lafayette St;SoHo;54 Prince St at Lafayette St
474;Delicia Brazil;;Greenwich Village;
475;Dell'Anima;38 Eighth Ave btwn Jane and W 12th Sts;Greenwich Village;38 Eighth Ave btwn Jane and W 12th Sts
476;Delta Grill;700 Ninth Ave at 48th St;Midtown West;700 9th Ave
477;Demarchelier;50 E 86th St btwn Madison and Park Aves;Upper East Side;49 East 86th St
478;Desnuda;;East Village;
479;Diablo Royale;189 W 10th Street btwn W 4th and...;Greenwich Village;189 W 10th St
480;Dirt Candy;430 E 9th St btwn 1st Ave and Ave A;East Village;430 E 9th St btwn 1st Ave and Ave A
481;Dirty Bird to Go;204 W 14th St btwn Seventh and Eighth...;Chelsea;204 W 14th St
482;District;130 W 46th St btwn Sixth and Seventh...;Midtown West;130 W 46th St
483;Ditch Plains;29 Bedford St at Downing St;Greenwich Village;29 Bedford St
484;Diwan Restaurant;;Midtown East;
485;Django (CLOSED);;Midtown East;
486;Do Hwa;55 Carmine St at Bedford St;Greenwich Village;55 Carmine St
487;DoSirak;30 E 13th St btwn Fifth Ave and...;Greenwich Village;30 E 13th St
488;Docks Oyster Bar and Seafood Grill;2427 Broadway btwn 89th and 90th Sts;Midtown East;2441 Broadway
489;Docks Oyster Bar and Seafood Grill;2427 Broadway btwn 89th and 90th Sts;Upper West Side;2441 Broadway
490;Docks Oyster Bar and Seafood Grill (CLOSED);;Upper West Side;
491;Dolce Vita;181 Grand St btwn Baxter and Mulberry...;SoHo;181 Grand St
492;Domenico;120 E. 40th St btwn Lexington and Park...;Midtown East;120 E 40th St
493;Don's Bogam BBQ and Wine Bar;;Midtown West;
494;Donguri;;Upper East Side;
495;Dos Caminos Soho;475 West Broadway at Houston St;SoHo;475 W Broadway
496;Double Crown;;East Village;
497;Dovetail;;Upper West Side;
498;Downtown Cipriani;376 West Broadway btwn Broome and...;SoHo;376 W Broadway
499;Druids;;Midtown West;
500;Ducale;392 Columbus Ave at 79th St;Upper West Side;392 Columbus Ave
501;Due;;Upper East Side;
502;Dumpling House;;Lower East Side;
503;Dumpling Man;;East Village;
504;EJ's Luncheonette;;Upper East Side;
505;EJ's Luncheonette;;Upper West Side;
506;EJ's Luncheonette (CLOSED);;Greenwich Village;
507;EN Japanese Brasserie;435 Hudson St at Leroy St;Greenwich Village;435 Hudson St
508;Earth NYC;116A 10th Avenue btwn 17th and 18th Sts;Chelsea;116A 10th Avenue btwn 17th and 18th Sts
509;Earthen Oven;;Upper West Side;
510;East Village Yacht Club (CLOSED);42 E 1st St btwn First and Second Aves;East Village;42 E 1st St btwn First and Second Aves
511;East of Eighth;;Chelsea;
512;Eatery;;Midtown West;
513;Ed's Lobster Bar;;SoHo;
514;Eighty One;45 W 81st St btwn Columbus Ave and...;Upper West Side;45 W 81st St
515;El Centro;824 Ninth Ave at 54th St;Midtown West;824 9th Ave
516;El Cid (CLOSED);322 W 15th St btwn Eighth and Ninth Aves;Chelsea;10W W 15th St
517;El Cocotero;228 W 18th St btwn Seventh and Eighth...;Chelsea;228 W 18th St
518;El Maguey y La Tuna;321 E Houston St btwn Attorney and...;Lower East Side;321 E Houston St
519;El Parador Cafe;;Midtown East;
520;El Paso;134 W Houston St btwn MacDougal and...;Greenwich Village;134 W Houston St
521;El Paso Taqueria;1642 Lexington Ave btwn 103rd and 104th...;Upper East Side;W 104th St
522;El Quijote;226 W 23rd St btwn Seventh and Eighth...;Chelsea;204 W 23rd St
523;El Quinto Pino;;Chelsea;
524;El Rey del Sol;232 W 14th St btwn Seventh and Eighth...;Greenwich Village;232 W 14th St
525;Elaine's;;Upper East Side;
526;Elementi;;Park Slope;
527;Elephant and Castle;68 Greenwich Ave btwn Sixth Ave and...;Greenwich Village;68 Greenwich Ave
528;Elettaria;33 W 8th St at MacDougal St;Greenwich Village;33 W 8th St
529;Elio's;;Upper East Side;
530;Ellis Bar;627 5th Ave btwn 17th and 18th Sts;Park Slope;627 5th Ave btwn 17th and 18th Sts
531;Elmo;;Chelsea;
532;Elyssa Dido;85 Orchard St at Broome St;Lower East Side;85 Orchard St
533;Employees Only;510 Hudson St btwn Christopher and West...;Greenwich Village;510 Hudson St
534;Ennio and Michael;539 La Guardia Pl btwn Bleecker and W...;Greenwich Village;539 LaGuardia Pl
535;Epices du Traiteur;103 W 70th St btwn Columbus Ave and...;Upper West Side;103 W 70th St
536;Erminia;;Upper East Side;
537;Esashi;;East Village;
538;Esca;;Midtown West;
539;Esperanto;145 Ave C at 9th St;East Village;145 Loisaida Ave
540;Essex;;Lower East Side;
541;Estiatorio Milos;125 W 55th St btwn 6th and 7th Aves;Midtown West;125 W 55th St
542;Etats-Unis;242 E 81st St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
543;Etcetera Etcetera;352 W 44th St btwn Eighth and Ninth Aves;Midtown West;352 W 44th St
544;Ethos;495 Third Ave btwn 33rd and 34th Sts;Midtown East;W 34th St
545;Etrusca;125 W 53rd St btwn Sixth and Seventh...;Midtown West;125 W 53rd St
546;Euzkadi;;East Village;
547;Evergreen Shanghai;10 E 38th St btwn Fifth and Madison Aves;Midtown East;10 E 38th St
548;Extra Virgin;;Greenwich Village;
549;Fabio Piccolo Fiore;230 E 44th St at Second Ave;Midtown East;230 E 44th St # 1
550;Fairway Cafe and Steakhouse;2127 Broadway btwn 74th and 75th Sts;Upper West Side;2127 Broadway btwn 74th and 75th Sts
551;Falai;68 Clinton St btwn Stanton and...;Lower East Side;68 Clinton St btwn Stanton and...
552;Falai Panetteria;79 Clinton St at Rivington St;Lower East Side;79 Clinton St
553;Fanelli's Cafe;;SoHo;
554;Fat Hippo;;Lower East Side;
555;Fatty Crab UWS;;Upper West Side;
556;Favela Cubana;;Greenwich Village;
557;Felice Wine Bar;1166 First Ave at First Ave;Upper East Side;1166 1st Avenue
558;Felidia;243 E 58th St btwn 2nd and 3rd Aves;Midtown East;3rd Ave
559;Felix;;SoHo;
560;Fiamma (CLOSED);;SoHo;
561;Fig and Olive;;Upper East Side;
562;Fig and Olive Midtown;10 E 52nd St btwn Fifth and Madison...;Midtown East;10 E 52nd St
563;Film Center Cafe;;Midtown West;
564;Firebird Russian Restaurant;365 W 46th St btwn 8th and 9th Aves;Midtown West;365 W 46th St btwn 8th and 9th Aves
565;Fireside;;Midtown East;
566;First Hungarian Literary Society;;Upper East Side;
567;Fish;;Greenwich Village;
568;Fishtail by David Burke;135 E 62nd St btwn Park and Lexington...;Upper East Side;135 E 62nd St
569;Five Guys Famous Burgers and Fries;296 Bleecker St at Seventh Ave So;Greenwich Village;296 Bleecker St
570;Five Napkin Burger;;Midtown West;
571;Fives;700 Fifth Ave at 55th St;Midtown West;700 5th Ave
572;Flea Market Cafe;;East Village;
573;Flex Mussels;174 E 82nd St btwn Lexington and Third...;Upper East Side;174 E 82nd St
574;Flip;;Midtown East;
575;Flor de Mayo;;Upper West Side;
576;Foley's Fish House;;Midtown West;
577;Fragolino Trattoria;;Midtown West;
578;Franchia;;Midtown East;
579;Francisco's Centro Vasco;;Chelsea;
580;Frank;88 Second Ave btwn 5th and 6th Sts;East Village;6th Ave
581;Frankie and Johnnie's Steakhouse;;Midtown West;
582;Frankies 17 Clinton Street Spuntino;;Lower East Side;
583;Fred's at Barneys;;Upper East Side;
584;Frederick's Downtown;;Greenwich Village;
585;Frederick's Madison;;Upper East Side;
586;Freemans;191 Chrystie St btwn Stanton and...;Lower East Side;191 Chrystie St
587;French Roast;2340 Broadway at 85th St;Upper West Side;2340 Broadway
588;French Roast;2340 Broadway at 85th St;Greenwich Village;2340 Broadway
589;Fresco by Scotto;34 E 52nd St btwn Madison and Park Aves;Midtown East;34 E 52nd St
590;Fresco on the Go;40 E 52nd St btwn Madison and Park Aves;Midtown East;40 E 52nd St
591;Friedman's Lunch;;Chelsea;
592;Friend House;99 Third Ave btwn 12th and 13th Sts;East Village;99 Third Ave btwn 12th and 13th Sts
593;Friend House 2;;East Village;
594;Fulton;205 E 75th St btwn 2nd and 3rd Aves;Upper East Side;3rd Ave
595;Funayama;24 Greenwich Ave btwn Charles and W...;Greenwich Village;24 Greenwich Ave btwn Charles and W...
596;Funky Diner;466 Columbus Ave btwn 82nd and 83rd Sts;Upper West Side;466 Columbus Ave btwn 82nd and 83rd Sts
597;Gabriel's Bar and Restaurant;;Upper West Side;
598;Gabriela's;688 Columbus Ave btwn 93rd and 94th Sts;Upper West Side;688 Columbus Ave btwn 93rd and 94th Sts
599;Gaby Restaurant;44 West 45th St btwn Fifth and Sixth...;Midtown West;44 W 45th St
600;Galanga;;Greenwich Village;
601;Gallagher's Steakhouse;228 W 52nd St btwn Broadway and Eighth...;Midtown West;228 W 52nd St
602;Gallo Nero;402 W 44th St at Ninth Ave;Midtown West;402 W 44th St
603;Garden Court Cafe;725 Park Ave at 70th St;Upper East Side;725 Park Ave
604;Gari;370 Columbus Ave btwn 77th and 78th Sts;Upper West Side;370 Columbus Ave btwn 77th and 78th Sts
605;Gascogne;158 Eighth Ave btwn 17th and 18th Sts;Chelsea;158 Eighth Ave btwn 17th and 18th Sts
606;Gavroche;;Greenwich Village;
607;Gazala Place;709 Ninth Ave at 49th St;Midtown West;709 9th Ave
608;Geisha;33 E 61st St btwn Park and Madison Aves;Upper East Side;33 E 61st St
609;Gemma;355 Bowery btwn 2nd and 3rd Sts;East Village;355 Bowery btwn 2nd and 3rd Sts
610;Gene's;;Greenwich Village;
611;Gennaro;665 Amsterdam Ave btwn 92nd and 93rd Sts;Upper West Side;E 93rd St
612;Georgia's Eastside BBQ;92 Orchard St btwn Stanton and Houston...;Lower East Side;163 Orchard St
613;Giambelli 50th;46 E 50th St btwn Madison and Park Aves;Midtown East;46 E 50th St btwn Madison and Park Aves
614;Giano;126 E 7th St btwn 1st Ave and Ave A;East Village;126 E 7th St
615;Gilt;455 Madison Ave btwn 50th and 51st Sts;Midtown East;455 Madison Ave
616;Gino;780 Lexington Ave btwn 60th and 61st Sts;Upper East Side;780 Lexington Ave
617;Giorgione;307 Spring St at Hudson St;SoHo;307 Spring St
618;Girasole;151 E 82nd St btwn Lexington and Third...;Upper East Side;151 E 82nd St
619;Gnocco Cucina and Tradizione;337 E 10th St btwn Aves A and B;East Village;337 E 10th St
620;Gobo;;Upper East Side;
621;Gobo;;Greenwich Village;
622;Gonzo;140 W 13th St btwn Sixth and Seventh...;Greenwich Village;140 W 13th St
623;Good;89 Greenwich Ave btwn Bank and W 12th...;Greenwich Village;89 Greenwich Ave btwn Bank and W 12th...
624;Good Enough to Eat;483 Amsterdam Ave btwn 83rd and 84th Sts;Upper West Side;E 84th St
625;Goodburger;800 Second Ave at 43rd St;Midtown East;800 2nd Ave 7th floor
626;Gordon Ramsay at The London;151 W 54th St btwn 6th and 7th Aves;Midtown West;151 W 54th St
627;Gotham Bar and Grill;;Greenwich Village;
628;Gottino;52 Greenwich Ave btwn Perry and Charles...;Greenwich Village;52 Greenwich Ave btwn Perry and Charles...
629;Grace's Trattoria;;Upper East Side;106 W 145th St
630;Gradisca;126 W 13th St btwn Sixth and Seventh...;Greenwich Village;126 W 13th St
631;Graffiti;224 East 10th St btwn 1st and 2nd Aves;East Village;224 East 10th St btwn 1st and 2nd Aves
632;Grand Central Oyster Bar;101 E 42nd St btwn Park and Vanderbilt...;Midtown East;101 E 42nd St
633;Grand Sichuan;;Lower East Side;
634;Grand Tier Restaurant;;Upper West Side;
635;Grano Trattoria;21 Greenwich Ave at 10th St;Greenwich Village;21 Greenwich Ave
636;Grom;;Upper West Side;
637;Grotto;;Lower East Side;
638;Guantanamera;;Midtown West;
639;GustOrganics;;Greenwich Village;
640;Gusto Ristorante e Bar Americano;;Greenwich Village;
641;Gyu-Kaku;;East Village;
642;Gyu-kaku;;Midtown East;
643;HK;;Midtown West;
644;Hacienda de Argentina;339 E 75th St btwn First and Second Aves;Upper East Side;339 E 75th St
645;Hakata Tonton;;Greenwich Village;
646;Hallo Berlin;;Midtown West;
647;Hampton Chutney Co.;68 Prince St btwn Crosby and Lafayette...;Upper West Side;68 Prince St
648;Hampton Chutney Co.;68 Prince St btwn Crosby and Lafayette...;SoHo;68 Prince St
649;Han Bat;53 W 35th St btwn Fifth and Sixth Aves;Midtown West;53 W 35th St
650;Hanci Turkish Cuisine;;Midtown West;
651;Harry Cipriani;;Midtown East;
652;Haru;;Midtown East;
653;Haru;;Midtown West;
654;Haru;;Upper West Side;
655;Haru;;Upper East Side;
656;Hasaki;210 E 9th St btwn Second and Third Aves;East Village;60E W 9th St
657;Hatsuhana;17 E.. 48th St btwn 5th and Madison Aves;Midtown East;17 E 48th St
658;Hatsuhana Park;237 Park Ave at 46th St;Midtown East;237 Park Ave
659;Havana Alma de Cuba;94 Christopher St btwn Hudson and...;Greenwich Village;94 Christopher St btwn Hudson and...
660;Havana Central;151 W 46th St btwn Sixth and Seventh...;Midtown West;151 W 46th St
661;Havana Chelsea;;Chelsea;
662;Haveli;;East Village;
663;Haven;;Midtown East;
664;Hawaiian Tropic Zone;;Midtown West;
665;Hea;;East Village;
666;Heartbeat;;Midtown East;
667;Hearth;;East Village;
668;Heidelberg;;Upper East Side;
669;Hell's Kitchen;679 Ninth Ave btwn 46th and 47th Sts;Midtown West;679 Ninth Ave btwn 46th and 47th Sts
670;Henry's;2745 Broadway at 105th St;Upper West Side;2745 Broadway
671;Hip Hop Chow (CLOSED);;East Village;
672;Hiro;84 E 10th St at Fourth Ave;East Village;84 E 10th St
673;Holy Basil;149 Second Ave btwn 9th and 10th Sts;East Village;149 Second Ave btwn 9th and 10th Sts
674;Home;;Greenwich Village;
675;Hudson Cafeteria;;Midtown West;
676;Hundred Acres;38 MacDougal St btwn Houston and Prince...;SoHo;38 MacDougal St btwn Houston and Prince...
677;I Coppi;432 E 9th St btwn First Ave and Ave A;East Village;432 E 9th St btwn First Ave and Ave A
678;I Sodi;105 Christopher St near Bleecker St;Greenwich Village;105 Christopher St
679;I Tre Merli;;SoHo;
680;I Tre Merli Bistro;;Greenwich Village;
681;Icon;;Midtown East;
682;Ideya;349 West Broadway btwn Broome and Grand...;SoHo;349 W Broadway
683;Il Bagatto;;East Village;
684;Il Bastardo;161 Seventh Ave;Chelsea;161 7th Ave
685;Il Cantinori;;Greenwich Village;
686;Il Corso;19 W 55th St btwn Fifth and Sixth Aves;Midtown West;19 W 55th St
687;Il Gattopardo;33 W 54th St btwn Fifth and Sixth Aves;Midtown West;65 W 54th St
688;Il Laboratorio del Gelato;95 Orchard St btwn Broome and Delancey...;Lower East Side;95 Orchard St btwn Broome and Delancey...
689;Il Mulino;;Greenwich Village;
690;Il Nido;251 E 53rd St btwn Second and Third Aves;Midtown East;251 E 53rd St
691;Il Postino;337 E 49th St btwn First and Second Aves;Midtown East;337 E 49th St
692;Il Riccio;152 E 79th St at Lexington Ave;Upper East Side;152 E 79th St at Lexington Ave
693;Il Vagabondo;351 E 62nd St btwn First and Second Aves;Upper East Side;351 E 62nd St
694;Il Valentino;;Midtown East;
695;In Vino;215 E 4th St btwn Aves A and B;East Village;215 E 4th St btwn Aves A and B
696;Inagiku;111 E 49th St btwn Park and Lexington...;Midtown East;111 E 48th St
697;Inakaya;;Midtown West;
698;Indian Bread Co;194 Bleecker St btwn Sixth Ave and...;Greenwich Village;194 Bleecker St
699;Indigo Indian Bistro;;Midtown East;
700;Indochine;;Greenwich Village;
701;Indus Valley;2636 Broadway at 100th St;Upper West Side;2636 Broadway
702;Inside Park at St. Bart's;;Midtown East;
703;Inside Park at St. Bart’s;109 E 50th St at Park Ave;Midtown East;109 E 50th St
704;Insieme;;Midtown West;
705;Ippudo;65 4th Ave at 10th St;East Village;65 4th Ave
706;Iron Sushi;355 E 78th St btwn First and Second...;Upper East Side;355 E 78th St
707;Isabella's;359 Columbus Ave at 77th St;Upper West Side;359 Columbus Ave
708;Isle of Capri;;Upper East Side;
709;Islero;247 East 50th St btwn Second and Third...;Midtown East;247 East 50th St btwn Second and Third...
710;It's a Dominican Thing;144 W 19th St btwn Sixth and Seventh...;Chelsea;144 W 19th St
711;Ithaka;;Upper East Side;
712;Itzocan Bistro;1575 Lexington Ave at 101st St;Upper East Side;1575 Lexington Ave
713;Itzocan Cafe;438 E 9th St btwn First Ave and Ave A;East Village;438 E 9th St btwn First Ave and Ave A
714;Ivy's Cafe;;Upper West Side;
715;Izakaya Ten;207 10th Ave at 23rd St;Chelsea;207 10th Ave
716;JG Melon;;Upper East Side;
717;Jack's Luxury Oyster Bar;;East Village;
718;Jack's Restaurant and Bar;;Midtown West;
719;Jacques Brasserie;;Upper East Side;
720;Jacques Imo's;366 Columbus Ave at 77th St;Upper West Side;366 Columbus Ave
721;Jaipur's;1007 Second Ave btwn 53rd and 54th Sts;Midtown East;54th St
722;Jane;100 W Houston St btwn La Guardia Pl and...;Greenwich Village;100 W Houston St btwn La Guardia Pl and...
723;Japonica;;Greenwich Village;
724;Java;;Park Slope;
725;Je'Bon Noodle House;15 St Marks Pl btwn 2nd and 3rd Aves;East Village;15 St Marks Pl btwn 2nd and 3rd Aves
726;Jean Claude;137 Sullivan St btwn Houston and Prince...;SoHo;137 Sullivan St btwn Houston and Prince...
727;Jean Georges;;Upper West Side;
728;Jeeb;154 Orchard St btwn Stanton and...;Lower East Side;154 Orchard St btwn Stanton and...
729;Jeollado;116 E 4th St btwn First and Second Aves;East Village;New York
730;Jewel Bako;239 E 5th St btwn 2nd and 3rd Aves;East Village;239 E 5th St btwn 2nd and 3rd Aves
731;Jewel of India;15 W 44th St btwn Fifth and Sixth Aves;Midtown West;15 W 44th St
732;Jimmy's No. 43;43 E 7th St at 2nd Ave;East Village;43 E 7th St
733;Joe Allen;326 W 46th St btwn Eighth and Ninth Aves;Midtown West;326 W 46th St
734;Joe's Pizza;;Greenwich Village;
735;JoeDoe;45 East 1st St btwn 1st and 2nd Aves;East Village;45 East 1st St btwn 1st and 2nd Aves
736;John's Pizzeria;;Upper East Side;
737;John's Pizzeria;;Greenwich Village;
738;John's Pizzeria;;Midtown West;
739;John's of 12th Street;302 E 12th St btwn First and Second Aves;East Village;302 E 12th St btwn First and Second Aves
740;Johnny Mack's;1114 Eighth Ave at 12th St;Park Slope;1114 Frederick Douglass Blvd
741;Johnny Utah's;25 W 51st St btwn Fifth and Sixth Aves;Midtown West;25 W 51st St
742;Jojo;160 E 64th St btwn Lexington and 3rd...;Upper East Side;160 E 64th St
743;Josephina;;Upper West Side;
744;Josie's;;Upper West Side;
745;Joy Burger Bar;;Upper East Side;
746;Jubilee;347 E 54th St at First Ave;Midtown East;415 E 54th St
747;Junior's Restaurant;1515 Broadway btwn 44th and 45th Sts;Midtown West;1515 Broadway btwn 44th and 45th Sts
748;Kafana;116 Ave C btwn E 7th and 8th Sts;East Village;116 Loisaida Ave
749;Kai;822 Madison Ave btwn 68th and 69th Sts;Upper East Side;822 Madison Ave btwn 68th and 69th Sts
750;Kambi Ramen House;;East Village;
751;Kampuchea;;Lower East Side;
752;Kanoyama;;East Village;
753;Kasadela;;East Village;
754;Kate's Joint;58 Ave B at 4th St;East Village;58 Avenue B
755;Katsu-Hama;;Midtown East;
756;Katz's Delicatessen;;Lower East Side;
757;Keens Steakhouse;72 W 36th St btwn 5th and 6th Aves;Midtown West;6th Ave
758;Kefi;505 Columbus Ave btwn 84th and 85th Sts;Upper West Side;E 85th St
759;Kellari Taverna;19 W 44th St btwn 5th and 6th Aves;Midtown West;49 W 44th St
760;Kelley and Ping;127 Greene St btwn Houston and Prince...;SoHo;127 Greene St btwn Houston and Prince...
761;Kelley and Ping East Village (CLOSED);325 Bowery at Second St;East Village;325 Bowery
762;Khyber Pass;;East Village;
763;Kinara;473 Fifth Ave btwn 10th and 11th Sts;Park Slope;473 5th Ave
764;Kings' Carriage House;251 E 82nd St btwn Second and Third Aves;Upper East Side;251 E 82nd St
765;Kingswood;121 W 10th St btwn Greenwich and 6th...;Greenwich Village;121 W 10th St
766;KitchenBar;687 6th Ave btwn 19th and 20th Sts;Park Slope;687 6th Ave btwn 19th and 20th Sts
767;Kittichai;60 Thompson St btwn Spring and Broome...;SoHo;60 Thompson St
768;Klee Brasserie;200 9th Ave btwn 22nd and 23rd Sts;Chelsea;200 9th Ave btwn 22nd and 23rd Sts
769;Klong;7 St Marks Pl btwn Second and Third...;East Village;7 St Marks Pl
770;Knife and Fork;;East Village;
771;Ko Sushi;1329 Second Ave at 70th St;Upper East Side;1329 2nd Ave
772;Kobe Club;;Midtown West;
773;Kobma Thai;;Greenwich Village;
774;Koi;40 W 40th St btwn Fifth and Sixth Aves;Midtown West;W 40th St
775;Korea Palace;127 E 54th St btwn Park and Lexington...;Midtown East;127 E 54th St
776;Kouzan;685 Amsterdam Ave btwn 93rd and 94th Sts;Upper West Side;685 Amsterdam Ave btwn 93rd and 94th Sts
777;Krunch Pizza Bar;980 Second Ave btwn 51st and 52nd Sts;Midtown East;980 Second Ave btwn 51st and 52nd Sts
778;Kum Gang San;49 W 32nd St at Broadway;Midtown West;49 W 32nd St
779;Kuma Inn;113 Ludlow St btwn Rivington and...;Lower East Side;113 Ludlow St
780;Kura Sushi;;East Village;
781;Kurumazushi;;Midtown East;
782;Kurve;;East Village;
783;Kyo Ya;94 E 7th St at First Ave;East Village;94 E 7th St
784;Kyotofu;;Midtown West;
785;L'Absinthe Brasserie;227 E 67th St;Upper East Side;227 E 67th St
786;L'Artusi;;Greenwich Village;
787;L'Atelier de Joel Robuchon;57 E 57th St btwn Madison and Park Aves;Midtown East;252 E 57th St
788;L'Ecole;462 Broadway at Grand St;SoHo;462 Broadway at Grand St
789;L'Orange Bleue;;SoHo;
790;L.E.S. Sandwicherie;;Lower East Side;
791;La Barra;;Lower East Side;
792;La Bonne Soupe;;Midtown West;
793;La Bottega Caffe;;Chelsea;
794;La Cantina;;Greenwich Village;
795;La Carne Grill;340 Lexington Ave btwn 39th and 40th Sts;Midtown East;340 Lexington Ave
796;La Fonda Boricua;;Upper East Side;
797;La Fonda Del Sol;;Midtown East;
798;La Gioconda;;Midtown East;
799;La Goulue;746 Madison Ave btwn 64th and 65th Sts;Upper East Side;746 Madison Ave btwn 64th and 65th Sts
800;La Grenouille;3 E 52nd St btwn 5th and Madison Aves;Midtown East;3 E 52nd St
801;La Lanterna di Vittorio;129 MacDougal St btwn 3rd and 4th Sts;Greenwich Village;129 MacDougal St btwn 3rd and 4th Sts
802;La Lunchonette;;Chelsea;
803;La Mangeoire;1008 Second Ave btwn 53rd and 54th Sts;Midtown East;54th St
804;La Masseria;235 W 48th St btwn Broadway and Eighth...;Midtown West;235 W 48th St
805;La Mediterranee;947 2nd Ave btwn 50th and 51st Sts;Midtown East;947 2nd Ave btwn 50th and 51st Sts
806;La Nacional;;Greenwich Village;
807;La Paella;;East Village;
808;La Rural;;Upper West Side;
809;La Sirene;;SoHo;
810;La Sirène;;SoHo;
811;La Taqueria;;Park Slope;
812;La Taza de Oro;;Chelsea;
813;La Vineria;737 Ninth Ave btwn 49th and 50th Sts;Midtown West;50th Ave
814;La Zarza;166 First Ave btwn 10th and 11th Sts;East Village;166 First Ave btwn 10th and 11th Sts
815;Lan;56 Third Ave btwn 10th and 11th Sts;East Village;56 Third Ave btwn 10th and 11th Sts
816;Land Thai Kitchen;450 Amsterdam Ave at 82nd St;Upper West Side;450 Amsterdam Ave
817;Landmarc at the Time Warner Center;;Midtown West;
818;Landmark Tavern;626 Eleventh Ave at 46th St;Midtown West;626 11th Ave
819;Las Chicas Locas;;Chelsea;
820;Las Ramblas;170 W 4th St btwn Jones and Cornelia Sts;Greenwich Village;170 W 4th St btwn Jones and Cornelia Sts
821;Lassi;28 Greenwich Ave at Charles St;Greenwich Village;28 Greenwich Ave
822;Lavagna;545 E 5th St btwn Aves A and B;East Village;545 E 5th St btwn Aves A and B
823;Lazzara's Pizza Cafe;221 W 38th St near 7th Ave;Midtown West;221 W 38th St #7th
824;Le Bateau Ivre;;Midtown East;
825;Le Bernardin;;Midtown West;
826;Le Bilboquet;;Upper East Side;
827;Le Charlot;19 E 69th St btwn Madison and Park Aves;Upper East Side;19 E 69th St btwn Madison and Park Aves
828;Le Cirque;151 E 58th St btwn Lexington and Third...;Midtown East;151 E 58th St
829;Le Colonial;149 E 57th St btwn Lexington and 3rd...;Midtown East;149 E 57th St btwn Lexington and 3rd...
