;restaurant;address;country;addressGoogle
808;Clinton Restaurant;293 East Houston Street;New York, NY, 10002;293 E Houston St
809;Clinton Street Baking Company & Restaurant;4 Clinton Street;New York, NY, 10002;4 Clinton St
810;Coco Pazzo;23 East 74th Street;New York, NY, 10021;23 E 74th St
811;Cocoa Bar;21 Clinton Street;New York, NY, 10002;21 Clinton St
812;Coffee Shop;29 Union Square West;New York, NY, 10003;29 Union Square W
813;Col Legno;231 East 9th Street;New York, NY, 10003;231 E 9th St
814;Cola's;148 8th Avenue;New York, NY, 10011;148 8th Ave
815;Cold Stone Creamery;253 West 42nd Street;New York, NY, 10036;253 W 42nd St
816;Colors;417 Lafayette Street;New York, NY, 10003;417 Lafayette St
817;Columbia Bagels;2836 Broadway at 110th Street;New York, NY,;New York
818;Columbine;229 West Broadway;New York, NY, 10013;229 W Broadway
819;Columbus Bakery;957 1st Avenue;New York, NY, 10022;957 1st Avenue
820;Columbus Bakery;474 Columbus Avenue;New York, NY, 10024;474 Columbus Ave
821;Comfort Diner;25 West 23RD Street;New York, NY, 10010;25 W 23rd St
822;Comix;353 West 14th Street;New York, NY, 10014;353 W 14th St
823;Commerce;50 Commerce St at Barrow St;New York, NY, 10014;50 Commerce St
824;Commodore Grill;East 42ND Street and Lexington Avenue;New York, NY, 10017;Lexington Ave & E 42nd St
825;Community Food & Juice;2893 Broadway;New York, NY, 10025;2893 Broadway
826;Cones: Ice Cream Artisans;272 Bleecker Street;New York, NY, 10014;272 Bleecker St
827;Confetti Pasta Inc;5 East 38TH Street;New York, NY, 10016;5 E 38th St
828;Cong Ly;124 Hester Street;New York, NY, 10002;124 Hester St
829;Congee;98 Bowery;New York, NY, 10013;98 Bowery
830;Congee Village;100 Allen Street;New York, NY, 10002;100 Allen St
831;Connolly's Pub & Restaurant;44W 54th Street;New York, NY, 10019;44 W 54th St
832;Convivio;45 Tudor City Pl. at 42nd St;New York, NY, 10017;45 Tudor City Pl
833;Cooke's Corner;618 Amsterdam Avenue;New York, NY, 10024;618 Amsterdam Ave
834;Cookie Island;189 Broadway;New York, NY, DNE;189 Broadway
835;Cookshop;156 10th Avenue;New York, NY, 10011;156 10th Ave
836;Cooper 35;35 Cooper Square;New York, NY, 10003;35 Cooper Sq
837;Copper Chimney;126 East 28th Street;New York, NY, 10016;126 E 28th St
838;Coppola's;206 West 79th Street;New York, NY, 10024;206 W 79th St
839;Coppola's;378 3rd Avenue;New York, NY, 10016;378 3rd Ave
840;Cordato's;94½ Greenwich Street;New York, NY, 10006;94½ Greenwich Street
841;Corio;337 West Broadway;New York, NY, 10013;337 W Broadway
842;Cornelia Street Cafe;29 Cornelia Street;New York, NY, 10014;29 Cornelia St
843;Corner Bistro;331 West 4th Street;New York, NY, 10014;331 West 4th Street
844;Cosette;163 East 33rd Street;New York, NY, 10016;163 E 33rd St
845;Cosmic Cantina;101 3rd Avenue;New York, NY, 10003;101 3rd Ave
846;Cosmic Diner;888 8th Avenue;New York, NY, 10019;888 8th Ave
847;Cosmos Diner;248 East 23rd Street;New York, NY, 10010;248 E 23rd St
848;Costa Del Sol Restaurant;742 9th Avenue;New York, NY, 10019;742 9th Ave
849;Cosí;841 Broadway;New York, NY, 10003;841 Broadway
850;Cosí;World Financial Ctr.;New York, NY, 10286;230 Vesey St
851;Cosí;504 5th Avenue;New York, NY, 10011;504 5th Ave
852;Cottage Restaurant;360 Amsterdam Avenue Streete 1;New York, NY, 10024;360 Amsterdam Ave
853;Counter;105 1st Avenue;New York, NY, 10003;105 1st Avenue
854;Country;Carlton Hotel;New York, NY, 10016;50 Central Park S
855;Country Café;69 Thompson Street;New York, NY, 10012;69 Thompson St
856;Cozy Cafe;43 East 1st Street;New York, NY, 10003;43 E 1st St
857;Cozy Soup & Burger;739 Broadway;New York, NY, 10003;739 Broadway
858;Craftsteak;85 10th Avenue;New York, NY, 10011;US-NYC-8510
859;Crave Ceviche Bar;946 2nd Avenue;New York, NY, 10022;946 2nd Ave
860;Crazy Bananas;315 5th Avenue;New York, NY, 10016;315 5th Ave
861;Crazy Nanny's;21 7th Avenue South;New York, NY, 10014;21 7th Ave S
862;Crema;111 West 17th Street;New York, NY, 10011;111 W 17th St
863;Cremcaffe;65 2nd Avenue;New York, NY, 10003;65 2nd Ave
864;Creole;2167 3rd Avenue;New York, NY, 10035;2167 3rd Ave
865;Creperie;135 Ludlow Street;New York, NY, 10002;135 Ludlow St
866;Crepes To Go;90 West 3rd Street;New York, NY, 10012;90 W 3rd St
867;Crestanello;475 5th Avenue;New York, NY, 10017;475 5th Ave
868;Crif Dogs;113 St. Marks Place;New York, NY, 10009;113 St Marks Pl
869;Crispo;240 West 14th Street;New York, NY, 10011;240 W 14th St
870;Crispy Pizza;114 7th Avenue;New York, NY, 10011;114 7th Ave
871;Crooked Tree;110 St. Marks Place;New York, NY, 10009;110 St Marks Pl
872;Crosby Connection;172 Crosby Street;New York, NY, 10012;172 Crosby St
873;Croton Reservoir Tavern;108 West 40th Street;New York, NY, 10018;108 W 40th St
874;Crown Gourmet;1674 Broadway;New York, NY, 10019;1674 Broadway
875;Cru;24 5th Avenue;New York, NY, 10011;24 5th Ave
876;Crudo;54 Clinton Street;New York, NY, 10002;54 Clinton St
877;Crumbs;37 East 8th Street;New York, NY, 10003;37 E 8th St
878;Cub Room;131 Sullivan Street;New York, NY, 10012;131 Sullivan St
879;Cuba;222 Thompson Street;New York, NY, 10012;222 Thompson St
880;Cuba Cafe;200 8th Avenue;New York, NY, 10011;200 8th Ave
881;Cubana Café;110 Thompson Street;New York, NY, 10012;110 Thompson St
882;Cube 63;63 Clinton Street;New York, NY, 10002;63 Clinton St
883;Cucina & Co;MetLife Building, 200 Park Avenue;New York, NY, 10016;200 Park Ave
884;Cucina & Co;Concourse Level, 30 Rockefeller Ctr at 49th Street;New York, NY, 10112;30 Rockefeller Plaza
885;Cucina Di Pesce;87 East 4th Street;New York, NY, 10003;87 E 4th St
886;Cupcake Café;522 9th Avenue at 39th Street;New York, NY, 10018;522 9th Ave
887;Cupping Room Cafe;359 West Broadway;New York, NY, 10013;359 W Broadway
888;Curly's Vegetarian Lunch;328 East 14th Street;New York, NY, 10003;328 E 14th St
889;Curry In A Hurry;119 Lexington Avenue;New York, NY, 10016;119 Lexington Ave
890;Curry Leaf;99 Lexington Avenue;New York, NY, 10016;99 Lexington Ave
891;Curry Mahal Indian Restaurant;78 2ND Avenue;New York, NY, 10003;78 2nd Ave
892;Custard Beach;33 East 8th Street;New York, NY,;33 E 8th St
893;Custard Beach;42nd Street - Grand Central Terminal, Dining Lower Concourse;New York, NY, 10017;42nd Street - Grand Central Terminal, Dining Lower Concourse
894;Custom Cakes;335 W 38th St # 11;New York, NY, 10018;335 W 38th St Apt 11
895;Cyclo;203 1st Avenue;New York, NY,;203 1st Avenue
896;D'Aituo;405 8th Avenue;New York, NY, 10001;405 8th Ave
897;D'Artagnan Rotisserie;152 East 46th Street;New York, NY,;152 E 46th St
898;D.M.E.'s Southern Style Food;100 West 124th Street;New York, NY, 10027;100 W 124th St
899;DB Bistro Moderne;55 West 44th Street;New York, NY, 10036;55 W 44th St
900;DJ Cafe;23 Lexington Avenue;New York, NY, 10010;23 Lexington Ave
901;Da Andrea;557 Hudson Street;New York, NY, 10014;557 Hudson St
902;Da Antonio;157 East 55th Street;New York, NY, 10022;157 E 55th St
903;Da Ciro;229 Lexington Avenue;New York, NY, 10016;229 Lexington Ave
904;Da Filippo Restaurante Italian;1315 2nd Avenue;New York, NY, 10021;1315 2nd Ave
905;Da Mario;883 1st Avenue;New York, NY, 10022;883 1st Avenue
906;Da Nico;164 Mulberry Street;New York, NY, 10013;164 Mulberry St
907;Da Rosina;342 West 46TH Street;New York, NY, 10036;342 W 46th St
908;Da Silvano;260 5th Avenue;New York, NY, 10014;260 5th Ave
909;Da Umberto;107 West 17th Street;New York, NY, 10011;107 W 17th St
910;Dae Dong Manhattan;17 West 32nd Street;New York, NY, 10001;17 W 32nd St
911;Dag Hammarskjold Plaza Greenmarket;47th Street & Second Avenue;New York, NY, 10017;2nd Ave & E 47th St
912;Daioh Sushi;300 West 23rd Street;New York, NY, 10011;300 W 23rd St
913;Daisy Mays Bbq Usa;623 11th Avenue;New York, NY, 10036;623 11th Ave
914;Dakshin;1713 1st Avenue;New York, NY, 10128;1713 1st Avenue
915;Dakshin;741 9th Avenue;New York, NY, 10028;741 9th Ave
916;Dalga Seafood Grill;401 East 62nd Street;New York, NY, 10021;401 E 62nd St
917;Dallas BBQ;261 8th Avenue;New York, NY, 10001;261 8th Ave
918;Dallas BBQ;27 West 72nd Street;New York, NY, 10023;27 W 72nd St
919;Dallas BBQ;241 West 42nd Street;New York, NY, 10036;241 W 42nd St
920;Dallas BBQ;3956 Broadway;New York, NY, 10032;Lasker Biomedical Research Building
921;Dallas BBQ;1265 3rd Avenue;New York, NY, 10021;1265 3rd Ave
922;Dallas BBQ;132 2nd Avenue;New York, NY, 10003;132 2nd Ave
923;Dallas Jones Barbecue;178 West Houston Street;New York, NY, 10014;178 W Houston St
924;Dan Tempura;2018 Broadway at 69th Street;New York, NY, 10023;2018 Broadway
925;Danal;90 East 10th Street;New York, NY, 10003;90 E 10th St
926;Dangerfield's;1118 1st Avenue;New York, NY, 10021;1118 1st Avenue
927;Dani (CLOSED);333 Hudson Street;New York, NY, 10013;333 Hudson St
928;Daniel;60 East 65th Street;New York, NY, 10021;60 E 65th St
929;Daniel's Bagels;569 3rd Avenue;New York, NY, 10016;569 3rd Ave
930;Dano (CLOSED);254 5th Avenue;New York, NY, 10001;254 5th Ave
931;Danube;30 Hudson Street;New York, NY, 10013;Goldman Sachs Tower
932;Daphne's;233 East 14th Street;New York, NY, 10003;233 E 14th St
933;Darbar;152 East 46th Street;New York, NY, 10017;152 E 46th St
934;Darna;600 Columbus Avenue;New York, NY, 10025;600 Columbus Ave
935;Darna Restaurant;633 2nd Avenue;New York, NY, 10016;633 2nd Ave
936;Dash Dogs;127 Rivington Street;New York, NY, 10002;127 Rivington St
937;David Bagel;228 1ST Avenue;New York, NY, 10009;228 1st Avenue
938;David Burke At Bloomingdale's;1000 3rd Avenue;New York, NY, 10022;1000 3rd Ave
939;Dawat;210 East 58th Street;New York, NY, 10022;210 E 58th St
940;Dawgs On Park;178 East 7th Street at Avenue B;New York, NY, 10009;178 E 7th St
941;DeMarco's Pizzeria (CLOSED);146 West Houston Street;New York, NY, 10012;146 W Houston St
942;Dean & DeLuca;560 Broadway at Prince Street;New York, NY,;560 Broadway at Prince Street
943;Dean & DeLuca;75 University Place at 10th Street;New York, NY, 10003;75 University Pl
944;Dean Deluca;575 Broadway;New York, NY, 10012;575 Broadway
945;Dean's;215 West 85th Street;New York, NY, 10024;215 W 85th St
946;Death & Company;433 East 6th Street;New York, NY, 10009;433 E 6th St
947;Deborah;43 Carmine Street;New York, NY, 10014;43 Carmine St
948;Degrezia;231 East 50th Street;New York, NY, 10022;231 E 50th St
949;Degustation;239 East 5th Street;New York, NY, 10003;239 E 5th St
950;Dekk;241 Church Street;New York, NY, 10013;241 Church St
951;Dekk;134 Reade Street;New York, NY, 10013;134 Reade St
952;Del Frisco's;1221 5th Avenue;New York, NY, 10020;1221 5th Ave
953;Del Posto;85 10th Avenue;New York, NY, 10011;US-NYC-8510
954;Delectica Catering;564 3rd Avenue;New York, NY, 10016;564 3rd Ave
955;Delegates' Diner;United Nations, 4th fl.;New York, NY, 10017;United Nations, 4th fl.
956;Deli on Madison;420 Madison Avenue;New York, NY, 10017;420 Madison Ave
957;Delicia;322 West 11th Street;New York, NY, 10014;322 W 11th St
958;Delivery Com;110 East 59th Street;New York, NY, 10022;110 E 59th St
959;Delizia Pizzeria Restaurant;1374 1ST Avenue;New York, NY, 10021;1374 1st Avenue
960;Delmonico's;56 Beaver Street;New York, NY, 10004;56 Beaver St
961;Delphi Restaurant (CLOSED);109 West Broadway;New York, NY, 10013;109 W Broadway
962;Delta Grill;700 9th Avenue;New York, NY, 10036;700 9th Ave
963;Dennis Foy;313 Church Street;New York, NY, 10013;313 Church St
964;Dervish Restaurant;146 West 47TH Street;New York, NY, 10036;146 W 47th St
965;Dervish Turkish;146 West 47th Street;New York, NY, 10036;146 W 47th St
966;Desi Deli;724 10th Avenue;New York, NY, 10019;724 10th Ave
967;Destino;891 1st Avenue;New York, NY, 10022;891 1st Avenue
968;Deux Amis;356 East 5th Street;New York, NY, 10022;356 E 5th St
969;Devin Tavern;363 Greenwich Street;New York, NY, 10013;363 Greenwich St
970;Di Palo's Fine Foods;200 Grand Street at Mott Street;New York, NY, 10013;200 Grand St
971;Diablo Royale;189 West 10th Street;New York, NY, 10014;189 W 10th St
972;Diamond Dairy Restaurant;4 West 47th Street;New York, NY, 10036;4 W 47th St
973;Dil-E-Punjab Deli;164 9th Avenue;New York, NY, 10011;164 9th Ave
974;Dim Sum Go Go;5 East Broadway;New York, NY, 10002;5 E Broadway
975;Dimple Indian Fast Food;11 West 30TH Street;New York, NY, 10001;11 W 30th St
976;Diner 24 (CLOSED);102 8th Avenue;New York, NY, 10011;102 8th Ave
977;Dinosaur Bar-B-Que;646 West 131st Street;New York, NY, 10027;646 W 131st St
978;Dishes;6 East 45th Street;New York, NY, 10017;6 E 45th St
979;Dishes;Grand Central lower level;New York, NY, 10017;89 E 42nd St
980;District;Muse Hotel 130 West 46th Street;New York, NY, 10036;130 W 46th St
981;Ditch Plains;29 Bedford Street;New York, NY, 10014;29 Bedford St
982;Divertimento Bistro;432 East 13th Street;New York, NY, 10009;432 E 13th St
983;Divino;1556 2nd Avenue;New York, NY, 10028;1556 2nd Ave
984;Diwan;148 East 48th Street;New York, NY, 10017;148 E 48th St
985;Diwan-E-Khaas;26 South William Street;New York, NY, 10004;26 S William St
986;Dizzy's Club Coca-Cola;Frederick P. Rose Hall, Home of Jazz at Lincoln Center;New York, NY, 10019;10 Columbus Cir
987;Django;480 Lexington Avenue;New York, NY, 10167;480 Lexington Ave
988;Djerdan Burek;221 West 38th Street;New York, NY, 10018;221 W 38th St
989;Do Hwa;55 Carmine Street;New York, NY, 10014;55 Carmine St
990;Doc Watson's Restaurant And Pub;1150 Lexington Avenue;New York, NY, 10021;1150 Lexington Ave
991;Docks Oyster Bar;633 3rd Avenue;New York, NY, 10017;633 3rd Ave
992;Docks Oyster Bar;2427 Broadway;New York, NY, 10024;2427 Broadway
993;Dodo Cafe;45 Peck Slip;New York, NY, 10038;45 Peck Slip
994;Dojo;14 West 4th Street;New York, NY, 10012;14 West 4th Street
995;Dojo;24-26 St. Mark's Place;New York, NY, 10012;24 St Marks Pl
996;Dok Suni;119 1st Avenue;New York, NY, 10003;119 1st Avenue
997;Dolcino Ristorante;517 2nd Avenue;New York, NY, 10016;517 2nd Ave
998;Dom's Fine Foods;202 Lafayette Street;New York, NY, 10012;202 Lafayette St
999;Domenico's;120 East 40th Street;New York, NY, 10016;120 E 40th St
1000;Dominic;349 Greenwich Street;New York, NY, 10013;349 Greenwich St
1001;Dominick's Deli;1109 1st Avenue;New York, NY, 10021;1109 1st Avenue
1002;Don Giovanni;214 10th Avenue;New York, NY, 10009;214 10th Ave
1003;Don Pedro's;1865 2nd Avenue;New York, NY, 10029;1865 2nd Ave
1004;Don Veitia;860 2nd Avenue;New York, NY, 10017;860 2nd Ave
1005;Don's Bogam Bbq & Wine Bar;17 East 32nd Street;New York, NY, 10016;17 E 32nd St
1006;Dona (CLOSED);208 East 52nd Street;New York, NY, 10022;208 E 52nd St
1007;Donguri;309 East 83rd Street;New York, NY, 10028;309 E 83rd St
1008;Doozo Japanese Restaurant;216 Thompson Street;New York, NY, 10012;216 Thompson St
1009;Dos Caminos;373 Park Avenue South;New York, NY, 10016;373 Park Ave S
1010;Dos Caminos;475 West Broadway;New York, NY, 10012;475 W Broadway
1011;Dos Caminos;825 3rd Avenue;New York, NY, 10022;825 3rd Ave
1012;Dosirak;30 East 13th Street;New York, NY, 10003;30 E 13th St
1013;Dovetail;103 West 77th Street;New York, NY, 10024;103 W 77th St
1014;Down The Hatch;179 West 4th Street;New York, NY, 10014;179 West 4th Street
1015;Downtown Cipriani;376 West Broadway;New York, NY, 10012;376 W Broadway
1016;Doyers Vietnamese;11-13 Doyers Street;New York, NY, 10013;11 Doyers St #13
1017;Dragon Gate;92-96 Elizabeth Street;New York, NY, 10013;92 Elizabeth St #96
1018;Dragon Land Bakery;125 Walker Street;New York, NY, 10013;125 Walker St
1019;Dragon Palace Restaurant;202 Centre Street;New York, NY, 10013;202 Centre St
1020;Dragonfly (CLOSED);47-49 7th Avenue South;New York, NY, 10014;47 7th Ave
1021;Duane Park;157 Duane St;New York, NY, 10013;157 Duane St
1022;Duane Park Cafe;157 Duane Street;New York, NY, 10013;157 Duane St
1023;Duane Park Patisserie;179 Duane Street;New York, NY, 10013;179 Duane St
1024;Dublin 6 Wine & Dine;575 Hudson Street;New York, NY, 10014;575 Hudson St
1025;Due;1396 3rd Avenue;New York, NY, 10021;1396 3rd Ave
1026;Duke's - Gramercy Park;99 East 19th Street;New York, NY, 10003;99 E 19th St
1027;Duke's - Murray Hill;560 3rd Avenue;New York, NY, 10016;560 3rd Ave
1028;Dumonet At The Carlyle;35 East 76th Street at Madison Avenue;New York, NY, 10021;35 E 76th St
1029;Dumpling House;118 A Eldridge Street south of Broom Street;New York, NY, 10002;118A Eldridge St
1030;Dumpling Man;100 St. Marks Place;New York, NY, 10009;100 St Marks Pl
1031;Dunkin Donuts;761 7TH Avenue;New York, NY, 10019;761 7th Ave
1032;Dylan Prime;62 Laight Street;New York, NY, 10013;62 Laight St
1033;Dévi;8 East 18th Street;New York, NY, 10003;8 E 18th St
1034;E La Nave Va;119 St. Mark's Place;New York, NY, 10009;119 St Marks Pl
1035;E.A.T.;1064 Madison Avenue;New York, NY, 10028;1064 Madison Ave
1036;ESPN Sports Zone;1472 Broadway;New York, NY, 10036;1472 Broadway
1037;Ear Inn;326 Spring Street;New York, NY, 10013;326 Spring St
1038;Earl's;560 3rd Avenue;New York, NY, 10016;560 3rd Ave
1039;Earth;116A 10th Avenue;New York, NY, 10011;116A 10th Ave
1040;Earthen Oven;53 West 72nd Street;New York, NY, 10023;53 W 72nd St
1041;East;366 3rd Avenue;New York, NY, 10016;366 3rd Ave
1042;East;253 West 55th Street;New York, NY, 10019;253 W 55th St
1043;East;354 East 66th Street;New York, NY, 10021;354 E 66th St
1044;East;210 East 44th Street;New York, NY, 10017;210 E 44th St
1045;East 53 Teriyaki House;220 East 53rd Street;New York, NY, 10022;220 E 53rd St
1046;East Bay;491 1st Avenue;New York, NY, 10016;491 1st Avenue
1047;East Broadway Gourmet;40 East Broadway,;New York, NY, 10002;40 E Broadway
1048;East Corner Wonton;70 East Broadway at Division Street;New York, NY, 10002;70 E Broadway
1049;East River Cafe;1111 1st Avenue;New York, NY, 10021;1111 1st Avenue
1050;East Side Bagel;1496 1st Avenue;New York, NY, 10021;1496 1st Avenue
1051;East Village Meat Market;139 2nd Avenue;New York, NY, 10003;139 2nd Ave
1052;East Village Pizzeria;145 1St Avenue;New York, NY, 10003;145 1st Avenue
1053;East Village Sushi Park;121 2nd Avenue;New York, NY, 10003;121 2nd Ave
1054;East Village Thai;32 East 7th Street;New York, NY, 10003;32 E 7th St
1055;East Village Yacht Club;42 East 1st Street;New York, NY, 10003;42 E 1st St
1056;East of Eighth;254 West 23rd Street;New York, NY, 10011;254 W 23rd St
1057;Eastanah;212 Lafayette Street;New York, NY, 10012;212 Lafayette St
1058;Eastern King;1395 2nd Avenue;New York, NY, 10021;1395 2nd Ave
1059;Eat Inn;42 Bowery;New York, NY, 10013;42 Bowery
1060;Eatery;798 9th Avenue;New York, NY, 10019;798 9th Ave
1061;Ebisu Corporation;414 East 9TH Street;New York, NY, 10009;414 E 9th St
1062;Ecco La;1660 3RD Avenue;New York, NY, 10128;1660 3rd Ave
1063;Ecco, the Italian Saloon;124 Chambers Street;New York, NY, 10007;124 Chambers St
1064;Ed's Lobster Bar;222 Lafayette Street;New York, NY, 10012;222 Lafayette St
1065;Eden Wok;127 West 72nd Street;New York, NY, 10023;127 W 72nd St
1066;Edgar's Cafe;255 West 84th Street;New York, NY, 10024;255 W 84th St
1067;Edison Cafe;228 West 47th Street;New York, NY, 10036;228 W 47th St
1068;Edo Japanese Restaurant;9 East 17th Street;New York, NY, 10003;9 E 17th St
1069;Edward's;136 West Broadway;New York, NY, 10013;136 W Broadway
1070;Eight Mile Creek;240 Mulberry Street;New York, NY, 10012;240 Mulberry St
1071;Eighty One;45 W 81st St;New York, NY, 10024;45 W 81st St
1072;Eileen's Special Cheesecake;17 Cleveland Place;New York, NY, 10012;17 Cleveland Pl
1073;Eisenberg's Sandwich Shop;174 5th Avenue;New York, NY, 10010;174 5th Ave
1074;Ej's Luncheonette;447 Amsterdam Avenue;New York, NY, 10024;447 Amsterdam Ave
1075;Ej's Luncheonette;1271 3rd Avenue;New York, NY, 10021;1271 3rd Ave
1076;Ej's Luncheonette;432 6th Avenue;New York, NY, 10011;432 6th Ave
1077;El Azteca;783 9th Avenue;New York, NY, 10019;783 9th Ave
1078;El Bocadito;79 Orchard Street;New York, NY, 10002;79 Orchard St
1079;El Cantinero;86 University Place;New York, NY, 10003;86 University Pl
1080;El Castillo De Jagua;113 Rivington Street Streete 1;New York, NY, 10002;113 Rivington St
1081;El Castillo De Jagua Restaurant;113 Rivington Street,;New York, NY, 10002;113 Rivington St
1082;El Centro;824 9th Avenue;New York, NY, 10019;824 9th Ave
1083;El Charro Espanol;4 Charles Street;New York, NY, 10014;4 Charles St
1084;El Charro Restaurant;4 Charles Street;New York, NY, 10014;4 Charles St
1085;El Cid;322 West 15th Street;New York, NY, 10011;322 W 15th St
1086;El Cocotero;228 West 18th Street;New York, NY, 10011;228 W 18th St
1087;El Deportivo;701 9th Avenue at 48th Street;New York, NY,;701 9th Ave
1088;El Deportivo Restaurant;701 9TH Avenue;New York, NY, 10019;701 9th Ave
1089;El Despertar;1875 Lexington Avenue;New York, NY, 10035;1875 Lexington Ave
1090;El Faro;823 Greenwich Sreet;New York, NY, 10014;823 Greenwich St
1091;El Maguey Y La Tuna;321 East Houston Street;New ork, NY, 10002;321 E Houston St
1092;El Maguey Y La Tuna;321 East Houston Street;New York, NY, 10002;321 E Houston St
1093;El Malecon;764 Amsterdam Avenue;New York, NY, 10025;764 Amsterdam Ave
1094;El Nuevo Castillo;125 Avenue D;New York, NY,;125 Avenue D
1095;El Papasito;370 West 52ND ST;New York, NY, 10019;370 W 52nd St
1096;El Parador;325 East 34th Street;New York, NY, 10016;325 E 34th St
1097;El Paso Taqueria;1642 Lexington Avenue;New York, NY, 10029;1642 Lexington Ave
1098;El Paso Taqueria;64 East 97th Street;New York, NY, 10029;64 E 97th St
1099;El Pote;718 2nd Avenue;New York, NY, 10016;718 2nd Ave
1100;El Quijote;226 West 23rd Street;New York, NY, 10011;226 W 23rd St
1101;El Quinto Pino;401 West 24th Street;New York, NY, 10011;401 W 24th St
1102;El Rey De La Caridad Restaurant;973 Amsterdam Avenue;New York, NY, 10025;973 Amsterdam Ave
1103;El Rey Del Sol;232 West 14th Street;New York, NY, 10011;232 W 14th St
1104;El Rinconcito;408 East 10th Street;New York, NY, 10009;408 E 10th St
1105;El Rio Grande;160 East 38th Street;New York, NY, 10012;160 E 38th St
1106;El Sombrero;108 Stanton Street;New York, NY, 10002;108 Stanton St
1107;Elaine's;1703 2nd Avenue;New York, NY, 10128;1703 2nd Ave
1108;Eleni's Cookies;75 Ninth Avenue (in the Chelsea Market);New York, NY, 11101;75 9th Ave
1109;Elephant & Castle;68 Greenwich Avenue;New York, NY, 10011;68 Greenwich Ave
1110;Eleven Madison Park;11 Madison Avenue;New York, NY, 10010;11 Madison Ave
1111;Eli's Manhattan;1411 3rd Avenue;New York, NY, 10028;1411 3rd Ave
1112;Elio's;1621 2nd Avenue;New York, NY, 10028;1621 2nd Ave
1113;Elmo;156 7th Avenue;New York, NY, 10011;156 7th Ave
1114;Elvie's Turo-Turo;214 1St Avenue;New York, NY, 10009;214 1st Avenue
1115;Elyssa Dido;85 Orchard Street;New York, NY, 10002;85 Orchard St
1116;Emack & Bolio's;73 West Houston Street;New York, NY, 10012;73 W Houston St
1117;Embassy Wines & Spirits;796 Lexington Avenue;New York, NY, 10021;796 Lexington Ave
1118;Emerald Inn;205 Columbus Avenue;New York, NY, 10023;205 Columbus Ave
1119;Emilio's Ballato;55 East Houston Street;New York, NY, 10003;55 E Houston St
1120;Emma's Dilemma;270 Park Avenue South;New York, NY, 10010;270 Park Ave S
1121;Empanada Mama;763 9th Avenue;New York, NY, 10019;763 9th Ave
1122;Empire Diner;210 10th Avenue;New York, NY, 10011;210 10th Ave
1123;Empire Gourmet Deli;245 9th Avenue;New York, NY, 10001;245 9th Ave
1124;Empire Szechuan;193 Columbus Avenue;New York, NY, 10023;193 Columbus Ave
1125;Empire Szechuan;15 Greenwich Avenue;New York, NY, 10014;15 Greenwich Ave
1126;Empire Szechuan;173 7th Avenue South;New York, NY, 10014;173 7th Ave S
1127;Empire Szechuan;2642 Broadway;New York, NY, 10025;2642 Broadway
1128;Empire Szechuan;251 West 72nd Street;New York, NY, 10023;251 W 72nd St
1129;Empire Szechuan;2574 Broadway,;New York, NY, 10025;2574 Broadway
1130;Empire Szechuan 4 (CLOSED);381 3rd Avenue;New York, NY, 10016;381 3rd Ave
1131;En Japanese Brasserie;435 Hudson Street;New York, NY, 10014;435 Hudson St
1132;Energy Kitchen;1089 2nd Avenue;New York, NY, 10022;1089 2nd Ave
1133;English Is Italian;622 3rd Avenue;New York, NY, 10017;622 3rd Ave
1134;Ennio & Michael;539 La Guardia Place;New York, NY, 10012;539 LaGuardia Pl
1135;Enoteca Barbone;186 Avenue B;New York, NY, 10009;186 Avenue B
1136;Enoteca I Trulli;124 East 27th Street;New York, NY, 10016;27th and lex
1137;Epicerie;170 Orchard Street;New York, NY, 10002;170 Orchard St
1138;Epices Du Traiteur;103 West 70th Street;New York, NY, 10023;103 W 70th St
1139;Erminia;250 East 83rd Street;New York, NY, 10028;250 E 83rd St
1140;Esashi;32 Avenue A;New York, NY, 10009;32 Avenue A
1141;Esperanto;145 Avenue C;New York, NY, 10009;145 Loisaida Ave
1142;Espinal's Caribbean Deli;411 East 70th Street;New York, NY, 10021;411 E 70th St
1143;Ess-A-Bagel;359 1st Avenue;New York, NY, 10010;359 1st Avenue
1144;Ess-A-Bagel;831 3rd Avenue;New York, NY, 10022;831 3rd Ave
1145;Essex;120 Essex Street;New York, NY, 10002;120 Essex St
1146;Essex Street Bar Lounge;49 Essex Street;New York, NY, 10002;49 Essex St
1147;Estancia 460;460 Greenwich Street;New York, NY, 10013;460 Greenwich St
1148;Estiatorio Milos;125 West 55th Street;New York, NY, 10019;125 W 55th St
1149;Estoril Sol Restaurant;382 8TH Avenue;New York, NY, 10001;382 8th Ave
1150;Ethiopian Restaurant;1582 York Avenue;New York, NY, 10028;1582 York Ave
1151;Ethos;495 3rd Avenue;New York, NY, 10016;495 3rd Ave
1152;Europan Cafe;672 8th Avenue;New York, NY, 10036;672 8th Ave
1153;Euzkadi;108 East 4th Street;New York, NY, 10003;108 E 4th St
1154;Eva's;11 West 8th Street;New York, NY, 10011;11 W 8th St
1155;Eva`s Health Food;11 W. 8TH STREET;;11 W 8th St
1156;Evergreen Shanghai;10 East 38th Street;New York, NY, 10016;10 E 38th St
1157;Excellent Dumpling House;111 Lafayette Street;New York, NY, 10013;111 Lafayette St
1158;Extra Virgin;259 West 4th Street;New York, NY, 10014;259 West 4th Street
1159;Extreme Pita;119 East 23rd Street;New York, NY, 10010;119 E 23rd St
1160;F & B;150 East 52nd;New York, NY, 10022;150 E 52nd St
