;restaurant;address;country;country_code;neighborhood;type;cost;addressGoogle
300;Cubana Cafe;110 Thompson St;New York;NY;Greenwich Village;Cuban;$;110 Thompson St
301;Cube 63;63 Clinton St;New York;NY;Lower East Side;Japanese;$$;63 Clinton St
302;Cucina Di Pesce;87 E 4th St;New York;NY;East Village;Italian;$;87 E 4th St
303;Da Andrea;557 Hudson St;New York;NY;West Village;Italian;$$;557 Hudson St
304;Da Antonio;157 E 55th St;New York;NY;Midtown East;Italian;$$$$;157 E 55th St
305;Da Ciro;229 Lexington Ave;New York;NY;Murray Hill;Italian;$$;229 Lexington Ave
306;Da Nico;164 Mulberry St.;New York;NY;;Italian;$$;164 Mulberry St
307;Da Silvano;260 6th Avenue;New York;NY;Greenwich Village;Italian;$$$;260 6th Ave
308;Da Umberto;107 West 17th Street;New York;NY;;Italian;$$$;107 W 17th St
309;Dallas Bbq;27 W 72nd St;New York;NY;Upper West Side;American;$;27 W 72nd St
310;Danal;90 E 10th St;New York;NY;East Village;French;$$;90 E 10th St
311;Daniel;60 E 65th St;New York;NY;Upper East Side;French;$$$$$;60 E 65th St
312;Danube;30 Hudson St;New York;NY;TriBeCa;Austrian;$$$$$;30 Hudson St
313;David Burke at Bloomingdales;1000 Third Avenue;New York;NY;;American;$$$;1000 3rd Ave
314;Davidburke & Donatella;133 E 61st St;New York;NY;Upper East Side;American;$$$$;133 E 61st St
315;Dawat;210 E 58th St;New York;NY;Midtown East;Indian;$$$;210 E 58th St
316;DeGrezia;231 E 50th St;New York;NY;Midtown East;Italian;$$$;231 E 50th St
317;Degustation;239 E Fifth St;New York;NY;East Village;Spanish;$$$;239 E 5th St
318;Del Frisco's;1221 Sixth Ave;New York;NY;Midtown West;Steakhouse;$$$$;1221 6th Ave
319;Del Posto;85 10th Ave;New York;NY;Chelsea;Italian;$$$$$;US-NYC-8510
320;Delmonico's;56 Beaver Street;New York;NY;Financial District;American;$$$$$;56 Beaver St
321;Delta Grill;700 Ninth Ave;New York;NY;Midtown West;Creole-Cajun;$$;700 9th Ave
322;Demarchelier;50 E. 86th St.;New York;NY;;;;50 East 86th St
323;Dervish Turkish;146 West 47th Street;New York;NY;Midtown West;Middle Eastern;$$;146 W 47th St
324;Desnuda;122 E 7th St;New York;NY;East Village;Seafood;$$$;122 E 7th St
325;Devi;8 E 18th St;New York;NY;Flatiron;Indian;$$$$;8 E 18th St
326;Dim Sum Go Go;5 E Broadway;New York;NY;Chinatown;Chinese;$;5 E Broadway
327;Dinosaur Bar-B-Que;646 W 131st St;New York;NY;Harlem;American;$;646 W 131st St
328;Ditch Plains;29 Bedford St.;New York;NY;;;;29 Bedford St
329;Diva;341 W Broadway;New York;NY;SOHO;Italian;$$$;341 W Broadway
330;Django;480 Lexington Avenue;New York;NY;Midtown East;French;$$$;480 Lexington Ave
331;Do Hwa;55 Carmine St;New York;NY;Greenwich Village;Korean;$$;55 Carmine St
332;Dok Suni;119 First Ave;New York;NY;East Village;Korean;$$;119 1st Avenue
333;Dolce Vita;181 Grand Street;New York;NY;;;;181 Grand St
334;Don Giovanni Ristorante;214 Tenth Avenue;New York;NY;Chelsea;Italian;$;214 Amsterdam Ave
335;Don Pedro's;1865 Second Ave;New York;NY;Upper East Side;Caribbean;$$;1865 2nd Ave
336;Donguri;309 E 83rd St;New York;NY;Upper East Side;Japanese;$$$;309 E 83rd St
337;Dos Caminos;825 Third Ave.;New York;NY;;Mexican;$$$;825 3rd Ave
338;Dos Caminos Park;373 Park Ave South;New York;NY;Gramercy Park;Mexican;$$;373 Park Ave S
339;Dos Caminos Soho;475 West Broadway;New York;NY;SOHO;Mexican;$$$;475 W Broadway
340;Doyers Vietnamese;11-13 Doyers St;New York;NY;Chinatown;Asian;$;11 Doyers St #13
341;Duane Park Cafe;157 Duane St;New York;NY;TriBeCa;American;$$$;157 Duane St
342;Duke's;99 E. 19th St.;New York;NY;;Barbecue;$$$;99 E 19th St
343;Dylan Prime;62 Laight St;New York;NY;TriBeCa;Steakhouse;$$$$$;62 Laight St
344;E.A.T.;1064 Madison Avenue;New York;NY;Upper East Side;American;$$;1064 Madison Ave
345;East Of Eighth;254 West 23rd St;New York;NY;;;;254 W 23rd St
346;Eatery;798 9th Ave;New York;NY;Midtown West;American;$;798 9th Ave
347;Eight Mile Creek;240 Mulberry St;New York;NY;Little Italy;Australian;$$;240 Mulberry St
348;El Charro Espanol;4 Charles St;New York;NY;Greenwich Village;Spanish;$$$;4 Charles St
349;El Faro;823 Greenwich St;New York;NY;West Village;Spanish;$$;823 Greenwich St
350;El Malecon;4141 Broadway;New York;NY;Harlem;Caribbean;$;4141 Broadway
351;El Parador Cafe;325 E 34th St;New York;NY;Murray Hill;Mexican;$$;325 E 34th St
352;El Pote;718 2nd Ave;New York;NY;Murray Hill;Spanish;$$;718 2nd Ave
353;El Quijote;226 W 23rd St;New York;NY;Chelsea;Spanish;$$;226 W 23rd St
354;El Rio Grande;160 East 38th Street;New York;NY;Midtown East;Southwestern;$$$;160 E 38th St
355;Elaine's Restaurant;1703 Second Ave;New York;NY;Upper East Side;American;$$$;1703 2nd Ave
356;Elephant;The, 58 E First St;New York;NY;East Village;French;$$;58 E 1st St
357;Eleven Madison Park;11 Madison Ave;New York;NY;Gramercy Park;American;$$$$$;11 Madison Ave
358;Elmo;156 Seventh Ave;New York;NY;Chelsea;American;$$;156 7th Ave
359;Emack & Bolio's;389 Amsterdam Ave;New York;NY;Upper West Side;American;$;389 Amsterdam Ave
360;Employees Only;510 Hudson St;New York;NY;West Village;European;$$$;510 Hudson St
361;En Japanese Brasserie;435 Hudson St;New York;NY;West Village;Japanese;$$$;435 Hudson St
362;Epicerie;170 Orchard St;New York;NY;East Village;French;$$;170 Orchard St
363;Epices Inc;103 W 70th St;New York;NY;Upper West Side;Mediterranean;$$;103 W 70th St
364;Erminia;250 E 83rd St;New York;NY;Upper East Side;Italian;$$$;250 E 83rd St
365;Esca;402 W 43rd St;New York;NY;Midtown West;Italian;$$$$;402 W 43rd St
366;Esperanto;145 Ave C;New York;NY;East Village;Nuevo Latino;$$;145 Loisaida Ave
367;Espn Zone;1472 Broadway;New York;NY;Midtown West;American;$;1472 Broadway
368;Essex;120 Essex St;New York;NY;Lower East Side;American;$;120 Essex St
369;Estancia 460;460 Greenwich St;New York;NY;Midtown West;Argentinean;$$;460 Greenwich St
370;Estiatorio Milos;125 West 55th Street;New York;NY;Midtown West;Greek;$$$$;125 W 55th St
371;Etats-Unis;242 E 81st St;New York;NY;Upper East Side;American;$$$;242 E 81st St
372;Etcetera Etcetera;352 W 44th St;New York;NY;Theater;Italian;$;352 W 44th St
373;Ethiopian Restaurant;The, 1582 York Ave;New York;NY;Upper East Side;African;$;1582 York Ave
374;Eva's Health Food;11 W. 8th Street;New York;NY;;;;11 W 8th St
375;Extra Virgin;259 W 4th St;New York;NY;West Village;Mediterranean;$$;259 West 4th Street
376;F.illi Ponte;39 Desbrosses St.;New York;NY;;Italian;$$$$;39 Desbrosses St
377;FR.OG;71 Spring Street;New York;NY;SOHO;French;$$$;71 Spring St
378;Falai;68 Clinton St;New York;NY;Lower East Side;Italian;$$$;68 Clinton St
379;Fat Hippo;71 Clinto St.;New York;NY;;;;71 Clinton St
380;Fatty Crab;643 Hudson Street;New York;NY;Meatpacking District;Indonesian;$$;643 Hudson St
381;Felidia;243 East 58th Street;New York;NY;Midtown East;Italian;$$$$;243 E 58th St
382;Felix;340 W Broadway;New York;NY;SOHO;French;$$;340 W Broadway
383;Fiamma Osteria;206 Spring Street;New York;NY;SOHO;Italian;$$$;206 Spring St
384;Fig & Olive Kitchen & Tasting Bar;808 Lexington Ave;New York;NY;Upper East Side;Mediterranean;$$;808 Lexington Ave
385;Fig and Olive Downton;420 W. 13th Street;New York;NY;Meatpacking District;Mediterranean;$$$;420 W 13th St
386;Film Center Cafe;635 9th Avenue;New York;NY;Midtown West;American;$$;635 9th Ave
387;Fish;280 Bleecker St;New York;NY;Greenwich Village;Seafood;$$;280 Bleecker St
388;Five Points;31 Great Jones Street;New York;NY;NoLita;American;$$$;31 Great Jones St
389;Flea Market Cafe;131 Ave A;New York;NY;East Village;French;$;131 Avenue A
390;Fleur De Sel;5 E 20th St;New York;NY;Flatiron;French;$$$$$;5 E 20th St
391;Flor De Mayo;484 Amsterdam Ave;New York;NY;Upper West Side;Chinese;$;484 Amsterdam Ave
392;Florent;69 Gansevoort St;New York;NY;Meatpacking District;American;$;69 Gansevoort St
393;Forge;134 Reade St;New York;NY;TriBeCa;American;$$$$;134 Reade St
394;Franchia Teahouse & Restaurant;12 Park Ave;New York;NY;Murray Hill;Korean;$$;12 Park Ave
395;Francisco's Centro Vasco;159 W 23rd St;New York;NY;;;;159 W 23rd St
396;Frank Restaurant;88 Second Ave;New York;NY;East Village;Italian;$;88 2nd Ave
397;Frank's;410 W 16th St;New York;NY;Chelsea;Italian;$$$;410 W 16th St
398;Frankie & Johnnie's Steakhouse;32 W 37th St;New York;NY;Midtown West;Steakhouse;$$$;32 W 37th St
399;Frankie & Johnnie's Steakhouse;269 West 45th Street;New York;NY;Midtown West;Steakhouse;$$$;269 W 45th St
400;Fred's Restaurant;476 Amsterdam Ave;New York;NY;;;;476 Amsterdam Ave
401;Frederick's;8 West 58th Street;New York;NY;Midtown West;Asian;$$$;8 W 58th St
402;Frederick's Madison;768 Madison Ave;New York;NY;Upper East Side;Mediterranean;$$$$;768 Madison Ave
403;Freeman;Freeman Alley;New York;NY;Lower East Side;American;$$;Freeman Alley
404;French Roast;2340 Broadway;New York;NY;Upper West Side;Breakfast;$;2340 Broadway
405;Fresco by Scotto;34 E 52nd St;New York;NY;Midtown East;Italian;$$$;34 E 52nd St
406;Fresh;105 Reade St;New York;NY;TriBeCa;Seafood;$$$;105 Reade St
407;Friend Of a Farmer;77 Irving Pl;New York;NY;Gramercy Park;American;$;77 Irving Pl
408;Funky Diner;466 Columbus Ave.;New York;NY;Upper West Side;American;$;466 Columbus Ave
409;Gabriel's Bar & Restaurant;11 W 60th St;New York;NY;Upper West Side;Italian;$$$;11 W 60th St
410;Gabriela's;688 Columbus Avenue;New York;NY;Upper West Side;Mexican;$$;688 Columbus Ave
411;Gallaghers;228 W 52nd St;New York;NY;Midtown West;Steakhouse;$$$$;228 W 52nd St
412;Gammeeok Restaurant;43 W 32nd St;New York;NY;Midtown West;Korean;$;43 W 32nd St
413;Garage Restaurant and Cafe;99 7th Avenue;New York;NY;Chelsea;American;$$$;99 7th Ave
414;Gari;370 Columbus Ave;New York;NY;Upper West Side;Sushi;$$$$$;370 Columbus Ave
415;Gascogne;158 8th Avenue;New York;NY;Chelsea;French;$$$;158 8th Ave
416;Gaucho Steak Co.;752 10th Ave.;New York;NY;;Argentinean;$$;752 10th Ave
417;Gavroche;212 W 14th St;New York;NY;West Village;French;$$$;212 W 14th St
418;Geisha;33 E 61st St;New York;NY;Upper East Side;Japanese;$$$$;33 E 61st St
419;Gennaro;665 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;665 Amsterdam Ave
420;Ghenet Restaurant;284 Mulberry St;New York;NY;NoLita;African;$;284 Mulberry St
421;Ginger;1400 Fifth Ave;New York;NY;Upper East Side;Chinese;$;1400 5th Ave
422;Giorgione 508;508 Greenwich St;New York;NY;SOHO;Continental;$$$;508 Greenwich St
423;Gobo;1426 Third Ave.;New York;NY;;Vegetarian;$$;1426 3rd Ave
424;Golden Unicorn;18 E Broadway;New York;NY;;;;18 E Broadway
425;Gonzalez Y Gonzalez;625 Broadway;New York;NY;SOHO;Mexican;$$$;625 Broadway
426;Good;89 Greenwich St;New York;NY;West Village;American;$$;89 Greenwich St
427;Good Enough To Eat;483 West Amsterdam Avenue;New York;NY;Upper West Side;American;$;483 Amsterdam Ave
428;Goodies;1 E Broadway;New York;NY;Chinatown;Chinese;$;1 E Broadway
429;Gordon Ramsay;The London NYC;New York;NY;Midtown West;French;$$$$$;151 W 54th St
430;Gotham Bar & Grill;12 E 12th St;New York;NY;Greenwich Village;American;$$$$;12 E 12th St
431;Grace's Trattoria Cafe & Grill;201 E 71st St;New York;NY;Upper East Side;Italian;$$$;201 E 71st St
432;Gramercy Tavern;42 E 20th St;New York;NY;Union Square;American;$$$$;42 E 20th St
433;Grand Central Oyster Bar/Saloon;89 E 42nd Street, Grand Central Terminal (Lower L;New York;NY;Midtown West;Seafood;$$;89 E 42nd St
434;Gray's Papaya;539 8th Avenue;New York;NY;Hell's Kitchen;Fast Food;$;539 8th Ave
435;Gray's Papaya;2090 Broadway;New York;NY;Upper West Side;American;$;2090 Broadway
436;Great Jones Cafe;54 Great Jones St;New York;NY;NoLita;Southern;$;54 Great Jones St
437;Great N.Y. Noodle Town;28 Bowery;New York;NY;Chinatown;Chinese;$;28 Bowery
438;Greenwich Grill;428 Greenwich St;New York;NY;TriBeCa;Californian;$$$;428 Greenwich St
439;Grey Dog's Coffee Ltd;33 Carmine St;New York;NY;Greenwich Village;American;$;33 Carmine St
440;Grifone Restaurant;244 E 46th St;New York;NY;Midtown East;Italian;$$$;244 E 46th St
441;Grotto Azzurra;177 Mulberry St;New York;NY;Little Italy;Italian;$$$;177 Mulberry St
442;Gus's Place;192 Bleecker Street;New York;NY;Greenwich Village;Greek;$;192 Bleecker St
443;Gyu-Kaku;805 3rd Ave;New York;NY;Midtown East;Japanese;$$;805 3rd Ave
444;Gyu-Kaku Japanese;34 Cooper Square;New York;NY;East Village;Japanese;$$;34 Cooper Sq
445;HQ;90 Thompson St;New York;NY;;;;90 Thompson St
446;Hallo Berlin;626 10th Ave.;New York;NY;;German;$;626 10th Ave
447;Hangawi;12 E 32nd Street;New York;NY;Murray Hill;Korean;$$$;12 E 32nd St
448;Haru;433 Amsterdam Ave;New York;NY;Upper West Side;Japanese;$$;433 Amsterdam Ave
449;Haru Japanese;205 West 43rd St;New York;NY;Midtown West;Japanese;$$;205 W 43rd St
450;Haru-Park Ave.;280 Park Ave;New York;NY;Flatiron;Sushi;$$;280 Park Ave
451;Hasaki;210 E Ninth St;New York;NY;East Village;Sushi;$$;210 E 9th St
452;Hatsuhana;237 Park Ave;New York;NY;Midtown East;Sushi;$$$$;237 Park Ave
453;Havana Alma De Cuba;94 Christopher St;New York;NY;West Village;Cuban;$$;94 Christopher St
454;Havana Central;151 W 46th Street;New York;NY;Midtown West;Cuban;$$;151 W 46th St
455;Havana Central - Union Square;22 E 17th St;New York;NY;Union Square;Cuban;$$;22 E 17th St
456;Haveli;100 Second Ave;New York;NY;East Village;Indian;$$;100 2nd Ave
457;Hea;145 E. 13th St.;New York;NY;East Village;Pan-Asian;$$$;145 E 13th St
458;Hearth;403 E 12th St;New York;NY;East Village;American;$$$$;403 E 12th St
459;Heartland Brewery;1285 Sixth Ave;New York;NY;Midtown West;American;$$;1285 6th Ave
460;Hedeh;57 Great Jones St;New York;NY;NoLita;Sushi;$$$;57 Great Jones St
461;Heidelberg;1648 2nd Ave;New York;NY;Upper East Side;German;$$;1648 2nd Ave
462;Hell's Kitchen;679 Ninth Ave;New York;NY;Midtown West;Mexican;$$$;679 9th Ave
463;Highline;835 Washington St;New York;NY;Meatpacking District;Asian;$$;835 Washington St
464;Hill Country;30 W. 26th St.;New York;NY;Chelsea;Barbecue;$$;30 W 26th St
465;Hispaniola;839 W 181st St;New York;NY;Harlem;Asian;$$;839 W 181st St
466;Holy Basil;149 Second Ave;New York;NY;East Village;Asian;$;149 2nd Ave
467;Home;20 Cornelia St;New York;NY;Greenwich Village;American;$$;20 Cornelia St
468;Houston's;378 Park Ave. S.;New York;NY;;American;$$;378 Park Ave S
469;Houston's Restaurant;153 E 53rd St;New York;NY;Midtown East;American;$$;153 E 53rd St
470;Hsf;46 Bowery;New York;NY;Chinatown;Chinese;$;46 Bowery
471;Hudson Cafeteria;356 West 58th Street;New York;NY;Midtown West;American;$$$;356 W 58th St
472;Hudson River Café;697 West 133rd ST.;New York;NY;Harlem;American;$$;697 W 133rd St
473;Hummus Place;109 St. Marks Pl.;New York;NY;;;;109 St Marks Pl
474;Hunan Park Restaurant;235 Columbus Ave;New York;NY;;;;235 Columbus Ave
475;I Coppi;432 E Ninth St;New York;NY;East Village;Italian;$$$;432 E 9th St
476;I Sodi;105 Christopher St;New York;NY;Greenwich Village;Italian;$$$;105 Christopher St
477;I Tre Merli;463 W Broadway;New York;NY;SOHO;Italian;$$$;463 W Broadway
478;I Trulli;122 E 27th St;New York;NY;Gramercy Park;Italian;$$$;122 E 27th St
479;Icon;130 E 39th Street;New York;NY;Midtown East;American;$$$;130 E 39th St
480;Ideya;349 W Broadway;New York;NY;SOHO;Caribbean;$$;349 W Broadway
481;Iguana;240 W 54th St;New York;NY;;;;240 W 54th St
482;Il Bagatto;192 E Second St;New York;NY;East Village;Italian;$$;192 E 2nd St
483;Il Bastardo;191 Seventh Ave;New York;NY;Chelsea;Steakhouse;$$$;191 7th Ave
484;Il Brigante;214 Front St.;New York;NY;Financial District;Italian;$$;214 Front St
485;Il Buco;47 Bond St;New York;NY;NoLita;Italian;$$$;47 Bond St
486;Il Cantinori;32 East 10th St;New York;NY;Greenwich Village;Italian;$$$$;32 E 10th St
487;Il Cortile;125 Mulberry St;New York;NY;Little Italy;Italian;$$$;125 Mulberry St
488;Il Gattopardo;33 W 54th St;New York;NY;Midtown West;Italian;$$$;33 W 54th St
489;Il Giglio;81 Warren St;New York;NY;TriBeCa;Italian;$$$$;81 Warren St
490;Il Mulino;86 W 3rd St;New York;NY;Greenwich Village;Italian;$$$$;86 W 3rd St
491;Il Valentino;330 East 56th Street;New York;NY;Midtown East;Italian;$$$;330 E 56th St
492;Inagiku;111 East 49th Street;New York;NY;Midtown East;Sushi;$$$$;111 E 49th St
493;Indochine;430 Lafayette St;New York;NY;East Village;French;$$$;430 Lafayette St
494;Indus Valley;2636 Broadway;New York;NY;Upper West Side;Indian;$$;2636 Broadway
495;Industria Argentina;329 Greenwich St.;New York;NY;;Argentinean;$$$;329 Greenwich St
496;Inn LW12;7 Ninth Avenue;New York;NY;Meatpacking District;British;$$$;7 9th Ave
497;Insieme;777 Seventh Avenue;New York;NY;Midtown West;Italian;$$$$;777 7th Ave
498;Ippudo;65 4th Ave;New York;NY;East Village;Japanese;$$$;65 4th Ave
499;Isabella's;359 Columbus Ave;New York;NY;Upper West Side;American;$$;359 Columbus Ave
500;Island Burgers & Shakes;766 9th Ave;New York;NY;Midtown West;American;$;766 9th Ave
501;It's A Dominican Thing;144 W 19th St;New York;NY;Chelsea;Caribbean;$;144 W 19th St
502;Ithaka;308 E 86th St;New York;NY;Upper East Side;Greek;$$$;308 East 86th St
503;Ivo & Lulu;558 Broome St;New York;NY;SOHO;Caribbean;$;558 Broome St
504;Jack's Luxury Oyster Bar;246 E Fifth St;New York;NY;East Village;Continental;$$$$;246 E 5th St
505;Jacks Bar and Restaurant;147West 40th Street;New York;NY;Theater;American;$$$;147 W 40th St
506;Jackson Hole;232 E 64th St;New York;NY;;;;232 E 64th St
507;Jacques-Imo's;366 Columbus Ave;New York;NY;Upper West Side;Creole-Cajun;$$;366 Columbus Ave
508;Jaipur's;1007 2nd Avenue;New York;NY;Midtown East;Indian;$;1007 2nd Ave
509;Jane;100 W Houston St;New York;NY;Greenwich Village;American;$$$;100 W Houston St
510;Japonica;100 University Pl;New York;NY;Greenwich Village;Sushi;$$$;100 University Pl
511;Jarnac;328 W 12th St;New York;NY;West Village;French;$$$;328 W 12th St
512;Jean Georges;1 Central Park W;New York;NY;Upper West Side;French;$$$$$;1 Central Park West
513;Jekyll & Hyde Club;1409 Ave Of The Americas;New York;NY;Greenwich Village;American;$$;1409 6th Ave
514;Jerry's;101 Prince St;New York;NY;SOHO;American;$$;101 Prince St
515;Jewel Of India;15 W 44th St;New York;NY;Midtown West;Indian;$$;15 W 44th St
516;Jezebel;630 Ninth Ave;New York;NY;Midtown West;Southern;$$$;630 9th Ave
517;JoJo;160 E 64th St;New York;NY;Upper East Side;French;$$$$;160 E 64th St
518;Joe's Pizza;7 Carmine St;New York;NY;Greenwich Village;Pizza;$;7 Carmine St
519;Joe's Shanghai Restaurant;St Pell St Fl 1;New York;NY;Midtown West;Chinese;$;St Pell St Fl 1
520;John's Of 12th Street;302 E 12th St;New York;NY;East Village;Italian;$$;302 E 12th St
521;John's Pizzeria;408 E 64th St;New York;NY;Upper East Side;Pizza;$;408 E 64th St
522;Johnny Utah's;25 W. 51st St.;New York;NY;;;;25 W 51st St
523;Joseph's Restaurant;St Hanover Sq;New York;NY;Wall Street;Italian;$$$;Hanover Square
524;Josie's;300 Amsterdam Avenue;New York;NY;Upper West Side;International;$$;300 Amsterdam Ave
525;Jules;65 St Marks Pl;New York;NY;East Village;French;$$;65 St Marks Pl
526;Kabab Factory;101 Lexington Avenue;New York;NY;Murray Hill;Indian;$$;101 Lexington Ave
527;Kai;822 Madison Ave;New York;NY;Upper East Side;Japanese;$$$$;822 Madison Ave
528;Kaijou;21 South End Street;New York;NY;Financial District;Japanese;$$;21 South End Ave
529;Kampuchea;78 Rivington St.;New York;NY;;Cambodian;;78 Rivington St
530;Kang Such Restaurant;1250 Broadway;New York;NY;Midtown West;Korean;$$;1250 Broadway
531;Kanoyama;175 Second Ave;New York;NY;East Village;Sushi;$$;175 2nd Ave
532;Katz's Delicatessen;205 East Houston Street;New York;NY;Lower East Side;Deli;$;205 E Houston St
533;Keens Steakhouse;72 W 36th St;New York;NY;Midtown West;Steakhouse;$$$;72 W 36th St
534;Kefi;222 W. 79th St.;New York;NY;Upper West Side;Greek;$$$;222 W 79th St
535;Kellari Taverna;19 W 44th St;New York;NY;Midtown West;Greek;$$;19 W 44th St
536;Kelley & Ping;127 Greene St;New York;NY;SOHO;Asian;$;127 Greene St
537;Kin Khao;171 Spring Street;New York;NY;SOHO;Asian;$$;171 Spring St
538;Kings' Carriage House;251 E 82nd St;New York;NY;Upper East Side;Continental;$$$;251 E 82nd St
539;Kinoko Japanese Restaurant;165 W 72nd Street;New York;NY;;Japanese;$$;165 W 72nd St
540;Kittichai;60 Thompson St;New York;NY;SOHO;Thai;$$$$;60 Thompson St
541;Klee Brasserie;200 9th Avenue;New York;NY;Chelsea;American;$$$;200 9th Ave
542;Klong;7 St Marks Pl;New York;NY;East Village;Asian;$;7 St Marks Pl
543;Knickerbocker Bar & Grill;33 University Pl;New York;NY;Greenwich Village;American;$$$;33 University Pl
544;Koi;40 W 40th St;New York;NY;Midtown West;Asian;$$$$;40 W 40th St
545;Kori;253 Church St;New York;NY;TriBeCa;Korean;$$;253 Church St
546;Kum Gang San;49 W 32nd St;New York;NY;Midtown West;Korean;$$;49 W 32nd St
547;Kuma Inn;113 Ludlow St;New York;NY;Lower East Side;Southeast Asian;$$;113 Ludlow St
548;Kuruma Zushi;7 E 47th St, 2nd Fl;New York;NY;Midtown East;Sushi;$$$$$;7 E 47th St 2nd Fl
549;Kwik Meal;Food Cart;New York;NY;Theater;Middle Eastern;$;Food Cart
550;Kyma;300 W 46th St;New York;NY;Midtown West;Greek;$$$;300 W 46th St
551;Kyo Ya;94 E 7th St;New York;NY;East Village;Japanese;$$$$;94 E 7th St
552;L'Allegria;623 9th Ave;New York;NY;Theater;Italian;$$;623 9th Ave
553;L'Atelier de Joel Robuchon;57 E. 57th Street;New York;NY;Midtown East;French;$$$$$;57 E 57th St
554;L'Ecole;462 Broadway;New York;NY;SOHO;French;$$$;462 Broadway
555;L'Entrecote;1057 First Ave.;New York;NY;;;;1057 1st Avenue
556;L'Impero - CLOSED;45 Tudor City Pl;New York;NY;Midtown East;Italian;$$$$;45 Tudor City Pl
557;La Belle Vie;184 Eighth Ave;New York;NY;Chelsea;French;$$;184 8th Ave
558;La Bergamote;169 Ninth Ave;New York;NY;Chelsea;French;$;169 9th Ave
559;La Boite En Bois;75 W 68th St;New York;NY;Upper West Side;French;$$$;75 W 68th St
560;La Goulue;746 Madison Ave;New York;NY;Upper East Side;French;$$$;746 Madison Ave
561;La Grenouille;3 E 52nd St;New York;NY;Midtown East;French;$$$$;3 E 52nd St
562;La Grolla;413 Amsterdam Ave;New York;NY;;;;413 Amsterdam Ave
563;La Lunchonette;130 10th Ave;New York;NY;Chelsea;French;$$;130 10th Ave
564;La Mela Ristorante;167 Mulberry St;New York;NY;Little Italy;Italian;$$;167 Mulberry St
565;La Paella;214 E Ninth St;New York;NY;East Village;Spanish;$$;214 E 9th St
566;La Palapa;77 St Marks Pl;New York;NY;Greenwich Village;Mexican;$$;77 St Marks Pl
567;La Pizza Fresca Ristorante;31 E 20th St;New York;NY;Union Square;Italian;$$;31 E 20th St
568;La Taza De Oro;96 Eighth Ave;New York;NY;Chelsea;Caribbean;$;96 8th Ave
569;La Tour;1319 3rd Ave.;New York;NY;;French;$$$$;1319 3rd Ave
570;La Vela;373 Amsterdam Ave;New York;NY;Upper West Side;Italian;$$;373 Amsterdam Ave
571;La Vineria;737 9th Ave.;New York;NY;;;;737 9th Ave
572;Lan;56 Third Ave;New York;NY;East Village;Sushi;$$;56 3rd Ave
573;Land;450 Amsterdam Ave;New York;NY;;;;450 Amsterdam Ave
574;Land Thai Kitchen;450 Amsterdam Ave;New York;NY;Upper West Side;Thai;$$;450 Amsterdam Ave
575;Land Thai Kitchen;1565 Second Avenue;New York;NY;;;;1565 2nd Ave
576;Landmarc;10 Columbus Circle, 3rd floor;New York;NY;Upper West Side;French;$$$;10 Columbus Cir 3rd floor
577;Landmarc;179 W Broadway;New York;NY;Gramercy Park;French;$$$;179 W Broadway
578;Lasagna Ristorante;785 9th ave;New York;NY;Hell's Kitchen;Italian;$$;785 9th Ave
579;Lavagna;545 E. Fifth St.;New York;NY;;Italian;$$$;545 E 5th St
580;Le Bernardin;155 W 51st St;New York;NY;Midtown West;Seafood;$$$$$;155 W 51st St
581;Le Bilboquet;25 E 63rd St;New York;NY;Upper East Side;French;$$$;25 E 63rd St
582;Le Boeuf a La Mode;539 E 81st St;New York;NY;Upper East Side;French;$$$;539 E 81st St
583;Le Gamin;522 Hudson St;New York;NY;West Village;French;$;522 Hudson St
584;Le Gigot;18 Cornelia St;New York;NY;Greenwich Village;French;$$$;18 Cornelia St
585;Le Jardin Bistro;25 Cleveland Pl;New York;NY;NoLita;French;$$$;25 Cleveland Pl
586;Le Madeleine;403 W 43rd Street;New York;NY;Midtown West;French;$$$;403 W 43rd St
587;Le Miu;107 Ave. A;New York;NY;;Sushi;$$$;107 Avenue A
588;Le Monde;2885 Broadway;New York;NY;Harlem;French;$$;2885 Broadway
589;Le Pere Pinard;175 Ludlow St;New York;NY;Lower East Side;French;$$;175 Ludlow St
590;Le Perigord;405 E 52nd St (Between Fdr Dr & 1st Avenue);New York;NY;Midtown East;French;$$$;405 E 52nd St
591;Le Souk;47 Ave B;New York;NY;Midtown East;African;$$;47 Avenue B
592;Le Zie 2000;172 Seventh Ave;New York;NY;Chelsea;Italian;$$;172 7th Ave
593;Leela Lounge;1 W. Third St.;New York;NY;;Indian;$$;1 W 3rd St
594;Les Enfants Terribles;37 Canal St;New York;NY;Lower East Side;African;$$;37 Canal St
595;Les Halles;411 Park Ave S;New York;NY;Gramercy Park;French;$$$;411 Park Ave S
596;Les Halles;15 John St;New York;NY;Financial District;French;$$$;15 John St
597;Lima's Taste;122 Christopher St;New York;NY;West Village;South American;$;122 Christopher St
598;Lime Leaf;2799 Broadway;New York;NY;;;;2799 Broadway
599;Lisca;660 Amsterdam Ave;New York;NY;;;;660 Amsterdam Ave
600;Little Giant;85 Orchard St;New York;NY;Lower East Side;American;$$$$;85 Orchard St
601;Little Owl;90 Bedford Street;New York;NY;West Village;American;$$$;Apartment Building from the TV Show Friends
602;Little Pie Company;Grand Central Station;New York;NY;Midtown East;Bakery;$;89 E 42nd St
