;restaurant;address;neighborhood;addressGoogle
420;D'Aiuto's Pastry Corp;873 Eighth Ave.;West 50s;873 8th Ave
421;DB Bistro Moderne;55 W 44th St.;West 40s;55 W 44th St
422;Da Andrea;557 Hudson St.;Soho;557 Hudson St
423;Da Ciro;229 Lexington Ave.;Murray Hill;229 Lexington Ave
424;Da Marino's;220 W. 49th St.;West 40s;220 W 49th St
425;Da Tommaso;903 8th Ave.;West 40s;903 8th Ave
426;Da Umberto;107 W. 17th St.;Chelsea;107 W 17th St
427;Dae Dong;17 W. 32nd St.;Chelsea;17 W 32nd St
428;Daisy May's BBQ USA;623 Eleventh Ave.;West 40s;623 11th Ave
429;Dakshin Indian Bistro;1713 1st. Ave.;East 80s;1713 1st Avenue
430;Dallas BBQ;27 W 72nd St.;West 70s;27 W 72nd St
431;Damon: Frugal Friday;47 E 19th St.;Union Square;47 E 19th St
432;Daniele's Piadina;64 West 22nd Street;Flatiron;64 W 22nd St
433;Danku;47 W 57th St.;West 50s;47 W 57th St
434;Danny Ng's Place;52 Bowery;Chinatown;52 Bowery
435;Danube;30 Hudson St.;Tribeca;Goldman Sachs Tower
436;Darbar;152 E. 46th St.;East 40s;152 E 46th St
437;Darbar East;239 First Ave.;East Village;239 1st Avenue
438;Darbar Grill;157 E55th St.;East 50s;157 E 55th St
439;Darna;600 Columbus Ave.;West 80s;600 Columbus Ave
440;Daruma;227 Mott St.;Nolita;227 Mott St
441;David Burke's Townhouse;133 East 61st St.;East 60s;133 E 61st St
442;Deborah;43 Carmine St.;Soho;43 Carmine St
443;Degustation Wine & Tasting Bar;239 E 5th St.;East Village;239 E 5th St
444;Del Frisco's Steakhouse;1221 Avenue of the Americas;West 40s;1221 6th Ave
445;Del Posto;85 10th Ave.;West Village;US-NYC-8510
446;Delegates Dining Room (United Nations 4th fl.);United Nations;East 40s;New York
447;Delicatessen;54 Prince St.;Little Italy;54 Prince St
448;Delicia;322 W 11th St.;West Village;322 W 11th St
449;Delicia Brazil;322 W. 11th St.;Soho;322 W 11th St
450;Delicia Brazil Restaurant;322 W 11th St.;West Village;322 W 11th St
451;Deluxe Food Market;79 Grand St.;Chinatown;79 Grand St
452;Demarchelier;50 E. 86th St.;East 80s;50 East 86th St
453;Demerara;;;
454;Dennis Foy;313 Church St.;Tribeca;313 Church St
455;Dervish Turkish;146 W. 47th St.;West 40s;146 W 47th St
456;Desi Junction;688 Tenth Ave.;West 40s;688 10th Ave
457;Devi;8 E 18th St.;Garment District;8 E 18th St
458;Devins Fish & Chips;747 St. Nicholas Ave.;Harlem;747 St Nicholas Ave
459;Diablo Royale;189 W 10th St.;West Village;189 W 10th St
460;Diamond Dairy Restaurant;4 W 47th St.;West 40s;4 W 47th St
461;Dibiterie Cheikh;231 W 116th St.;Harlem;231 W 116th St
462;Dieci;228 E. 10th St.;East Village;228 E 10th St
463;Dil E Punjab Deli;170 9th Ave.;Chelsea;170 9th Ave
464;Dim Sum Go Go;5 E Broadway;Financial District;5 E Broadway
465;Dimple;11 W 30th St.;Chelsea;11 W 30th St
466;Dirt Candy;430 E. 9th St.;East Village;430 E 9th St
467;Dishes;6 E. 45th St.;East 40s;6 E 45th St
468;District;130 W. 46th St.;West 40s;130 W 46th St
469;Ditch Plains;29 Bedford St.;West Village;29 Bedford St
470;Dive Bar;732 Amsterdam Ave.;West 90s;732 Amsterdam Ave
471;Divino;1556 Second Ave.;East 80s;1556 2nd Ave
472;Diwan;148 E. 48th St.;East 40s;148 E 48th St
473;Dizzy's Club Coca-Cola, Jazz at Lincoln Center, Time Warner Center;60th St. & Broadway;West 60s;Broadway & W 60th St
474;Django;480 Lexington Ave.;East 40s;480 Lexington Ave
475;Djerdan #3;221 W 38th St.;Garment District;221 W 38th St
476;DoSirak;30 E 13th St.;Greenwich Village;30 E 13th St
477;Dojo;14 W 4th St.;Greenwich Village;14 West 4th Street
478;Dojo West;14 W 14thSt;Greenwich Village;W 14th St
479;Dok Suni's;119 First Ave.;East Village;119 1st Avenue
480;Doma;17 Perry St.;West Village;17 Perry St
481;Don Pedro's;1865 Second Ave.;East Harlem;1865 2nd Ave
482;Donguri;309 E. 83rd St.;East 80s;309 E 83rd St
483;Dos Caminos;825 3rd Ave.;East 50s;825 3rd Ave
484;Dos Caminos;373 Park Ave. S;Murray Hill;373 Park Ave S
485;Dos Caminos Soho;475 West Broadway;Soho;475 W Broadway
486;Doyers Vietnamese;11-13 Doyers St., downstairs;Chinatown;11 Doyers St #13
487;Duane Park;157 Duane St.;Tribeca;157 Duane St
488;Dublin 6 Wine & Dine;575 Hudson St.;West Village;575 Hudson St
489;Dumpling House;118A Eldridge St.;Chinatown;118A Eldridge St
490;Dumpling Man;100 St. Marks Pl.;East Village;100 St Marks Pl
491;Duvet;45 W 21st St.;Flatiron;45 W 21st St
492;E-mo;2 W 32nd St.;Chelsea;2 W 32nd St
493;E.A.T.;1064 Madison Ave.;East 80s;1064 Madison Ave
494;Earthen Oven;53 W. 72nd St.;West 70s;53 W 72nd St
495;East;354 E 66th St.;East 60s;354 E 66th St
496;East;210 E 44th St.;East 40s;210 E 44th St
497;East;365 First Ave.;Flatiron;365 1st Avenue
498;East of 8th;254 W 23rd St.;Chelsea;254 W 23rd St
499;East of Eighth;254 W. 23rd St.;Chelsea;254 W 23rd St
500;Eatery;798 Ninth Ave.;West 50s;798 9th Ave
501;Ebisu;414 E 9th St.;East Village;414 E 9th St
502;Ecco;124 Chambers St.;Financial District;124 Chambers St
503;Ed's Lobster Bar;222 Lafayette St.;Nolita;222 Lafayette St
504;Edward's;136 W. Broadway;Tribeca;136 W Broadway
505;Eisenberg's Sandwich Shop;174 Fifth Ave.;Flatiron;174 5th Ave
506;El Cantinero;86 University Pl.;Greenwich Village;86 University Pl
507;El Centro;824 Ninth Ave.;West 50s;824 9th Ave
508;El Charro Espanol;4 Charles St.;West Village;4 Charles St
509;El Cocotero;228 W. 18th St.;Chelsea;228 W 18th St
510;El Conde;4139 Broadway;Washington Heights;4139 Broadway
511;El Despertar;1875 Lexington Ave.;East Harlem;1875 Lexington Ave
512;El Lina;500 W 207th St.;Inwood;500 W 207th St
513;El Malecon;4141 Broadway;Washington Heights;4141 Broadway
514;El Nuevo Amanecer Restaurant;117 Stanton St.;Lower East Side;117 Stanton St
515;El Parador Cafe;325 E. 34th St.;Murray Hill;325 E 34th St
516;El Paso;134 W. Houston St.;Greenwich Village;134 W Houston St
517;El Quijote;226 W. 23rd St.;Chelsea;226 W 23rd St
518;El Quinto Pino;401 W.24th St.;Greenwich Village;401 W 24th St
519;El Rancho Jubilee;10 Hillside Ave.;Washington Heights;10 Hillside Ave
520;El Salvadoreño;1229 St. Nicholas Ave.;Washington Heights;1229 St Nicholas Ave
521;Elephant & Castle;68 Greenwich Ave.;West Village;68 Greenwich Ave
522;Elettaria;33 W 8th St.;Chelsea;33 W 8th St
523;Eleven Madison Park;11 Madison Ave.;Murray Hill;11 Madison Ave
524;Elio's;1621 Second Ave.;East 80s;1621 2nd Ave
525;Elizabeth;265 Elizabeth St.;Soho;265 Elizabeth St
526;Ellens Stardust Diner;1650 Broadway;West 50s;1650 Broadway
527;Elsa la Reina del Chicharron;1249 St. Nicholas Ave.;Washington Heights;1249 St Nicholas Ave
528;Elvie's Turo-Turo;214 First Ave.;East Village;214 1st Avenue
529;Empanada Mama;763 Ninth Ave.;West 50s;763 9th Ave
530;Empire Diner;210 10th Ave.;Chelsea;210 10th Ave
531;Employees Only;510 Hudson St.;Soho;510 Hudson St
532;En;435 Hudson St.;West Village;435 Hudson St
533;Ennio & Michael;539 LaGuardia Pl.;Greenwich Village;539 LaGuardia Pl
534;Ennju;20 E 17th St.;Union Square;20 E 17th St
535;Enoteca I Trulli;122 E 27th St.;Murray Hill;122 E 27th St
536;Epices du Traiteur;103 W. 70th St.;West 70s;103 W 70th St
537;Erminia;250 E. 83rd St.;East 80s;250 E 83rd St
538;Esashi;32 Ave. A;East Village;32 Avenue A
539;Esca;402 W 43rd St.;West 40s;402 W 43rd St
540;Ess-a-Bagel;359 First Ave.;Gramercy Park;359 1st Avenue
541;Essex;120 Essex St.;Lower East Side;120 Essex St
542;Estancia 460;460 Greenwich St.;Tribeca;460 Greenwich St
543;Ethiopian Restaurant;1582 York Ave.;East 80s;1582 York Ave
544;Ethos;495 Third Ave.;Murray Hill;495 3rd Ave
545;Etrusca;125 W. 53rd St.;West 50s;125 W 53rd St
546;Euzkadi;108 E. 4t St.;East Village;108 E 4th St
547;Evergreen Shanghai;10 E. 38th St.;Murray Hill;10 E 38th St
548;Excellent Dumpling House;111 Lafayette St.;Chinatown;111 Lafayette St
549;Extra Virgin;259 W. 4th St.;West Village;259 West 4th Street
550;F & B;269 W 23rd St.;Chelsea;269 W 23rd St
551;F.illi Ponte;39 Desbrosses St.;Tribeca;39 Desbrosses St
552;Fabio Piccolo Fiore;230 E. 44th St.;East 40s;230 E 44th St
553;Facey Home Sales;215 W 28th St.;Chelsea;215 W 28th St
554;Fagiolini Restaurant;334 Lexington Ave.;Murray Hill;334 Lexington Ave
555;Faicco's;260 Bleecker St.;West Village;260 Bleecker St
556;Falai;68 Clinton St.;Lower East Side;68 Clinton St
557;Falai Panetteria;79 Clinton St.;Lower East Side;79 Clinton St
558;Family Noodle;19 Henry St.;Chinatown;19 Henry St
559;Farfina Coffee Shop;219B W 116th St.;Harlem;219B W 116th St
560;Fatty Crab;643 Hudson St.;West Village;643 Hudson St
561;Favela Cubana;543 Laguardia Pl.;Greenwich Village;543 LaGuardia Pl
562;Ferrara;195 Grand St.;Little Italy;195 Grand St
563;Fetch;1649 Third Ave.;East 90s;1649 3rd Ave
564;Fibe Restaurant;4055 Broadway;Washington Heights;4055 Broadway
565;Fig & Olive;420 W. 13th St.;Meatpacking District;420 W 13th St
566;Fig and Olive;808 Lexington Ave.;East 60s;808 Lexington Ave
567;Filli Ponte Ristorante;39 Debrosses Street;Little Italy;39 Desbrosses St
568;Finestra;1370 York Ave.;East 70s;1370 York Ave
569;Fino;4 E. 36th St.;Murray Hill;4 E 36th St
570;Fino;1 Wall St. Ct.;Financial District;1 Wall St
571;Fiorini;209 E. 56th St.;East 50s;209 E 56th St
572;Firenze;1594 Second Avenue;East 80s;1594 2nd Ave
573;Fireside Cocktail Cuisine;19 E. 52nd St.;East 50s;19 E 52nd St
574;Fish;280 Bleecker St.;Greenwich Village;280 Bleecker St
575;Fishtail;135 E 62nd St.;East 60s;135 E 62nd St
576;Fives;700 Fifth Ave. (Peninsula Hotel);West 50s;700 5th Ave
577;Flea Market;131 Ave. A;East Village;131 Avenue A
578;Flea Market Cafe;131 Ave. A;East Village;131 Avenue A
579;Flex Mussels;174 E 82nd St.;East 80s;174 E 82nd St
580;Flor de Mayo;2651 Broadway;West 100s;2651 Broadway
581;Flor de Sol;361 Greenwich St.;Tribeca;361 Greenwich St
582;Florence's;2099 Frederick Douglass Blvd.;Harlem;2099 Frederick Douglass Blvd
583;Food Sing 88 Corp.;2 E Broadway;Financial District;2 E Broadway
584;Forlini’s Restaurant;93 Baxter St.;Chinatown;93 Baxter St
585;Franchia;12 Park Ave.;Murray Hill;12 Park Ave
586;Frank;88 Second Ave.;East Village;88 2nd Ave
587;Freemans;Freeman Alley;Lower East Side;Freeman Alley
588;Friedman's Delicatessen;75 Ninth Ave.;Chelsea;75 9th Ave
589;Fusion Wraps;52 Cooper Square;East Village;52 Cooper Sq
590;Gahm Mi Oak Restaurant;43 W 32nd St.;Chelsea;43 W 32nd St
591;Galanga;149 W 4th St.;Greenwich Village;149 West 4th Street
592;Galicia;4083 Broadway;Washington Heights;4083 Broadway
593;Galil;1252 Lexington Ave.;East 80s;1252 Lexington Ave
594;Gam Mi Oak;43 West 32nd;Chelsea;43 W 32nd St
595;Garage Restaurant & Cafe;99 7th Ave. So;Greenwich Village;99 7th Ave S
596;Gauchas;1748 First Ave.;East 90s;1748 1st Avenue
597;Gavroche;212 W 14th St.;Flatiron;212 W 14th St
598;Gemma;335 Bowery;East Village;335 Bowery
599;George's Pizza;726 W 181st St.;Washington Heights;726 W 181st St
600;Ghenet;284 Mulberry St.;Soho;284 Mulberry St
601;Gigino Trattoria;323 Greenwich St.;Tribeca;323 Greenwich St
602;Gigino at Wagner Park;20 Battery Pl.;Financial District;20 Battery Pl
603;Ginger's;512 Seventh Ave.;Garment District;512 7th Ave
604;Giorgione;307 Spring St.;Soho;307 Spring St
605;Giorgione 508;508 Greenwich St.;Soho;508 Greenwich St
606;Go;30 St. Marks Pl.;East Village;30 St Marks Pl
607;Go!Go!Curry;273 West 38th St.;Garment District;273 W 38th St
608;Gobo;401 6th Ave.;West Village;401 6th Ave
609;Golden Crust;18 E 33rd St.;Murray Hill;18 E 33rd St
610;Golden Crust;121 W 125th St.;Harlem;121 W 125th St
611;Golden Crust;1344 Amsterdam Ave.;Harlem;1344 Amsterdam Ave
612;Golden Crust;456 Malcolm X Blvd.;Harlem;456 Malcolm X Blvd
613;Golden Crust;111 E 23rd St.;Flatiron;111 E 23rd St
614;Golden Crust;715 Broadway;Greenwich Village;715 Broadway
615;Golden Dragon;7 Eldridge St.;Chinatown;7 Eldridge St
616;Golden Gate Restaurant;92-96 Elizabeth St.;Chinatown;92 Elizabeth St #96
617;Golden Krust;80 Nassau St.;Financial District;80 Nassau St
618;Golden Unicorn;18 E Broadway;Chinatown;18 E Broadway
619;Gonzo;140 W 13th St.;West Village;140 W 13th St
620;Good Burger;800 Second Ave.;East 40s;800 2nd Ave
621;Good Enough to Eat;483 Amsterdam Ave.;West 80s;483 Amsterdam Ave
622;Good World Bar & Grill;3 Orchard St.;Chinatown;3 Orchard St
623;Gotham Bar & Grill;2 E. 12th St.;Greenwich Village;2 E 12th St
624;Gotham Bar and Grill;2 E. 12th St.;Greenwich Village;2 E 12th St
625;Gottino;52 Greenwich Ave.;West Village;52 Greenwich Ave
626;Gourmet Brick Oven Pizza 33;489 Third Ave.;Murray Hill;489 3rd Ave
627;Grand Sichuan;125 Canal St.;Lower East Side;125 Canal St
628;Grand Sichuan;19-23 St. Marks Pl.;East Village;19 St Marks Pl #23
629;Grand Sichuan International Midtown;745 Ninth Ave.;West 40s;745 9th Ave
630;Grano;21 Greenwich Ave.;West Village;21 Greenwich Ave
631;Great N.Y. Noodletown;28 Bowery;Chinatown;28 Bowery
632;Grounded;28 Jane St.;West Village;28 Jane St
633;Gyu Kaku;34 Cooper Sq;East Village;34 Cooper Sq
634;Haandi;113 Lexington Ave.;Murray Hill;113 Lexington Ave
635;Habib's Place;89 Ave. A;East Village;89 Avenue A
636;Hacienda de Argentina;339 E 75th St.;East 70s;339 E 75th St
637;Hakata Ippudo;65 Fourth Ave.;East Village;65 4th Ave
638;Hakata Tonton;61 Grove St.;West Village;61 Grove St
639;Halal Indo-Pak Restaurant;1750 First Ave.;East 90s;1750 1st Avenue
640;Hanami;525 Sixth Ave.;West Village;525 6th Ave
641;Hanci Turkish Cuisine;854 10th Ave.;West 50s;854 10th Ave
642;Harlem Wing and Waffle;2394 Adam Clayton Powell Blvd.;Harlem;2394 Adam Clayton Powell Jr Blvd
643;Haru;1 Wall St. Court;Financial District;1 Wall St
644;Hasaki;210 East 9th St.;East Village;210 E 9th St
645;Hatsuhana;17 E 48th St.;East 40s;17 E 48th St
646;Havana Central;22 E 17th St.;Union Square;22 E 17th St
647;Hea;145 E 13th St.;East Village;145 E 13th St
648;Heartland Brewery;127 W 43rd St.;West 40s;127 W 43rd St
649;Heartland Brewery;1285 Sixth Ave.;West 50s;1285 6th Ave
650;Heartland Brewery;35 Union Square West;Union Square;35 Union Square W
651;Heartland Brewery;93 South St.;Financial District;93 South St
652;Hill Country;30 W 26th St.;Chelsea;30 W 26th St
653;Hill Country Barbecue;30 W 26th St.;Chelsea;30 W 26th St
654;Hiroko’s Place;75 Thompson St.;Soho;75 Thompson St
655;Hong Kong Station;128 Hester St.;Lower East Side;128 Hester St
656;House of Seafood;2349 Eighth Ave.;Harlem;2349 Frederick Douglass Blvd
657;Hsin Wong;72 Bayard St.;Chinatown;72 Bayard St
658;Hummus Place;99 Macdougal St.;Greenwich Village;99 MacDougal St
659;Hummus Place;109 St. Marks Pl.;East Village;109 St Marks Pl
660;Hundred Acres;38 MacDougal St.;Soho;38 MacDougal St
661;I Trulli;122 E 27th St.;Murray Hill;122 E 27th St
662;Il Brigante;214 Front St.;Financial District;214 Front St
663;Il Corallo Trattoria;176 Prince St.;Soho;176 Prince St
664;Il Laboratorio del Gelato;95 Orchard St.;Lower East Side;95 Orchard St
665;Il Mulino;86 W. Third St.;Greenwich Village;86 W 23rd St
666;In Vino;215 E 4th St.;East Village;215 E 4th St
667;Inakaya;231 West 40th Street;West 40s;231 W 40th St
668;Inatteso Pizzabar Casano;28 West St.;Financial District;28 West St
669;Indian Bread Co.;194 Bleecker St.;Greenwich Village;194 Bleecker St
670;Indian Express;18 Murray St.;Financial District;18 Murray Street
671;Indus Valley;2636 Broadway;West 100s;2636 Broadway
672;Ino Cafe & Wine Bar;21 Bedford St.;West Village;21 Bedford St
673;Insieme;777 Seventh Avenue;West 50s;777 7th Ave
674;Irving Mill;116 East 16th Street;East Village;116 E 16th St
675;Isabella’s;359 Columbus Ave.;West 70s;359 Columbus Ave
676;Ishikura Sushi;67 First Ave.;East Village;67 1st Avenue
677;Ithaka;308 E 86th St.;East 80s;308 East 86th St
678;Ivo & Lulu;558 Broome St.;Soho;558 Broome St
679;Izakaya Ten;207 10th Ave.;Chelsea;207 10th Ave
680;Jack's Luxury Oyster Bar;246 E. 5th St.;East Village;246 E 5th St
681;Jacques-Imo's;366 Columbus Ave.;West 70s;366 Columbus Ave
682;Jai-Ya;396 3rd Ave.;Murray Hill;396 3rd Ave
683;Jaipur's Indian Cuisine;1007 2nd Ave.;East 50s;1007 2nd Ave
684;Jane;100 W Houston St.;Soho;100 W Houston St
685;Jarnac;328 W 12th St.;West Village;328 W 12th St
686;Jezebel;630 9th Ave.;West 40s;630 9th Ave
687;Jimmy's No. 43;43 E 7th St.;East Village;43 E 7th St
688;Jin;252 Broome St.;Lower East Side;Napoli Espresso
689;Jing Fong Restaurant;20 Elizabeth St.;Chinatown;20 Elizabeth St
690;Joe Doe;45 E 1st St.;Noho;45 E 1st St
691;Joe's Pizza;7 Carmine St.;West Village;7 Carmine St
692;JoeDoe;45 E First St.;East Village;45 E 1st St
693;John's Pizzeria;278 Bleecker St.;West Village;278 Bleecker St
694;John's Pizzeria;260 W 44th St.;West 40s;260 W 44th St
695;Joy Curry & Tandoor;148 E 46th St.;East 40s;148 E 46th St
696;Jumbo Hamburgers;274 W 145th St.;Harlem;274 W 145th St
697;Jumbo Hot Dogs;149 Canal St.;Chinatown;149 Canal St
698;Junior's Times Square;1515 Broadway;West 40s;1515 Broadway
699;Justin's;31 W 21st St.;Flatiron;31 W 21st St
700;Kabab Factory;101 Lexington Ave.;Murray Hill;101 Lexington Ave
701;Kafana;116 Ave. C;East Village;116 Loisaida Ave
702;Kai;822 Madison Ave. 2nd Fl;East 60s;822 Madison Ave 2nd Fl
703;Kaijou;21 South End Ave.;Financial District;21 South End Ave
704;Kaloum Restaurant;120 W 116th St.;Harlem;120 W 116th St
705;Kam Chueh;40 Bowery;Chinatown;40 Bowery
706;Kambi Ramen House;351 E 14th St.;East Village;351 E 14th St
707;Kampuchea Noodle Bar;78 Rivington St.;Lower East Side;78 Rivington St
708;Kang Suh;1250 Broadway;Chelsea;1250 Broadway
709;Kanoyama;175 Second Ave.;East Village;175 2nd Ave
710;Karavas Place;162 W 4th St.;West Village;162 West 4th Street
711;Karen's on Astor;1 Astor Place;East Village;1 Astor Pl
712;Kasadela;647 E 11th St.;East Village;647 E 11th St
713;Kate's Joint;58 Ave. B;East Village;58 Avenue B
714;Kati Roll Company;99 MacDougal St.;Greenwich Village;99 MacDougal St
715;Katsuhama;11 E 47th St.;East 40s;11 E 47th St
716;Katz's Deli;205 E Houston St.;Lower East Side;205 E Houston St
717;Katz's Delicatessen;205 E Houston St.;Lower East Side;205 E Houston St
718;Kebab Garden;128 First Ave.;East Village;128 1st Avenue
719;Kebab House #2;144 Orchard St.;Lower East Side;144 Orchard St
720;Keens Steakhouse;72 W 36th St.;Garment District;72 W 36th St
721;Kefi;505 Columbus Ave.;West 70s;505 Columbus Ave
722;Kellari Taverna;19 W. 44th St.;East 40s;19 W 44th St
723;Kelley & Ping;340 3rd Ave.;Flatiron;340 3rd Ave
724;Kelley & Ping;127 Greene St.;Soho;127 Greene St
725;Kenka;25 Saint Marks's Place;East Village;25 St Marks Pl
726;Keur Mame Diarra;2401 Frederick Douglass Blvd.;Harlem;2401 Frederick Douglass Blvd
727;Khushie;139 Essex St.;Lower East Side;139 Essex St
728;Khyber Pass;34 Saint Marks Pl.;East Village;34 St Marks Pl
729;Kin Khao;171 Spring St.;Soho;171 Spring St
730;King's Carriage House;251 E 82nd St.;East 80s;251 E 82nd St
731;Kingswood;121 W 10th St.;Greenwich Village;121 W 10th St
732;Kion;509 E 6th;East Village;509 E 6th St
733;Kitchen Club;30 Prince St.;Nolita;Little Cupcake Bakeshop (Meeting Place)
734;Kitchenette;1272 Amsterdam Ave.;Morningside Heights;1272 Amsterdam Ave
735;Kitchenette;156 Chambers St.;Tribeca;156 Chambers St
736;Kittichai;60 Thompson St. | Thompson Hotel;Soho;60 Thompson St
737;Klee Brasserie;200 9th Ave.;Chelsea;200 9th Ave
738;Klong;7 St. Marks Pl.;East Village;7 St Marks Pl
739;Knickerbocker Bar & Grill;33 University Pl.;Greenwich Village;33 University Pl
740;Knife & Fork;108 E. Fourth St.;East Village;108 E 4th St
741;Ko Sushi;1329 Second Ave.;East 70s;1329 2nd Ave
742;Ko Sushi;1619 York Ave.;East 80s;1619 York Ave
743;Kobe Club;68 W 58th St.;West 50s;68 W 58th St
744;Kodama;301 W 45th St.;West 40s;301 W 45th St
745;Koi;40 W 40th St. | Bryant Park Hotel;West 40s;40 W 40th St
746;Kom Tang Soot Bull House;32 W 32nd St.;Chelsea;32 W 32nd St
747;Kool Bloo;117 6th Ave.;Soho;117 6th Ave
748;Korean Temple Cuisine;81 St. Marks Pl.;East Village;81 St Marks Pl
749;Koronet Pizza;2848 Broadway;West 100s;2848 Broadway
750;Koronet Pizzeria;2848 Broadway;West 100s;2848 Broadway
751;Kosher Delight;1365 Broadway;Garment District;1365 Broadway
752;Krik Krak;844 Amsterdam Ave.;West 100s;844 Amsterdam Ave
753;Kum Gang San;49 W 32nd;Chelsea;49 W 32nd St
754;Kum Ryong;30 W 32nd St.;Chelsea;30 W 32nd St
755;Kuma Inn;113 Ludlow St. (2nd floor);Lower East Side;113 Ludlow St 2nd floor
756;Kun Jip;9 W 32nd St.;Chelsea;9 W 32nd St
757;Kunjip;9 W 32nd St.;Chelsea;9 W 32nd St
758;Kuruma Zushi;7 E 47th St.;East 40s;7 E 47th St
759;Kuta;65 Rivington St.;Lower East Side;65 Rivington St
760;Kyoto Sushi;1240 Lexington Ave.;East 80s;1240 Lexington Ave
761;Kyotofu;705 Ninth Ave.;West 40s;705 9th Ave
762;L&L Hawaiian Barbecue;64 Fulton St.;Financial District;64 Fulton St
763;L'Absinthe;227 E 67th St.;East 60s;227 E 67th St
764;L'Atelier de Joel Robuchon;57 E 57th St. | Four Seasons Hotel;East 50s;57 E 57th St
765;L'Ecole;462 Broadway;Soho;462 Broadway
766;L'Express;249 Park Ave. South;Gramercy Park;249 Park Ave S
767;L'Impero;45 Tudor City Pl.;East 40s;45 Tudor City Pl
768;L'allegria Italian Restaurant;623 Ninth Ave.;West 40s;623 9th Ave
769;L.E.S. Sushi;515 Grand St.;Lower East Side;515 Grand St
770;La Belle Vie;184 Eighth Ave.;Chelsea;184 8th Ave
771;La Bergamote;169 Ninth Ave.;Chelsea;169 9th Ave
772;La Bergamote;515 W 52nd St.;West 50s;515 W 52nd St
773;La Boite en Bois;75 W 68th St.;West 60s;75 W 68th St
774;La Bonne Soupe;48 W 55th St.;West 50s;48 W 55th St
775;La Bottega;88 Ninth Ave. | Maritime Hotel;Chelsea;363 W 16th St
776;La Cabana Salvadoreña;4384 Broadway;Washington Heights;4384 Broadway
777;La Cantina Toscana;1109 First Ave.;East 60s;1109 1st Avenue
778;La Caridad 78;2199 Broadway;West 70s;2199 Broadway
779;La Casa Del Mofongo;1447 Saint Nicholas Avenue;Washington Heights;1447 St Nicholas Ave
780;La Casa de Los Tacos;2277 First Ave.;East Harlem;2277 1st Avenue
781;La Esquina;106 Kenmare St.;Little Italy;106 Kenmare St
782;La Fenice Caffe;2014 Broadway;West 60s;2014 Broadway
783;La Giara;501 Third Ave.;Murray Hill;501 3rd Ave
784;La Gioconda;226 E 53rd St.;East 50s;226 E 53rd St
785;La Goulue;746 Madison Ave.;East 60s;746 Madison Ave
786;La Grolla;413 Amsterdam Ave.;West 70s;413 Amsterdam Ave
787;La Lunchonette;130 10th Ave.;Chelsea;130 10th Ave
788;La Masseria;235 W 48th St.;West 40s;235 W 48th St
789;La Mediterranee;947 Second Ave.;East 50s;947 2nd Ave
790;La Palapa Cocina Mexicana;359 Sixth Ave.;West Village;359 6th Ave
791;La Palapa Rockola;359 6th Ave.;West Village;359 6th Ave
792;La Palette;94 Greenwich Ave.;West Village;94 Greenwich Ave
793;La Paloma;359 W 45th St.;West 40s;359 W 45th St
794;La Pizza Fresca;31 E 20th St.;Flatiron;31 E 20th St
795;La Ripaille;605 Hudson St.;West Village;605 Hudson St
796;La Taza de Oro;1459 Eighth Ave.;Chelsea;1459 Frederick Douglass Blvd
797;Landmarc;179 W Broadway;Tribeca;179 W Broadway
798;Lansky’s Old World Deli;235 Columbus Ave.;West 70s;235 Columbus Ave
799;Las Ramblas;170 W. Fourth St.;Greenwich Village;170 West 4th Street
800;Lasani;15 W 29th St.;Chelsea;15 W 29th St
801;Lassi;28 Greenwich Ave.;West Village;28 Greenwich Ave
802;Le Jardin;25 Cleveland Pl.;Soho;25 Cleveland Pl
803;Le Madeleine;403 W 43rd St.;West 40s;403 W 43rd St
804;Le Marais;150 W 46th St.;West 40s;150 W 46th St
805;Le Miu;107 Ave. A;East Village;107 Avenue A
806;Le Monde;2885 Broadway;West 100s;2885 Broadway
807;Le Pain Quotidien;1131 Madison Ave.;East 80s;1131 Madison Ave
808;Le Pain Quotidien;38 E 19th;Flatiron;38 E 19th St
809;Le Pain Quotidien;1336 1st Ave.;East 70s;1336 1st Avenue
810;Le Pain Quotidien;100 Grand St.;Little Italy;100 Grand St
811;Le Perigord;405 E 52nd St.;East 50s;405 E 52nd St
812;Le Petit Bistro;258 W 15th St.;Chelsea;258 W 15th St
813;Le Soleil;877 10th Ave.;West 50s;877 10th Ave
814;Lechonera Sandy;2261 Second Ave.;East Harlem;2261 2nd Ave
815;Lederhosen;39 Grove St.;West Village;39 Grove St
816;Lenny's;307 Columbus Ave.;West 70s;307 Columbus Ave
817;Leon Bakery;695 Ninth Ave.;West 40s;695 9th Ave
818;Les Ambassades;161 W. 22nd St.;Chelsea;161 W 22nd St
819;Les Enfants Terribles;37 Canal St.;Lower East Side;37 Canal St
820;Les Halles;411 Park Avenue South;Murray Hill;411 Park Ave S
821;Les Halles;15 John St.;Financial District;15 John St
822;Li Hua;171 Grand St.;Soho;171 Grand St
823;Lil' Frankie's;19 1st Ave.;East Village;19 1st Avenue
824;Lil' Frankie's Pizza;19-21 First Ave.;East Village;1921 1st Avenue
825;Lili's Noodle Shop & Grill;1500 Third Ave.;East 80s;1500 3rd Ave
826;Lili's Noodle Shop & Grill;200 W 57th St.;West 50s;200 W 57th St
827;Lima's Taste;122 Christopher St.;West Village;122 Christopher St
828;Lisca;600 Amsterdam Ave.;West 90s;600 Amsterdam Ave
