level_0;level_1;ristorante;indirizzoOriginale;indirizzoGoogle;Score;0_restaurant;0_address;0_addressFix;1_restaurant;1_address;1_neighborhood;1_type;1_cost;1_addressFix
206,000;;;;;;Caffe Grazie;26 East 84th Street;26 E 84th St, New York, NY 10028, USA;;;;;;
207,000;;;;;;Caffe Palermo;148 Mulberry Street;148 Mulberry St, New York, NY 10013, USA;;;;;;
208,000;;;;;;Calico Jack's Cantina;800 Second Avenue;800 2nd Ave, New York, NY 10017, USA;;;;;;
210,000;;;;;;Candela;116 East 16th Street;116 E 16th St, New York, NY 10003, USA;;;;;;
212,000;;;;;;Cannonau;205 East 4th Street;205 E 4th St, New York, NY 10009, USA;;;;;;
214,000;;;;;;Capital Grille New York City;155 East 42nd Street;155 E 42nd St, New York, NY 10017, USA;;;;;;
215,000;;;;;;Cara Mia;654 9th Avenue;654 9th Ave, New York, NY 10036, USA;;;;;;
217,000;;;;;;Carne Vale;46 Avenue B;46 Avenue B, New York, NY 10009, USA;;;;;;
218,000;;;;;;Caroline's Comedy Nation Restaurant;1626 Broadway;1626 Broadway, New York, NY 10019, USA;;;;;;
219,000;;;;;;Carve Unique Sandwiches;760 8th Avenue;760 8th Ave, New York, NY 10036, USA;;;;;;
220,000;;;;;;Casa Brasil;316 East 53 Street;316 E 53rd St, New York, NY 10022, USA;;;;;;
221,000;;;;;;Casaville;633 Second Avenue;633 2nd Ave, New York, NY 10016, USA;;;;;;
222,000;;;;;;Cascina Ristorante;647 Ninth Avenue;647 9th Ave, New York, NY 10036, USA;;;;;;
223,000;;;;;;Caviar & Banana Brasserio;12 East 22nd Street;12 E 22nd St, New York, NY 10010, USA;;;;;;
224,000;;;;;;Center Cut;44 West 63rd Street;44 W 63rd St., New York, NY 10023, USA;;;;;;
225,000;;;;;;Centovini;25 West Houston Street;25 West Houston Street;;;;;;
226,000;;;;;;Central Park BoatHouse;E. 72nd St. and Park Dr. N.;E. 72nd St. and Park Dr. N.;;;;;;
227,000;;;;;;Centrico;211 West Broadway;211 W Broadway, New York, NY 10013, USA;;;;;;
228,000;;;;;;Centro Vinoteca;74 Seventh Avenue;74 Seventh Avenue;;;;;;
229,000;;;;;;Cesca Restaurant;164 West 75th Street;164 W 75th St, New York, NY 10023, USA;;;;;;
231,000;;;;;;Chanto;133 Seventh Avenue South;133 7th Ave S, New York, NY 10014, USA;;;;;;
232,000;;;;;;Charley's Grilled Subs;100 West 33rd Street;100 W 33rd St, New York, NY 10001, USA;;;;;;
233,000;;;;;;Charlie Palmer's Metrazur;404 Grand Central Terminal, 42nd St.;New York, NY, United States;;;;;;
234,000;;;;;;Chef Roland's;1354 Amsterdam Avenue;1354 Amsterdam Ave, New York, NY 10027, USA;;;;;;
237,000;;;;;;China 1 Restaurant & Lounge;50 Avenue B;50 Avenue B, New York, NY 10009, USA;;;;;;
238,000;;;;;;China Evian;144 West 46 Street;144 W 46th St, New York, NY 10036, USA;;;;;;
239,000;;;;;;China Grill New York;60 West 53rd Street;60 W 53rd St, New York, NY 10019, USA;;;;;;
240,000;;;;;;China Moon;7 East 47 Street;7 East 47 Street;;;;;;
241,000;;;;;;China Place;3141 Broadway At W. 123rd St.;3141 Broadway At W. 123rd St.;;;;;;
242,000;;;;;;China Regency;850 Seventh Avenue;850 7th Ave, New York, NY 10019, USA;;;;;;
244,000;;;;;;Chinese Mirch;120 Lexington Avenue;120 Lexington Ave, New York, NY 10016, USA;;;;;;
245,000;;;;;;Chipotle Mexican Grill;55 East 8th Street;55 E 8th St, New York, NY 10003, USA;;;;;;
246,000;;;;;;Chipotle Mexican Grill;129 West 48th Street;129 W 48th St, New York, NY 10036, USA;;;;;;
247,000;;;;;;Chop Suey;714 Seventh Avenue;714 7th Ave, New York, NY 10036, USA;;;;;;
248,000;;;;;;Chubo Restaurant;6 Clinton Street;6 Clinton St, New York, NY 10002, USA;;;;;;
249,000;;;;;;Chumley's;86 Bedford Street;86 Bedford St, New York, NY 10014, USA;;;;;;
250,000;;;;;;Churrascaria Plataforma;316 West 49 Street;316 W 49th St, New York, NY 10019, USA;;;;;;
251,000;;;;;;Ciaobella Ristorante Lounge;1640 2nd Avenue;1640 2nd Ave, New York, NY 10028, USA;;;;;;
253,000;;;;;;Cinco De Mayo;1711 2nd Avenue;1711 2nd Ave, New York, NY 10128, USA;;;;;;
254,000;;;;;;Cinnabon;901 Avenue Of The Americas;901 6th Ave, New York, NY 10001, USA;;;;;;
255,000;;;;;;Ciro Trattoria;813 8th Avenue;813 8th Ave, Brooklyn, NY 11215, USA;;;;;;
256,000;;;;;;Cite;120 West 51st Street;120 W 51st St, New York, NY 10019, USA;;;;;;
260,000;;;;;;City Lobster & Crab Company;121 West 49th Street;121 W 49th St, New York, NY 10020, USA;;;;;;
261,000;;;;;;City Winery;155 Varick Street;155 Varick St, New York, NY 10013, USA;;;;;;
262,000;;;;;;Claudio Pizzeria;598 10th Avenue;598 10th Ave, New York, NY 10036, USA;;;;;;
263,000;;;;;;Coffee & Desserts (Show All);195 Grand Street;195 Grand St, New York, NY 10013, USA;;;;;;
264,000;;;;;;Cold Stone Creamery;1651 Second Avenue;1651 2nd Ave, Walnut Creek, CA 94597, USA;;;;;;
267,000;;;;;;Columbus Cafe;556 Columbus Avenue;556 Columbus Ave, Boston, MA 02118, USA;;;;;;
268,000;;;;;;Compass Restaurant New York;208 West 70th Street;208 W 70th St, New York, NY 10023, USA;;;;;;
269,000;;;;;;Concord Garden Chinese & Thai Cuisine;990 Amsterdam Avenue;990 Amsterdam Ave, New York, NY 10025, USA;;;;;;
270,000;;;;;;Conservatory;15 Central Park West;15 Central Park West, 15 Central Park West, New York, NY 10023, USA;;;;;;
272,000;;;;;;Cooper's Tavern;481 Eighth Avenue;481 8th Ave, New York, NY 10001, USA;;;;;;
273,000;;;;;;Core One Nine One;191 Orchard Street;191 Orchard Street;;;;;;
275,000;;;;;;Cosi;54 Pine Street;54 Pine St, New York, NY 10005, USA;;;;;;
276,000;;;;;;Cosi;2160 Broadway;2160 Broadway, New York, NY 10024, USA;;;;;;
277,000;;;;;;Cosi;61 West 48th Street;61 W 48th St, New York, NY 10020, USA;;;;;;
278,000;;;;;;Cosi;700 6th Avenue;700 6th Ave, New York, NY 10010, USA;;;;;;
279,000;;;;;;Cosi;257 Park Avenue;257 Park Ave, New York, NY 10167, USA;;;;;;
280,000;;;;;;Cost Legend (Average Price/Person):;"""Inexpensive"" = Generally < $15";"""Inexpensive"" = Generally < $15";;;;;;
281,000;;;;;;Counter;105 First Avenue;105 1st Avenue, New York, NY 10003, USA;;;;;;
282,000;;;;;;Country;90 Madison Avenue;90 Madison Ave, New York, NY 10016, USA;;;;;;
283,000;;;;;;Craft Restaurant;43 East 19th Street;43 E 19th St, New York, NY 10003, USA;;;;;;
285,000;;;;;;Craftsteak;85 Tenth Avenue;85 10th Ave, New York, NY 10011, United States;;;;;;
288,000;;;;;;Croton Reservoir Tavern;108 West 40th Street;108 W 40th St, New York, NY 10018, USA;;;;;;
289,000;;;;;;Cru Restaurant;24 5th Avenue;24 5th Ave, New York, NY 10011, USA;;;;;;
290,000;;;;;;Cub Room;131 Sullivan Street;131 Sullivan St, New York, NY 10012, USA;;;;;;
293,000;;;;;;D and S Pizza;691 10th Avenue;691 10th Ave, New York, NY 10036, USA;;;;;;
295,000;;;;;;Da Marino;220 West 49th Street;220 W 49th St, New York, NY 10019, USA;;;;;;
296,000;;;;;;Da Nico Ristorante;164 Mulberry Street;164 Mulberry St, New York, NY 10013, USA;;;;;;
297,000;;;;;;Dalga Seafood Grill;401 East 62nd Street;401 E 62nd St, New York, NY 10065, USA;;;;;;
298,000;;;;;;Daniel;60 East 65th Street;60 E 65th St, New York, NY 10065, USA;;;;;;
299,000;;;;;;Danny's Grand Sea Palace;346 West 46th Street;346 W 46th St, New York, NY 10036, USA;;;;;;
300,000;;;;;;Danube;30 Hudson Street;30 Hudson Street;;;;;;
302,000;;;;;;Decade;1117 1st Avenue;1117 1st Avenue;;;;;;
303,000;;;;;;Del Frisco's of New York;1221 Avenue of the Americas;1221 Avenue of the Americas, New York, NY 10020, USA;;;;;;
304,000;;;;;;Del Posto Ristorante;85 10th Avenue;US-NYC-8510, 85 10th Ave, New York, NY 10011, USA;;;;;;
305,000;;;;;;Delicatessen;54 Prince Street;54 Prince St, New York, NY 10012, USA;;;;;;
307,000;;;;;;Destino;891 1st Avenue;891 1st Avenue, New York, NY 10022, USA;;;;;;
309,000;;;;;;Dip Cafe;416 Third Avenue;416 3rd Ave, New York, NY 10016, USA;;;;;;
310,000;;;;;;Dirt Candy;430 East 9th Street;430 E 9th St, New York, NY 10009, USA;;;;;;
311,000;;;;;;District;130 West 46th Street;130 W 46th St, New York, NY 10036, USA;;;;;;
312,000;;;;;;Divalicious Chocolate! Cafe;365 Broome Street;365 Broome St, New York, NY 10013, USA;;;;;;
313,000;;;;;;Divertimento Bistro;432 East 13th Street;432 E 13th St, New York, NY 10009, USA;;;;;;
314,000;;;;;;Domenico's;120 East 40th Street;120 E 40th St, New York, NY 10016, USA;;;;;;
315,000;;;;;;Domino's Pizza;943 1st Avenue;943 1st Avenue, New York, NY 10022, USA;;;;;;
316,000;;;;;;Domino's Pizza;799 East 13th Street;799 East 13th Street;;;;;;
318,000;;;;;;Dovetail;103 West 77th Street;103 W 77th St, New York, NY 10024, USA;;;;;;
319,000;;;;;;Duke's;560 Third Avenue;560 3rd Ave, New York, NY 10016, USA;;;;;;
320,000;;;;;;Dunkin Doughnuts;132 Nassau Street;132 Nassau St, New York, NY 10038, USA;;;;;;
321,000;;;;;;Dunkin' Donuts;105 West 125th Street;105 W 125th St, New York, NY 10027, USA;;;;;;
322,000;;;;;;Dunkin' Donuts;1391 Madison Avenue;1391 Madison Ave, New York, NY 10029, USA;;;;;;
323,000;;;;;;Dunkin' Donuts;1630 Madison Avenue;1630 Madison Ave, New York, NY 10029, USA;;;;;;
324,000;;;;;;Dunkin' Donuts;15 Penn Plaza;401 7th Ave, New York, NY 10001, United States;;;;;;
325,000;;;;;;Dunkin' Donuts;1024 1st Avenue;1024 1st Avenue;;;;;;
328,000;;;;;;Earl's Restaurant Bar;560 3rd Avenue;560 3rd Ave, New York, NY 10016, USA;;;;;;
329,000;;;;;;Earth;116A 10th Avenue;116A 10th Avenue;;;;;;
330,000;;;;;;East Bay;491 1st Avenue;491 1st Avenue, New York, NY 10016, USA;;;;;;
331,000;;;;;;East River Cafe;1111 First Avenue;1111 1st Avenue, New York, NY 10065, USA;;;;;;
332,000;;;;;;Eighty One;45 West 81st Street;45 W 81st St, New York, NY 10024, USA;;;;;;
333,000;;;;;;El Azteca;783 Ninth Avenue;783 9th Ave, New York, NY 10019, USA;;;;;;
334,000;;;;;;El Parador;325 East 34th Street;325 E 34th St, New York, NY 10016, USA;;;;;;
335,000;;;;;;El Puerto Seafood & Fish Market;511 West 125th Street;511 W 125th St, New York, NY 10027, USA;;;;;;
337,000;;;;;;El Tina #2;511 West 125th Street;511 W 125th St, New York, NY 10027, USA;;;;;;
338,000;;;;;;Emack & Bolio's;81st Street and First Avenue;81st Street and First Avenue;;;;;;
339,000;;;;;;Emperor Japanese Tapas Shabu;96 Bowery;96 Bowery, New York, NY 10013, USA;;;;;;
340,000;;;;;;English Is Italian;622 3rd Avenue;622 3rd Ave, New York, NY 10017, USA;;;;;;
341,000;;;;;;Epoque;401 West 50th Street;401 W 50th St, New York, NY 10019, USA;;;;;;
342,000;;;;;;Erminia Ristorante;250 East 83rd Street;250 E 83rd St, New York, NY 10028, USA;;;;;;
344,000;;;;;;Estiatorio Milos Restaurant;125 West 55th Street;125 West 55th Street;;;;;;
345,000;;;;;;Etats-Unis;242 East 81st Street;242 East 81st Street;;;;;;
346,000;;;;;;Etrusca Restaurant;125 West 53rd Street;125 W 53rd St, New York, NY 10019, USA;;;;;;
347,000;;;;;;Euro Diner;738 8th Avenue;738 8th Ave, New York, NY 10036, USA;;;;;;
348,000;;;;;;Euzkadi Restaurant;108 East Fourth Street;108 E 4th St, New York, NY 10003, USA;;;;;;
349,000;;;;;;Expensive;1633 2nd Avenue;1633 2nd Ave, New York, NY 10028, United States;;;;;;
350,000;;;;;;Expensive;1600 Broadway;1600 Broadway, New York, NY 10019, USA;;;;;;
352,000;;;;;;Famiglia;686 8th Avenue;686 8th Ave, New York, NY 10036, USA;;;;;;
353,000;;;;;;Fantino;112 Central Park South;112 Central Park S, New York, NY 10019, USA;;;;;;
354,000;;;;;;Fast Food & Chains (Show All);221 7th Avenue;221 7th Avenue;;;;;;
357,000;;;;;;Ferrara's Cafe Italiano;195 Grand Street;195 Grand St, New York, NY 10013, USA;;;;;;
359,000;;;;;;Financier Patisserie;35 Cedar Street;35 Cedar Street;;;;;;
360,000;;;;;;Fiorini;209 East 56th Street;209 E 56th St, New York, NY 10022, USA;;;;;;
361,000;;;;;;Firebird Russian Restaurant;365 West 46th Street;365 W 46th St, New York, NY 10036, USA;;;;;;
362,000;;;;;;Firenze Restaurant;1594 2nd Avenue;1594 2nd Ave, New York, NY 10028, USA;;;;;;
364,000;;;;;;Fives;700 Fifth Avenue;700 5th Ave, New York, NY 10019, USA;;;;;;
366,000;;;;;;Flor de Sol Restaurant;361 Greenwich Street;361 Greenwich St, New York, NY 10013, USA;;;;;;
367,000;;;;;;Floridita Restaurant;3219 Broadway;3219 Broadway, New York, NY 10027, USA;;;;;;
368,000;;;;;;Foley's Fish House;714 Seventh Avenue;714 7th Ave, New York, NY 10036, USA;;;;;;
369,000;;;;;;Frank's;410 West 12th Street;410 W 12th Ave, Vancouver, BC V5Y 4A4, Canada;;;;;;
372,000;;;;;;Frere Jacques;13 East 37th Street;13 E 37th St, New York, NY 10016, USA;;;;;;
374,000;;;;;;Fresh Restaurant;105 Reade Street;105 Reade St, New York, NY 10013, USA;;;;;;
375,000;;;;;;Fresh Tortillas;1739 2nd Avenue;1739 2nd Ave, New York, NY 10128, USA;;;;;;
376,000;;;;;;Fulton;205 East 75th Street;205 E 75th St, New York, NY 10021, USA;;;;;;
377,000;;;;;;Funky Nassau;127 East 7th Street;127 E 7th St, New York, NY 10009, USA;;;;;;
379,000;;;;;;Gaby Restaurant;44 West 45th Street;44 W 45th St, New York, NY 10036, USA;;;;;;
380,000;;;;;;Garage Restaurant and Cafe;99 Seventh Avenue South;99 7th Ave S, New York, NY 10014, USA;;;;;;
381,000;;;;;;Garden Of Ono;18 Ninth Avenue;18 Ninth Ave, Railway Estate QLD 4810, Australia;;;;;;
383,000;;;;;;Geisha Restaurant;33 East 61st Street;33 E 61st St, New York, NY 10065, USA;;;;;;
384,000;;;;;;Genki Sushi;9 East 46 Street;9 East 46 Street;;;;;;
385,000;;;;;;Gente;153 East 45th Street;153 East 45th Street;;;;;;
386,000;;;;;;Geronimo;1600 3rd Avenue;1600 3rd Avenue;;;;;;
387,000;;;;;;Gizzi's Coffee;16 West 8th Street;16 W 8th St, New York, NY 10011, USA;;;;;;
388,000;;;;;;Gobo Upper East Side;1426 3rd Avenue;1426 3rd Ave, New York, NY 10028, USA;;;;;;
389,000;;;;;;Good Friend Restaurant;3210 Broadway;3210 Broadway, New York, NY 10027, USA;;;;;;
390,000;;;;;;Gordon Ramsay;151 West 54th Street;151 W 54th St, New York, NY 10019, USA;;;;;;
391,000;;;;;;Gotham Bar and Grill;12 East 12 Street;12 East 12 Street;;;;;;
392,000;;;;;;Gramercy 24;323 3rd Avenue;323 3rd Avenue;;;;;;
394,000;;;;;;Grand Central Oyster Bar;89 East 42nd Street;89 E 42nd St, New York, NY 10017, USA;;;;;;
395,000;;;;;;Grand Tier Restaurant;150 West 65th Street;150 W 65th St, New York, NY 10023, USA;;;;;;
397,000;;;;;;Grayz;13-15 West 54th Street;13 W 54th St, New York, NY 10019, USA;;;;;;
398,000;;;;;;Great China Chinese Restaurant;1461 Amsterdam Avenue;1461 Amsterdam Ave, New York, NY 10027, USA;;;;;;
399,000;;;;;;Grill 21;346 East 21st Street;346 E 21st St, New York, NY 10010, USA;;;;;;
400,000;;;;;;Guantanamera;939 Eighth Avenue;939 8th Ave, New York, NY 10001, USA;;;;;;
401,000;;;;;;Gusto Ristorante e Bar Americano;60 Greenwich Avenue;60 Greenwich Ave, New York, NY 10011, USA;;;;;;
402,000;;;;;;Gyu-Kaku;34 Cooper Square;34 Cooper Sq, New York, NY 10003, USA;;;;;;
404,000;;;;;;HQ New York Bistro;90 Thompson Street;90 Thompson St, New York, NY 10012, USA;;;;;;
405,000;;;;;;Hakata Grill;230 West 48th Street;230 W 48th St, New York, NY 10036, USA;;;;;;
406,000;;;;;;Hale & Hearty Soups;Grand Central Terminal;89 E 42nd St, New York, NY 10017, United States;;;;;;
407,000;;;;;;Happy Taco;1167 2nd Avenue;1167 2nd Ave, New York, NY 10065, USA;;;;;;
408,000;;;;;;Harlem Tea Room;1793A Madison Avenue;1793A Madison Ave, New York, NY 10035, USA;;;;;;
409,000;;;;;;Havana;27 West 38th Street;27 W 38th St, New York, NY 10018, USA;;;;;;
412,000;;;;;;Havana Central;22 East 17th Street;22 E 17th St, New York, NY 10003, USA;;;;;;
413,000;;;;;;Havana Central at The West End;2911 Broadway;2911 Broadway, New York, NY 10025, USA;;;;;;
414,000;;;;;;Hawaiian Tropic Zone;729 Seventh Avenue;729 7th Ave, New York, NY 10019, USA;;;;;;
415,000;;;;;;Heartland Brewery and Chophouse;127 W. 43rd St. at Times Square;127 W 43rd St, New York, NY 10036, USA;;;;;;
416,000;;;;;;Hell's Kitchen;691 10th Avenue;691 10th Ave, New York, NY 10036, USA;;;;;;
418,000;;;;;;Houlihan's;2 Penn Plaza;2 Pennsylvania Plaza, New York, NY 10121, USA;;;;;;
420,000;;;;;;Hurapan Kitchen;29 7th Avenue South;29 7th Avenue South;;;;;;
421,000;;;;;;Hurley's;232 West 48th Street;232 West 48th Street;;;;;;
422,000;;;;;;Hurricane Island;1303 Third Avenue;1303 3rd Ave, New York, NY 10021, USA;;;;;;
424,000;;;;;;II Mulino;86 West 3 Street;86 W 3rd St, New York, NY 10012, USA;;;;;;
425,000;;;;;;Ida Mae Kitchen -n- Lounge;111 West 38th Street;111 W 38th St, Indianapolis, IN 46208, USA;;;;;;
427,000;;;;;;Il Bastardo;191 7th Avenue;191 7th Ave, New York, NY 10011, USA;;;;;;
428,000;;;;;;Il Buco Restaurant;47 Bond Street;47 Bond St, New York, NY 10012, USA;;;;;;
429,000;;;;;;Il Campanello Ristorante;136 West 31 Street;136 W 31st St, Bayonne, NJ 07002, USA;;;;;;
431,000;;;;;;Il Melograno;501 West 51st Street;501 W 51st St, New York, NY 10019, USA;;;;;;
433,000;;;;;;Imperial Dragon;45 West 55th Street;45 W 55th St, New York, NY 10019, USA;;;;;;
434,000;;;;;;In Vino Wine Bar and Restaurant;215 East Fourth Street;215 E 4th St, New York, NY 10009, USA;;;;;;
436,000;;;;;;Incredi Fusion;363 Third Avenue;363 3rd Ave, New York, NY 10016, USA;;;;;;
437,000;;;;;;Indian Taj;181 Bleecker Street;181 Bleecker St, New York, NY 10012, USA;;;;;;
439,000;;;;;;Inexpensive;3 East 37th Street;3 E 37th St, Hamilton, ON L8V 4A7, Canada;;;;;;
440,000;;;;;;Inexpensive;738 8th Avenue;738 8th Ave, New York, NY 10036, USA;;;;;;
441,000;;;;;;Insomnia Cookies;148 West 4th Street;148 West 4th Street, New York, NY 10012, USA;;;;;;
442,000;;;;;;International (Show All);45 Tudor City Place;45 Tudor City Pl, New York, NY 10017, USA;;;;;;
443,000;;;;;;International (Show All);537 9th Avenue;537 9th Ave, New York, NY 10018, USA;;;;;;
444,000;;;;;;International (Show All);19 West 44th Street;19 W 44th St, New York, NY 10036, USA;;;;;;
445,000;;;;;;International (Show All);2315 Broadway;2315 Broadway, New York, NY 10024, USA;;;;;;
446,000;;;;;;International (Show All);45 East 20th Street;45 E 20th St, New York, NY 10003, USA;;;;;;
447,000;;;;;;International (Show All);105 Hudson Street;105 Hudson St, New York, NY 10013, USA;;;;;;
448,000;;;;;;International (Show All);430 Lafayette Street;430 Lafayette St, New York, NY 10003, USA;;;;;;
449,000;;;;;;International (Show All);768 Madison Avenue;768 Madison Ave, New York, NY 10065, USA;;;;;;
450,000;;;;;;Italian (Show All);191 7th Avenue;191 7th Ave, New York, NY 10011, USA;;;;;;
451,000;;;;;;Italian (Show All);355 West 46 Street;355 W 46th St, New York, NY 10036, USA;;;;;;
452,000;;;;;;Italian (Show All);85 10th Avenue;US-NYC-8510, 85 10th Ave, New York, NY 10011, USA;;;;;;
453,000;;;;;;Italian (Show All);45 Tudor City Place;45 Tudor City Pl, New York, NY 10017, USA;;;;;;
454,000;;;;;;Italian (Show All);135 East 62nd Street;135 E 62nd St, New York, NY 10065, USA;;;;;;
455,000;;;;;;Italian (Show All);501 West 51st Street;501 W 51st St, New York, NY 10019, USA;;;;;;
456,000;;;;;;Italian (Show All);2315 Broadway;2315 Broadway, New York, NY 10024, USA;;;;;;
457,000;;;;;;Jack's Luxury Oyster Bar;101 Second Avenue;101 2nd Ave, New York, NY 10003, USA;;;;;;
458,000;;;;;;Jamba Juice;1026 Third Avenue;1026 3rd Ave, New York, NY 10065, USA;;;;;;
459,000;;;;;;Jamba Juice;2341 Broadway;2341 Broadway, New York, NY 10024, USA;;;;;;
461,000;;;;;;Jewel Bako;239 East 5th Street;239 E 5th St, New York, NY 10003, USA;;;;;;
463,000;;;;;;Jimmy Sung's;219 East 44th Street;219 E 44th St, New York, NY 10017, USA;;;;;;
465,000;;;;;;Joe The Art of Coffee;141 Waverly Place;141 Waverly Pl, New York, NY 10014, USA;;;;;;
466,000;;;;;;John's Pizzeria;260 West 44th Street;260 W 44th St, New York, NY 10036, USA;;;;;;
468,000;;;;;;Josie's Restaurant;565 3rd Avenue;565 3rd Ave, San Bruno, CA 94066, USA;;;;;;
469,000;;;;;;Josie's West;300 Amsterdam Avenue;300 Amsterdam Ave, New York, NY 10023, USA;;;;;;
470,000;;;;;;Jovia;135 East 62nd Street;135 E 62nd St, New York, NY 10065, USA;;;;;;
471,000;;;;;;KFC;301 West 125th Street;301 W 125th St, New York, NY 10027, USA;;;;;;
472,000;;;;;;KFC;One Penn Plaza;1 Pennsylvania Plaza, New York, NY 10119, United States;;;;;;
473,000;;;;;;KFC;1402 Second Avenue;1402 2nd Ave, New York, NY 10021, USA;;;;;;
474,000;;;;;;Kai;22 Madison Avenue;22 Madison Ave, Toronto, ON M5R 2S1, Canada;;;;;;
477,000;;;;;;Kion;509 East 6th Street;509 E 6th St, New York, NY 10009, USA;;;;;;
478,000;;;;;;Kobe Club;68 West 58th Street;68 W 58th St, New York, NY 10019, USA;;;;;;
479,000;;;;;;Koi;40 West 40th Street;40 West 40th Street;;;;;;
480,000;;;;;;Kouzan;685 Amsterdam Avenue;685 Amsterdam Ave NE, Atlanta, GA 30306, USA;;;;;;
481,000;;;;;;Krispy Kreme;141 West 72nd Street;141 W 72nd St, New York, NY 10023, USA;;;;;;
482,000;;;;;;Kurve;87 2nd Avenue;87 2nd Avenue;;;;;;
483,000;;;;;;L'Impero Restaurant;45 Tudor City Place;45 Tudor City Pl, New York, NY 10017, USA;;;;;;
485,000;;;;;;La Carne Grill;340 Lexington Avenue;340 Lexington Ave, New York, NY 10016, USA;;;;;;
486,000;;;;;;La Giara;501 3rd Avenue;501 3rd Ave, New York, NY 10016, USA;;;;;;
487,000;;;;;;La Goulue Restaurant;746 Madison Avenue;746 Madison Ave, New York, NY 10065, USA;;;;;;
488,000;;;;;;La Grenouille;3 East 52 Street;3 E 52nd St, New York, NY 10022, USA;;;;;;
489,000;;;;;;La Grolla Ristorante;413 Amsterdam Avenue;413 Amsterdam Ave, New York, NY 10024, USA;;;;;;
490,000;;;;;;La Mediterranee;947 Second Avenue;947 2nd Ave, New York, NY 10022, USA;;;;;;
491,000;;;;;;La Rivista;313 West 46th Street;313 W 46th St, New York, NY 10036, USA;;;;;;
492,000;;;;;;La Rosita;2809 Broadway;2809 Broadway St, San Antonio, TX 78209, USA;;;;;;
493,000;;;;;;La Zarza;166 First Avenue;166 1st Avenue, New York, NY 10009, USA;;;;;;
494,000;;;;;;Lasaro's;29 East 30th Street;29 E 30th St, New York, NY 10016, USA;;;;;;
495,000;;;;;;Latin, Cuban, Spanish (Show All);1022A Lexington Avenue;1022A Lexington Ave, New York, NY 10021, USA;;;;;;
496,000;;;;;;Latin, Cuban, Spanish (Show All);324 Bowery;324 Bowery, New York, NY 10012, USA;;;;;;
498,000;;;;;;Le Cirque;151 East 58th Street;151 E 58th St, New York, NY 10022, USA;;;;;;
499,000;;;;;;Le Figaro Cafe;184 Bleecker Street;184 Bleecker St, New York, NY 10012, USA;;;;;;
500,000;;;;;;Le Perigord;405 East 52nd Street;405 E 52nd St, New York, NY 10022, USA;;;;;;
501,000;;;;;;Le Rivage;340 West 46th Street;340 W 46th St, New York, NY 10036, USA;;;;;;
503,000;;;;;;Lenny's Sub Shop;60 West 48th Street;60 W 48th St, New York, NY 10036, USA;;;;;;
504,000;;;;;;Lenox Room;1278 3rd Avenue;1278 3rd Ave, New York, NY 10021, USA;;;;;;
505,000;;;;;;Little Saigon;374 West 46 Street;374 W 46th St, New York, NY 10036, USA;;;;;;
506,000;;;;;;Lobby Lounge;80 Columbus Circle;80 Columbus Cir, New York, NY 10023, USA;;;;;;
508,000;;;;;;Los Dados;73 Gansevoort Street;73 Gansevoort St, New York, NY 10014, USA;;;;;;
509,000;;;;;;Lotus;409 West 14th Street;409 West 14th Street;;;;;;
510,000;;;;;;Lou's Cafe;1301 Sixth Avenue;1301 6th Ave, New York, NY 10019, USA;;;;;;
511,000;;;;;;Lucky Cheng's;24 First Avenue;24 1st Avenue, New York, NY 10009, USA;;;;;;
513,000;;;;;;Lunetta;920 Broadway;920 Broadway, New York, NY 10010, USA;;;;;;
515,000;;;;;;MR CHOW;324 East 57th Street;324 East 57th Street;;;;;;
516,000;;;;;;Macao Trading Company;311 Church Street;311 Church St, New York, NY 10013, USA;;;;;;
517,000;;;;;;Maggie Moo's;1437 2nd Avenue;1437 2nd Ave, New York, NY 10021, USA;;;;;;
518,000;;;;;;Maison;1700 Broadway;1700 Broadway, New York, NY 10019, USA;;;;;;
519,000;;;;;;Malaga;406 East 73rd Street;406 E 73rd St, New York, NY 10021, USA;;;;;;
521,000;;;;;;Manhattan Sky;Park Avenue at Grand Central;89 E 42nd St, New York, NY 10017, United States;;;;;;
523,000;;;;;;Maria Pia Restaurant;319 West 51st Street;319 W 51st St, New York, NY 10019, USA;;;;;;
524,000;;;;;;Marichu Restaurant & Tapas Bar;342 East 46 Street;342 E 46th St, New York, NY 10017, USA;;;;;;
525,000;;;;;;Marseille Restaurant;630 Ninth Avenue;630 9th Ave, New York, NY 10036, USA;;;;;;
526,000;;;;;;Mary Ann's;1503 2nd Avenue;1503 2nd Ave, New York, NY 10075, USA;;;;;;
528,000;;;;;;Matador;57 Greenwich Avenue;57 Greenwich Ave, New York, NY 10014, USA;;;;;;
529,000;;;;;;Matsugen;241 Church Street;241 Church St, Toronto, ON M5B 1Z4, Canada;;;;;;
530,000;;;;;;Maya New York;1191 First Avenue;1191 1st Avenue, New York, NY 10065, USA;;;;;;
531,000;;;;;;McCormick & Schmick's;1285 Avenue of the Americas;1285 6th Ave, New York, NY 10019, USA;;;;;;
532,000;;;;;;McDonald's;Lower Level;Lower Level;;;;;;
533,000;;;;;;McDonald's;2271 Broadway;2271 Broadway, New York, NY 10024, USA;;;;;;
534,000;;;;;;McDonald's;39 Union Square West;39 Union Square W, New York, NY 10003, USA;;;;;;
535,000;;;;;;McDonald's;969 1st Avenue;969 1st Avenue, New York, NY 10022, USA;;;;;;
