restaurant;address;country;neighborhood;type;phone
Indus Express; 48 W 48th St-between Fifth and Sixth Aves;New York;Midtown West;Indian;(212-840-2733)
Indus Valley; 2636 Broadway-at 100th St;New York;Upper West Side;Indian;(212-222-9222)
Industria Argentina; 329 Greenwich St-between Duane and Jay Sts;New York;Tribeca;Argentine;(212-965-8560)
Ini Ani (CLOSED); 105 Stanton St-at Ludlow St;New York;Lower East Side;Cafés;(212-254-9066)
Inside Park at St. Bart's;109 E. 50th St -;New York;;;
Inside Park at St. Bart’s; 109 E 50th St-at Park Ave;New York;Midtown East;American;(212-593-3333)
Insieme;Michelangelo Hotel -777 Seventh Aveat 51st St;New York;Midtown West;Italian;(212-582-1310)
Insomnia Cookies; 50 W 8th St-between Sixth Ave and MacDougal St;New York;Greenwich Village;American;(877-63-COOKIE)
Ippudo NY; 65 Fourth Ave-between 9th and 10th Sts;New York;East Village;Japanese;(212-388-0088)
Iron Sushi; 355 E 78th St-between First and Second Aves;New York;Upper East Side;Japanese;(212-772-7680)
Irving Farm; 56 Seventh Ave-between 13th and 14th Sts;New York;West Village;Cafés & diners;(212-475-5200)
Irving Mill; 116 E 16th St-between Park Ave South and Irving Pl;New York;Gramercy/Flatiron;American;(212-254-1600)
Isabella’s; 359 Columbus Ave-at 77th St;New York;Upper West Side;Mediterranean;(212-724-2100)
Isabella’s Oven; 365 Grand St-between Essex and Norfolk Sts;New York;Lower East Side;Italian;(212-529-5206)
Isabella’s Oven (CLOSED);365 Grand St -;New York;;;
Ise; 56 Pine St-between Pearl and William Sts;New York;Financial District;Japanese;(212-785-1600)
Island Burger and Shakes; 766 Ninth Ave-between 50th and 51st Sts;New York;Midtown West;American;(212-307-7934)
Islero; 247 E 50th St-between Second and Third Aves;New York;Midtown East;Spanish;(212-752-1414)
Ithaka; 308 E 86th St-between First and Second Aves;New York;Upper East Side;Greek;(212-628-9100)
Itzocan Bistro; 1575 Lexington Ave-at 101st St;New York;Upper East Side;Mexican;(212-423-0255)
Itzocan Café; 438 E 9th St-between First Ave and Ave A;New York;East Village;Mexican;(212-677-5856)
It’s a Dominican Thing; 144 W 19th St-between Sixth and Seventh Aves;New York;Chelsea;Caribbean: Dominican;(212-924-3344)
Ivo & Lulu; 558 Broome St-at Varick St;New York;Soho;French;(212-226-4399)
Ivy’s Bistro; 385 Greenwich St-at North Moore St;New York;Tribeca;Italian;(212-343-1139)
Ivy’s Cafe; 154 W 72nd St-between Columbus Ave and Broadway;New York;Upper West Side;Chinese;(212-787-3333)
Izakaya Ten; 207 Tenth Ave-between 22nd and 23rd Sts;New York;Chelsea;Japanese;(212-627-7777)
Izu; 9 E 13th St-between Fifth Ave and University Pl;New York;Greenwich Village;Japanese;(646-486-7313)
J.G. Melon; 1291 Third Ave-at 74th St;New York;Upper East Side;American;(212-744-0585)
JLX Café; 507 Columbus Ave-between 84th and 85th Sts;New York;Upper West Side;French;(212-712-1700)
Jack; 80 University Pl-at 11th St;New York;Greenwich Village;French;(212-620-5544)
Jackson Hole; 1611 Second Ave-between 83rd and 84th Sts;New York;Upper East Side;American;(212-737-8788)
Jack’s Luxury Oyster Bar; 101 Second Ave-at 6th St;New York;East Village;Seafood;(212-253-7848)
Jack’s Stir Brew Coffee; 292 Elizabeth St-between Bleecker and E Houston Sts;New York;Chinatown/Little Italy;Cafés & diners;(212-226-5775)
Jacques; 20 Prince St-between Elizabeth and Mott Sts;New York;Chinatown/Little Italy;French;(212-966-8886)
Jacques Torres; 285 Amsterdam Ave-between 73rd and 74th Sts;New York;Upper West Side;Cafés & diners;(212-414-2462)
Jacques’ Brasserie; 204 E 85th St-between Second and Third Aves;New York;Upper East Side;French;(212-327-2272)
Jaipur’s; 1007 Second Ave-between 53rd and 54th Sts;New York;Midtown East;Indian;(212-371-3330)
Jane; 100 W Houston St-between La Guardia Pl and Thompson St;New York;Greenwich Village;American;(212-254-7000)
Japonais; 111 E 18th St-between Park Avenue South and Irving Pl;New York;Gramercy/Flatiron;Japanese;(212-260-2020)
Japonica; 100 University Pl-at 12th St;New York;Greenwich Village;Japanese;(212-243-7752)
Jarnac; 328 W 12th St-at Greenwich St;New York;Meatpacking District;French;(212-924-3413)
Jaya; 90 Baxter St-between Walker and White Sts;New York;Chinatown/Little Italy;Asian: Malaysian;(212-219-3331)
Jean Claude; 137 Sullivan St-between Houston and Prince Sts;New York;Soho;French;(212-475-9232)
Jean Georges;Trump International Hotel & Tower -1 Central Park Westat Columbus Circle;New York;Upper West Side;French;(212-299-3900)
Jeeb; 154 Orchard St-between Stanton and Rivington Sts;New York;Lower East Side;Thai;(212-677-4101)
Jeollado; 116 E 4th St-between First and Second Aves;New York;East Village;Japanese;(212-260-7696)
Jerry’s (CLOSED); 101 Prince St-between Greene and Mercer Sts;New York;Soho;Cafés & diners;(212-966-9464)
Jerry’s Café; 90 Chambers St-between Broadway and Church St;New York;Tribeca;American;(212-608-1700)
Jewel Bako; 239 E 5th St-between Second and Third Aves;New York;East Village;Japanese;(212-979-1012)
Jewel Bako Makimono (CLOSED); 101 Second Ave-between 5th and 6th Sts;New York;East Village;Japanese;(212-253-7848)
Jewel of India; 15 W 44th St-between Fifth and Sixth Aves;New York;Midtown West;Indian;(212-869-5544)
Je’Bon Noodle House; 15 St. Marks Pl-between Second and Third Aves;New York;East Village;Asian: Pan-Asian;(212-388-1313)
Jiannetto’s Pizza truck; E 47th St-at Park Ave;New York;Midtown East;Italian: Pizza;
Jim Brady's Irish Pub and Restaurant;75 Maiden Lane -;New York;;;
Jimmy’s Burger Shack; 258 W 31st St-between Seventh and Eighth Aves;New York;Midtown West;American;(212-695-5462)
Jimmy’s No. 43; 43 E 7 St-between Second and Third Aves;New York;East Village;American Creative;(212-982-3006)
Jing; 689 Ninth Ave-between 47th and 48th Sts;New York;Midtown West;Chinese;(212-245-0800)
Jing Fong; 20 Elizabeth St-between Bowery and Canal St;New York;Chinatown/Little Italy;Chinese;(212-964-5256)
JivamukTea; 841 Broadway-between 13th and 14th Sts;New York;Gramercy/Flatiron;Cafés & diners;(212-353-0214)
JoJo; 160 E 64th St-between Lexington and Third Aves;New York;Upper East Side;French;(212-223-5656)
Joe; 405 W 23rd St-between Ninth and Tenth Aves;New York;Chelsea;Cafés & diners;(212-206-0669)
Joe Allen; 326 W 46th St-between Eighth and Ninth Aves;New York;Midtown West;American;(212-581-6464)
Joe at Alessi; 130 Greene St-between Houston and Prince Sts;New York;Soho;Cafés & diners;(212-941-7330)
Joe at Grand Central Terminal; The Graybar Passage-;New York;Midtown East;Cafés & diners;(212-661-8580)
JoeDoe; 45 E 1st St-between First and Second Aves;New York;East Village;American;(212-780-0262)
Joe’s; 141 Waverly Pl-between Gay St and Sixth Ave;New York;West Village;Cafés & diners;(212-924-6750)
Joe’s Pizza; 7 Carmine St-between Bleecker and Sixth Ave;New York;West Village;Italian: Pizza;(212-366-1182)
Joe’s Shanghai; 9 Pell St-between Bowery and Doyers St;New York;Chinatown/Little Italy;Chinese;(212-233-8888)
John Villa’s Dominic Restaurant (CLOSED); 349 Greenwich St-between Harrison and Jay Sts;New York;Tribeca;Italian;(212-343-0700)
Johnny Utah’s;Club Quarters Hotel -25 W 51st Stbetween Fifth and Sixth Aves;New York;Midtown West;American;(212-265-8824)
John’s Pizzeria; 408 E 64th St-between First and York Aves;New York;Upper East Side;Italian: Pizza;(212-935-2895)
John’s of 12th Street; 302 E 12th St-between First and Second Aves;New York;East Village;Italian;
Jonez; 41 Greenwich Ave-at Charles St;New York;West Village;American;(212-255-3606)
Joselito Restaurant; 94 Ave C-between 6th and 7th Sts;New York;East Village;Caribbean: Dominican;(212-673-9287)
Josephina; 1900 Broadway-between 63rd and 64th Sts;New York;Upper West Side;American;(212-799-1000)
Josie’s; 555 Third Ave-at 37th St;New York;Upper East Side;Vegetarian & Organic;(212-490-1558)
Joy; 148 E 46th St-between Lexington and Third Aves;New York;Midtown East;Indian;(212-490-1277)
Juan Valdez Café; 1451 Broadway-at W 41st St;New York;Midtown East;Cafés;(212-871-7515)
Jubilee; 347 E 54th St-between First and Second Aves;New York;Midtown East;French;(212-888-3569)
Juice Generation; 171 W 4th St-between Sixth Ave and Seventh Ave South;New York;West Village;Cafés & diners;(212-242-0440)
Julep; 14 Ave A-between 1st and 2nd Sts;New York;East Village;American Regional;(212-254-2442)
Jules; 65 St Marks Pl-between First and Second Aves;New York;East Village;French;(212-477-5560)
Junior’s Restaurant; 1515 Broadway-;New York;Midtown West;American;(212-302-2000)
Junior’s Restaurant/Bakery;Grand Central Terminal -Lower Concourse and near track 3642nd St;New York;at Park Ave;(212-692-9800);Midtown East
Juniper Suite; 44 W 56th St-between Fifth and Sixth Aves;New York;Midtown West;Eclectic;(212-586-4737)
Junno’s; 64 Downing St-between Bedford and Varick Sts;New York;West Village;Japanese;(212-627-7995)
Kabab King of New York; 16 E 23rd St-between Broadway and Madison Ave;New York;Gramercy/Flatiron;Indian;(212-475-7575)
Kafana; 116 Ave C-between 7th and 8th Sts;New York;East Village;Eastern European;(212-353-8000)
Kaffe 1668;275 Greenwich St -;New York;;;
Kai; 822 Madison Ave-between 68th and 69th Sts;New York;Upper East Side;Japanese;(212-988-7277)
Kambi Ramen House; 351 E 14th St-between First and Second Aves;New York;East Village;Japanese;(212-228-1366)
Kampuchea Noodle Bar; 78 Rivington St-at Allen St;New York;Lower East Side;Asian: Cambodian;(212-529-3901)
Kanoyama; 175 Second Ave-at 11th St;New York;East Village;Japanese;(212-777-5266)
Kasadela; 647 E 11th St-at Ave C;New York;East Village;Japanese;(212-777-1582)
Kashkaval; 856 Ninth Ave-between 55th & 56th Sts;New York;Midtown West;Mediterranean;(212-581-8282)
Kashmir; 601 Eighth Ave-at 39th St;New York;Midtown West;Indian;(212-594-3777)
Kate’s Joint; 58 Ave B-at 4th St;New York;East Village;Vegetarian & Organic;(212-777-7059)
Katz’s Delicatessen; 205 E Houston St-at Ludlow St;New York;Lower East Side;American;(212-254-2246)
Kaña Tapas Bar; 324 Spring St-between Greenwich and Washington Sts;New York;Soho;Spanish;(212-343-8180)
Kebab House II; 144 Orchard St-at Rivington St;New York;Lower East Side;Middle Eastern;(212-477-5200)
Keens Steakhouse; 72 W 36th St-between Fifth and Sixth Aves;New York;Midtown West;Steakhouses;(212-947-3636)
Kee’s Chocolates;452 Fifth Ave -;New York;;;
Kefi; 505 Columbus Ave-between 84th and 85th Sts;New York;Upper West Side;Greek;(212-873-0200)
Kefi (CLOSED); 222 W 79th St-between Amsterdam Ave and Broadway;New York;Upper West Side;Greek;(212-873-0200)
Kellari; 19 W 44th St-between Fifth and Sixth Aves;New York;Midtown West;Greek;(212-221-0144)
Kellari’s Parea; 36 E 20th St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;Greek;(212-777-8448)
Kemia Bar; 630 Ninth Ave-at 44th St;New York;Midtown West;Moroccan;(212-582-3200)
Kenka; 25 St. Marks Pl-between Second and Third Aves;New York;East Village;Japanese;(212-254-6363)
Keur Sokhna; 225 W 116th St-between Adam Clayton Powell Jr. Blvd (Seventh Ave) and Frederick Douglass Blvd (Eighth Ave);New York;Harlem;African: Senegalese;(212-864-0081)
Kew Garden Restaurant; 1–3 Elizabeth St-at Bayard St;New York;Chinatown/Little Italy;Chinese;(212-219-3686)
Khyber Pass; 34 St. Marks Pl-between Second and Third Aves;New York;East Village;Afghan;(212-473-0989)
Kin Khao (CLOSED); 171 Spring St-between Thompson St and West Broadway;New York;Soho;Thai;(212-966-3939)
Kingswood; 121 W 10th St-between Greenwich and Sixth Aves;New York;Greenwich Village;Australian & New Zealand;(212-645-0018)
Kion;509 E 6th St -;New York;;;
Kirara (CLOSED); 33 Carmine St-between Bedford and Bleecker Sts;New York;West Village;Japanese;(212-741-2123)
Kitaro; 1164 First Ave-between 63rd and 64th Sts;New York;Upper East Side;Japanese;(212-317-9892)
Kitchen 22 (CLOSED); 36 E 22nd St-between Broadway and Park Ave South;New York;Gramercy/Flatiron;American;(212-228-4399)
Kitchen 82 (CLOSED); 461 Columbus Ave-at 82nd St;New York;Upper West Side;American;(212-875-1619)
Kitchenette; 156 Chambers St-between Greenwich St and W Broadway;New York;Financial District;American;(212-267-6740)
Kitchenette Uptown; 1272 Amsterdam Ave-between 122nd and 123rd Sts;New York;Columbia University–City College;American;(212-531-7600)
Kittichai;60 Thompson Hotel -60 Thompson Stbetween Broome and Spring Sts;New York;Soho;Thai;(212-219-2000)
Kiva Café; 139 Reade St-between Greenwich and Hudson Sts;New York;Tribeca;Cafés;(212-587-1198)
Kión; 509 E 6th St-between Aves A and B;New York;East Village;Eclectic;(212-529-5200)
Klee Brasserie; 200 Ninth Ave-between 22nd and 23rd Sts;New York;Chelsea;Eclectic;(212-633-8033)
Klong; 7 St. Marks Pl-between Second and Third Aves;New York;East Village;Thai;(212-505-9955)
Knave;Le Parker Meridien New York -118 W 57th Stbetween Sixth and Seventh Aves;New York;Midtown West;Italian;(212-708-7392)
Knife + Fork; 108 E 4th St-between First and Second Aves;New York;East Village;Eclectic;(212-228-4885)
Ko Sushi; 1329 Second Ave-at 70th St;New York;Upper East Side;Japanese;(212-439-1678)
Kobe Club; 68 W 58th St-between Fifth and Sixth Ave;New York;Midtown West;Steakhouses;(212-644-5623)
Kobma Thai; 611 Hudson St-between Jane and W 12th Sts;New York;West Village;Japanese;(212-645-8622)
Koca Lounge; 76 Orchard St-between Broome and Grand Sts;New York;Lower East Side;Asian: Pan-Asian;(212-477-9977)
Kofoo; 334 Eighth Ave-between 26th and 27th Sts;New York;Meatpacking District;Korean;(212-675-5277)
Koi;Bryant Park Hotel -40 W 40th Stbetween Fifth and Sixth Aves;New York;Midtown West;Japanese;(212-642-2100)
Kong Kee Food Corp.; 240 Grand St-at Bowery;New York;Chinatown/Little Italy;Chinese;(212-966-1350)
Koo Sushi; 142 W Houston St-between MacDougal and Sullivan Sts;New York;West Village;Japanese;(212-228-6866)
Kool Bloo;188Ave A -;New York;;;
Korea Palace; 127 E 54th St-between Park and Lexington Aves;New York;Midtown East;Korean;(212-832-2350)
Kori; 253 Church St-between Franklin and Leonard Sts;New York;Tribeca;Korean;(212-334-0908)
Koronet Pizzeria; 2848 Broadway-between Cathedral Pkwy and 110th St;New York;Upper West Side;Italian: Pizza;(212-222-1566)
Koyzina Grill;Beer & Wine Bar -25 Cedar Stbetween Pearl and William Sts;New York;Financial District;American;(212-344-3468)
Kr.space untitled; 34 W 32nd St-between Fifth Ave and Broadway;New York;Midtown West;Korean;(212-736-0099)
Krunch Pizza Bar; 980 Second Ave-between 51st and 52nd Sts;New York;Midtown East;Italian;(212-207-4122)
Krystal’s Cafe; 171 First Ave-between 10th and 11th Sts;New York;East Village;Asian: Filipino;(212-614-8080)
Kum Gang San; 49 W 32nd St-at Broadway;New York;Midtown West;Korean;(212-967-0909)
Kuma Inn; 113 Ludlow St-between Delancey and Rivington Sts;New York;Lower East Side;Asian: Pan-Asian;(212-353-8866)
Kura Sushi; 67 First Ave-between 4th and 5th Sts;New York;East Village;Japanese;(212-979-6646)
Kuruma Zushi;7 E 47th St -between Fifth and Madison Avessecond floor;New York;Midtown East;Japanese;(212-317-2802)
Kurve; 87 Second Ave-at 5th St;New York;East Village;Asian: Pan-Asian;(212-260-8018)
Kushi-Q; 23 Third Ave-between 45th and 46th Sts;New York;Midtown East;Japanese;(212-682-5814)
KushiQ; 723 3rd Ave-between 45th & 46th Sts;New York;Midtown East;Japanese;(212-682-5814)
Kuta Satay House & Wine Bar; 65 Rivington St-between Allen and Eldridge Sts;New York;Lower East Side;Asian: Pan-Asian;(212-777-5882)
Kwik Meal; W 45th St-at Sixth Ave;New York;Midtown West;Middle Eastern;
Kyo Ya; 94 E 7th St-between First Ave and Ave A;New York;East Village;Japanese;(212-982-4140)
Kyotofu; 705 Ninth Ave-between 48th and 49th Sts;New York;Midtown West;Cafés & diners;(212-974-6012)
Kyotofu for BoConcept; 144 W 18th St-between Sixth and Seventh Aves;New York;Chelsea;Cafés & diners;(no phone yet)
L.E.S. Sandwicherie; 65 Rivington St-between Allen and Eldridge Sts;New York;Lower East Side;Cafés;(212-388-1815)
LQ;Radisson Lexington Hotel -511 Lexington Avebetween 47th and 48th Sts;New York;Midtown East;Latin American;(212-593-7575)
La Barra; 250 Broome St-between Ludlow and Orchard Sts;New York;Lower East Side;Mexican;(212-260-3900)
La Boite en Bois; 75 W 68th St-between Columbus Ave and Central Park West;New York;Upper West Side;French;(212-874-2705)
La Bonbonniere; 28 Eighth Ave-between 12th and Jane Sts;New York;West Village;French;(212-741-9266)
La Bonne Soupe; 48 W 55th St-between Fifth and Sixth Aves;New York;Midtown West;French;(212-586-7650)
La Bottega; 88 Ninth Ave-at 17th St;New York;Chelsea;Italian;(212-243-8400)
La Cabaña Salvadoreña; 4384 Broadway-between 187th and 188th Sts;New York;Washington Heights;Latin American: El Salvadoran;(212-928-7872)
La Carbonara;202 W 14th St -;New York;;;
La Caridad; 588 Amsterdam Ave-between 88th and 89th Sts;New York;Upper West Side;Caribbean: Cuban;(212-595-8121)
La Carne Grill; 340 Lexington Ave-between 39th and 40th Sts;New York;Midtown East;Kosher;(212-490-7172)
La Casa Del Mofongo; 1447-51 St. Nicholas Ave-between 182nd and 183rd Sts;New York;Washington Heights;Caribbean;(212-740-1200)
La Casalinga (CLOSED); 120 First Ave-between St. Marks Pl and 7th St;New York;East Village;Italian;(212-979-1246)
La Cave des Fondus; 20 Prince St-between Elizabeth and Mott Sts;New York;Soho;French;(212-966-5073)
La Colombe Torrefaction; 319 Church St-at Lispenard St;New York;Tribeca;Cafés & diners;(212-343-1515)
La Esquina; 106 Kenmare St-at Cleveland Pl;New York;Chinatown/Little Italy;Mexican;(646-613-7100)
La Fenice; 2014 Broadway-between 68th and 69th Sts;New York;Upper West Side;Italian;(212-579-1337)
La Focacceria; 128 First Ave-between St. Marks Pl and E 7th St;New York;East Village;Italian;(212-254-4946)
La Fonda Boricua; 169 E 106th St-between Lexington and Third Aves;New York;Upper East Side;Caribbean: Puerto Rican;(212-410-7292)
La Fonda del Sol; 200 Park Ave-at 44th St and Vanderbilt Ave;New York;Midtown East;Spanish;(212-867-6767)
La Gioconda; 226 E 53rd St-between Second and Third Aves;New York;Midtown East;Italian;(212-371-3536)
La Goulue; 746 Madison Ave-between 64th and 65th Sts;New York;Upper East Side;French;(212-988-8169)
La Grenouille; 3 E 52nd St-between Fifth and Madison Aves;New York;Midtown East;French;(212-752-1495)
La Grotta Azzura; 177 Mulberry St-at Broome St;New York;Chinatown/Little Italy;Italian;(212-925-8775)
La Hacienda; 219 E 116 St-between Second and Third Aves;New York;East Harlem;Mexican;(212-987-1617)
La Lanterna di Vittorio; 129 MacDougal St-between 3rd and 4th Sts;New York;Greenwich Village;Italian: Pizza;(212-529-5945)
La Lunchonette; 130 Tenth Ave-at 18th St;New York;Chelsea;French;(212-675-0342)
La Maison du Chocolat;30 Rockefeller Center -;New York;;;
La Mangeoire; 1008 Second Ave-between 53rd and 54th Sts;New York;Midtown East;French;(212-759-7086)
La Masseria; 235 W 48th St-between Broadway and Eighth Ave;New York;Midtown West;Italian;(212-582-2111)
La Nacional; 239 W 14th-between Seventh and Eighth Aves;New York;West Village;Spanish;(212-243-9308)
La Paella; 214 E 9th St-between Second and Third Aves;New York;East Village;Spanish;(212-598-4321)
La Palapa; 77 St. Marks Pl-between First and Second Aves;New York;East Village;Mexican;(212-777-2537)
La Palapa Rockola; 359 Sixth Ave-between Washington Pl and W 4th St;New York;West Village;Mexican;(212-243-6870)
La Petite Auberge; 116 Lexington Ave-between 27th and 28th Sts;New York;Gramercy/Flatiron;French;(212-689-5003)
La Rosita (CLOSED); 2809 Broadway-between 108th and 109th Sts;New York;Upper West Side;Caribbean;(212-663-7804)
La Rural Bistro Argentino; 768 Amsterdam Ave-between 97th and 98th Sts;New York;Upper West Side;Argentine;(212-749-2929)
La Sirene; 558 Broome St-between Sixth Ave and Varick St;New York;Soho;French;(212-925-3061)
La Taza de Oro; 96 Eighth Ave-between 14th and 15th Sts;New York;Chelsea;Caribbean: Puerto Rican;(212-243-9946)
La Vineria; 727 Ninth Ave-between 49th and 50th Sts;New York;Midtown West;Italian;(212-258-2900)
La Zarza; 166 First Ave-between 10th and 11th Sts;New York;East Village;Spanish;(212-477-1111)
Lady Mendl’s;The Inn at Irving Place -56 Irving Plbetween 17th and 18th Sts;New York;Gramercy/Flatiron;Cafés & diners;(212-533-4466)
Lan; 56 Third Ave-between 10th and 11th Sts;New York;East Village;Japanese;(212-254-1959)
Lan Café; 342 E 6th St-between First and Second Aves;New York;East Village;Vietnamese;(212-228-8325)
Land NorthEast Thai; 1565 Second Ave-between 81st and 82nd Sts;New York;Upper East Side;Thai;(212-439-1847)
Land Thai Kitchen; 450 Amsterdam Ave-at 82nd St;New York;Upper West Side;Thai;(212-501-8121)
Landmarc Tribeca; 179 West Broadway-between Leonard and Worth Sts;New York;Tribeca;Eclectic;(212-343-3883)
Landmarc at the Time Warner Center;10 Columbus Circle -at Broadwaythird floor;New York;Upper West Side;American Creative;(212-823-6123)
Landmark Tavern; 626 Eleventh Ave-at 46th St;New York;Midtown West;American;(212-247-2562)
Lansky’s; 235 Columbus Ave-between 70th and 71st Sts;New York;Upper West Side;American;(212-787-0400)
Las Chicas Locas;160 W 25th St -;New York;;;
Las Ramblas; 170 W 4th St-between Jones and Cornelia Sts;New York;West Village;Spanish;(646-415-7924)
Lassi; 28 Greenwich Ave-between Charles and 10th Sts;New York;West Village;Indian;(212-675-2688)
Latin Thing; 61-B Lexington Ave-between 25th and 26th Sts;New York;Gramercy/Flatiron;Latin American;(212-213-2522)
Lattanzi Restaurant; 361 W 46th St-between Eighth and Ninth Aves;New York;Midtown West;Italian;(212-315-0980)
Lavagna; 545 E 5th St-between Aves A and B;New York;East Village;Italian;(212-979-1005)
Lazzara’s Pizza Café; 221 W 38th St-between Seventh and Eighth Aves;New York;Midtown West;Italian: Pizza;(212-944-7792)
Le Baobab; 120 W 116th St-between Adam Clayton Powell Jr. Blvd (Seventh Ave) and Malcolm X Blvd (Lenox Ave);New York;Harlem;African: Senegalese;(212-864-4700)
Le Bateau Ivre; 230 E 51st St-between Second and Third Aves;New York;Midtown East;French;(212-583-0579)
Le Beaujolais; 364 W 46th St-between Eighth and Ninth Aves;New York;Midtown West;French;(212-974-7464)
Le Bernardin; 155 W 51st St-between Sixth and Seventh Aves;New York;Midtown West;French;(212-489-1515)
Le Bilboquet; 25 E 63rd St-between Madison and Park Aves;New York;Upper East Side;French;(212-751-3036)
Le Charlot; 19 E 69th St-between Madison and Park Aves;New York;Upper East Side;French;(212-794-1628)
Le Cirque; 151 E 58th St-between Lexington and Third Aves;New York;Midtown East;French;(212-644-0202)
Le Colonial; 149 E 57th St-between Lexington and Third Aves;New York;Midtown East;Vietnamese;(212-752-0808)
Le Gamin Café; 536 E 5th St-between Aves A and B;New York;East Village;Cafés;(212-254-8409)
Le Gigot; 18 Cornelia St-between Bleecker and W 4th Sts;New York;West Village;French;(212-627-3737)
Le Jardin Bistro; 25 Cleveland Pl-between Kenmare and Spring Sts;New York;Chinatown/Little Italy;French;(212-343-9599)
Le Karbr; 683 Ninth Ave-at 47th St;New York;Midtown East;Middle Eastern;(212-586-0015)
Le Lupanar; 103 Essex St-between Rivington and Delancey Sts;New York;Lower East Side;French;(212-260-2036)
Le Marais; 150 W 46th St-between Sixth and Seventh Aves;New York;Midtown West;Kosher;(212-869-0900)
Le Miu; 107 Ave A-between 6th and 7th Sts;New York;East Village;Japanese;(212-473-3100)
Le Miu (CLOSED);107 Ave A -;New York;;;
Le Monde; 2885 Broadway-between 112th and 113th Sts;New York;Upper West Side;French;(212-531-3939)
Le Pain Quotidien; 100 Grand St-at Mercer St;New York;Soho;Belgian;(212-625-9009)
Le Petit Belge; 22 E 14th St-between Fifth Ave and University Pl;New York;Greenwich Village;Belgian;(212-807-7027)
Le Petit Bistro; 258 W 15th St-between Seventh and Eight Aves;New York;Chelsea;French;(212-929-3270)
Le Petit Un Deux Trois; 403 W 43rd St-between Ninth and Tenth Aves;New York;Midtown West;French;(212-489-4900)
Le Père Pinard; 175 Ludlow St-between Houston and Stanton Sts;New York;Lower East Side;French;(212-777-4917)
Le Périgord; 405 E 52nd St-between First Ave and FDR Drive;New York;Midtown East;French;(212-755-6244)
Le Refuge; 166 E 82nd St-between Lexington and Third Aves;New York;Upper East Side;French;(212-861-4505)
Le Singe Vert; 160 Seventh Ave-between 19th and 20th Sts;New York;Chelsea;French;(212-366-4100)
Le Souk; 47 Ave B-between 3rd and 4th Sts;New York;East Village;Moroccan;(212-777-5454)
Le Streghe (CLOSED); 331 West Broadway-at Grand St;New York;Soho;Italian;(212-343-2080)
Le Tableau (CLOSED); 511 E 5th St-between Aves A and B;New York;East Village;French;(212-260-1333)
Le Veau d’Or; 129 E 60th St-between Park and Lexington Aves;New York;Upper East Side;French;(212-838-8133)
Le Zie 2000; 172 Seventh Ave-between 20th and 21st Sts;New York;Chelsea;Italian;(212-206-8686)
Lederhosen; 39 Grove St-between Bedford and Bleecker Sts;New York;West Village;German;(212-206-7691)
Leela Lounge; 1 W 3rd St-between Broadway and Mercer St;New York;Greenwich Village;Indian;(212-529-2059)
Lemongrass Grill; 138 34th St-between Lexington and Third Aves;New York;Midtown East;Thai;(212-213-3317)
Lemongrass Grill (CLOSED); 37 Barrow St-at Seventh Ave South;New York;West Village;Thai;(212-242-0606)
Lenny’s; 60 W 48th St-between Fifth and Sixth Aves;New York;Midtown West;American;(212-871-6677)
Leo’s Bagels; 3 Hanover Sq-at Stone St;New York;Financial District;Food or Beverage Shop;(212-785-4700)
Les Enfants Terribles; 37 Canal St-at Ludlow St;New York;Chinatown/Little Italy;African: Pan-African;(212-777-7518)
Les Halles; 411 Park Ave South-between 28th and 29th Sts;New York;Gramercy/Flatiron;French;(212-679-4111)
Levain’s; 167 W 74th St-between Columbus and Amsterdam Aves;New York;Upper West Side;Cafés;(212-874-6080)
Levana; 141 W 69th St-between Columbus Ave and Broadway;New York;Upper West Side;Kosher;(212-877-8457)
Lever House; 390 Park Ave-between 53rd and 54th Sts;New York;Midtown East;American;(212-888-2700)
Lexington Candy Shop; 1226 Lexington Ave-at 83rd St;New York;Upper East Side;Cafés & diners;(212-288-0057)
Li Hua Korean Cuisine; 171 Grand St-at Baxter St;New York;Chinatown/Little Italy;Korean;(212-343-0090)
Life Café; 343 E 10th St-at Ave B;New York;East Village;American;(212-477-8791)
Lili’s Noodle Shop & Grill; 200 W 57th St-between Sixth and Seventh Aves;New York;Midtown West;Chinese;(212-586-5333)
Lily's Restaurant; 501 Lexington Ave-between 47th and 48th sts;New York;Midtown East;Eclectic;(212-838-0844)
Lil’ Frankie’s Pizza; 19 First Ave-between 1st and 2nd Sts;New York;East Village;Italian: Pizza;(212-420-4900)
Lima’s Taste; 122 Christopher St-at Bedford St;New York;West Village;Peruvian;(212-242-0010)
Lima’s Taste (CLOSED); 432 E 13th St-between First Ave and Ave A;New York;East Village;Peruvian;(212-228-7900)
Lime; 29 Seventh Ave South-between Bedford and Morton Sts;New York;West Village;Thai;(212-727-2678)
Lime Jungle; 803 Ninth Ave-between 53rd and 54th Sts;New York;Midtown West;Mexican;(212-586-6032)
Lime Leaf; 2799 Broadway-at 108th St;New York;Upper West Side;Thai;(212-864-5000)
Liquiteria; 170 Second Ave-at 11th St;New York;East Village;Vegetarian & Organic;(212-358-0300)
Lisca; 660 Amsterdam Ave-at 92 St;New York;Upper West Side;Italian;(212-799-3987)
Little Giant; 85 Orchard St-at Broome St;New York;Lower East Side;Cafés & diners;(212-226-5047)
Little Havana; 30 Cornelia St-between Bleecker and W 4th Sts;New York;West Village;Caribbean: Cuban;(212-255-2212)
