restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone;source
Hasaki;210 E 9th St;East Village;New York;NY;Sushi / Japanese;$$;(212-473-3327);"VillageVoice; TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities"
Hatsuhana;17 E 48th St;East 40s;New York;NY;Japanese;;(212-355-3345);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
Havana Central;22 E 17th St;Union Square;New York;NY;Cuban / Caribbean: Cuban;$$;(212-414-4999);"VillageVoice; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Hea;145 E 13th St;East Village;New York;NY;Pan-Asian / Japanese;$$$;(212-982-1688);"VillageVoice; MenuPages; FoodBuzz; TimeOut; SavoryCities"
Heartland Brewery;127 W 43rd St;West 40s;New York;NY;American;;(646-366-0235);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; ActiveDiner; TimeOut"
Heartland Brewery;1285 6th Ave;West 50s;New York;NY;American;$$;(212-582-8244);"VillageVoice; TasteSpace; MenuPages; OpenTable; FoodBuzz; ActiveDiner; TimeOut"
Heartland Brewery;35 Union Square W;Union Square;New York;NY;American;;(212-645-3400);"VillageVoice; TasteSpace; MenuPages; OpenTable; ActiveDiner; TimeOut"
Heartland Brewery;93 South St;Financial District;New York;NY;American;;(646-572-2742);"VillageVoice; TasteSpace; MenuPages; OpenTable; TimeOut"
Hill Country;30 W 26th St;Chelsea;New York;NY;Barbecue;$$;(212-255-4544);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut"
Hill Country Barbecue;30 W 26th St;Chelsea;New York;NY;Barbecue;$$;(212-255-4544);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut"
Hiroko’s Place;75 Thompson St;Soho;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
Hong Kong Station;128 Hester St;Lower East Side;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag"
House of Seafood;2349 Frederick Douglass Blvd;Harlem;New York;NY;;;;"VillageVoice; ActiveDiner"
Hsin Wong;72 Bayard St;Chinatown;New York;NY;;;;VillageVoice
Hummus Place;99 MacDougal St;Greenwich Village;New York;NY;Middle Eastern;;(212-533-3089);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
Hummus Place;109 St Marks Pl;East Village;New York;NY;nan / Middle Eastern;;(212-529-9198);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
Hundred Acres;38 MacDougal St;Soho;New York;NY;American;;(212-475-7500);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; TimeOut; SavoryCities"
I Trulli;122 E 27th St;Murray Hill;New York;NY;Italian;$$$;(212-481-7372);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Il Brigante;214 Front St;Financial District;New York;NY;Italian;$$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz"
Il Corallo Trattoria;176 Prince St;Soho;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag; NYTimes"
Il Laboratorio del Gelato;95 Orchard St;Lower East Side;New York;NY;Cafés & diners;;(212-343-9922);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Il Mulino;86 W 23rd St;Greenwich Village;New York;NY;Italian;$$$$;(212-673-3783);"VillageVoice; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
In Vino;215 E 4th St;East Village;New York;NY;Italian;;(212-539-1011);"VillageVoice; MenuPages; NYMag; TimeOut; SavoryCities"
Inakaya;231 W 40th St;West 40s;New York;NY;;;;"VillageVoice; MenuPages; OpenTable; SavoryCities"
Inatteso Pizzabar Casano;28 West St;Financial District;New York;NY;Italian;;(212-267-8000);"VillageVoice; MenuPages; TimeOut"
Indian Bread Co.;194 Bleecker St;Greenwich Village;New York;NY;Indian;;(212-228-1909);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Indian Express;18 Murray Street;Financial District;New York;NY;Indian;;(212-608-5555);"VillageVoice; MenuPages; ActiveDiner; TimeOut"
Indus Valley;2636 Broadway;West 100s;New York;NY;Indian;$$;(212-222-9222);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities"
Ino Cafe & Wine Bar;21 Bedford St;West Village;New York;NY;;;;VillageVoice
Insieme;777 7th Ave;West 50s;New York;NY;Italian;$$$$;;"VillageVoice; MenuPages; OpenTable; NYMag; FoodBuzz; SavoryCities; NYTimes"
Irving Mill;116 E 16th St;East Village;New York;NY;American;;(212-254-1600);"VillageVoice; MenuPages; OpenTable; NYMag; TimeOut"
Isabella’s;359 Columbus Ave;West 70s;New York;NY;American / Mediterranean;$$;(212-724-2100);"VillageVoice; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities"
Ishikura Sushi;67 1st Avenue;East Village;New York;NY;;;;VillageVoice
Ithaka;308 East 86th St;East 80s;New York;NY;Greek;$$$;(212-628-9100);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Ivo & Lulu;558 Broome St;Soho;New York;NY;Caribbean / French;$;(212-226-4399);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut"
Izakaya Ten;207 10th Ave;Chelsea;New York;NY;Japanese;;(212-627-7777);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Jack's Luxury Oyster Bar;246 E 5th St;East Village;New York;NY;Continental / Seafood;$$$$;(212-253-7848);"VillageVoice; TasteSpace; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Jacques-Imo's;366 Columbus Ave;West 70s;New York;NY;Creole-Cajun;$$;;"VillageVoice; TasteSpace; OpenTable; NYMag; FoodBuzz; SavoryCities"
Jai-Ya;396 3rd Ave;Murray Hill;New York;NY;;;;VillageVoice
Jaipur's Indian Cuisine;1007 2nd Ave;East 50s;New York;NY;;;;VillageVoice
Jane;100 W Houston St;Soho;New York;NY;American;$$$;(212-254-7000);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Jarnac;328 W 12th St;West Village;New York;NY;French;$$$;(212-924-3413);"VillageVoice; MenuPages; OpenTable; NYMag; FoodBuzz; TimeOut; NYTimes"
Jezebel;630 9th Ave;West 40s;New York;NY;Southern;$$$;;"VillageVoice; FoodBuzz; ActiveDiner"
Jimmy's No. 43;43 E 7th St;East Village;New York;NY;American Creative;;(212-982-3006);"VillageVoice; TasteSpace; NYMag; TimeOut; SavoryCities"
Jin;252 Broome St;Lower East Side;New York;NY;;;;"VillageVoice; NYMag"
Jing Fong Restaurant;20 Elizabeth St;Chinatown;New York;NY;;;;"VillageVoice; ActiveDiner"
Joe Doe;45 E 1st St;Noho;New York;NY;American;;(212-780-0262);"VillageVoice; MenuPages; TimeOut; SavoryCities"
Joe's Pizza;7 Carmine St;West Village;New York;NY;Pizza / Italian: Pizza;$;(212-366-1182);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
JoeDoe;45 E 1st St;East Village;New York;NY;American;;(212-780-0262);"VillageVoice; MenuPages; TimeOut; SavoryCities"
John's Pizzeria;278 Bleecker St;West Village;New York;NY;Italian: Pizza;;(212-243-1680);"VillageVoice; ActiveDiner; TimeOut; SavoryCities; NYTimes"
John's Pizzeria;260 W 44th St;West 40s;New York;NY;Italian: Pizza;;(212-391-7560);"VillageVoice; TasteSpace; MenuPages; DiningGuide; TimeOut; SavoryCities; NYTimes"
Joy Curry & Tandoor;148 E 46th St;East 40s;New York;NY;;;;"VillageVoice; ActiveDiner"
Jumbo Hamburgers;274 W 145th St;Harlem;New York;NY;;;;VillageVoice
Jumbo Hot Dogs;149 Canal St;Chinatown;New York;NY;;;;VillageVoice
Junior's Times Square;1515 Broadway;West 40s;New York;NY;;;;VillageVoice
Justin's;31 W 21st St;Flatiron;New York;NY;;;;VillageVoice
Kabab Factory;101 Lexington Ave;Murray Hill;New York;NY;Indian;$$;;"VillageVoice; TasteSpace; MenuPages; FoodBuzz"
Kafana;116 Loisaida Ave;East Village;New York;NY;Eastern European;;(212-353-8000);"VillageVoice; MenuPages; TimeOut; SavoryCities"
Kai;822 Madison Ave 2nd Fl;East 60s;New York;NY;;;;"VillageVoice; NYMag; SavoryCities; NYTimes"
Kaijou;21 South End Ave;Financial District;New York;NY;Japanese;$$;;"VillageVoice; TasteSpace; MenuPages; FoodBuzz"
Kaloum Restaurant;120 W 116th St;Harlem;New York;NY;;;;VillageVoice
Kam Chueh;40 Bowery;Chinatown;New York;NY;;;;"VillageVoice; TasteSpace; NYMag"
Kambi Ramen House;351 E 14th St;East Village;New York;NY;Japanese;;(212-228-1366);"VillageVoice; TimeOut; SavoryCities"
Kampuchea Noodle Bar;78 Rivington St;Lower East Side;New York;NY;Asian: Cambodian;;(212-529-3901);"VillageVoice; TasteSpace; TimeOut"
Kang Suh;1250 Broadway;Chelsea;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag"
Kanoyama;175 2nd Ave;East Village;New York;NY;Sushi / Japanese;$$;(212-777-5266);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities"
Karavas Place;162 West 4th Street;West Village;New York;NY;;;;"VillageVoice; MenuPages; NYMag; ActiveDiner; NYTimes"
Karen's on Astor;1 Astor Pl;East Village;New York;NY;;;;VillageVoice
Kasadela;647 E 11th St;East Village;New York;NY;Japanese;;(212-777-1582);"VillageVoice; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
Kate's Joint;58 Avenue B;East Village;New York;NY;Vegetarian & Organic;;(212-777-7059);"VillageVoice; TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; SavoryCities"
Kati Roll Company;99 MacDougal St;Greenwich Village;New York;NY;;;;"VillageVoice; TasteSpace; NYMag"
Katsuhama;11 E 47th St;East 40s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; ActiveDiner; SavoryCities; NYTimes"
Katz's Deli;205 E Houston St;Lower East Side;New York;NY;Deli;$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; SavoryCities; NYTimes"
Katz's Delicatessen;205 E Houston St;Lower East Side;New York;NY;Deli / American;$;(212-254-2246);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Kebab Garden;128 1st Avenue;East Village;New York;NY;;;;"VillageVoice; MenuPages; NYMag"
Kebab House #2;144 Orchard St;Lower East Side;New York;NY;Middle Eastern;;(212-477-5200);"VillageVoice; TimeOut"
Keens Steakhouse;72 W 36th St;Garment District;New York;NY;Steakhouse;$$$;(212-947-3636);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Kefi;505 Columbus Ave;West 70s;New York;NY;Greek;;(212-873-0200);"VillageVoice; MenuPages; OpenTable; NYMag; TimeOut; SavoryCities; NYTimes"
Kellari Taverna;19 W 44th St;East 40s;New York;NY;Greek;$$;;"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; ActiveDiner; SavoryCities"
Kelley & Ping;340 3rd Ave;Flatiron;New York;NY;;;;"VillageVoice; NYMag; SavoryCities; NYTimes"
Kelley & Ping;127 Greene St;Soho;New York;NY;Asian;$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; SavoryCities; NYTimes"
Kenka;25 St Marks Pl;East Village;New York;NY;Japanese;;(212-254-6363);"VillageVoice; TasteSpace; NYMag; TimeOut"
Keur Mame Diarra;2401 Frederick Douglass Blvd;Harlem;New York;NY;;;;VillageVoice
Khushie;139 Essex St;Lower East Side;New York;NY;;;;VillageVoice
Khyber Pass;34 St Marks Pl;East Village;New York;NY;Afghan;;(212-473-0989);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
Kin Khao;171 Spring St;Soho;New York;NY;Asian;$$;;"VillageVoice; TasteSpace; FoodBuzz; NYTimes"
King's Carriage House;251 E 82nd St;East 80s;New York;NY;Continental;$$$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; SavoryCities; NYTimes"
Kingswood;121 W 10th St;Greenwich Village;New York;NY;Australian & New Zealand;;(212-645-0018);"VillageVoice; TasteSpace; OpenTable; NYMag; TimeOut; SavoryCities"
Kion;509 E 6th St;East Village;New York;NY;;;;"VillageVoice; MenuPages; OpenTable; DiningGuide"
Kitchen Club;Little Cupcake Bakeshop (Meeting Place);Nolita;New York;NY;;;;"VillageVoice; NYMag; NYTimes"
Kitchenette;1272 Amsterdam Ave;Morningside Heights;New York;NY;American;;(212-531-7600);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
Kitchenette;156 Chambers St;Tribeca;New York;NY;American;;(212-267-6740);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
Kittichai;60 Thompson St;Soho;New York;NY;Thai;$$$$;(212-219-2000);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Klee Brasserie;200 9th Ave;Chelsea;New York;NY;American / Eclectic;$$$;(212-633-8033);"VillageVoice; TasteSpace; NYMag; FoodBuzz; TimeOut; SavoryCities"
Klong;7 St Marks Pl;East Village;New York;NY;Asian / Thai;$;(212-505-9955);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities"
Knickerbocker Bar & Grill;33 University Pl;Greenwich Village;New York;NY;American;$$$;;"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; NYTimes"
Knife & Fork;108 E 4th St;East Village;New York;NY;Eclectic;;(212-228-4885);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Ko Sushi;1329 2nd Ave;East 70s;New York;NY;Japanese;;(212-439-1678);"VillageVoice; MenuPages; NYMag; TimeOut; SavoryCities"
Ko Sushi;1619 York Ave;East 80s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; ActiveDiner; SavoryCities"
Kobe Club;68 W 58th St;West 50s;New York;NY;Steakhouses;;(212-644-5623);"VillageVoice; TasteSpace; DiningGuide; NYMag; TimeOut; SavoryCities"
Kodama;301 W 45th St;West 40s;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages"
Koi;40 W 40th St;West 40s;New York;NY;Asian;$$$$;;"VillageVoice; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; SavoryCities; NYTimes"
Kom Tang Soot Bull House;32 W 32nd St;Chelsea;New York;NY;;;;VillageVoice
Kool Bloo;117 6th Ave;Soho;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag"
Korean Temple Cuisine;81 St Marks Pl;East Village;New York;NY;;;;"VillageVoice; NYMag"
Koronet Pizza;2848 Broadway;West 100s;New York;NY;Italian: Pizza;;(212-222-1566);"VillageVoice; TasteSpace; TimeOut"
Koronet Pizzeria;2848 Broadway;West 100s;New York;NY;Italian: Pizza;;(212-222-1566);"VillageVoice; TasteSpace; TimeOut"
Kosher Delight;1365 Broadway;Garment District;New York;NY;;;;"VillageVoice; TasteSpace; ActiveDiner; NYTimes"
Krik Krak;844 Amsterdam Ave;West 100s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; NYTimes"
Kum Gang San;49 W 32nd St;Chelsea;New York;NY;Korean;$$;(212-967-0909);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Kum Ryong;30 W 32nd St;Chelsea;New York;NY;;;;VillageVoice
Kuma Inn;113 Ludlow St 2nd floor;Lower East Side;New York;NY;Southeast Asian / Asian: Pan-Asian;$$;(212-353-8866);"VillageVoice; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Kun Jip;9 W 32nd St;Chelsea;New York;NY;;;;VillageVoice
Kunjip;9 W 32nd St;Chelsea;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag"
Kuruma Zushi;7 E 47th St;East 40s;New York;NY;;;;"VillageVoice; MenuPages; NYMag; SavoryCities; NYTimes"
Kuta;65 Rivington St;Lower East Side;New York;NY;;;;"VillageVoice; MenuPages"
Kyoto Sushi;1240 Lexington Ave;East 80s;New York;NY;;;;"VillageVoice; MenuPages"
Kyotofu;705 9th Ave;West 40s;New York;NY;Cafés & diners;;(212-974-6012);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
L&L Hawaiian Barbecue;64 Fulton St;Financial District;New York;NY;;;;"VillageVoice; MenuPages"
L'Absinthe;227 E 67th St;East 60s;New York;NY;French;;(212-794-4950);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; TimeOut; SavoryCities; NYTimes"
L'Atelier de Joel Robuchon;57 E 57th St;East 50s;New York;NY;French;$$$$$;;"VillageVoice; MenuPages; NYMag; FoodBuzz; SavoryCities; NYTimes"
L'Ecole;462 Broadway;Soho;New York;NY;French;$$$;(212-219-3300);"VillageVoice; TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities; NYTimes"
L'Express;249 Park Ave S;Gramercy Park;New York;NY;French;;(212-254-5858);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
L'Impero;45 Tudor City Pl;East 40s;New York;NY;;;;"VillageVoice; NYTimes"
L'allegria Italian Restaurant;623 9th Ave;West 40s;New York;NY;;;;VillageVoice
L.E.S. Sushi;515 Grand St;Lower East Side;New York;NY;;;;"VillageVoice; MenuPages"
La Belle Vie;184 8th Ave;Chelsea;New York;NY;French;$$;;"VillageVoice; TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; NYTimes"
La Bergamote;169 9th Ave;Chelsea;New York;NY;French;$;;"VillageVoice; TasteSpace; FoodBuzz"
La Bergamote;515 W 52nd St;West 50s;New York;NY;;;;VillageVoice
La Boite en Bois;75 W 68th St;West 60s;New York;NY;French;$$$;(212-874-2705);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
La Bonne Soupe;48 W 55th St;West 50s;New York;NY;French;;(212-586-7650);"VillageVoice; TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; SavoryCities; NYTimes"
La Bottega;363 W 16th St;Chelsea;New York;NY;Italian;;(212-243-8400);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; TimeOut; SavoryCities; NYTimes"
La Cabana Salvadoreña;4384 Broadway;Washington Heights;New York;NY;Latin American: El Salvadoran;;(212-928-7872);"VillageVoice; MenuPages; TimeOut"
La Cantina Toscana;1109 1st Avenue;East 60s;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; SavoryCities; NYTimes"
La Caridad 78;2199 Broadway;West 70s;New York;NY;;;;"VillageVoice; NYMag; NYTimes"
La Casa Del Mofongo;1447 St Nicholas Ave;Washington Heights;New York;NY;Caribbean;;(212-740-1200);"VillageVoice; MenuPages; NYMag; TimeOut"
La Casa de Los Tacos;2277 1st Avenue;East Harlem;New York;NY;;;;"VillageVoice; MenuPages"
La Esquina;106 Kenmare St;Little Italy;New York;NY;Mexican;;(646-613-7100);"VillageVoice; NYMag; TimeOut; NYTimes"
La Fenice Caffe;2014 Broadway;West 60s;New York;NY;Italian;;(212-579-1337);"VillageVoice; TimeOut; NYTimes"
La Giara;501 3rd Ave;Murray Hill;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; ActiveDiner; NYTimes"
La Gioconda;226 E 53rd St;East 50s;New York;NY;Italian;;(212-371-3536);"VillageVoice; MenuPages; NYMag; ActiveDiner; TimeOut; SavoryCities; NYTimes"
La Goulue;746 Madison Ave;East 60s;New York;NY;French;$$$;(212-988-8169);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
La Grolla;413 Amsterdam Ave;West 70s;New York;NY;;;;"VillageVoice; TasteSpace; OpenTable; NYMag; FoodBuzz; SavoryCities; NYTimes"
La Lunchonette;130 10th Ave;Chelsea;New York;NY;French;$$;(212-675-0342);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
La Masseria;235 W 48th St;West 40s;New York;NY;Italian;;(212-582-2111);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; TimeOut; SavoryCities; NYTimes"
La Mediterranee;947 2nd Ave;East 50s;New York;NY;;;;"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; SavoryCities; NYTimes"
La Palapa Cocina Mexicana;359 6th Ave;West Village;New York;NY;;;;VillageVoice
La Palapa Rockola;359 6th Ave;West Village;New York;NY;Mexican;;(212-243-6870);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
La Palette;94 Greenwich Ave;West Village;New York;NY;;;;"VillageVoice; MenuPages"
La Paloma;359 W 45th St;West 40s;New York;NY;;;;"VillageVoice; MenuPages; SavoryCities; NYTimes"
La Pizza Fresca;31 E 20th St;Flatiron;New York;NY;Italian;$$;;"VillageVoice; MenuPages; NYMag; FoodBuzz; NYTimes"
La Ripaille;605 Hudson St;West Village;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag; ActiveDiner; NYTimes"
La Taza de Oro;1459 Frederick Douglass Blvd;Chelsea;New York;NY;Caribbean;$;(212-243-9946);"VillageVoice; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Landmarc;179 W Broadway;Tribeca;New York;NY;French / Eclectic;$$$;(212-343-3883);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
Lansky’s Old World Deli;235 Columbus Ave;West 70s;New York;NY;;;;"VillageVoice; MenuPages"
Las Ramblas;170 West 4th Street;Greenwich Village;New York;NY;Spanish;;(646-415-7924);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
Lasani;15 W 29th St;Chelsea;New York;NY;;;;VillageVoice
Lassi;28 Greenwich Ave;West Village;New York;NY;Indian;;(212-675-2688);"VillageVoice; TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Le Jardin;25 Cleveland Pl;Soho;New York;NY;French;$$$;(212-343-9599);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Le Madeleine;403 W 43rd St;West 40s;New York;NY;French;$$$;;"VillageVoice; TasteSpace; FoodBuzz"
Le Marais;150 W 46th St;West 40s;New York;NY;Kosher;;(212-869-0900);"VillageVoice; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
Le Miu;107 Avenue A;East Village;New York;NY;Sushi / Japanese;$$$;(212-473-3100);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities"
Le Monde;2885 Broadway;West 100s;New York;NY;French;$$;(212-531-3939);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Le Pain Quotidien;1131 Madison Ave;East 80s;New York;NY;Belgian;;(212-327-4900);"VillageVoice; TasteSpace; MenuPages; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Le Pain Quotidien;38 E 19th St;Flatiron;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; SavoryCities; NYTimes"
Le Pain Quotidien;1336 1st Avenue;East 70s;New York;NY;;;;"VillageVoice; SavoryCities; NYTimes"
Le Pain Quotidien;100 Grand St;Little Italy;New York;NY;Belgian;;(212-625-9009);"VillageVoice; TasteSpace; MenuPages; TimeOut; SavoryCities; NYTimes"
Le Perigord;405 E 52nd St;East 50s;New York;NY;French;$$$;(212-755-6244);"VillageVoice; MenuPages; OpenTable; DiningGuide; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Le Petit Bistro;258 W 15th St;Chelsea;New York;NY;French;;(212-929-3270);"VillageVoice; TimeOut"
Le Soleil;877 10th Ave;West 50s;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages"
Lechonera Sandy;2261 2nd Ave;East Harlem;New York;NY;;;;"VillageVoice; TasteSpace"
Lederhosen;39 Grove St;West Village;New York;NY;German;;(212-206-7691);"VillageVoice; MenuPages; TimeOut; NYTimes"
Lenny's;307 Columbus Ave;West 70s;New York;NY;;;;"VillageVoice; TasteSpace"
Leon Bakery;695 9th Ave;West 40s;New York;NY;;;;VillageVoice
Les Ambassades;161 W 22nd St;Chelsea;New York;NY;;;;VillageVoice
Les Enfants Terribles;37 Canal St;Lower East Side;New York;NY;African;$$;(212-777-7518);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities"
Les Halles;411 Park Ave S;Murray Hill;New York;NY;French;$$$;(212-679-4111);"VillageVoice; TasteSpace; MenuPages; OpenTable; FoodBuzz; TimeOut; NYTimes"
Les Halles;15 John St;Financial District;New York;NY;French;$$$;(212-285-8585);"VillageVoice; MenuPages; OpenTable; FoodBuzz; TimeOut; NYTimes"
Li Hua;171 Grand St;Soho;New York;NY;;;;"VillageVoice; TasteSpace; MenuPages; NYMag; NYTimes"
Lil' Frankie's;19 1st Avenue;East Village;New York;NY;;;;"VillageVoice; MenuPages; NYMag; SavoryCities; NYTimes"
Lil' Frankie's Pizza;1921 1st Avenue;East Village;New York;NY;Italian: Pizza;;(212-420-4900);"VillageVoice; TasteSpace; NYMag; TimeOut; SavoryCities; NYTimes"
Lili's Noodle Shop & Grill;1500 3rd Ave;East 80s;New York;NY;Chinese;;(212-639-1313);"VillageVoice; TasteSpace; NYMag; TimeOut; SavoryCities"
Lili's Noodle Shop & Grill;200 W 57th St;West 50s;New York;NY;Chinese;;(212-586-5333);"VillageVoice; TasteSpace; NYMag; TimeOut; SavoryCities"
Lima's Taste;122 Christopher St;West Village;New York;NY;South American / Peruvian;$;(212-242-0010);"VillageVoice; TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Lisca;600 Amsterdam Ave;West 90s;New York;NY;;;;"VillageVoice; SavoryCities; NYTimes"
Little Giant;85 Orchard St;Lower East Side;New York;NY;American / Cafés & diners;$$$$;(212-226-5047);"VillageVoice; TasteSpace; MenuPages; OpenTable; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Little Owl;Apartment Building from the TV Show Friends;West Village;New York;NY;American;$$$;;"VillageVoice; FoodBuzz"
Lola is Soul;15 Watts St;Soho;New York;NY;;;;VillageVoice
Lombardi's;32 Spring St;Soho;New York;NY;Pizza / Italian: Pizza;$;(212-941-7994);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Loreley Restaurant & Biergaerten;7 Rivington St;Lower East Side;New York;NY;;;;"VillageVoice; NYMag"
Los Dados;73 Gansevoort St;Meatpacking District;New York;NY;Mexican;;(646-810-7290);"VillageVoice; TasteSpace; MenuPages; OpenTable; DiningGuide; NYMag; TimeOut"
Los Dos Molinos;119 E 18th St;Flatiron;New York;NY;Southwestern / American Regional;$$;(212-505-1574);"VillageVoice; TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
Lovely Day;196 Elizabeth St;Nolita;New York;NY;Asian: Pan-Asian;;(212-925-3310);"VillageVoice; MenuPages; NYMag; TimeOut"
Lovies Place;2190 Frederick Douglass Blvd;Harlem;New York;NY;;;;VillageVoice
