restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone;source
Ecco La;1660 3rd Ave;Financial District;New York, NY, 10128;NY;Italian;;(212-227-7074);"TasteSpace; MenuPages; VillageVoice; TimeOut; NYTimes"
Ecco, the Italian Saloon;124 Chambers St;;New York, NY, 10007;NY;;;;TasteSpace
Ed's Lobster Bar;222 Lafayette St;Soho;New York, NY, 10012;NY;;;;"TasteSpace; MenuPages; NYMag; VillageVoice; SavoryCities"
Eden Wok;127 W 72nd St;Midtown East;New York, NY, 10023;NY;Kosher;;(212-725-8100);"TasteSpace; TimeOut"
Edgar's Cafe;255 W 84th St;Upper West Side;New York, NY, 10024;NY;;;;"TasteSpace; MenuPages; NYMag; ActiveDiner; NYTimes"
Edison Cafe;228 W 47th St;;New York, NY, 10036;NY;;;;TasteSpace
Edo Japanese Restaurant;9 E 17th St;Flatiron/U. Sq.;New York, NY, 10003;NY;;;;"TasteSpace; ActiveDiner; NYTimes"
Edward's;136 W Broadway;Tribeca;New York, NY, 10013;NY;American;;(212-233-6436);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; NYTimes"
Eight Mile Creek;240 Mulberry St;Nolita;New York, NY, 10012;NY;Australian;$$;(212-431-4635);"TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
Eileen's Special Cheesecake;17 Cleveland Pl;TriBeCa/SoHo;New York, NY, 10012;NY;;;;"TasteSpace; NYTimes"
Eisenberg's Sandwich Shop;174 5th Ave;Flatiron;New York, NY, 10010;NY;Cafés & diners;;(212-675-5096);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; NYTimes"
Ej's Luncheonette;447 Amsterdam Ave;;New York, NY, 10024;NY;;;;"TasteSpace; MenuPages; ActiveDiner"
Ej's Luncheonette;1271 3rd Ave;;New York, NY, 10021;NY;;;;"TasteSpace; MenuPages; ActiveDiner"
Ej's Luncheonette;432 6th Ave;;New York, NY, 10011;NY;;;;TasteSpace
El Azteca;783 9th Ave;;New York, NY, 10019;NY;;;;"TasteSpace; DiningGuide"
El Bocadito;79 Orchard St;;New York, NY, 10002;NY;;;;TasteSpace
El Cantinero;86 University Pl;Hell's Kitchen;New York, NY, 10003;NY;Mexican;;(646-763-6585);"TasteSpace; MenuPages; NYMag; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
El Castillo De Jagua;113 Rivington St;Lower East Side;New York, NY, 10002;NY;Caribbean: Dominican;;(212-982-6412);"TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
El Castillo De Jagua Restaurant;113 Rivington St;Lower East Side;New York, NY, 10002;NY;Caribbean: Dominican;;(212-982-6412);"TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
El Centro;824 9th Ave;Hell's Kitchen;New York, NY, 10019;NY;Mexican;;(646-763-6585);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
El Charro Espanol;4 Charles St;West Village;New York, NY, 10014;NY;Spanish;$$$;;"TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; VillageVoice; NYTimes"
El Charro Restaurant;4 Charles St;Greenwich Village;New York, NY, 10014;NY;Spanish;$$$;;"TasteSpace; FoodBuzz; VillageVoice"
El Cid;322 W 15th St;Chelsea;New York, NY, 10011;NY;;;;"TasteSpace; NYMag; NYTimes"
El Cocotero;228 W 18th St;Chelsea;New York, NY, 10011;NY;Latin American: Venezuelan;;(212-206-8930);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities"
El Deportivo;701 9th Ave;Midtown West;New York, NY,;NY;;;;"TasteSpace; MenuPages; ActiveDiner; NYTimes"
El Deportivo Restaurant;701 9th Ave;Midtown West;New York, NY, 10019;NY;;;;"TasteSpace; MenuPages; ActiveDiner; NYTimes"
El Despertar;1875 Lexington Ave;East Harlem;New York, NY, 10035;NY;;;;"TasteSpace; ActiveDiner; VillageVoice"
El Faro;823 Greenwich St;West Village;New York, NY, 10014;NY;Spanish;$$;(212-929-8210);"TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; NYTimes"
El Maguey Y La Tuna;321 E Houston St;Lower East Side;New York, NY, 10002;NY;Mexican;;(212-473-3744);"TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
El Malecon;764 Amsterdam Ave;Harlem;New York, NY, 10025;NY;Caribbean / nan;$;;"TasteSpace; FoodBuzz; VillageVoice; TimeOut"
El Nuevo Castillo;125 Avenue D;;New York, NY,;NY;;;;"TasteSpace; MenuPages"
El Papasito;370 W 52nd St;;New York, NY, 10019;NY;;;;TasteSpace
El Paso Taqueria;1642 Lexington Ave;Spanish Harlem;New York, NY, 10029;NY;Mexican;;(212-996-1739);"TasteSpace; NYMag; ActiveDiner; TimeOut; SavoryCities; NYTimes"
El Paso Taqueria;64 E 97th St;Spanish Harlem;New York, NY, 10029;NY;Mexican;;(212-996-1739);"TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities; NYTimes"
El Pote;718 2nd Ave;Murray Hill;New York, NY, 10016;NY;Spanish;$$;;"TasteSpace; FoodBuzz"
El Quijote;226 W 23rd St;Chelsea;New York, NY, 10011;NY;Spanish;$$;(212-929-1855);"TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities"
El Quinto Pino;401 W 24th St;Chelsea;New York, NY, 10011;NY;Spanish;;(212-206-6900);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities"
El Rey De La Caridad Restaurant;973 Amsterdam Ave;;New York, NY, 10025;NY;;;;"TasteSpace; ActiveDiner"
El Rey Del Sol;232 W 14th St;West Village;New York, NY, 10011;NY;Mexican;;(212-229-0733);"TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; SavoryCities"
El Rinconcito;408 E 10th St;East Village;New York, NY, 10009;NY;;;;"TasteSpace; MenuPages; NYMag; ActiveDiner"
El Sombrero;108 Stanton St;Lower East Side;New York, NY, 10002;NY;;;;"TasteSpace; MenuPages; NYMag; NYTimes"
Elaine's;1703 2nd Ave;Upper East Side;New York, NY, 10128;NY;Italian;;(212-534-8103);"TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Eleni's Cookies;75 9th Ave;;New York, NY, 11101;NY;;;;TasteSpace
Elephant & Castle;68 Greenwich Ave;West Village;New York, NY, 10011;NY;American;;(212-243-1400);"TasteSpace; MenuPages; NYMag; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
Eli's Manhattan;1411 3rd Ave;;New York, NY, 10028;NY;;;;TasteSpace
Elio's;1621 2nd Ave;Upper East Side;New York, NY, 10028;NY;Italian;;(212-772-2242);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Elmo;156 7th Ave;Chelsea;New York, NY, 10011;NY;American;$$;(212-337-8000);"TasteSpace; MenuPages; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Elvie's Turo-Turo;214 1st Avenue;East Village;New York, NY, 10009;NY;Asian: Filipino;;(212-473-7785);"TasteSpace; MenuPages; NYMag; ActiveDiner; VillageVoice; TimeOut; NYTimes"
Elyssa Dido;85 Orchard St;Lower East Side;New York, NY, 10002;NY;Middle Eastern / nan;;(212-991-9880);"TasteSpace; TimeOut; SavoryCities"
Emack & Bolio's;73 W Houston St;Upper West Side;New York, NY, 10012;NY;American;$;;"TasteSpace; MenuPages; FoodBuzz; NYTimes"
Embassy Wines & Spirits;796 Lexington Ave;;New York, NY, 10021;NY;;;;TasteSpace
Emerald Inn;205 Columbus Ave;;New York, NY, 10023;NY;;;;TasteSpace
Emilio's Ballato;55 E Houston St;Chinatown/Little Italy;New York, NY, 10003;NY;Italian;;(212-274-8881);"TasteSpace; TimeOut"
Emma's Dilemma;270 Park Ave S;;New York, NY, 10010;NY;;;;"TasteSpace; MenuPages; ActiveDiner"
Empanada Mama;763 9th Ave;Hell's Kitchen;New York, NY, 10019;NY;Latin American;;(212-698-9008);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; NYTimes"
Empire Diner;210 10th Ave;Chelsea;New York, NY, 10011;NY;Cafés & diners;;(212-243-2736);"TasteSpace; MenuPages; NYMag; ActiveDiner; VillageVoice; TimeOut; NYTimes"
Empire Gourmet Deli;245 9th Ave;;New York, NY, 10001;NY;;;;"TasteSpace; MenuPages"
Empire Szechuan;193 Columbus Ave;West Village;New York, NY, 10023;NY;Chinese;;(212-496-8778);"TasteSpace; MenuPages; NYMag; TimeOut; NYTimes"
Empire Szechuan;15 Greenwich Ave;West Village;New York, NY, 10014;NY;Chinese;;(212-496-8778);"TasteSpace; NYMag; TimeOut; NYTimes"
Empire Szechuan;173 7th Ave S;West Village;New York, NY, 10014;NY;Chinese;;(212-496-8778);"TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; NYTimes"
Empire Szechuan;2642 Broadway;West Village;New York, NY, 10025;NY;Chinese;;(212-496-8778);"TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; NYTimes"
Empire Szechuan;251 W 72nd St;West Village;New York, NY, 10023;NY;Chinese;;(212-496-8778);"TasteSpace; NYMag; ActiveDiner; TimeOut; NYTimes"
Empire Szechuan;2574 Broadway;West Village;New York, NY, 10025;NY;Chinese;;(212-496-8778);"TasteSpace; NYMag; TimeOut; NYTimes"
Empire Szechuan 4 (CLOSED);381 3rd Ave;Upper West Side;New York, NY, 10016;NY;Chinese;;(212-496-8778);"TasteSpace; TimeOut"
En Japanese Brasserie;435 Hudson St;;New York, NY, 10014;NY;;;;"TasteSpace; MenuPages; DiningGuide"
Energy Kitchen;1089 2nd Ave;Midtown West;New York, NY, 10022;NY;American;;(212-333-3500);"TasteSpace; MenuPages; TimeOut"
English Is Italian;622 3rd Ave;Midtown East;New York, NY, 10017;NY;Italian;;(212-404-1700);"TasteSpace; DiningGuide; TimeOut"
Ennio & Michael;539 LaGuardia Pl;West Village;New York, NY, 10012;NY;Italian;;(212-677-8577);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Enoteca Barbone;186 Avenue B;;New York, NY, 10009;NY;;;;"TasteSpace; MenuPages"
Enoteca I Trulli;27th and lex;Murray Hill;New York, NY, 10016;NY;Italian;;(212-481-7372);"TasteSpace; VillageVoice; TimeOut; NYTimes"
Epicerie;170 Orchard St;East Village;New York, NY, 10002;NY;French;$$;(212-420-7520);"TasteSpace; FoodBuzz; TimeOut"
Epices Du Traiteur;103 W 70th St;Upper West Side;New York, NY, 10023;NY;Mediterranean;;(212-579-5904);"TasteSpace; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Erminia;250 E 83rd St;Upper East Side;New York, NY, 10028;NY;Italian;$$$;(212-879-4284);"TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities"
Esashi;32 Avenue A;East Village;New York, NY, 10009;NY;Japanese;;(212-505-8726);"TasteSpace; VillageVoice; TimeOut; SavoryCities; NYTimes"
Esperanto;145 Loisaida Ave;West Village;New York, NY, 10009;NY;Nuevo Latino / Latin American;$$;(212-505-6559);"TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Espinal's Caribbean Deli;411 E 70th St;;New York, NY, 10021;NY;;;;"TasteSpace; MenuPages; ActiveDiner"
Ess-A-Bagel;359 1st Avenue;Gramercy Park;New York, NY, 10010;NY;;;;"TasteSpace; MenuPages; ActiveDiner; VillageVoice; NYTimes"
Ess-A-Bagel;831 3rd Ave;Gramercy Park;New York, NY, 10022;NY;;;;"TasteSpace; MenuPages; VillageVoice; NYTimes"
Essex Street Bar Lounge;49 Essex St;;New York, NY, 10002;NY;;;;TasteSpace
Estancia 460;460 Greenwich St;Tribeca;New York, NY, 10013;NY;Argentinean;$$;(212-431-5093);"TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut"
Estoril Sol Restaurant;382 8th Ave;Midtown West;New York, NY, 10001;NY;;;;"TasteSpace; ActiveDiner; NYTimes"
Ethiopian Restaurant;1582 York Ave;Upper East Side;New York, NY, 10028;NY;African;$;(212-717-7311);"TasteSpace; FoodBuzz; ActiveDiner; VillageVoice; TimeOut"
Ethos;495 3rd Ave;Murray Hill/Kips Bay;New York, NY, 10016;NY;Greek;;(212-252-1972);"TasteSpace; MenuPages; NYMag; ActiveDiner; VillageVoice; TimeOut; SavoryCities"
Europan Cafe;672 8th Ave;;New York, NY, 10036;NY;;;;"TasteSpace; MenuPages"
Eva's;11 W 8th St;West Village;New York, NY, 10011;NY;;;;"TasteSpace; MenuPages; NYMag"
Eva`s Health Food;11 W 8th St;;;NY;;;;"TasteSpace; FoodBuzz"
Evergreen Shanghai;10 E 38th St;Murray Hill/Kips Bay;New York, NY, 10016;NY;Chinese;;(212-448-1199);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Excellent Dumpling House;111 Lafayette St;Chinatown;New York, NY, 10013;NY;;;;"TasteSpace; MenuPages; NYMag; VillageVoice; NYTimes"
Extra Virgin;259 West 4th Street;West Village;New York, NY, 10014;NY;Mediterranean;$$;(212-691-9359);"TasteSpace; MenuPages; DiningGuide; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Extreme Pita;119 E 23rd St;;New York, NY, 10010;NY;;;;TasteSpace
F & B;150 E 52nd St;Chelsea;New York, NY, 10022;NY;;;;"TasteSpace; VillageVoice"
F&B;269 W 23rd St;Chelsea;New York, NY, 10011;NY;Belgian;;(646-486-4441);"TasteSpace; TimeOut; NYTimes"
F. Illi Ponte;39 Desbrosses St;Tribeca;New York, NY, 10013;NY;Italian;$$$$;(212-226-4621);"TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; NYTimes"
Fabio Piccolo Fiore;230 E 44th St;East 40s;New York, NY, 10017;NY;Eclectic;;(212-922-0581);"TasteSpace; MenuPages; VillageVoice; TimeOut; SavoryCities"
Fagiolini;334 Lexington Ave;;New York, NY, 10016;NY;;;;"TasteSpace; MenuPages"
Faicco's Pork Store;260 Bleecker St;;New York, NY, 10014;NY;;;;TasteSpace
Fairway;2328 12th Ave;;New York, NY, 10027;NY;;;;TasteSpace
Fairway Cafe;2127 Broadway;;New York, NY, 10023;NY;;;;"TasteSpace; MenuPages"
Fake Orchid;440 E 9th St;East Village;New York, NY, 10009;NY;Thai;;(646-654-1991);"TasteSpace; TimeOut"
Falai Panetteria;79 Clinton St;Lower East Side;New York, NY, 10002;NY;Cafés & diners;;(212-777-8956);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities; NYTimes"
Family Noodle;19 Henry St;Chinatown;New York, NY, 10002;NY;;;;"TasteSpace; VillageVoice"
Famous Famiglia;1630 Broadway;;New York, NY, 10019;NY;;;;"TasteSpace; MenuPages"
Famous Famiglia;1398 Madison Ave;;New York, NY, 10029;NY;;;;"TasteSpace; MenuPages"
Famous Famiglia;1284 1st Avenue;;New York, NY, 10021;NY;;;;"TasteSpace; MenuPages"
Famous Famiglia;2859 Broadway;;New York, NY, 10025;NY;;;;"TasteSpace; MenuPages"
Famous Famiglia;734 Amsterdam Ave;;New York, NY, 10025;NY;;;;"TasteSpace; MenuPages"
Famous Famiglia;111C 11th Ave;;New York, NY, 10011;NY;;;;TasteSpace
Famous Famiglia;686 8th Ave;;New York, NY, 10036;NY;;;;"TasteSpace; MenuPages"
Famous Fish Market;684 Saint Nicholas Avenue;;New York, NY, 10030;NY;;;;TasteSpace
Famous Original Rays Pizza;204 9th Ave;Upper E. Side;new york, NY, 10011;NY;;;;"TasteSpace; MenuPages; NYTimes"
Fanelli's Cafe;94 Prince St;Soho;New York, NY, 10012;NY;American;;(212-226-9412);"TasteSpace; MenuPages; TimeOut; SavoryCities; NYTimes"
Fast Wok;70 7th Ave;Chelsea;New York, NY, 10011;NY;;;;"TasteSpace; ActiveDiner; NYTimes"
Fauchon;442 Park Ave;;New York, NY, 10022;NY;;;;TasteSpace
Fedora;239 West 4th Street;;New York, NY, 10014;NY;;;;TasteSpace
Ferrara;195 Grand St;Little Italy;New York, NY, 10013;NY;;;;"TasteSpace; MenuPages; VillageVoice"
Ferro's Restaurant;145 E 50th St;;New York, NY, 10022;NY;;;;TasteSpace
Festival Mexicano;120 Rivington St;Lower East Side;New York, NY, 10002;NY;Mexican;;(212-995-0154);"TasteSpace; MenuPages; NYMag; TimeOut"
Fetch Bar Grill;1649 3rd Ave;;New York, NY, 10128;NY;;;;TasteSpace
Fiamma Osteria;206 Spring St;SOHO;New York, NY, 10012;NY;Italian;$$$;;"TasteSpace; FoodBuzz"
Figaro Pizza;1469 2nd Avenue Streete 1;Midtown West;New York, NY, 10021;NY;;;;"TasteSpace; NYMag; NYTimes"
Fillip's;202 7th Ave;;New York, NY, 10011;NY;;;;TasteSpace
Financier Patisserie;62 Stone St;;New York, NY, 10004;NY;;;;"TasteSpace; TimeOut"
Fine & Schapiro;138 W 72nd St;Upper W. Side;New York, NY, 10023;NY;;;;"TasteSpace; MenuPages; ActiveDiner; NYTimes"
Fine Food Deli;411 2nd Ave;;New York, NY, 10010;NY;;;;"TasteSpace; MenuPages"
Finestra;1370 York Ave;East 70s;New York, NY, 10021;NY;;;;"TasteSpace; MenuPages; VillageVoice"
Finnerty's Irish Pub;221 2nd Ave;;New York, NY, 10003;NY;;;;TasteSpace
Fino;1 Wall St;Murray Hill/Kips Bay;New York, NY, 10005;NY;;;;"TasteSpace; NYMag; VillageVoice"
Fino;4 E 36th St;Murray Hill/Kips Bay;New York, NY, 10016;NY;;;;"TasteSpace; NYMag; VillageVoice"
Firefly;54 Spring St;;New York, NY, 10012;NY;;;;"TasteSpace; MenuPages"
Firehouse;522 Columbus Ave;;New York, NY, 10024;NY;;;;"TasteSpace; MenuPages; ActiveDiner"
First Avenue Fish Market;141 1st Avenue;;New York, NY, 10003;NY;;;;TasteSpace
First Avenue Pierogi And Deli Co.;130 1st Avenue;E. Village;New York, NY, 10009;NY;;;;"TasteSpace; NYTimes"
First Wok;1374 3rd Ave;Upper E. Side;New York, NY, 10021;NY;;;;"TasteSpace; NYTimes"
Fish;87 1st Avenue;West Village;New York, NY, 10014;NY;Seafood;$$;(212-727-2879);"TasteSpace; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Fish;280 Bleecker St;West Village;New York, NY, 10014;NY;Seafood;$$;(212-727-2879);"TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Five Roses Pizza;173 1ST Avenue Streete 11;;New York, NY, 10003;NY;;;;TasteSpace
Fives;700 5th Ave;Midtown East;New York, NY, 10019;NY;American Creative;;(212-903-3918);"TasteSpace; MenuPages; DiningGuide; NYMag; VillageVoice; TimeOut; SavoryCities"
Flames Steakhouse;5 Gold St;;New York, NY, 10038;NY;;;;TasteSpace
Flamingo Room;470 W 23rd St;;New York, NY, 10011;NY;;;;TasteSpace
Flavored With One Love (CLOSED);1941 Madison Ave;;New York, NY, 10035;NY;;;;"TasteSpace; ActiveDiner"
Flea Market Cafe;131 Avenue A;East Village;New York, NY, 10009;NY;French;$;(212-358-9280);"TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; VillageVoice; TimeOut; SavoryCities; NYTimes"
Flor De Mayo;2651 Broadway;Upper West Side;New York, NY, 10025;NY;Chinese;$;;"TasteSpace; MenuPages; FoodBuzz"
Flor De Mayo;484 Amsterdam Ave;Upper West Side;New York, NY, 10024;NY;Chinese;$;;"TasteSpace; MenuPages; FoodBuzz"
Flor's Kitchen;149 1st Avenue;E. Village;New York, NY, 10003;NY;;;;"TasteSpace; NYTimes"
Flor's Kitchen;170 Waverly Pl;West Village;New York, NY, 10014;NY;Latin American: Venezuelan;;(212-229-9926);"TasteSpace; ActiveDiner; TimeOut; NYTimes"
Florence Prime Meat Market;5 Jones St;;New York, NY, 10014;NY;;;;TasteSpace
Florencia 13;185 Sullivan St;West Village;New York, NY, 10012;NY;;;;"TasteSpace; NYMag"
Florent (CLOSED);69 Gansevoort St;Meatpacking District;New York, NY, 10014;NY;French;;(212-989-5779);"TasteSpace; TimeOut"
Flurt;284 3rd Ave;Midtown West;New York, NY, 10010;NY;;;;"TasteSpace; NYTimes"
Focolare Bistro;115 Mulberry St;Little Italy;New York, NY, 10013;NY;Italian;;(212-993-5858);"TasteSpace; MenuPages; NYMag; TimeOut"
Fong Da Bakery, Inc.;83 Essex St;;New York, NY, 10013;NY;;;;TasteSpace
Fong Inn Too Inc.;46 Mott St;;New York, NY, 10013;NY;;;;TasteSpace
Fontana Di Trevi;151 W 57th St;;New York, NY, 10019;NY;;;;"TasteSpace; ActiveDiner"
Food;1569 Lexington Ave;;New York, NY, 10029;NY;;;;TasteSpace
Food Exchange;120 E 59th St;;New York, NY, 10022;NY;;;;"TasteSpace; MenuPages; ActiveDiner"
Food Mart Deli;York St;;New York, NY, 10021;NY;;;;TasteSpace
Food World Cafe;793 6th Ave;;New York, NY, 10001;NY;;;;"TasteSpace; MenuPages"
Food bar;149 8th Ave;;New York, NY, 10003;NY;;;;TasteSpace
Foods Of India;121 Lexington Ave;;New York, NY, 10016;NY;;;;TasteSpace
Forge;134 Reade St;TriBeCa;New York, NY, 10013;NY;American;$$$$;(212-941-9401);"TasteSpace; MenuPages; FoodBuzz; TimeOut"
Forum;127 4th Ave;;New York, NY, 10003;NY;;;;"TasteSpace; MenuPages"
Four Seasons;99 E 52nd St;Midtown East;New York, NY, 10022;NY;;;;"TasteSpace; NYTimes"
Four Seasons Food Market;271 1st Avenue;Midtown East;New York, NY, 10003;NY;;;;"TasteSpace; NYTimes"
Francisco's Centro Vasco;159 W 23rd St;Chelsea;New York, NY, 10011;NY;nan / Seafood;;(212-645-6224);"TasteSpace; MenuPages; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
Frank;88 2nd Ave;East Village;New York, NY, 10003;NY;Italian / Indian;$$$;(212-420-0202);"TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Frank's;410 W 16th St;East Village;New York, NY, 10011;NY;Italian / Indian;$$$;(212-420-0202);"TasteSpace; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
Frankies Spuntino;17 Clinton St;Lower East Side;New York, NY, 10002;NY;Italian;;(212-253-2303);"TasteSpace; TimeOut"
Franklin Station Cafe;222 W Broadway;TriBeCa/SoHo;New York, NY, 10013;NY;;;;"TasteSpace; ActiveDiner; NYTimes"
Fred's;476 Amsterdam Ave;Upper West Side;New York, NY, 10024;NY;;;;"TasteSpace; MenuPages; NYMag"
Fred's At Barneys NY;660 Madison Ave;Upper East Side;New York, NY, 10021;NY;;;;"TasteSpace; MenuPages; NYMag; SavoryCities; NYTimes"
Frederick's Bar & Lounge;8 W 58th St;;New York, NY, 10019;NY;;;;TasteSpace
Freemans;Freeman Alley;Lower East Side;New York, NY, 10002;NY;American;$$;(212-420-0012);"TasteSpace; MenuPages; NYMag; FoodBuzz; VillageVoice; TimeOut; SavoryCities; NYTimes"
French Roast;458 5th Ave;Upper West Side;New York, NY, 10011;NY;Breakfast / Cafés;$;(212-799-1533);"TasteSpace; NYMag; FoodBuzz; TimeOut; SavoryCities; NYTimes"
French Roast;78 W 11th St;Upper West Side;New York, NY, 10028;NY;Breakfast / Cafés;$;(212-799-1533);"TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; SavoryCities; NYTimes"
Fresco By Scotto;34 E 52nd St;Midtown East;New York, NY, 10022;NY;Italian;$$$;(212-935-3434);"TasteSpace; DiningGuide; FoodBuzz; ActiveDiner; TimeOut; SavoryCities"
Fresco On The Go;40 E 52nd St;Midtown East;New York, NY, 10022;NY;Italian;;(212-754-2700);"TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Fresco Tortilla Grill;215 W 14th St;Chelsea;New York, NY, 10001;NY;;;;"TasteSpace; NYTimes"
Fresco Tortilla Grill;769 5th Ave;Chelsea;New York, NY, 10001;NY;;;;"TasteSpace; NYTimes"
Fresco Tortilla Grill;253 8th Ave;Chelsea;New York, NY, 10011;NY;;;;"TasteSpace; ActiveDiner; NYTimes"
Fresco Tortilla Grill;36 Lexington Ave;Chelsea;New York, NY, 10010;NY;;;;"TasteSpace; MenuPages; NYTimes"
Fresh Thyme;350 5th Ave;;New York, NY, 10018;NY;;;;TasteSpace
Fried Dumpling;99 Allen St;Lower East Side;New York, NY, 10002;NY;;;;"TasteSpace; MenuPages; NYMag; NYTimes"
Fried Dumpling;106 Mosco St;Lower East Side;New York, NY, 10013;NY;;;;"TasteSpace; NYMag; NYTimes"
Fried Rice Balls! Rosario's Pizza;173 Orchard St;;New York, NY, 10002;NY;;;;TasteSpace
Friedman's Delicatessen;75 9th Ave;Chelsea;New York, NY, 10011;NY;American;;(212-929-7100);"TasteSpace; MenuPages; VillageVoice; TimeOut"
Friend House;99 3rd Ave #105;Gramercy;New York, NY, 10003;NY;Thai;;(212-388-1838);"TasteSpace; NYMag; TimeOut; SavoryCities"
Friend Of A Farmer;77 Irving Pl;Gramercy;New York, NY, 10003;NY;American;$;(212-477-2188);"TasteSpace; MenuPages; NYMag; FoodBuzz; ActiveDiner; TimeOut; NYTimes"
Fruit Loops;456 W 45th St;;New York, NY, 10036;NY;;;;TasteSpace
Frutti di Mare;84 E 4th St;E. Village;New York, NY, 10003;NY;;;;"TasteSpace; ActiveDiner; NYTimes"
Frère Jacques;13 E 37th St;;New York, NY, 10016;NY;;;;"TasteSpace; DiningGuide"
Fu Wong;100 Bowery;;New York, NY, 10013;NY;;;;TasteSpace
Fukumatsu;212 E 52nd St;;New York, NY, 10022;NY;;;;"TasteSpace; MenuPages"
Fuleen Seafood;11 Division St;Lower East Side;New York, NY, 10002;NY;Chinese;;(212-941-6888);"TasteSpace; MenuPages; NYMag; ActiveDiner; TimeOut; NYTimes"
Full City Coffee;409 Grand St;;New York, NY, 10002;NY;;;;TasteSpace
Fulton Fish Market;South St;;New York, NY, 10004;NY;;;;TasteSpace
Funayama;24 Greenwich Ave;West Village;New York, NY, 10011;NY;Japanese;;(212-989-2500);"TasteSpace; MenuPages; NYMag; TimeOut; SavoryCities"
Funky Broome;176 Mott St;;New York, NY,;NY;;;;TasteSpace
Funky Diner (CLOSED);466 Columbus Ave;Upper West Side;New York, NY, 10024;NY;American;$;;"TasteSpace; FoodBuzz; SavoryCities"
Fusha Asian Cuisine;1065 1st Avenue;;New York, NY, 10022;NY;;;;TasteSpace
Fusia Asian Cuisine;677C Lexington Avenue on 56th Street;;New York, NY, 10022;NY;;;;TasteSpace
Félix;340 W Broadway;Soho;New York, NY, 10013;NY;French;;(212-431-0021);"TasteSpace; TimeOut"
Gahm Mi Oak;43 W 32nd St;Midtown West;New York, NY, 10001;NY;;;;"TasteSpace; MenuPages; NYMag; VillageVoice; NYTimes"
Gajyumaru Japanese Restaurant;1659 1st Avenue;;New York, NY, 10028;NY;;;;TasteSpace
Galanga;149 West 4th Street;West Village;New York, NY, 10012;NY;Thai;;(212-228-4267);"TasteSpace; MenuPages; NYMag; VillageVoice; TimeOut; SavoryCities"
Gama;12 St Marks Pl;East Village;New York, NY, 10003;NY;;;;"TasteSpace; NYMag"
Gandhi;345 E 6th St;East Village;New York, NY, 10003;NY;;;;"TasteSpace; MenuPages; NYMag"
Garden Cafe At The Kitano New York;66 Park Ave;;New York, NY, 10016;NY;;;;TasteSpace
Garnet Wine & Liquors;929 Lexington Ave;;New York, NY, 10021;NY;;;;TasteSpace
Garrison Confections Inc.;20 W 23rd St;;New York, NY,;NY;;;;TasteSpace
