restaurant;addressGoogle;neighborhood;country;country_code;type;cost;phone
Les Deux Gamins (CLOSED);234 West 4th Street;;New York, NY, 10014;NY;;;
Les Sandwicherie;250 Broome St;;New York, NY, 10002;NY;;;
Les Sans Culottes East;1085 2nd Ave;;New York, NY, 10022;NY;;;
Levain Bakery;167 W 74th St;Upper West Side;New York, NY, 10023;NY;;;
Lever House Restaurant;390 Park Ave;Midtown East;New York, NY, 10022;NY;American;;(212-888-2700)
Lexington Candy Shop;1226 Lexington Ave;Upper East Side;New York, NY, 10028;NY;Cafés & diners;;(212-288-0057)
Li-Lac Chocolates;120 Christopher St;;New York, NY, 10014;NY;;;
Liberta Restaurant;1574 2nd Ave;;New York, NY, 10028;NY;;;
Liberty View;21 South End Ave;;New York, NY, 10280;NY;;;
Life Cafe;343 E 10th St;East Village;New York, NY, 10009;NY;American;;(212-477-8791)
LifeThyme Market;410 6th Ave;;New York, NY, 10011;NY;;;
LifeThyme Market;2275 Broadway;;New York, NY, 10024;NY;;;
Likitsakos Market;1174 Lexington Ave;;New York, NY, 10028;NY;;;
Lili's Noodle Shop & Grill;60 W 37th St;Financial District;New York, NY, 10281;NY;Chinese;;(212-786-1300)
Lime Leaf;2799 Broadway;;New York, NY, 10025;NY;nan / Thai;;(212-864-5000)
Limon Restaurant;238 E 24th St;;New York, NY, 10010;NY;;;
Liquiteria At Luck'y;170 2nd Ave;East Village;New York, NY, 10003;NY;Vegetarian & Organic;;(212-358-0300)
Lisca;660 Amsterdam Ave;;New York, NY, 10025;NY;nan / Italian;;(212-799-3987)
Little Havana;30 Cornelia St;West Village;New York, NY, 10014;NY;Caribbean: Cuban;;(212-255-2212)
Little Italy Pizza;55 W 45th St;;New York, NY, 10036;NY;;;
Little Italy Pizza;180 Varick St;;New York, NY, 10014;NY;;;
Little Italy Pizza;11 Park Pl;;New York, NY, 10007;NY;;;
Little Pie Company;407 W 14th St;;New York, NY, 10036;NY;;;
Little Pie Company;89 E 42nd St;Midtown East;New York, NY, 10017;NY;Bakery;$;
Little Saigon Café;374 W 46th St;;New York, NY, 10036;NY;;;
Little Seoul;232 7th Ave;;New York, NY, 10011;NY;;;
Lo Scalco;313 Church St;;New York, NY, 10013;NY;;;
Lobel's Prime Meats;1096 Madison Ave;;New York, NY, 10028;NY;;;
Local East;1004 2nd Ave;;New York, NY, 10022;NY;;;
Lola;15 Watts St;Soho;New York, NY, 10013;NY;French;;(212-675-6700)
Londel's Supper Club;2620 Frederick Douglass Blvd;Harlem;New York, NY, 10030;NY;Southern;$$;
Lonesome Dove (CLOSED);29 W 21st St;Chelsea;New York, NY, 10010;NY;American Creative;;(212-414-3139)
Longwood Gourmet;500 Lexington Ave;;New York, NY, 10017;NY;;;
Loreley;7 Rivington St;;New York, NY, 10002;NY;German;;(212-253-7077)
Los Paisas;898 Amsterdam Ave;;New York, NY, 10025;NY;;;
Loside;157 E Houston St;Lower East Side;New York, NY, 10002;NY;American;$;
Lotus (CLOSED);409 W 14th St;;New York, NY, 10014;NY;;;
Lttle Pie Company;424 W 43rd St;;New York, NY, 10014;NY;;;
Luca Bar;119 St Marks Pl;East Village;New York, NY, 10009;NY;Italian;;(212-254-1511)
Lucky Cheng's;24 1st Avenue;East Village;New York, NY, 10009;NY;Asian: Pan-Asian;;(212-473-0516)
Lucky Star Cafe;250 W 43rd St;;New York, NY, 10036;NY;;;
Luckys Juice Joint;75 W Houston St;;New York, NY, 10012;NY;;;
Lucy Latin Kitchen;35 E 18th St;Flatiron;New York, NY, 10003;NY;Nuevo Latino;$$$;
Lucy of Gramercy;35 E 18th St;Gramercy/Flatiron;New York, NY, 10003;NY;Latin American;;(212-475-5829)
Ludo;42 E 1st St;;New York, NY, 10003;NY;;;
Luke's Bar and Grill;1394 3rd Ave;Upper East Side;New York, NY, 10021;NY;American;;(212-249-7070)
Lumi Restaurant;963 Lexington Ave;;New York, NY, 10021;NY;;;
Lunapiena Ristorante;243 E 53rd St;;New York, NY, 10022;NY;;;
Lung Moon Bakery;83 Mulberry St;;New York, NY, 10013;NY;;;
Lupa;170 Thompson St;Greenwich Village;New York, NY, 10012;NY;Italian;$$$$;(212-982-5089)
Lupe's East L.A. Kitchen;110 5th Ave;;New York, NY, 10013;NY;;;
Luscious Thai;1099 1st Avenue;;New York, NY, 10021;NY;;;
L’Atelier de Joël Robuchon;E 57th St;;New York, NY, 10022;NY;nan / French;;
M & G Soul Food Diner;383 W 125th St;;New York, NY, 10027;NY;;;
M & O Grocery & Imported & Domestic Products;124 Thompson St;;New York, NY, 10012;NY;;;
Macchiato Espresso Bar;141 E 44th St;;New York, NY, 10017;NY;;;
Mad 28;72 Madison Avenue Streete 1;;New York, NY, 10016;NY;;;
Madeleine;128 W 23rd St;;New York, NY, 10011;NY;;;
Madison & Vine;299 Madison Ave;Midtown East;New York, NY, 10017;NY;American;;(212-867-5535)
Maggie's Cajun Grill;12 John St;;New York, NY, 10038;NY;;;
Magnifico (CLOSED);200 9th Ave;;New York, NY, 10011;NY;;;
Magnolia Bakery;West 11th Street;Upper West Side;New York, NY, 10014;NY;Food or Beverage Shop;;(212-724-8101)
Maharaja;230 E 44th St;;New York, NY, 10017;NY;;;
Mai House;186 Franklin St;TriBeCa;New York, NY, 10013;NY;Vietnamese;$$$;(212-431-0606)
Maia;98 Avenue B;East Village;New York, NY, 10009;NY;Turkish;;(212-358-1166)
Mainland;1081 3rd Ave;;New York, NY, 10021;NY;;;
Maison;1700 Broadway;Midtown West;New York, NY, 10019;NY;French;;(212-757-2233)
Majestic Pizza Corp;8 Cortlandt St;;New York, NY, 10007;NY;;;
Malaga Restaurant;406 E 73rd St;;New York, NY, 10021;NY;;;
Malatesta Trattoria;649 Washington St;West Village;New York, NY, 10014;NY;Italian;$$;(212-741-1207)
Malaysia Grill;2381 Broadway;;New York, NY, 10024;NY;;;
Malibu Diner;163 W 23rd St;;New York, NY, 10011;NY;;;
Mama Buddha;578 Hudson Street at 11th Street;;New York, NY, 10014;NY;;;
Mama Buddha Restaurant;576 Hudson St;;New York, NY, 10014;NY;;;
Mama's Food Shop;222 Sullivan St;;New York, NY, 10012;NY;;;
Mamlouk Restaurant;211 E 4th St;;New York, NY, 10009;NY;;;
Mana;646 Amsterdam Ave;Upper West Side;New York, NY, 10025;NY;Vegetarian & Organic;;(212-787-1110)
Manana Restaurant Inc;1136 1st Avenue;;New York, NY, 10021;NY;;;
Manapaty Milant Corp.;158 E 39th St;;New York, NY, 10017;NY;;;
Manatus;340 Bleecker St;Upper West Side;New York, NY, 10014;NY;Vegetarian & Organic;;(212-787-1110)
Mancora;99 1st Avenue;;New York, NY, 10003;NY;;;
Mandarin Court;61 Mott St;Chinatown;New York, NY, 10013;NY;Chinese;$;
Mandarin Grill;188 1st Avenue;;New York, NY, 10009;NY;;;
Mandoo Bar;71 University Pl;;New York, NY, 10003;NY;;;
Mangez Avec Moi;71 W Broadway;Financial District;New York, NY, 10007;NY;Vietnamese;;(212-385-0008)
Mangia E Bevi;800 9th Ave;Midtown West;New York, NY, 10019;NY;Italian;;(212-956-3976)
Mangia Restaurant;1 W 57th St;;New York, NY, 10019;NY;;;
Mangiami;9 Stanton St;Lower East Side;New York, NY, 10002;NY;Italian;;(212-477-7047)
Mangiarini;1593 2nd Ave;Lower East Side;New York, NY, 10028;NY;Italian;;(212-477-7047)
Manhattan Diner;2180 Broadway;Soho;New York, NY, 10024;NY;French;;(212-966-3459)
Manhattan Espresso Cafe;146 E 49th St;;New York, NY, 10017;NY;;;
Manhattan Fruit Exchange;75 9th Ave;;New York, NY, 10011;NY;;;
Manhattan Ocean Club (CLOSED);57 W 58th St;;New York, NY, 10019;NY;;;
Manila Gardens;325 E 14th St;;New York, NY, 10003;NY;;;
Manna's Soul Food & Salad Bar Restaurant;2331 Frederick Douglass Blvd;;New York, NY, 10027;NY;;;
Manna's Soul Food & Salad Bar Restaurant;51 E 125th St;;New York, NY, 10035;NY;;;
Mansion Restaurant;1634 York Ave;;New York, NY, 10028;NY;;;
Marco Polo Noodle Shop;94 Baxter St;;New York, NY, 10013;NY;;;
Mare;198 8th Ave;Chelsea;New York, NY, 10011;NY;Seafood;$$;(212-675-7522)
Maremma (CLOSED);228 W 10th St;;New York, NY, 10014;NY;;;
Margie's Red Rose;267 W 144th St;Harlem;New York, NY, 10030;NY;American Regional;;(212-491-3665)
Margon;136 W 46th St;Midtown West;New York, NY, 10036;NY;Caribbean;;(212-354-5013)
Margot Patisserie;1212 Lexington Ave;;New York, NY,;NY;;;
Margot Patisserie;2109 Broadway;;New York, NY, 10023;NY;;;
Maria Pia;319 W 51st St;;New York, NY, 10019;NY;;;
Maria's Bakery;42 Mott St;;New York, NY, 10013;NY;;;
Marinella;Centric;West Village;New York, NY, 10014;NY;Italian;;(212-807-7472)
Mark's;25 E 77th St;;New York, NY, 10021;NY;;;
MarkJoseph Steakhouse;261 Water St;Financial District;New York, NY, 10038;NY;Steakhouse;$$$$;(212-277-0020)
Maroons;244 W 16th St;Chelsea;New York, NY, 10011;NY;Southern / Caribbean: Jamaican;$$;(212-206-8640)
Martha Frances Mississippi Cheesecake;1707 2nd Ave;;New York, NY, 10128;NY;;;
Martinique Cafe;1260 Broadway;;New York, NY, 10001;NY;;;
Marumi;546 LaGuardia Pl;Greenwich Village;New York, NY, 10012;NY;Japanese;;(212-979-7055)
Maruzzella;1483 1st Avenue;Upper East Side;New York, NY, 10021;NY;Italian;;(212-988-8877)
Mary Ann's;116 8th Ave;;New York, NY, 10011;NY;;;
Mary Ann's;2787 Broadway;;New York, NY, 10013;NY;;;
Mary Ann's;2452 Broadway;;New York, NY, 10024;NY;;;
Mary Ann's (CLOSED);80 2nd Ave;;New York, NY, 10003;NY;;;
Mas;39 Downing St;West Village;New York, NY, 10014;NY;French;;(212-255-1790)
Masa;10 Columbus Cir;Upper West Side;New York, NY, 10019;NY;Japanese / French / African: Ethiopian;$$$$$;(212-255-1790)
Masala Bollywood;108 Lexington Ave;Gramercy/Flatiron;New York, NY, 10018;NY;Indian;;(212-679-1284)
Maskerem;164 Amsterdam Ave;;New York, NY, 10023;NY;;;
Massawa Restaurant;1239 Amsterdam Ave;;New York, NY, 10027;NY;;;
Massimo Al Ponte Vecchio;206 Thompson St;Greenwich Village;New York, NY, 10012;NY;Italian;;(212-228-7701)
Matador;57 Greenwich Ave;West Village;New York, NY, 10014;NY;Spanish;;(212-691-0057)
Matsuri;363 W 16th St;Chelsea;New York, NY, 10011;NY;Japanese;;(212-243-6400)
Maui Tacos;330 5th Ave;;New York, NY, 10001;NY;;;
Maurizio Trattoria;35 W 13th St;;New York, NY, 10011;NY;;;
Mavalli Palace;46 E 29th St;;New York, NY, 10016;NY;;;
Max;181 Duane St;;New York, NY, 10013;NY;;;
Max Brenner- Chocolate by the Bald Man;141 2nd Ave;;New York, NY, 10009;NY;;;
Max Brenner- Chocolate by the Bald Man;841 Broadway;;New York, NY, 10003;NY;;;
Maxie;516a 3rd Ave;;New York, NY, 10016;NY;;;
May May (CLOSED);35 Pell St;;New York, NY, 10013;NY;;;
May Wah Restaurant;190 Hester St;;New York, NY, 10013;NY;;;
Maya;1191 1st Avenue;Midtown East;New York, NY, 10021;NY;Mexican;$$$$;(212-585-1818)
Maya Hurapan Kitchen;234 E 4th St;;New York, NY, 10009;NY;;;
Mayrose;920 Broadway;;New York, NY, 10010;NY;;;
McCormick & Schmick's;1285 5th Ave;;New York, NY, 10019;NY;;;
Mchale's;750 8th Ave;;New York, NY,;NY;;;
Medina;315 10th Ave;Chelsea;New York, NY, 10001;NY;Moroccan;;(212-239-0057)
Mediterraneo;1260 2nd Ave;Upper East Side;New York, NY, 10021;NY;Italian;$$;
Mee Noodle Shop;547 2nd Ave;;New York, NY, 10016;NY;;;
Mee Noodle Shop;219 1st Avenue;;New York, NY, 10003;NY;;;
Mee Noodle Shop & Grill;92 2nd Ave;;New York, NY, 10003;NY;;;
Meet;71 Gansevoort St;;New York, NY, 10014;NY;;;
Mehanata;113 Ludlow St;;New York, NY, 10002;NY;;;
Mei-Ju Vege Gourmet;154 Mott St;;New York, NY, 10013;NY;;;
Mekong;44 Prince St;;New York, NY, 10014;NY;;;
Melange Food Fair;1277 1st Avenue;;New York, NY, 10021;NY;;;
Melba's;300 W 114th St;Harlem;New York, NY, 10026;NY;American Regional;;(212-864-7777)
Meli Melo;110 Madison Ave;;New York, NY, 10016;NY;;;
Melissa Blue;575 2nd Ave;;New York, NY, 10016;NY;;;
Meltemi;905 1st Avenue;Midtown East;New York, NY, 10022;NY;Greek;$$$;
Menchanko-Tei;131 E 45th St;;New York, NY, 10017;NY;;;
Menchanko-Tei;39 W 55th St;;New York, NY, 10019;NY;;;
Menkui Tei;Astor Pl;Midtown East;New York, NY,;NY;;;
Mercadito Grove;100 7th Ave S;West Village;New York, NY, 10014;NY;Mexican / nan;$$;
Mercer Kitchen;147 Mercer St;;New York, NY, 10012;NY;;;
Merinella;Centric;;New York, NY, 10014;NY;;;
Mermaid Inn;568 Amsterdam Ave;;New York, NY, 10024;NY;;;
Mesa De Espana Restaurant Inc;45 E 28th St;;New York, NY, 10016;NY;;;
Meskel Ethiopian Restaurant;199 E 3rd St;;New York, NY, 10009;NY;;;
Meskerem;124 MacDougal St;;New York, NY, 10012;NY;;;
Meskerem;164 Amsterdam Ave;;New York, NY, 10023;NY;;;
Meson Sevilla;344 W 46th St;;New York, NY, 10036;NY;;;
Metrazur;89 E 42nd St;Midtown East;New York, NY, 10017;NY;;;
Metro Diner;2641 Broadway #1;Midtown East;New York, NY, 10025;NY;American;;(212-838-2077)
MetroCafe & Wine Bar;32 E 21st St;Gramercy/Flatiron;New York, NY, 10010;NY;American Creative;;(212-353-0800)
Metropolitan Museum Roof Garden Cafe;1000 5th Ave;;New York, NY, 10028;NY;;;
Metsovo (CLOSED);65 W 70th St;Upper West Side;New York, NY, 10023;NY;;;
Mexican Village;118 MacDougal St;;New York, NY, 10012;NY;;;
Mexicana Mama;47 E 12th St;Greenwich Village;New York, NY, 10003;NY;Mexican;;(212-253-7594)
Mezze;10 E 44th St;;New York, NY, 10017;NY;;;
Mezzogiorno;195 Spring St;Soho;New York, NY, 10012;NY;Italian;;(212-334-2112)
Mi;66 Madison Ave;;New York, NY, 10016;NY;;;
Mi Nidito;852 8th Ave;;New York, NY, 10019;NY;;;
Michael Jordan's The Steak House;23 Vanderbilt Ave;at 43rd St;New York, NY, 10017;NY;;;(212-655-2300)
Michelle's Kitchen;1614 3rd Ave;;New York, NY, 10128;NY;;;
Midnite Express;1715 2nd Ave;;New York, NY, 10128;NY;;;
Midtown Deli;322 E 34th St;;New York, NY, 10016;NY;;;
Midtown Restaurant;157 E 55th St;;New York, NY, 10022;NY;;;
Mikata;150 Centre St;;New York, NY, 10013;NY;;;
Milk & Cookies Bakery;19 Commerce St;West Village;New York, NY, 10014;NY;Cafés;;(212-243-1640)
Mill Korean;2895 Broadway;Harlem;New York, NY, 10025;NY;Korean;$;
Milon Bangladesh;93 1st Avenue;;New York, NY, 10003;NY;;;
Minamoto Kitchoan;608 5th Ave;;New York, NY, 10020;NY;;;
Minar;5 W 31st St;;New York, NY, 10001;NY;;;
Minetta Tavern;113 MacDougal St;Greenwich Village;New York, NY, 10012;NY;Italian / Eclectic;$$$;(212-475-3850)
Mingala Burmese;1393B 2nd Ave;Upper East Side;New York, NY, 10021;NY;Asian: Burmese;;(212-744-8008)
Mingala Burmese;21 E 7th St #23;East Village;New York, NY, 10003;NY;Southeast Asian / Asian: Burmese;$;(212-744-8008)
Mirchi;29 7th Ave S;;New York, NY, 10014;NY;;;
Miss K's;118 Madison Ave;;New York, NY, 10016;NY;;;
Miss Mamie's;366 W 110th St;;New York, NY, 10025;NY;;;
Miss Saigon;1425 3rd Ave;Upper East Side;New York, NY, 10028;NY;;;
Mitali;334 E 5th St;;New York, NY, 10003;NY;;;
Mitchel London Foods;22 E 65th St;Midtown West;New York, NY, 10021;NY;Italian: Pizza;;(212-563-7741)
Mity Fine Restaurant;24 W 125th St;;New York, NY, 10027;NY;;;
Miyagi;220 W 13th St;West Village;New York, NY, 10011;NY;Japanese;;(212-620-3830)
Mo Pitkin's (CLOSED);34 Avenue A;East Village;New York, NY, 10009;NY;Jewish;$$;
Mocca Hungarian (CLOSED);1588 2nd Ave;;New York, NY, 10028;NY;;;
Mocca Lounge;78 Reade St;;New York, NY, 10007;NY;;;
Moda;135 W 52nd St;Midtown West;New York, NY, 10019;NY;Italian;;(212-887-9880)
Moe's Deli;480 9th Ave;;New York, NY, 10018;NY;;;
Moes Falafel;E 21st St;;New York, NY, 10010;NY;;;
Mofongo Depot;931 Amsterdam Ave;Upper West Side;;NY;Nuevo Latino / Caribbean;$$;(646-707-3904)
Mogador;101 St Marks Pl;;New York, NY, 10009;NY;;;
Moishe's Kosher Bake Shop;504 Grand St;;New York, NY, 10002;NY;;;
Moishes Kosher Bake Shop;115 2nd Ave;;New York, NY, 10003;NY;;;
Moksha;18 Murray Street;;New York, NY, 10007;NY;;;
Molly Wee Pub;402 8th Ave;;New York, NY, 10017;NY;;;
Mollys Pub & Restaurant;287 3rd Ave;;New York, NY, 10010;NY;;;
Molyvos;871 7th Ave;Midtown West;New York, NY, 10019;NY;Greek;$$$;(212-582-7500)
Momofuku Noodle Bar;163 1st Avenue;;New York, NY, 10003;NY;;;
Monaco;421 Amsterdam Ave;;New York, NY, 10024;NY;;;
Monkey Bar;60 E 54th St;Midtown East;New York, NY, 10022;NY;American / Asian: Pan-Asian;$$$$;(212-838-2600)
Monster Sushi;22 W 46th St;Midtown West;New York, NY, 10036;NY;Japanese;;(212-398-7707)
Monster Sushi;535 Hudson St;Midtown West;New York, NY, 10014;NY;Japanese;;(212-398-7707)
Monster Sushi;158 W 23rd St;;New York, NY, 10011;NY;nan / Japanese;;(212-398-7707)
Mont Blanc;315 W 48th St;;New York, NY, 10036;NY;;;
Montebello Ristorante Italiano;120 E 56th St;;New York, NY, 10022;NY;;;
Montes Trattoria;97 MacDougal St;Greenwich Village;New York, NY, 10012;NY;;;
Montien;90 3rd Ave;East Village;New York, NY, 10003;NY;Thai;;(212-475-6814)
Moomia Lounge;157 Lafayette St;;New York, NY, 10013;NY;;;
Moon Pie Pizzeria;Bayonne;;New York, NY,;NY;;;
Moonstruck;449 3rd Ave;;New York, NY, 10013;NY;;;
Moonstruck;244 Madison Ave;;New York, NY, 10022;NY;;;
Moonstruck Diner;250 E 58th St;;New York, NY, 10022;NY;;;
Moonstruck East Restaurant;449 3rd Ave;;New York, NY, 10016;NY;;;
Moran's Chelsea;146 10th Ave;Chelsea;New York, NY, 10011;NY;Steakhouses;;(212-627-3030)
Morning Star Restaurant;879 9th Ave;;New York, NY, 10019;NY;;;
Morrells;900 Broadway;Chelsea;New York, NY, 10003;NY;Italian;;(212-242-7626)
Mosaico;175 Madison Ave;;New York, NY, 10016;NY;;;
Mosco Pizza;105 Mosco St;;New York, NY, 10013;NY;;;
Mosto Osteria;87 2nd Ave;;New York, NY, 10003;NY;;;
Moto Japanese Restaurant;328 West 45TH Street Streete 1;;New York, NY, 10036;NY;;;
Moustache;Apartment Building from the TV Show Friends;East Village;New York, NY, 10014;NY;Middle Eastern;;(212-228-2022)
Moustache;265 E 10th St;East Village;New York, NY, 10009;NY;Middle Eastern;;(212-228-2022)
Mr. Broadway Kosher Deli;1372 Broadway;;New York, NY, 10018;NY;;;
Mr. Tang Seafood Restaurant;50 Mott St;;New York, NY, 10013;NY;;;
Mud Truck;Astor Pl;;New York, NY, 10003;NY;;;
Mud Truck;Corner of Broadway;;New York, NY, 10003;NY;;;
Mudville 9;126 Chambers St;;New York, NY, 10007;NY;;;
Muggs;406 E 64th St;;New York, NY, 10021;NY;;;
Mule Cafe;67 4th Ave;;Brooklyn, NY, 11217;NY;;;
Murals On 54;63 W 54th St;Midtown West;New York, NY, 10019;NY;Eclectic;;(212-314-7700)
Murano Ristorante;207 W 36th St;;New York, NY, 10018;NY;;;
Murray Hill Diner;222 Lexington Ave;;New York, NY, 10016;NY;;;
Murray's Sturgeon;2429 Broadway;;New York, NY, 10024;NY;;;
Murrays Bagels;500 5th Ave;;New York, NY, 10011;NY;;;
Murrays Cheese Shop;257 Bleecker St;Midtown East;New York, NY, 10014;NY;Food or Beverage Shop;;(212-922-1540)
Musette;228 3rd Avenue at 19th Street;;New York, NY, 10003;NY;;;
Myers of Keswick;634 Hudson St;West Village;New York, NY, 10014;NY;Food or Beverage Shop;;(212-691-4194)
Métisse;239 W 105th St;Upper West Side;New York, NY, 10025;NY;French;$$$;(212-666-8825)
NY Dosas;Corner of West 4th Street and Sullivan Street;West Village;New York, NY,;NY;Indian;;
NYC;75 Greenwich Ave;;New York, NY, 10014;NY;;;
Nada Sushi;135 E 50th St;;New York, NY, 10022;NY;;;
Nadaman Hakubai;66 Park Ave;;New York, NY, 10016;NY;;;
Nader;48 E 29th St;;New York, NY, 10016;NY;;;
Nadine's Restaurant;99 Bank St;;New York, NY, 10014;NY;;;
Nagomi Japanese Restaurant;179 Prince St;;New York, NY, 10012;NY;;;
Nagoya Japanese Restaurant;60 Beaver St;;New York, NY, 10004;NY;;;
Naka Naka;458 W 17th St;Chelsea;New York, NY, 10011;NY;Japanese;;(212-929-8544)
Naniwa Of Japan Inc;4 E 46th St;;New York, NY, 10017;NY;;;
Nataro;635 2nd Ave;;New York, NY, 10016;NY;;;
National Cafe;210 1st Avenue;;New York, NY,;NY;;;
Native;101 W 118th St;Harlem;New York, NY, 10026;NY;Caribbean;;(212-665-2525)
Natori;58 St Marks Pl;East Village;New York, NY, 10003;NY;Japanese;;(212-533-7711)
Natsumi Restaurant and Lounge;226 W 50th St;;New York, NY, 10019;NY;;;
Natural Deli;10 E 23rd St;;New York, NY, 10010;NY;;;
Natural Restaurant;88 Allen St;;New York, NY,;NY;;;
Natural Tofu;34 W 32nd St;;New York, NY, 10001;NY;;;
Nebraska Steak House;15 Stone St;;New York, NY, 10004;NY;;;
Negril Village;362 W 23rd St;Greenwich Village;New York, NY, 10011;NY;Caribbean: Jamaican;;(212-477-2804)
Negril Village;70 W 3rd St;Greenwich Village;New York, NY, 10012;NY;Caribbean: Jamaican;;(212-477-2804)
New Big Wong;67 Mott St;;New York, NY, 10013;NY;;;
New Bo-Ky;80 Bayard St;Chinatown;New York, NY, 10013;NY;Asian;$;
New Chuan Garden;9 W 46th St;;New York, NY, 10036;NY;;;
New Diamond Cafe;224 W 47th St;;New York, NY, 10036;NY;;;
New Manila Foodmart;351 E 14th St;;New York, NY,;NY;;;
New Wing Wah;60 W 48th St;;New York, NY, 10036;NY;;;
New Wing Wong;111 Lafayette St;;New York, NY,;NY;;;
New World Food Market;Lexington Plaza;;New York, NY, 10016;NY;;;
New World Grill;329 W 49th St;;New York, NY, 10019;NY;;;
New York Bagels;1228 2nd Ave;;New York, NY, 10021;NY;;;
New York Kom Tang Kal Bi House;32 W 32nd St;Midtown West;New York, NY, 10001;NY;Korean;;(212-947-8482)
New York Luncheonette;135 E 50th St;;New York, NY, 10022;NY;;;
New York Thai Grill & Sushi Bar;37 W 54th St;;New York, NY, 10019;NY;;;
Nha Hang Pho Viet Huong;73 Mulberry St;;New York, NY, 10013;NY;;;
Nha Trang Restaurant;87 Baxter St;;New York, NY, 10013;NY;;;
Nice;35 E Broadway;Chinatown;New York, NY, 10002;NY;Chinese;$;
Nick And Toni's Cafe;100 W 67th St;Upper West Side;New York, NY, 10023;NY;;;
Nick's;1814 2nd Ave;Upper East Side;New York, NY, 10128;NY;Italian;$;
Nicola's;997 1st Avenue;;New York, NY, 10022;NY;;;
Nicole1973;134 Test Street;;New York, NY, 10001;NY;;;
Nina's;1750 2nd Ave;Upper East Side;New York, NY, 10128;NY;;;
Ninja;25 Hudson St;Tribeca;New York, NY, 10013;NY;Japanese;;(212-274-8500)
Nino's;1354 1st Avenue;Upper East Side;New York, NY, 10021;NY;Italian;;(212-988-0002)
Nino's Pizza;131 St Marks Pl;Upper East Side;New York, NY, 10009;NY;;;
Nino's Positano;890 2nd Ave;Midtown East;New York, NY, 10017;NY;Italian;;(212-355-5540)
Ninth Avenue International;543 9th Ave;;New York, NY,;NY;;;
Nippon Restaurant;155 E 52nd St;;New York, NY, 10022;NY;;;
Nish (CLOSED);408 E 58th St;Midtown East;New York, NY, 10022;NY;American Creative;;(212-754-6272)
Nisos;176 8th Ave;;New York, NY, 10011;NY;;;
No. 28 Carmine;28 Carmine St;;New York, NY, 10014;NY;;;
Noche;1604 Broadway;;New York, NY, 10019;NY;;;
Noi Cafe;271 Bleecker St;;New York, NY, 10014;NY;;;
Nolia;158 Loisaida Ave;;New York, NY, 10009;NY;;;
Nooch;143 8th Ave;Chelsea;New York, NY, 10011;NY;Thai;;(212-691-8600)
Noodles 28;417 3rd Ave;;New York, NY, 10016;NY;;;
Noodles 28;1643 2nd Ave;;New York, NY, 10028;NY;;;
Noodles 28;394 3rd Ave;;New York, NY, 10016;NY;;;
Norma's at Le Parker Meridien;118 W 57th St;;New York, NY, 10019;NY;;;
North Square;103 Waverly Pl;Greenwich Village;New York, NY, 10011;NY;American Creative;;(212-254-1200)
North Village Deli Emporium;74 8th Ave;;New York, NY, 10011;NY;;;
Notaro;635 2nd Ave;Midtown East;New York, NY, 10016;NY;Italian;;(212-686-3400)
Novecento;343 W Broadway;SOHO;New York, NY, 10013;NY;South American / Argentine;$$$;(212-925-4706)
Novo (CLOSED);290 Hudson St;SoHo;New York, NY, 10013;NY;;;
O Mai;158 9th Ave;;New York, NY, 10011;NY;;;
O'Farrells;413 10th Ave;;New York, NY, 10001;NY;;;
O'Neals;49 W 64th St;;New York, NY, 10023;NY;;;
O.G.;507 E 5th St;;New York, NY, 10007;NY;;;
Ocean Seafood;19 Henry St;;New York, NY,;NY;;;
Odessa;119 Avenue A;East Village;New York, NY, 10009;NY;Eastern European;;(212-253-1470)
Ok Falafel House;1752 2nd Ave;;New York, NY, 10128;NY;;;
Oklahoma Smoke;231 W 145th St;Harlem;New York, NY, 10039;NY;Barbeque;;(212-862-5335)
Old Bridge Deli;373 Lexington Ave;;New York, NY, 10017;NY;;;
Old Devil Moon;511 E 12th St;East Village;New York, NY, 10009;NY;Southern / American Regional;$;(212-475-4357)
Old Poland Bakery And Restaurant;160 W 54th St;;New York, NY, 10019;NY;;;
Old San Juan;765 9th Ave;Midtown West;New York, NY, 10019;NY;Caribbean: Puerto Rican;;(212-262-7013)
Olieng;644 10th Ave;;New York, NY, 10036;NY;;;
Oliva;161 E Houston St;Lower East Side;New York, NY, 10002;NY;American / Spanish;$$;(212-228-4143)
Olives;West Union Square;;New York, NY, 10003;NY;;;
Ollie Noodle Shop And Grille;2235 Broadway;Upper West Side;New York, NY, 10024;NY;Chinese;;(212-932-3300)
Ollie's;200B W 44th St;;New York, NY, 10036;NY;;;
Ollie's;2957 Broadway;;New York, NY, 10025;NY;;;
Ollie's;2315 Broadway;;New York, NY, 10024;NY;;;
Ollie's;1991 Broadway;;New York, NY, 10023;NY;;;
Ollie's Noodle Shop And Grille;200 W 44th St;Upper West Side;New York, NY, 10036;NY;Chinese;;(212-932-3300)
Olympic Diner;807 8th Ave;;New York, NY, 10019;NY;;;
One;1 Little W 12th St;Meatpacking District;New York, NY, 10014;NY;American / Eclectic;$$$;(212-255-9717)
One And One;76 E 1st St;;New York, NY, 10009;NY;;;
Onera;222 W 79th St;;New York, NY, 10024;NY;;;
Onieals Grand Street;174 Grand St;SOHO;New York, NY, 10013;NY;American;$$$;(212-941-9119)
Onigashima;43 W 55th St;;New York, NY, 10019;NY;;;
Ony;357 5th Ave;;New York, NY, 10014;NY;;;
Opal;251 E 52nd St;;New York, NY, 10022;NY;;;
