TimeOut	#1 Farmer’s Market	1458 Second Ave,  at 76th St,  Upper East Side,  (212-396-2626) 
TimeOut	Babouche	92 Prince St,  at Mercer St,  Soho,  (212-219-8155) 
TimeOut	Babouche	Moroccan 	92 Prince St,  at Mercer St,  Soho,  (212-219-8155) 
TimeOut	Babouche 	92 Prince St,  at Mercer St,  Soho,  (212-219-8155) 
TimeOut	Babouche 	Moroccan 	92 Prince St,  at Mercer St,  Soho,  (212-219-8155) 
TimeOut	Babouche   	92 Prince St,  at Mercer St,  Soho,  (212-219-8155) 	 Moroccan 
TimeOut	Baby Cakes	248 Broome St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-677-5047) 
TimeOut	Baby Cakes	Cafés & diners 	248 Broome St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-677-5047) 
TimeOut	Baby Cakes 	248 Broome St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-677-5047) 
TimeOut	Baby Cakes 	Cafés & diners 	248 Broome St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-677-5047) 
TimeOut	Baby Cakes   	248 Broome St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-677-5047) 	 Cafés & diners 
TimeOut	Bacaro	136 Division St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-941-5060) 
TimeOut	Bacaro	Italian 	136 Division St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-941-5060) 
TimeOut	Bacaro 	136 Division St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-941-5060) 
TimeOut	Bacaro 	Italian 	136 Division St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-941-5060) 
TimeOut	Bacaro   	136 Division St,  between Ludlow and Orchard Sts,  Lower East Side,  (212-941-5060) 	 Italian 
TimeOut	Back Forty	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-388-1990) 
TimeOut	Back Forty	American 	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-388-1990) 
TimeOut	Back Forty 	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-388-1990) 
TimeOut	Back Forty 	American 	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-388-1990) 
TimeOut	Back Forty   	190 Ave B,  between 11th and 12th Sts,  East Village,  (212-388-1990) 	 American 
TimeOut	Bagatelle	409 W 13th St,  between Ninth Ave and Washington St,  Meatpacking District,  (212-675-2400) 
TimeOut	Bagatelle	French 	409 W 13th St,  between Ninth Ave and Washington St,  Meatpacking District,  (212-675-2400) 
TimeOut	Bagatelle 	409 W 13th St,  between Ninth Ave and Washington St,  Meatpacking District,  (212-675-2400) 
TimeOut	Bagatelle 	French 	409 W 13th St,  between Ninth Ave and Washington St,  Meatpacking District,  (212-675-2400) 
TimeOut	Bagatelle   	409 W 13th St,  between Ninth Ave and Washington St,  Meatpacking District,  (212-675-2400) 	 French 
TimeOut	Bagicha (CLOSED)	226 W 79th St,  at Broadway,  Upper West Side,  (212-362-1767) 
TimeOut	Bagicha (CLOSED)	Indian 	226 W 79th St,  at Broadway,  Upper West Side,  (212-362-1767) 
TimeOut	Bagicha (CLOSED) 	226 W 79th St,  at Broadway,  Upper West Side,  (212-362-1767) 
TimeOut	Bagicha (CLOSED) 	Indian 	226 W 79th St,  at Broadway,  Upper West Side,  (212-362-1767) 
TimeOut	Bagicha (CLOSED)   	226 W 79th St,  at Broadway,  Upper West Side,  (212-362-1767) 	 Indian 
TimeOut	Baldo Vino	126 E 7th St,  between First Ave and Ave A,  East Village,  (212-979-0319) 
TimeOut	Baldo Vino	Italian 	126 E 7th St,  between First Ave and Ave A,  East Village,  (212-979-0319) 
TimeOut	Baldo Vino 	126 E 7th St,  between First Ave and Ave A,  East Village,  (212-979-0319) 
TimeOut	Baldo Vino 	Italian 	126 E 7th St,  between First Ave and Ave A,  East Village,  (212-979-0319) 
TimeOut	Baldo Vino   	126 E 7th St,  between First Ave and Ave A,  East Village,  (212-979-0319) 	 Italian 
TimeOut	Baldoria	249 W 49th St,  between Broadway and Eighth Ave,  Midtown West,  (212-582-0460) 
TimeOut	Baldoria	Italian 	249 W 49th St,  between Broadway and Eighth Ave,  Midtown West,  (212-582-0460) 
TimeOut	Baldoria 	249 W 49th St,  between Broadway and Eighth Ave,  Midtown West,  (212-582-0460) 
TimeOut	Baldoria 	Italian 	249 W 49th St,  between Broadway and Eighth Ave,  Midtown West,  (212-582-0460) 
TimeOut	Baldoria   	249 W 49th St,  between Broadway and Eighth Ave,  Midtown West,  (212-582-0460) 	 Italian 
TimeOut	Bali Nusa Indah	651 Ninth Ave,  between 45th and 46th Sts,  Midtown West,  (212-974-1875) 
TimeOut	Bali Nusa Indah	Asian: Indonesian 	651 Ninth Ave,  between 45th and 46th Sts,  Midtown West,  (212-974-1875) 
TimeOut	Bali Nusa Indah 	651 Ninth Ave,  between 45th and 46th Sts,  Midtown West,  (212-974-1875) 
TimeOut	Bali Nusa Indah 	Asian: Indonesian 	651 Ninth Ave,  between 45th and 46th Sts,  Midtown West,  (212-974-1875) 
TimeOut	Bali Nusa Indah   	651 Ninth Ave,  between 45th and 46th Sts,  Midtown West,  (212-974-1875) 	 Asian: Indonesian 
TimeOut	Balthazar	80 Spring St,  between Broadway and Crosby St,  Soho,  (212-965-1414) 
TimeOut	Balthazar	French 	80 Spring St,  between Broadway and Crosby St,  Soho,  (212-965-1414) 
TimeOut	Balthazar 	80 Spring St,  between Broadway and Crosby St,  Soho,  (212-965-1414) 
TimeOut	Balthazar 	French 	80 Spring St,  between Broadway and Crosby St,  Soho,  (212-965-1414) 
TimeOut	Balthazar   	80 Spring St,  between Broadway and Crosby St,  Soho,  (212-965-1414) 	 French 
TimeOut	Baluchi’s	104 Second Ave,  between 6th and 7th Sts,  East Village,  (212-780-6000) 
TimeOut	Baluchi’s	1149 First Ave,  at 63rd St,  Upper East Side,  (212-371-3535) 
TimeOut	Baluchi’s	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-396-1400) 
TimeOut	Baluchi’s	1565 Second Ave,  between 81st and 82nd Sts,  Upper East Side,  (212-288-4810) 
TimeOut	Baluchi’s	1724 Second Ave,  between 88th and 89th Sts,  Upper East Side,  (212-996-2600) 
TimeOut	Baluchi’s	193 Spring St,  between Sullivan and Thompson Sts,  Soho,  (212-226-2828) 
TimeOut	Baluchi’s	224 E 53rd St,  between Second and Third Aves,  Midtown East,  (212-750-5515) 
TimeOut	Baluchi’s	240 W 56th St,  between Broadway and Eighth Ave,  Midtown West,  (212-397-0707) 
TimeOut	Baluchi’s	275 Greenwich St,  at Water St,  Financial District,  (212-571-5343) 
TimeOut	Baluchi’s	329 Third Ave,  between 24th and 25th Sts,  Gramercy/Flatiron,  (212-679-3434) 
TimeOut	Baluchi’s	361 Sixth Ave,  between Washington Pl and W 4th St,  West Village,  (212-929-2441) 
TimeOut	Baluchi’s	Indian 	104 Second Ave,  between 6th and 7th Sts,  East Village,  (212-780-6000) 
TimeOut	Baluchi’s	Indian 	1149 First Ave,  at 63rd St,  Upper East Side,  (212-371-3535) 
TimeOut	Baluchi’s	Indian 	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-396-1400) 
TimeOut	Baluchi’s	Indian 	1565 Second Ave,  between 81st and 82nd Sts,  Upper East Side,  (212-288-4810) 
TimeOut	Baluchi’s	Indian 	1724 Second Ave,  between 88th and 89th Sts,  Upper East Side,  (212-996-2600) 
TimeOut	Baluchi’s	Indian 	193 Spring St,  between Sullivan and Thompson Sts,  Soho,  (212-226-2828) 
TimeOut	Baluchi’s	Indian 	224 E 53rd St,  between Second and Third Aves,  Midtown East,  (212-750-5515) 
TimeOut	Baluchi’s	Indian 	240 W 56th St,  between Broadway and Eighth Ave,  Midtown West,  (212-397-0707) 
TimeOut	Baluchi’s	Indian 	275 Greenwich St,  at Water St,  Financial District,  (212-571-5343) 
TimeOut	Baluchi’s	Indian 	329 Third Ave,  between 24th and 25th Sts,  Gramercy/Flatiron,  (212-679-3434) 
TimeOut	Baluchi’s	Indian 	361 Sixth Ave,  between Washington Pl and W 4th St,  West Village,  (212-929-2441) 
TimeOut	Baluchi’s 	104 Second Ave,  between 6th and 7th Sts,  East Village,  (212-780-6000) 
TimeOut	Baluchi’s 	1149 First Ave,  at 63rd St,  Upper East Side,  (212-371-3535) 
TimeOut	Baluchi’s 	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-396-1400) 
TimeOut	Baluchi’s 	1565 Second Ave,  between 81st and 82nd Sts,  Upper East Side,  (212-288-4810) 
TimeOut	Baluchi’s 	1724 Second Ave,  between 88th and 89th Sts,  Upper East Side,  (212-996-2600) 
TimeOut	Baluchi’s 	193 Spring St,  between Sullivan and Thompson Sts,  Soho,  (212-226-2828) 
TimeOut	Baluchi’s 	224 E 53rd St,  between Second and Third Aves,  Midtown East,  (212-750-5515) 
TimeOut	Baluchi’s 	240 W 56th St,  between Broadway and Eighth Ave,  Midtown West,  (212-397-0707) 
TimeOut	Baluchi’s 	275 Greenwich St,  at Water St,  Financial District,  (212-571-5343) 
TimeOut	Baluchi’s 	329 Third Ave,  between 24th and 25th Sts,  Gramercy/Flatiron,  (212-679-3434) 
TimeOut	Baluchi’s 	361 Sixth Ave,  between Washington Pl and W 4th St,  West Village,  (212-929-2441) 
TimeOut	Baluchi’s 	Indian 	104 Second Ave,  between 6th and 7th Sts,  East Village,  (212-780-6000) 
TimeOut	Baluchi’s 	Indian 	1149 First Ave,  at 63rd St,  Upper East Side,  (212-371-3535) 
TimeOut	Baluchi’s 	Indian 	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-396-1400) 
TimeOut	Baluchi’s 	Indian 	1565 Second Ave,  between 81st and 82nd Sts,  Upper East Side,  (212-288-4810) 
TimeOut	Baluchi’s 	Indian 	1724 Second Ave,  between 88th and 89th Sts,  Upper East Side,  (212-996-2600) 
TimeOut	Baluchi’s 	Indian 	193 Spring St,  between Sullivan and Thompson Sts,  Soho,  (212-226-2828) 
TimeOut	Baluchi’s 	Indian 	224 E 53rd St,  between Second and Third Aves,  Midtown East,  (212-750-5515) 
TimeOut	Baluchi’s 	Indian 	240 W 56th St,  between Broadway and Eighth Ave,  Midtown West,  (212-397-0707) 
TimeOut	Baluchi’s 	Indian 	275 Greenwich St,  at Water St,  Financial District,  (212-571-5343) 
TimeOut	Baluchi’s 	Indian 	329 Third Ave,  between 24th and 25th Sts,  Gramercy/Flatiron,  (212-679-3434) 
TimeOut	Baluchi’s 	Indian 	361 Sixth Ave,  between Washington Pl and W 4th St,  West Village,  (212-929-2441) 
TimeOut	Baluchi’s (CLOSED)	111 E 29th St,  between Park Ave South and Lexington Ave,  Gramercy/Flatiron,  (212-481-4545) 
TimeOut	Baluchi’s (CLOSED)	283 Columbus Ave,  between 73rd and 74th Sts,  Upper West Side,  (212-579-3900) 
TimeOut	Baluchi’s (CLOSED)	Indian 	111 E 29th St,  between Park Ave South and Lexington Ave,  Gramercy/Flatiron,  (212-481-4545) 
TimeOut	Baluchi’s (CLOSED)	Indian 	283 Columbus Ave,  between 73rd and 74th Sts,  Upper West Side,  (212-579-3900) 
TimeOut	Baluchi’s (CLOSED) 	111 E 29th St,  between Park Ave South and Lexington Ave,  Gramercy/Flatiron,  (212-481-4545) 
TimeOut	Baluchi’s (CLOSED) 	283 Columbus Ave,  between 73rd and 74th Sts,  Upper West Side,  (212-579-3900) 
TimeOut	Baluchi’s (CLOSED) 	Indian 	111 E 29th St,  between Park Ave South and Lexington Ave,  Gramercy/Flatiron,  (212-481-4545) 
TimeOut	Baluchi’s (CLOSED) 	Indian 	283 Columbus Ave,  between 73rd and 74th Sts,  Upper West Side,  (212-579-3900) 
TimeOut	Baluchi’s (CLOSED)   	111 E 29th St,  between Park Ave South and Lexington Ave,  Gramercy/Flatiron,  (212-481-4545) 	 Indian 
TimeOut	Baluchi’s (CLOSED)   	283 Columbus Ave,  between 73rd and 74th Sts,  Upper West Side,  (212-579-3900) 	 Indian 
TimeOut	Baluchi’s   	104 Second Ave,  between 6th and 7th Sts,  East Village,  (212-780-6000) 	 Indian 
TimeOut	Baluchi’s   	1149 First Ave,  at 63rd St,  Upper East Side,  (212-371-3535) 	 Indian 
TimeOut	Baluchi’s   	1431 First Ave,  between 74th and 75th Sts,  Upper East Side,  (212-396-1400) 	 Indian 
TimeOut	Baluchi’s   	1565 Second Ave,  between 81st and 82nd Sts,  Upper East Side,  (212-288-4810) 	 Indian 
TimeOut	Baluchi’s   	1724 Second Ave,  between 88th and 89th Sts,  Upper East Side,  (212-996-2600) 	 Indian 
TimeOut	Baluchi’s   	193 Spring St,  between Sullivan and Thompson Sts,  Soho,  (212-226-2828) 	 Indian 
TimeOut	Baluchi’s   	224 E 53rd St,  between Second and Third Aves,  Midtown East,  (212-750-5515) 	 Indian 
TimeOut	Baluchi’s   	240 W 56th St,  between Broadway and Eighth Ave,  Midtown West,  (212-397-0707) 	 Indian 
TimeOut	Baluchi’s   	275 Greenwich St,  at Water St,  Financial District,  (212-571-5343) 	 Indian 
TimeOut	Baluchi’s   	329 Third Ave,  between 24th and 25th Sts,  Gramercy/Flatiron,  (212-679-3434) 	 Indian 
TimeOut	Baluchi’s   	361 Sixth Ave,  between Washington Pl and W 4th St,  West Village,  (212-929-2441) 	 Indian 
TimeOut	Bamboo 52	344 W 52nd St,  between Eighth and Ninth Aves,  Midtown West,  (212-315-2777) 
TimeOut	Bamboo 52	Asian: Pan-Asian 	344 W 52nd St,  between Eighth and Ninth Aves,  Midtown West,  (212-315-2777) 
TimeOut	Bamboo 52 	344 W 52nd St,  between Eighth and Ninth Aves,  Midtown West,  (212-315-2777) 
TimeOut	Bamboo 52 	Asian: Pan-Asian 	344 W 52nd St,  between Eighth and Ninth Aves,  Midtown West,  (212-315-2777) 
TimeOut	Bamboo 52   	344 W 52nd St,  between Eighth and Ninth Aves,  Midtown West,  (212-315-2777) 	 Asian: Pan-Asian 
TimeOut	Bamiyan	358 Third Ave,  at 26th St,  Gramercy/Flatiron,  (212-481-3232) 
TimeOut	Bamiyan	Afghan 	358 Third Ave,  at 26th St,  Gramercy/Flatiron,  (212-481-3232) 
TimeOut	Bamiyan 	358 Third Ave,  at 26th St,  Gramercy/Flatiron,  (212-481-3232) 
TimeOut	Bamiyan 	Afghan 	358 Third Ave,  at 26th St,  Gramercy/Flatiron,  (212-481-3232) 
TimeOut	Bamiyan   	358 Third Ave,  at 26th St,  Gramercy/Flatiron,  (212-481-3232) 	 Afghan 
TimeOut	Bamn!	37 St. Marks Pl,  at Second Ave,  East Village,  (888-400-2266) 	 Eclectic 
TimeOut	Bamn!	37 St. Marks Pl,  at Second Ave,  East Village,  (888-400-2266) 
TimeOut	Bamn!	Eclectic 	37 St. Marks Pl,  at Second Ave,  East Village,  (888-400-2266) 
TimeOut	Bamn! 	Eclectic 	37 St. Marks Pl,  at Second Ave,  East Village,  (888-400-2266) 
TimeOut	Bamn! (CLOSED)	37 St. Marks Pl,  at Second Ave,  East Village,  (888-400-2266) 
TimeOut	Banana Leaf	103 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-481-9100) 
TimeOut	Banana Leaf	Indian 	103 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-481-9100) 
TimeOut	Banana Leaf 	103 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-481-9100) 
TimeOut	Banana Leaf 	Indian 	103 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-481-9100) 
TimeOut	Banana Leaf   	103 Lexington Ave,  between 27th and 28th Sts,  Gramercy/Flatiron,  (212-481-9100) 	 Indian 
TimeOut	Banc Café	431 Third Ave,  at 30th St,  Midtown East,  (212-252-0146) 
TimeOut	Banc Café	French 	431 Third Ave,  at 30th St,  Midtown East,  (212-252-0146) 
TimeOut	Banc Café 	431 Third Ave,  at 30th St,  Midtown East,  (212-252-0146) 
TimeOut	Banc Café 	French 	431 Third Ave,  at 30th St,  Midtown East,  (212-252-0146) 
TimeOut	Banc Café   	431 Third Ave,  at 30th St,  Midtown East,  (212-252-0146) 	 French 
TimeOut	Bandol Bistro	181 E 78th St,  between Lexington and Third Aves,  Upper East Side,  (212-744-1800) 
TimeOut	Bandol Bistro	French 	181 E 78th St,  between Lexington and Third Aves,  Upper East Side,  (212-744-1800) 
TimeOut	Bandol Bistro 	181 E 78th St,  between Lexington and Third Aves,  Upper East Side,  (212-744-1800) 
TimeOut	Bandol Bistro 	French 	181 E 78th St,  between Lexington and Third Aves,  Upper East Side,  (212-744-1800) 
TimeOut	Bandol Bistro   	181 E 78th St,  between Lexington and Third Aves,  Upper East Side,  (212-744-1800) 	 French 
TimeOut	Banjara	97 First Ave,  at 6th St,  East Village,  (212-477-5956) 
TimeOut	Banjara	Indian 	97 First Ave,  at 6th St,  East Village,  (212-477-5956) 
TimeOut	Banjara 	97 First Ave,  at 6th St,  East Village,  (212-477-5956) 
TimeOut	Banjara 	Indian 	97 First Ave,  at 6th St,  East Village,  (212-477-5956) 
TimeOut	Banjara   	97 First Ave,  at 6th St,  East Village,  (212-477-5956) 	 Indian 
TimeOut	Bann	350 W 50th St,  at Ninth Ave,  Midtown West,  (212-582-4446) 
TimeOut	Bann	Korean 	350 W 50th St,  at Ninth Ave,  Midtown West,  (212-582-4446) 
TimeOut	Bann 	350 W 50th St,  at Ninth Ave,  Midtown West,  (212-582-4446) 
TimeOut	Bann 	Korean 	350 W 50th St,  at Ninth Ave,  Midtown West,  (212-582-4446) 
TimeOut	Bann   	350 W 50th St,  at Ninth Ave,  Midtown West,  (212-582-4446) 	 Korean 
TimeOut	Bao Noodles	391 Second Ave,  between 22nd and 23rd Sts,  Gramercy/Flatiron,  (212-725-7770) 
TimeOut	Bao Noodles	Vietnamese 	391 Second Ave,  between 22nd and 23rd Sts,  Gramercy/Flatiron,  (212-725-7770) 
TimeOut	Bao Noodles 	391 Second Ave,  between 22nd and 23rd Sts,  Gramercy/Flatiron,  (212-725-7770) 
TimeOut	Bao Noodles 	Vietnamese 	391 Second Ave,  between 22nd and 23rd Sts,  Gramercy/Flatiron,  (212-725-7770) 
TimeOut	Bao Noodles   	391 Second Ave,  between 22nd and 23rd Sts,  Gramercy/Flatiron,  (212-725-7770) 	 Vietnamese 
TimeOut	Baoguette	61 Lexington Ave,  between 25th and 26th Sts,  Gramercy/Flatiron,  (212-518-4089) 
TimeOut	Baoguette	Vietnamese 	61 Lexington Ave,  between 25th and 26th Sts,  Gramercy/Flatiron,  (212-518-4089) 
TimeOut	Baoguette 	61 Lexington Ave,  between 25th and 26th Sts,  Gramercy/Flatiron,  (212-518-4089) 
TimeOut	Baoguette 	Vietnamese 	61 Lexington Ave,  between 25th and 26th Sts,  Gramercy/Flatiron,  (212-518-4089) 
TimeOut	Baoguette   	61 Lexington Ave,  between 25th and 26th Sts,  Gramercy/Flatiron,  (212-518-4089) 	 Vietnamese 
TimeOut	Bar 6	502 Sixth Ave,  between 12th and 13th Sts,  Greenwich Village,  (212-691-1363) 
TimeOut	Bar 6	French 	502 Sixth Ave,  between 12th and 13th Sts,  Greenwich Village,  (212-691-1363) 
TimeOut	Bar 6 	502 Sixth Ave,  between 12th and 13th Sts,  Greenwich Village,  (212-691-1363) 
TimeOut	Bar 6 	French 	502 Sixth Ave,  between 12th and 13th Sts,  Greenwich Village,  (212-691-1363) 
TimeOut	Bar 6   	502 Sixth Ave,  between 12th and 13th Sts,  Greenwich Village,  (212-691-1363) 	 French 
TimeOut	Bar Americain	152 W 52nd St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-9700) 
TimeOut	Bar Americain	American Regional 	152 W 52nd St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-9700) 
TimeOut	Bar Americain 	152 W 52nd St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-9700) 
TimeOut	Bar Americain 	American Regional 	152 W 52nd St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-9700) 
TimeOut	Bar Americain   	152 W 52nd St,  between Sixth and Seventh Aves,  Midtown West,  (212-265-9700) 	 American Regional 
TimeOut	Bar Baresco	191 Seventh Ave,  between 21st and 22nd Sts,  Chelsea,  (212-675-5935) 
TimeOut	Bar Baresco	Italian 	191 Seventh Ave,  between 21st and 22nd Sts,  Chelsea,  (212-675-5935) 
TimeOut	Bar Baresco 	191 Seventh Ave,  between 21st and 22nd Sts,  Chelsea,  (212-675-5935) 
TimeOut	Bar Baresco 	Italian 	191 Seventh Ave,  between 21st and 22nd Sts,  Chelsea,  (212-675-5935) 
TimeOut	Bar Baresco   	191 Seventh Ave,  between 21st and 22nd Sts,  Chelsea,  (212-675-5935) 	 Italian 
TimeOut	Bar Blanc	142 W 10th St,  between Greenwich Ave and Waverly Pl,  West Village,  (212-255-2330) 
TimeOut	Bar Blanc	French 	142 W 10th St,  between Greenwich Ave and Waverly Pl,  West Village,  (212-255-2330) 
TimeOut	Bar Blanc 	142 W 10th St,  between Greenwich Ave and Waverly Pl,  West Village,  (212-255-2330) 
TimeOut	Bar Blanc 	French 	142 W 10th St,  between Greenwich Ave and Waverly Pl,  West Village,  (212-255-2330) 
TimeOut	Bar Blanc   	142 W 10th St,  between Greenwich Ave and Waverly Pl,  West Village,  (212-255-2330) 	 French 
TimeOut	Bar Boulud	1900 Broadway,  at 64th St,  Upper West Side,  (212-595-0303) 
TimeOut	Bar Boulud	French 	1900 Broadway,  at 64th St,  Upper West Side,  (212-595-0303) 
TimeOut	Bar Boulud 	1900 Broadway,  at 64th St,  Upper West Side,  (212-595-0303) 
TimeOut	Bar Boulud 	French 	1900 Broadway,  at 64th St,  Upper West Side,  (212-595-0303) 
TimeOut	Bar Boulud   	1900 Broadway,  at 64th St,  Upper West Side,  (212-595-0303) 	 French 
TimeOut	Bar Breton	254 Fifth Ave,  between 28th and 29th Sts,  Gramercy/Flatiron,  (212-213-4999) 
TimeOut	Bar Breton	French 	254 Fifth Ave,  between 28th and 29th Sts,  Gramercy/Flatiron,  (212-213-4999) 
TimeOut	Bar Breton 	254 Fifth Ave,  between 28th and 29th Sts,  Gramercy/Flatiron,  (212-213-4999) 
TimeOut	Bar Breton 	French 	254 Fifth Ave,  between 28th and 29th Sts,  Gramercy/Flatiron,  (212-213-4999) 
TimeOut	Bar Breton   	254 Fifth Ave,  between 28th and 29th Sts,  Gramercy/Flatiron,  (212-213-4999) 	 French 
TimeOut	Bar Carrera	146 W Houston St,  at MacDougal St,  Soho,  (212-253-9500) 
TimeOut	Bar Carrera	175 Second Ave,  between 11th and 12th Sts,  East Village,  (212-375-1555) 
TimeOut	Bar Carrera	Spanish 	146 W Houston St,  at MacDougal St,  Soho,  (212-253-9500) 
TimeOut	Bar Carrera	Spanish 	175 Second Ave,  between 11th and 12th Sts,  East Village,  (212-375-1555) 
TimeOut	Bar Carrera 	146 W Houston St,  at MacDougal St,  Soho,  (212-253-9500) 
TimeOut	Bar Carrera 	175 Second Ave,  between 11th and 12th Sts,  East Village,  (212-375-1555) 
TimeOut	Bar Carrera 	Spanish 	146 W Houston St,  at MacDougal St,  Soho,  (212-253-9500) 
TimeOut	Bar Carrera 	Spanish 	175 Second Ave,  between 11th and 12th Sts,  East Village,  (212-375-1555) 
TimeOut	Bar Carrera   	175 Second Ave,  between 11th and 12th Sts,  East Village,  (212-375-1555) 	 Spanish 
TimeOut	Bar Martignetti 	French 	406 Broome St,  at Cleveland Pl,  Chinatown/Little Italy,  (212-680-5600) 
TimeOut	Bar Martignetti (CLOSED)	406 Broome St,  at Cleveland Pl,  Chinatown/Little Italy,  (212-680-5600) 
TimeOut	Bar Martignetti (CLOSED)	French 	406 Broome St,  at Cleveland Pl,  Chinatown/Little Italy,  (212-680-5600) 
TimeOut	Bar Martignetti (CLOSED) 	406 Broome St,  at Cleveland Pl,  Chinatown/Little Italy,  (212-680-5600) 
TimeOut	Bar Martignetti (CLOSED) 	French 	406 Broome St,  at Cleveland Pl,  Chinatown/Little Italy,  (212-680-5600) 
TimeOut	Bar Martignetti   	406 Broome St,  at Cleveland Pl,  Chinatown/Little Italy,  (212-680-5600) 	 French 
TimeOut	Bar Masa	Japanese 	Time Warner Center, 10 Columbus Circle,  at 60th St, fourth floor,  Upper West Side,  (212-823-9800) 
TimeOut	Bar Masa	Time Warner Center, 10 Columbus Circle,  at 60th St, fourth floor,  Upper West Side,  (212-823-9800) 
TimeOut	Bar Masa 	Japanese 	Time Warner Center, 10 Columbus Circle,  at 60th St, fourth floor,  Upper West Side,  (212-823-9800) 
TimeOut	Bar Masa 	Time Warner Center, 10 Columbus Circle,  at 60th St, fourth floor,  Upper West Side,  (212-823-9800) 
TimeOut	Bar Masa   	Time Warner Center, 10 Columbus Circle,  at 60th St, fourth floor,  Upper West Side,  (212-823-9800) 	 Japanese 
TimeOut	Bar Milano (CLOSED)	323 Third Ave,  at 24th St,  Gramercy/Flatiron,  (212-683-3035) 
TimeOut	Bar Milano (CLOSED)	Italian 	323 Third Ave,  at 24th St,  Gramercy/Flatiron,  (212-683-3035) 
TimeOut	Bar Milano (CLOSED) 	323 Third Ave,  at 24th St,  Gramercy/Flatiron,  (212-683-3035) 
TimeOut	Bar Milano (CLOSED) 	Italian 	323 Third Ave,  at 24th St,  Gramercy/Flatiron,  (212-683-3035) 
TimeOut	Bar Milano (CLOSED)   	323 Third Ave,  at 24th St,  Gramercy/Flatiron,  (212-683-3035) 	 Italian 
TimeOut	Bar Pitti	268 Sixth Ave,  between Bleecker and Houston Sts,  Greenwich Village,  (212-982-3300) 
TimeOut	Bar Pitti	Italian 	268 Sixth Ave,  between Bleecker and Houston Sts,  Greenwich Village,  (212-982-3300) 
TimeOut	Bar Pitti 	268 Sixth Ave,  between Bleecker and Houston Sts,  Greenwich Village,  (212-982-3300) 
TimeOut	Bar Pitti 	Italian 	268 Sixth Ave,  between Bleecker and Houston Sts,  Greenwich Village,  (212-982-3300) 
TimeOut	Bar Pitti   	268 Sixth Ave,  between Bleecker and Houston Sts,  Greenwich Village,  (212-982-3300) 	 Italian 
TimeOut	Bar Q	Eclectic 	308–310 Bleecker St,  between Seventh Ave South and Grove St,  West Village,  (212-206-7817) 
TimeOut	Bar Q 	Eclectic 	308–310 Bleecker St,  between Seventh Ave South and Grove St,  West Village,  (212-206-7817) 
TimeOut	Bar Q (CLOSED)	308–310 Bleecker St,  between Seventh Ave South and Grove St,  West Village,  (212-206-7817) 
TimeOut	Bar Q (CLOSED) 	308–310 Bleecker St,  between Seventh Ave South and Grove St,  West Village,  (212-206-7817) 
TimeOut	Bar Q   	308–310 Bleecker St,  between Seventh Ave South and Grove St,  West Village,  (212-206-7817) 	 Eclectic 
TimeOut	Bar Room at the Modern	9 W 53rd St,  between Fifth and Sixth Aves ,  Midtown West,  (212-333-1220) 
TimeOut	Bar Room at the Modern	American Creative 	9 W 53rd St,  between Fifth and Sixth Aves ,  Midtown West,  (212-333-1220) 
TimeOut	Bar Room at the Modern 	9 W 53rd St,  between Fifth and Sixth Aves ,  Midtown West,  (212-333-1220) 
TimeOut	Bar Room at the Modern 	American Creative 	9 W 53rd St,  between Fifth and Sixth Aves ,  Midtown West,  (212-333-1220) 
TimeOut	Bar Room at the Modern   	9 W 53rd St,  between Fifth and Sixth Aves ,  Midtown West,  (212-333-1220) 	 American Creative 
TimeOut	Bar Stuzzichini	928 Broadway,  between 21st and 22nd Sts,  Gramercy/Flatiron,  (212-780-5100) 
TimeOut	Bar Stuzzichini	Italian 	928 Broadway,  between 21st and 22nd Sts,  Gramercy/Flatiron,  (212-780-5100) 
TimeOut	Bar Stuzzichini 	928 Broadway,  between 21st and 22nd Sts,  Gramercy/Flatiron,  (212-780-5100) 
